-1.36614-6.45133e-13j 0.5479-3.45273e-13j -0.625045+3.60977e-14j -0.0131499-2.85088e-14j 0.0701692-3.29821e-15j -0.145263+1.05009e-14j -0.138043+3.86199e-16j -0.130352+4.1546e-14j 0.0743717+3.13545e-15j 0.037537-5.39034e-16j 0.00937319-3.2525e-15j 0.0515968-7.40598e-15j -0.0865857+8.93276e-15j 0.00964246-7.91183e-15j 0.0920976-6.78437e-15j 0.0111445-3.66489e-15j -0.0699258+1.48729e-14j 0.0518476-2.42096e-16j 0.0646853-7.16491e-15j -0.0572012+6.21282e-15j -0.0441287-1.9445e-15j -0.000943391-4.83238e-15j -0.0616369+8.4958e-15j -0.0570023+9.6283e-15j -0.0835299+1.20475e-14j -0.0104953-4.79473e-15j -0.115415+1.26891e-14j 0.121016-3.54987e-15j 0.0342932-5.33623e-14j -0.130519+8.30322e-13j 0.0775404+5.00685e-13j 0.148331+1.83761e-14j 0.171254-1.13124e-13j -0.208455-3.3829e-15j 0.0352365-2.2533e-15j -0.0472928+7.3948e-15j -0.114886+2.35791e-15j 0.0698628-8.7387e-15j 0.0481263+1.62257e-16j 0.0592215-3.99039e-15j -0.051159+7.58223e-16j 0.00972214-4.16187e-15j -0.00327006-9.33083e-15j -0.0363523+5.09417e-15j 0.00640986+7.19442e-16j -0.0200399+1.69679e-15j -0.0601715+4.40912e-15j 0.0374091-4.43699e-16j 0.000594239+2.11917e-16j -0.0106319+1.65265e-15j 0.0112747+3.72929e-15j -0.0356409-3.25314e-16j 0.0714826+3.81256e-17j -0.0169861+4.91445e-15j -0.0527126+7.19866e-15j 0.00429871+5.2343e-15j -0.0612264+6.64134e-15j 0.00489147+5.35553e-16j -0.0572933+4.62264e-15j -0.0282397+2.12354e-15j -0.0815639-2.06111e-15j -0.00529047+2.78761e-15j -0.0216233-6.26421e-16j -0.000938126+2.04383e-16j -0.102426+2.97759e-15j 0.0157395+4.59939e-15j 0.0833676-5.14495e-15j 0.0322288-1.39959e-15j -0.053676-6.10922e-15j -0.130887+7.87323e-15j 0.16978+1.24054e-14j 0.10913-8.04742e-14j 
0.54808+7.62514e-13j 1.35343+4.02453e-13j -0.0126034-3.17877e-14j -0.587597+2.54331e-14j 0.00159153+2.40777e-15j 0.097846-8.43625e-15j -0.169949-1.65628e-17j 0.0787203-2.82035e-14j 0.0727012+4.91847e-15j 0.0413197-4.10308e-15j -0.0964527+8.2014e-15j -0.0646059+2.28569e-15j -0.0120978-6.0889e-15j -0.0653795+8.50321e-15j 0.0492554-1.15951e-15j 0.0377595-1.57294e-15j 0.0202359-1.49588e-15j 0.0942172-9.83895e-16j -0.0175716+3.67586e-15j -0.0301054+4.96054e-16j -0.0928564+7.13616e-16j -0.0330319-3.81144e-15j 0.117065-9.23148e-15j -0.116888+1.45435e-14j 0.027121-1.70342e-15j -0.0521915+2.93246e-15j 0.14061-4.93646e-15j 0.0841024+7.7629e-15j 0.132076+7.78149e-15j 0.0384-1.89649e-13j -0.154292-8.99425e-13j 0.0710896-4.1562e-14j -0.211442+1.52657e-13j -0.163677+6.15817e-15j -0.0151803+2.40285e-15j 0.078967-8.79416e-15j -0.0785427-1.19808e-15j -0.0978288+7.98937e-15j 0.0246547+8.59135e-16j -0.0144644+2.72142e-15j -0.0582449-6.48749e-16j -0.0562742+2.65686e-15j 0.0522738+2.03547e-13j 0.0222744-2.33557e-15j -0.0129535+1.64013e-15j 0.0377243-2.25506e-15j 0.00653298-3.63995e-15j 0.0115067+1.36128e-15j -0.0176664-7.93797e-16j 0.0683407-2.70817e-15j -0.0152078-5.75634e-15j 0.0224787+2.3193e-15j 0.0267792+2.52697e-15j 0.00320229+2.16699e-16j 0.0172047-4.58825e-15j 0.0516319-3.79271e-15j -0.00790382-4.93749e-15j -0.000446823+5.9252e-16j 0.0363832-3.24594e-15j -0.0195928-2.06862e-15j -0.0475661-1.9401e-15j 0.0737998-1.19968e-15j -0.0438334+1.53527e-15j 0.0336791-2.95093e-16j -0.00712316-3.88039e-15j 0.136804-4.12443e-15j -0.00927637+4.1364e-15j 0.000900514+2.03841e-15j -0.147149+1.90363e-15j 0.0634118-9.798e-15j -0.109874+1.2404e-13j 0.17189-3.3225e-13j 
-0.114882-1.54887e-14j 0.181516-8.84612e-15j 1.57083+3.12648e-15j 0.341772-3.41868e-15j 0.786867+1.25962e-15j 0.162679+4.03795e-16j 0.665093+1.35866e-15j 0.0970473-1.37263e-14j -0.280211-2.10944e-15j -0.420939+1.3866e-15j -0.064305+5.89987e-15j 0.188577-1.96942e-15j 0.166149-7.44478e-16j 0.0289949+4.96981e-15j -0.111703+2.94321e-15j 0.0118494-6.24688e-17j -0.0131854-4.58175e-15j -0.174735+3.00352e-15j -0.0918536-1.00366e-15j -0.010192-3.18595e-15j 0.16775-4.24415e-16j 0.0807502+2.42623e-14j -0.0642104+4.30911e-15j 0.113866-8.5465e-15j -0.0681098-4.13747e-15j 0.0841225+1.23977e-15j -0.0787657-3.62837e-15j -0.0252661-3.83717e-15j 0.0808084-1.8826e-14j -0.0382228+2.68185e-13j 0.00293558-2.55009e-14j -0.145418+2.1069e-15j -0.117067+7.41731e-14j -0.0607581+3.72054e-15j 0.139872+1.09002e-15j 0.049546-9.4918e-16j 0.126661+1.23136e-15j 0.0490065-1.39724e-15j -0.0842979-9.09325e-16j -0.156177-9.81804e-16j 0.00151037+4.06398e-16j 0.0870932-8.09813e-16j 0.00666736+2.26801e-14j -0.00789428-7.65416e-16j -0.067303-1.33743e-15j -0.0409686+1.28047e-15j 0.0187201+8.8674e-16j 0.022545-1.23224e-15j -0.00481987-1.2191e-15j -0.0456139+2.11138e-15j 0.0153525-5.15366e-15j 0.0957419+2.73179e-15j -0.0618509-1.48406e-15j 0.0285527-2.74748e-15j -0.00297523-1.11637e-15j -0.00658252-5.37249e-15j 0.091249-5.66432e-15j -0.0425039-1.55264e-15j 0.067353-2.88003e-16j -0.0150024-3.31538e-15j 0.00646632-3.2591e-16j -0.0723936-2.19793e-15j 0.052783+3.8118e-16j -0.0502393+4.25201e-16j 0.106435+1.01459e-15j -0.0786914+4.23196e-16j 0.0451836+8.78703e-16j -0.0428862+6.04153e-16j 0.101978+1.12838e-15j 0.025671+2.37653e-15j 0.108724-7.91016e-14j -0.11141+2.33427e-13j 
0.21485+2.16522e-13j 0.186127+1.12447e-13j -0.335737-9.23327e-15j 1.27097+1.27325e-14j 0.0484999-4.89739e-15j -0.157389-8.02937e-15j 0.11454-1.59531e-15j -0.765238+1.7343e-13j -0.24664-2.07462e-14j -0.181132+1.87319e-14j 0.0391033+3.8986e-15j 0.118394+4.70541e-16j -0.000320986+5.13575e-15j 0.0398541+1.71728e-15j 0.0416806-3.8217e-15j 0.0688364-8.15314e-15j -0.135938+1.70731e-15j -0.201116-2.24594e-15j -0.116201-8.79502e-15j -0.118769+2.38352e-15j 0.137875+1.1862e-15j 0.0417686+1.82466e-14j -0.109388-1.22656e-15j 0.0914173-7.44223e-15j -0.0814823-2.5101e-15j 0.182156+3.09003e-15j -0.209748-6.49113e-15j 0.0598677-6.40948e-15j 0.0266537+7.65841e-15j 0.0164516-8.96206e-14j 0.208135+1.26806e-12j 0.0231001+6.14022e-14j 0.0174498-1.12082e-14j 0.0757488+2.01609e-15j -0.135801-2.11829e-15j 0.0440748+2.08387e-15j -0.0442435-1.16954e-16j 0.211287+8.88946e-16j -0.0257707+1.61804e-15j 0.0341358+1.56287e-15j 0.0489733+1.18255e-15j -0.0307865+1.41918e-15j 0.0053876+2.29838e-14j -0.0735139+1.52583e-15j 0.00861157+2.92156e-15j -0.0519944-2.09078e-15j -0.03247+1.80452e-15j 0.0291154-4.76657e-17j 0.0241847+3.64365e-15j -0.0531771-1.37117e-15j 0.0170196+2.3758e-16j 0.0342824-2.00193e-15j 0.000118513+2.4301e-15j -0.0217517+1.3607e-15j -0.00335434+1.34377e-15j -0.0136657+1.45928e-15j -0.00734881+2.84107e-15j -0.0447609-6.33423e-16j -0.00558303-1.4313e-15j -0.0282473+1.84482e-16j -0.0232829-3.01173e-15j -0.0111611+4.97466e-16j 0.0611303+1.13643e-15j -0.0703721-2.35399e-15j 0.0225203-1.04505e-15j -0.0427356-1.59712e-15j 0.065587-8.24579e-16j -0.0945101-1.80621e-15j 0.0986811+1.69997e-15j -0.0804282-1.55695e-15j 0.139776+1.98533e-14j 0.0822547-5.49619e-14j 
-0.210665-2.77449e-14j 0.327943-1.94995e-14j -0.277674+1.90592e-15j -0.133075+5.1573e-15j -1.23547+4.49782e-15j 0.140009+1.2156e-16j 0.467102-6.03112e-15j 0.4756-1.20221e-13j -0.0675372-8.20425e-15j 0.209431+5.66514e-15j 0.126768-1.67215e-14j -0.0212632+1.14843e-14j 0.146319-7.58788e-15j 0.193043-1.71028e-14j -0.471002+2.01195e-14j -0.0355701+2.37716e-14j 0.163295-1.30532e-14j 0.0238735+3.27121e-15j 0.12658+1.23606e-14j 0.167108-6.65458e-15j 0.0323727+2.18497e-15j -0.0383644-2.57883e-14j -0.108059+5.80867e-16j 0.0684009-1.2225e-14j 0.0808237-5.81848e-15j -0.128053-3.97409e-15j 0.109886-3.23894e-15j -0.221362+4.39295e-15j -0.24873+7.72667e-14j 0.153138-1.05576e-12j 0.121471+6.71766e-13j -0.189318+3.83356e-14j -0.0455909+1.83498e-14j 0.159072-4.98155e-17j 0.0444085+6.98393e-16j 0.0545682-2.29948e-15j -0.0154323+4.72133e-16j 0.0137226+1.36408e-15j -0.0527794-1.2494e-15j 0.0112096+8.95768e-17j -0.0151004-3.53062e-16j 0.0200796-1.60434e-16j -0.0401031-1.59109e-13j 0.0402817-3.66129e-15j 0.0209915-2.38777e-15j 0.0447676+1.54915e-15j 0.0649634-1.26712e-15j -0.00523574-2.73491e-17j -0.0169562-2.53538e-15j 0.0221331+1.00682e-15j -0.0223028-5.3476e-15j 0.0154867+3.92861e-15j -0.0134194+6.59983e-16j 0.0269285-4.45342e-15j 0.00786594-1.9619e-15j -0.0385454+1.92908e-15j 0.00277842+6.82764e-16j 0.038371-4.81466e-16j -0.00141103+6.83717e-17j 0.0391156+1.17774e-16j 0.0528746+2.18831e-15j 0.00183958-5.83533e-16j -0.00589345-9.64011e-16j 0.0181529+5.23393e-16j -0.0233998-1.99386e-16j -0.0298202+6.28293e-16j -0.0472263+1.25851e-15j 0.0800387+1.40463e-16j -0.0365368-6.44309e-16j 0.0195424-1.73134e-16j -0.0012223-4.22326e-14j -0.0793166+1.25903e-13j 
0.450638+2.94779e-13j 0.0161924+1.59575e-13j 0.408266-1.85242e-14j -0.174303+1.07218e-14j -0.408488+1.79523e-14j -1.1985+2.79292e-14j 0.026024+1.39563e-15j -0.289816+7.66939e-14j 0.190111-2.67351e-14j 0.483545+4.26399e-15j -0.0995181+1.7141e-14j 0.400616-2.22004e-14j -0.436087+3.61964e-14j 0.0244662-1.25781e-14j 0.0988998-5.09426e-15j -0.0799785-3.99929e-15j -0.00943636+1.19953e-14j 0.079962+1.58083e-15j 0.141326-6.3092e-15j -0.0351748+9.17471e-15j -0.00720773-1.30161e-15j 0.0058857-8.93627e-15j -0.159876+8.28057e-15j -0.0501741+2.34187e-14j -0.201479+1.64208e-14j -0.0947563-4.3674e-15j -0.194788+8.74395e-15j 0.12664-7.11913e-15j -0.113156-1.32674e-13j -0.326703+1.98749e-12j 0.0790091+5.51581e-13j 0.266333+1.11854e-14j 0.214176-1.37284e-13j -0.0523401-8.85888e-15j 0.022058-2.19663e-15j 0.0317712-2.04077e-15j 0.0439739-1.88783e-15j 0.0152033-2.18362e-16j -0.0494374+1.2476e-15j 0.0490577-1.83715e-15j -0.0289014+1.46562e-15j 0.0146969-9.1951e-16j -0.0439869-1.71437e-13j -0.0236451+2.85738e-15j 0.0131791-1.66417e-15j 0.000875721+8.15964e-16j -0.0637934+3.98566e-15j -0.0287962+4.54296e-16j -0.00300555-1.50346e-16j -0.00960376+6.62146e-16j -0.00217811+1.66602e-15j -0.0141755-1.01795e-15j 0.0234275-4.87062e-16j 0.00432466-1.27377e-16j -0.0214541+2.63915e-15j -0.00259573-6.84825e-16j 0.0080559-1.67582e-15j 0.0219587-9.00324e-16j -0.0153525+7.4499e-16j -0.0124916+1.04221e-15j -0.0136673-5.51373e-16j -0.0190642+6.20241e-16j 0.00403566-5.65965e-16j 0.0170417-8.70703e-16j -0.0216833-3.06178e-17j -0.0234085+7.6847e-16j 0.0350144-1.05208e-15j 0.044664-8.37978e-16j -0.0525526+1.41709e-15j -0.0151804+2.94852e-16j 0.0270719+1.19761e-14j 0.0349237-4.27604e-14j 
0.126395+2.31292e-13j 0.422782+1.11189e-13j -0.0980446-2.3457e-15j -0.540198+1.026e-14j 0.168427+7.18116e-15j 0.0724331-7.64187e-16j 0.735964-4.50359e-15j 0.0255598+4.19272e-15j -0.317285+1.67026e-14j -0.740203-1.13163e-14j 0.414488-1.63661e-14j 0.286077+6.44235e-15j 0.215301+6.05241e-15j 0.149088-9.066e-15j -0.236352+3.08828e-15j 0.0362186+2.0448e-15j -0.111561+1.22802e-15j -0.481356+6.85567e-15j -0.0218245+4.18273e-15j 0.00119348+5.48583e-16j 0.297834-2.01054e-15j 0.0115749-7.14757e-15j -0.367199+3.94999e-15j 0.257937-3.4804e-14j -0.0341702-1.24706e-14j 0.132735-3.88794e-15j -0.362478-6.2157e-15j -0.0949478-1.18327e-14j -0.247463+1.66881e-14j -0.00616674-6.84487e-14j 0.327334+1.97057e-12j 0.00579928+9.3889e-14j 0.0917304-6.53998e-14j 0.169445-8.59956e-15j 0.0238283-1.06565e-15j -0.0163403+2.48885e-15j 0.0107784-1.02283e-15j -0.0291228+1.73466e-15j 0.0176061+1.37017e-15j 0.0075815-8.09429e-16j 0.0258165+6.58583e-16j -0.00361345+6.91836e-16j -0.0191787-7.54591e-14j -0.0334476+9.53416e-17j -0.0342146-9.58468e-16j -0.0194951+2.97442e-16j 0.0189678+1.10556e-15j 0.00962589+7.68102e-17j 0.0042376+1.34836e-15j -0.0297906+1.03058e-15j -0.0148143-6.0033e-15j 0.0409249+3.43698e-15j -0.0348771+4.56867e-16j 0.00346889-4.32975e-15j 0.0250991-2.54089e-15j -0.0464741+2.00695e-15j 0.0168578+2.21783e-15j -0.0307414-8.50724e-16j 0.014126-3.76624e-16j 0.00266241-9.70081e-16j 0.030209+2.83011e-17j -0.0164232+7.38163e-16j 0.0572756+6.62151e-17j -0.0375516-1.45064e-15j 0.0182569-1.01835e-15j -0.0685748+5.57264e-17j -0.0123786-1.33946e-16j -0.0256675-9.86597e-16j 0.0886454-1.66936e-16j -0.0661854+5.03387e-16j 0.0901682-1.78998e-14j -0.00182289+5.10978e-14j 
-0.422346-3.84722e-13j -0.237005-1.72835e-13j -0.302491-1.69006e-14j 0.280337-1.62083e-14j -0.113416+3.27424e-15j -0.720244-4.64145e-14j 0.114602-2.32205e-14j 0.205514+1.31453e-14j -0.222169-1.8479e-14j -0.482535-2.18332e-14j -0.70599+7.43405e-15j 0.349758+1.65302e-14j 0.373933+2.07482e-14j -0.291638+7.58371e-14j -0.191764-3.56399e-14j 0.135998+5.17094e-15j 0.288441-7.33017e-15j 0.0113009+8.05099e-15j -0.315104-6.14954e-15j -0.0616436-1.9075e-15j 0.0832432+1.86278e-14j -0.069354-1.44152e-14j 0.205178-2.45548e-14j -0.0690252+2.03037e-14j 0.0618573-6.20231e-15j -0.000806353+6.66136e-15j 0.417223+1.82509e-14j 0.033139-1.18236e-15j 0.362566+1.48494e-13j 0.40095-2.30578e-12j -0.145254-9.48464e-13j -0.30501-5.08702e-14j -0.302986+1.79939e-13j -0.0349141+2.82982e-14j -0.00227508+1.7037e-15j 0.119402+1.43975e-15j 0.00471543+7.3886e-15j -0.0390395+3.67807e-15j 0.00959981+9.86713e-16j 0.0241776-4.37426e-16j -0.000910723+2.02645e-15j -0.000890074+1.34576e-15j 0.0144939+5.89032e-14j 0.0182597+3.3786e-15j -0.027243-7.36172e-16j 0.000514125+6.05384e-16j -0.0229176-4.34744e-16j 0.00780036-6.41517e-16j -0.0256342-6.12063e-15j 0.0236882+1.33203e-15j -0.0144087-6.95599e-15j 0.0335267+7.57743e-15j 0.00931767-4.43822e-16j 0.0196851+3.92917e-16j -0.00109133-8.45765e-16j 0.00900219-1.93961e-15j 0.0204855-7.41977e-17j 0.0156939+1.83702e-15j 0.0344372+3.36072e-15j -0.00953814+3.62321e-17j -0.00646595+3.39582e-15j 0.0280765+3.47452e-15j 0.0255752+3.73266e-15j -0.00847392+7.36249e-16j 0.0254187+2.4249e-15j -0.00548705-4.06774e-15j 0.0144739+7.4748e-16j -0.00858338+1.0181e-15j -0.00906545+1.28505e-15j 0.0362163+1.90777e-15j -0.00149483+1.60508e-14j 0.0269743-4.36999e-14j 
0.0286464-1.15266e-13j -0.452487-7.31273e-14j 0.1279+2.21957e-14j 0.340319-3.88624e-15j -0.161072+2.3663e-15j 0.140578+5.50239e-14j 0.641808+1.83486e-14j -0.459023+6.94104e-14j 0.202199+6.4293e-14j -0.296322+6.97315e-15j 0.000647082+5.09933e-14j -0.060808-5.17222e-14j -0.290662-2.85945e-14j -0.287843+9.75997e-15j 0.269754+1.3981e-14j 0.132187-1.68673e-14j -0.15067+9.08455e-15j 0.134984-1.50997e-15j 0.00594954+1.17197e-14j -0.260786+1.18765e-14j -0.198894-1.65951e-14j -0.0295072+1.30842e-14j 0.204898+1.52794e-15j -0.268974+2.45705e-14j 0.000463032+1.0258e-14j -0.0749261+1.52423e-15j 0.0948968-7.79009e-15j 0.368568+1.84962e-14j 0.510571-5.3707e-14j -0.0774116+6.72392e-13j -0.321223-1.9345e-12j 0.0171633-7.66943e-14j -0.0832439+7.59659e-14j -0.247872-1.78362e-15j 0.00427157+2.41445e-16j 0.00117076-8.80769e-15j -0.100057-2.82383e-15j -0.0363505-7.72063e-16j -0.0148559-1.42532e-15j 0.0143029-1.67066e-15j -0.0239211-1.344e-15j -0.0103824-2.17934e-16j -0.00791928-3.44804e-14j -0.0256123-2.08448e-15j -0.0336786+9.69772e-17j -0.00125103+9.54545e-16j 0.00061827+2.13689e-15j 0.0135134-4.19001e-16j 0.0136484+4.68955e-15j 0.00476123-2.4506e-15j -0.00254064+1.27737e-15j -0.0111903-3.30368e-15j 0.00840357-1.43752e-16j 0.0037137-9.0431e-16j -0.0126481+1.20412e-16j 0.00399115+2.24277e-15j -0.0142961-9.97067e-17j -0.031888-1.70797e-15j -0.00676682-2.78304e-15j -0.0169357-5.02544e-16j -0.0398088-3.63397e-15j 0.00216102-1.90977e-15j -0.00703323-2.04753e-15j -0.0102462+8.46125e-16j -0.00817566-1.7122e-15j 0.0341154+2.99374e-15j -0.00527146-1.42117e-15j -0.00932556-3.30067e-16j -0.0101215-1.65304e-16j -0.0258499-3.33015e-15j 0.0114739+1.58101e-14j 0.034761-4.96448e-14j 
0.467751+2.28808e-13j -0.236009+1.28443e-13j 0.347085-1.00008e-14j 0.0236413-8.34579e-16j -0.211373+4.71355e-16j 0.357101-7.41441e-15j 0.300043-3.82887e-15j 0.793727-1.69515e-13j 0.0489298+3.83057e-14j -0.521104-4.32467e-14j -0.00603537-1.63803e-14j 0.412109+9.03508e-15j 0.168637+3.64315e-14j 0.516351-4.90123e-14j -0.266739-1.37032e-14j 0.0639629+7.04645e-15j -0.245528+4.23645e-14j 0.219121-1.96442e-14j 0.231298-1.38691e-14j -0.18704+1.61669e-14j -0.0601122+8.05229e-15j -0.0469154-4.31919e-14j -0.458118-8.65737e-15j -0.196544+5.1445e-14j -0.305935+2.09898e-14j -0.17482-1.116e-14j -0.348426+5.9291e-15j 0.413527-4.28304e-15j 0.25086-2.59184e-13j -0.568418+3.63253e-12j -0.133605-7.1582e-13j 0.289413-4.59553e-14j 0.185114-1.05213e-13j -0.241276-4.9232e-15j 0.0527679-3.74545e-16j -0.0343294+4.20601e-15j -0.102169+1.45325e-15j 0.0688764-1.78017e-15j 0.0122235+3.3998e-15j 0.018247+1.19457e-15j -0.00965759+7.82492e-16j 0.0153046-9.11186e-16j 0.00211945+7.72076e-15j 0.0269897-8.72522e-16j -0.0134235+1.78705e-16j 0.000850434+6.3471e-16j -0.00195006+7.57691e-16j 0.00283675-1.34843e-15j -0.00247809-9.64286e-16j -0.00800594+4.17462e-16j 0.00994078-4.11524e-16j 0.0291741+1.97033e-15j 0.0158875+9.09316e-16j 0.011973-1.31034e-16j -0.0241288+1.55893e-15j -0.0387178+2.17565e-15j -0.00570408+2.43815e-15j 0.00453219+1.47142e-15j -0.0122193+3.03385e-16j 0.0167576+6.67802e-16j 0.0196679+1.40072e-15j -0.0018201-4.23584e-16j 0.0264621+7.92262e-16j -0.0386358-3.15643e-16j -0.0358772+3.59779e-16j -0.0512136-1.61174e-15j 0.0085873+6.70791e-16j 0.0345907+3.45281e-16j -0.00158439+5.96552e-16j -0.036208+5.1682e-16j 0.076895-9.03481e-15j 0.00769181+2.86441e-14j 
-0.0475453+4.25774e-14j 0.212249+2.22282e-14j -0.0725436-8.1785e-16j -0.120077+6.37209e-16j 0.0804132-1.40566e-15j -0.0632057+6.80757e-15j -0.153296+2.48062e-15j 0.0249816+1.14181e-14j 0.816995+1.03512e-13j -0.134926-6.28942e-14j -0.366926+4.61969e-15j -0.270551-7.42781e-15j -0.134381+1.47348e-14j 0.22141-2.73385e-14j -0.463998+4.43432e-15j -0.152832+2.7233e-14j 0.22701-8.02376e-16j 0.127363+5.39051e-15j 0.0831444+1.54973e-14j 0.130498-7.05192e-15j 0.0755738-4.64336e-15j -0.0138568-2.57357e-14j -0.0949707-7.37935e-15j 0.0950464-1.25076e-14j 0.0450503-1.41798e-14j -0.0517444-3.35377e-15j 0.0482949-5.68231e-15j -0.251837-1.6617e-15j -0.310414+2.94568e-14j 0.0554265-4.79868e-13j 0.159765+9.54136e-13j -0.030145+4.71458e-14j 0.0274898-2.13568e-14j 0.132297-1.79049e-15j 0.00345057+5.87696e-16j 0.0106779+9.65603e-16j 0.0433672+2.03734e-16j 0.00940838+1.43419e-15j -0.0239278+5.46062e-16j 0.00115321+8.24688e-16j 0.0362256+1.4823e-17j 0.0211274+7.73911e-16j 0.00258152+1.13257e-14j 0.0147538-7.58899e-17j 0.00326367-4.86926e-17j 0.00379245+2.44558e-16j 0.000738625-2.00043e-16j -0.00265068+5.90607e-16j 0.016098+3.3968e-15j 0.0200021+4.95201e-16j 0.00364967+7.32502e-17j 0.000967777-3.48349e-16j -0.00642313-4.19424e-16j 0.0216161-2.04886e-15j 0.0024413-1.63177e-15j -0.0059086-1.66354e-16j 0.00414233-5.01934e-16j 0.0205233+8.68012e-16j -0.0032721+3.48116e-16j 0.0130944+6.1292e-16j 0.0162439+1.33556e-15j -0.000507829-1.13064e-15j -0.00254761-6.34862e-16j 0.00120756-3.11473e-16j -0.00163092-5.1765e-16j -0.00721686-4.29757e-16j -0.0061771+6.47434e-16j 0.0248022+1.03134e-15j -0.0219099-5.41981e-17j 0.0394912+1.44477e-15j -0.0179337-1.00603e-14j -0.0251081+2.99468e-14j 
