-7.79696e-13-0.131281j -1.71811e-13+0.15398j 7.20617e-17-0.15672j -3.56858e-16-0.106058j 3.48701e-15+0.191551j -4.03334e-15+0.0512289j -2.48349e-15-0.122348j -4.57451e-16+0.0227333j 8.38652e-16+0.0803697j 5.87767e-15+0.192489j 1.40105e-15+0.0143318j -1.83017e-15+0.0467008j -3.8907e-15+0.105104j -2.57236e-14+0.183282j 1.75286e-15+0.161643j -2.60854e-14-0.116395j -3.16889e-14+0.0474336j 7.10195e-14-0.0820332j 5.64904e-15-0.0302924j 1.50039e-15-0.0604708j 2.09384e-14-0.203843j -1.49567e-14-0.110825j -1.73373e-14+0.00605549j 1.40937e-13+0.149434j -1.26823e-14-0.12332j 1.76069e-14+0.00741823j 1.28143e-14+0.286475j -3.11299e-15+0.023183j -6.03661e-15-0.0871464j 2.80545e-14+0.0916226j 2.55295e-14+0.0487257j -3.62438e-14-0.147736j -8.26329e-14-0.0405928j -7.44046e-14-0.0434081j 6.8163e-15+0.0048326j 6.05469e-15-0.0994485j 1.32793e-14+0.0472864j 1.55722e-14+0.114135j -1.08574e-14-0.0185851j -2.29744e-14-0.035475j -1.81155e-15+0.164308j 4.19373e-14+0.165131j 3.53667e-15-0.0697124j 4.58192e-14+0.0399713j 3.52457e-15+0.118295j -3.09594e-14+0.0885904j 9.81823e-15-0.0608698j 1.37978e-14-0.0140128j 1.66468e-15+0.0541876j -1.85699e-14+0.128162j 7.82176e-16+0.172105j -1.30581e-13+0.192507j 1.32281e-14-0.0499031j -9.53323e-15-0.14648j 4.97167e-15+0.00346168j -1.3299e-15-0.0378734j -1.40535e-14+0.0986535j -8.61149e-15+0.0892012j -2.86787e-14-0.157321j -4.64314e-14+0.0349252j -8.3981e-15-0.0205986j -2.20681e-15+0.184369j 4.95712e-15+0.0713673j -2.62511e-15+0.0160776j -1.24666e-15+0.175812j -3.61769e-15+0.0105349j 5.18349e-15+0.0634028j -1.91683e-14+0.16261j -2.63218e-15+0.0188138j 8.5469e-16-0.109736j 1.63889e-15-0.148028j -1.41017e-15+0.0464725j -3.43255e-15+0.132313j 8.53385e-16+0.160659j 9.87011e-16-0.09913j -1.12445e-13-0.16372j 5.01085e-13-0.104894j 
9.62409e-14-0.00477406j 2.11627e-14+0.0761439j -1.21107e-15+0.0384533j 1.18014e-15-0.136212j 3.37233e-16-0.0201125j -5.24197e-16+0.00722591j -5.84486e-16-0.101559j -1.1981e-15-0.214206j -1.08278e-15-0.0787348j -9.84478e-16+0.0284502j 3.65782e-16+0.125533j -7.52067e-16-0.0514547j 1.29248e-16+0.145296j 2.2216e-14-0.136997j 4.5733e-15-0.0454039j -2.83891e-14-0.20823j 4.28836e-14-0.0816824j -1.01186e-13+0.131321j 1.367e-14-0.19083j -6.11773e-15-0.00871725j 4.99182e-15+0.0144167j -7.51591e-15+0.15094j -7.03773e-15-0.0106282j 1.20561e-13+0.116774j 3.65599e-15+0.109846j -1.83085e-13-0.322212j -2.71203e-14-0.0210578j 2.61241e-14-0.00622394j -3.1712e-17-0.0316292j -3.05831e-15-0.133832j -9.80536e-15+0.0203423j -2.38819e-14-0.0812737j -4.98019e-14-0.0535798j -1.64174e-14-0.01968j 3.31087e-15-0.0622229j 2.34952e-14-0.170107j 9.59621e-15+0.197644j -3.03861e-14-0.311608j 3.22806e-14+0.0190892j 1.37424e-14+0.0599009j 2.44576e-14-0.109205j -1.55343e-14-0.0431516j -7.64575e-16+0.0733955j -2.54283e-15+0.017785j 2.31217e-15+0.00666989j -9.26964e-15+0.0102962j -1.80573e-14-0.0107117j 4.9356e-14+0.156506j 4.43809e-15+0.0924673j 2.82233e-16+0.0860726j 9.78836e-15+0.146667j 1.39527e-13-0.220818j 7.64176e-15-0.150315j 1.56298e-15-0.0215515j 1.26881e-14-0.00497211j 6.19016e-15-0.178646j -3.61667e-15+0.0941412j -7.90446e-15-0.0388903j 1.53305e-14+0.0703892j 2.30513e-13-0.149054j -2.19308e-14-0.0738132j -4.64399e-15-0.0621037j -1.24937e-15+0.143036j -2.22663e-15+0.199367j -2.11178e-15-0.00897498j -3.16659e-15+0.0595857j 2.29504e-15-0.092258j -1.20936e-14+0.0865638j 3.83462e-15+0.102613j 1.43625e-15+0.167416j 1.10576e-15+0.00162948j 2.95653e-16+0.0271737j -1.98676e-15+0.123692j -1.30707e-15-0.0418595j -1.17297e-15-0.119099j -1.08687e-13-0.0310096j 4.84711e-13-0.0728789j 
5.84232e-14+0.0101481j 1.28744e-14-0.0129485j 1.11021e-17+0.01146j 1.13607e-17+0.0101604j -2.71444e-16-0.0144055j 3.1752e-16-0.00403952j 2.00181e-16+0.0108972j 5.60965e-17+0.00143043j -4.67908e-17-0.0050021j -4.36062e-16-0.0151975j -1.14722e-16-0.00296107j 1.52609e-16-0.00282203j 2.9514e-16-0.0102218j 1.64812e-15-0.0120381j -2.00903e-16-0.0117348j 2.42566e-15+0.0120215j 1.79818e-15-0.00243018j -3.95385e-15+0.00435023j -6.33654e-16+0.00515421j -2.46475e-17+0.00477105j -1.68246e-15+0.0154335j 1.25678e-15+0.00626951j 1.43535e-15-0.000307273j -1.26067e-14-0.0132018j 9.17121e-16+0.00783779j 1.3673e-15+0.00420715j -5.79903e-16-0.0216781j -1.48112e-16-0.0016873j 4.63884e-16+0.00715836j -2.10577e-15-0.0050491j -1.81438e-15-0.00404182j 3.13662e-15+0.0125453j 7.08188e-15+0.00391025j 5.95485e-15+0.00362381j -5.71383e-16+0.000551456j -8.11079e-16+0.0101555j -1.16423e-15-0.00655971j -7.39812e-16-0.00414179j 3.54521e-16+0.00114364j 1.55878e-15+0.00183512j -2.21127e-16-0.0109936j -2.98745e-15-0.012036j -2.6155e-16+0.00426317j -3.47951e-15-0.0033319j -3.04349e-16-0.00917936j 2.51418e-15-0.00695295j -4.86114e-16+0.00483124j -1.79315e-15-0.00124445j -1.94654e-16-0.00553028j 1.42064e-15-0.0111139j -2.0644e-16-0.0153852j 7.95934e-15-0.0115036j -1.12675e-15+0.00605894j 7.08215e-16+0.0115635j -5.69636e-16-0.000192015j 1.273e-17+0.00555553j 1.1315e-15-0.00896835j 7.79206e-16-0.00627068j 1.97237e-15+0.0110327j 1.49271e-16-0.000471277j 9.70731e-16+0.00267541j 2.4004e-16-0.0132318j -3.63724e-16-0.00759867j 2.31698e-16-0.00418962j 1.27985e-16-0.0133626j 3.23827e-16-0.00169199j -4.30267e-16-0.00349922j 1.6502e-15-0.0137654j 1.43805e-16-0.00296534j -8.98627e-17+0.00594168j -1.42938e-16+0.0113386j 1.03695e-16-0.00397013j 2.91786e-16-0.0119902j -4.47422e-17-0.0117118j -5.7128e-17+0.00937491j 1.02423e-14+0.0130271j -4.56489e-14+0.00913218j 
-4.81568e-15-0.00035317j -1.06053e-15-0.0011243j 2.47597e-17-0.00138454j -2.48709e-17+0.00260127j 6.55545e-18+0.00110587j -2.40919e-18+2.08523e-05j 5.36667e-18+0.00178875j 2.91834e-17+0.00475089j 2.87489e-17+0.00199711j 4.26977e-17+5.00139e-05j -5.62674e-18-0.00268787j 1.14324e-17+0.00128487j -1.86786e-17-0.00280272j -5.69966e-16+0.00362624j -9.15509e-17+0.00155328j 5.31832e-16+0.00413592j -1.0436e-15+0.00194667j 2.45085e-15-0.00314978j -2.74672e-16+0.00405636j 1.38409e-16-2.05194e-05j -3.76647e-17-0.00102446j 1.0788e-16-0.00367793j 9.33628e-17+0.000252886j -2.13984e-15-0.00202624j -1.27077e-16-0.00282522j 4.0611e-15+0.00705309j 6.38561e-16+0.00145713j -5.80301e-16+0.000216494j -2.02838e-17+0.000386257j 1.67868e-16+0.00323794j 3.02691e-16-0.000273927j 3.95268e-16+0.00125792j 7.99153e-16+0.00102714j 9.89878e-17+0.000278005j -4.71274e-17+0.00137388j -4.88458e-16+0.00336353j -1.66841e-16-0.00414578j 7.24272e-16+0.00719355j -7.4237e-16-0.000481062j -3.81243e-16-0.00142997j -5.36276e-16+0.00295403j 4.86934e-16+0.00151631j 2.69678e-17-0.00184354j 2.14966e-16-0.000248647j -3.74605e-17+0.00026659j 9.47298e-17+8.40317e-05j 4.27815e-16+2.15879e-05j -1.03174e-15-0.00346211j -9.25507e-17-0.0018279j -7.17445e-17-0.00143076j -2.1262e-16-0.00259924j -3.49187e-15+0.00548647j -1.17786e-16+0.00310444j -6.78699e-17-4.02055e-05j -2.59273e-16+0.000120497j -1.36159e-16+0.00376424j 2.8644e-17-0.00170952j 1.43835e-16+0.00115889j -4.36822e-16-0.00208314j -5.18571e-15+0.00337243j 4.50445e-16+0.00153807j 9.6189e-17+0.00199665j 4.20186e-17-0.00287094j 3.53532e-17-0.00429206j 4.31345e-17+0.000808144j 5.52853e-17-0.00126283j -2.96205e-17+0.00223294j 1.96311e-16-0.00132148j -9.48172e-17-0.00217239j -3.26232e-17-0.00403347j -1.94788e-17-0.00055116j -1.16036e-17-0.000430763j 2.97094e-17-0.00223675j 3.3482e-17+0.00147255j 3.08201e-17+0.00225217j 1.97822e-15+0.000106015j -8.82504e-15+0.00122407j 
1.46588e-15+0.000374543j 3.23302e-16-0.000868823j 7.26638e-18+0.000178289j -6.3375e-18+0.00110845j -1.13057e-17-0.000381621j 1.37967e-17-0.000178809j 1.00394e-17+0.000940325j 8.29808e-18+0.00124441j 4.29023e-18+0.000267892j -9.50584e-18-0.000679773j -5.80491e-18-0.000802044j 9.33466e-18+0.000190394j 9.55128e-18-0.00116125j -6.77522e-17+0.000351811j -3.25481e-17-0.000148925j 2.41345e-16+0.00157414j -1.77801e-16+0.000372513j 4.29338e-16-0.000583695j -9.82616e-17+0.00124162j 3.33109e-17+0.00021221j -8.54198e-17+0.000448648j 8.52915e-17-0.000627378j 8.84632e-17+4.87759e-05j -1.10488e-15-0.00110424j 1.12509e-17-0.00034429j 1.06812e-15+0.00194232j 1.31299e-16-0.000625665j -1.50882e-16-2.31122e-05j 1.60766e-17+0.000421912j -5.53549e-17+0.000573749j -7.47734e-18-0.000252083j 2.40758e-16+0.000883627j 5.20646e-16+0.000433053j 2.95756e-16+0.000234056j -3.81541e-17+0.000366138j -1.59111e-16+0.00129743j -9.32091e-17-0.00132783j 1.43715e-16+0.00159693j -1.67951e-16-6.73201e-05j -2.31494e-17-0.000271362j -1.44296e-16+0.000232525j -1.58668e-17-0.000171818j -4.56428e-18-0.000263429j -1.0509e-16-0.000213474j -2.3383e-17-0.000351912j 1.37894e-16-0.000295822j 8.41162e-17+0.000225403j -3.36677e-16-0.000916039j -3.13356e-17-0.000705602j 4.71886e-17-0.000861336j -6.15759e-17-0.00134592j -5.06158e-16+0.000837894j -8.14596e-17+0.00104654j 1.55957e-17+0.000516691j -9.03426e-17+2.11639e-05j -3.43402e-17+0.00118739j 5.90589e-17-0.000832808j 7.07272e-17+2.05159e-06j -1.7761e-17-1.45763e-05j -1.28148e-15+0.000815633j 1.55569e-16+0.000503632j 3.39712e-17-0.000107051j -5.33023e-18-0.00105871j 2.06408e-17-0.00125619j 1.60773e-17-0.000408017j 2.88512e-17-0.000390522j -2.77171e-17+0.00039488j 1.24106e-16-0.000954978j -1.63339e-17-0.000674287j -1.08094e-17-0.000730561j -1.09992e-17+0.000379623j 1.92135e-18-0.000287747j 2.12015e-17-0.00110131j 5.62612e-18-0.000167915j 4.46673e-18+0.00098602j 9.57691e-16+0.000619648j -4.26992e-15+0.000719772j 
2.2838e-14+0.00385246j 5.03417e-15-0.00454476j 7.72925e-18+0.00458255j -3.81393e-19+0.00316147j -1.11107e-16-0.00561102j 1.17475e-16-0.00150531j 6.67965e-17+0.0036264j -9.06103e-18-0.000587218j -3.51128e-17-0.00232812j -1.75751e-16-0.00565659j -2.87528e-17-0.000467014j 4.70287e-17-0.00135069j 1.25454e-16-0.00313684j 7.25765e-16-0.00532505j -6.33948e-17-0.00472437j 7.58179e-16+0.00349141j 9.03472e-16-0.00136096j -2.02911e-15+0.00235737j -1.89449e-16+0.000959424j -4.05458e-17+0.00177694j -6.07474e-16+0.00597368j 4.60927e-16+0.0031946j 5.09837e-16-0.000173669j -4.17179e-15-0.00442652j 3.86251e-16+0.00357635j -4.81973e-16-9.78754e-05j -3.77868e-16-0.00839495j 8.01582e-17-0.000677683j 1.7682e-16+0.00256789j -8.38745e-16-0.00263771j -7.44761e-16-0.00143676j 1.06867e-15+0.00436354j 2.43812e-15+0.00121056j 2.18797e-15+0.00128054j -2.07761e-16-0.00011863j -2.00465e-16+0.00298019j -3.74276e-16-0.00146042j -4.81619e-16-0.003232j 3.09086e-16+0.00053804j 6.76187e-16+0.00101828j 2.70813e-17-0.00477886j -1.23449e-15-0.00482753j -9.34564e-17+0.00201751j -1.34255e-15-0.00117903j -1.07641e-16-0.00347226j 9.09533e-16-0.00260232j -2.80278e-16+0.00178939j -4.0639e-16+0.000352872j -4.27939e-17-0.00162376j 5.49043e-16-0.00379118j -1.73722e-17-0.00510259j 3.74884e-15-0.00556451j -4.04649e-16+0.00151958j 2.81882e-16+0.00430449j -1.51175e-16-9.96894e-05j 1.95549e-17+0.00117726j 4.19875e-16-0.00292864j 2.48422e-16-0.00260196j 8.48211e-16+0.00458832j 1.25965e-15-0.000969032j 2.47562e-16+0.000631615j 5.36616e-17-0.00538477j -1.32621e-16-0.00214646j 9.78741e-17-0.000545652j 3.03445e-17-0.00515353j 1.13083e-16-0.000331144j -1.6462e-16-0.00182543j 5.70053e-16-0.00480177j 8.57357e-17-0.000589963j -4.50656e-18+0.00315654j -4.31954e-17+0.00434128j 4.24543e-17-0.00137321j 1.09629e-16-0.00392691j -3.44267e-17-0.00469682j -3.73958e-17+0.00295189j 3.34104e-15+0.00481369j -1.48816e-14+0.00310378j 
1.24356e-14+0.00247183j 2.74021e-15-0.00416909j 1.56291e-17+0.00215602j -9.36999e-18+0.00437947j -6.49392e-17-0.00311919j 8.32681e-17-0.0010611j 5.88993e-17+0.00405171j 4.17463e-17+0.00344279j 9.8998e-18-4.33249e-05j -8.71757e-17-0.00401042j -3.85057e-17-0.00252019j 5.03877e-17+7.75014e-05j 6.24914e-17-0.00452563j 7.81954e-17-0.000864862j -1.08859e-16-0.00212037j 9.94165e-16+0.00586371j -1.90819e-16+0.000608315j 5.22253e-16-0.000873053j -3.39075e-16+0.00398567j 8.22418e-17+0.00125591j -4.74811e-16+0.00344511j 3.97059e-16-0.000702944j 4.4245e-16+8.12659e-05j -4.73518e-15-0.00481785j 1.56593e-16+0.000263864j 2.99311e-15+0.00566535j 2.61562e-16-0.00482732j -4.12938e-16-0.00030929j 1.10412e-16+0.00215315j -4.46008e-16+0.000743977j -2.87681e-16-0.00125172j 1.09029e-15+0.00414796j 2.40039e-15+0.00170222j 1.64803e-15+0.00114316j -1.80063e-16+0.00103225j -5.25656e-16+0.00486948j -4.23805e-16-0.00441719j 2.82685e-16+0.00353499j -3.85118e-16-5.8614e-06j 1.66318e-16-0.00043356j -3.98558e-16-0.00102033j -4.77269e-16-0.00222431j -5.56859e-17-5.42498e-05j -7.87177e-16-0.00104659j -1.03916e-16-0.00226995j 7.30552e-16-0.00179538j 1.46098e-16+0.00129906j -1.14784e-15-0.00256261j -1.14121e-16-0.00264931j 3.30097e-16-0.00387861j -1.95182e-16-0.00576799j -1.23197e-16+0.000476347j -3.70818e-16+0.00361276j 1.43652e-16+0.00305006j -3.18426e-16+2.65909e-05j -7.83813e-17+0.00390413j 3.17242e-16-0.00348756j 3.0247e-16-0.00092107j 2.3866e-16+0.00159206j -3.29704e-15+0.0020484j 5.50984e-16+0.00170308j 1.30325e-16-0.00223278j -7.39746e-17-0.00387183j 7.74131e-17-0.00388101j 6.42976e-17-0.00303365j 1.19751e-16-0.00126407j -1.29448e-16+0.000508463j 5.64341e-16-0.0045135j -2.63426e-17-0.00218906j -5.23067e-17-0.00101932j -5.24264e-17+0.00266091j 1.96845e-17-0.00133374j 9.3898e-17-0.00463123j 1.31338e-17-0.00216628j 7.77366e-18+0.00394548j 3.99879e-15+0.00353364j -1.783e-14+0.00321823j 
-4.81516e-15-0.000811075j -1.06141e-15+0.000952897j -1.60721e-18-0.000967247j 6.65338e-20-0.000658223j 2.34242e-17+0.00118282j -2.47062e-17+0.000316621j -1.40037e-17-0.000758071j 2.08963e-18+0.000135614j 7.50979e-18+0.000494701j 3.70873e-17+0.00118971j 5.97271e-18+9.13555e-05j -9.82785e-18+0.00028733j -2.64853e-17+0.000652528j -1.53985e-16+0.00112911j 1.31476e-17+0.000997502j -1.58005e-16-0.000723695j -1.92615e-16+0.000291177j 4.32899e-16-0.000503794j 3.92297e-17-0.000191418j 8.87425e-18-0.000373745j 1.27615e-16-0.00125888j -9.67511e-17-0.000681211j -1.06975e-16+3.71678e-05j 8.71838e-16+0.000925731j -8.16278e-17-0.000759317j 1.11881e-16+3.85786e-05j 8.1153e-17+0.00176918j -1.8331e-17+0.00014307j -3.72358e-17-0.000539045j 1.76898e-16+0.000562974j 1.57394e-16+0.000301453j -2.23718e-16-0.000914446j -5.10681e-16-0.000251961j -4.59877e-16-0.000268589j 4.36036e-17+2.84533e-05j 4.09792e-17-0.000618153j 7.8195e-17+0.000296549j 1.03306e-16+0.000698045j -6.69077e-17-0.000114378j -1.43211e-16-0.000217794j -6.98233e-18+0.00101253j 2.60904e-16+0.0010191j 1.96749e-17-0.000428987j 2.82885e-16+0.000247317j 2.25577e-17+0.000730899j -1.91024e-16+0.000547485j 6.00294e-17-0.000376254j 8.2752e-17-8.30425e-05j 8.72671e-18+0.000336815j -1.15669e-16+0.000793638j 3.06687e-18+0.00106645j -7.97152e-16+0.00118422j 8.48634e-17-0.000311649j -5.94667e-17-0.00090534j 3.11337e-17+2.12722e-05j -4.37779e-18-0.000237975j -8.82571e-17+0.000611534j -5.18424e-17+0.000550152j -1.79555e-16-0.000970242j -2.78057e-16+0.000212393j -5.088e-17-0.000128905j -1.09785e-17+0.00113751j 2.79386e-17+0.000444077j -2.05887e-17+0.0001038j -6.23791e-18+0.00108585j -2.36681e-17+6.64177e-05j 3.46002e-17+0.000389586j -1.19398e-16+0.00100644j -1.83198e-17+0.000118527j 7.63611e-19-0.000674114j 9.00905e-18-0.00091438j -8.96352e-18+0.000287688j -2.30184e-17+0.000820126j 7.37264e-18+0.000991502j 7.98548e-18-0.000615039j -6.97588e-16-0.00101205j 3.10712e-15-0.000649605j 
-1.25225e-14-0.00215261j -2.7595e-15+0.00267317j -1.32014e-18-0.00247686j -3.39846e-18-0.00201742j 5.75716e-17+0.00308389j -6.69341e-17+0.000851277j -4.17952e-17-0.00221039j -1.01106e-17-7.95359e-05j 1.13503e-17+0.00114606j 9.38353e-17+0.00320135j 2.3703e-17+0.000497942j -3.14888e-17+0.00065395j -6.31642e-17+0.00202095j -3.73204e-16+0.00270309j 3.81708e-17+0.00254258j -4.85533e-16-0.0023376j -4.27033e-16+0.000602331j 9.46329e-16-0.0010626j 1.20846e-16-0.000895769j 1.16256e-17-0.00100525j 3.5227e-16-0.00329648j -2.59803e-16-0.00149124j -2.97762e-16+7.64735e-05j 2.55377e-15+0.00268445j -1.99206e-16-0.00178158j -9.79237e-17-0.00055666j 1.52025e-16+0.00463111j 4.13506e-18+0.000365266j -9.85882e-17-0.0014888j 4.51336e-16+0.00121382j 3.96031e-16+0.000838013j -6.41764e-16-0.00258207j -1.45338e-15-0.000775191j -1.24885e-15-0.000749834j 1.18173e-16-5.20069e-05j 1.48157e-16-0.00198084j 2.3701e-16+0.00118745j 1.90036e-16+0.00120731j -1.09285e-16-0.000263166j -3.46007e-16-0.000452975j 2.17856e-17+0.00245189j 6.51706e-16+0.00260425j 5.61662e-17-0.00098336j 7.42443e-16+0.000689758j 6.23673e-17+0.00194466j -5.24779e-16+0.00146749j 1.22262e-16-0.00101595j 3.2909e-16+0.000100493j 3.6545e-17+0.00107886j -3.02451e-16+0.00227271j 3.3404e-17+0.00311732j -1.83783e-15+0.00267735j 2.31886e-16-0.00113061j -1.52284e-16-0.00243594j 1.07824e-16+4.60381e-05j -8.77774e-18-0.000993869j -2.36933e-16+0.00180808j -1.57208e-16+0.001374j -4.35735e-16-0.00241949j -2.7302e-16+0.00025648j -1.83227e-16-0.000491434j -4.58538e-17+0.00287836j 7.83415e-17+0.0014656j -4.74172e-17+0.000681733j -2.4826e-17+0.00285046j -6.56713e-17+0.000297264j 8.93604e-17+0.00084071j -3.38254e-16+0.00283594j -3.48386e-17+0.000522882j 1.70846e-17-0.00143881j 2.9102e-17-0.00241245j -2.23863e-17+0.000815609j -6.01549e-17+0.00241958j 1.11246e-17+0.00253397j 1.3593e-17-0.00186835j -2.06375e-15-0.00273721j 9.19743e-15-0.00186521j 
-4.6722e-15-0.000684734j -1.02653e-15+0.000456427j 2.22668e-17-0.00103441j -2.53758e-17+9.7296e-05j 2.3991e-18+0.00113217j -2.09188e-17+0.000240842j -2.11481e-17-0.000160889j -3.54479e-17+0.00117537j -8.66299e-18+0.000820505j 3.02459e-17+0.000898564j 2.69173e-17-0.000539631j -1.79311e-17+0.000504807j -2.32506e-18-0.000147092j -2.827e-16+0.001662j -3.04528e-17+0.00109513j -3.08614e-17+0.000395472j -3.98796e-16+0.000657317j 9.08223e-16-0.00108792j -6.83723e-17+0.000774439j 4.01777e-17-0.000283368j 1.02896e-16-0.00117048j -1.07997e-17-0.00133965j -6.11559e-17+8.48995e-05j 1.79476e-16+0.000232227j -5.99046e-17-0.00120509j 9.37874e-16+0.00162356j 1.81927e-16+0.00164888j -1.47632e-16+0.000155649j -3.2842e-17-0.000314667j 1.37547e-16+0.00115199j 1.86616e-16+0.000162877j -8.37279e-17-0.000397537j -2.08016e-16+4.43446e-05j -3.21595e-16-0.000137446j 9.31229e-18+0.00033187j -1.06785e-16+0.000299533j 5.63347e-17-0.000716255j 1.72045e-16+0.00214713j -2.12782e-16-0.000194074j -1.78897e-16-0.000485759j -1.58741e-16+0.00142306j 2.85333e-16+0.00110288j 3.97843e-17-0.000736773j 2.60442e-16+0.00012822j 1.88347e-18+0.000605364j -1.24844e-16+0.0004273j 1.434e-16-0.000275719j -1.39886e-16-0.000844757j 1.9502e-19-0.000162124j -9.39935e-17+0.00026836j -2.82756e-17+0.000207607j -1.44012e-15+0.00212371j 1.03886e-17+0.000469533j -5.42975e-17-0.000684268j -3.66114e-17+4.311e-05j -6.66802e-17+0.000673666j -4.73247e-17+6.95209e-05j -1.96519e-17+0.000672327j -2.08493e-16-0.0011946j -1.41152e-15+0.000920944j 5.07505e-17+0.000251643j -1.07727e-17+0.0012998j 5.37617e-17-0.000317975j 3.07745e-17-0.000893078j -8.2265e-18+0.00099253j 5.87049e-18-0.000236009j -3.20031e-18+0.000795438j -3.83329e-17+0.000451774j -1.61669e-17-0.00040281j 3.33219e-17-0.00141475j 1.23705e-17-0.000806544j -7.02306e-18+0.000117149j 5.16477e-18+0.000105869j -5.7266e-18+0.0010724j -3.969e-18+5.05639e-05j -6.82693e-17-0.00073079j 3.14323e-16-0.00020768j 
-1.86833e-15-0.000198653j -4.57897e-16-9.25435e-05j -2.57869e-16-0.000440899j 2.86076e-16+0.0004503j 2.4849e-16+0.000414812j 2.43891e-17+5.27704e-05j 1.7434e-16+0.000262998j 6.48034e-16+0.00102672j 3.12724e-16+0.000498442j 1.18682e-16+0.000192286j -3.49483e-16-0.00055521j 1.94929e-16+0.000315954j -3.26529e-16-0.000493825j 4.29372e-16+0.000940302j 2.70354e-16+0.00048125j 5.78107e-16+0.000765265j 3.17435e-17+0.000456679j 1.25893e-16-0.000743911j 4.70443e-16+0.000829708j -2.63839e-18-6.1424e-05j -2.27431e-16-0.000409191j -5.35726e-16-0.000882845j 4.00312e-17+5.92255e-05j -5.13105e-16-0.00028768j -4.76405e-16-0.00071421j 1.81613e-15+0.0014994j 4.85722e-16+0.000578743j -8.52451e-17+6.76927e-05j -2.82958e-18-5.3327e-07j 5.38296e-16+0.000771618j 7.64473e-17-1.1966e-05j 1.41639e-16+0.000126711j 2.06916e-16+0.00017902j -3.43568e-17+1.78486e-05j 1.8132e-16+0.000295266j 2.98587e-16+0.000617827j -5.49265e-16-0.000832588j 1.18083e-15+0.00162985j -2.40611e-16-0.000119334j -3.10176e-16-0.000336061j 3.60216e-16+0.000780156j 4.27549e-16+0.00047672j -2.71019e-16-0.000455888j 7.59619e-17-1.48809e-05j 9.06897e-17+0.000168075j 4.68308e-17+0.000101407j 7.18387e-17-5.28909e-05j -6.72048e-16-0.00074579j -2.33269e-16-0.000335623j -1.57784e-16-0.000181761j -3.02216e-16-0.000387523j -3.62123e-17+0.00134262j 3.74477e-16+0.000609775j -1.02862e-16-0.000146779j -3.24166e-17+2.87641e-05j 4.5054e-16+0.00076074j -1.84231e-16-0.0002686j 2.21336e-16+0.000329417j -4.75734e-16-0.000589285j -6.75652e-16+0.000746555j 2.81166e-16+0.000306002j 3.76715e-16+0.000596518j -3.31473e-16-0.000540107j -5.56718e-16-0.000893j 2.04264e-16+0.000336959j -1.5405e-16-0.000257263j 3.27196e-16+0.000532327j -6.96797e-17-0.000126121j -3.01452e-16-0.000441906j -5.97184e-16-0.000957047j -1.507e-16-0.000256355j -3.74498e-17-4.72787e-05j -2.26938e-16-0.000348386j 2.84745e-16+0.000463239j 2.56285e-16+0.000382971j 2.43619e-16-0.000132114j -1.28491e-15+0.00015999j 
