-0.287464+2.10316e-12j 0.281101+3.06285e-13j -0.206687+1.60478e-13j -0.0199485-5.55816e-14j 0.0544929+1.15039e-13j 0.42295-2.79348e-13j -0.0787813+6.17332e-15j -0.0247175+1.51046e-14j 0.188178-2.01075e-13j -0.286103+8.28508e-14j 0.311323-2.85765e-13j 0.0435049-8.72814e-14j -0.0603873+1.01358e-14j 0.0436409-3.63124e-14j -0.0591718+4.5479e-14j 0.018596+1.54831e-14j 0.0677464-4.86488e-14j -0.00694618-3.81322e-14j 0.0211224-3.06829e-14j 0.108877-5.30053e-14j 0.0234331-1.46866e-14j 0.0953995-6.66189e-14j -0.0240527+7.9926e-15j 0.0637099-1.33423e-13j -0.00150196+2.15284e-14j 0.0321922-3.82857e-14j -0.038121+1.97457e-15j -0.048149+5.07548e-14j -0.0549646+3.05485e-14j -0.00616341-4.97856e-15j -0.0156865+1.37097e-14j 0.0156686+1.77341e-14j -0.0207967+2.59458e-14j 0.0462857-1.06483e-13j 0.00379565+2.27988e-14j -0.000231956+1.09922e-14j 0.00317532-2.52299e-15j -0.0223442+3.60756e-14j -0.0321712+4.07334e-14j 0.00238103-1.51736e-14j -0.00894096-6.49867e-15j 0.0293487-2.8213e-14j 0.0222161-2.05147e-14j -0.0353086+6.05879e-14j -0.0552982+3.12574e-14j 0.0334665-3.25745e-14j 0.0192516-2.0683e-14j -0.017162+2.35919e-14j -0.00246345+1.36581e-14j -0.0132459-6.68748e-15j -0.0622188+6.38398e-14j -0.00936383-8.03576e-16j 0.0210756-2.96027e-14j -0.0152193+4.79822e-15j -0.0379306+5.73559e-14j 0.0483246-7.48718e-15j -0.0785047+5.41359e-14j -0.0438358+2.26501e-14j 0.00453461+1.74442e-14j -0.00800279+2.35148e-15j -0.0155738+9.22801e-15j -0.00496152-1.12627e-15j -0.00799763+1.07792e-14j 0.0191261-1.35138e-14j -0.118471+8.04443e-14j -0.0311935+4.76613e-14j -0.00964151+4.10196e-14j -0.0902713+3.87681e-14j -0.0297993+2.92339e-14j 0.0882839-5.85274e-14j 0.00886225-4.03001e-14j -0.0591341+2.94531e-14j -0.0529698+3.79967e-14j -0.00249404+4.16098e-14j 0.109378-7.37364e-14j -0.11291-9.84233e-14j 0.0671548+5.93452e-13j 
-0.277163+2.88139e-12j -0.289376+5.54298e-13j -0.0561908+8.11562e-14j 0.201227-2.74592e-14j -0.429772+6.40041e-14j 0.0896137-1.56823e-13j 0.152873-1.4514e-15j -0.000485408+1.06978e-14j 0.189611-1.05842e-13j 0.342194+3.45734e-14j 0.186752-1.44913e-13j 0.15257-4.53431e-14j 0.0876381+7.10661e-15j 0.0363744-1.96672e-14j -0.00404718+2.01701e-14j -0.0791889+1.73589e-14j 0.0431005-3.02836e-14j 0.0829699+5.18087e-14j 0.0460594+2.90068e-15j -0.0582228-3.54865e-14j -0.0252719-1.41181e-14j 0.014237-2.78328e-14j 0.0411846+7.92742e-15j 0.0725938-1.05025e-13j -0.0648785+1.52572e-14j -0.0224616+3.07817e-15j 0.0693168+2.33615e-15j -0.00174376+6.28389e-15j 0.0419085+1.35972e-14j 0.0382505-1.79099e-14j -0.00086077-2.97909e-16j -0.070049+1.75133e-14j 0.00649244+2.2319e-14j -0.0215581+1.40377e-14j -0.0472909+4.88736e-15j -0.0318298+1.74734e-15j 0.000762913+1.10498e-18j -0.0659033+2.55725e-14j -0.0460808+1.25468e-14j 0.0396562-1.07028e-14j 0.0426792-7.55651e-15j 0.01313-1.1972e-14j 0.00484064-1.06985e-14j 0.00441341+1.00169e-14j 0.032177+1.14097e-14j 0.0356754-6.34738e-15j 0.00946254-1.23775e-14j -0.0151304+1.25825e-14j -0.0333053+1.18217e-14j 0.0249781-1.3492e-14j -0.0411682+3.97224e-14j -0.00674498+1.66623e-15j 0.044296-1.61526e-14j 0.0140472+3.54645e-15j -0.0741792+2.27556e-14j -0.0675426-1.14722e-14j -0.0362326+3.30509e-14j 0.0055898+1.85018e-14j -0.0597084+2.30878e-14j -0.0234069-2.76583e-14j 0.0149646-2.81965e-15j 0.0113839+9.24235e-16j -0.0127311+4.15468e-15j 0.000829065-6.21853e-15j 0.000185887+4.0278e-14j -0.0785298+2.57502e-14j -0.0942991+2.10116e-14j 0.0318998+3.19552e-14j -0.0234785+1.49905e-14j -0.00698871-2.98107e-14j 0.102729-2.26919e-14j 0.0399593+8.90828e-15j -0.00761853+1.99329e-14j -0.115214+2.20035e-14j -0.00643671-3.67814e-14j 0.0684777-1.35759e-13j 0.11417+6.83022e-13j 
0.0289475-3.9143e-13j 0.090036-8.6342e-14j 0.251638+2.85055e-16j 0.366728+4.99012e-16j -0.186323-4.59926e-16j -0.124706-1.90035e-14j -0.284297-3.33395e-15j -0.116092+2.63005e-15j -0.221733+1.33418e-15j 0.153476-5.60395e-15j -0.182279-1.65336e-15j 0.39444+4.95099e-15j 0.00409021+5.2782e-15j -0.00509785-2.50619e-15j 0.119405-2.23351e-15j -0.104304+2.35968e-14j 0.125092+5.07868e-14j -0.197118-1.73985e-13j -0.0872342-3.12953e-14j 0.0997782+5.74029e-15j 0.141177+1.35155e-14j 0.0176741-1.9453e-14j -0.142036+7.59937e-15j 0.0561981-6.1253e-14j -0.00789477+7.71199e-15j 0.144479-1.02676e-13j -0.0058664-7.2731e-15j -0.104093+3.25364e-14j -0.047629+1.75799e-14j -0.084292+1.19333e-14j -0.0279357-6.17492e-15j -0.102702+5.67734e-14j -0.111627+1.24409e-13j 0.0122724-5.53977e-14j -0.144662-6.6755e-15j -0.0052275-8.25505e-15j -0.00280411-4.53646e-16j 0.103209+8.49764e-15j 0.0906713-2.65348e-15j -0.0107974+3.67346e-15j 0.0623085-3.63152e-15j -0.0243471+6.34535e-15j 0.0448689+3.70114e-15j 0.0275849-1.63219e-14j -0.0541611+1.59655e-15j 0.0194624+3.36657e-15j -0.0298128+2.79519e-15j 0.0306389-1.25223e-14j 0.0265016-2.52556e-15j -0.034926+6.82883e-15j 0.00199278-5.70565e-15j -0.0423637-2.96412e-14j -0.00778664+1.59447e-15j -0.0158581-1.96348e-15j -0.0719497-2.48063e-15j -0.0270688-1.03122e-14j -0.0673714-5.88653e-15j 0.132498+1.28528e-15j 0.0601116-1.53352e-14j 0.0984379+1.47723e-13j -0.0658295+1.14036e-14j 0.0898058-6.4452e-16j -0.130858-4.69644e-15j -0.0124632+1.10475e-16j -0.0988988+1.59916e-16j 0.0380559-1.10099e-16j -0.0107286-1.8717e-15j 0.068732+8.82843e-15j 0.139871-5.41675e-15j 0.156966-2.53139e-15j -0.03654-8.51991e-16j 0.0242858+1.17621e-16j 0.0154788+1.82423e-15j -0.00416842-1.02664e-15j 0.0562349-7.56526e-16j -0.0586856+1.34697e-13j -0.094796-5.99922e-13j 
0.0818623-6.18289e-13j -0.0209459-1.36223e-13j -0.249912-4.01438e-15j 0.293224+3.17256e-15j 0.195846-2.10642e-15j 0.0683228+7.11679e-15j 0.228442+2.89674e-15j 0.361209+5.26969e-16j -0.32998+2.76511e-15j 0.201933+1.84982e-18j 0.463907+1.74098e-15j 0.0814377-9.82631e-15j -0.199779-5.86712e-15j 0.0535549-4.79022e-15j -0.0577291+1.29278e-14j 0.0642083+1.62315e-15j 0.141272+4.75922e-14j 0.0852109+3.66972e-14j -0.325556-4.33834e-14j -0.177478+3.83153e-15j -0.0615609+1.28482e-14j -0.147401-1.27565e-14j -0.0244152-1.13698e-14j -0.177096+1.71329e-13j 0.0791823-3.39177e-15j 0.054095-2.94762e-14j -0.144796-4.17097e-15j -0.078716+4.46033e-14j -0.149665+9.34297e-15j -0.0515113+2.27369e-14j -0.0488977+3.80002e-15j 0.0139725+7.758e-16j -0.0279366+1.80016e-14j 0.0636689-9.08248e-14j 0.128938+1.70366e-14j 0.024431+3.23644e-15j 0.0247678+1.85786e-15j -0.157201+8.35866e-15j 0.0347574-1.64807e-14j -0.0891163+1.97632e-15j -0.0773249+2.17953e-15j -0.0211648+1.45497e-14j -0.10942+8.51666e-15j 0.041844-4.94884e-14j 0.0450942-5.55109e-15j -0.0795639-2.83806e-14j 0.0259778+2.05847e-14j 0.0800555-1.54722e-14j 0.0608363-2.60083e-15j 0.0313936-4.41182e-16j 0.00997744+6.4267e-15j 0.0299087+1.86684e-14j -0.043642-1.7387e-15j -0.0307816+3.49872e-16j 0.0262281+4.10307e-15j 0.0198383+1.88483e-15j 0.0626426+7.99384e-15j 0.0154557-1.17541e-15j 0.0167604-5.92001e-15j -0.00523364-8.10379e-15j 0.0378617-1.071e-14j 0.0188077+1.04502e-16j 0.0468586+3.26739e-16j 0.00437783+3.17428e-18j 0.00312501-8.42943e-16j 0.0599461+1.92627e-15j -0.0481891-2.51589e-15j 0.128585+1.75593e-14j -0.00346205-5.54041e-16j 0.0829245-1.91125e-15j -0.0658653-2.4369e-15j 0.0995124-4.78005e-15j -0.0498322+6.86549e-16j 0.0438108-1.73045e-16j 0.049261-5.05937e-16j 0.0874521+1.56329e-13j -0.0751887-6.97324e-13j 
-0.00849754+6.68253e-14j 0.00044589+1.45248e-14j -0.0757644-1.38682e-15j 0.117168+1.09117e-15j 0.261442-3.88905e-15j -0.299581-3.0859e-14j -0.0229192-1.78541e-15j -0.275948+1.60285e-15j 0.220495+2.62962e-15j 0.084379-5.33461e-15j -0.266805-2.32262e-15j -0.00730594-2.01597e-15j -0.369222-1.17926e-16j 0.305754+4.30791e-14j -0.422748-2.2534e-14j -0.0246815-3.45324e-14j -0.526938-1.7845e-13j 0.187992+2.18721e-13j 0.23428+7.42481e-14j -0.0456875-7.53723e-15j -0.0848828-1.98375e-14j 0.138559+2.63361e-14j 0.0473547-1.11337e-14j -0.0850468+8.94088e-14j -0.0735136+3.82052e-16j 0.102954-8.36049e-14j 0.12791-5.0299e-15j -0.106749+6.70426e-16j 0.0726892+3.08833e-14j -0.199711+2.13951e-14j -0.00974955+4.32246e-16j -0.0453893+5.73793e-14j -0.163343+1.36953e-13j -0.00260874-1.99424e-14j -0.125507-1.4571e-14j -0.0475647-1.13802e-14j -0.0118649+2.95937e-15j -0.0891518+2.36378e-14j 0.0866917-2.85884e-14j -0.0140352-4.0801e-15j 0.0742116-2.4035e-14j -0.0575756+2.37801e-14j 0.0586361+8.94585e-15j 0.0935044-7.08024e-14j -0.0723743+2.46056e-15j -0.0888264-2.04133e-14j -0.0142733+2.21505e-14j 0.099353-2.68194e-14j 0.148848-5.9928e-15j 0.0802309-6.3277e-15j 0.0255289+9.92556e-15j 0.0490684+3.37064e-14j -0.0593246-3.06243e-15j -0.0741104+4.43415e-15j -0.00613226-6.44737e-17j 0.0377363+3.58714e-15j 0.0339028+2.94449e-15j -0.0206715-1.34021e-15j 0.0401045-9.84479e-15j 0.0412608+6.46637e-14j 0.0642779-1.56956e-14j 0.0466352+1.69918e-15j -0.0995649+1.26097e-15j -0.0434273+1.13168e-15j 0.0232808+1.42245e-15j 0.0342039+2.20735e-15j -0.0796172+6.45205e-16j 0.0848733+1.33526e-14j 0.0410431-5.73092e-15j 0.0825214+5.94581e-16j -0.00695057-1.44143e-15j 0.130416-8.37464e-15j -0.0704664+5.27592e-17j 0.031463-1.5915e-15j 0.105818-1.44838e-15j 0.029646-9.26585e-15j 0.0123039+4.22479e-14j 
0.00975126-1.50111e-13j 0.0405419-3.43155e-14j -0.00591253+7.0842e-16j -0.0111658-1.93875e-16j -0.170262+4.75588e-15j -0.336618-2.49912e-14j 0.270228-9.09115e-15j 0.0163982+2.83598e-16j -0.123818+3.77944e-15j -0.0618043+2.1953e-15j -0.0285409-8.57508e-15j 0.411409+9.2339e-17j 0.0178119-6.47895e-17j 0.123294+1.06148e-14j -0.211932+7.40611e-15j -0.141075+2.8438e-14j 0.0112469+6.31026e-14j -0.660629-5.03515e-13j 0.0240157-2.57979e-14j -0.211645+5.26874e-15j -0.0503653-3.33584e-16j -0.0841087+7.13508e-15j 0.251205-4.32633e-15j -0.0872819+1.22522e-13j -0.124517-5.38286e-15j -0.278069+1.77183e-13j -0.0661234+2.25888e-14j 0.140533-5.36052e-14j 0.086186-2.45338e-14j -0.161632+1.75269e-14j -0.0534268+9.45696e-15j 0.0919463+3.13993e-14j -0.177414+9.61104e-14j 0.0554814-1.12265e-13j -0.0198756+2.35469e-15j -0.127908-7.87559e-15j 0.0547989+3.79221e-15j -0.129746+1.52489e-14j -0.0252844-1.90934e-14j 0.0813983-3.55134e-15j 0.0404022-1.99318e-14j 0.0701869-1.47348e-14j 0.134931-2.11319e-14j 0.0395672-1.1394e-14j 0.110587-2.7402e-14j 0.0510609+2.34428e-15j 0.085633+1.90129e-14j 0.200683-4.52147e-14j -0.104413+5.65376e-15j 0.0334565-2.52666e-14j -0.0869402+1.53559e-14j 0.00937857+5.33546e-15j -0.0331714-8.26785e-16j -0.0636012-4.86492e-15j 0.0045859+6.86299e-15j 0.0545376+8.3413e-15j -0.00949637+1.13027e-15j -0.0384119-6.81718e-15j -0.0734404+1.89969e-14j 0.0973522+1.48353e-13j 0.10711-2.5998e-14j 0.0352737+6.39596e-16j 0.041578-4.64191e-15j 0.0259475-1.9358e-16j -0.0459084+7.334e-16j -0.0307886-3.09459e-17j 0.0658568-2.57714e-15j -0.00815181+2.57237e-16j -0.0395848+3.63611e-15j -0.0298235+2.27979e-16j 0.037321+4.35586e-17j 0.00413835-2.40971e-15j -0.092696+6.23654e-16j 0.0777111-1.73243e-15j 0.0292517-1.57164e-15j -0.0654456+2.1584e-14j -0.0267059-8.76096e-14j 
0.0474579-3.80236e-13j -5.86379e-05-8.35555e-14j -0.013067-1.29041e-15j 0.106414+3.60665e-16j -0.174399+3.26768e-15j 0.152415+1.46401e-14j 0.255397+2.60161e-15j -0.252224+2.26005e-16j 0.129781-1.10409e-14j 0.129694+1.28216e-15j 0.017772+9.34421e-15j -0.0845148-3.1255e-15j -0.271468-1.24071e-14j -0.237674-3.3005e-14j 0.190811+1.19735e-14j 0.321142-4.55755e-14j 0.156807+4.76246e-14j 0.142959+1.00846e-13j 0.115368+4.49295e-14j -0.466265-1.35592e-14j -0.00303595-4.73805e-14j 0.382912+3.51984e-14j -0.0452816+2.0542e-14j 0.216249-2.2343e-13j 0.112987-1.46091e-14j -0.325053+1.9682e-13j -0.0695776+1.72719e-14j 0.160872-1.725e-14j -0.184061-3.6219e-14j 0.0655728-7.888e-15j -0.0360755-3.75767e-15j -0.0365608+1.35557e-14j -0.0839194+6.79886e-14j -0.000187709+1.0798e-14j 0.05624+1.60869e-14j 0.0682569+1.3479e-14j 0.0106998-1.04667e-14j 0.202924-2.22101e-14j 0.0138546+2.13998e-14j -0.00591078+1.64731e-14j 0.0948866+7.71408e-15j 0.140905-4.11943e-14j 0.02653+5.98346e-15j 0.0480563-5.00022e-14j -0.0162787+4.21084e-15j 0.0583229+1.99622e-14j -0.0646845-9.08296e-15j -0.0271695-1.39587e-15j 0.0554141-3.55383e-15j -0.0211415+2.64372e-14j 0.0746554-1.28693e-14j 0.0843701+5.98244e-14j -0.0435803-9.66784e-15j -0.0164448+5.65532e-15j 0.0222314-2.00792e-15j 0.0139566+1.36251e-15j -0.0744928-7.17416e-15j 0.116547-5.36121e-15j -0.0638063+1.41077e-14j 0.0656647+9.93308e-14j 0.0386305-1.18256e-14j 0.0521511-4.1322e-15j -0.011184-3.79504e-15j -0.0917586-1.36657e-15j -0.0725983-1.52792e-15j 0.0357498-3.25372e-15j -0.0130398-1.95792e-15j 0.0876441+7.48847e-15j -0.0054069-1.55542e-15j 0.0468611-2.05209e-15j 0.0136204-1.42258e-16j -0.053387+4.2665e-15j -0.0283836-1.37395e-16j 0.0553394+5.74522e-16j 0.00122235-2.81119e-16j 0.0453003+1.71026e-13j -0.0940418-7.65918e-13j 
0.00572244-8.9673e-14j 0.0255296-1.4699e-14j 0.0923289+2.29198e-14j 0.0222806+3.75901e-15j -0.100823-2.0954e-14j 0.0721573+2.44641e-14j 0.0466718+9.71965e-15j 0.2277+5.62268e-14j 0.309996+6.92228e-14j -0.0538553-1.7504e-14j -0.0796151-2.74222e-14j 0.074884+1.64612e-14j -0.0433261-8.65813e-16j 0.409496+1.57652e-13j 0.207367+5.12883e-14j 0.117453+2.03005e-14j -0.0623521-3.20697e-14j 0.13705+1.49949e-13j -0.164455-4.59795e-14j -0.122654-2.68233e-14j -0.144929-5.05238e-14j 0.149973+5.07335e-14j 0.0444611-2.72585e-14j -0.430514+3.34849e-13j 0.447697+8.34091e-14j -0.0637802+6.58772e-15j 0.0369453+3.07311e-14j -0.0932305-3.58241e-14j 0.069877+2.70739e-14j 0.0634142-1.43158e-14j 0.128502+1.31599e-14j -0.0568385-1.74526e-14j 0.0756611-1.62808e-14j 0.0468532-9.70165e-14j -0.105755-2.80263e-14j -0.147584-5.60209e-14j 0.096593+1.71984e-14j 0.0835091+2.82037e-14j 0.0601066+7.79249e-15j 0.0883627+1.67413e-14j 0.0183865-7.84729e-15j -0.0404158-1.721e-14j 0.105646+1.44735e-14j -0.0498264+4.19139e-14j 0.0531239+8.21482e-15j 0.19108+9.74703e-14j -0.0123607-2.33728e-14j -0.00348275-1.30884e-14j -0.133907-2.20116e-14j -0.0453695-4.17022e-15j 0.0318581-6.5733e-15j -0.148134-1.31448e-13j 0.0390343+8.32183e-15j 0.0511695+4.93496e-15j -0.0770875-2.32367e-14j -0.0977517-3.17614e-14j -0.0710157-2.11477e-14j 0.0880702+2.60324e-14j -0.0313156+4.04352e-15j -0.0434321-8.09449e-14j -0.111051-1.0223e-15j 0.105961+2.54514e-14j 0.106223+2.1028e-14j 0.0860474+2.20547e-14j -0.106593-2.34623e-14j -0.106619-2.61296e-14j 0.0289753+5.79002e-15j -0.0164824-9.22868e-15j -0.0608149-8.22362e-15j 0.0271187+4.02153e-15j -0.0520078-1.15574e-14j -0.0812726-1.08892e-14j 0.0284522+8.59866e-15j -0.064392-1.53702e-14j -0.010819-3.31812e-15j -0.0478998+3.54972e-14j -0.0390913-2.17421e-13j 
-0.0208147+1.66715e-13j 0.000179427+3.60913e-14j 0.0478461-1.23105e-15j -0.0485201-7.82137e-16j -0.00774781+3.21278e-15j 0.0442672-6.18949e-15j -0.0352168-4.29285e-16j 0.103013+4.36719e-15j -0.0887241-1.18715e-15j 0.249699-3.90333e-14j 0.00352737-8.58867e-15j 0.140198-1.12986e-14j -0.166507+8.22356e-15j -0.000122188-2.01628e-14j -0.0790126+1.79537e-14j -0.0943946+5.61133e-14j 0.251518+6.35306e-14j -0.219052-2.14219e-13j -0.385274-3.59617e-14j 0.217361-8.67775e-15j -0.104811-1.68012e-14j -0.0971318-4.25156e-15j 0.601193-5.34579e-14j 0.0206923+4.65918e-14j 0.171593-3.51097e-14j 0.0769557-4.02134e-14j -0.287668+2.85147e-14j 0.0838049+2.69308e-14j -0.171233+4.83791e-15j -0.112916+3.91546e-14j -0.239939+2.32627e-14j 0.166842+4.1366e-14j -0.434631+2.72756e-13j -0.589111+1.08081e-12j -0.206573-9.80579e-14j 0.154084-2.7941e-14j 0.0984666-3.64386e-14j 0.0689043-2.4906e-14j -0.13518+4.7026e-14j 0.101239+9.38792e-15j 0.0940451-7.90643e-15j 0.000540845-2.51341e-14j -0.117196+3.41403e-14j 0.169391-2.06347e-13j -0.0195669-3.23165e-15j 0.0232734+2.2381e-14j 0.0333502+1.93815e-14j 0.0229886-6.10204e-16j -0.146009+2.87139e-14j -0.0543336+1.14274e-16j -0.0529045-4.20513e-15j -0.0805478-4.59894e-14j 0.130812-8.70872e-15j 0.0166995-2.1693e-14j -0.0693853+6.8495e-15j -0.0110347+5.78344e-15j 0.00323009+1.60457e-14j 0.012933-1.06837e-14j -0.0613209+3.869e-14j 0.0640517+8.76217e-14j -0.027588+1.16411e-14j -0.0835977+1.55011e-14j 0.0520468-8.60789e-15j 0.040715-5.13211e-15j 0.0126352-1.78234e-15j 0.031081-7.18429e-15j 0.0660955-5.10708e-15j 0.0582554-1.67758e-15j 0.00832259+4.7952e-15j -0.0428996-9.84928e-15j 0.0452309-9.93754e-15j -0.0160837+5.91703e-15j 0.0339365+1.58834e-15j -0.0849745+6.79323e-15j -0.0493735+3.6416e-15j -0.015087-5.70103e-14j 0.0303349+2.47493e-13j 
-0.0165308+1.38195e-13j -0.00321623+3.12987e-14j 0.0630267+3.06168e-15j -0.0819914-5.60381e-16j 0.0259345-5.31826e-15j -0.0201735+1.20342e-16j -0.0643059+1.74148e-15j 0.171136+5.51606e-16j -0.0661649+1.9129e-15j -0.0698655+1.93233e-14j -0.206476+6.96257e-15j 0.0676591+7.64004e-15j -0.181358-9.45658e-15j -0.191802-1.46753e-14j -0.0973136-1.46523e-15j 0.181856-5.41216e-14j -0.0442601+2.47774e-14j -0.0863615-6.32528e-14j 0.272831+3.08195e-15j -0.0348389+3.17691e-15j -0.198694-2.22871e-14j -0.0796501+2.24419e-14j 0.132432+5.99956e-14j 0.245451-2.39935e-13j 0.219081+4.04109e-15j -0.00640017-2.46862e-14j 0.269237-7.22885e-15j -0.0406482+3.2552e-14j -0.134144+1.73464e-14j -0.424458+5.32388e-14j -0.222239+1.23526e-14j -0.425977+9.46189e-14j -0.121434+1.97656e-13j 0.227285-4.5513e-13j -0.0358537+3.53673e-14j -0.110971-1.17724e-14j -0.059001+1.06934e-14j 0.0439448+1.27737e-14j -0.00917902-4.14208e-15j -0.00158713+5.54199e-15j -0.136811+8.87749e-16j -0.249931+7.34239e-14j 0.0653112-1.25244e-14j -0.17419+1.96326e-13j -0.119223+2.5618e-14j -0.0903139-3.08903e-14j 0.0466834-1.41715e-14j -0.0981537+3.16176e-14j 0.059824-1.70014e-14j 0.0071999-1.30497e-14j -0.0614089+1.72961e-14j 0.00728997-6.48822e-15j -0.0336838+9.59542e-15j -0.0476447+3.86627e-15j 0.0381376-4.46469e-15j 0.0589532+3.45945e-15j 0.0859609-7.24763e-15j -0.104058+8.79703e-15j 0.0707256-2.29649e-14j -0.0154654-1.6642e-14j -0.0491603+2.23789e-14j -0.00519269-8.74498e-15j 0.0215203+4.52219e-15j 0.0503728+1.95926e-15j 0.0722778+3.46162e-16j -0.0384865+1.43943e-16j 0.140147+1.20082e-15j -0.112475-1.36602e-14j 0.0429082+8.29233e-16j -0.119206+3.6779e-15j -0.02983+2.93832e-15j 0.0279571-5.83647e-15j 0.0616939+1.00681e-15j -0.0646691-1.73449e-15j -0.0639572+4.8718e-16j -0.050961-5.30832e-14j 0.0206152+2.35225e-13j 
0.00913886-4.2886e-14j -0.0172284-1.03357e-14j 0.000499778+2.40657e-15j -0.00599992-2.23097e-15j -0.105614-4.9042e-15j 0.0369327+5.28964e-15j 0.0986235+5.01948e-15j -0.0196107-6.92594e-16j -0.124874+4.0755e-16j 0.0782499-2.94768e-15j -0.258913-1.15e-14j 0.0377388+5.68029e-15j 0.141424+6.95787e-15j 0.125516+2.63878e-14j 0.0461113-1.73376e-14j -0.10837+5.24957e-15j -0.150266-7.17053e-14j 0.0156154+4.38443e-14j 0.177475+4.42572e-14j 0.0798028-3.26198e-15j 0.335596+3.52109e-14j 0.16811+2.19224e-15j 0.0240685-1.17084e-14j -0.0996999+8.69758e-14j -0.0789474+7.61808e-15j -0.0294174-4.9571e-14j 0.123693+2.40472e-14j -0.556899+2.15755e-14j 0.00372193+8.33305e-14j -0.0277174-4.38746e-15j -0.0299786+1.18911e-14j -0.0333147+4.32928e-14j -0.122193+1.11838e-13j -0.0257093-5.97972e-15j -0.259166-5.64725e-14j -0.266206-7.42774e-14j -0.385027+1.04824e-14j 0.0982122-3.21551e-14j -0.300683+3.70777e-14j -0.11025+3.73483e-15j 0.002567+1.40491e-14j 0.133996-2.78115e-14j 0.13346-3.08513e-14j -0.0653556+7.81237e-14j 0.20696-3.04894e-14j -0.104436-5.92994e-14j 0.0968945+2.96993e-14j 0.161202-1.92499e-14j 0.0628226-2.13558e-15j -0.0810895+3.98181e-15j -0.0565972-1.32791e-14j -0.114549-7.1578e-14j -0.262732-1.12544e-14j -0.0151889-5.66115e-15j 0.0924351+3.61544e-15j 0.0513554+5.21511e-15j 0.0624002+1.60495e-15j -0.0190099-7.12537e-15j -0.0524703+1.11667e-14j 0.079072+1.25129e-13j 0.186648-4.56791e-14j -0.0552709-6.36897e-15j 0.0030946+4.44926e-15j 0.00276005-4.28691e-17j 0.0322616+5.8819e-15j 0.0182875+8.95105e-16j 0.1844+7.43578e-15j 0.0268616-2.47369e-15j 0.0568118-1.12085e-16j -0.0565473-2.36022e-15j 0.0388746+3.3652e-15j -0.0248474-2.05834e-15j 0.00642233-5.26471e-16j 0.0176892+5.35981e-16j -0.0728354-4.48314e-15j 0.0303944+8.26173e-14j -0.0431585-3.69025e-13j 
