-2.22589-2.3307e-12j -0.227214-5.84397e-13j -0.652737-1.80102e-13j 0.259692+1.22193e-13j -0.075854-1.35571e-14j -0.161012-5.10102e-14j 0.0112487-3.51138e-15j 0.0473992+1.43687e-14j 0.0480728+1.43777e-14j -0.0274222-3.2191e-15j 0.0719876+2.32097e-14j -0.0123991-1.23653e-15j -0.0234184-7.26811e-15j 0.0198019+5.11249e-15j -0.0157932-2.38138e-15j -0.015559-6.79399e-15j -0.0310993-9.27102e-15j -0.0363541-7.62278e-15j -0.00997804-3.54131e-15j -0.0193935-3.02572e-15j 0.00994391+3.36857e-15j 0.0221401+5.90407e-15j -0.00356822+3.25648e-16j -0.0380256-9.90223e-15j -0.0126095-4.89319e-15j -0.0134275-2.92992e-15j -0.0048982-1.97908e-15j 0.00407183+1.19748e-15j -0.0142318-2.08869e-15j -0.00403335-2.38716e-15j 0.0126915+2.89969e-15j 0.0213346+1.21971e-14j -0.00399717-3.40623e-15j 0.0181048+3.36995e-15j 0.00865034+4.11086e-15j 0.0125412+5.17311e-15j -0.000282333-1.16825e-15j -0.02835-1.23249e-14j -0.0285721-8.44323e-15j -0.0025476+3.68568e-15j -0.00845161-4.48524e-15j -0.0183488-5.44465e-15j 0.00655933+2.1089e-15j 0.0174789+4.22586e-15j 0.0182191+3.69309e-15j -0.0278659-9.10266e-15j -0.0134169-3.84425e-15j 0.00488593+1.78616e-15j -0.00135268+5.73069e-16j 0.00423799+2.82787e-15j 0.0353171+9.62994e-15j 0.0139292+5.13831e-15j -0.00606552-2.58627e-15j 0.00913489+1.02227e-15j 0.0290631+9.1197e-15j 0.00178959-2.29559e-15j 0.0445791+1.24639e-14j 0.0254165+7.92723e-15j 0.00558208+3.15663e-15j -0.00638745-9.9901e-16j -0.00432886-1.96434e-15j 0.00607664+2.69121e-15j 0.0146053+5.51941e-15j -0.000757711+8.09359e-17j 0.0481203+1.16366e-14j 0.0420625+1.45826e-14j 0.00453819+4.2127e-15j 0.0249718+6.63418e-15j -0.0012749-1.01706e-15j -0.0421664-1.06218e-14j -0.0430792-1.55645e-14j 0.0187582+2.6485e-15j 0.0337052+9.90034e-15j 0.0334927+1.33174e-14j -0.0523942-1.32138e-14j 0.0435476+4.1298e-14j -0.0520362-1.61016e-13j 
0.227823-3.36803e-13j -2.22423-8.91851e-14j 0.256807-3.98971e-14j 0.649974+2.71476e-14j 0.133394-3.30088e-15j -0.0557779-1.13359e-14j -0.107934-7.44538e-16j 0.00723819+3.03665e-15j 0.00660435+3.18035e-15j 0.0790434-5.19221e-16j 0.0321984+5.04618e-15j 0.039046-2.82074e-16j -0.00396322-1.60269e-15j -0.0104855+1.29422e-15j 0.0355311-4.00633e-16j -0.0218438-2.43661e-15j -0.00291354-2.02123e-15j -0.0177943-8.77757e-16j -0.0140294-2.51814e-18j 0.0422913-7.25065e-16j 0.00543532+5.02827e-16j -0.0105735+1.25555e-15j 0.0197329+1.01554e-16j -0.00462096-2.38644e-15j -0.0165441-1.68237e-15j 0.0175484-5.33514e-16j -0.0125693-4.13033e-16j 0.00207962+1.7715e-16j 0.0345122-2.50463e-16j -0.0188663-4.78957e-16j -0.00511639+1.11996e-15j 0.00447864+3.19174e-15j -0.0283427-7.89986e-16j -0.00685673+1.76388e-15j 0.0228833+9.29993e-16j 0.0206185+1.62382e-15j -0.0153938-6.92125e-16j -0.0196098-1.06461e-14j -0.00635762+9.90583e-15j -0.0153119-2.40561e-14j -0.0313786-1.24167e-15j 0.00681278-7.97201e-16j 0.00187249+3.65298e-16j -0.00807772+1.11357e-15j -0.0224336+8.52702e-16j -0.00937692-2.23496e-15j 0.00571697-8.66411e-16j 0.00729931+5.14541e-16j 0.0130319+9.41793e-17j 0.0208688+7.71334e-16j -0.0144698+2.36079e-15j 0.00299228+1.24433e-15j -0.0119193-5.3143e-16j -0.00904668+1.2608e-15j 0.0126238+2.05964e-15j -0.0449086-7.29696e-16j -0.00935736+2.47526e-15j 0.00407387+1.73897e-15j 0.0239126+1.22445e-15j 0.0142369-1.55799e-16j -0.0106326-5.02363e-16j 0.0123771+7.83212e-16j 0.0187377+1.02246e-15j 0.00475534-1.26114e-16j -0.0393895+2.69841e-15j 0.0350315+3.40871e-15j 0.044295+7.77239e-16j -0.0117082+1.49878e-15j -0.0100634-2.01567e-16j 0.0277375-2.28341e-15j -0.0460528-3.22416e-15j -0.0466973+1.12703e-15j -0.00329514+2.2649e-15j 0.0533214+2.93396e-15j 0.0321827-2.79382e-15j -0.0521457+1.85634e-14j -0.0435789-7.78208e-14j 
0.122274+8.15725e-14j -0.060371+1.82354e-14j 2.08876+1.72087e-14j -0.157854-1.83293e-14j -0.577363-1.95044e-15j 0.0464487-8.1179e-16j -0.716557-1.53224e-15j -0.364698-5.09181e-15j -0.323567+6.03981e-16j -0.127476-1.04819e-15j -0.00120319-6.17546e-17j 0.124524+8.0084e-16j -0.0277435+6.05361e-16j 0.0371549+2.78699e-16j 0.0185064+1.95646e-16j 0.0382053+2.20548e-15j 0.0160292-7.99013e-17j -0.0257643+2.6091e-15j -0.000527223+5.21798e-16j 0.0542119+4.66736e-16j -0.0322551-4.96551e-16j 0.0241408+1.07546e-16j 0.020004+7.88009e-17j 0.0408489-1.70138e-15j 0.0153353+4.09419e-16j 0.0349038-3.69443e-16j 0.0528206-2.40699e-16j 0.00756784+5.21857e-16j -0.0182538-4.02428e-16j -0.0330317-1.17619e-16j 0.00928015+2.29894e-16j -0.0413349-1.17136e-14j 0.0218682+8.09198e-16j -0.00470682-7.23929e-17j -0.0633024-3.50656e-16j -0.0023205-2.41177e-16j -0.0158978-1.55867e-16j -0.0336426-9.6341e-15j -0.00786424+5.35724e-15j 0.00296284+1.80363e-15j 0.027044+4.54088e-16j 0.013021+3.39375e-16j -0.0233423-7.97313e-17j 0.00413821+7.32122e-17j -0.0188461-1.33784e-16j 0.0366261+8.32037e-16j -0.0225406-3.47124e-16j 0.010682-1.81268e-16j 0.00349159+7.40237e-17j 0.0335022+3.62949e-16j -0.00124038+6.99461e-17j -0.0173073-7.22722e-16j -0.00357425+6.67287e-17j -0.00149054+5.45414e-16j -0.0253802+4.91557e-17j -0.00863811-1.15225e-16j -0.0524947-2.20667e-16j 0.0470718+1.42489e-16j 0.0240666+7.29681e-16j 0.0186356+6.01402e-16j -0.0287751-3.46071e-16j -0.0398766-1.22966e-15j -0.0407065+7.82667e-17j -0.0278637+2.2777e-16j -0.0406984-7.29226e-17j 0.0164265-5.1664e-17j 0.02132+3.0968e-16j 0.0189778-1.11088e-16j 0.0522521+8.57699e-17j 0.0485146-1.00857e-16j -0.00475259+2.17667e-16j -0.0221107+6.49281e-17j 0.0400654+1.94662e-16j -0.0126092-2.0352e-16j 0.0262636-1.92772e-17j -0.0371133+1.643e-14j -0.0406359-7.48824e-14j 
-0.0590409-6.46322e-14j -0.122297-1.43417e-14j 0.184494-1.54727e-14j 2.01957+1.68567e-14j -0.112056+1.78923e-15j 0.13561+4.59704e-16j -0.303741+1.66057e-15j 0.86348+4.9566e-15j -0.217254+1.16626e-15j 0.119209+9.82625e-16j -0.0060941-2.88246e-16j -0.0172593-8.26515e-16j -0.132893-5.98608e-16j -0.0316273+2.54146e-17j -0.00602955+1.65543e-17j -0.0252159-1.14777e-15j 0.0410436-8.02433e-17j -0.0141533+1.92184e-15j -0.0813222+1.47477e-15j -0.00773494-7.3665e-16j 0.0450289+3.03221e-16j 0.00733408-2.06231e-17j 0.00299147-2.22257e-16j -0.00174346-1.80493e-16j 0.00619714+2.65051e-16j 0.0177114+3.05243e-16j 0.0172502-6.4318e-16j -0.018227+7.34871e-16j 0.0547573+3.39318e-16j -0.0369684-1.82113e-17j -0.00896303+4.68284e-16j 5.91923e-05-3.29522e-16j 0.0242027+2.89403e-16j -0.0107318+1.12749e-15j 0.00384118+3.11955e-16j 0.0257373+4.67944e-16j 0.000216227-4.08317e-16j 0.019765+7.20007e-15j -0.019329+3.15388e-15j -0.0279878-2.77874e-14j -0.0314527-3.49872e-16j -0.0125965-3.05128e-16j 0.012657+2.61612e-16j 0.0145333-3.65064e-16j 0.00571924-6.76478e-17j -0.0393026-1.00939e-15j 0.0127934-6.65629e-17j 0.0403487-2.59414e-16j 0.00320351+1.95558e-16j -0.00563622-3.44605e-16j -0.0232681-2.0508e-16j 0.00712614+1.81975e-16j -0.0062729+9.55846e-17j 0.00836996-6.14056e-16j -0.0212028-5.22711e-17j 0.00447326+1.89672e-16j 0.0126804+1.34271e-16j 0.0562995+2.52816e-16j 0.00757539+1.76557e-16j -0.00395486-1.99003e-16j 0.00953105+2.48711e-16j -0.0163496-3.67811e-16j 0.0024449+1.69987e-16j 0.0103017-4.02338e-18j -0.0373947+3.33918e-17j 0.0457666+1.48099e-16j -0.0393376-1.75573e-16j 0.0449251+2.42566e-16j -0.00874775-1.91803e-16j 0.0477343+1.71731e-16j -0.0551465-4.0733e-16j 0.0490627+3.29145e-16j -0.00504055+2.73401e-16j 0.0273013+2.33377e-16j 0.015758+9.82683e-17j 0.0406984+2.54087e-14j -0.039713-1.12916e-13j 
0.00666446-2.17878e-15j -0.0423514-4.00192e-16j -0.0720563-2.19541e-16j -0.0982611-2.96871e-16j 2.05998-9.55629e-16j -0.0218724+1.85263e-15j 0.325941-1.11428e-17j -0.0146982+1.2842e-16j -0.672699+3.31181e-15j 0.125857+4.39963e-16j 0.426435-7.02875e-16j -0.162021+5.43697e-16j 0.194006+8.33398e-16j -0.315732+6.34958e-16j 0.190291-6.3127e-16j 0.113328+5.54806e-15j 0.0823261+5.6496e-17j 0.0139042-1.34887e-15j -0.00695686-8.40482e-16j -0.0957859+2.3757e-16j 0.00673667+1.77196e-17j 0.0353981+3.28303e-16j 0.0727268-1.85216e-16j 0.0138058-9.49643e-16j -0.0141792-3.48889e-16j -0.0281466+3.53202e-17j -0.0209348+4.53557e-16j 0.0434612-8.13442e-16j -0.00444486+2.97664e-16j 0.0552406+4.59441e-16j 0.0193849-1.09077e-15j 0.047642+1.33926e-14j -0.0437445-1.11506e-15j 0.0171669-1.06474e-15j 0.070215+1.46269e-16j 0.0115255+4.78253e-16j -0.0425069-5.39696e-16j -0.00329867-9.97619e-15j 0.0396003+7.30473e-15j 0.0121653-3.76014e-15j -0.041691-8.65087e-16j 0.0241205+1.14765e-15j 0.0534439+1.88656e-16j -0.0266407+3.74291e-16j 0.046443+1.77781e-16j 0.0340156+7.63205e-16j 0.00673778+4.62645e-16j -0.0446589+3.34065e-16j -0.0368898-4.22495e-16j 0.0446443-1.43893e-16j -0.0237242+2.62816e-16j -0.000257276+3.15311e-16j 0.0282335-3.87434e-16j 0.0179395-1.40482e-15j 0.0108132+8.07188e-17j -0.0051894+2.31347e-16j -0.0118-1.771e-16j -0.00422611-1.11614e-16j -0.00427135-1.89099e-16j -0.014467-1.69798e-16j -0.0308579-5.97744e-17j 0.034738+1.05148e-15j 0.0627645+2.58912e-17j 0.00602266-1.23853e-16j 0.0171178+1.71321e-17j -0.00975311-1.35105e-17j 0.0475415-1.56024e-16j -0.0126389+9.49238e-17j -0.0160372-2.79586e-18j -0.0464732+2.00819e-16j 0.011249+1.29867e-17j -0.0658835+2.23e-16j 0.0404291-7.29204e-17j -0.013098+7.74793e-17j -0.0438246-4.26352e-17j -0.00874467+7.51605e-15j -0.0167735-3.41826e-14j 
0.0722134+5.27011e-14j -0.00713931+1.16599e-14j -0.0287366-1.17353e-15j 0.00986051-5.51404e-16j -0.0477861+1.7229e-15j 1.87762+1.25773e-14j -0.0649906-2.77967e-16j -0.0753289-5.50813e-17j -0.0127751-1.00254e-15j -0.214734-4.76616e-16j -0.140298-2.4154e-16j 0.477754+3.47591e-15j 0.241814+3.07668e-15j -0.235419-1.06806e-15j -0.126302-1.39053e-15j 0.127625+7.67548e-15j -0.101198-1.07632e-16j 0.163172-1.65852e-14j -0.0984782-3.04527e-16j 0.00532585-6.71616e-16j -0.00265949-1.12336e-15j 0.0836033+1.4759e-16j -0.00726989+2.73621e-17j 0.0285436-1.04039e-15j 0.0406577+1.63021e-15j 0.00851623+9.19216e-17j -0.0235686+1.17015e-15j 0.0585769-1.19725e-15j -0.0230658+6.1463e-16j 0.00682564+7.87641e-16j -0.057527+9.11718e-16j -0.047871-1.30687e-14j 0.0083178+1.08255e-15j -0.00435886+2.64157e-16j -0.00197227+4.79377e-16j -0.0395134-6.59832e-16j -0.0242037-6.32051e-16j 0.0470618+1.87458e-14j 0.0059927-1.99588e-14j 0.0152089+2.93204e-14j -0.0217256-7.59082e-16j 0.0292842+9.89684e-16j -0.0335567-1.81578e-16j -0.00244752-2.7738e-16j -0.00572883+5.00666e-16j -0.00242525-1.58239e-16j 0.0483865+1.23624e-15j 0.046571+2.68894e-16j -0.00325799-4.80257e-17j -0.0142271-5.0671e-16j -0.0540717-3.60963e-16j 0.00290283-1.13655e-16j -0.0270146-3.49333e-16j -0.0317727+2.39256e-15j 0.00676669+6.69987e-16j -0.0109191+3.09804e-16j 0.0095003-9.28618e-17j -0.0141404-1.55576e-16j -0.011401-1.88172e-16j 0.0806206+1.54104e-15j 0.0364621+3.35965e-16j 0.00775675-4.80389e-17j 0.010012+2.92712e-16j 0.022332-3.81674e-16j -0.01643-5.5559e-17j -0.0227741-3.38596e-16j 0.0310132+3.14892e-16j 0.0154836-1.70482e-16j -0.0166252-1.5129e-17j 0.00563265+1.49763e-16j 0.0158416-1.92467e-16j -0.0142037-4.36962e-16j -0.0628515-7.24722e-16j 0.0480881+5.5919e-16j 0.0176048-2.23945e-16j -0.0347361+2.71834e-15j -0.0136761-1.37606e-14j 
0.00758021+1.72578e-14j 0.0702062+3.78259e-15j -0.125804-3.61413e-16j -0.0561509+2.13527e-16j -0.16606+3.35403e-16j -0.0223573-1.19288e-16j 1.86139-2.65789e-16j 0.0340523-8.44049e-16j -0.138916+7.68426e-16j 0.0578883-8.75231e-16j 0.166338+1.78511e-16j -0.494823+8.65473e-16j 0.704727-4.66029e-17j 0.0437961-2.21297e-16j -0.158038+8.56827e-16j -0.148345-6.60649e-15j 0.0557239-6.07835e-16j 0.0708867-7.31805e-15j -0.119428+1.44714e-15j -0.154628-5.05451e-16j -0.132285-7.88697e-16j 0.00399574-2.65652e-16j 0.0355029+8.23088e-17j -0.0343368+1.03684e-15j 0.00340516-5.42714e-16j 0.0119894-5.02837e-16j -0.0615661+3.56553e-16j -0.0381812-4.95459e-16j -0.0630116-1.10622e-16j 0.00444569-2.56336e-16j 0.00705045+1.58687e-16j 0.014462+4.47847e-15j -0.0496326-4.79407e-16j -0.0178375+2.00142e-15j 0.0411645-3.12131e-16j -0.0120382-6.04603e-16j 0.0515701+5.19379e-16j 0.0102101+1.97041e-15j -0.018419+9.22221e-15j -0.033918-3.88735e-14j 5.22967e-05+2.19982e-16j -0.0520494-1.28274e-15j 0.0603308-4.15872e-17j -0.0261845+5.57809e-16j 0.0309105+2.42389e-16j -0.0138246+2.71071e-16j 0.0274499-2.37954e-17j -0.0134527+7.02624e-17j -0.0202628+1.84784e-17j -0.0272412-3.94574e-16j 0.00926547-2.83248e-16j -0.0563094-2.96945e-15j 0.00687503+3.5339e-16j -0.00451714+3.7912e-16j 0.00357471-1.19918e-18j 0.0457367-1.35275e-16j 0.0398223-5.97096e-17j -0.0738284+4.7863e-18j 0.0373829+1.0167e-16j -0.0218583-5.81703e-16j -0.0128204-2.84361e-16j 0.00122819-6.15381e-18j -0.017842-1.26372e-16j 0.0398066-5.65856e-16j 0.0428248+7.28022e-18j -0.0493992+1.03129e-16j 0.013038+1.04113e-16j -0.0376955+1.69262e-16j 0.0299035+2.30772e-17j -0.0127266+6.01811e-17j 0.0216079+6.68695e-17j 0.021876+2.50466e-16j 0.000799744+1.34615e-16j -0.0407594+1.28764e-16j 0.00615842+1.14597e-16j -0.0315226-2.67195e-14j 0.0449013+1.20034e-13j 
-0.0386461-2.89906e-14j -0.00376761-6.60679e-15j -0.0842258-9.01369e-16j 0.158531+7.62019e-16j -0.0894311+9.4334e-16j -0.0545696+9.69657e-16j -0.133594-4.88737e-16j 1.67047-2.86685e-15j 0.0247249+3.47244e-16j 0.0974993-9.84292e-16j 0.0269558-4.98031e-16j -0.254582-3.57848e-16j -0.248393+3.1658e-16j -0.84568+4.37948e-15j -0.435713+6.7154e-16j -0.208361-7.51795e-15j 0.0820323-1.0494e-15j -0.202745+2.22823e-14j -0.06819+3.13374e-15j 0.0443668-6.74427e-16j 0.141374+6.07433e-16j -0.0772996+6.19383e-16j 0.0103325-3.24278e-16j -0.00361172+3.08547e-16j 0.0317001+6.91394e-16j 0.0393358+5.24722e-16j -0.019552-4.01647e-16j -0.0134016+7.02485e-16j 0.046223+3.13374e-16j -0.0104631+2.81924e-16j -0.0346938+1.20516e-15j 0.0393693+1.1063e-14j -0.0194668-5.114e-16j -0.0061984+3.80175e-16j -0.0262738-9.46932e-17j 0.0262935-1.33139e-16j 0.0736367+1.0716e-15j -0.0352429-3.40354e-15j -0.0252008-3.36155e-15j 0.0104953+2.19392e-14j 0.0107737+7.28152e-16j -0.016797-1.31968e-16j -0.0292753+3.36874e-16j 0.0278093-6.85193e-16j -0.0471604-2.94246e-16j -0.0712529-1.57489e-15j -0.0222889-7.27465e-16j -0.0186449+2.17168e-16j 0.0494075-1.33614e-16j -0.0302681+1.56723e-16j 0.0233331-2.37258e-16j 0.0531335+2.26735e-15j -0.0102663+2.47032e-16j 0.00159448-5.32882e-16j 0.0214959-4.479e-17j -0.0218705-1.03472e-16j 0.0292685-1.93139e-16j 0.0162244-2.23568e-16j -0.0332249-4.75383e-16j 0.0220707-1.78617e-16j 0.00894656+2.09067e-16j 0.0376366+1.21876e-15j -0.055344-1.54828e-17j -0.0240161+3.99638e-16j 0.0204808-8.93696e-17j 0.0417491+1.96862e-16j -0.0672054+1.27949e-16j -0.0156748+2.27411e-17j 0.00169047-9.28811e-17j 0.00537695-2.15515e-17j -0.00908813+5.61302e-17j 0.0222493-3.28775e-16j -0.0373411+1.30615e-16j 0.0417853-1.58501e-16j -0.0237598+1.06441e-16j 0.0334177-9.23414e-15j 0.0248461+4.01094e-14j 
-0.0230912-1.48689e-14j 0.0138201-3.29694e-15j -0.0698518-6.58584e-17j -0.0677203-1.14638e-16j -0.0350973+3.28806e-16j 0.0946239+3.68051e-16j 0.0480931+9.65996e-17j 0.186594+1.34707e-16j 1.56473-5.92957e-15j -0.0657454-7.37194e-16j 0.216797+5.38703e-16j -0.121812-1.15708e-15j 0.328104-8.69752e-16j -0.0852554+3.83371e-18j 0.0388555+1.72351e-15j -0.472937-2.53958e-14j -0.115268-5.37321e-16j 0.219871-2.56424e-14j 0.253721-5.20793e-15j -0.258427-6.18925e-16j 0.0998173+2.17097e-15j 0.138259-9.29011e-16j 0.12112+5.51837e-16j -0.158041+6.22237e-15j -0.00415372-1.10899e-15j 0.133397+8.72497e-16j -0.193302+1.64168e-15j -0.0312796-2.39741e-15j 0.0690195+1.1095e-15j 0.0248279-1.91465e-16j -0.087224+2.63483e-15j -0.0129707-2.39646e-15j -0.0295471+4.72667e-16j 0.0115174-1.50353e-15j -0.0371697+4.43068e-16j -0.0108395-1.69142e-16j 0.0553431+8.46273e-16j 0.0294957+1.70264e-14j 0.000557989-2.45601e-14j 0.0304534+5.16828e-14j 0.00825571+8.17753e-17j -0.012582-1.30533e-16j 0.0301183-4.15315e-16j 0.0404934-5.6839e-16j 0.020979-1.61021e-16j -0.0374949-7.76346e-16j 0.00386916-4.35707e-16j -0.0149466+1.0617e-16j 0.0290549-2.07959e-16j -0.00383329+2.36883e-16j 0.00186279+2.01441e-16j 0.00947292+4.785e-16j -0.0232472+9.48685e-17j -0.028061+2.01837e-15j 0.0236451-8.52251e-18j -0.00845986-3.22649e-16j 0.0396285+3.79011e-16j -0.0116614-1.32663e-16j -0.0172839+6.83598e-17j 0.0882682+1.11665e-15j -0.00852561-5.33151e-17j 0.0558844+1.79678e-15j -0.0529527-3.46382e-16j -0.00565033+4.77738e-17j 0.072141+4.33817e-16j -0.00281637+1.67271e-16j 0.00274441-1.24787e-16j 0.0337775-4.97273e-17j 0.056979-1.5759e-16j -0.00124491-3.72763e-16j 0.0463519+1.40042e-16j -0.00314162-1.21507e-16j -0.0214125-2.63623e-16j -0.00459093+1.15129e-16j -0.0380259+1.16684e-16j -0.0064557-6.57974e-15j 0.011318+2.95279e-14j 
-0.00926993-1.27681e-14j -0.0366388-2.91776e-15j -0.0663949-1.16416e-16j -0.00277248+2.7174e-16j -0.00230714+5.08627e-16j -0.0168072+6.02441e-16j 0.0607297-5.41083e-16j 0.0487807-7.10398e-16j 0.0170299-6.79888e-16j 1.60463+7.01051e-15j 0.263959-9.37886e-17j -0.149459+9.27454e-16j 0.111309+4.98905e-16j -0.414214+1.0532e-15j 0.0145869-3.44911e-16j 0.0694285+5.36346e-15j 0.343393-7.27339e-16j -0.220358+2.61801e-14j -0.376281+7.86916e-15j -0.00816504-1.42201e-15j 0.0711946-5.9663e-18j -0.234-7.18549e-16j 0.18025+1.45348e-16j -0.0227223+1.19507e-15j -0.230338-6.88836e-15j -0.0193241+1.01865e-15j -0.0875391-1.20829e-15j -0.0263412+7.22014e-16j 0.212557+1.15731e-15j 0.0463812+4.14961e-16j -0.0566643+1.76106e-15j -0.0121364-2.81632e-15j 0.0474575+3.089e-16j -0.0186816+1.93829e-15j 0.042817-9.84798e-17j -0.00911246-1.54283e-16j 0.03532+9.07408e-16j -0.0430486-3.58743e-14j 0.0136879+5.79082e-14j -0.0773903-1.31774e-13j 0.0293734+6.25832e-16j -0.0450492-1.21714e-15j -0.0106635-5.25929e-17j -0.0435577+2.24479e-16j -0.00772122+1.06537e-16j -0.0603873-1.54496e-15j -0.00693165+1.48512e-17j -0.030198+4.75739e-16j 0.0439769+7.11698e-17j -0.00551953+5.85117e-16j 0.0583718+3.04753e-16j -0.00156226+1.35196e-16j -0.0693606+3.42487e-17j -0.0294602+1.88676e-15j 0.0688141+2.04122e-16j -0.0213077-3.36541e-16j 0.0498414-2.31921e-16j -0.0628401-5.28668e-17j 0.0333685+4.41057e-16j -0.00743663-2.21192e-16j 0.0332029+5.95775e-16j -0.0145511-6.4245e-16j -0.0150857+1.27044e-16j -0.00705428-1.71801e-16j 0.0379477-2.62123e-16j 0.00521491+1.82676e-16j 0.065667+3.93449e-17j -0.0513242-7.12022e-17j 0.0417601-2.23009e-16j -0.04073-5.65778e-18j -0.0184533-9.2411e-17j 0.0187122+2.72505e-16j 0.0103405+5.38147e-16j 0.0192559+2.06571e-17j -0.0249764+2.06353e-16j -0.00420457+4.87065e-15j -0.0104614-2.21801e-14j 
-0.041926-2.91744e-14j 0.011774-6.46347e-15j -0.00965899+3.45096e-16j -0.0255128+8.14598e-17j 0.130463-1.03322e-16j -0.0764724-1.13642e-16j 0.0390341+8.59286e-17j -0.106626-3.78801e-16j 0.0803085+8.69529e-16j -0.246078-1.50153e-15j 1.45498+4.78019e-16j -0.550248-1.09146e-15j -0.168653+2.10998e-16j -0.113177+1.36807e-15j 0.409157+2.53971e-16j 0.156231+5.82554e-15j -0.226363+1.55098e-15j 0.0269041+2.38998e-16j -0.316211+4.40592e-15j -0.387835-2.11631e-15j 0.148152+9.37592e-16j -0.346943-5.40251e-16j 0.0711908-4.0655e-16j -0.108206+3.44979e-15j -0.0273007-1.09873e-15j -0.0478245-1.80558e-16j 0.0814782-4.95704e-16j -0.0438313+1.89952e-15j -0.133989-1.55459e-15j -0.0333064-9.83031e-16j 0.0626603-1.06738e-15j 0.0388293+1.21885e-14j -0.13995-1.19334e-15j 0.157594-1.17589e-14j 0.081566+1.12118e-15j 0.0618306+2.15368e-15j -0.110523-2.19868e-15j -0.0121596-1.08948e-14j 0.0178228+1.59913e-14j -0.0118524-3.02151e-14j 0.00866339-2.34942e-16j -0.0352809-9.38904e-16j 0.0107487-4.6852e-16j 0.0323084-5.24873e-16j 0.0321868-3.0769e-16j -0.00766414+5.3743e-16j -0.00230447-6.22077e-16j -0.0195227+1.15197e-16j -0.0244698-4.14465e-16j 0.0316731+7.84051e-17j 0.0337632-1.08788e-16j -0.0390619-1.55803e-15j 0.0108621-8.30804e-17j 0.0152823-1.50516e-15j -0.0110004-5.41456e-16j 0.0037214-2.61129e-16j 0.0397593-3.51505e-16j -0.0102848+6.99021e-17j 0.0053484-3.91108e-17j -0.0300296-7.43841e-16j 0.0271095+2.30014e-16j 0.000543838+3.39509e-16j 0.0381057+5.54493e-17j 0.00236525-4.61282e-17j 0.0408807+1.07081e-16j -0.0035615+2.12768e-16j 0.059309-6.43355e-17j 0.0545864-2.12182e-17j -0.00120295+3.01656e-16j -0.056208-3.03939e-16j 0.0227347+5.5653e-17j 0.0171348+1.8428e-16j 0.0452503+4.22286e-16j -0.0569591-2.14563e-16j -0.0145422+1.59555e-16j 0.0216432-1.79241e-15j 0.00833087+8.26191e-15j 
