0.381042-0j 0.415838-0j 0.322107-0j 0.325445-0j 0.294042-0j 0.363858-0j 0.242572-0j 0.212251-0j 0.210074-0j 0.300168-0j 0.150084-0j 0.123813-0j 0.151639-0j 0.0685179-0j 0.0151068-0j 
0.0555338-0j 0.00119952-0j 0.0469444-0j -0.0455533-0j 0.0428542-0j 0.00104958-0j 0.000699721-0j -0.0600308-0j 0.0306165-0j -0.0420152-0j 0.00043293-0j -0.0527055-0j -0.0428881-0j -0.0389554-0j -0.0129051-0j 
0.0277495-0j 0.0302834-0j -0.0225578-0j 0.0237005-0j 0.0214136-0j -0.0254817-0j 0.0176653-0j 0.0154572-0j -0.0447224-0j -0.0210214-0j -0.0533918-0j 0.00901668-0j -0.0322823-0j -0.00479845-0j 0.00110015-0j 
-0.028037-0j 0.0293861-0j -0.0237005-0j 0.0239274-0j -0.0216355-0j 0.0257128-0j 0.0171419-0j -0.0137994-0j -0.0154572-0j 0.022069-0j 0.010606-0j -0.0427085-0j -0.00985879-0j -0.0525028-0j -0.0307133-0j 
-0.00400529-0j -0.00437104-0j 0.00325594-0j -0.00342088-0j -0.00309079-0j 0.00367797-0j -0.00254977-0j -0.00223105-0j 0.00645512-0j 0.00303417-0j 0.00770644-0j -0.00130145-0j 0.00465955-0j 0.000692596-0j -0.000158793-0j 
0.00404679-0j -0.00424151-0j 0.00342088-0j -0.00345362-0j 0.00312282-0j -0.00371133-0j -0.00247422-0j 0.00199178-0j 0.00223105-0j -0.00318538-0j -0.00153084-0j 0.00616443-0j 0.00142299-0j 0.00757813-0j 0.00443308-0j 
0.018488-0j 0.0201763-0j 0.0156285-0j 0.0157904-0j -0.0277392-0j 0.0176542-0j -0.0575368-0j 0.0102983-0j -0.0198178-0j -0.0283171-0j 0.007282-0j -0.0116802-0j 0.00735747-0j 0.00332446-0j 0.000732974-0j 
-0.0228778-0j -0.000494156-0j 0.0185975-0j 0.0187662-0j -0.0176542-0j 0.000415803-0j -0.000288258-0j 0.0247303-0j 0.0368709-0j -0.0166448-0j 0.000871231-0j 0.0217126-0j -0.0516494-0j -0.0154326-0j 0.00531639-0j 
-0.00326825-0j -0.0035667-0j -0.00276275-0j -0.00279138-0j 0.00490364-0j -0.00312086-0j 0.0101712-0j -0.0018205-0j 0.00350333-0j 0.0050058-0j -0.00128729-0j 0.00206479-0j -0.00130063-0j -0.000587687-0j -0.000129573-0j 
0.0133454-0j -0.0282632-0j 0.0112812-0j 0.0100713-0j 0.0102983-0j -0.0247303-0j -0.0164869-0j 0.028411-0j 0.00735747-0j 0.00928911-0j -0.0102007-0j 0.00530591-0j 0.0202978-0j -0.0301455-0j -0.0509505-0j 
0.000272354-0j 0.000297225-0j 0.000230229-0j 0.000232615-0j -0.000408637-0j 0.000260072-0j -0.000847598-0j 0.000151708-0j -0.000291944-0j -0.00041715-0j 0.000107274-0j -0.000172066-0j 0.000108386-0j 4.89739e-05-0j 1.07977e-05-0j 
0.00404425-0j 8.73553e-05-0j -0.00328761-0j -0.00331743-0j 0.00312086-0j -7.35044e-05-0j 5.09573e-05-0j -0.00437175-0j -0.00651792-0j 0.00294241-0j -0.000154013-0j -0.00383828-0j 0.00913041-0j 0.00272813-0j -0.000939814-0j 
-0.00235915-0j 0.00499628-0j -0.00199426-0j -0.00178038-0j -0.0018205-0j 0.00437175-0j 0.0029145-0j -0.0050224-0j -0.00130063-0j -0.0016421-0j 0.00180325-0j -0.000937961-0j -0.00358818-0j 0.00532903-0j 0.00900686-0j 
-0.000337021-0j -7.27961e-06-0j 0.000273968-0j 0.000276452-0j -0.000260072-0j 6.12536e-06-0j -4.24644e-06-0j 0.000364312-0j 0.00054316-0j -0.000245201-0j 1.28344e-05-0j 0.000319857-0j -0.000760867-0j -0.000227344-0j 7.83178e-05-0j 
0.000196596-0j -0.000416357-0j 0.000166188-0j 0.000148365-0j 0.000151708-0j -0.000364312-0j -0.000242875-0j 0.000418534-0j 0.000108386-0j 0.000136842-0j -0.000150271-0j 7.81634e-05-0j 0.000299015-0j -0.000444086-0j -0.000750572-0j 
0.0138573-0j 0.0151227-0j 0.011714-0j 0.0118354-0j -0.0313126-0j -0.0387474-0j 0.00882158-0j -0.0226026-0j 0.00763971-0j 0.0109161-0j 0.00545807-0j 0.00450268-0j 0.00551463-0j 0.00249178-0j 0.000549385-0j 
-0.0161669-0j -0.000349202-0j -0.0136663-0j 0.0132614-0j 0.0242566-0j -0.000305551-0j 0.000995821-0j 0.017476-0j 0.0173297-0j -0.0237817-0j -0.000126034-0j -0.0298327-0j 0.0124855-0j 0.0113406-0j 0.00375689-0j 
-0.00230955-0j -0.00252045-0j -0.00195233-0j -0.00197256-0j 0.00521877-0j 0.0064579-0j -0.00147026-0j 0.00376711-0j -0.00127329-0j -0.00181936-0j -0.000909679-0j -0.000750447-0j -0.000919106-0j -0.000415296-0j -9.15642e-05-0j 
-0.00990013-0j -0.0108042-0j 0.0244647-0j -0.00845561-0j -0.00763971-0j 0.0276358-0j -0.00630244-0j -0.00551463-0j -0.0046368-0j 0.0227984-0j -0.0480351-0j -0.00321687-0j -0.00334702-0j 0.00520408-0j -0.0003925-0j 
-0.0014143-0j -0.00154345-0j -0.00119555-0j -0.00120794-0j 0.00319583-0j 0.00395464-0j -0.000900348-0j 0.00230687-0j -0.000779725-0j -0.00111412-0j -0.000557062-0j -0.000459553-0j -0.000562835-0j -0.000254316-0j -5.60714e-05-0j 
0.014146-0j -0.0148267-0j -0.0114994-0j -0.0120725-0j 0.0109161-0j 0.0124758-0j -0.00864888-0j 0.00696246-0j -0.0227984-0j 0.0107078-0j 0.0261404-0j 0.0215484-0j -0.0145411-0j -0.0254742-0j 0.0154963-0j 
0.000288694-0j 0.000315056-0j 0.000244042-0j 0.000246571-0j -0.000652346-0j -0.000807237-0j 0.000183783-0j -0.000470888-0j 0.000159161-0j 0.00022742-0j 0.00011371-0j 9.38058e-05-0j 0.000114888-0j 5.1912e-05-0j 1.14455e-05-0j 
0.00269448-0j 5.82003e-05-0j 0.00227772-0j -0.00221023-0j -0.00404276-0j 5.09252e-05-0j -0.00016597-0j -0.00291267-0j -0.00288829-0j 0.00396362-0j 2.10056e-05-0j 0.00497211-0j -0.00208091-0j -0.0018901-0j -0.000626149-0j 
-0.00583493-0j 0.0185991-0j -0.00493244-0j -0.023363-0j -0.00450268-0j 0.0162742-0j 0.0108495-0j -0.00397693-0j -0.00321687-0j -0.0215484-0j 0.00671278-0j 0.0260911-0j -0.00284126-0j 0.0194724-0j -0.0462707-0j 
-1.70114e-05-0j -1.85649e-05-0j -1.43803e-05-0j -1.45293e-05-0j 3.84399e-05-0j 4.75669e-05-0j -1.08295e-05-0j 2.77474e-05-0j -9.37863e-06-0j -1.34008e-05-0j -6.70042e-06-0j -5.52756e-06-0j -6.76985e-06-0j -3.05895e-06-0j -6.74434e-07-0j 
0.00165002-0j 3.56402e-05-0j 0.00139481-0j -0.00135348-0j -0.00247567-0j 3.11852e-05-0j -0.000101636-0j -0.00178364-0j -0.00176871-0j 0.00242721-0j 1.28632e-05-0j 0.00304478-0j -0.00127429-0j -0.00115745-0j -0.000383436-0j 
0.00165002-0j 0.0018007-0j -0.00407745-0j 0.00140927-0j 0.00127329-0j -0.00460597-0j 0.00105041-0j 0.000919106-0j 0.0007728-0j -0.00379973-0j 0.00800585-0j 0.000536145-0j 0.000557837-0j -0.000867347-0j 6.54166e-05-0j 
0.00101043-0j 0.0011027-0j -0.00249692-0j 0.000862997-0j 0.000779725-0j -0.00282057-0j 0.00064324-0j 0.000562835-0j 0.000473241-0j -0.00232685-0j 0.00490256-0j 0.00032832-0j 0.000341604-0j -0.000531139-0j 4.00593e-05-0j 
