0.0881293-7.51732e-13j 0.13573-0.000525918j 0.117475-0.104464j -0.023347-0.00915205j 0.0613026+0.0382093j 0.0376831+0.0301511j -0.0534014+0.0638752j 0.0291983+0.129439j -0.038118+0.0134349j -0.00197956+0.0592645j -0.0412675-0.0305523j -0.00744465-0.0343414j 0.00351578-0.0291016j -0.0392397-0.0309984j 0.00769964+0.020546j 0.0122445-0.002383j -0.0465989+0.0117727j 0.0129682+0.0346894j 0.0253362-0.0379844j 0.0236308+0.041315j -0.00260544-0.0363314j 0.00903424+0.0194359j -0.0198512+0.000476413j 0.0380611-0.0427525j -0.0104228+0.00704316j -0.0224428-0.0454697j 0.00523729-0.0206898j -0.00975773+0.0474516j 0.0168152-0.0190134j 0.0176538+0.023224j 0.0285994+0.0169328j 0.0410589-0.0197944j 0.0143167-0.0499465j 0.00515108+0.0660037j 0.0371371+0.00210248j -0.0340581-0.0543529j -0.0384025+0.0165629j -0.0467322+8.69414e-05j -0.0235038-0.025832j 0.0428597-0.0393136j -0.0668872-0.0134499j -0.0318471-0.0258451j 0.0124067+0.00758596j 0.0326185-0.00606341j -0.0507167-0.00931054j -0.000878642+0.0605022j 0.0695189-0.0139879j -0.0353155-0.137549j -0.175769-0.161448j -0.0372849+0.278563j -0.325696+0.148351j -0.11575-0.0314132j 0.0211593+0.148148j -0.0704151+0.0157395j 0.00298226-0.00367793j -0.200078+0.0556678j 
0.13573+0.000525918j -0.0878976-1.20237e-13j 0.0157646+0.0135536j 0.105041-0.111968j -0.00137345+0.0727579j -0.0698625+0.0304441j -0.0184476+0.0714988j 0.0141352-0.054015j 0.00772487+0.0108079j 0.00258441-0.0497997j 0.0346111+0.0571913j -0.0528418+0.0122891j -0.0112083+0.0296934j 0.0132858+0.068342j -0.0370638+0.00336144j -0.0213388-0.0264216j 0.0105108+0.050449j -0.0110994+0.0238254j 0.0078495-0.0568551j 0.036248+0.0565823j -0.00849486+0.00164752j 0.0599388+0.0306862j 0.00463707-0.00793624j 0.00560001+0.0124965j 0.0818362+0.0823502j -0.0279594+0.0128751j 0.0157732+0.00754509j 0.0412091+0.0209644j 0.000979833-0.00718243j 0.0327557-0.0201158j 0.0216114-0.012982j -0.0455489+0.0302276j -0.0419557-0.00894419j -0.0412773-0.020727j -0.000169662+0.00378847j -0.0124881+0.0060046j -0.00018293-0.069595j 0.0419984+0.0054205j -0.0123816-0.0303253j -0.0175238-0.0728386j -0.0415055+0.0334308j -0.0232164+0.048955j -0.0127696+0.0197543j -0.0610533-0.0394068j -0.0394437-0.0552293j -0.026267+0.0882505j 0.0541261-0.0398419j -0.0680142+0.00263239j -0.0751051+0.173278j 0.373468+0.0106033j 0.0474214+0.221355j -0.0660958+0.24887j -0.0376926+0.000341046j -0.00892395-0.103303j 0.204672-0.0594332j 0.000339269-0.00759848j 
0.117475+0.104464j 0.0157646-0.0135536j 0.0387631-1.00614e-15j -0.00753829+0.00516921j 0.196849-0.00885116j 0.0520072-0.0394692j -0.0469815+0.0239959j 0.161595-0.0268963j -0.0791611-0.0188437j -0.0223065-0.0649385j -0.119262-0.0370471j 0.0284763+0.0455176j -0.0128126-0.0513842j -0.107145-0.0747055j 0.0720417+0.115002j -0.0323022-0.00300987j -0.0234173+0.0580747j 0.0376762+0.0442821j -0.00470716+0.0295237j -0.02542-0.0554629j -0.0244712-0.00618379j -0.0174513-0.0489795j -0.0473017-0.0568315j -0.041389-0.0163673j -0.110005-0.0790524j -0.0621746-0.0594144j -0.0141916+0.0176024j -0.0569788-0.105742j 0.062602+0.0856819j 0.00255695-0.0765859j -0.0149104-0.0436179j -0.00294488-0.00406081j -0.052408-0.0317796j 0.0137229-0.00023205j -0.0103076-0.00591255j -0.0346743-0.00477379j 0.102577-0.00314749j 0.0671145+0.0462558j 0.0151691+0.0186894j 0.120372+0.0385169j 0.0490228-0.0223452j 0.0343402-0.00819353j 0.00164864-0.0498471j 0.0946831-0.197963j -0.0720265-0.0527173j -0.0691896-0.153728j 0.215058+0.00651387j 0.0410976+0.0371623j -0.0258415-0.198464j 0.110504-0.0553883j 0.14082-0.00397534j -0.00346521-0.0147666j -0.0579066-0.117418j 0.0330926+0.0540417j 0.076026+0.162323j -0.0178898-0.0592861j 
-0.023347+0.00915205j 0.105041+0.111968j -0.00753829-0.00516921j 0.0411933-2.158e-15j -0.122895-0.00289021j 0.0572357-0.0418468j -0.0920054-0.0147227j -0.0491468-0.0469494j 0.0025054+0.0359123j -0.0181575-0.0118905j -0.0117418-0.0100585j 0.0248429-0.0371367j 0.0573677+0.0163916j 0.0219631+0.0469842j -0.0150689+0.0110721j 0.000586038-0.0407184j -0.0421186-0.0241594j 0.0324162+0.046808j -0.0478916-0.0386391j 0.0388939+0.000922021j 0.00372116-0.0192275j 0.00278544+0.0603974j -0.0243332-0.00663293j 0.0126959-0.0103724j -0.0311256-0.0573207j -0.0172125-0.0526462j -0.0148186-0.0413803j 0.0281291-0.0230843j -0.0180145+0.0103644j 0.0498362+0.0104377j 0.0217725+0.00318496j 0.0143059+0.0819738j 0.0173708+0.00625689j 0.0249619+0.0315465j -0.00713294+0.0181398j 0.0216488-0.0308079j 0.0494189+0.0623465j -0.0132816+0.0334068j 0.0144834-0.0120977j 0.129468+0.160662j -0.00168447+0.0823268j -0.00250103+0.0941661j 0.00019555-0.0150178j 0.209552+0.143478j 0.00884973-0.0962405j 0.0784503+0.00758657j 0.0605487+0.297913j 0.0315753+0.106731j 0.113391+0.0299454j 0.0879894-0.0412569j -0.130973+0.0635638j -0.0747805+0.0723752j 0.0321515-0.0715084j -0.0384466-0.041333j 0.00303147-0.0665579j -0.0735127-0.182421j 
0.0613026-0.0382093j -0.00137345-0.0727579j 0.196849+0.00885116j -0.122895+0.00289021j 0.298069-1.63064e-15j 0.0542874+0.0155278j 0.128987-0.00625431j 0.0843598+0.0547213j -0.120652-0.0284826j -0.0476344+0.00177083j -0.11597+0.0466252j 0.0549413+0.00783099j 0.0163876+0.0310148j -0.100576-0.022423j 0.190975-0.0173232j -0.00662611-0.0010006j 0.0298161-0.0157479j 0.0546002+4.65193e-05j -0.0928628-0.0461615j -0.0493164+0.0453118j -0.0122357+0.0337929j -0.101293-0.0401204j -0.105279-0.0422065j -0.104539-0.0556076j -0.180827-0.0267593j -0.0753782-0.00901774j -0.0213993+0.0122429j -0.0673467+0.0373447j 0.00221587-0.0442366j -0.0815312+0.0275048j -0.0186981+0.0508393j 0.0232629-0.0245905j -0.00789429+0.00636554j 0.115312-0.0428722j -0.0167974-0.0226632j -0.0431583+0.041967j 0.141415+0.123982j 0.00452066+0.0510702j 0.0669608+0.0905296j 0.188611+0.0380865j 0.056295+0.0709317j 0.0212647-0.0223523j -0.127782-0.0331079j -0.0165501+0.070649j 0.157255-0.0303999j -0.068381+0.0854236j -0.0977587+0.0384482j 0.146421-0.0252588j 0.0741626+0.263753j -0.059658-0.0342698j -0.0314406+0.0918351j -0.0939886-0.0516968j -0.0922752-0.0505183j 0.0556359+0.0166905j -0.00747988+0.0657146j 0.00422274+0.0991571j 
0.0376831-0.0301511j -0.0698625-0.0304441j 0.0520072+0.0394692j 0.0572357+0.0418468j 0.0542874-0.0155278j 0.134329-1.08663e-14j 0.0526235+0.0383829j 0.119924-0.0274685j -0.110357+0.0377075j -0.0284815+0.0759966j -0.0560138-0.0255771j 0.058462-0.0873056j -0.0469953+0.0944386j -0.0609697-0.0498807j 0.0322047-0.0220933j -0.00452432-0.0228773j -0.0213084-0.00759737j 0.0409306-0.0192193j 0.0277042-0.0235869j 0.0188429-0.041019j 0.0481731-0.0102365j -0.033175+0.0305303j -0.0487891+0.0534918j 0.0141347-0.0281742j -0.0559601-0.0301077j -0.0549426+0.00329452j 0.00624037+0.00926474j 0.0325437-0.0613155j 0.0431005-0.0141807j 0.0391324+0.0417469j -0.0319701+0.0232927j -0.0158017+0.0196446j 0.00301897+0.05855j -0.054199-0.0329423j -0.0640389-0.00036531j 0.0432697+0.0638445j 0.104453+0.00730407j -0.0181046+0.0879141j 0.0903504-0.047997j 0.0157139-0.00980716j -0.060117+0.110767j -0.144406+0.0924768j -0.00846636+0.130272j 0.0847474+0.117194j -0.075997-0.00765427j 0.0217174-0.00607617j 0.00797641+0.114324j -0.138724+0.0555651j 0.0840413-0.0306763j -0.00181526-0.203465j 0.00719072-0.00421479j -0.0836671-0.00925914j 0.0825413-0.0663783j 0.0180707-0.00854494j 0.181596-0.253732j -0.158514-0.045892j 
-0.0534014-0.0638752j -0.0184476-0.0714988j -0.0469815-0.0239959j -0.0920054+0.0147227j 0.128987+0.00625431j 0.0526235-0.0383829j -0.0900191-1.8735e-15j 0.0634885+0.030068j -0.0492629-0.0214426j -0.0527156-0.046106j 0.0453926-0.0253133j 0.0933807+0.0291567j 0.0011674-0.0676909j 0.0469455-0.0430254j -0.0215579+0.0137568j -0.0588282-0.0269362j 0.0102473-0.000695047j 0.0413506+0.000990638j -0.0937679+0.0723792j -0.0232699-0.00640849j -0.00385606+0.0893746j 0.0221709+0.101401j 0.00760705-0.0157571j -0.0856178+0.0184353j -0.0451034-0.0660185j -0.0205623-0.035126j -0.0429187-0.0762703j 0.0220155-0.0033181j -0.0340489+0.00608885j 0.0562461-0.031386j 0.00845624-0.0361127j -0.0128073+0.0858207j -0.0396998+0.0354469j 0.0417037-0.0524866j -0.00814335-0.000626278j -0.0103019-0.0482738j 0.000483073+0.0687449j 0.133068-0.0718748j -0.00447614-0.0447173j -0.0784753+0.0400646j 0.165894-0.0112939j 0.00191078+0.181668j 0.0454695+0.00676155j 0.0174422-0.0457403j 0.130206+0.0430216j -0.0168713-0.00712553j 0.0109382-0.00269555j 0.0511751+0.053029j 0.0180624-0.0527256j -0.0316993-0.0168106j 0.0583455-0.127892j -0.048579-0.0220071j -0.136565-0.118223j -0.0559627-0.0167812j 0.223314+0.131881j 0.242603-0.262712j 
0.0291983-0.129439j 0.0141352+0.054015j 0.161595+0.0268963j -0.0491468+0.0469494j 0.0843598-0.0547213j 0.119924+0.0274685j 0.0634885-0.030068j 0.0205797+5.55112e-17j -0.0602491-0.00225454j 0.0636917-0.00358668j -0.0458685-0.0471208j 0.0230489+0.155932j 0.0566637-0.0346776j -0.00749518+0.0500197j 0.0121395-0.0281645j 0.0965889-0.00848358j 0.0598417-0.0286046j 0.046999+0.0381227j -0.0248826+0.0026489j 0.0241822-0.0762505j -0.0251664+0.0536932j -0.0627885+0.0819654j 0.0528807+0.136889j -0.0281624+0.0111718j -0.00938988-0.000513067j 0.0213226+0.0523824j 0.0112988-0.0567607j -0.00749157+0.0732325j -0.0714726-0.0849352j 0.00128348+0.052909j 0.0620705-0.043142j -0.0514021-0.0401797j 0.0396695+0.0859101j 0.0179979+0.10575j -0.0224869-0.0404434j 0.112457+0.109934j 0.0323585-0.0476739j 0.0318168-0.0744192j 0.0280839-0.044799j 0.0141604-0.0487827j 0.0445653-0.145309j 0.0212364+0.0395582j 0.0148636-0.0199023j -0.0520381+0.00677544j -0.117391+0.0373568j 0.144131-0.0167824j -0.0616374+0.0361636j -0.134558+0.0384153j -0.104078-0.19723j -0.0469398+0.00623753j -0.0189682-0.0197258j -0.116443-0.0386415j 0.127249-0.0381853j 0.155087+0.31195j -0.102032+0.106977j 0.150645+0.0987791j 
-0.038118-0.0134349j 0.00772487-0.0108079j -0.0791611+0.0188437j 0.0025054-0.0359123j -0.120652+0.0284826j -0.110357-0.0377075j -0.0492629+0.0214426j -0.0602491+0.00225454j 0.074041-5.55112e-16j 0.0166059+0.00068381j 0.0402222+0.0689792j 0.00804868-0.0200226j -0.0210402-0.0214835j 0.0200128+0.0207796j -0.019209-0.0065695j -0.0260138+0.00218184j 0.00465712+0.00284082j -0.0648933-0.0127082j 0.0297479-0.0143522j -0.120375+0.0427456j 0.025585+0.0257282j 0.0365958-0.0117958j 0.014689-0.0277986j -0.00176406-0.0489277j 0.0191277-0.00737584j 0.0156566-0.0123835j 0.0113976-0.00873649j -0.0270136+0.0490154j -0.0169594-0.0391229j 0.00446084+0.00101028j 0.0323947+0.0687639j -0.00944681-0.000512383j 0.0475109-0.00901259j -0.193508-0.113713j 0.0383+0.0151467j 0.0456505+0.00470612j -0.101839+0.0866269j 0.067634+0.0493464j -0.0421202+0.0815367j 0.0208124+0.00956205j -0.023218+0.055352j 0.109936+0.00845937j 0.0114892-0.0534349j -0.111468-0.103531j -0.138468-0.232762j 0.117369+0.10606j -0.0184515+0.171073j 0.0280368-0.130608j -0.0873893-0.00275017j -0.132663-0.142869j 0.00349275+0.0820216j 0.042877-0.0676879j 0.00367692-0.0357168j 0.0250473+0.0168203j -0.0446927+0.125776j 0.140653+0.00920315j 
-0.00197956-0.0592645j 0.00258441+0.0497997j -0.0223065+0.0649385j -0.0181575+0.0118905j -0.0476344-0.00177083j -0.0284815-0.0759966j -0.0527156+0.046106j 0.0636917+0.00358668j 0.0166059-0.00068381j -0.0101495-1.84575e-15j -0.144018+0.0613958j 0.0147072+0.0303291j 0.0870807-0.0403947j -0.0628569+0.0174228j -0.00108769+0.0196591j 0.00606754-0.00202362j 0.00427003-0.0117976j -0.0191683-0.0284057j 0.0316945+0.0412981j -0.0251975+0.0214426j -0.0554818-0.0219642j -0.0385282-0.0426688j -0.0390578+0.00123656j 0.0493382-0.00947971j -0.0046912+0.0319948j 0.091055+0.00378214j -1.58719e-05+0.0672144j -0.0640618-0.0300836j -0.0595541-0.0120037j -0.0323445+0.000666766j 0.0391437+0.0220972j 0.0165041+0.0546591j -0.0212126-0.00469378j 0.0969045+0.0709588j -0.020219+0.0215228j -0.0571239-0.0504649j 0.0313767-0.0110965j -0.0564003-0.0324973j -0.0235663-0.0207852j 0.127641+0.0938535j 0.0467028+0.00933738j 0.0155225-0.0656218j -0.0356614-0.0520939j 0.11161+0.0966344j 0.120997+0.00638477j -0.0111492-0.0154631j -0.0311148+0.0470129j 0.107352+0.0896752j 0.261381+0.128061j -0.00135713+0.124363j -0.0947326-0.0723826j 0.0162798+0.081966j -0.0859199-0.0930842j 0.0814739-0.0799688j -0.195048-0.0562063j 0.0161995+0.111934j 
-0.0412675+0.0305523j 0.0346111-0.0571913j -0.119262+0.0370471j -0.0117418+0.0100585j -0.11597-0.0466252j -0.0560138+0.0255771j 0.0453926+0.0253133j -0.0458685+0.0471208j 0.0402222-0.0689792j -0.144018-0.0613958j -0.12652-8.04825e-15j -0.0711354+0.080151j 0.103597+0.0277346j 0.114491-0.0475765j -0.0566349+0.0679187j -0.0602711+0.0100506j 0.103207+0.0774223j -0.0496117+0.0805196j 0.0173297+0.0191493j -0.065342-0.0132288j -0.0141173+0.126176j 0.0670521+0.0593029j -0.0146395-0.025931j 0.00391935-0.0311252j 0.119715+0.0232607j 0.0670346-0.0983151j 0.0387685+0.0905677j 0.0365984-0.10515j -0.135054-0.081819j 0.0315799+0.00150765j 0.071373+0.0302191j 0.0397403+0.119988j 0.0170492+0.146626j -0.0915801-0.0875599j -0.013082-0.0195555j -0.10149+0.0726331j 0.042503+0.0990151j -0.0328818+0.0370784j 0.0127107-0.0828252j -0.00384819-0.059384j 0.0698409+0.0752561j -0.114517+0.102697j -0.0553319+0.101739j -0.0711669-0.125024j -0.0315564-0.0923703j 0.0465406+0.0384703j 0.0128829-0.109665j -0.139864-0.0123684j 0.015148-0.00241631j -0.0582242-0.0246804j -0.110055+0.0228532j -0.229725-0.00963025j -0.0104514-0.260487j 0.123935+0.0384643j 0.0262522-0.0244431j -0.0808207-0.0785148j 
-0.00744465+0.0343414j -0.0528418-0.0122891j 0.0284763-0.0455176j 0.0248429+0.0371367j 0.0549413-0.00783099j 0.058462+0.0873056j 0.0933807-0.0291567j 0.0230489-0.155932j 0.00804868+0.0200226j 0.0147072-0.0303291j -0.0711354-0.080151j -0.093203+9.4369e-16j 0.139551-0.00336691j -0.137244+0.0923826j 0.0458955+0.0916006j -0.0944294+0.136936j 0.0504975+0.0417825j -0.0483722+0.0339297j -0.068742-0.0481208j -0.0216512-0.0633109j -0.0193143-0.0182682j 0.018522+0.0707812j -0.0715787-0.0217054j -0.0987438-0.00589245j 0.0201452-0.00452214j 0.0465835-0.0221159j 0.0549026-0.016636j -0.0693177-0.0262469j 0.00918713-0.164575j 0.105149-0.0409802j 0.035645+0.12413j -0.0631818+0.0839998j -0.147676+0.0671148j 0.0268201-0.00552145j -0.00744491+0.115544j -0.0756794-0.0957475j -0.151383+0.0380051j 0.205789+0.010203j -0.0570777-0.102695j -0.0856178+0.0181258j 0.0288611+0.239919j -0.0835888+0.0155185j 0.0171391+0.0181159j 0.0529359+0.0125j 0.0836598+0.0744373j -0.00272556+0.143339j 0.119609+0.0179263j 0.0168634+0.0413144j -0.105556-0.0372904j -0.0449812+0.0753791j -0.0313802+0.064523j 0.0180609-0.0848582j -0.0878681+0.0510337j -0.109772-0.125289j 0.065336-0.0349988j 0.0522625-0.043788j 
