-0.033415-0j -0.00590699-0j -0.000492249-0j -0.029055-0j -0.0048425-0j -0.00296541-0j -0.000605312-0j -3.56683e-05-0j -0.0182609-0j -0.0184501-0j -0.00294684-0j -0.00297737-0j -0.00240608-0j -0.00243102-0j -0.000347288-0j -0.00030076-0j -0.000350887-0j -0.000303877-0j -3.54449e-05-0j -3.58123e-05-0j -1.61783e-06-0j -1.6346e-06-0j -0.0135256-0j -0.0167371-0j -0.0097633-0j -0.00213859-0j -0.00264637-0j -0.0016907-0j -0.00154371-0j -0.00112713-0j -0.000244032-0j -0.00209214-0j -0.00139476-0j -0.000281783-0j -0.00122041-0j -0.000301974-0j -9.96255e-05-0j -0.000813608-0j -2.3482e-05-0j -0.000176151-0j -2.49064e-05-0j -0.000348689-0j -0.00012328-0j -0.000203402-0j -2.90574e-05-0j -2.07553e-06-0j -7.19135e-05-0j -3.08201e-05-0j -1.69502e-05-0j -7.73505e-08-0j -2.56834e-06-0j -1.79784e-05-0j -9.57163e-08-0j -1.4982e-06-0j -5.58345e-08-0j 
0.0369836-0j 0.00653784-0j 0.00054482-0j 0.000457731-0j 7.62885e-05-0j 4.6717e-05-0j 9.53606e-06-0j 5.61918e-07-0j 0.0202111-0j -0.0198392-0j 0.00326155-0j -0.00320154-0j 0.00266305-0j -0.00261405-0j 0.000384377-0j 0.000332881-0j -0.000377305-0j -0.000326756-0j 3.92304e-05-0j -3.85085e-05-0j 1.79061e-06-0j -1.75767e-06-0j 0.0149701-0j 0.000263675-0j -0.0211505-0j 0.00236698-0j 4.16907e-05-0j 0.00187126-0j -0.0033442-0j 0.00124751-0j 0.000270094-0j 3.29594e-05-0j 2.19729e-05-0j 0.000311877-0j -0.00264382-0j 4.75728e-06-0j 0.000110265-0j -0.00176255-0j 2.59898e-05-0j -0.000381602-0j 2.75663e-05-0j 5.49324e-06-0j 1.94215e-06-0j -0.000440636-0j 4.5777e-07-0j 2.29719e-06-0j -0.000155789-0j 4.85538e-07-0j -3.67197e-05-0j 8.56113e-08-0j 4.04615e-08-0j -3.89471e-05-0j 1.50791e-09-0j -3.24559e-06-0j -1.20956e-07-0j 
0.0292381-0j 0.00516862-0j 0.000430718-0j 0.0254231-0j 0.00423718-0j 0.00259473-0j 0.000529648-0j 3.12098e-05-0j -0.015722-0j 0.0161439-0j -0.00253712-0j 0.0026052-0j -0.00207155-0j 0.00212714-0j -0.000299003-0j -0.000258944-0j 0.000307026-0j 0.000265892-0j -3.05168e-05-0j 3.13357e-05-0j -1.3929e-06-0j 1.43027e-06-0j 0.0118349-0j -0.01441-0j 0.00854289-0j 0.00187126-0j -0.00227843-0j 0.00147936-0j 0.00135075-0j 0.000986242-0j 0.000213528-0j -0.00180125-0j -0.00120084-0j 0.000246561-0j 0.00106786-0j -0.000259988-0j 8.71723e-05-0j 0.000711907-0j 2.05467e-05-0j 0.000154132-0j 2.17931e-05-0j -0.000300209-0j -0.00010614-0j 0.000177977-0j -2.50174e-05-0j 1.81609e-06-0j 6.29243e-05-0j -2.6535e-05-0j 1.48314e-05-0j 6.76817e-08-0j -2.21125e-06-0j 1.57311e-05-0j -8.24083e-08-0j 1.31092e-06-0j 4.88552e-08-0j 
0.0194921-0j 0.00344574-0j 0.000287145-0j 0.0169487-0j 0.00282479-0j 0.00172982-0j 0.000353099-0j 2.08065e-05-0j 0.0106522-0j 0.0107626-0j 0.00171899-0j 0.0017368-0j 0.00140355-0j 0.00141809-0j 0.000202585-0j 0.000175443-0j 0.000204684-0j 0.000177262-0j 2.06762e-05-0j 2.08905e-05-0j 9.43736e-07-0j 9.53516e-07-0j -0.039366-0j 0.0097633-0j 0.00569526-0j -0.00622431-0j 0.00154371-0j -0.00492075-0j 0.000900499-0j -0.0032805-0j -0.000710249-0j 0.00122041-0j 0.000813608-0j -0.000820125-0j 0.000711907-0j 0.000176151-0j -0.000289958-0j 0.000474605-0j -6.83437e-05-0j 0.000102755-0j -7.24895e-05-0j 0.000203402-0j 7.19135e-05-0j 0.000118651-0j 1.69502e-05-0j -6.04079e-06-0j 4.19495e-05-0j 1.79784e-05-0j 9.8876e-06-0j -2.25127e-07-0j 1.4982e-06-0j 1.04874e-05-0j 5.58345e-08-0j 8.73949e-07-0j 3.25701e-08-0j 
-0.0295411-0j -0.00522218-0j -0.000435181-0j 0.0249553-0j 0.00415922-0j 0.00254699-0j 0.000519903-0j 3.06356e-05-0j -0.0161439-0j 0.0163045-0j -0.0026052-0j 0.00263113-0j -0.00212714-0j 0.00214831-0j -0.000307026-0j -0.000265892-0j 0.000310082-0j 0.000268539-0j -3.13357e-05-0j 3.16476e-05-0j -1.43027e-06-0j 1.44451e-06-0j -0.0119575-0j 0.0143755-0j -0.00790476-0j -0.00189065-0j 0.00227296-0j -0.00149469-0j -0.00124985-0j -0.000996462-0j -0.00021574-0j 0.00179694-0j 0.00119796-0j -0.000249116-0j -0.000988095-0j 0.000259365-0j -8.80757e-05-0j -0.00065873-0j -2.07596e-05-0j -0.000142619-0j -2.20189e-05-0j 0.000299489-0j 0.000105885-0j -0.000164682-0j 2.49574e-05-0j -1.83491e-06-0j -5.82241e-05-0j 2.64714e-05-0j -1.37235e-05-0j -6.8383e-08-0j 2.20595e-06-0j -1.4556e-05-0j 8.22108e-08-0j -1.213e-06-0j -4.52059e-08-0j 
-0.0341111-0j -0.00603005-0j -0.000502504-0j -0.000422179-0j -7.03632e-05-0j -4.30885e-05-0j -8.7954e-06-0j -5.18274e-07-0j 0.0183423-0j 0.0182983-0j 0.00295997-0j 0.00295288-0j 0.00241681-0j 0.00241102-0j 0.000348836-0j 0.000302101-0j 0.000348-0j 0.000301377-0j 3.5603e-05-0j 3.55176e-05-0j 1.62504e-06-0j 1.62115e-06-0j 0.0275415-0j 0.000239295-0j 0.0195078-0j 0.0043547-0j 3.78358e-05-0j 0.00344269-0j 0.00308446-0j 0.00229513-0j 0.00049691-0j 2.99119e-05-0j 1.99412e-05-0j 0.000573782-0j 0.00243848-0j 4.3174e-06-0j 0.000202863-0j 0.00162565-0j 4.78152e-05-0j 0.000351964-0j 5.07156e-05-0j 4.98531e-06-0j 1.76257e-06-0j 0.000406413-0j 4.15442e-07-0j 4.2263e-06-0j 0.000143689-0j 4.40643e-07-0j 3.38677e-05-0j 1.57505e-07-0j 3.67203e-08-0j 3.59221e-05-0j 1.36848e-09-0j 2.99351e-06-0j 1.11562e-07-0j 
-0.0120601-0j -0.00213195-0j -0.000177662-0j -0.0104865-0j -0.00174775-0j -0.00107027-0j -0.000218469-0j -1.28734e-05-0j 0.0326363-0j -0.006659-0j 0.00526667-0j -0.00107459-0j 0.00430021-0j -0.0008774-0j 0.000620683-0j 0.000537527-0j -0.000126642-0j -0.000109675-0j 6.33481e-05-0j -1.29253e-05-0j 2.89143e-06-0j -5.89958e-07-0j -0.00488165-0j 0.029913-0j -0.00352376-0j -0.000771856-0j 0.00472965-0j -0.000610206-0j -0.000557155-0j -0.000406804-0j -8.80757e-05-0j 0.00373912-0j 0.00249275-0j -0.000101701-0j -0.00044047-0j 0.000539696-0j -3.59567e-05-0j -0.000293647-0j -8.47509e-06-0j -6.35764e-05-0j -8.98919e-06-0j 0.000623187-0j 0.00022033-0j -7.34117e-05-0j 5.19322e-05-0j -7.49099e-07-0j -2.59549e-05-0j 5.50824e-05-0j -6.11764e-06-0j -2.79173e-08-0j 4.5902e-06-0j -6.48874e-06-0j 1.71067e-07-0j -5.40728e-07-0j -2.01517e-08-0j 
0.0198982-0j 0.00351753-0j 0.000293128-0j -0.0338649-0j -0.00564414-0j -0.00345632-0j -0.000705518-0j -4.1573e-05-0j 0.0108741-0j 0.0100618-0j 0.0017548-0j 0.00162372-0j 0.00143279-0j 0.00132576-0j 0.000206805-0j 0.000179099-0j 0.000191358-0j 0.00016572-0j 2.1107e-05-0j 1.95303e-05-0j 9.63397e-07-0j 8.91434e-07-0j -0.0160659-0j -0.0195078-0j 0.0225109-0j -0.00254024-0j -0.00308446-0j -0.00200824-0j 0.00355929-0j -0.00133882-0j -0.000289864-0j -0.00243848-0j -0.00162565-0j -0.000334706-0j 0.00281387-0j -0.000351964-0j -0.000118336-0j 0.00187591-0j -2.78922e-05-0j 0.000406147-0j -2.95841e-05-0j -0.000406413-0j -0.000143689-0j 0.000468978-0j -3.38677e-05-0j -2.46534e-06-0j 0.000165809-0j -3.59221e-05-0j 3.90815e-05-0j -9.18779e-08-0j -2.99351e-06-0j 4.14522e-05-0j -1.11562e-07-0j 3.45435e-06-0j 1.28736e-07-0j 
0.0211052-0j 0.0037309-0j 0.000310909-0j -0.0178289-0j -0.00297149-0j -0.00181966-0j -0.000371436-0j -2.18871e-05-0j -0.0342311-0j -0.0116485-0j -0.00552403-0j -0.00187977-0j -0.00451035-0j -0.00153483-0j -0.000651013-0j -0.000563794-0j -0.000221533-0j -0.000191854-0j -6.64437e-05-0j -2.26102e-05-0j -3.03273e-06-0j -1.03201e-06-0j 0.00854289-0j 0.0304815-0j 0.00564743-0j 0.00135075-0j 0.00481955-0j 0.00106786-0j 0.000892938-0j 0.000711907-0j 0.000154132-0j 0.00381019-0j 0.00254013-0j 0.000177977-0j 0.000705929-0j 0.000549954-0j 6.29243e-05-0j 0.000470619-0j 1.48314e-05-0j 0.000101892-0j 1.57311e-05-0j 0.000635032-0j 0.000224518-0j 0.000117655-0j 5.29193e-05-0j 1.31092e-06-0j 4.15973e-05-0j 5.61294e-05-0j 9.80457e-06-0j 4.88552e-08-0j 4.67745e-06-0j 1.03993e-05-0j 1.74318e-07-0j 8.6661e-07-0j 3.22966e-08-0j 
-0.0123114-0j -0.00217636-0j -0.000181363-0j 0.0315054-0j 0.0052509-0j 0.00321551-0j 0.000656362-0j 3.86765e-05-0j 0.00662008-0j -0.032457-0j 0.00106831-0j -0.00523773-0j 0.000872272-0j -0.00427659-0j 0.000125902-0j 0.000109034-0j -0.000617273-0j -0.000534574-0j 1.28498e-05-0j -6.30001e-05-0j 5.8651e-07-0j -2.87555e-06-0j -0.00498335-0j -0.0178575-0j -0.0041856-0j -0.000787937-0j -0.00282352-0j -0.000622919-0j -0.000661802-0j -0.000415279-0j -8.99106e-05-0j -0.00223219-0j -0.00148813-0j -0.00010382-0j -0.0005232-0j -0.000322189-0j -3.67058e-05-0j -0.0003488-0j -8.65165e-06-0j -7.55175e-05-0j -9.17646e-06-0j -0.000372032-0j -0.000131533-0j -8.72001e-05-0j -3.10026e-05-0j -7.64705e-07-0j -3.08299e-05-0j -3.28833e-05-0j -7.26667e-06-0j -2.84989e-08-0j -2.74027e-06-0j -7.70747e-06-0j -1.02124e-07-0j -6.42289e-07-0j -2.39367e-08-0j 
0.00321172-0j 0.000567757-0j 4.73131e-05-0j -0.0137248-0j -0.00228746-0j -0.00140078-0j -0.000285933-0j -1.68487e-05-0j 0.00175517-0j 0.0324929-0j 0.000283239-0j 0.00524352-0j 0.000231263-0j 0.00428132-0j 3.338e-05-0j 2.89079e-05-0j 0.000617955-0j 0.000535165-0j 3.40683e-06-0j 6.30698e-05-0j 1.555e-07-0j 2.87873e-06-0j 0.00130003-0j -0.00790613-0j -0.0415116-0j 0.000205553-0j -0.00125007-0j 0.000162504-0j -0.00656356-0j 0.000108336-0j 2.34554e-05-0j -0.000988267-0j -0.000658844-0j 2.70839e-05-0j -0.00518895-0j -0.000142644-0j 9.57562e-06-0j -0.0034593-0j 2.257e-06-0j -0.00074896-0j 2.39391e-06-0j -0.000164711-0j -5.82342e-05-0j -0.000864825-0j -1.37259e-05-0j 1.99492e-07-0j -0.000305762-0j -1.45585e-05-0j -7.20687e-05-0j 7.43463e-09-0j -1.21321e-06-0j -7.64404e-05-0j -4.52137e-08-0j -6.37004e-06-0j -2.37397e-07-0j 
