-0.0411828-0j -0.0480466-0j -0.0294224-0j -0.0420407-0j -0.0173409-0j -0.00528337-0j -0.0059682-0j -0.00487302-0j -0.00492352-0j -0.00426389-0j -0.00351753-0j -0.00112387-0j -0.00338904-0j -0.000489166-0j -0.00375098-0j -0.000541407-0j -0.00296541-0j -0.00197694-0j -0.00299614-0j -0.00042802-0j -0.000285347-0j -0.000432456-0j -0.00345965-0j -0.00122317-0j -0.00201813-0j -0.000499357-0j -0.000176549-0j -0.00214055-0j -0.000291291-0j -0.000308961-0j -0.00124865-0j -0.000325742-0j -0.000180227-0j -4.70168e-05-0j 0.371029-0j -0.000450043-0j -3.75036e-05-0j 0.40491-0j -0.000491139-0j -4.09283e-05-0j 0.313642-0j 0.316892-0j 0.286315-0j -0.000380435-0j -0.000384377-0j -3.17029e-05-0j 0.354297-0j -0.000347288-0j -3.20315e-05-0j 0.236198-0j 0.206673-0j -2.89407e-05-0j 0.204553-0j -0.000429747-0j -0.000286498-0j 0.29228-0j -3.58123e-05-0j -0.000250686-0j 0.14614-0j -0.000248115-0j -2.38748e-05-0j 0.120559-0j -2.08905e-05-0j -2.06762e-05-0j 0.147654-0j -0.000354523-0j -0.000177262-0j 0.0667173-0j -0.000146233-0j -2.95436e-05-0j -1.47718e-05-0j -0.000179099-0j 0.0147098-0j -1.21861e-05-0j -1.49249e-05-0j -8.09253e-05-0j -6.74378e-06-0j -1.78424e-05-0j -1.48686e-06-0j 
0.00728015-0j 0.00849351-0j 0.00520119-0j 0.00743182-0j 0.00306547-0j -0.0441795-0j -0.049906-0j -0.0407481-0j -0.0411704-0j -0.0356546-0j -0.0294135-0j -0.00939777-0j -0.0576421-0j -0.00826727-0j -0.0637981-0j -0.00915019-0j -0.0504369-0j -0.0336246-0j -0.0509595-0j -0.00723386-0j -0.00482257-0j -0.00730883-0j -0.058843-0j -0.0208041-0j -0.0343251-0j -0.00843951-0j -0.00298382-0j -0.0364073-0j -0.00492305-0j -0.00522168-0j -0.0212376-0j -0.00554034-0j -0.00304598-0j -0.000794618-0j 0.000450043-0j 0.362078-0j -0.000954073-0j 0.000491139-0j 0.395141-0j -0.0010412-0j 0.000380435-0j 0.000384377-0j 0.000347288-0j 0.306075-0j 0.309247-0j -0.000806507-0j 0.000429747-0j 0.279407-0j -0.000814865-0j 0.000286498-0j 0.000250686-0j -0.000736237-0j 0.000248115-0j 0.345749-0j 0.230499-0j 0.000354523-0j -0.000911046-0j 0.201687-0j 0.000177262-0j 0.199618-0j -0.000607364-0j 0.000146233-0j -0.000531444-0j -0.000525993-0j 0.000179099-0j 0.285228-0j 0.142614-0j 8.09253e-05-0j 0.117651-0j -0.000751575-0j -0.000375787-0j 0.144092-0j 1.78424e-05-0j -0.000310009-0j -0.000379682-0j 0.0651077-0j -0.000171558-0j 0.0143549-0j -3.78251e-05-0j 
-0.000606679-0j -0.000707793-0j -0.000433433-0j -0.000619319-0j -0.000255456-0j 0.0112005-0j 0.0126523-0j 0.0103306-0j 0.0104377-0j 0.00903927-0j 0.00745702-0j 0.00238255-0j -4.99253e-05-0j -0.0987955-0j -5.52572e-05-0j -0.109347-0j -4.36846e-05-0j -2.91231e-05-0j -4.41373e-05-0j -0.0864461-0j -0.0576307-0j -0.0873419-0j -5.09654e-05-0j -1.8019e-05-0j -2.97298e-05-0j -0.100854-0j -0.0356572-0j -3.15332e-05-0j -0.0588314-0j -0.0624001-0j -1.83944e-05-0j -4.79863e-06-0j -0.0364001-0j -0.00949585-0j -3.75036e-05-0j 0.000954073-0j 0.350612-0j -4.09283e-05-0j 0.0010412-0j 0.382629-0j -3.17029e-05-0j -3.20315e-05-0j -2.89407e-05-0j 0.000806507-0j 0.000814865-0j 0.296383-0j -3.58123e-05-0j 0.000736237-0j 0.299455-0j -2.38748e-05-0j -2.08905e-05-0j 0.27056-0j -2.06762e-05-0j 0.000911046-0j 0.000607364-0j -2.95436e-05-0j 0.334801-0j 0.000531444-0j -1.47718e-05-0j 0.000525993-0j 0.2232-0j -1.21861e-05-0j 0.1953-0j 0.193297-0j -1.49249e-05-0j 0.000751575-0j 0.000375787-0j -6.74378e-06-0j 0.000310009-0j 0.276196-0j 0.138098-0j 0.000379682-0j -1.48686e-06-0j 0.113925-0j 0.139529-0j 0.000171558-0j 0.063046-0j 3.78251e-05-0j 0.0139003-0j 
0.0358092-0j 0.000594653-0j 0.0255833-0j -0.0355146-0j -0.0443763-0j 0.00459399-0j 7.3866e-05-0j 0.00423718-0j -0.00415922-0j 5.27724e-05-0j -0.00598652-0j -0.00383935-0j 0.00294684-0j 0.000425339-0j 4.64244e-05-0j 6.70078e-06-0j 0.00257848-0j 0.00171899-0j -0.00253104-0j 0.000372172-0j 0.000248115-0j -0.000365324-0j 4.28186e-05-0j 0.00106357-0j -0.00343467-0j 6.18034e-06-0j 0.000153513-0j -0.00180826-0j -0.000495752-0j -0.000261-0j -0.00319537-0j -0.001392-0j -0.000461211-0j -0.000200918-0j 0.00221365-0j 0.000391321-0j 3.26101e-05-0j 3.43859e-05-0j 6.07863e-06-0j 5.06553e-07-0j 0.00187126-0j -0.00183683-0j 0.00170822-0j 0.000330796-0j -0.000324709-0j 2.75663e-05-0j 3.00877e-05-0j 0.000301974-0j -2.70591e-05-0j 2.00585e-05-0j -0.00241347-0j 2.51645e-05-0j 0.00122041-0j 5.3188e-06-0j 3.54587e-06-0j -0.00169417-0j 4.43234e-07-0j -0.000426644-0j 1.24105e-05-0j 0.00021574-0j 2.95489e-07-0j -0.0021169-0j -3.55537e-05-0j 1.79784e-05-0j -0.00172426-0j -0.000299489-0j 2.19389e-06-0j -0.00156388-0j -0.000374219-0j -2.49574e-05-0j 1.82825e-07-0j -0.000304809-0j -0.000517828-0j -3.11849e-05-0j -2.54008e-05-0j -0.000276457-0j -2.30381e-05-0j -9.15399e-05-0j -7.62832e-06-0j 
-0.0059682-0j -9.91088e-05-0j -0.00426389-0j 0.0059191-0j 0.00739605-0j 0.0362179-0j 0.000582342-0j 0.0334049-0j -0.0327903-0j 0.000416045-0j -0.0471962-0j -0.0302685-0j -0.000491139-0j 0.00677743-0j -7.73739e-06-0j 0.000106771-0j -0.000429747-0j -0.000286498-0j 0.00042184-0j 0.00593025-0j 0.0039535-0j -0.00582114-0j -7.13644e-06-0j -0.000177262-0j 0.000572445-0j 9.84786e-05-0j 0.0024461-0j 0.000301377-0j -0.0078994-0j -0.00415882-0j 0.000532561-0j 0.000232001-0j -0.00734902-0j -0.00320147-0j 0.0537695-0j 0.00308508-0j 0.00078214-0j 0.000835235-0j 4.79225e-05-0j 1.21495e-05-0j 0.045453-0j -0.0446167-0j 0.0414927-0j 0.00260791-0j -0.00255993-0j 0.000661167-0j 0.000730831-0j 0.00238069-0j -0.000649002-0j 0.00048722-0j -0.0586231-0j 0.00060356-0j 0.0296438-0j 4.19322e-05-0j 2.79548e-05-0j -0.0411513-0j 1.06308e-05-0j -0.00336356-0j 0.000301452-0j 0.00170085-0j 7.08719e-06-0j -0.0514196-0j -0.000852741-0j 0.000431204-0j -0.0418824-0j -0.0023611-0j 1.72961e-05-0j -0.0379866-0j -0.00295025-0j -0.000598594-0j 4.38497e-06-0j -0.00240304-0j -0.012578-0j -0.000747957-0j -0.000609228-0j -0.00217952-0j -0.000552559-0j -0.000721678-0j -0.000182962-0j 
-0.00365476-0j -6.06915e-05-0j -0.00261109-0j 0.00362469-0j 0.00452914-0j -0.000468873-0j -7.53892e-06-0j -0.000432456-0j 0.000424499-0j -5.38606e-06-0j 0.000610996-0j 0.000391852-0j 0.0581754-0j -4.3411e-05-0j 0.000916494-0j -6.83895e-07-0j 0.0509035-0j 0.0339357-0j -0.0499669-0j -3.79846e-05-0j -2.53231e-05-0j 3.72857e-05-0j 0.000845311-0j 0.0209966-0j -0.0678061-0j -6.30778e-07-0j -1.56679e-05-0j -0.0356981-0j 5.05974e-05-0j 2.66382e-05-0j -0.0630818-0j -0.0274805-0j 4.70722e-05-0j 2.05062e-05-0j -0.000225929-0j 0.00772533-0j -3.32825e-06-0j -3.5095e-06-0j 0.000120002-0j -5.16998e-08-0j -0.000190985-0j 0.000187471-0j -0.000174345-0j 0.00653045-0j -0.0064103-0j -2.81347e-06-0j -3.07081e-06-0j 0.00596146-0j 2.76171e-06-0j -2.04721e-06-0j 0.000246323-0j -2.56834e-06-0j -0.000124558-0j 0.000105002-0j 7.00013e-05-0j 0.00017291-0j -4.52373e-08-0j -0.00842267-0j -1.26665e-06-0j 0.00425907-0j -3.01582e-08-0j 0.000216055-0j 3.62868e-06-0j -1.83491e-06-0j 0.000175982-0j -0.00591241-0j 4.33111e-05-0j 0.000159612-0j -0.0073877-0j 2.54721e-06-0j -1.86595e-08-0j -0.00601745-0j 5.28506e-05-0j 3.1828e-06-0j 2.59246e-06-0j -0.00545771-0j 2.35131e-06-0j -0.00180715-0j 7.78563e-07-0j 
0.000746025-0j 1.23886e-05-0j 0.000532986-0j -0.000739888-0j -0.000924507-0j -0.00915019-0j -0.000147124-0j -0.00843951-0j 0.00828422-0j -0.000105111-0j 0.0119238-0j 0.00764711-0j -0.00590681-0j 0.0396457-0j -9.30557e-05-0j 0.000624577-0j -0.00516846-0j -0.00344564-0j 0.00507336-0j 0.03469-0j 0.0231267-0j -0.0340517-0j -8.58281e-05-0j -0.00213188-0j 0.00688465-0j 0.000576067-0j 0.0143089-0j 0.00362458-0j -0.0462088-0j -0.0243277-0j 0.00640498-0j 0.00279021-0j -0.0429893-0j -0.0187275-0j 4.61176e-05-0j 0.0749914-0j 0.00931426-0j 7.16374e-07-0j 0.00116489-0j 0.000144684-0j 3.89846e-05-0j -3.82673e-05-0j 3.55879e-05-0j 0.0633925-0j -0.0622261-0j 0.00787362-0j 6.26827e-07-0j 0.0578691-0j -0.00772875-0j 4.17885e-07-0j -5.02805e-05-0j 0.0071876-0j 2.54253e-05-0j 0.00101928-0j 0.000679517-0j -3.52951e-05-0j 0.000126599-0j -0.0817606-0j 2.58553e-07-0j 0.0413437-0j 8.43991e-05-0j -4.41021e-05-0j -0.010155-0j 0.00513507-0j -3.59221e-05-0j -0.057393-0j 0.00042043-0j -3.25807e-05-0j -0.0717139-0j -0.00712847-0j 5.22193e-05-0j -0.0584126-0j -1.07881e-05-0j -0.00890719-0j -0.0072551-0j -0.0529792-0j -0.00658025-0j -0.0175424-0j -0.00217884-0j 
-4.396e-05-0j -7.30005e-07-0j -3.14065e-05-0j 4.35983e-05-0j 5.44771e-05-0j 0.001084-0j 1.74294e-05-0j 0.000999807-0j -0.000981411-0j 1.24522e-05-0j -0.00141258-0j -0.000905934-0j -3.61758e-06-0j -0.0144178-0j -5.69913e-08-0j -0.000227138-0j -3.16539e-06-0j -2.11026e-06-0j 3.10714e-06-0j -0.0126156-0j -0.00841039-0j 0.0123835-0j -5.25648e-08-0j -1.30566e-06-0j 4.21645e-06-0j -0.000209496-0j -0.00520366-0j 2.21985e-06-0j 0.0168046-0j 0.00884717-0j 3.92268e-06-0j 1.70885e-06-0j 0.0156338-0j 0.00681057-0j -2.71751e-06-0j 9.23362e-05-0j 0.104938-0j -4.22127e-08-0j 1.43432e-06-0j 0.00163006-0j -2.29719e-06-0j 2.25492e-06-0j -2.09704e-06-0j 7.80546e-05-0j -7.66184e-05-0j 0.0887069-0j -3.69361e-08-0j 7.12538e-05-0j -0.0870748-0j -2.46241e-08-0j 2.96281e-06-0j 0.080978-0j -1.4982e-06-0j 1.25503e-06-0j 8.36684e-07-0j 2.07979e-06-0j 0.0014263-0j -0.000100671-0j -1.52354e-08-0j 5.09062e-05-0j 0.000950869-0j 2.59874e-06-0j -0.11441-0j 0.0578535-0j 2.11673e-06-0j -7.06676e-05-0j 5.17672e-07-0j 1.91984e-06-0j -8.83008e-05-0j -0.0803117-0j 0.00058832-0j -7.19229e-05-0j 6.35694e-07-0j -0.100351-0j -0.0817384-0j -6.52328e-05-0j -0.0741353-0j -2.15998e-05-0j -0.0245476-0j 
0.0225059-0j 0.0262569-0j -0.0477211-0j -0.0226062-0j 0.0094766-0j 0.0028873-0j 0.00326155-0j -0.00262033-0j 0.00269064-0j -0.00691574-0j -0.00189145-0j 0.00061418-0j 0.00185207-0j 0.000267323-0j 0.00204987-0j 0.000295873-0j -0.00159457-0j 0.00108037-0j 0.00163735-0j -0.000230156-0j 0.000155939-0j 0.000236332-0j -0.00186033-0j -0.00331007-0j 0.00110288-0j -0.000268515-0j -0.000477767-0j -0.00347182-0j 0.000159187-0j -0.000501114-0j -0.000671427-0j 0.000178014-0j -9.69122e-05-0j 2.56941e-05-0j 0.00139126-0j 0.000245943-0j 2.04953e-05-0j 0.00151831-0j 0.000268402-0j 2.23668e-05-0j -0.00115721-0j 0.00118827-0j 0.00107361-0j -0.000204568-0j 0.000210058-0j -1.70473e-05-0j -0.00130721-0j 0.000189789-0j 1.75048e-05-0j 0.000885681-0j 0.000774971-0j 1.58157e-05-0j -0.00227646-0j -0.000231084-0j 0.000156568-0j -0.00107839-0j -1.9257e-05-0j 0.000136997-0j -0.00271356-0j -0.000402425-0j 1.30473e-05-0j 0.000452066-0j 1.14164e-05-0j -3.35354e-05-0j -0.00164323-0j -0.000190635-0j -0.000479695-0j -0.00024616-0j 7.99148e-05-0j -1.58862e-05-0j -3.99746e-05-0j -0.000290486-0j 5.51579e-05-0j 6.65956e-06-0j -2.42071e-05-0j -4.35153e-05-0j -3.62628e-06-0j 9.75063e-06-0j 8.12553e-07-0j 
-0.0227391-0j 0.0257737-0j -0.0162456-0j 0.0232034-0j -0.0457167-0j -0.00291722-0j 0.00320154-0j -0.00269064-0j 0.00271742-0j 0.00228729-0j -0.0017787-0j -0.00656353-0j -0.00187126-0j -0.000270094-0j 0.00201215-0j 0.000290429-0j -0.00163735-0j -0.00109157-0j 0.00165365-0j -0.000236332-0j -0.000157555-0j 0.000238684-0j 0.00185587-0j -0.000675374-0j -0.0010205-0j 0.000267871-0j -9.74819e-05-0j 0.00118143-0j -0.000147296-0j 0.000170524-0j -0.00329188-0j -0.00329552-0j -0.000475143-0j -0.000475668-0j -0.00140568-0j -0.000248492-0j -2.07076e-05-0j 0.00149037-0j 0.000263463-0j 2.19553e-05-0j -0.00118827-0j 0.00120009-0j -0.00108473-0j -0.000210058-0j 0.000212148-0j -1.75048e-05-0j 0.00130408-0j -0.000191755-0j 1.7679e-05-0j 0.000869384-0j -0.000717083-0j -1.59796e-05-0j -0.000774971-0j 0.00023053-0j 0.000153687-0j 0.00110688-0j 1.92109e-05-0j -0.000126764-0j 0.000537904-0j -0.000136997-0j 1.28072e-05-0j -0.00218084-0j -1.05636e-05-0j -1.14164e-05-0j -0.000512309-0j 0.000195671-0j 9.50889e-05-0j -0.00267351-0j -0.000385522-0j 1.63059e-05-0j 7.92408e-06-0j -9.05642e-05-0j -0.0015611-0j -3.21269e-05-0j -7.54702e-06-0j -0.000472614-0j -3.93845e-05-0j -0.000275967-0j -2.29972e-05-0j 
-0.00363187-0j -0.00423718-0j 0.00770096-0j 0.00364806-0j -0.00152928-0j 0.0220399-0j 0.0248968-0j -0.020002-0j 0.0205388-0j -0.0527907-0j -0.0144382-0j 0.00468829-0j -0.000298876-0j 0.00412432-0j -0.000330796-0j 0.00456478-0j 0.000257322-0j -0.000174345-0j -0.000264227-0j -0.00355089-0j 0.00240585-0j 0.00364618-0j 0.000300209-0j 0.00053416-0j -0.000177977-0j -0.0041427-0j -0.00737109-0j 0.000560262-0j 0.00245597-0j -0.00773129-0j 0.000108351-0j -2.87269e-05-0j -0.00149518-0j 0.000396414-0j -0.000224514-0j 0.00187739-0j 0.000475961-0j -0.000245016-0j 0.00204882-0j 0.000519424-0j 0.000186744-0j -0.000191755-0j -0.000173253-0j -0.00156155-0j 0.00160346-0j -0.00039589-0j 0.00021095-0j 0.00144874-0j 0.000406514-0j -0.000142926-0j -0.00012506-0j 0.000367289-0j 0.000367362-0j -0.00176396-0j 0.00119515-0j 0.000174025-0j -0.000447206-0j 0.00104575-0j 0.000437899-0j -0.00307187-0j 0.000302998-0j -7.29519e-05-0j 0.000265123-0j -0.000778792-0j 0.000265176-0j -0.00145519-0j -0.00366171-0j 3.97239e-05-0j 0.000610023-0j -0.000368926-0j -0.000928329-0j -0.0022174-0j -8.90107e-06-0j 0.000154655-0j -0.000562162-0j -0.00033217-0j -8.4213e-05-0j 7.44306e-05-0j 1.88699e-05-0j 
