-0.311851-0j -0.0316288-0j -0.0319565-0j -0.0181465-0j -0.00261922-0j -0.0224552-0j -0.00324112-0j -0.0130988-0j -0.00189065-0j -0.0127511-0j -0.00225411-0j -0.0148763-0j -0.000187842-0j -0.00910986-0j -0.00262979-0j -0.0130168-0j -0.00161041-0j -0.000219149-0j -0.00536915-0j -0.000134201-0j -0.00230107-0j -0.000191755-0j -0.000949141-0j -7.90951e-05-0j -0.00981513-0j -0.00163586-0j -0.0110874-0j -0.00100175-0j -0.000204482-0j -0.0090528-0j -1.20492e-05-0j -0.00914661-0j -0.00184789-0j -0.0011316-0j -0.0079212-0j -0.0015088-0j -0.000230987-0j -0.00653466-0j -0.000923947-0j -0.00152444-0j -1.3611e-05-0j -0.00208785-0j -0.0001886-0j -0.0013202-0j -0.000933522-0j -0.000808454-0j -0.000190554-0j -1.11134e-05-0j -0.00108911-0j -0.000165025-0j -0.000666941-0j -0.000347976-0j -1.12285e-05-0j -0.000213091-0j -0.000136139-0j -9.72419e-06-0j -8.02205e-06-0j -4.3497e-05-0j -2.56308e-06-0j 
0.00472742-0j 0.0336852-0j -0.0330654-0j 0.0193263-0j 0.00278951-0j 0.000340403-0j 4.9133e-05-0j -0.0273052-0j -0.00394117-0j 0.0135802-0j 0.00240066-0j 0.000225514-0j 0.000200055-0j 0.00970215-0j 3.98657e-05-0j -0.0134684-0j 0.00171511-0j 3.32214e-06-0j -0.0168291-0j 0.000142926-0j -0.00238091-0j -0.000198409-0j -0.002975-0j -0.000247917-0j 0.0104533-0j 0.00174221-0j 0.000168076-0j 0.00106688-0j 0.000217776-0j 0.00964138-0j 1.28326e-05-0j -0.00946398-0j 2.80127e-05-0j 1.71542e-05-0j 0.000120079-0j 0.0016069-0j 3.50159e-06-0j -0.0136218-0j 0.000984019-0j -0.00157733-0j 2.06333e-07-0j -0.00873614-0j 0.000200862-0j 2.00132e-05-0j -0.000965913-0j 1.22556e-05-0j -0.000197166-0j 1.18359e-05-0j -0.00227031-0j 2.50166e-06-0j -0.00139027-0j -0.00145602-0j -1.16181e-05-0j -0.000891629-0j -0.000283788-0j 1.47411e-07-0j -1.67224e-05-0j -0.000182003-0j -1.07246e-05-0j 
0.249094-0j -0.0248586-0j 0.0255257-0j 0.0144947-0j 0.00209214-0j -0.0176486-0j -0.00254736-0j 0.0104629-0j 0.00151018-0j 0.0101851-0j 0.00180049-0j 0.0118827-0j 0.000150041-0j -0.0215964-0j 0.00210058-0j -0.0102305-0j -0.00381774-0j 0.000175048-0j 0.00428868-0j -0.000318145-0j -0.00180852-0j -0.00015071-0j 0.000758138-0j 6.31782e-05-0j 0.00783995-0j 0.00130666-0j 0.00885617-0j 0.000800162-0j 0.000163332-0j -0.00711504-0j 9.62445e-06-0j 0.00730597-0j 0.00147603-0j 0.000903879-0j -0.0187785-0j -0.00118584-0j 0.000184504-0j -0.00513591-0j -0.000726176-0j 0.00121766-0j 1.0872e-05-0j 0.0016677-0j -0.00014823-0j -0.00312975-0j 0.000745662-0j -0.00191657-0j 0.000152208-0j -8.73453e-06-0j -0.000855984-0j -0.000391218-0j -0.000524181-0j 0.00027795-0j 8.96892e-06-0j 0.000170209-0j -0.000106998-0j -2.30527e-05-0j -6.30492e-06-0j 3.47437e-05-0j 2.04729e-06-0j 
0.244511-0j -0.0255257-0j 0.0257797-0j -0.0146449-0j -0.00211382-0j 0.0176063-0j 0.00254125-0j -0.00968131-0j -0.00139738-0j -0.0102907-0j -0.00181915-0j 0.011664-0j -0.000151596-0j -0.00735202-0j 0.00206193-0j 0.0105008-0j -0.00129967-0j 0.000171827-0j -0.0206893-0j -0.000108305-0j 0.0018563-0j 0.000154692-0j -0.00365739-0j -0.000304782-0j -0.0079212-0j -0.0013202-0j 0.00869322-0j -0.000808454-0j -0.000165025-0j -0.00730597-0j -9.72419e-06-0j 0.00737869-0j 0.00144887-0j 0.000887248-0j 0.00621074-0j -0.00121766-0j 0.000181109-0j -0.00482974-0j -0.000745662-0j 0.00122978-0j 1.06719e-05-0j -0.0178221-0j -0.000152208-0j 0.00103512-0j 0.000753084-0j 0.000633881-0j 0.000153723-0j -8.96892e-06-0j -0.000804957-0j 0.00012939-0j -0.000492934-0j -0.00297035-0j 9.05819e-06-0j -0.00181896-0j -0.00010062-0j 7.6244e-06-0j -5.92907e-06-0j -0.000371294-0j -2.18787e-05-0j 
0.217428-0j 0.0220521-0j 0.0222806-0j -0.025237-0j -0.00364264-0j 0.0156561-0j 0.00225976-0j 0.00913273-0j 0.0013182-0j 0.00889031-0j 0.0015716-0j -0.020689-0j 0.000130967-0j 0.00635155-0j -0.00365734-0j 0.00907553-0j 0.00112281-0j -0.000304778-0j 0.00374346-0j 9.35671e-05-0j 0.00160434-0j 0.000133695-0j 0.000661757-0j 5.51464e-05-0j 0.00684327-0j 0.00114055-0j 0.0077303-0j 0.000698439-0j 0.000142568-0j -0.01259-0j 8.40091e-06-0j -0.0127205-0j 0.00128838-0j 0.00078897-0j 0.00552279-0j -0.00209834-0j 0.000161048-0j 0.00455607-0j -0.00128497-0j -0.00212009-0j 9.48984e-06-0j 0.00145569-0j -0.000262293-0j 0.000920465-0j -0.00129828-0j 0.000563668-0j -0.000265011-0j -1.54557e-05-0j 0.000759345-0j 0.000115058-0j 0.000465002-0j 0.000242614-0j -1.56159e-05-0j 0.00014857-0j 9.49181e-05-0j 6.77987e-06-0j 5.59311e-06-0j 3.03268e-05-0j 1.78702e-06-0j 
-0.00382965-0j 0.0268504-0j 0.026786-0j -0.0156561-0j -0.00225976-0j 0.000271335-0j 3.91638e-05-0j 0.0221198-0j 0.00319271-0j -0.0110012-0j -0.00194476-0j -0.000182687-0j -0.000162063-0j 0.0233268-0j -3.22949e-05-0j -0.0107357-0j 0.00412363-0j -2.69124e-06-0j 0.0136332-0j 0.000343636-0j -0.00189782-0j -0.000158151-0j 0.00241002-0j 0.000200835-0j -0.00846812-0j -0.00141135-0j -0.000136157-0j -0.000864274-0j -0.000176419-0j 0.00768512-0j -1.03956e-05-0j 0.0076667-0j -2.26929e-05-0j -1.38965e-05-0j 0.000288706-0j 0.00128085-0j -2.83661e-06-0j -0.0108579-0j 0.000784359-0j 0.00127778-0j -1.67149e-07-0j 0.00707708-0j 0.000160107-0j 4.81176e-05-0j 0.000782479-0j 2.94659e-05-0j 0.000159723-0j 9.43438e-06-0j -0.00180966-0j 6.0147e-06-0j -0.00110818-0j 0.00117951-0j 9.41176e-06-0j 0.000722302-0j -0.000226207-0j 3.5442e-07-0j -1.33294e-05-0j 0.000147439-0j 8.68794e-06-0j 
0.203385-0j 0.0206279-0j 0.0208416-0j 0.0118349-0j 0.00170822-0j 0.0146449-0j 0.00211382-0j 0.00854289-0j 0.00123306-0j -0.0250989-0j -0.00443689-0j 0.00970215-0j -0.000369741-0j 0.00594133-0j 0.00171511-0j 0.00848938-0j 0.00105029-0j 0.000142926-0j 0.00350169-0j 8.7524e-05-0j 0.00150072-0j 0.00012506-0j 0.000619017-0j 5.15848e-05-0j 0.0064013-0j 0.00106688-0j -0.0218239-0j 0.000653329-0j 0.00013336-0j 0.00590411-0j 7.85833e-06-0j 0.0059653-0j -0.00363732-0j -0.0022274-0j 0.0051661-0j 0.000984019-0j -0.000454665-0j 0.00426181-0j 0.000602586-0j 0.000994216-0j -2.67914e-05-0j 0.00136167-0j 0.000123002-0j 0.000861017-0j 0.000608831-0j 0.000527263-0j 0.000124277-0j 7.24798e-06-0j 0.000710302-0j 0.000107627-0j 0.00043497-0j 0.000226945-0j 7.32309e-06-0j 0.000138975-0j 8.87878e-05-0j 6.34199e-06-0j 5.23187e-06-0j 2.83681e-05-0j 1.67161e-06-0j 
-0.307193-0j 0.0159181-0j 0.014729-0j 0.00913273-0j 0.0013182-0j -0.0221198-0j -0.00319271-0j 0.025525-0j 0.00368422-0j 0.00641737-0j 0.00113444-0j -0.0146542-0j 9.45367e-05-0j 0.00458479-0j -0.00259051-0j 0.00599954-0j 0.000810484-0j -0.000215876-0j 0.0031442-0j 6.75403e-05-0j 0.00106058-0j 8.83816e-05-0j 0.000555821-0j 4.63185e-05-0j 0.00493974-0j 0.000823289-0j -0.0109218-0j 0.00050416-0j 0.000102911-0j 0.00455607-0j 6.0641e-06-0j 0.00421575-0j -0.0018203-0j -0.0011147-0j -0.00780289-0j 0.000759345-0j -0.000227537-0j 0.0127337-0j 0.000465002-0j 0.000702625-0j -1.34077e-05-0j -0.0136144-0j 9.49181e-05-0j -0.00130048-0j 0.000430268-0j -0.000796379-0j 8.78281e-05-0j 5.59311e-06-0j 0.00212229-0j -0.00016256-0j 0.00129963-0j -0.00226907-0j 5.17532e-06-0j -0.00138952-0j 0.000265286-0j -9.57895e-06-0j 1.56321e-05-0j -0.000283634-0j -1.67133e-05-0j 
0.140909-0j 0.0142914-0j 0.0144395-0j 0.00819946-0j 0.00118349-0j 0.0101463-0j 0.00146449-0j 0.00591868-0j 0.000854289-0j 0.00576158-0j 0.00101851-0j 0.00672184-0j 8.48761e-05-0j 0.00411627-0j 0.00118827-0j 0.00588161-0j 0.000727661-0j 9.90221e-05-0j 0.00242604-0j 6.06384e-05-0j 0.00103973-0j 8.66443e-05-0j 0.000428868-0j 3.5739e-05-0j -0.0403959-0j -0.00673266-0j 0.00500981-0j -0.00412289-0j -0.000841582-0j 0.00409049-0j -4.95907e-05-0j 0.00413288-0j 0.000834968-0j 0.000511311-0j 0.00357918-0j 0.000681748-0j 0.000104371-0j 0.00295267-0j 0.000417484-0j 0.000688813-0j 6.15012e-06-0j 0.000943393-0j 8.52185e-05-0j 0.00059653-0j 0.00042181-0j 0.000365298-0j 8.61017e-05-0j 5.02155e-06-0j 0.000492112-0j 7.45662e-05-0j 0.000301356-0j 0.000157232-0j 5.07359e-06-0j 9.62846e-05-0j 6.1514e-05-0j 4.39386e-06-0j 3.62475e-06-0j 1.9654e-05-0j 1.15812e-06-0j 
-0.00337744-0j -0.0240658-0j 0.023623-0j 0.0275415-0j 0.00397528-0j -0.000243196-0j -3.51023e-05-0j 0.0195078-0j 0.00281571-0j -0.00970215-0j -0.00171511-0j 0.000321376-0j -0.000142926-0j -0.00693155-0j 5.68117e-05-0j 0.00962232-0j -0.00122534-0j 4.73431e-06-0j 0.0120233-0j -0.000102111-0j 0.001701-0j 0.00014175-0j 0.00212544-0j 0.00017712-0j -0.00746818-0j -0.0012447-0j -0.000120079-0j -0.000762218-0j -0.000155587-0j 0.0137397-0j -9.16805e-06-0j -0.0134869-0j -2.00132e-05-0j -1.22556e-05-0j -8.57889e-05-0j 0.00228995-0j -2.50166e-06-0j 0.00973192-0j 0.0014023-0j -0.00224782-0j -1.47411e-07-0j 0.0062414-0j 0.000286244-0j -1.42982e-05-0j -0.0013765-0j -8.7558e-06-0j -0.000280977-0j 1.68671e-05-0j 0.00162199-0j -1.78727e-06-0j 0.00099326-0j 0.00104023-0j -1.65568e-05-0j 0.00063701-0j 0.000202748-0j -1.05316e-07-0j 1.19471e-05-0j 0.000130029-0j 7.66204e-06-0j 
-0.145305-0j 0.043739-0j -0.01489-0j -0.00845526-0j -0.00122041-0j 0.0310529-0j 0.0044821-0j -0.00610333-0j -0.00088094-0j -0.00594133-0j -0.00105029-0j -0.00693155-0j -8.7524e-05-0j -0.00397451-0j -0.00122534-0j 0.0180007-0j -0.000702602-0j -0.000102111-0j -0.00250173-0j -5.85501e-05-0j 0.00318211-0j 0.000265176-0j -0.000442247-0j -3.68539e-05-0j -0.00457331-0j -0.000762218-0j -0.0051661-0j -0.000466761-0j -9.52772e-05-0j 0.012519-0j -5.61426e-06-0j -0.00426181-0j -0.000861017-0j -0.000527263-0j -0.00345592-0j 0.0020865-0j -0.000107627-0j 0.00903668-0j 0.00127771-0j -0.000710302-0j -6.34199e-06-0j -0.000972824-0j 0.000260812-0j -0.000575986-0j -0.00043497-0j -0.000352718-0j -8.87878e-05-0j 1.53685e-05-0j 0.00150611-0j -7.19983e-05-0j 0.000922302-0j -0.000162137-0j -5.23187e-06-0j -9.92885e-05-0j 0.000188264-0j -4.24254e-06-0j 1.10936e-05-0j -2.02672e-05-0j -1.19425e-06-0j 
