0.751126-0j -0.290353-0j -0.177804-0j -0.254059-0j -0.104794-0j -0.0319283-0j 0.108853-0j -0.0294484-0j -0.0297536-0j -0.0257674-0j -0.021257-0j -0.00679172-0j -0.0204805-0j -0.00295611-0j -0.0226678-0j -0.00327181-0j 0.0540856-0j -0.011947-0j 0.00780659-0j 0.0546461-0j -0.0017244-0j 0.00788749-0j -0.0209072-0j -0.00739181-0j -0.00301769-0j -0.0121959-0j -0.00106692-0j -0.0129357-0j -0.00176032-0j -0.0018671-0j -0.00754581-0j -0.00108914-0j -0.00196851-0j -0.00028413-0j -0.0153849-0j -0.00271968-0j -0.00022664-0j -0.0167897-0j -0.00296804-0j -0.000247336-0j -0.0130053-0j -0.0131401-0j 0.0358313-0j -0.00229903-0j -0.000191586-0j -0.00232286-0j 0.00633413-0j 0.0443389-0j -0.000193571-0j -0.00979402-0j 0.000527844-0j 0.0258644-0j -0.00848187-0j 0.00783809-0j -0.00173135-0j -0.0121195-0j 0.000653174-0j 0.00457222-0j -0.0014994-0j -0.00605974-0j -0.00014428-0j -0.00499903-0j 0.000381018-0j -0.00012495-0j -0.00214244-0j -0.00612254-0j -0.00107122-0j -0.000178537-0j -0.000883712-0j -0.00276646-0j -8.92684e-05-0j -0.00108232-0j -7.36427e-05-0j -0.000609946-0j -0.000489045-0j -9.01935e-05-0j -4.07538e-05-0j -0.000107824-0j -8.98536e-06-0j 
0.290353-0j -0.00961771-0j 0.207438-0j -0.287964-0j -0.359818-0j 0.0372497-0j 0.000598931-0j -0.0685308-0j 0.0672698-0j 0.000427897-0j -0.0485407-0j -0.0311308-0j 0.0238939-0j 0.00344879-0j 0.000376424-0j 5.43322e-05-0j 0.0209072-0j -0.0695428-0j 0.00301769-0j -0.0205225-0j -0.0100376-0j -0.00296217-0j -0.000692534-0j 0.00862378-0j -9.99587e-05-0j 0.0555512-0j 0.00124474-0j -0.014662-0j 0.00801812-0j -0.00211628-0j -0.0259091-0j -0.00373966-0j -0.0112868-0j -0.00162911-0j 0.017949-0j 0.00317296-0j 0.000264414-0j 0.000278813-0j 4.92876e-05-0j 4.1073e-06-0j 0.0151728-0j -0.0148937-0j -0.0276282-0j 0.0026822-0j 0.000223517-0j -0.00263285-0j -0.00488402-0j 0.000243961-0j -0.000219404-0j -0.000811478-0j -0.000407002-0j -0.0195692-0j -0.0197385-0j 4.31267e-05-0j -0.00014345-0j 0.0274009-0j 3.59389e-06-0j -0.00345938-0j -0.00348931-0j 0.000100629-0j -1.19542e-05-0j 0.034238-0j -0.000288281-0j -0.000290776-0j 0.00484384-0j -0.0139809-0j 1.77888e-05-0j 0.000403653-0j 0.00605249-0j -0.0126804-0j 1.4824e-06-0j -0.0024715-0j 0.000504374-0j -0.00419872-0j -0.0022416-0j -0.000205958-0j -0.0001868-0j -0.000742236-0j -6.1853e-05-0j 
0.177804-0j 0.207438-0j 0.118944-0j -0.538702-0j 0.0748685-0j 0.0228107-0j 0.0257674-0j -0.062442-0j 0.021257-0j 0.0172374-0j -0.045073-0j 0.00485224-0j 0.014632-0j 0.00211195-0j 0.0161946-0j 0.0023375-0j -0.0379982-0j 0.00853533-0j -0.00548457-0j 0.0129357-0j 0.00123197-0j 0.0018671-0j -0.0443313-0j 0.0671359-0j -0.00639867-0j 0.00871315-0j 0.00969023-0j 0.00865346-0j 0.00125763-0j 0.00124902-0j -0.016-0j -0.0023094-0j 0.00140637-0j 0.000202992-0j 0.0109915-0j 0.00194304-0j 0.00016192-0j 0.0119952-0j 0.00212047-0j 0.000176706-0j -0.0275762-0j 0.00938771-0j 0.00848187-0j -0.00487483-0j -0.000406235-0j 0.00165953-0j 0.0014994-0j -0.0311506-0j 0.000138294-0j 0.00699718-0j 0.00012495-0j 0.00612254-0j 0.00567404-0j -0.0055067-0j 0.00123694-0j -0.0256979-0j -0.000458892-0j 0.00108232-0j 0.00100304-0j 0.0550374-0j 0.000103078-0j 0.00357148-0j 9.01935e-05-0j 8.35865e-05-0j -0.0045428-0j 0.00409574-0j 0.00972933-0j -0.000378566-0j 0.000631354-0j -0.00586595-0j 0.000810777-0j 0.000724031-0j 5.26129e-05-0j 0.000435767-0j -0.00103696-0j 6.03359e-05-0j -8.64136e-05-0j 7.70334e-05-0j 6.41945e-06-0j 
-0.254059-0j 0.287964-0j 0.538702-0j -0.255088-0j -0.510783-0j -0.0325934-0j 0.0357701-0j 0.0295797-0j 0.0303612-0j -0.0758463-0j 0.0195542-0j -0.0733328-0j -0.0209072-0j -0.00301769-0j 0.0224813-0j 0.00324489-0j 0.0180003-0j -0.0121959-0j 0.00259813-0j 0.0184759-0j -0.00176032-0j 0.00266677-0j -0.0204026-0j 0.0373659-0j -0.00294486-0j -0.0114018-0j 0.0053933-0j -0.039176-0j -0.00164571-0j -0.00565456-0j 0.0361895-0j 0.00522351-0j -0.0368201-0j -0.00531453-0j -0.0157054-0j -0.00277634-0j -0.000231362-0j 0.0166516-0j 0.00294362-0j 0.000245301-0j 0.0130633-0j 0.0134084-0j -0.0121195-0j 0.00230928-0j 0.00019244-0j 0.00237029-0j -0.00214244-0j -0.0143364-0j 0.000197524-0j 0.00971344-0j -0.000178537-0j -0.00801181-0j 0.0256979-0j -0.00253435-0j 0.00171711-0j -0.0121686-0j -0.000211196-0j -0.0014163-0j 0.0045428-0j -0.0297602-0j 0.000143092-0j -0.0243661-0j -0.000118025-0j 0.000378566-0j -0.00215112-0j 0.0169881-0j -0.00526091-0j -0.00017926-0j -0.00430736-0j 0.0293914-0j -0.000438409-0j 0.0030031-0j -0.000358946-0j -0.0174419-0j 0.00519571-0j 0.000250258-0j 0.000432976-0j -0.00308331-0j -0.000256943-0j 
0.104794-0j -0.359818-0j 0.0748685-0j 0.510783-0j -0.622334-0j 0.0134441-0j -0.0446956-0j 0.0123999-0j 0.0598193-0j -0.031932-0j 0.0104149-0j -0.0534546-0j 0.00862378-0j 0.00124474-0j -0.0280909-0j -0.00405457-0j 0.00754581-0j 0.00503054-0j 0.00108914-0j 0.0364023-0j 0.000726096-0j 0.00525421-0j -0.0259091-0j 0.00311249-0j -0.00373966-0j 0.00597539-0j 0.000449249-0j 0.026007-0j 0.000862473-0j 0.00375379-0j -0.0448119-0j -0.00646804-0j 0.0268534-0j 0.00387595-0j 0.00647813-0j 0.00114518-0j 9.54319e-05-0j -0.0208066-0j -0.00367812-0j -0.00030651-0j 0.00547616-0j 0.0264179-0j 0.00499903-0j 0.000968058-0j 8.06715e-05-0j 0.00467008-0j 0.000883712-0j -0.0182058-0j 0.000389173-0j -0.0121372-0j 7.36427e-05-0j 0.00419877-0j 0.00357148-0j -0.00321835-0j -0.00214557-0j 0.0243661-0j -0.000268196-0j 0.000742245-0j 0.000631354-0j -0.00750949-0j -0.000178797-0j -0.0296875-0j 6.18538e-05-0j 5.26129e-05-0j 0.00430736-0j 0.00299975-0j -0.0013275-0j 0.000358946-0j -0.00524805-0j -0.0217735-0j -0.000110625-0j 0.000530286-0j -0.000437338-0j 0.0531186-0j -0.00384906-0j 4.41905e-05-0j -0.000320755-0j 0.00939012-0j 0.00078251-0j 
0.0319283-0j 0.0372497-0j 0.0228107-0j 0.0325934-0j 0.0134441-0j 0.785541-0j -0.218871-0j -0.178707-0j -0.180559-0j -0.156369-0j -0.128998-0j -0.0412154-0j 0.00262746-0j -0.0362574-0j -0.0117901-0j 0.162697-0j 0.00229903-0j 0.00153269-0j -0.0317253-0j 0.00232286-0j -0.0211502-0j -0.032054-0j 0.0026822-0j 0.000948302-0j -0.0370128-0j 0.00156462-0j -0.013086-0j 0.00165953-0j -0.0215908-0j -0.0229005-0j 0.000968058-0j -0.0133586-0j 0.000252542-0j -0.00348493-0j 0.00197374-0j -0.0165044-0j -0.00418424-0j 0.00215397-0j -0.0180115-0j -0.00456633-0j -0.00676439-0j -0.00683449-0j 0.00152309-0j 0.0565637-0j 0.0143402-0j 0.0571499-0j -0.012736-0j 0.00188472-0j 0.0144888-0j 0.00125648-0j -0.00322888-0j 0.00109942-0j 0.00108815-0j -0.01576-0j -0.0105067-0j 0.00155482-0j -0.00399554-0j -0.00919336-0j -0.00909906-0j 0.000777409-0j -0.00266369-0j 0.00064133-0j -0.00233073-0j -0.00230683-0j -0.0130014-0j 0.000785465-0j -0.00650068-0j -0.00329615-0j -0.00536279-0j 0.000354911-0j -0.00164808-0j -0.00656805-0j -0.00135959-0j 7.82505e-05-0j -0.00296776-0j -0.00166515-0j -0.000752397-0j -0.00065433-0j -0.000165888-0j 
0.108853-0j -0.000598931-0j -0.0257674-0j 0.0357701-0j 0.0446956-0j 0.218871-0j -0.0106212-0j 0.201871-0j -0.198157-0j 0.00251423-0j -0.285215-0j -0.182918-0j -0.00296804-0j 0.0409571-0j -4.67583e-05-0j 0.000645237-0j 0.00783809-0j -0.00173135-0j -0.108161-0j -0.00769387-0j 0.0238917-0j 0.106171-0j -4.31267e-05-0j -0.00107122-0j 0.000595122-0j 0.00345938-0j 0.0147822-0j 0.00182127-0j -0.0477373-0j -0.0251324-0j 0.00321835-0j -0.0444114-0j 0.00140202-0j -0.019347-0j -0.00222957-0j 0.0186436-0j 0.0047266-0j -3.46333e-05-0j 0.000289603-0j 7.34212e-05-0j -0.00188472-0j 0.00185005-0j 0.00519266-0j 0.01576-0j 0.00399554-0j -0.0154701-0j -0.043421-0j 9.14608e-05-0j -0.00392202-0j -2.02028e-05-0j -0.0110082-0j -0.00733647-0j -0.00122919-0j -0.000764794-0j 0.000168935-0j 0.00170635-0j -0.000193893-0j 0.0613474-0j 0.0102785-0j -1.24998e-05-0j 4.2829e-05-0j 0.00213213-0j 0.015553-0j 0.00260584-0j -0.0142685-0j 0.00173667-0j 0.000104523-0j -0.0036174-0j -0.0178288-0j 0.00157513-0j 2.64991e-05-0j -0.014522-0j -0.00452003-0j 0.000521553-0j -0.0131712-0j -0.00368166-0j -0.0033392-0j -0.00436122-0j -0.00110567-0j 
-0.0294484-0j 0.0685308-0j 0.062442-0j 0.0295797-0j -0.0123999-0j 0.178707-0j 0.201871-0j 0.323506-0j -0.332187-0j -0.428045-0j -0.11707-0j 0.0380143-0j -0.00242339-0j 0.0334414-0j -0.0026822-0j 0.0370128-0j 0.00208645-0j 0.00705323-0j -0.0287918-0j -0.00214244-0j -0.0973303-0j 0.0295644-0j -0.00485548-0j 0.00433115-0j 0.0670027-0j 0.00287854-0j -0.0597673-0j 0.0045428-0j -0.0397221-0j -0.0626879-0j 0.000878547-0j -0.0121234-0j -0.000232927-0j 0.00321426-0j -0.00182044-0j 0.0152225-0j 0.00385925-0j -0.00198667-0j 0.0166125-0j 0.00421167-0j 0.00151419-0j -0.00155482-0j 0.00280213-0j -0.0126616-0j -0.00321001-0j 0.0130014-0j -0.0234314-0j 0.00171045-0j 0.00329615-0j 0.00578217-0j -0.0059404-0j -0.00101403-0j -0.00594159-0j -0.0143028-0j -0.0483504-0j -0.00281462-0j -0.00362609-0j 0.00847932-0j 0.0496835-0j 0.00355064-0j -0.012258-0j 0.0011799-0j 0.00214971-0j 0.0125959-0j 0.0235358-0j 0.00215013-0j -0.0296904-0j 0.00596688-0j -0.0098663-0j 0.000322094-0j -0.00752721-0j -0.0179794-0j -0.00250134-0j -7.21729e-05-0j -0.00269335-0j -0.0045582-0j -0.000682827-0j 0.000603509-0j 0.000153004-0j 
0.0297536-0j 0.0672698-0j 0.021257-0j -0.0303612-0j 0.0598193-0j -0.180559-0j 0.198157-0j 0.332187-0j -0.335494-0j 0.14157-0j -0.110091-0j -0.406245-0j 0.0024485-0j -0.0337879-0j -0.00263285-0j 0.0363318-0j 0.00214244-0j -0.00712632-0j -0.0295644-0j -0.00216377-0j 0.098339-0j 0.0298587-0j 0.00484384-0j 0.000883712-0j -0.0668421-0j -0.00266352-0j -0.0121947-0j -0.00154587-0j 0.036755-0j 0.0213321-0j 0.00430736-0j -0.059439-0j 0.00431212-0j -0.0595047-0j 0.0018393-0j -0.0153802-0j -0.00389925-0j -0.00195012-0j 0.0163069-0j 0.00413417-0j 0.00155482-0j -0.00157029-0j -0.00283117-0j -0.0130014-0j -0.00329615-0j 0.0131308-0j 0.0236742-0j -0.00170635-0j 0.00332896-0j 0.00567578-0j 0.00600196-0j 0.000938286-0j -0.00202268-0j 0.0142685-0j -0.0474608-0j 0.00288898-0j 0.0036174-0j -0.00784594-0j 0.0169137-0j -0.000703835-0j -0.0120324-0j -0.00569203-0j -0.00198913-0j 0.00428801-0j -0.0241576-0j 0.000670344-0j 0.00588546-0j -0.00612452-0j 0.0475967-0j 0.00349822-0j 0.0014921-0j -0.00560541-0j 0.0120669-0j 0.00204267-0j -0.0292521-0j -0.0014211-0j -0.00741609-0j -0.0170808-0j -0.00433037-0j 
0.0257674-0j 0.000427897-0j 0.0172374-0j 0.0758463-0j -0.031932-0j -0.156369-0j -0.00251423-0j 0.428045-0j 0.14157-0j -0.00168192-0j -0.604764-0j 0.130683-0j 0.00212047-0j -0.0292612-0j 3.34058e-05-0j -0.00046098-0j -0.0055067-0j 0.00123694-0j 0.0759892-0j -0.00182127-0j -0.017069-0j 0.0251324-0j -9.1445e-05-0j 0.00972933-0j 0.00126189-0j -0.0024715-0j -0.134259-0j -0.00121836-0j 0.0341052-0j 0.0168126-0j 0.00682414-0j -0.0941691-0j -0.00100165-0j 0.0138222-0j 0.00159288-0j -0.0133197-0j -0.00337685-0j 2.47432e-05-0j -0.000206903-0j -5.24546e-05-0j -0.00399634-0j -0.00132174-0j 0.00122919-0j 0.0334173-0j 0.00847207-0j 0.0110523-0j -0.0102785-0j -6.42564e-05-0j 0.00280203-0j 1.44335e-05-0j -0.00260584-0j -0.00173667-0j 0.000822281-0j 0.000537311-0j -0.000120693-0j 0.00361812-0j 0.000136221-0j 0.014522-0j -0.0068759-0j 0.000113529-0j -3.05985e-05-0j -0.00152327-0j 0.00368166-0j -0.0017432-0j -0.0302547-0j -0.00116176-0j -0.00094933-0j -0.00767028-0j 0.0127375-0j 0.00333987-0j -0.000240677-0j 0.00971464-0j 0.00322926-0j -0.000372615-0j -0.0279279-0j 0.00246289-0j -0.00708039-0j 0.00311581-0j 0.00078993-0j 
-0.021257-0j 0.0485407-0j 0.045073-0j 0.0195542-0j -0.0104149-0j 0.128998-0j -0.285215-0j -0.11707-0j 0.110091-0j 0.604764-0j -0.327199-0j -0.355531-0j -0.0017493-0j 0.0241392-0j 0.00378956-0j -0.0522936-0j 0.00150608-0j -0.00102042-0j -0.020783-0j -0.0014163-0j 0.0140812-0j 0.0195441-0j -0.00343916-0j 0.00312639-0j 0.0474583-0j -0.0040333-0j -0.0431423-0j 0.0030031-0j 0.0556571-0j -0.041441-0j 0.000737907-0j -0.0101827-0j 0.00743766-0j -0.102635-0j -0.00131406-0j 0.0109882-0j 0.00278576-0j 0.00280688-0j -0.0234711-0j -0.00595047-0j 0.001093-0j -0.00102784-0j -0.00101403-0j -0.00913963-0j -0.00231711-0j 0.0085948-0j 0.00847932-0j -0.00241662-0j 0.00217898-0j 0.00163735-0j 0.00214971-0j -0.00283411-0j 0.00215013-0j 0.0202077-0j -0.0136915-0j 0.000932803-0j 0.00512314-0j 0.0236988-0j -0.0179794-0j -0.00501653-0j -0.00347111-0j -0.000496827-0j 0.0060082-0j -0.0045582-0j -0.00780008-0j 0.0060094-0j 0.0419481-0j -0.0019775-0j 0.00415446-0j -0.00301241-0j 0.0106348-0j -0.0502505-0j 0.00105325-0j 0.00512752-0j 0.0251897-0j -0.0127397-0j 0.00638619-0j -0.0428762-0j -0.0108701-0j 
