-0.588638-0j -0.0144169-0j 0.824574-0j -0.0735336-0j -0.00169798-0j -0.0525349-0j 0.072094-0j 0.0904375-0j -0.0464775-0j -0.00670845-0j -0.00103914-0j -0.000149987-0j -0.0428676-0j -0.00618741-0j 0.0415974-0j -0.000742399-0j 0.00600406-0j -0.000107156-0j 0.0600496-0j 0.00866742-0j 0.038568-0j 0.00556681-0j 
0.0600399-0j -0.0714461-0j 0.0433391-0j -0.352739-0j -0.411529-0j 0.736697-0j 0.346277-0j -0.148529-0j 0.00474061-0j -0.0650449-0j 0.00535509-0j -0.073476-0j -0.00420472-0j 0.057692-0j 0.00441772-0j -0.0111841-0j -0.0606146-0j 0.153455-0j -0.00303513-0j 0.0416443-0j 0.00100841-0j -0.0138362-0j 
-0.0606621-0j 0.072094-0j -0.0386911-0j 0.356395-0j -0.399334-0j 0.254621-0j -0.363534-0j 0.703521-0j -0.00478974-0j 0.0657189-0j 0.00519641-0j -0.0712987-0j -0.00441772-0j 0.0606146-0j 0.00446001-0j 0.00371249-0j -0.0611948-0j -0.0509383-0j -0.00281768-0j 0.0386608-0j -0.0106105-0j 0.145584-0j 
-0.0673557-0j 0.0428676-0j 0.0250061-0j 0.00432757-0j -0.00981653-0j 0.00309176-0j 0.00441772-0j 0.00182222-0j -0.260181-0j 0.000394803-0j -0.293906-0j 0.000445977-0j 0.466585-0j -0.000708002-0j 0.47142-0j -0.209976-0j -0.000715339-0j 0.000318621-0j -0.173222-0j 0.000262849-0j -0.0553452-0j 8.39816e-05-0j 
0.00972196-0j -0.00618741-0j -0.00360932-0j 0.0593776-0j -0.13469-0j 0.0424214-0j 0.0606146-0j 0.0250022-0j -0.000394803-0j -0.252025-0j -0.000445977-0j -0.284693-0j 0.000708002-0j 0.451959-0j 0.000715339-0j -0.000318621-0j 0.456643-0j -0.203395-0j -0.000262849-0j -0.167792-0j -8.39816e-05-0j -0.0536103-0j 
-0.0428676-0j 0.00100964-0j 0.0600496-0j -0.00535509-0j -0.000123656-0j 0.0111841-0j -0.00504889-0j 0.00658612-0j 0.321958-0j -0.000488543-0j 0.00719832-0j -1.09228e-05-0j -0.285563-0j 0.000433317-0j -0.288152-0j -0.0150337-0j 0.000437246-0j 2.28124e-05-0j 0.400021-0j -0.000606997-0j -0.267167-0j 0.000405403-0j 
0.00618741-0j -0.00014573-0j -0.00866742-0j -0.073476-0j -0.00169665-0j 0.153455-0j -0.0692747-0j 0.0903667-0j 0.000488543-0j 0.311866-0j 1.09228e-05-0j 0.00697268-0j -0.000433317-0j -0.276611-0j -0.000437246-0j -2.28124e-05-0j -0.27912-0j -0.0145625-0j 0.000606997-0j 0.387481-0j -0.000405403-0j -0.258792-0j 
0.0250061-0j -0.0600496-0j 0.068987-0j 0.0031238-0j -0.00707247-0j 0.00223175-0j 0.00281768-0j 0.00160945-0j -0.187809-0j 0.000284984-0j 0.411708-0j -0.000624732-0j -0.173222-0j 0.000262849-0j -0.154644-0j 0.294138-0j 0.000234659-0j -0.00044633-0j -0.477885-0j 0.000725149-0j 0.50186-0j -0.000761529-0j 
-0.00360932-0j 0.00866742-0j -0.00995741-0j 0.042861-0j -0.0970398-0j 0.0306214-0j 0.0386608-0j 0.0220829-0j -0.000284984-0j -0.181922-0j 0.000624732-0j 0.398802-0j -0.000262849-0j -0.167792-0j -0.000234659-0j 0.00044633-0j -0.149797-0j 0.284918-0j -0.000725149-0j -0.462905-0j 0.000761529-0j 0.486128-0j 
0.0244804-0j 0.030293-0j 0.0176709-0j -0.0089549-0j 0.00356782-0j 0.00218483-0j 0.00312184-0j 0.00128769-0j 0.00193292-0j 0.000278992-0j -0.00639367-0j -0.000922847-0j 0.00178279-0j 0.000257323-0j 0.00180126-0j 0.00155994-0j 0.00025999-0j 0.000225158-0j 0.00128688-0j 0.000185746-0j 0.000411166-0j 5.93467e-05-0j 
-0.00432757-0j -0.00535509-0j -0.0031238-0j -0.0744496-0j 0.0296622-0j 0.0181643-0j 0.0259545-0j 0.0107057-0j 0.0325022-0j 0.00468831-0j -0.10751-0j -0.0155079-0j 0.0299778-0j 0.00432418-0j 0.0302885-0j 0.0262306-0j 0.00436899-0j 0.00378365-0j 0.0216391-0j 0.00312136-0j 0.0069138-0j 0.000997288-0j 
0.0555307-0j -0.000699501-0j 0.040008-0j -0.00356782-0j 0.000160183-0j -0.00254897-0j 0.00349797-0j 0.00438799-0j -0.00225507-0j -0.000325491-0j -5.04188e-05-0j -7.27732e-06-0j 0.00404403-0j 0.000583705-0j -0.0039242-0j -3.60209e-05-0j -0.000566409-0j -5.19917e-06-0j 0.00291358-0j 0.000420539-0j 0.0018713-0j 0.000270099-0j 
0.00036063-0j 0.000446257-0j 0.000260317-0j 0.0188762-0j -0.00752068-0j -0.00460546-0j -0.00658059-0j -0.00271436-0j 2.84745e-05-0j 0.055707-0j -9.41876e-05-0j -0.184267-0j 2.62629e-05-0j 0.0513803-0j 2.65351e-05-0j 2.29801e-05-0j 0.0519128-0j 0.0449578-0j 1.89576e-05-0j 0.0370883-0j 6.05704e-06-0j 0.0118499-0j 
-0.0174896-0j 0.0632669-0j -0.0126247-0j -0.00218483-0j -0.00254897-0j -0.00132605-0j 0.00651997-0j -0.000919972-0j -0.00138094-0j -0.000199322-0j -0.00155994-0j -0.000225158-0j 0.00372336-0j 0.00053742-0j -0.00128688-0j -0.00094678-0j -0.000185746-0j -0.000136656-0j 0.00268766-0j 0.00038793-0j -0.000293751-0j -4.23993e-05-0j 
-0.00981653-0j 0.000123656-0j -0.00707247-0j -0.0296622-0j 0.00133174-0j -0.0211917-0j 0.0290816-0j 0.036481-0j -0.0379193-0j -0.0054697-0j -0.000847798-0j -0.000122291-0j 0.0680008-0j 0.00980885-0j -0.0659858-0j -0.000605696-0j -0.00951819-0j -8.73692e-05-0j 0.0489923-0j 0.00706694-0j 0.0314662-0j 0.00453887-0j 
0.0249904-0j 0.0285609-0j 0.0159392-0j 0.00312184-0j -0.00349797-0j -0.00651997-0j 0.00306225-0j 0.0061625-0j 0.00197318-0j 0.000284805-0j -0.00214072-0j -0.000308986-0j -0.00175013-0j -0.000252609-0j -0.00183735-0j 0.00447089-0j -0.000265198-0j 0.000645318-0j -0.00111626-0j -0.000161118-0j 0.00437111-0j 0.000630916-0j 
0.00309176-0j -0.0111841-0j 0.00223175-0j -0.0181643-0j -0.0211917-0j -0.0110246-0j 0.054206-0j -0.0076485-0j -0.0232207-0j -0.00334949-0j -0.0262306-0j -0.00378365-0j 0.0626087-0j 0.00903105-0j -0.0216391-0j -0.0159202-0j -0.00312136-0j -0.00229643-0j 0.0451934-0j 0.00651896-0j -0.00493946-0j -0.000712497-0j 
0.000818045-0j -1.03046e-05-0j 0.000589373-0j 0.00752068-0j -0.000337654-0j 0.00537303-0j -0.00737345-0j -0.00924954-0j -3.32203e-05-0j -0.0649915-0j -7.42738e-07-0j -0.00145308-0j 5.95742e-05-0j 0.11655-0j -5.78089e-05-0j -5.30638e-07-0j -0.113096-0j -0.00103813-0j 4.29211e-05-0j 0.0839701-0j 2.75669e-05-0j 0.0539313-0j 
-0.010308-0j 0.0372567-0j -0.00910442-0j -0.00128769-0j 0.00438799-0j -0.000919972-0j -0.0061625-0j 0.00746164-0j -0.000813897-0j -0.000117476-0j 0.0026854-0j 0.000387603-0j -0.000750683-0j -0.000108352-0j -0.00355569-0j 0.00191854-0j -0.000513219-0j 0.000276917-0j -0.00066303-0j -9.57001e-05-0j 0.00321313-0j 0.000463775-0j 
-0.000257647-0j 0.00093201-0j -0.000185979-0j 0.00460546-0j 0.00537303-0j 0.00279521-0j -0.0137436-0j 0.00193923-0j -2.03432e-05-0j -0.039799-0j -2.29801e-05-0j -0.0449578-0j 5.48502e-05-0j 0.107308-0j -1.89576e-05-0j -1.39474e-05-0j -0.0370883-0j -0.0272864-0j 3.9593e-05-0j 0.0774589-0j -4.32736e-06-0j -0.00846596-0j 
-0.00441772-0j -0.00504889-0j -0.00281768-0j 0.0259545-0j -0.0290816-0j -0.054206-0j 0.0254591-0j 0.051234-0j 0.0331793-0j 0.00478599-0j -0.0359964-0j -0.00519234-0j -0.0294287-0j -0.00424496-0j -0.0308952-0j 0.0751786-0j -0.00445651-0j 0.0108442-0j -0.01877-0j -0.00270749-0j 0.0735008-0j 0.0106022-0j 
0.000368144-0j 0.000420741-0j 0.000234807-0j -0.00658059-0j 0.00737345-0j 0.0137436-0j -0.00645499-0j -0.0129901-0j 2.90678e-05-0j 0.0568676-0j -3.15357e-05-0j -0.0616959-0j -2.57818e-05-0j -0.0504391-0j -2.70667e-05-0j 6.58624e-05-0j -0.0529528-0j 0.128852-0j -1.6444e-05-0j -0.0321707-0j 6.43926e-05-0j 0.125976-0j 
