0.802148-0j -0.223498-0j -0.182485-0j -0.184376-0j -0.159675-0j -0.131725-0j -0.0420867-0j -0.025906-0j 0.116247-0j -0.0226678-0j -0.0151119-0j -0.0229027-0j -0.0264458-0j -0.00934999-0j -0.0154267-0j -0.0163625-0j -0.00954478-0j -0.00248999-0j -0.0168533-0j -0.00243256-0j -0.0183922-0j -0.00265469-0j 0.0577595-0j 0.00833687-0j 0.0583581-0j -0.0130053-0j 0.00842326-0j -0.00187715-0j -0.0160932-0j -0.0107288-0j -0.00232286-0j -0.00938771-0j -0.00929142-0j -0.00154857-0j -0.001355-0j -0.0013411-0j -0.0132762-0j -0.00663811-0j -0.00191626-0j -0.00547616-0j -0.0067069-0j -0.000958129-0j -0.000790416-0j -0.000968058-0j -0.0030305-0j -0.000437415-0j -0.000668163-0j -9.6441e-05-0j 
0.223498-0j -0.0108458-0j 0.206139-0j -0.202346-0j 0.00256738-0j -0.291244-0j -0.186785-0j 0.029264-0j 0.000461024-0j -0.0772813-0j 0.0170707-0j 0.0758593-0j 0.000425216-0j 0.0105619-0j -0.0341085-0j -0.0179572-0j -0.031732-0j -0.0138235-0j 0.0190378-0j 0.00274787-0j 0.000295726-0j 4.26843e-05-0j 0.0160932-0j 0.00232286-0j -0.0157971-0j -0.0443389-0j -0.00228012-0j -0.00639977-0j -0.000780962-0j 0.000172507-0j -0.000112722-0j 0.0626444-0j 0.0104958-0j 2.48992e-05-0j 0.00904193-0j 0.00151493-0j -0.0145702-0j 0.000106733-0j -0.00210302-0j -0.0182058-0j -0.014829-0j 1.54056e-05-0j -0.00262777-0j -0.00214038-0j -0.0134496-0j -0.00194129-0j -0.00445342-0j -0.000642795-0j 
0.182485-0j 0.206139-0j 0.330345-0j -0.33921-0j -0.437094-0j -0.119545-0j 0.0388179-0j 0.0238939-0j 0.0264458-0j -0.0205718-0j -0.0695428-0j 0.0211239-0j 0.0478736-0j -0.0427039-0j -0.0283816-0j -0.0447907-0j -0.00866223-0j 0.00229659-0j 0.0155443-0j 0.00224362-0j 0.0169637-0j 0.0024485-0j -0.0129293-0j -0.00186618-0j 0.0132762-0j -0.0239267-0j 0.00191626-0j -0.00345352-0j -0.0146052-0j -0.0493726-0j -0.00210807-0j 0.00865857-0j 0.0507338-0j -0.00712632-0j 0.00124976-0j 0.00732279-0j 0.0240334-0j -0.030318-0j 0.00346892-0j -0.0100749-0j -0.0183595-0j -0.00437603-0j -0.00145418-0j -0.00264996-0j -0.00275029-0j -0.00039697-0j 0.000616267-0j 8.89505e-05-0j 
-0.184376-0j 0.202346-0j 0.33921-0j -0.342586-0j 0.144563-0j -0.112419-0j -0.414833-0j -0.0241416-0j 0.0259592-0j -0.0211239-0j 0.0702635-0j 0.0213341-0j -0.0477589-0j -0.00871315-0j 0.0262615-0j 0.0152418-0j -0.0424693-0j -0.0425162-0j -0.0157054-0j -0.00226687-0j 0.0166516-0j 0.00240345-0j -0.0132762-0j -0.00191626-0j 0.0134084-0j 0.0241747-0j 0.00193533-0j 0.00348931-0j 0.0145702-0j -0.0484641-0j 0.00210302-0j -0.00801181-0j 0.0172712-0j -0.0069952-0j -0.0011564-0j 0.00249289-0j -0.0246683-0j 0.00600988-0j -0.00356056-0j 0.0486029-0j -0.00572391-0j 0.000867452-0j 0.00701523-0j -0.000826175-0j -0.0298705-0j -0.00431144-0j -0.0174419-0j -0.00251752-0j 
-0.159675-0j -0.00256738-0j 0.437094-0j 0.144563-0j -0.00171748-0j -0.617549-0j 0.133445-0j -0.0209072-0j -0.000329371-0j 0.0542945-0j -0.0121959-0j 0.0179572-0j 0.000901622-0j -0.0959284-0j 0.0243683-0j 0.0120127-0j -0.0672841-0j 0.00987598-0j -0.0136012-0j -0.00196317-0j -0.000211277-0j -3.04951e-05-0j 0.0341238-0j 0.00492534-0j 0.011286-0j -0.0104958-0j 0.00162899-0j -0.00151493-0j 0.00054867-0j -0.000123245-0j 7.91937e-05-0j 0.014829-0j -0.00702126-0j -1.77888e-05-0j 0.00214038-0j -0.00101343-0j -0.0308943-0j -0.000969399-0j -0.00445921-0j 0.0130068-0j 0.00992001-0j -0.000139921-0j 0.00187737-0j 0.00143183-0j -0.0285184-0j -0.00411627-0j 0.00318167-0j 0.000459235-0j 
0.131725-0j -0.291244-0j -0.119545-0j 0.112419-0j 0.617549-0j -0.334116-0j -0.363047-0j 0.0172476-0j -0.037364-0j -0.0148495-0j 0.0100611-0j 0.0139643-0j 0.0339091-0j -0.0308253-0j 0.0397672-0j -0.0296097-0j -0.00727556-0j -0.0733332-0j 0.0112205-0j 0.00161953-0j -0.0239673-0j -0.00345938-0j -0.00933284-0j -0.00134708-0j 0.00877649-0j 0.00865857-0j 0.00126678-0j 0.00124976-0j 0.020635-0j -0.0139809-0j 0.0029784-0j 0.0241998-0j -0.0183595-0j -0.00201797-0j 0.00349294-0j -0.00264996-0j -0.00796498-0j 0.0428349-0j -0.00114965-0j 0.00424228-0j -0.0513128-0j 0.00618269-0j 0.000612321-0j -0.00740637-0j 0.0257223-0j 0.00371269-0j -0.0437826-0j -0.00631948-0j 
-0.0420867-0j 0.186785-0j -0.0388179-0j -0.414833-0j 0.133445-0j 0.363047-0j -0.454995-0j -0.00551068-0j 0.0239627-0j -0.00482184-0j -0.00321456-0j -0.0515293-0j 0.0221016-0j -0.00198891-0j 0.0425175-0j -0.0368143-0j 0.0379506-0j -0.0757161-0j -0.00358499-0j -0.000517449-0j 0.015371-0j 0.00221861-0j -0.0030305-0j -0.000437415-0j -0.0323859-0j -0.00276646-0j -0.0046745-0j -0.000399304-0j 0.0134496-0j 0.00896642-0j 0.00194129-0j 0.0258735-0j -0.00197645-0j 0.00129419-0j 0.00373451-0j -0.000285276-0j -0.0298705-0j 0.00554769-0j -0.00431144-0j 0.0217735-0j 0.0184849-0j 0.00080074-0j 0.00314274-0j 0.00266807-0j -0.0327624-0j -0.00472885-0j 0.00237763-0j 0.000343182-0j 
0.025906-0j 0.029264-0j 0.0238939-0j 0.0241416-0j 0.0209072-0j 0.0172476-0j 0.00551068-0j 0.818845-0j -0.177588-0j -0.140396-0j -0.0935971-0j -0.141851-0j -0.163795-0j -0.0579102-0j -0.095547-0j -0.101343-0j -0.0591167-0j -0.015422-0j 0.0022067-0j -0.0304512-0j -0.01229-0j 0.169594-0j 0.00186539-0j -0.0257413-0j 0.00188472-0j 0.00170286-0j -0.0260081-0j -0.0234985-0j 0.00210719-0j 0.00140479-0j -0.0290779-0j 0.00122919-0j 0.00121658-0j -0.0193853-0j -0.0169621-0j -0.0167881-0j 0.00173834-0j 0.00086917-0j -0.0239881-0j 0.000717028-0j 0.000878177-0j -0.011994-0j -0.00989457-0j -0.0121183-0j 0.000396803-0j -0.00547564-0j 8.74867e-05-0j -0.00120726-0j 
0.116247-0j -0.000461024-0j -0.0264458-0j 0.0259592-0j -0.000329371-0j 0.037364-0j 0.0239627-0j 0.177588-0j -0.0113427-0j 0.155389-0j 0.103593-0j -0.15253-0j 0.00258042-0j 0.0640949-0j -0.206987-0j -0.108973-0j -0.192565-0j -0.0838876-0j -0.00244237-0j 0.0337033-0j -3.79389e-05-0j 0.000523534-0j 0.00837051-0j -0.115508-0j -0.00821649-0j -0.00188472-0j 0.113383-0j 0.0260081-0j -3.31965e-05-0j -2.2131e-05-0j 0.000458092-0j 0.00266284-0j -0.00134651-0j 0.000305395-0j -0.0367456-0j 0.0185811-0j 0.00186922-0j -1.36929e-05-0j -0.0257941-0j 0.00233563-0j 0.00190242-0j 0.000188953-0j -0.0322303-0j -0.0262523-0j 0.00172546-0j -0.0238104-0j 0.000571333-0j -0.00788405-0j 
-0.0226678-0j 0.0772813-0j 0.0205718-0j -0.0211239-0j 0.0542945-0j 0.0148495-0j -0.00482184-0j 0.140396-0j 0.155389-0j 0.364814-0j 0.0818975-0j -0.374604-0j -0.141022-0j -0.250919-0j 0.0836037-0j -0.26318-0j -0.0508974-0j 0.0134943-0j -0.00193087-0j 0.0266448-0j -0.00210719-0j 0.0290779-0j 0.00160604-0j -0.0221623-0j -0.00164913-0j 0.00449698-0j 0.0227571-0j -0.0620556-0j -0.00547546-0j -0.00122919-0j 0.0755581-0j 0.00324609-0j 0.00315938-0j 0.0169621-0j -0.0447941-0j -0.0435976-0j 0.00149665-0j 0.00376602-0j -0.0206528-0j -0.0006274-0j 0.00228056-0j -0.0519688-0j 0.00865775-0j -0.0314704-0j 0.000341633-0j -0.00471433-0j -7.65509e-05-0j 0.00105636-0j 
-0.0151119-0j -0.0170707-0j 0.0695428-0j 0.0702635-0j -0.0121959-0j -0.0100611-0j -0.00321456-0j 0.0935971-0j 0.103593-0j 0.0818975-0j 0.379874-0j 0.0827462-0j -0.476722-0j 0.033781-0j -0.278088-0j 0.0591167-0j 0.0344847-0j 0.00899619-0j -0.00128724-0j 0.0177632-0j -0.00140479-0j 0.0193853-0j -0.00108815-0j 0.0150158-0j -0.00109942-0j 0.00495615-0j 0.0151714-0j -0.0683919-0j -0.00122919-0j -0.0057015-0j 0.0169621-0j -0.000717028-0j 0.00354084-0j 0.0786773-0j 0.00989457-0j -0.0488615-0j 0.0050594-0j -0.000507016-0j -0.0698167-0j 0.0020869-0j -0.00051227-0j 0.00699652-0j -0.0287979-0j 0.00706902-0j -0.000231468-0j 0.00319412-0j -5.10339e-05-0j 0.000704238-0j 
