-0.3599-0j -0.00769406-0j -0.296902-0j 0.288105-0j -0.265558-0j -0.181815-0j -0.00650402-0j 0.371997-0j -0.00593733-0j -0.183699-0j -0.173193-0j 0.252091-0j 0.168061-0j 0.316233-0j -0.00424183-0j -0.0535789-0j 0.343105-0j 0.103982-0j 0.220365-0j 0.225928-0j 0.139297-0j 0.0372795-0j 
0.0367091-0j 0.0396503-0j -0.029122-0j 0.0305973-0j 0.0270863-0j 0.0185447-0j -0.0322321-0j 0.0195519-0j 0.0305973-0j -0.0547735-0j -0.0169878-0j -0.0257458-0j 0.0178484-0j 0.0110431-0j -0.0639025-0j -0.0374162-0j -0.0173417-0j -0.0539451-0j 0.00576175-0j -0.0230636-0j -0.00279909-0j 0.000555776-0j 
-0.0370895-0j 0.0384754-0j -0.0305973-0j 0.0308901-0j -0.027367-0j -0.0187369-0j 0.0325244-0j -0.017455-0j 0.0296906-0j -0.0189311-0j -0.0178484-0j 0.0270289-0j 0.0180192-0j -0.052307-0j 0.021212-0j -0.00552157-0j -0.0160993-0j 0.0111488-0j -0.060625-0j -0.0373699-0j -0.0531176-0j -0.0219683-0j 
0.0211807-0j 0.0228778-0j 0.0174732-0j 0.0176542-0j -0.0303868-0j 0.0107001-0j 0.0193393-0j 0.0112812-0j -0.0343255-0j 0.010811-0j -0.0498284-0j 0.0154475-0j -0.0503447-0j 0.00637175-0j -0.0245233-0j 0.0031532-0j -0.0202307-0j 0.00637175-0j -0.00646381-0j 0.0045522-0j 0.00167945-0j 0.000320676-0j 
-0.00305717-0j -0.00330212-0j -0.00252203-0j -0.00254817-0j 0.00438595-0j -0.00154442-0j -0.00279138-0j -0.00162831-0j 0.00495446-0j -0.00156043-0j 0.0071921-0j -0.00222965-0j 0.00726664-0j -0.000919683-0j 0.00353964-0j -0.000455125-0j 0.00292005-0j -0.000919683-0j 0.000932971-0j -0.000657054-0j -0.000242408-0j -4.62856e-05-0j 
-0.0262098-0j -0.00056032-0j 0.0207927-0j 0.0209812-0j -0.0193393-0j -0.0132407-0j 0.00045549-0j 0.0270907-0j -0.000432387-0j 0.0391075-0j 0.0121291-0j -0.0176545-0j 0.0122391-0j 0.0230297-0j 0.000903041-0j 0.0267146-0j -0.0240283-0j -0.0369914-0j 0.0160481-0j -0.0480976-0j -0.00975523-0j 0.00271488-0j 
0.00378305-0j 8.08753e-05-0j -0.00300117-0j -0.00302838-0j 0.00279138-0j 0.00191113-0j -6.57443e-05-0j -0.00391021-0j 6.24096e-05-0j -0.00564469-0j -0.00175068-0j 0.0025482-0j -0.00176656-0j -0.00332405-0j -0.000130343-0j -0.00385592-0j 0.00346819-0j 0.00533924-0j -0.00231635-0j 0.00694229-0j 0.00140805-0j -0.00039186-0j 
0.015289-0j -0.0320475-0j 0.0126128-0j 0.0112601-0j 0.0112812-0j 0.00772373-0j -0.0270907-0j 0.0311227-0j -0.0247303-0j 0.00780377-0j 0.00735747-0j 0.00985259-0j 0.0065684-0j 0.00562776-0j -0.0176682-0j 0.0022761-0j 0.0287054-0j 0.00406399-0j -0.0301455-0j 0.00402067-0j -0.0523541-0j -0.0410988-0j 
-0.00220678-0j 0.00462566-0j -0.0018205-0j -0.00162526-0j -0.00162831-0j -0.00111482-0j 0.00391021-0j -0.00449218-0j 0.00356952-0j -0.00112638-0j -0.00106196-0j -0.0014221-0j -0.000948066-0j -0.000812298-0j 0.00255019-0j -0.000328527-0j -0.00414327-0j -0.000586586-0j 0.00435113-0j -0.000580333-0j 0.00755666-0j 0.0059321-0j 
0.0149676-0j 0.0161669-0j 0.0123476-0j 0.0124756-0j 0.0110441-0j -0.0518441-0j 0.0136663-0j 0.00797203-0j -0.0365314-0j -0.0223708-0j 0.00720279-0j -0.031965-0j 0.00727743-0j -0.0131849-0j 0.008913-0j 0.00222825-0j 0.00735285-0j 0.00450268-0j 0.00234927-0j 0.00321687-0j 0.00118681-0j 0.00022661-0j 
-0.00264592-0j -0.00285792-0j -0.00218277-0j -0.00220539-0j -0.00195233-0j 0.00916482-0j -0.00241589-0j -0.00140927-0j 0.0064579-0j 0.00395464-0j -0.00127329-0j 0.00565066-0j -0.00128648-0j 0.00233078-0j -0.00157561-0j -0.000393902-0j -0.00129981-0j -0.000795969-0j -0.000415296-0j -0.000568668-0j -0.0002098-0j -4.00593e-05-0j 
-0.0174622-0j -0.000373312-0j -0.0144056-0j 0.0139787-0j 0.0250521-0j -0.00882158-0j -0.000315572-0j 0.0180491-0j 0.000560113-0j -0.008913-0j 0.0410805-0j 0.0122314-0j -0.0398632-0j 0.0153435-0j 0.000400164-0j -0.00259962-0j -0.0323676-0j 0.00504518-0j -0.0207887-0j 0.0109619-0j 0.00675862-0j 0.00180879-0j 
0.000220494-0j 0.00023816-0j 0.000181898-0j 0.000183783-0j 0.000162694-0j -0.000763735-0j 0.000201324-0j 0.000117439-0j -0.000538158-0j -0.000329553-0j 0.000106107-0j -0.000470888-0j 0.000107207-0j -0.000194232-0j 0.000131301-0j 3.28252e-05-0j 0.000108318-0j 6.63307e-05-0j 3.4608e-05-0j 4.7389e-05-0j 1.74833e-05-0j 3.33828e-06-0j 
-0.0106934-0j -0.0115502-0j 0.0257881-0j -0.008913-0j -0.00789026-0j -0.00540209-0j 0.0285422-0j -0.00569549-0j -0.008913-0j -0.0046368-0j 0.015043-0j 0.0227984-0j -0.00519925-0j -0.00321687-0j -0.0054096-0j -0.0501198-0j 0.0153564-0j -0.0396269-0j -0.0016784-0j -0.00195243-0j 0.00247865-0j -0.000161898-0j 
0.00308691-0j 6.59929e-05-0j 0.00254657-0j -0.00247111-0j -0.00442862-0j 0.00155945-0j 5.57858e-05-0j -0.00319067-0j -9.9015e-05-0j 0.00157561-0j -0.00726207-0j -0.00216222-0j 0.00704688-0j -0.00271237-0j -7.07397e-05-0j 0.000459553-0j 0.00572185-0j -0.000891871-0j 0.00367496-0j -0.00193781-0j -0.00119477-0j -0.000319751-0j 
0.0152794-0j -0.0158504-0j -0.0121214-0j -0.0127255-0j 0.0112741-0j 0.00771888-0j 0.0128849-0j 0.0071908-0j -0.0122314-0j -0.0227984-0j -0.00707084-0j 0.0107078-0j -0.00742322-0j 0.0215484-0j 0.0255452-0j -0.0155737-0j -0.00637793-0j 0.022436-0j 0.0249751-0j -0.0450039-0j -0.0210431-0j 0.00905009-0j 
0.00189034-0j 0.0020418-0j -0.00455873-0j 0.00157561-0j 0.00139481-0j 0.000954964-0j -0.00504559-0j 0.00100683-0j 0.00157561-0j 0.000819678-0j -0.00265926-0j -0.00403023-0j 0.000919106-0j 0.000568668-0j 0.000956291-0j 0.00886002-0j -0.00271466-0j 0.00700512-0j 0.000296702-0j 0.000345144-0j -0.000438168-0j 2.86198e-05-0j 
-0.000257242-0j -5.49941e-06-0j -0.000212214-0j 0.000205926-0j 0.000369052-0j -0.000129954-0j -4.64882e-06-0j 0.000265889-0j 8.25125e-06-0j -0.000131301-0j 0.000605173-0j 0.000180185-0j -0.00058724-0j 0.000226031-0j 5.89498e-06-0j -3.82961e-05-0j -0.00047682-0j 7.43226e-05-0j -0.000306247-0j 0.000161484-0j 9.95638e-05-0j 2.66459e-05-0j 
