-0.00716035-0j -0.00508356-0j -0.000733749-0j -0.00291661-0j -0.00294684-0j -0.000515589-0j -4.29658e-05-0j -0.000520932-0j -4.3411e-05-0j -0.00204944-0j -0.00253605-0j -0.000341573-0j -0.00147936-0j -0.00020917-0j -4.26966e-05-0j -0.000422675-0j -0.000258835-0j -2.51592e-06-0j -0.000246561-0j -5.28344e-05-0j -0.000150987-0j -3.1133e-06-0j -3.08201e-05-0j -1.81609e-06-0j -0.00157755-0j -0.00184047-0j -0.000254575-0j -0.00112705-0j -0.00161041-0j -0.00020786-0j -0.000664261-0j -0.000297004-0j -3.0002e-05-0j -2.59825e-05-0j -0.000181877-0j -0.000242503-0j -3.06206e-06-0j -0.000259879-0j -0.000148502-0j -3.50023e-05-0j -1.39763e-07-0j -0.000107195-0j -2.14345e-05-0j -3.03129e-05-0j -0.00021219-0j -1.85628e-05-0j -3.57241e-06-0j -3.0627e-05-0j -8.7524e-05-0j -2.65238e-05-0j -2.18764e-06-0j -1.63057e-07-0j -1.2633e-05-0j -3.12586e-06-0j -9.98519e-08-0j -1.09405e-05-0j -1.42675e-07-0j -1.28935e-06-0j -5.88505e-08-0j 
-0.052263-0j 0.000784411-0j -0.0108244-0j 0.000450043-0j 0.000454707-0j -0.00376325-0j -0.000954073-0j -0.00380225-0j -0.00096396-0j 0.000316235-0j 0.000391321-0j -0.00249312-0j 0.000228271-0j 3.22756e-05-0j -0.000629869-0j -0.00308508-0j 3.9939e-05-0j -7.4619e-05-0j -0.00179963-0j -0.000779423-0j 2.32978e-05-0j -9.23362e-05-0j -0.000454663-0j -5.38628e-05-0j 0.00024342-0j 0.000283991-0j -0.00185813-0j 0.000173908-0j 0.000248492-0j 3.20735e-05-0j 0.000102498-0j -0.00216782-0j -0.000442595-0j -0.000189645-0j -0.00132751-0j 3.7419e-05-0j -6.79945e-05-0j -0.00189684-0j 2.29144e-05-0j -0.000516361-0j -5.18689e-06-0j -0.000782407-0j -0.000316205-0j -0.000221252-0j 3.27417e-05-0j -0.000135489-0j -7.93269e-05-0j -0.000451815-0j 1.35052e-05-0j -0.000193595-0j -4.85776e-05-0j -6.05137e-06-0j -0.000186364-0j -6.9411e-05-0j -3.70569e-06-0j -7.98541e-05-0j -5.29495e-06-0j -2.86306e-05-0j -2.18406e-06-0j 
0.000843856-0j -0.0576421-0j 8.64731e-05-0j 0.000343726-0j 0.000347288-0j -0.00584623-0j 5.06356e-06-0j -0.00590681-0j 5.11604e-06-0j 0.000241529-0j 0.000298876-0j 4.02548e-05-0j 0.000174345-0j -0.00476818-0j -0.000484134-0j 4.98127e-05-0j -0.00590032-0j 2.96504e-07-0j 2.90574e-05-0j -0.000599085-0j -0.00344185-0j 3.66906e-07-0j -0.000349466-0j 2.14028e-07-0j 0.000185915-0j 0.000216901-0j 3.0002e-05-0j 0.000132824-0j 0.000189789-0j -0.00235691-0j 7.82839e-05-0j 3.50023e-05-0j 3.53577e-06-0j -0.000592289-0j 2.14345e-05-0j -0.00274973-0j -3.47205e-05-0j 3.0627e-05-0j -0.00168386-0j 4.12506e-06-0j 1.64713e-08-0j 1.2633e-05-0j 2.52607e-06-0j -0.000691004-0j -0.00240601-0j -0.000423152-0j -4.05073e-05-0j 3.60943e-06-0j -0.000992428-0j -0.000604628-0j -2.48055e-05-0j 1.92165e-08-0j 1.48881e-06-0j -3.54439e-05-0j 1.17677e-08-0j -0.000249396-0j 1.68144e-08-0j -1.46198e-05-0j 6.9356e-09-0j 
0.0116447-0j -8.64731e-05-0j -0.0558422-0j -4.96126e-05-0j -5.01267e-05-0j 0.00083849-0j -0.0100201-0j 0.000847179-0j -0.010124-0j -3.48617e-05-0j -4.31391e-05-0j 0.000555492-0j -2.51645e-05-0j -3.55805e-06-0j -0.00324944-0j 0.000687386-0j -4.40287e-06-0j -0.00118171-0j 0.000400975-0j -0.00402098-0j -2.56834e-06-0j -0.00146229-0j -0.00234557-0j -0.000853005-0j -2.68346e-05-0j -3.1307e-05-0j 0.000414009-0j -1.91716e-05-0j -2.73936e-05-0j -3.53577e-06-0j -1.12993e-05-0j 0.000483011-0j -0.00228331-0j 4.22547e-05-0j 0.000295783-0j -4.12506e-06-0j -0.00071411-0j 0.000422635-0j -2.52607e-06-0j -0.00266386-0j -0.000109791-0j 0.000174328-0j -0.00163128-0j 4.92971e-05-0j -3.60943e-06-0j 3.01882e-05-0j -0.000833128-0j -0.00233088-0j -1.48881e-06-0j 4.3135e-05-0j -0.000510185-0j -0.00012809-0j -0.000961439-0j -0.000728987-0j -7.84386e-05-0j 1.77923e-05-0j -0.000112078-0j -0.000300692-0j -4.623e-05-0j 
0.000754767-0j 0.000535854-0j 7.73439e-05-0j -0.044806-0j -0.0452703-0j 5.43479e-05-0j 4.52899e-06-0j 5.49111e-05-0j 4.57592e-06-0j 0.00021603-0j 0.000267323-0j -0.00524737-0j 0.000155939-0j 2.20484e-05-0j 4.50062e-06-0j -0.00649329-0j 2.72836e-05-0j 2.65202e-07-0j -0.00378775-0j 5.56923e-06-0j 1.59154e-05-0j 3.2817e-07-0j 3.24872e-06-0j 1.91433e-07-0j -0.0410165-0j -0.0478526-0j 2.68346e-05-0j -0.0293036-0j -0.041871-0j -0.00319322-0j -0.0172709-0j 3.1307e-05-0j -0.000460901-0j 2.73879e-06-0j 1.91716e-05-0j -0.00372542-0j 3.2277e-07-0j 2.73936e-05-0j -0.00228134-0j -0.000537718-0j 1.47324e-08-0j 1.12993e-05-0j -0.000329284-0j 3.19526e-06-0j -0.00325974-0j 1.95669e-06-0j 3.76565e-07-0j -0.000470503-0j -0.00134457-0j 2.79585e-06-0j 2.30598e-07-0j 1.71878e-08-0j -0.000194073-0j 3.29494e-07-0j 1.05253e-08-0j 1.15323e-06-0j 1.50393e-08-0j 1.35909e-07-0j 6.20339e-09-0j 
0.000516754-0j 0.000366874-0j 5.29538e-05-0j 0.000210488-0j 0.00021267-0j 3.72094e-05-0j 3.10079e-06-0j 3.7595e-05-0j 3.13292e-06-0j -0.0580933-0j -0.0718868-0j 2.46509e-05-0j -0.041934-0j 1.50955e-05-0j 3.08136e-06-0j 3.0504e-05-0j 1.86798e-05-0j 1.81571e-07-0j 1.7794e-05-0j 3.81299e-06-0j 1.08965e-05-0j 2.24683e-07-0j 2.22425e-06-0j 1.31065e-07-0j 0.00011385-0j 0.000132824-0j -0.00721618-0j 8.1338e-05-0j 0.000116221-0j 1.5001e-05-0j 4.79389e-05-0j -0.00841888-0j 2.16521e-06-0j 1.87512e-06-0j -0.00515549-0j 1.75012e-05-0j 2.20985e-07-0j -0.00736652-0j 1.07172e-05-0j 2.52607e-06-0j 1.00866e-08-0j -0.00303853-0j 1.5469e-06-0j 2.18764e-06-0j 1.53135e-05-0j 1.33965e-06-0j 2.57816e-07-0j 2.21031e-06-0j 6.3165e-06-0j 1.91419e-06-0j 1.5788e-07-0j 1.17677e-08-0j 9.11708e-07-0j 2.25589e-07-0j 7.20619e-09-0j 7.89563e-07-0j 1.02967e-08-0j 9.30508e-08-0j 4.24717e-09-0j 
0.00631136-0j 0.00911402-0j 0.00130717-0j -5.43479e-05-0j -5.49111e-05-0j -0.043725-0j 0.000115215-0j -0.0441782-0j 0.000116409-0j -3.8189e-05-0j -4.72565e-05-0j 0.000301073-0j -2.75663e-05-0j 0.000753915-0j -0.00731841-0j 0.000372559-0j 0.000932922-0j 9.01109e-06-0j 0.000217326-0j -0.00905607-0j 0.000544205-0j 1.11507e-05-0j -0.00528271-0j 6.50455e-06-0j 0.00725076-0j 0.00845922-0j 0.00022439-0j 0.00518019-0j 0.00740182-0j 0.00037266-0j 0.00305309-0j 0.000261789-0j 5.34484e-05-0j -0.00442984-0j 0.000160312-0j 0.00043477-0j -0.000790024-0j 0.000229065-0j 0.000266241-0j 6.23565e-05-0j 6.26377e-07-0j 9.44846e-05-0j 3.81854e-05-0j -0.00516815-0j 0.000380424-0j -0.00316483-0j -0.000921694-0j 5.45619e-05-0j 0.000156917-0j -0.00452213-0j -0.00056442-0j 7.30773e-07-0j 2.25056e-05-0j -0.000806482-0j 4.47505e-07-0j -0.00186528-0j 6.39426e-07-0j -0.000332657-0j 2.6375e-07-0j 
-0.00160008-0j 7.89388e-06-0j 0.0156209-0j 4.52899e-06-0j 4.57592e-06-0j -0.000115215-0j -0.0423405-0j -0.000116409-0j -0.0427792-0j 3.18242e-06-0j 3.93804e-06-0j -7.63291e-05-0j 2.29719e-06-0j 3.24804e-07-0j 0.000908978-0j -9.44524e-05-0j 4.01925e-07-0j -0.0102409-0j -5.50972e-05-0j 0.0011248-0j 2.34456e-07-0j -0.0126724-0j 0.000656135-0j -0.00739224-0j -0.00060423-0j -0.000704935-0j -5.68882e-05-0j -0.000431683-0j -0.000616818-0j 3.2277e-07-0j -0.000254424-0j -6.63696e-05-0j 0.000638719-0j -5.80613e-06-0j -4.06429e-05-0j 3.76565e-07-0j -0.0030175-0j -5.80734e-05-0j 2.30598e-07-0j 0.000745172-0j -0.00143727-0j -2.39541e-05-0j 0.000456323-0j -6.77382e-06-0j 3.29494e-07-0j -4.1481e-06-0j -0.00352042-0j 0.000652026-0j 1.35909e-07-0j -5.92709e-06-0j -0.00215581-0j -0.00167682-0j 0.000268947-0j -0.00308037-0j -0.00102684-0j -2.4448e-06-0j -0.00146722-0j -0.00127059-0j -0.000605196-0j 
0.00576145-0j -8.64731e-05-0j 0.00119328-0j 0.00723054-0j 0.00730547-0j 0.00041486-0j 0.000105177-0j 0.000419159-0j 0.000106267-0j 0.00682893-0j 0.00845037-0j -0.0400553-0j 0.00492938-0j -3.55805e-06-0j 6.94365e-05-0j -0.0495659-0j -4.40287e-06-0j 8.22597e-06-0j -0.0289135-0j 8.59233e-05-0j -2.56834e-06-0j 1.01791e-05-0j 5.01219e-05-0j 5.93782e-06-0j -2.68346e-05-0j -3.1307e-05-0j -0.0401253-0j -1.91716e-05-0j -2.73936e-05-0j 0.000515303-0j -1.12993e-05-0j -0.0468129-0j -0.00711088-0j 2.09063e-05-0j -0.0286669-0j 0.000601187-0j 7.49568e-06-0j -0.0409613-0j 0.00036815-0j -0.00829602-0j 5.71801e-07-0j -0.0168957-0j -0.00508025-0j 2.43907e-05-0j 0.000526039-0j 1.49362e-05-0j 8.74496e-06-0j -0.00725902-0j 0.00021698-0j 2.13419e-05-0j 5.35518e-06-0j 6.67101e-07-0j -0.00299419-0j 7.65184e-06-0j 4.08514e-07-0j 8.80308e-06-0j 5.83713e-07-0j 3.15622e-06-0j 2.4077e-07-0j 
-7.4587e-05-0j 0.0102427-0j -7.64322e-06-0j -3.03814e-05-0j -3.06962e-05-0j 0.00103885-0j -4.4756e-07-0j 0.00104961-0j -4.52198e-07-0j 0.00418185-0j 0.00517478-0j -3.55805e-06-0j 0.00301862-0j -0.0403377-0j 8.60284e-05-0j -4.40287e-06-0j -0.0499153-0j -2.62075e-08-0j -2.56834e-06-0j 0.000106455-0j -0.0291173-0j -3.24302e-08-0j 6.20986e-05-0j -1.89176e-08-0j -1.64328e-05-0j -1.91716e-05-0j 0.000519457-0j -1.17401e-05-0j -1.67751e-05-0j 0.000418811-0j -6.91938e-06-0j 0.000606033-0j -3.12521e-07-0j -0.00501063-0j 0.000371118-0j 0.000488613-0j 6.16968e-06-0j 0.000530279-0j 0.000299213-0j -3.64607e-07-0j -1.45587e-09-0j 0.000218729-0j -2.23276e-07-0j -0.00584573-0j 0.000427537-0j -0.00357977-0j 7.19796e-06-0j -3.19031e-07-0j 0.00017635-0j -0.00511502-0j 4.40783e-06-0j -1.69851e-09-0j -1.31594e-07-0j 6.29821e-06-0j -1.04012e-09-0j -0.00210984-0j -1.4862e-09-0j 2.59788e-06-0j -6.13026e-10-0j 
-7.03213e-05-0j 0.00480351-0j -7.20609e-06-0j 0.00837775-0j 0.00846457-0j 0.000487186-0j -4.21964e-07-0j 0.000492234-0j -4.26336e-07-0j -2.01274e-05-0j -2.49064e-05-0j 0.000981144-0j -1.45287e-05-0j 0.000397348-0j 4.03445e-05-0j 0.0012141-0j 0.000491693-0j -2.47087e-08-0j 0.000708227-0j 4.99238e-05-0j 0.000286821-0j -3.05755e-08-0j 2.91222e-05-0j -1.78357e-08-0j -1.5493e-05-0j -1.80751e-05-0j -2.50017e-06-0j -1.10687e-05-0j -1.58157e-05-0j -0.0574457-0j -6.52365e-06-0j -2.91686e-06-0j 8.61785e-05-0j 4.93574e-05-0j -1.7862e-06-0j -0.06702-0j 2.89338e-06-0j -2.55225e-06-0j -0.0410412-0j 0.000100542-0j -1.37261e-09-0j -1.05275e-06-0j 6.15689e-05-0j 5.75836e-05-0j -0.0586425-0j 3.52626e-05-0j 3.37561e-06-0j 8.79739e-05-0j -0.0241888-0j 5.03857e-05-0j 2.06713e-06-0j -1.60137e-09-0j 3.62874e-05-0j 2.95366e-06-0j -9.80638e-10-0j 2.0783e-05-0j -1.4012e-09-0j 1.21832e-06-0j -5.77967e-10-0j 
