-0.178919-0j -0.221401-0j -0.129151-0j -0.0222248-0j -0.025929-0j -0.0158782-0j -0.0226879-0j -0.00935826-0j -0.0139682-0j -0.00201613-0j -0.0157787-0j -0.00227746-0j -0.0128833-0j -0.00185954-0j -0.0130168-0j -0.0112729-0j -0.00187881-0j -0.0016271-0j -0.00929965-0j -0.00134229-0j -0.00297128-0j -0.000428868-0j -0.0103461-0j -0.00182894-0j -0.000152412-0j -0.011451-0j -0.00202427-0j -0.0090528-0j -0.000168689-0j -0.0060352-0j -0.00914661-0j -0.00160032-0j -0.00106688-0j -0.0105616-0j -0.00013336-0j -0.00161691-0j -0.00373409-0j -8.89069e-05-0j -0.00616093-0j -0.000134742-0j -0.00653466-0j -0.00186704-0j -0.0006601-0j -0.000155587-0j -0.00108911-0j -0.00381188-0j -5.50083e-05-0j -0.00115517-0j -9.07591e-05-0j -0.000994423-0j -0.000673852-0j -9.62646e-05-0j -0.000175791-0j -5.61543e-05-0j -1.46492e-05-0j 
0.190552-0j 0.00335628-0j -0.269222-0j 0.0236698-0j 0.000393064-0j 0.0169105-0j -0.0234751-0j -0.0293326-0j 0.0148763-0j 0.00214721-0j 0.000239194-0j 3.45247e-05-0j 0.0137209-0j 0.00198044-0j -0.0134684-0j 0.000170888-0j -0.001944-0j 2.46656e-05-0j -0.0193856-0j -0.00279807-0j -0.0124326-0j -0.0017945-0j 0.0110187-0j 0.00194785-0j 0.000162321-0j 0.000173588-0j 3.06864e-05-0j 0.00964138-0j 2.5572e-06-0j 0.00642758-0j -0.00946398-0j 0.00170437-0j 0.00113625-0j 0.000160106-0j 0.000142031-0j -0.00167301-0j 0.00397686-0j 9.46873e-05-0j -0.0128428-0j -0.000139418-0j -0.00676139-0j 2.8303e-05-0j 0.000703017-0j 2.35858e-06-0j -0.00227031-0j -0.011948-0j 5.85848e-05-0j -0.00119526-0j -0.000189192-0j -0.00520494-0j -0.00211213-0j -9.96047e-05-0j -0.000920111-0j -0.000176011-0j -7.66759e-05-0j 
0.142914-0j -0.17401-0j 0.103161-0j 0.0177524-0j 0.0207111-0j -0.0376418-0j -0.0178315-0j 0.00747503-0j 0.0111573-0j 0.00161041-0j 0.0126035-0j 0.00181915-0j -0.0101256-0j -0.00146151-0j 0.0103973-0j -0.0267242-0j 0.00150072-0j -0.0038573-0j -0.00730905-0j -0.00105497-0j 0.00237335-0j 0.000342563-0j 0.00826404-0j 0.00146089-0j 0.000121741-0j 0.00914661-0j 0.00161691-0j -0.00711504-0j 0.000134742-0j 0.00482069-0j 0.00730597-0j -0.00125777-0j 0.000852185-0j -0.00830088-0j -0.000104814-0j 0.00129152-0j -0.0147697-0j 7.10154e-05-0j 0.00492112-0j 0.000107627-0j -0.0154914-0j -0.0014674-0j -0.00261094-0j -0.000122283-0j 0.000869939-0j -0.00299595-0j -0.000217578-0j -0.00273853-0j 7.24949e-05-0j 0.000794308-0j -0.000529613-0j -0.000228211-0j 0.000140415-0j -4.41344e-05-0j 1.17013e-05-0j 
-0.144395-0j 0.173593-0j -0.095455-0j -0.0179363-0j 0.02033-0j -0.0128143-0j 0.0183026-0j -0.0360608-0j -0.0112729-0j -0.0016271-0j 0.0123716-0j 0.00178568-0j -0.0103973-0j -0.00150072-0j 0.0105008-0j 0.00883867-0j 0.00151566-0j 0.00127575-0j -0.00687334-0j -0.000992081-0j -0.0253631-0j -0.00366085-0j -0.00834968-0j -0.00147603-0j -0.000123002-0j 0.00897832-0j 0.00158716-0j -0.00730597-0j 0.000132263-0j -0.00487064-0j 0.00737869-0j -0.00129152-0j -0.000861017-0j 0.00828098-0j -0.000107627-0j 0.00130438-0j -0.00301356-0j -7.17514e-05-0j -0.00455353-0j 0.000108698-0j 0.00527159-0j 0.00146388-0j -0.000532727-0j 0.00012199-0j -0.000804957-0j -0.0146886-0j -4.43939e-05-0j 0.000931894-0j -6.70798e-05-0j -0.0147048-0j -0.0025966-0j 7.76578e-05-0j -0.00259947-0j -0.000216383-0j -0.000216622-0j 
-0.248829-0j 0.154365-0j 0.0900461-0j 0.0154955-0j -0.0360603-0j 0.0110705-0j 0.0158184-0j 0.00652474-0j 0.00973885-0j 0.00140568-0j 0.0110012-0j 0.00158789-0j -0.0179172-0j -0.00258613-0j -0.0181029-0j 0.00785964-0j -0.00261293-0j 0.00113444-0j 0.00648387-0j 0.000935866-0j 0.00207163-0j 0.000299014-0j 0.00721344-0j 0.00127517-0j 0.000106264-0j 0.00798382-0j 0.00141135-0j 0.00631176-0j 0.000117613-0j -0.0209946-0j 0.00637717-0j 0.00111577-0j -0.00371135-0j -0.0146884-0j 9.2981e-05-0j 0.00112734-0j 0.00260347-0j -0.000309279-0j -0.00856822-0j 9.39446e-05-0j 0.00455607-0j -0.00259656-0j 0.000460233-0j -0.00021638-0j -0.00151466-0j 0.00265771-0j 3.83527e-05-0j 0.000805407-0j -0.000126222-0j 0.000693329-0j 0.000469821-0j 6.71173e-05-0j 0.000122564-0j 3.91517e-05-0j 1.02137e-05-0j 
-0.154365-0j 0.00267528-0j 0.218095-0j -0.0191747-0j -0.000318418-0j 0.0406578-0j -0.0187119-0j 0.0237622-0j -0.0120512-0j -0.00173944-0j -0.000193769-0j -2.79682e-05-0j 0.0109369-0j 0.00157861-0j 0.0109107-0j 0.000410865-0j 0.00157482-0j 5.93032e-05-0j -0.0154522-0j -0.00223034-0j 0.0100716-0j 0.00145371-0j -0.00892618-0j -0.00157794-0j -0.000131495-0j -0.000140623-0j -2.48588e-05-0j 0.00768512-0j -2.07157e-06-0j -0.00520694-0j 0.0076667-0j 0.00135855-0j -0.000920465-0j 0.00012762-0j 0.000113213-0j 0.00135529-0j 0.0159531-0j -7.67054e-05-0j 0.0104039-0j 0.000112941-0j -0.0162563-0j 2.25603e-05-0j 0.00282014-0j 1.88002e-06-0j 0.00183916-0j -0.00952373-0j 0.000235011-0j -0.00287374-0j 0.000153263-0j 0.00421648-0j -0.00168357-0j -0.000239478-0j 0.000745375-0j -0.000140298-0j 6.21146e-05-0j 
0.116689-0j 0.144395-0j 0.0842304-0j -0.0437465-0j 0.0169105-0j 0.0103555-0j 0.0147967-0j 0.00610333-0j 0.00910986-0j 0.00131489-0j -0.0310582-0j -0.00448287-0j 0.0084023-0j 0.00121277-0j 0.00848938-0j 0.00735202-0j 0.00122534-0j 0.00106117-0j 0.0060651-0j 0.000875422-0j 0.00193783-0j 0.000279702-0j -0.0344352-0j -0.00608734-0j -0.000507279-0j 0.00746818-0j 0.0013202-0j -0.0178192-0j 0.000110017-0j 0.00393608-0j -0.0180038-0j -0.00315001-0j 0.000695806-0j 0.00688813-0j -0.000262501-0j -0.00318266-0j 0.00243532-0j 5.79839e-05-0j 0.00401808-0j -0.000265221-0j 0.00426181-0j 0.00121766-0j 0.000430508-0j 0.000101472-0j 0.000710302-0j 0.00248606-0j 3.58757e-05-0j 0.000753389-0j 5.91919e-05-0j 0.000648549-0j 0.000439477-0j 6.27825e-05-0j 0.000114648-0j 3.66231e-05-0j 9.55404e-06-0j 
0.0900461-0j -0.218095-0j 0.251669-0j 0.0111853-0j -0.0255417-0j 0.00799114-0j 0.010457-0j 0.00548024-0j 0.00702987-0j 0.00101467-0j -0.0155431-0j -0.00224345-0j 0.00648387-0j 0.000935866-0j 0.00599954-0j -0.0111045-0j 0.00086596-0j -0.0016028-0j 0.0181217-0j 0.00261565-0j -0.019375-0j -0.00279655-0j 0.00520694-0j 0.000920465-0j 7.67054e-05-0j -0.01128-0j -0.00199403-0j 0.00455607-0j -0.00016617-0j 0.00303738-0j 0.00421575-0j 0.000805407-0j 0.000536938-0j -0.0104039-0j 6.71173e-05-0j 0.000745246-0j 0.00187928-0j 4.47448e-05-0j 0.0120055-0j 6.21038e-05-0j 0.00301188-0j -0.00183916-0j 0.000332214-0j -0.000153263-0j 0.00212229-0j 0.00223226-0j 2.76845e-05-0j 0.000532429-0j 0.000176857-0j -0.0221389-0j 0.000394611-0j 4.43691e-05-0j -0.00391364-0j 3.28842e-05-0j -0.000326136-0j 
0.0808444-0j 0.10004-0j 0.0583565-0j 0.0100422-0j 0.011716-0j 0.00717453-0j 0.0102515-0j 0.00422851-0j -0.0574886-0j -0.00829776-0j 0.00712959-0j 0.00102907-0j 0.00582129-0j 0.00084023-0j 0.00588161-0j 0.00509363-0j 0.000848938-0j 0.000735202-0j 0.00420203-0j 0.00060651-0j 0.00134257-0j 0.000193783-0j 0.00467485-0j 0.000826404-0j 6.8867e-05-0j -0.0471286-0j -0.00833124-0j 0.00409049-0j -0.00069427-0j 0.00272699-0j 0.00413288-0j 0.000723103-0j 0.000482069-0j 0.00477224-0j 6.02586e-05-0j 0.000730597-0j 0.00168724-0j 4.01724e-05-0j 0.00278381-0j 6.08831e-05-0j 0.00295267-0j 0.00084362-0j 0.000298265-0j 7.03017e-05-0j 0.000492112-0j 0.00172239-0j 2.48554e-05-0j 0.000521964-0j 4.10093e-05-0j 0.000449328-0j 0.000304479-0j 4.3497e-05-0j 7.94308e-05-0j 2.53732e-05-0j 6.61923e-06-0j 
0.271552-0j -0.00239784-0j 0.192341-0j -0.0169105-0j 0.000560147-0j -0.0120815-0j 0.0167714-0j 0.0209563-0j -0.0106282-0j -0.00153404-0j -0.000170888-0j -2.46656e-05-0j 0.0195534-0j 0.00282229-0j -0.0191936-0j -0.000122089-0j -0.00277036-0j -1.7622e-05-0j 0.0138498-0j 0.00199904-0j 0.00888231-0j 0.00128205-0j 0.0401744-0j 0.0071019-0j 0.000591825-0j -0.000124018-0j -2.19234e-05-0j -0.00688813-0j -1.82695e-06-0j 0.0229117-0j 0.00676139-0j -0.00121766-0j 0.00405026-0j 0.000228164-0j -0.000101472-0j 0.00119526-0j -0.00284121-0j 0.000337522-0j -0.018302-0j 9.96047e-05-0j 0.00483057-0j 4.0334e-05-0j -0.00050226-0j 3.36117e-06-0j -0.00323537-0j 0.00853607-0j -4.1855e-05-0j 0.000853933-0j -0.000269614-0j 0.00371859-0j 0.00150898-0j 7.1161e-05-0j 0.000657359-0j 0.000125748-0j 5.47799e-05-0j 
-0.0833665-0j 0.306173-0j -0.0601771-0j -0.0103555-0j -0.0120815-0j -0.00692745-0j 0.0313747-0j -0.00436043-0j -0.0065084-0j -0.000939406-0j -0.00735202-0j -0.00106117-0j 0.0178161-0j 0.00257153-0j -0.0060651-0j -0.00491821-0j -0.000875422-0j -0.000709883-0j 0.0128603-0j 0.00185623-0j -0.00138445-0j -0.000199829-0j 0.0246017-0j 0.00434901-0j 0.000362417-0j -0.00533552-0j -0.000943196-0j 0.012519-0j -7.85997e-05-0j -0.00281207-0j -0.00426181-0j 0.00221306-0j -0.000497108-0j 0.0146055-0j 0.000184422-0j -0.000753389-0j -0.0221187-0j -4.14257e-05-0j -0.00287065-0j -6.27825e-05-0j -0.00285099-0j 0.00258191-0j -0.00391008-0j 0.000215159-0j -0.000507465-0j 0.0052714-0j -0.00032584-0j -0.000503988-0j -4.22887e-05-0j -0.000463346-0j 0.00093186-0j -4.1999e-05-0j -8.19088e-05-0j 7.7655e-05-0j -6.82573e-06-0j 
