-0.0092994-0j 0.0705775-0j -0.0012253-0j 0.0168121-0j 0.00720328-0j 0.00258285-0j 0.000197033-0j -0.00857174-0j 0.0637405-0j -0.00107147-0j -0.000714312-0j 0.0147014-0j 0.00839855-0j -6.31368e-05-0j 0.0021294-0j 0.00150045-0j 0.000251391-0j 1.40777e-05-0j 
0.00663964-0j 0.00107147-0j -0.0832163-0j 0.000126274-0j -0.0209134-0j -0.00122589-0j 5.88243e-07-0j 0.000121132-0j 1.91526e-05-0j -0.00144027-0j 1.00943e-05-0j 2.18549e-06-0j -0.000240045-0j -0.000256391-0j 2.10299e-07-0j -4.26574e-05-0j -1.7681e-06-0j 6.92732e-10-0j 
-0.00095835-0j 0.0147014-0j -0.000126274-0j -0.0806078-0j 0.00150045-0j -0.0252133-0j -0.00387667-0j -1.74839e-05-0j 0.000262789-0j -2.18549e-06-0j -1.45699e-06-0j -0.00139512-0j 3.46255e-05-0j -1.28781e-07-0j -0.000411424-0j -0.000142389-0j -7.32429e-05-0j -6.86228e-06-0j 
0.00383099-0j 0.000618224-0j -0.0723203-0j -0.0104385-0j 6.30972e-05-0j 7.43607e-06-0j 3.39409e-07-0j 0.00353122-0j 0.000558335-0j 0.000441403-0j -0.084615-0j 6.3711e-05-0j -0.0105401-0j 2.60099e-05-0j -0.000878341-0j 6.50248e-06-0j 5.41873e-07-0j 2.01944e-08-0j 
-0.00387069-0j -0.00062463-0j 0.0730698-0j 0.0105467-0j -6.37511e-05-0j -7.51313e-06-0j -3.42926e-07-0j 0.00342658-0j 0.000541791-0j 0.000428323-0j -0.0821076-0j 6.18231e-05-0j -0.0102278-0j 2.52392e-05-0j -0.000852314-0j 6.3098e-06-0j 5.25816e-07-0j 1.9596e-08-0j 
-0.00067723-0j 0.00513981-0j 0.0084879-0j 0.00122434-0j -0.100321-0j -0.0178918-0j 1.43489e-05-0j -0.000624238-0j 0.00464191-0j 0.00742224-0j -5.20198e-05-0j 0.00107063-0j -0.0581782-0j 0.00132128-0j 0.000155074-0j -0.0208971-0j -0.00174143-0j 1.02521e-06-0j 
5.64358e-05-0j -0.00130317-0j 7.43607e-06-0j 0.0145478-0j -0.000133004-0j -0.0683236-0j -0.0325515-0j 5.20198e-05-0j -0.00117693-0j 6.50248e-06-0j 4.33499e-06-0j 0.0127213-0j -0.000155074-0j 3.83162e-07-0j -0.0563287-0j 0.00129836-0j -0.020569-0j -0.00389397-0j 
0.000684248-0j -0.00519307-0j -0.00857586-0j -0.00123703-0j 0.101361-0j 0.0180772-0j -1.44976e-05-0j -0.00060574-0j 0.00450436-0j 0.00720231-0j -5.04784e-05-0j 0.0010389-0j -0.0564543-0j 0.00128212-0j 0.000150479-0j -0.0202778-0j -0.00168983-0j 9.94829e-07-0j 
-5.70207e-05-0j 0.00131667-0j -7.51313e-06-0j -0.0146985-0j 0.000134382-0j 0.0690317-0j 0.0328888-0j 5.04784e-05-0j -0.00114205-0j 6.3098e-06-0j 4.20653e-06-0j 0.0123444-0j -0.000150479-0j 3.71808e-07-0j -0.0546596-0j 0.00125989-0j -0.0199595-0j -0.00377858-0j 
0.00270722-0j -0.0836543-0j 0.000356707-0j 5.14863e-05-0j 4.45884e-05-0j 5.2548e-06-0j 2.39848e-07-0j 0.00249538-0j 0.000394555-0j -0.059728-0j 0.000207949-0j -0.00862099-0j 5.19871e-05-0j 1.83802e-05-0j 4.33226e-06-0j 4.59506e-06-0j 3.82922e-07-0j 1.42706e-08-0j 
-0.00335001-0j 0.103517-0j -0.000441403-0j -6.3711e-05-0j -5.51754e-05-0j -6.50248e-06-0j -2.96796e-07-0j -6.11168e-05-0j -9.66341e-06-0j 0.00146285-0j -5.09306e-06-0j 0.000211145-0j -1.27327e-06-0j -4.50167e-07-0j -1.06105e-07-0j -1.12542e-07-0j -9.37849e-09-0j -3.49516e-10-0j 
-0.000451203-0j 0.00342439-0j 0.00851768-0j -0.116869-0j 0.0003495-0j 0.000125319-0j 9.55996e-06-0j -0.000415897-0j 0.00309266-0j -5.19871e-05-0j 0.00996571-0j 0.000713304-0j -0.0583824-0j -3.06337e-06-0j -0.0148025-0j 7.28013e-05-0j 1.21974e-05-0j 6.83043e-07-0j 
0.00195417-0j -0.0603849-0j 0.000257485-0j 3.71648e-05-0j 3.21856e-05-0j 3.79311e-06-0j 1.73131e-07-0j -0.00349557-0j -0.000552698-0j 0.0836679-0j -0.000291298-0j 0.0120764-0j -7.28244e-05-0j -2.57473e-05-0j -6.0687e-06-0j -6.43683e-06-0j -5.36402e-07-0j -1.99905e-08-0j 
-0.000276304-0j -4.45884e-05-0j 0.00696239-0j -5.2548e-06-0j -0.082346-0j 0.000102566-0j -2.44793e-08-0j -0.000254684-0j -4.02691e-05-0j 0.00608827-0j -2.12237e-05-0j -4.59506e-06-0j 0.00101471-0j -0.102912-0j -4.4216e-07-0j -0.00848617-0j 7.47405e-06-0j -1.45649e-09-0j 
0.000558335-0j -0.00423746-0j -0.0105401-0j 0.144618-0j -0.000432484-0j -0.000155074-0j -1.18298e-05-0j 1.01861e-05-0j -7.57453e-05-0j 1.27327e-06-0j -0.000244079-0j -1.74702e-05-0j 0.0014299-0j 7.50279e-08-0j 0.000362542-0j -1.78304e-06-0j -2.98737e-07-0j -1.6729e-08-0j 
5.64004e-05-0j -0.000865199-0j -0.00070688-0j 0.0047439-0j 0.0168874-0j -0.141144-0j 0.000228148-0j 5.19871e-05-0j -0.000781386-0j -0.000618132-0j 4.33226e-06-0j 0.0041483-0j 0.0097933-0j -0.000110037-0j 0.00122334-0j -0.0809686-0j -0.0207157-0j 2.04045e-05-0j 
0.000341909-0j 5.51754e-05-0j -0.00861552-0j 6.50248e-06-0j 0.101898-0j -0.000126919-0j 3.02916e-08-0j 6.2377e-06-0j 9.86268e-07-0j -0.000149113-0j 5.19809e-07-0j 1.12542e-07-0j -2.48522e-05-0j 0.00252052-0j 1.08293e-08-0j 0.000207843-0j -1.83054e-07-0j 3.56723e-11-0j 
-3.32342e-06-0j 0.000102501-0j -4.379e-07-0j -0.00172548-0j 1.04615e-05-0j 0.0166222-0j -0.180285-0j -3.06337e-06-0j 9.25715e-05-0j -3.82922e-07-0j -2.55281e-07-0j -0.00150884-0j 1.21974e-05-0j -2.25639e-08-0j 0.013704-0j -0.000153996-0j -0.0551174-0j -0.0326389-0j 
-0.000325696-0j 0.00247185-0j 0.00614838-0j -0.0843606-0j 0.000252283-0j 9.04597e-05-0j 6.90074e-06-0j 0.000582595-0j -0.00433225-0j 7.28244e-05-0j -0.0139601-0j -0.000999207-0j 0.0817829-0j 4.29122e-06-0j 0.0207356-0j -0.000101981-0j -1.70863e-05-0j -9.56817e-07-0j 
-6.97919e-05-0j 0.00107063-0j 0.00087472-0j -0.00587027-0j -0.0208971-0j 0.174657-0j -0.000282319-0j -1.27327e-06-0j 1.91376e-05-0j 1.51392e-05-0j -1.06105e-07-0j -0.0001016-0j -0.000239857-0j 2.69502e-06-0j -2.9962e-05-0j 0.00198308-0j 0.000507367-0j -4.99746e-07-0j 
-0.000199447-0j -3.21856e-05-0j 0.00502572-0j -3.79311e-06-0j -0.0594405-0j 7.40358e-05-0j -1.76701e-08-0j 0.000356765-0j 5.64095e-05-0j -0.00852854-0j 2.97304e-05-0j 6.43683e-06-0j -0.00142142-0j 0.144161-0j 6.19384e-07-0j 0.0118876-0j -1.04698e-05-0j 2.04028e-09-0j 
