-0.239933-0j -0.296902-0j -0.173193-0j -0.0299728-0j -0.0349683-0j -0.0214136-0j -0.0305973-0j -0.0126207-0j -0.0189446-0j -0.00273441-0j -0.0214002-0j -0.00308885-0j -0.0174732-0j -0.00252203-0j -0.0176542-0j -0.015289-0j -0.00254817-0j -0.00220678-0j -0.0126128-0j -0.0018205-0j -0.00402985-0j -0.000581659-0j 
0.265558-0j 0.00650402-0j -0.371997-0j 0.0331738-0j 0.000766025-0j 0.0237005-0j -0.0325244-0j -0.0407999-0j -0.0820548-0j -0.0118436-0j 0.000468798-0j 6.76651e-05-0j 0.0193393-0j 0.00279138-0j -0.0187662-0j 0.000334925-0j -0.00270867-0j 4.83423e-05-0j -0.0270907-0j -0.00391021-0j -0.0173995-0j -0.0025114-0j 
0.209942-0j -0.249826-0j 0.151544-0j -0.0767964-0j 0.0305973-0j -0.0547735-0j -0.0257458-0j 0.0110431-0j 0.0165765-0j 0.00239261-0j -0.0548315-0j -0.00791425-0j -0.0147026-0j -0.00212214-0j 0.0154475-0j -0.0391075-0j 0.00222965-0j -0.00564469-0j -0.0106129-0j -0.00153184-0j 0.00352612-0j 0.000508952-0j 
-0.68422-0j 0.173193-0j 0.101029-0j 0.0174842-0j -0.0997194-0j 0.0124913-0j 0.0178484-0j 0.00736209-0j 0.011051-0j 0.00159507-0j 0.0124834-0j 0.00180183-0j -0.0498284-0j -0.0071921-0j -0.0503447-0j 0.0089186-0j -0.00726664-0j 0.00128729-0j 0.00735747-0j 0.00106196-0j 0.00235075-0j 0.000339301-0j 
-0.212117-0j 0.252091-0j -0.135291-0j 0.0775922-0j 0.0296906-0j -0.0189311-0j 0.0270289-0j -0.052307-0j -0.0167483-0j -0.00241741-0j -0.0532067-0j -0.00767973-0j -0.0154475-0j -0.00222965-0j 0.0155953-0j 0.0129815-0j 0.00225099-0j 0.00187372-0j -0.00985259-0j -0.0014221-0j -0.0371018-0j -0.00535518-0j 
0.476226-0j 0.00576879-0j 0.343105-0j -0.0305973-0j 0.00137372-0j 0.0639025-0j -0.0288478-0j 0.037631-0j -0.0193393-0j -0.00279138-0j -0.000432387-0j -6.24096e-05-0j -0.0333511-0j -0.00481382-0j -0.0336535-0j 0.000903041-0j -0.00485747-0j 0.000130343-0j -0.0240283-0j -0.00346819-0j 0.0160481-0j 0.00231635-0j 
-0.0865965-0j 0.523459-0j -0.0625087-0j -0.0108178-0j -0.0126207-0j -0.0952044-0j 0.0539451-0j -0.00455506-0j -0.00683746-0j -0.000986902-0j -0.00772373-0j -0.00111482-0j 0.0308064-0j 0.00444652-0j -0.00637175-0j -0.0679746-0j -0.000919683-0j -0.00981129-0j 0.0222372-0j 0.00320967-0j -0.00145445-0j -0.000209932-0j 
-0.277799-0j -0.343105-0j 0.39417-0j 0.0178484-0j 0.0785697-0j 0.0127515-0j 0.0160993-0j 0.00919588-0j 0.0112812-0j 0.00162831-0j -0.0247303-0j -0.00356952-0j -0.0202307-0j -0.00292005-0j -0.018061-0j -0.0176682-0j -0.00260688-0j -0.00255019-0j 0.0287054-0j 0.00414327-0j -0.0301455-0j -0.00435113-0j 
0.151544-0j 0.526494-0j 0.0966567-0j 0.0189311-0j -0.021212-0j 0.0114899-0j 0.0564498-0j 0.0373699-0j 0.0119656-0j 0.00172708-0j -0.0129815-0j -0.00187372-0j -0.0322621-0j -0.00465663-0j -0.0111418-0j -0.0078789-0j -0.00160819-0j -0.00113722-0j -0.0205772-0j -0.00297006-0j 0.0265068-0j 0.00382592-0j 
-0.0884006-0j -0.307256-0j -0.0780786-0j -0.0110431-0j 0.037631-0j 0.0230636-0j 0.0508221-0j 0.0639903-0j -0.00697991-0j -0.00100746-0j 0.0230297-0j 0.00332405-0j 0.00619088-0j 0.000893576-0j -0.0304932-0j -0.0480976-0j -0.00440132-0j -0.00694229-0j 0.00546801-0j 0.000789239-0j 0.0275555-0j 0.00397729-0j 
0.0230615-0j -0.139297-0j -0.718901-0j 0.00288087-0j -0.016406-0j 0.0020582-0j 0.0531176-0j 0.0372346-0j 0.00182088-0j 0.000262821-0j -0.0100402-0j -0.00144918-0j 0.00167945-0j 0.000242408-0j 0.0306482-0j -0.0071731-0j 0.00442368-0j -0.00103535-0j -0.0523541-0j -0.00755666-0j 0.0541666-0j 0.00781828-0j 
0.0320423-0j 0.0396503-0j 0.0231294-0j -0.188251-0j -0.219626-0j -0.134493-0j -0.192173-0j -0.0792673-0j 0.00252999-0j -0.0347134-0j 0.00285792-0j -0.0392129-0j 0.00233348-0j -0.0320172-0j 0.00235767-0j 0.0020418-0j -0.032349-0j -0.0280151-0j 0.0016844-0j -0.0231112-0j 0.000538173-0j -0.00738416-0j 
-0.0349683-0j -0.000856442-0j 0.0489841-0j 0.205442-0j 0.0047439-0j 0.146775-0j -0.20142-0j -0.252669-0j -0.00276102-0j 0.0378833-0j -6.17307e-05-0j 0.000846994-0j -0.00254657-0j 0.0349409-0j 0.00247111-0j -4.41026e-05-0j -0.0339055-0j 0.000605121-0j 0.00356727-0j -0.0489458-0j 0.00229115-0j -0.0314363-0j 
-0.0270863-0j 0.0322321-0j -0.0195519-0j 0.159134-0j 0.185657-0j -0.332352-0j -0.156219-0j 0.0670071-0j 0.00836942-0j -0.114835-0j -0.00241589-0j 0.0331479-0j 0.00189691-0j -0.0260271-0j -0.00199301-0j 0.00504559-0j 0.0273456-0j -0.0692294-0j 0.00136926-0j -0.0187874-0j -0.000454934-0j 0.00624205-0j 
0.027367-0j -0.0325244-0j 0.017455-0j -0.160783-0j 0.180155-0j -0.114869-0j 0.164004-0j -0.317386-0j -0.00845615-0j 0.116025-0j -0.0023443-0j 0.0321656-0j 0.00199301-0j -0.0273456-0j -0.00201208-0j -0.00167485-0j 0.0276073-0j 0.0229802-0j 0.00127117-0j -0.0174414-0j 0.00478681-0j -0.0656787-0j 
