-0.0831455-0j -0.0590299-0j -0.00852024-0j -0.0338675-0j -0.0342185-0j -0.00598698-0j -0.000498915-0j -0.00604903-0j -0.000504085-0j 0.0474696-0j -0.0294484-0j 0.0079116-0j -0.0171783-0j 0.00484485-0j 0.000988951-0j -0.00490807-0j -0.00300557-0j 5.82745e-05-0j -0.00286304-0j -0.000613509-0j -0.00175325-0j -3.61514e-05-0j -0.00035788-0j -2.10883e-05-0j -0.0183183-0j 0.0426294-0j -0.00295611-0j -0.0130873-0j -0.0187-0j -0.00241365-0j -0.00771334-0j 0.00687929-0j -0.000348381-0j -0.000301707-0j -0.00211195-0j 0.00561692-0j -3.55565e-05-0j -0.00301769-0j -0.0017244-0j 0.000810733-0j -1.62292e-06-0j -0.00124474-0j -0.000248895-0j 0.000702115-0j -0.00246394-0j -0.00021555-0j 8.2745e-05-0j -0.000355639-0j -0.00101632-0j -0.000307992-0j -2.54028e-05-0j 3.77678e-06-0j -0.000146693-0j -3.62972e-05-0j -1.15947e-06-0j -0.00012704-0j -1.65673e-06-0j -1.49718e-05-0j -6.83368e-07-0j 
0.102887-0j 0.00103972-0j 0.000150071-0j -0.0412366-0j -0.0411378-0j -0.00728967-0j -0.000607473-0j -0.0072722-0j -0.000606017-0j 0.0294484-0j -0.000510369-0j 0.00490807-0j -0.0416063-0j 0.00300557-0j 0.000613509-0j -8.50614e-05-0j -5.20893e-05-0j 3.61514e-05-0j -0.00693438-0j -1.06327e-05-0j -0.00424643-0j -6.26537e-07-0j -0.000866798-0j -5.10766e-05-0j 0.0226678-0j 0.000376424-0j 0.003658-0j -0.0480644-0j 0.0221207-0j 0.00298674-0j -0.0280909-0j 6.07452e-05-0j 0.000431099-0j 0.000373343-0j -0.00775636-0j 4.95983e-05-0j 4.39989e-05-0j 0.00356971-0j -0.00633304-0j 7.15889e-06-0j 2.00827e-06-0j -0.00453315-0j -0.000914095-0j 6.19978e-06-0j 0.00291465-0j -0.00079163-0j 7.30651e-07-0j 0.000420694-0j -0.0037013-0j 0.000364332-0j -9.32945e-05-0j 3.33495e-08-0j -0.000534237-0j 4.29369e-05-0j -4.25829e-06-0j -0.000462663-0j 1.95979e-06-0j -5.45253e-05-0j -2.48873e-06-0j 
-0.0600176-0j 0.0834006-0j 0.0120378-0j -0.0244468-0j -0.0226207-0j -0.00432163-0j -0.000360136-0j -0.00399882-0j -0.000333235-0j -0.0171783-0j 0.0416063-0j -0.00286304-0j -0.0480114-0j -0.00175325-0j -0.00035788-0j 0.00693438-0j 0.00424643-0j -2.10883e-05-0j -0.0080019-0j 0.000866798-0j -0.00490014-0j 5.10766e-05-0j -0.00100024-0j -5.89396e-05-0j -0.0132229-0j 0.0301946-0j -0.00213383-0j -0.00944688-0j -0.012362-0j -0.00174227-0j -0.00647857-0j 0.00487264-0j -0.000251475-0j -0.000217783-0j -0.00152448-0j 0.00397849-0j -2.5666e-05-0j -0.0019949-0j -0.00124474-0j 0.000574246-0j -1.17149e-06-0j -0.00104548-0j -0.000179662-0j 0.000497312-0j -0.00162883-0j -0.000155592-0j 5.86087e-05-0j -0.000235102-0j -0.000853627-0j -0.000203604-0j -1.83367e-05-0j 2.67511e-06-0j -0.00012321-0j -2.3995e-05-0j -8.36951e-07-0j -0.000106703-0j -1.09521e-06-0j -1.25751e-05-0j -5.73973e-07-0j 
-0.488545-0j 0.00733253-0j -0.101184-0j 0.00420692-0j 0.00425052-0j -0.0351782-0j -0.0089185-0j -0.0355428-0j -0.00901092-0j 0.00295611-0j 0.003658-0j -0.0233052-0j 0.00213383-0j 0.000301707-0j -0.0058879-0j -0.0288388-0j 0.000373343-0j -0.000697524-0j -0.0168226-0j -0.0072859-0j 0.000217783-0j -0.000863142-0j -0.00425011-0j -0.0005035-0j -0.00686752-0j 0.00265469-0j 0.0524227-0j 0.00162566-0j 0.00232286-0j -0.000904876-0j 0.000958129-0j -0.0202644-0j 0.0124867-0j 0.00535037-0j -0.0124093-0j 0.000349786-0j 0.0019183-0j -0.0177313-0j 0.0002142-0j -0.00482684-0j 0.000146336-0j -0.0073138-0j -0.00295583-0j -0.00206822-0j 0.000306063-0j -0.00126652-0j -0.000741533-0j -0.00422349-0j 0.000126245-0j -0.0018097-0j -0.000454094-0j -5.65671e-05-0j -0.0017421-0j -0.000648841-0j -3.46401e-05-0j -0.000746461-0j -4.94962e-05-0j -0.000267633-0j -2.04162e-05-0j 
0.569969-0j -0.000121765-0j 0.00168028-0j -0.00490807-0j 0.00481777-0j 0.0410412-0j 0.0104049-0j -0.0402861-0j -0.0102135-0j 0.00687929-0j -6.07452e-05-0j -0.0542347-0j 0.00487264-0j 0.000702115-0j -0.013702-0j 0.000478901-0j -6.19978e-06-0j -0.00162324-0j -0.0384147-0j 0.000120991-0j 0.000497312-0j 1.43335e-05-0j -0.00970519-0j -0.00114975-0j -0.00265469-0j 8.79345e-05-0j 0.0202644-0j -0.0018966-0j 0.00263285-0j -0.000349786-0j 0.00328981-0j -0.000671241-0j 0.00482684-0j 0.00206822-0j 0.0144776-0j 1.15864e-05-0j 0.000741533-0j -0.0200976-0j -0.000249899-0j -0.000159885-0j 5.65671e-05-0j -0.0251125-0j 0.00344846-0j -6.85082e-05-0j 0.000346909-0j 0.00147761-0j -2.45627e-05-0j -0.00478713-0j 0.00043347-0j -0.00205121-0j 0.000529777-0j -1.87374e-06-0j -0.00598163-0j -0.000735432-0j 4.04135e-05-0j -0.00256303-0j -5.61017e-05-0j -0.000918939-0j -7.01004e-05-0j 
0.349033-0j -0.00523861-0j 0.0722897-0j 0.00892028-0j -0.00303672-0j -0.0745913-0j -0.0189106-0j 0.025393-0j 0.00643771-0j -0.00211195-0j 0.00775636-0j 0.0166501-0j -0.00152448-0j -0.00021555-0j 0.00420652-0j -0.0611492-0j 0.00079163-0j 0.000498335-0j 0.0120187-0j -0.0154489-0j -0.000155592-0j -0.00183019-0j 0.00303642-0j 0.000359718-0j -0.00162566-0j -0.0018966-0j 0.0124093-0j -0.0010875-0j 0.00492534-0j -0.0002142-0j -0.00068452-0j 0.0144776-0j 0.00295583-0j 0.00126652-0j 0.00830136-0j -0.000249899-0j 0.000454094-0j -0.0375972-0j -0.000143291-0j 0.00344846-0j 3.46401e-05-0j 0.00522523-0j 0.00197733-0j 0.00147761-0j 0.000648971-0j 0.000847254-0j 0.000529777-0j -0.00895541-0j -9.01935e-05-0j -0.00383725-0j 0.000303771-0j 4.04135e-05-0j 0.00124462-0j -0.00137579-0j 2.31729e-05-0j 0.000533298-0j -0.000104951-0j 0.000191207-0j 1.4586e-05-0j 
-0.498723-0j -0.0072722-0j 0.100352-0j -0.00422567-0j -0.00433731-0j 0.035335-0j 0.00895826-0j 0.0362685-0j 0.00919492-0j 0.00301769-0j 0.00356971-0j -0.0237908-0j 0.0019949-0j 0.000307992-0j -0.00601056-0j -0.0281427-0j 0.000364332-0j -0.000712056-0j -0.0157273-0j -0.00711004-0j 0.000203604-0j -0.000842309-0j -0.00397339-0j -0.000470718-0j 0.00232286-0j -0.00263285-0j -0.0177313-0j -0.00492534-0j 0.00233227-0j 0.000306063-0j 0.00467008-0j 0.0200976-0j -0.00422349-0j -0.0018097-0j 0.0375972-0j -0.000346909-0j -0.000648841-0j -0.0178031-0j -0.000648971-0j 0.00478713-0j -4.94962e-05-0j -0.0356486-0j 0.00895541-0j 0.00205121-0j 0.000307303-0j 0.00383725-0j 0.000735432-0j -0.0042406-0j 0.000615337-0j -0.00181703-0j 0.00137579-0j 5.61017e-05-0j -0.00849128-0j -0.00065147-0j 0.000104951-0j -0.00363837-0j -4.96967e-05-0j -0.00130449-0j -9.95117e-05-0j 
0.205713-0j 0.00908678-0j -0.125392-0j -0.00177142-0j -0.00854562-0j 0.0148126-0j 0.00375533-0j 0.0714583-0j 0.0181164-0j -0.00124474-0j 0.00453315-0j 0.00981319-0j -0.00104548-0j -0.00012704-0j 0.00247923-0j -0.0357382-0j 0.000462663-0j 0.000293708-0j 0.00824227-0j -0.009029-0j -0.000106703-0j -0.00106964-0j 0.00208235-0j 0.000246691-0j -0.000958129-0j 0.00328981-0j 0.0073138-0j -0.00068452-0j -0.00467008-0j -0.000126245-0j 0.00568999-0j -0.0251125-0j 0.0017421-0j 0.000746461-0j 0.00522523-0j 0.00043347-0j 0.000267633-0j 0.0356486-0j -9.01935e-05-0j -0.00598163-0j 2.04162e-05-0j -0.043434-0j 0.00124462-0j -0.00256303-0j -0.000615337-0j 0.000533298-0j -0.000918939-0j 0.00849128-0j 0.000749722-0j 0.00363837-0j 0.000191207-0j -7.01004e-05-0j -0.0103457-0j 0.00130449-0j 1.4586e-05-0j -0.00443297-0j 9.95117e-05-0j -0.00158938-0j -0.000121244-0j 
0.00649114-0j -0.443397-0j 0.000665172-0j 0.00264402-0j 0.00267142-0j -0.0449706-0j 3.89502e-05-0j -0.0454366-0j 3.93538e-05-0j 0.0018579-0j 0.00229903-0j 0.00030965-0j 0.0013411-0j -0.036678-0j -0.00372408-0j 0.000383172-0j -0.0453867-0j 2.28078e-06-0j 0.000223517-0j -0.00460831-0j -0.0264756-0j 2.82233e-06-0j -0.00268818-0j 1.64636e-06-0j 0.00143011-0j 0.00166846-0j 0.000230783-0j 0.00102172-0j 0.0014599-0j -0.0181299-0j 0.000602178-0j 0.000269246-0j 2.7198e-05-0j -0.00455603-0j 0.000164879-0j -0.0211516-0j -0.000267079-0j 0.000235591-0j -0.0129526-0j 3.1731e-05-0j 1.26701e-07-0j 9.71761e-05-0j 1.94312e-05-0j -0.00531537-0j -0.0185076-0j -0.00325499-0j -0.000311592-0j 2.77646e-05-0j -0.007634-0j -0.00465095-0j -0.00019081-0j 1.47818e-07-0j 1.14523e-05-0j -0.000272643-0j 9.05197e-08-0j -0.00191842-0j 1.29341e-07-0j -0.000112459-0j 5.33503e-08-0j 
0.0895739-0j -0.000665172-0j -0.429552-0j -0.000381632-0j -0.000385587-0j 0.00644987-0j -0.0770772-0j 0.00651671-0j -0.077876-0j -0.000268164-0j -0.000331836-0j 0.00427298-0j -0.000193571-0j -2.73694e-05-0j -0.0249955-0j 0.00528754-0j -3.38679e-05-0j -0.00909002-0j 0.0030844-0j -0.0309303-0j -1.97563e-05-0j -0.0112483-0j -0.0180427-0j -0.00656152-0j -0.000206418-0j -0.000240821-0j 0.00318466-0j -0.000147472-0j -0.000210719-0j -2.7198e-05-0j -8.6917e-05-0j 0.00371544-0j -0.0175638-0j 0.000325033-0j 0.00227523-0j -3.1731e-05-0j -0.0054931-0j 0.00325101-0j -1.94312e-05-0j -0.0204911-0j -0.00084454-0j 0.00134097-0j -0.0125482-0j 0.000379205-0j -2.77646e-05-0j 0.000232215-0j -0.00640862-0j -0.0179297-0j -1.14523e-05-0j 0.000331805-0j -0.00392446-0j -0.000985297-0j -0.00739562-0j -0.00560754-0j -0.000603369-0j 0.000136862-0j -0.000862135-0j -0.00231299-0j -0.000355612-0j 
-0.00733253-0j 0.00712931-0j -1.06952e-05-0j -0.00298674-0j 0.00293179-0j 0.0507997-0j -4.39989e-05-0j -0.049865-0j 4.31893e-05-0j -0.00209872-0j -3.69657e-05-0j -0.000349786-0j 0.00296518-0j 0.0414322-0j 0.00420679-0j -6.16095e-06-0j 0.000729764-0j -2.57642e-06-0j 0.000494197-0j 7.40962e-05-0j -0.0585376-0j -4.53797e-08-0j -0.00594358-0j 3.6401e-06-0j 0.00487567-0j -2.68268e-05-0j 0.000786807-0j -0.00115415-0j 0.00160219-0j -0.0618103-0j 0.00200197-0j -4.32916e-06-0j 9.27261e-05-0j -0.0155329-0j -0.000186251-0j 0.000340092-0j -0.000910552-0j 0.000258552-0j 0.0146316-0j -5.10197e-07-0j 4.31962e-07-0j 0.000323066-0j -2.19499e-05-0j 8.54649e-05-0j -0.0203114-0j 0.0036769-0j 5.01003e-06-0j 3.04706e-05-0j -0.0253796-0j -0.00510424-0j 0.000215543-0j -2.37674e-09-0j 3.80737e-05-0j -0.000299215-0j -1.02253e-07-0j -0.00637787-0j 1.41947e-07-0j -0.000373877-0j 1.77366e-07-0j 
