-0.00594764-1.58727e-16j -0.0118732+2.17782e-05j 0.0107453+0.000846015j 0.016422+0.00256158j -0.00731306-0.000594111j -0.0171496+0.00162976j -0.0198589-0.00505197j 0.0150178+0.00156106j -0.000609001-0.00401023j -0.0179474-0.00284699j 0.0238068-0.000476842j -0.0192537-0.00441169j -0.00848745-0.00288445j 0.0275562-0.000871446j -0.0024354+8.25661e-05j 0.0144923+0.00516641j 0.00193042-0.00125698j -0.00499121-0.00265226j -0.00630837-0.00308006j -0.00397456-0.00185621j -0.0111586-0.000992534j 0.00830281+0.000237886j 0.0109009-0.000544278j 0.0120444-0.00157876j -0.011151-0.00246065j 0.00209062-0.0021439j 0.00543351-0.00437148j -0.00621735-0.00146688j -0.00837028+0.00105737j -0.0287318-0.00167547j -0.00276399+0.00203712j 0.00622617+0.000206627j 8.80787e-05-0.000368215j -0.00407834-0.000962321j 0.0127671+0.00797454j 0.0147328+0.00220966j 0.00233372+0.00127328j 0.00743916+0.00326113j -0.0298507+0.00181238j 0.0256441+0.00578245j -0.0154999-0.000694394j 0.0201323+0.00132795j -0.0093478+0.00223512j 0.0201664-0.00244416j -0.00177581-0.00119569j -0.0117434+0.00697744j 0.0331735+0.00643064j -0.00944077-0.00352245j 0.0327865-0.00638105j -0.00983198+0.00471158j -0.0398558-0.0057185j 0.0393673+0.0126484j 0.016291+0.00905819j -0.0845316+0.00749023j 0.0161638+0.0170796j -0.0706467-0.0216827j 0.0527267-0.00658198j -0.0917333-0.00570523j 0.0839298+0.00634561j 0.00662731-0.0139743j -0.0412514+0.00380249j 0.012757+0.0131872j 0.00783095+0.00885148j 0.0342045-0.0021968j 0.0207005-0.00173812j 0.019135+0.0113491j 0.031436-0.00440127j -0.0263998-0.0102208j 0.016279+0.00969853j -0.0678358+0.00789378j 0.00459717+0.0042796j -0.104427+0.0144524j 
-0.0118732-2.17782e-05j 0.00617921-5.37764e-17j -0.0165302-0.00231563j 0.0140477+0.00160484j 0.00876392-0.00116205j 0.00880577+0.00311269j -0.0237288+0.000345357j -0.0158642-0.00273461j -0.0180713-0.00244816j -0.0114783+0.00292168j -0.0162078-0.0033351j -0.0116402+0.00184493j -0.0111723+0.00130729j -0.00727222-0.00521519j 0.00445198+0.000387045j 0.0293375-0.00065083j -0.0119851-0.00113706j -0.0121425+0.00010072j -0.00390793+0.00080575j -0.00972922-0.000863489j 0.0148479+0.00182272j -0.00565044-0.00315478j -0.00431475-0.00318086j -0.00924629-0.00319858j -0.0074691+0.00239114j -0.00526207-0.00038973j -0.0187747-0.0028267j -0.00102369+0.00245702j 0.00796406+0.00226426j 0.00387976+0.00676512j 0.00245136-0.000157881j -0.000874627-0.00113627j 0.00104988+0.000879515j -0.0114465+0.00204336j 0.0170599-0.00060841j 0.00805297-0.00384894j -0.00114547+2.46203e-05j 0.0113834-0.000160143j 0.0191875+0.00781569j -0.000296018-0.00796937j 0.000792947+0.00523874j -0.0165764-0.00393336j -0.00420108+0.00113444j -0.0173135-0.00455904j -0.0165247+0.00182063j 0.0368108+0.00805667j 0.0198494-0.00368417j -0.0256903-0.0023132j -0.0453629-0.00799848j 0.0344315+0.0031938j -0.0200159+0.00582316j 0.0580899-0.0029447j 0.0433586-0.000456965j 0.0615492+0.0189079j 0.0841894+0.00358453j -0.094802+0.00748854j -0.0491598-0.012755j 0.00771052+0.0200186j -0.00390761-0.017057j -0.0642197-0.00565905j 0.0286364+0.0131204j 0.0510002-0.00258904j 0.0295555-0.00221886j 0.0024545-0.00733762j -0.0164467-0.00195376j 0.0336261-0.00128825j -0.0235389-0.0154223j -0.0125711+0.00465979j -0.0698419+0.00536156j -0.0161484-0.0118196j 0.103145-0.0139439j 0.00420968+0.00373575j 
0.0107453-0.000846015j -0.0165302+0.00231563j 0.0169347-1.73472e-18j -0.00188148-0.00120769j -0.00919749+0.00591058j -0.0293464-0.00148713j 0.0224241-0.00135766j -0.000648037-0.00510856j 0.0280629+0.00436214j 0.0115294-0.00544239j 0.0117952-0.000171462j 0.0190638+0.00236477j 0.0105106-0.0033048j 0.0257369+0.00505475j -0.00846074+0.00119085j -0.0223759+0.00218548j -0.00972647-0.00395736j 0.00943201+0.00193156j -0.000608149+0.00269277j 0.00835549-0.00259304j 0.0104789+0.00501024j -0.0272706+0.00235069j -0.000440197-0.00121819j 0.012602+0.00316354j -0.0065931-0.00417803j 0.0137191+0.00108789j 0.00357233-0.00141912j 0.037556+0.00101194j 0.0209753+0.00366173j 0.00973062-0.00711365j -0.00964244+0.00298484j 0.00565991+0.00369555j 0.028968+0.000968731j -0.001523-0.000558942j -0.0443333-0.0103086j -0.0149919-0.00342279j 0.00962706-0.000534871j -0.0392323-0.00292291j -0.0134101+0.00300538j -0.0660978-0.00998376j -0.0423085-0.0125356j -0.0207626-0.00382988j -0.0284875+0.00623219j 0.0420351+0.00497737j 0.0605669+0.00338998j 0.0387598-0.00548312j -0.0794167-0.00412681j -0.138086-0.00306714j 0.116426-0.000255622j -0.0870121-0.00537892j -0.121786-0.0167047j 0.0184616+0.00480267j 0.0120401-0.00387494j -0.039527+0.0118144j 0.054721+0.0123614j -0.0477261-0.00581261j 0.00212282-0.00335995j -0.0835451+0.0126671j 0.0240741-0.00521865j -0.0266955+0.00212247j -0.0757356-0.00524182j 0.0290003+0.00374869j 0.0662044-1.42383e-05j -0.0384863-0.00531854j -0.0208841-0.00881861j -0.0528703+0.00852043j -0.00186175-0.00372565j -0.0795699+0.0132558j 0.0037473+0.0101464j 0.0687435-0.022713j -0.0136207-0.00971624j 0.051176-0.00871103j 
0.016422-0.00256158j 0.0140477-0.00160484j -0.00188148+0.00120769j -0.0108762-1.73472e-18j -0.0250501-0.00179856j 0.025519-0.00381786j 0.0222796+0.00162236j 0.000103932+0.00162249j -0.0220822+0.0055175j 0.028419+0.00299676j -0.0103501+0.000747002j 0.0138106+0.00252651j 0.0303574+0.00153723j -0.027646+0.00143031j 0.014325+0.000119026j -0.00155912-0.00246361j -0.00257286-0.00100868j -0.0133512+0.00182614j -0.0106678+6.32251e-05j 0.0138577+0.00392648j 0.00773837+0.00744896j -0.013454-0.00439103j -0.0223413+0.000370293j -0.0187984+0.00172189j 0.0321829-0.00183194j -0.0101498-0.00108607j -0.00649574+0.00212316j -0.0192846+0.0026373j -0.0172145+0.00187495j 0.0321312+0.00591487j -0.0316078-0.00238001j -0.0205505-0.00143917j 0.00697374+0.000646646j 0.0119748-0.00236585j 0.0283642-0.00422951j -0.00898225+0.00193669j 0.00517357-0.00270584j -0.0124629-0.00630447j 0.0121133-0.000419377j 0.0394271-0.00453975j 0.117421-0.00632851j 0.0096953-0.00383783j -0.016446-0.0027177j -0.0657406+0.00046081j 0.016352+0.00667186j 0.176262+0.0163846j 0.0067818-0.00947297j -0.0183074-0.0192074j 0.095065+0.0141625j -0.0228954-0.00986408j 0.109131-0.00881259j -0.0340206-0.000393228j 0.0301082+0.00458287j -0.116225-0.00618501j -0.115245+0.00377496j 0.0577182-0.00605604j 0.0530396-0.00366709j -0.0720561-0.00790507j -0.0153613-0.00164965j 0.0316616-0.00309399j -0.0268104-0.00593381j -0.0340022-0.00197681j -0.00331762+0.0106113j 0.0488314+0.00067899j -0.0996662-0.00241765j -0.00925606+0.0118492j 0.0205564+0.00139514j 0.00870931+0.0150608j -0.0389271+0.0125127j -0.00210342-0.000522838j 0.0514058-0.00628986j 0.0134802+0.00764667j 
-0.00731306+0.000594111j 0.00876392+0.00116205j -0.00919749-0.00591058j -0.0250501+0.00179856j 0.0466216-2.25514e-16j 0.00450715+0.000896505j -0.00801249-0.00129339j -0.0165299-0.00577019j 0.0045559-0.00496586j -0.0124995+0.00240642j -0.0156294+0.00346214j -0.00615823+0.000728356j -0.02905+0.00162227j -0.00282727+0.000609592j -0.00558092-0.00043971j 0.00191532+0.00301769j -0.0133086-0.00124973j 0.0108013+0.00165942j 0.00762937+0.00693402j -0.0223971-0.00404445j -0.00269072-0.0014096j 0.0203248+0.00115428j -0.000530354-0.00169939j -0.00276559-0.00059548j -0.0245432+0.0042325j -0.0122637+0.00294742j -0.0130463+0.00127304j -0.000373765+0.00025936j 0.00477956+0.000585587j -0.0413291+0.00276791j 0.0600229-0.00460048j 0.0242333+0.00104678j -0.0313946+0.00149159j 0.0641405+0.00324786j 0.0377847-0.00583694j -0.0253362-0.00448243j -0.0351294-0.00202529j -0.00559826-0.00121381j 0.0718455+0.0123355j 0.014978-0.0090998j -0.0878201+0.0116854j 0.0592875-0.00470276j 0.234849+0.0096369j 0.0165313-0.00292931j 0.0965181+0.00882848j 0.106358+0.0231583j 0.0882622+0.00195099j 0.0659453-0.00868112j -0.0699578+0.00280188j 0.0072201+0.00114988j 0.0704602+0.0029976j -0.0301488+0.00525964j -0.0418971+9.0708e-06j 0.055024+0.00690482j -0.0567867+0.00451916j 0.146758+0.0071404j 0.0207215+0.00358693j 0.00359747+0.00473924j 0.040236-0.0085941j -0.0146107-0.00712687j 0.055665+0.000271917j -0.0593912-0.00119751j 0.0345263+0.00926495j 0.0248507+0.000925802j -0.00158999+0.00505253j 0.00226255+0.00286061j -0.0117401-0.0118425j -0.0509382+0.0178473j 0.0166162+0.0100783j 0.0630721-0.0133794j 0.0103646-0.00590633j -0.0185708-0.00932884j 
-0.0171496-0.00162976j 0.00880577-0.00311269j -0.0293464+0.00148713j 0.025519+0.00381786j 0.00450715-0.000896505j -0.00961542-5.37764e-17j -0.0086637-0.00287229j -0.0361262-0.00145185j -0.0171007-0.0027999j -0.0339173+0.00260943j -0.00125642+0.00118149j 0.00814354+8.14645e-05j -0.0124038-0.00332155j 0.0188135-0.000689769j 0.00285791-0.00617513j 0.0589573+0.00351772j -0.0189904-0.0054096j 0.0153004+0.00195992j 0.0291333-0.00380276j 0.0148381-0.0022846j 0.0345835-0.00284361j 0.00963776-0.00424171j -0.0114097-0.00126231j 0.0239467-0.00259874j -0.0395567-0.00179997j -0.00585907+0.000188933j -0.0374074-0.0108895j -0.000918695+0.00508053j 0.0262522-0.000406152j -0.0233519-0.00668413j 0.0284449+0.00572481j -0.0142307+0.00152087j 0.0576309+0.0014194j -0.100442+0.00278054j -0.042345+0.00375865j 0.108679+0.000192127j 0.0388187-0.00130913j -0.124072-0.00348913j 0.0137752+0.00300165j 0.214712+0.0061754j -0.0888007-0.00495186j -0.0717882+0.00589638j 0.0153269+0.00828046j -0.0687504-0.00619627j -0.0122497+0.0103774j 0.0336505+0.00753119j -0.118146+0.00222625j 0.025204+0.00196505j -0.0652984-0.00856199j 0.0266256-0.0068092j 0.010036-0.0064062j -0.0118486+0.0080647j 0.0389412+0.0095211j 0.201218+0.012511j -0.0396817+0.00712521j 0.0326366-0.0114463j -0.0792077+0.00013886j 0.068638-0.00100332j -0.0234366+0.00998136j 0.00665199-0.000328418j 0.00896122-0.00864635j 0.0555752-0.00459081j -0.041747+0.00871386j -0.0318976-0.00788721j -0.00543943-0.0127296j 0.00163128+0.00714435j 0.0216643-0.0139941j 0.0156385+0.00125169j -0.0268664-0.00303303j 0.0232919-0.00366988j -0.0180764-0.0145137j -0.0265537+0.00487801j 
-0.0198589+0.00505197j -0.0237288-0.000345357j 0.0224241+0.00135766j 0.0222796-0.00162236j -0.00801249+0.00129339j -0.0086637+0.00287229j -0.0244268+2.25514e-17j 0.0461642-0.00183485j 0.0322625-0.00398395j -0.0323582-0.00265087j 0.0271071-0.00292454j -0.0106488-0.00120611j -0.0206728-0.000719773j 0.0237561+0.0036003j -0.0154181+0.00132563j -0.0159781+0.00582055j 0.0407407-0.00330223j 0.0115729-0.00188284j 0.00772994+0.00188898j -0.00242814-0.00137128j -0.00639762-0.00150857j 0.0428148+0.00251467j 0.0554332+0.000249834j 0.0333604-0.000346593j -0.0148248-0.0049776j 0.0307575-0.00179388j 0.0487107+0.000434441j -0.0194155+0.00080305j 0.00691376+0.00174392j -0.0105463-0.00414801j 0.0426676+0.00507456j 0.0338557-0.000648757j -0.0692196+0.00224986j -0.0718973-0.00278538j -0.151558-0.00481965j -0.0106213-0.0012441j -0.0437214+0.00381262j 0.108558-0.00375586j -0.202649-0.00529449j 0.00667066+0.0119599j -0.0839938-0.00549551j -0.132745-0.00545415j 0.0753634+0.00439032j 0.072524+0.00381653j -0.143024-0.000512553j 0.124802+0.0178893j 0.174473-0.000173907j 0.0311718-0.00579262j 0.0184133+0.0102304j 0.136339-0.000565654j 0.010689-0.00281335j 0.0495842+0.00320193j 0.021715+0.00302679j 0.0532665-0.00231933j 0.105291-0.00841812j -0.0505174-0.00468375j -0.105177-0.00558241j -0.0260288-0.0114307j 0.0355276+0.00328814j -0.0499629+0.00373472j -0.00783714-0.00157023j 0.00785183-0.00258423j 0.0599261+0.00618982j 0.0209669+0.0022263j -0.00738902+0.00581694j 0.0119236+0.0150642j -0.00672501+0.000307868j -0.00149321+0.00324881j -0.0367203+0.0114984j 0.0208028-0.012282j -0.0295537+0.000582109j 0.0169371+0.0114476j 
0.0150178-0.00156106j -0.0158642+0.00273461j -0.000648037+0.00510856j 0.000103932-0.00162249j -0.0165299+0.00577019j -0.0361262+0.00145185j 0.0461642+0.00183485j 0.0183855+4.16334e-17j 0.0283425+0.00705264j 0.0261501-0.00541941j -0.0212619-0.00261363j 0.0136548+0.00248211j 0.0336999-0.00518303j -0.00969953+0.000378473j -0.0159932-0.000316123j -0.0263131-0.00369802j 0.0102638-0.00458244j 0.0165985+0.00171742j 0.0322962+0.0015951j 0.0401375-0.00236906j 0.0483386+0.00421893j -0.0510555+0.00102289j 0.0399675-0.00104361j 0.0120528+0.00232187j -0.0347255-0.00370913j -0.0389542-0.000857719j 0.0672676+0.000291817j 0.0278028-0.00294153j 0.00367277+0.00219818j 0.140883-0.00493764j -0.121071+0.00761832j -0.103911+0.00521054j 0.00372475-0.00421546j -0.0642198+0.00218876j 0.077514-0.00184525j 0.155467-0.00391486j -0.018402+0.00170231j 0.0684561+0.00186868j -0.0245532-0.00232534j -0.0964398-0.0117707j -0.292138-0.0117359j 0.137126-0.000756063j 0.0194628+0.00869461j -0.0681527+0.00204515j -0.0918053-0.000238645j -0.153192+0.010767j 0.0925738+0.0106922j 0.163805+0.00421037j 0.0440258+0.00129697j -0.0679131+0.000191916j -0.0434928+0.00246025j -0.00760249-0.00238697j -0.030237+0.00225732j -0.0482361-0.000968363j -0.0215995+0.00380502j -0.00109443-0.000670692j 0.107699+0.00518069j -0.0363314-0.00180296j -0.0325519-0.00545299j -0.00483222-0.00879466j -0.038584-0.000448823j -0.0277556+0.00882789j 0.0150838-0.0130622j -0.0200114-0.00304079j 0.0541641+0.00280249j 0.00482483+0.000117269j 0.0160997+0.00999531j -0.000656181+0.00127392j -0.0365563+0.00296007j 0.00157391+0.00546095j 0.0218262+0.00301223j 0.0188491-0.00280396j 
-0.000609001+0.00401023j -0.0180713+0.00244816j 0.0280629-0.00436214j -0.0220822-0.0055175j 0.0045559+0.00496586j -0.0171007+0.0027999j 0.0322625+0.00398395j 0.0283425-0.00705264j -0.0025321-3.25261e-17j -0.040885+0.000917154j -0.0324853+0.000377108j 0.00181252+0.00164617j -0.0238366+0.00014892j -0.0289963+0.00113634j 0.0167569+0.000128109j -0.0130398+0.000629824j 0.0651707-0.00164645j -0.031619+0.00314038j -0.0554991+0.00388519j 0.0207791-0.00193087j -0.0360664-0.00565679j 0.028279+0.00144718j 0.00348367-0.00183932j -0.000880378-0.00136786j 0.012671+0.00115511j 0.0189508+0.00115538j -0.123279+0.000801172j 0.036722+0.00456197j 0.00725866-0.0024707j -0.00392072-0.00154142j 0.139903+0.00601597j 0.0250371+0.000100439j 0.038646-0.00106457j 0.113682+0.00678554j 0.0445795-0.00401404j -0.010585-0.00249223j 0.251715+0.00164798j 0.138992-0.00408871j -0.124751+0.00055398j 0.122348-0.000181099j -0.0231828+0.00524387j 0.139759+0.00273636j 0.0497458-0.000108577j -0.0330595-0.00318621j 0.02276+0.0089574j 0.148484-0.00418471j 0.126262-0.00157018j 0.0309746+0.00394363j 0.242869-0.00537144j -0.0616308+0.00271729j 0.0432312+0.00262054j -0.00634518-0.00554098j 0.0477831-0.000407279j -0.296823+0.00736731j -0.117858+0.000109055j 0.00494171+0.00183544j 0.183511-0.00040618j -0.301052+0.00388286j 0.193715-0.00113248j 0.0490971-0.0040765j -0.108778+0.000616892j -0.0473132-0.00404867j -0.0142011-0.00168022j 0.110268-0.00311657j -0.00553761+0.00457872j 0.0137672+0.0143611j 0.101733+0.00121285j 0.000640904-0.00461659j 0.109814+0.00644373j -0.0601165+0.0140656j 0.0285453+0.02612j 0.0651597-0.00715789j 
-0.0179474+0.00284699j -0.0114783-0.00292168j 0.0115294+0.00544239j 0.028419-0.00299676j -0.0124995-0.00240642j -0.0339173-0.00260943j -0.0323582+0.00265087j 0.0261501+0.00541941j -0.040885-0.000917154j 0.0465324-5.66821e-16j 0.0324623+0.00284177j -0.0059468-0.00202054j 0.00121226+0.00152017j -0.0122738+0.00200479j -0.0711229-0.00220362j -0.006714-0.00257399j -0.0105097+0.000863453j 0.0155981-0.00156177j -0.0401337-0.00351117j 0.0390814-0.000921574j -0.0872313-0.0026829j -0.0564882+6.27965e-05j 0.0384388+0.00115087j -0.0576727+0.00119573j 0.0596957+0.00224566j 0.0388927+0.00191961j -0.0542641+0.00333573j 0.0747051-0.00233427j -0.0632101-0.00487251j -0.0884961-0.00381527j 0.0594114-0.00504561j -0.0628553+0.00260411j 0.00956956-0.00557648j 0.0964881+0.00549636j -0.0617481+0.00536083j 0.0836348+0.00437138j -0.00794638-0.00641185j -0.0326788-0.000695704j 0.027436-0.00042433j -0.133041+0.000269288j -0.105927+0.00361456j -0.0129249+0.00667945j -0.152459+0.000658979j -0.030928+0.00352768j 0.034513+0.0064904j 0.0958781-0.00155354j 0.0433733+0.00496702j -0.253071-0.00083929j -0.0400835+0.0015798j 0.0369752+0.00186793j -0.240078-6.33383e-05j 0.203592-0.00293005j 0.155457-0.000600415j 0.0267-0.00526942j 0.292021-0.00562799j -0.403637+0.00615831j -0.0304383+0.00257712j -0.142342+0.00111631j 0.104119+0.00162633j -0.16949-0.00333842j -0.0227511-0.00192557j 0.146433+0.00148316j 0.110485-0.0013152j 0.0213369-0.000563713j -0.0148236-0.00301041j 0.0822213+0.00311225j 0.00443267-0.0166605j -0.0956628+0.00217222j -0.0964767+0.0161256j -0.115937-0.00988131j -0.0729224+0.00874867j 0.0427891+0.0318847j 
0.0238068+0.000476842j -0.0162078+0.0033351j 0.0117952+0.000171462j -0.0103501-0.000747002j -0.0156294-0.00346214j -0.00125642-0.00118149j 0.0271071+0.00292454j -0.0212619+0.00261363j -0.0324853-0.000377108j 0.0324623-0.00284177j -0.0327056+1.64625e-15j 0.0116279+0.0041691j 0.059106+0.00441414j 0.0383027-0.000391062j -0.0341624+0.000932433j 0.00997005-0.00221603j -0.0700107+0.00431148j -0.0713781+0.000376914j -0.0123957-0.00102125j -0.0416166+0.00506048j 0.000904303+0.00162508j -0.0888322-0.00059272j -0.0286257-0.000399811j -0.0466017+0.0016087j 0.0724901+0.00172811j 0.0701175-0.000965086j 0.046495-0.00412229j 0.104393-1.82415e-05j -0.105902+0.000880708j 0.0427651+0.000377714j -0.123065-0.00491593j 0.0256402-0.00308075j 0.132055+0.00691286j -0.0967547-0.00380172j 0.097888-0.00126939j -0.0644036+0.000759016j -0.208095-0.00335789j -0.18183-0.00518192j -0.0891722+0.000523168j 0.0787493+0.0119459j 0.0230973-0.00233923j 0.0453767+0.00261254j 0.024048+0.00781339j 0.162614-0.00456923j 0.0759292-0.000215813j -0.0574995+0.00135143j -0.0844101-0.00501746j -0.170695-0.000401921j 0.145286+0.00484333j -0.131472-0.00379231j -0.0847099+0.00332838j 0.0487185+0.0042905j -0.0262944-0.00257298j -0.253289+0.00427091j -0.104849+0.000410257j -0.0123875+0.000252697j 0.130198-0.000266578j -0.187871-0.00242928j 0.148594+0.00270828j 0.109321+0.0102508j -0.149542-0.00672696j -0.0284993+0.00191121j 0.0155941+0.0154495j 0.0271182-0.00629725j 0.0478129-0.0123j -0.0631344+0.00761546j 0.0696661-0.00502728j -0.0641324-0.00505778j 0.0724869+0.0135984j -0.0923183+0.00558488j 0.0390533+0.0221037j 0.0424607-0.00408437j 
