-0.171128-0j 0.0485407-0j -0.0114018-0j -0.00164571-0j 0.0121246-0j 0.00175003-0j -0.00343916-0j -0.0040333-0j -0.0194548-0j -0.000286597-0j 0.00287854-0j -0.0228158-0j -0.000336108-0j 0.000932803-0j 0.0001166-0j 0.0162835-0j 0.000239878-0j -0.00461883-0j -0.000577354-0j 6.87074e-06-0j 0.00215013-0j 0.000268767-0j -6.21033e-05-0j -0.000496827-0j -0.027713-0j -0.00282844-0j 0.00559682-0j 0.000571223-0j -3.40209e-05-0j -0.00101403-0j -0.000126754-0j -0.00298096-0j 1.58372e-05-0j -3.65947e-06-0j 0.0129008-0j -0.00608419-0j -0.000620965-0j 0.00131668-0j -0.000304243-0j -7.46905e-06-0j 
0.207438-0j 0.000427897-0j -0.014662-0j -0.00211628-0j -0.0443313-0j -0.00639867-0j -9.1445e-05-0j -0.0024715-0j -0.000517291-0j -7.62042e-06-0j -0.00348931-0j -0.0139809-0j -0.000205958-0j 0.00361812-0j 0.000452266-0j -0.0197385-0j -0.000290776-0j -4.0716e-05-0j -5.0895e-06-0j 2.665e-05-0j 0.000822281-0j 0.000102785-0j -0.000190408-0j -0.00152327-0j -0.000244296-0j -2.49333e-05-0j 0.0217087-0j 0.00221564-0j -2.99901e-07-0j 0.00122919-0j 0.000153649-0j -0.0091396-0j 6.05667e-06-0j -1.12199e-05-0j 0.00493369-0j 0.00737515-0j 0.000752723-0j 0.000503542-0j -0.000932807-0j 9.05385e-06-0j 
0.254059-0j -0.0357701-0j -0.0184759-0j -0.00266677-0j -0.0180003-0j -0.00259813-0j 0.00253435-0j 0.0014163-0j 0.0143364-0j 0.000211196-0j 0.00214244-0j 0.00801181-0j 0.000118025-0j 0.00151154-0j 0.000188943-0j 0.0121195-0j 0.000178537-0j -0.00170635-0j -0.000213294-0j 1.11336e-05-0j -0.00319212-0j -0.000399015-0j 0.000378335-0j 0.00302668-0j -0.0102381-0j -0.00104492-0j 0.00906927-0j 0.000925628-0j -1.25685e-05-0j -0.00454358-0j -0.000567947-0j 0.0181601-0j -2.35122e-05-0j 2.22936e-05-0j -0.0191527-0j -0.0272615-0j -0.00278236-0j -0.00195477-0j 0.00185346-0j -3.34666e-05-0j 
-0.290353-0j -0.000598931-0j 0.0205225-0j 0.00296217-0j -0.0209072-0j -0.00301769-0j -4.31267e-05-0j 0.00345938-0j -0.000243961-0j -3.59389e-06-0j 0.00488402-0j 0.0195692-0j 0.000288281-0j 0.00170635-0j 0.000213294-0j 0.0276282-0j 0.000407002-0j 5.69905e-05-0j 7.12381e-06-0j 1.25685e-05-0j -0.00122919-0j -0.000153649-0j 0.000266516-0j 0.00213213-0j 0.000341943-0j 3.48994e-05-0j 0.0102381-0j 0.00104492-0j 4.19775e-07-0j 0.00519266-0j 0.000649083-0j 0.0127928-0j -9.05385e-06-0j 1.57046e-05-0j -0.00737515-0j 0.031156-0j 0.00317984-0j -0.000752723-0j 0.00130566-0j 3.82476e-05-0j 
-0.318066-0j -0.000656095-0j 0.0224813-0j 0.00324489-0j 0.0225353-0j 0.00325269-0j 4.6485e-05-0j 0.00378956-0j 0.000262959-0j 3.87375e-06-0j -0.0026822-0j 0.021437-0j 0.000315796-0j -0.00183923-0j -0.000229904-0j -0.0151728-0j -0.000223517-0j -3.1298e-05-0j -3.91225e-06-0j -1.35472e-05-0j 0.00399634-0j 0.000499542-0j 0.000291954-0j 0.00233563-0j -0.000187788-0j -1.9166e-05-0j -0.0110354-0j -0.0011263-0j -2.30531e-07-0j -0.00188472-0j -0.000235591-0j 0.0140138-0j 2.94358e-05-0j 1.72035e-05-0j 0.023978-0j -0.0113083-0j -0.00115415-0j 0.00244725-0j 0.00143028-0j -1.38823e-05-0j 
0.0546762-0j -0.0311308-0j 0.0420735-0j 0.00607279-0j 0.00393702-0j 0.00056826-0j -0.0022416-0j -0.00431225-0j -0.0126804-0j -0.0001868-0j -0.000919706-0j -0.0243937-0j -0.000359354-0j 0.00349822-0j 0.000437278-0j -0.00520264-0j -7.66422e-05-0j 0.00296221-0j 0.000370276-0j 2.57669e-05-0j 0.000231468-0j 2.89335e-05-0j -0.000318746-0j -0.00254997-0j 0.0177732-0j 0.00181397-0j 0.0209893-0j 0.00214222-0j 2.18187e-05-0j 0.000323988-0j 4.04985e-05-0j -0.0152998-0j 1.70492e-06-0j -1.87823e-05-0j 0.00138881-0j 0.00194393-0j 0.000198401-0j 0.000141745-0j -0.00156153-0j 2.3864e-06-0j 
-0.0276214-0j 0.0196726-0j -0.0368201-0j -0.00531453-0j 0.001957-0j 0.000282469-0j -0.00139382-0j 0.00743766-0j -0.00788466-0j -0.000116152-0j -0.000232927-0j 0.0420738-0j 0.000619805-0j 0.00301232-0j 0.00037654-0j -0.00131763-0j -1.94106e-05-0j 0.00093845-0j 0.000117306-0j 2.21878e-05-0j 0.000347049-0j 4.33811e-05-0j -0.000279092-0j -0.00223274-0j 0.0056307-0j 0.000574681-0j 0.0180739-0j 0.00184466-0j 6.91233e-06-0j -0.000163673-0j -2.04591e-05-0j -0.0133964-0j 2.55626e-06-0j -1.64457e-05-0j 0.00208229-0j -0.000982036-0j -0.000100229-0j 0.000212523-0j -0.00136727-0j -1.20556e-06-0j 
0.169373-0j -0.0238467-0j -0.0123173-0j -0.00177784-0j 0.0121959-0j 0.00176032-0j -0.00171711-0j 0.0009442-0j -0.00971344-0j -0.000143092-0j -0.00712632-0j 0.0053412-0j 7.86834e-05-0j -0.00102412-0j -0.000128016-0j -0.0403125-0j -0.00059386-0j 0.00567578-0j 0.000709473-0j -7.54339e-06-0j 0.000717028-0j 8.96286e-05-0j 0.000252224-0j 0.00201779-0j 0.0340547-0j 0.00347569-0j -0.00614475-0j -0.000627146-0j 4.18061e-05-0j 0.00100363-0j 0.000125454-0j 0.0121067-0j 5.28141e-06-0j 1.48624e-05-0j 0.00430217-0j 0.00602178-0j 0.000614596-0j 0.000439088-0j 0.00123564-0j 7.39244e-06-0j 
-0.167636-0j -0.0242937-0j -0.0121959-0j -0.00176032-0j 0.0118771-0j 0.00171432-0j 0.00172124-0j -0.00102042-0j 0.00973678-0j 0.000143436-0j 0.00705323-0j -0.00577238-0j -8.50352e-05-0j 0.000997765-0j 0.000124721-0j 0.0398991-0j 0.000587769-0j 0.00578217-0j 0.000722771-0j 7.34923e-06-0j 0.00210625-0j 0.000263282-0j -5.22833e-05-0j -0.000418267-0j 0.034693-0j 0.00354084-0j 0.00598659-0j 0.000611004-0j 4.25897e-05-0j -0.000993337-0j -0.000124167-0j -0.0025096-0j 1.5514e-05-0j -3.08082e-06-0j 0.0126375-0j -0.00596002-0j -0.000608292-0j 0.00128981-0j -0.000256135-0j -7.31662e-06-0j 
-0.104794-0j 0.0446956-0j -0.0364023-0j -0.00525421-0j -0.00754581-0j -0.00108914-0j 0.00321835-0j -0.000742245-0j 0.0182058-0j 0.000268196-0j -0.000883712-0j -0.00419877-0j -6.18538e-05-0j -0.00302668-0j -0.000378335-0j -0.00499903-0j -7.36427e-05-0j 0.00213213-0j 0.000266516-0j -2.22936e-05-0j -0.000443639-0j -5.54548e-05-0j 0.000460961-0j 0.00368769-0j 0.0127928-0j 0.00130566-0j -0.0181601-0j -0.00185346-0j 1.57046e-05-0j 0.00187413-0j 0.000234266-0j 0.0221261-0j -3.26771e-06-0j 2.71624e-05-0j -0.00266183-0j 0.0112448-0j 0.00114767-0j -0.000271672-0j 0.00225824-0j 1.38043e-05-0j 
0.0748685-0j -0.031932-0j 0.026007-0j 0.00375379-0j -0.016-0j -0.0023094-0j 0.00682414-0j 0.000530286-0j 0.0386032-0j 0.000568678-0j 0.000631354-0j 0.00299975-0j 4.41905e-05-0j -0.00641773-0j -0.000802216-0j 0.00357148-0j 5.26129e-05-0j -0.00152327-0j -0.000190408-0j -4.7271e-05-0j 0.000296777-0j 3.70971e-05-0j -0.000329327-0j -0.00263461-0j -0.0091396-0j -0.000932807-0j -0.0385064-0j -0.00393004-0j -1.12199e-05-0j 0.000443639-0j 5.54548e-05-0j -0.0158077-0j 2.18597e-06-0j -1.94058e-05-0j 0.00178066-0j 0.00266183-0j 0.000271672-0j 0.000181738-0j -0.00161336-0j 3.26771e-06-0j 
-0.177804-0j -0.0257674-0j -0.0129357-0j -0.0018671-0j 0.0379982-0j 0.00548457-0j 0.0055067-0j -0.00108232-0j 0.0311506-0j 0.000458892-0j -0.0014994-0j -0.00612254-0j -9.01935e-05-0j 0.00319212-0j 0.000399015-0j -0.00848187-0j -0.00012495-0j -0.00122919-0j -0.000153649-0j 2.35122e-05-0j -0.000704812-0j -8.81015e-05-0j -5.54548e-05-0j -0.000443639-0j -0.00737515-0j -0.000752723-0j 0.0191527-0j 0.00195477-0j -9.05385e-06-0j 0.00317984-0j 0.00039748-0j -0.00266183-0j -5.19143e-06-0j -3.26771e-06-0j -0.00422887-0j 0.0190791-0j 0.00194725-0j -0.000431608-0j -0.000271672-0j 2.34218e-05-0j 
