-0.103211-0j -0.102152-0j 0.700263-0j 0.408487-0j 0.565898-0j -0.00743182-0j 0.102555-0j -0.00849351-0j 0.117205-0j 0.0294135-0j -0.00520119-0j 0.0717734-0j 0.0356546-0j 0.0423017-0j -0.00306547-0j 0.0411704-0j 0.0407481-0j -0.00728015-0j 0.100462-0j 0.049906-0j 0.00745702-0j -0.00492352-0j -0.00351753-0j 0.0104377-0j -0.00487302-0j -0.00426389-0j 0.0103306-0j 0.00939777-0j 0.00903927-0j -0.0059682-0j 0.0126523-0j 0.0441795-0j 0.00238255-0j -0.00528337-0j -0.00112387-0j 0.0112005-0j 
-0.0711897-0j 0.0725241-0j 0.0001496-0j -0.0120001-0j 0.00849351-0j 0.493202-0j -0.000739888-0j -0.00825812-0j 1.23886e-05-0j 0.0831365-0j -0.355283-0j 0.000532986-0j -0.000732866-0j -0.000924507-0j 0.616267-0j 0.0577603-0j -0.058843-0j -0.497293-0j 0.000746025-0j -0.0010258-0j -7.20066e-05-0j -0.00339599-0j -0.00488797-0j -5.00276e-05-0j 0.00345965-0j 4.30885e-05-0j 5.09654e-05-0j 0.0533182-0j 6.34754e-07-0j 6.03113e-05-0j 8.8847e-07-0j -0.0637981-0j -4.61802e-05-0j 0.00375098-0j -0.00313482-0j 5.52572e-05-0j 
0.0102753-0j -0.010468-0j 0.00206439-0j -0.165594-0j 0.117205-0j 0.000739888-0j 0.477801-0j -1.23886e-05-0j -0.00800025-0j -0.0119238-0j -0.000532986-0j -0.344189-0j 0.000105111-0j 0.597023-0j 0.000924507-0j -0.00828422-0j 0.00843951-0j -0.000746025-0j -0.481765-0j 0.000147124-0j 0.142492-0j 0.000490169-0j 0.000705518-0j 0.0989981-0j -0.000499357-0j -6.21929e-06-0j -0.100854-0j -0.00764711-0j -0.00125609-0j -8.70519e-06-0j -0.00175816-0j 0.00915019-0j 0.0913846-0j -0.000541407-0j 0.000452472-0j -0.109347-0j 
-0.0075058-0j 0.00743182-0j 0.0494954-0j -0.0272164-0j -0.0411704-0j 0.0520001-0j 0.00745807-0j 0.0577603-0j 0.00828422-0j 0.188555-0j -0.0364073-0j -0.00522168-0j -0.24247-0j -0.0146943-0j -0.102454-0j -0.288067-0j 0.285228-0j -0.0509595-0j -0.00730883-0j -0.339387-0j -0.000496843-0j -0.000358052-0j 0.000234364-0j 0.000759056-0j 0.000354523-0j -0.000301377-0j -0.000751575-0j 0.695783-0j 0.000638907-0j -0.00042184-0j 0.000894283-0j 0.309247-0j -0.00183338-0j 0.000384377-0j 0.000864821-0j -0.000814865-0j 
-0.00743182-0j 0.00723761-0j -0.0496144-0j 0.0294135-0j 0.0407481-0j -0.0506617-0j -0.00726611-0j 0.058843-0j 0.00843951-0j 0.200508-0j -0.106945-0j -0.0153386-0j 0.73312-0j 0.00304598-0j 0.0212376-0j -0.285228-0j 0.277774-0j 0.0504369-0j 0.00723386-0j -0.345749-0j -0.000528338-0j -0.000354523-0j 0.000249221-0j 0.000751575-0j 0.000345258-0j 0.000911228-0j -0.000731934-0j -0.0651077-0j -0.00193177-0j -0.000429747-0j 0.000911046-0j -0.306075-0j 0.000171558-0j -0.000380435-0j -8.09253e-05-0j 0.000806507-0j 
0.000625483-0j -0.000619319-0j -0.0125483-0j 0.00690001-0j 0.0104377-0j 4.50386e-05-0j 0.0891254-0j 5.00276e-05-0j 0.0989981-0j 0.000496843-0j -3.15332e-05-0j -0.0624001-0j -0.000638907-0j -0.1756-0j -8.87376e-05-0j -0.000759056-0j 0.000751575-0j -4.41373e-05-0j -0.0873419-0j -0.000894283-0j 0.182585-0j 2.98377e-05-0j -1.95303e-05-0j -0.278945-0j -2.95436e-05-0j 2.51147e-05-0j 0.276196-0j 0.00183338-0j -0.234792-0j 3.51533e-05-0j -0.32864-0j 0.000814865-0j 0.673751-0j -3.20315e-05-0j -7.20684e-05-0j 0.299455-0j 
0.0420407-0j -0.0409421-0j -0.00593332-0j 0.00351753-0j 0.00487302-0j -0.00297863-0j -0.000429928-0j 0.00345965-0j 0.000499357-0j -0.000249221-0j -0.00628781-0j -0.000907567-0j -0.000911228-0j 0.000180227-0j 0.00124865-0j 0.000354523-0j -0.000345258-0j 0.00296541-0j 0.00042802-0j 0.000429747-0j -2.07684e-05-0j -0.29228-0j 0.205465-0j 2.95436e-05-0j 0.284641-0j 0.751244-0j -2.87715e-05-0j 8.09253e-05-0j -7.59357e-05-0j -0.354297-0j 3.58123e-05-0j 0.000380435-0j 6.74378e-06-0j -0.313642-0j -0.0667173-0j 3.17029e-05-0j 
0.0424592-0j -0.0420407-0j 0.0059191-0j -0.00325478-0j -0.00492352-0j 0.00305732-0j 0.000441286-0j 0.00339599-0j 0.000490169-0j -0.000234364-0j -0.00214055-0j -0.000308961-0j 0.000301377-0j -0.000869448-0j -0.00602371-0j 0.000358052-0j -0.000354523-0j -0.00299614-0j -0.000432456-0j 0.00042184-0j -1.95303e-05-0j -0.295189-0j 0.193217-0j 2.98377e-05-0j 0.29228-0j -0.248464-0j -2.95436e-05-0j -0.000864821-0j 2.51147e-05-0j -0.347778-0j 3.51533e-05-0j -0.000384377-0j -7.20684e-05-0j 0.316892-0j 0.712984-0j -3.20315e-05-0j 
0.000619319-0j -0.000603134-0j 0.0125784-0j -0.00745702-0j -0.0103306-0j -4.38794e-05-0j -0.0868315-0j 5.09654e-05-0j 0.100854-0j 0.000528338-0j -9.26281e-05-0j -0.183299-0j 0.00193177-0j 0.0364001-0j 1.83944e-05-0j -0.000751575-0j 0.000731934-0j 4.36846e-05-0j 0.0864461-0j -0.000911046-0j 0.194159-0j 2.95436e-05-0j -2.07684e-05-0j -0.276196-0j -2.87715e-05-0j -7.59357e-05-0j 0.268978-0j -0.000171558-0j 0.709905-0j 3.58123e-05-0j -0.334801-0j -0.000806507-0j -0.063046-0j 3.17029e-05-0j 6.74378e-06-0j -0.296383-0j 
-0.0059191-0j -0.00593332-0j 0.000578938-0j 0.0471962-0j -0.0334049-0j 0.000419374-0j -0.00578712-0j 7.13644e-06-0j -9.84786e-05-0j -0.0033439-0j -0.000911228-0j 0.0125744-0j 8.89122e-05-0j 0.00734902-0j -0.000532561-0j 0.0023611-0j 0.00236677-0j 0.000429747-0j -0.00593025-0j -4.19322e-05-0j -0.000847758-0j 0.0411513-0j -0.0582805-0j 0.000598594-0j 0.0412502-0j 0.00154964-0j 0.000600033-0j 0.00217952-0j 2.25413e-05-0j -0.000730831-0j -1.06308e-05-0j -0.00260791-0j 0.000552559-0j -0.045453-0j 0.0379866-0j -0.000661167-0j 
0.000739888-0j 0.000741665-0j -0.000146264-0j -0.0119238-0j 0.00843951-0j 0.00504371-0j -0.0338527-0j 8.58281e-05-0j -0.000576067-0j -0.0812827-0j -0.0109591-0j 0.0735561-0j 0.00216126-0j 0.0429893-0j -0.00640498-0j 0.057393-0j 0.0575309-0j 0.00516846-0j -0.03469-0j -0.00101928-0j -0.0100957-0j 3.52951e-05-0j -4.99867e-05-0j 0.00712847-0j 3.538e-05-0j 1.32911e-06-0j 0.0071456-0j 0.0529792-0j 0.000268437-0j -6.26827e-07-0j -0.000126599-0j -0.0633925-0j 0.00658025-0j -3.89846e-05-0j 3.25807e-05-0j -0.00787362-0j 
