-0.0102514-0j -0.582018-0j 0.822306-0j -0.00120057-0j 0.0717018-0j -0.0722966-0j -0.0516512-0j 0.0895931-0j -0.00604903-0j -0.000105452-0j -7.53382e-05-0j 0.00593772-0j 0.00854638-0j -0.0419089-0j -0.000730589-0j -0.000521958-0j 0.0411378-0j 0.0592111-0j -0.045438-0j -0.00655841-0j 0.00548108-0j 0.037974-0j 
-0.0718741-0j 0.0590299-0j 0.0426101-0j -0.404655-0j 0.348393-0j -0.346847-0j 0.735449-0j -0.146048-0j 0.0577137-0j -0.0718369-0j 0.152322-0j -0.0592624-0j 0.04166-0j -0.00418233-0j 0.0052058-0j -0.0110383-0j 0.00429456-0j -0.00301897-0j 0.00460845-0j -0.0635939-0j -0.0135276-0j 0.0009803-0j 
0.0717018-0j -0.0596417-0j -0.0394272-0j -0.397209-0j -0.357597-0j 0.350441-0j 0.250367-0j 0.704559-0j 0.0592624-0j -0.0705151-0j -0.0503784-0j -0.0598523-0j 0.0391765-0j -0.00429456-0j 0.00511001-0j 0.00365077-0j 0.00433731-0j -0.002839-0j -0.00465621-0j 0.0642529-0j 0.144564-0j -0.0104761-0j 
-0.000104835-0j 0.00604903-0j -0.00854638-0j -0.00119293-0j -0.070103-0j -0.0718369-0j 0.152322-0j 0.0890234-0j -0.276766-0j 0.00490347-0j -0.0103972-0j -0.276103-0j 0.39103-0j -0.00042858-0j 7.59315e-06-0j -1.61004e-05-0j -0.000427552-0j 0.00060552-0j 0.000472246-0j 0.304964-0j -0.254869-0j -0.000394671-0j 
0.00072632-0j -0.0419089-0j 0.0592111-0j -8.64482e-05-0j -0.00508015-0j -0.0052058-0j 0.0110383-0j 0.00645125-0j 0.00042858-0j -7.59315e-06-0j 1.61004e-05-0j 0.000427552-0j -0.00060552-0j -0.285687-0j 0.00506152-0j -0.0107324-0j -0.285002-0j 0.403634-0j 0.314794-0j -0.000472246-0j 0.000394671-0j -0.263084-0j 
0.00854638-0j -0.0035286-0j -0.00986206-0j -0.0956904-0j 0.0391765-0j 0.0419049-0j 0.0299383-0j 0.0205314-0j -0.164079-0j 0.393329-0j 0.281007-0j -0.151823-0j -0.458583-0j -0.000254081-0j 0.00060908-0j 0.000435148-0j -0.000235102-0j -0.000710128-0j -0.000275477-0j -0.177896-0j 0.490299-0j 0.000759241-0j 
0.0419089-0j -0.0675553-0j 0.0244468-0j -0.00979011-0j 0.00429456-0j 0.00420692-0j 0.00300557-0j 0.00177142-0j -0.000702115-0j 0.000431099-0j 0.000307992-0j -0.000709391-0j 0.000254081-0j 0.468023-0j -0.287366-0j -0.205305-0j 0.472873-0j -0.169368-0j -0.254392-0j 0.000381632-0j 8.118e-05-0j -0.0541138-0j 
-0.00604903-0j 0.00975077-0j -0.0035286-0j -0.135098-0j 0.0592624-0j 0.058053-0j 0.0414751-0j 0.0244445-0j 0.453408-0j -0.278393-0j -0.198894-0j 0.458107-0j -0.164079-0j 0.000702115-0j -0.000431099-0j -0.000307992-0j 0.000709391-0j -0.000254081-0j -0.000381632-0j -0.246448-0j -0.052424-0j -8.118e-05-0j 
-0.0592111-0j 0.0244468-0j 0.0683264-0j -0.00693438-0j 0.002839-0j 0.00303672-0j 0.00216953-0j 0.00148784-0j 0.000254081-0j -0.00060908-0j -0.000435148-0j 0.000235102-0j 0.000710128-0j -0.169368-0j 0.406007-0j 0.290065-0j -0.156716-0j -0.473365-0j -0.18363-0j 0.000275477-0j -0.000759241-0j 0.506103-0j 
8.64482e-05-0j -0.00979011-0j -0.00693438-0j 0.000955261-0j 0.0286015-0j -0.0288388-0j -0.0206034-0j 0.0357382-0j 0.00972786-0j -8.50174e-05-0j -6.07394e-05-0j -0.00954887-0j 0.00689029-0j 0.0678258-0j -0.00059277-0j -0.000423495-0j -0.0665779-0j 0.0480414-0j -0.0368665-0j -0.00528754-0j 0.00441897-0j 0.0308105-0j 
-0.00508015-0j -0.00429456-0j -0.002839-0j -0.0286015-0j 0.0253361-0j 0.0252339-0j -0.0535056-0j 0.0507325-0j -0.0041988-0j -0.00507752-0j 0.0107663-0j -0.00430973-0j -0.0027757-0j -0.0292754-0j -0.0354021-0j 0.0750661-0j -0.0300489-0j -0.0193531-0j 0.0322582-0j 0.0046266-0j 0.0104095-0j 0.0725785-0j 
