-0.104967-0.0713467j -0.0528173-0.0521745j 0.0070122+0.00254083j -0.147979+0.0415841j 0.0216607+0.0231299j -0.0425104+0.0253763j 0.0809143-0.0868183j -0.0304107+0.0153435j -0.0119406+0.0635065j 0.00656708-0.0265741j 0.0285774-0.0122252j -0.0421654+0.0597285j 0.0088544+0.0280348j 0.00914346+0.0265648j -0.0167256-0.0445648j -0.00354151-0.0653126j 0.000870983+0.00208212j -0.0142934-0.023636j -0.00192235-0.00796246j -0.0144211-0.0113125j 0.00217537+0.0252816j 0.0217312-0.0514171j -0.00350877-0.025708j 0.00381015+0.0216825j -0.00172504-0.00615852j 0.013616-0.00573846j -0.0256054-0.0161839j -0.00900786+0.0175096j 0.0115452+0.033168j 0.0233168+0.0446842j 0.0127906-0.0298513j -0.0115036+0.0420566j -0.0202496-0.0222979j 0.0164691+0.0122202j -0.029814-0.00415842j 0.0211719+0.0236322j -0.00126702-0.0136832j -0.0202711-0.00395566j -0.00707118-0.0178887j 0.0199135+0.0154834j -0.013311-0.0201542j 0.0306284+0.0405875j 0.0211905+0.046081j 0.0155612+0.00162445j -0.0215128+0.0498598j 0.00872373+0.0475187j -0.000196291+0.0235672j 0.02897+0.000718333j 0.0702354+0.0101357j 0.0159961-0.0230544j 0.039889+0.0119427j -0.018507-0.00357558j 0.0186915+0.00291884j 0.023363+0.024067j 0.01904-0.0278744j 0.0336229+0.0461933j 0.0106301-0.0517411j -0.0551848-0.000329764j 0.0438955+0.0745209j -0.00992277+0.0317842j 0.00228636+0.0404761j 0.0386855+0.0820289j -0.0352843-0.0375644j -0.0941563-0.0284824j -0.0867504+0.078641j -0.235842-0.153862j 0.0488679-0.212618j 0.178342-0.120297j 0.025306-0.0621565j -0.138364+0.0847177j -0.121444-0.0227445j -0.0654674-0.207266j 0.0190552+0.0102387j 0.0424553-0.106355j 0.0569673+0.15079j 0.0154356+0.0558001j 0.157965+0.152621j 
0.0529509+0.0523917j -0.105674-0.0575408j -0.146562+0.0560896j -0.00242339-0.0326002j -0.0499214+0.0116562j -0.0521517+0.0190031j 0.00240415+0.0345631j 0.0603238-0.0815813j -0.0229421+0.0209897j 0.016482+0.0204956j 0.0245888-0.00494626j 0.0104582-0.0340187j -0.0242421+0.071354j 0.00709889-0.0219832j 0.0204476-0.0516702j 0.0195511-0.00635591j 0.00592166-0.0210289j -0.00207769+0.00754871j 0.0199795+0.0125321j 0.0358496+0.003568j 0.00332941-0.0435828j 0.00731981+0.00326277j 0.0191014+0.00443152j 0.00952415-0.0100986j 0.0142883-0.0114773j -0.0230483-0.0164466j 0.0283578-0.000789705j -0.00881848-0.0324069j -0.00562961+0.0372926j -0.00289423-0.0101161j 0.0239576+0.020804j -0.0203416-0.0118345j -0.00568512+0.00788816j -0.0115111+0.00292566j -0.0142217-0.0304282j -0.0140648-0.0265853j -0.0154409-0.0336847j -0.0387696+0.0249752j -0.0180572-0.0445282j 0.00944538+0.0108784j -0.0104449+0.0109476j 0.0181709+0.0289442j -0.0137685+0.0144307j -0.00589726+0.000203218j -0.0238432-0.0323014j 0.0223916-0.00981413j -0.0104224-0.0159646j 0.016108+0.0287401j 0.0307459+0.0421084j -0.0187044-0.0251034j -0.0327798-0.0194223j 0.0176439-0.0155528j 0.00133312+0.000237009j -0.0365496-0.00520214j 0.0262456+0.00955789j -0.00549208-0.0599371j -0.032292-0.040599j -0.0460419-0.0648582j -0.00648875+0.0267514j 0.0235333-0.0257775j 0.071768+0.0511199j 0.02168-0.0466791j 0.00583401-0.0372869j 0.0275694+0.0866284j 0.0836775+0.140712j -0.108248+0.122574j -0.317857-0.016477j 0.0154698-0.158967j 0.00442969+0.0863777j 0.0984935+0.0555542j -0.0537679+0.255412j -0.0490084+0.0081084j 0.101222+0.0808733j -0.0477849-0.177423j 0.0439369-0.141725j 0.157011+0.167406j -0.0159752-0.0618497j 
-0.0121023+0.0279857j -0.0381085-0.100225j -0.0412322+0.0351888j 0.0210742-0.0406869j 0.0641635-0.0314483j -0.0767183-0.0080008j -0.0504664+0.0966647j 0.0091618+0.0419551j 0.0772406-0.0185023j 0.0196912+0.00407677j 0.0483235-0.034043j -0.0302797-0.0261862j 0.0282523-0.0850609j 0.077849-0.0854592j -0.0574557-0.00689826j 0.00648909+0.0214314j -0.00612405-0.0433079j -0.0312335-0.0179412j 0.0283457+0.0163728j -0.00861341-0.0432386j 0.0322-0.0566519j 0.0114416-0.00490437j -0.00551573-0.0332648j 0.0124025-0.0293488j 0.00653748-0.0470514j 0.0232726-0.00404664j 0.0174243-0.0840724j 0.0369944+0.0144296j -0.0509911+0.0592727j -0.0312317+0.00993063j -0.0128933-0.0427806j -0.0226793-0.0250608j 0.0297351+0.0254395j -0.00406092+0.0340932j 0.0304085+0.0148179j -0.00784848-0.0204051j 0.00928324+0.032978j 0.0321111+0.0559188j -0.00394915-0.047175j -0.0190842-0.00959567j 0.00255965+0.00305698j -0.0253559-0.0170166j -0.0274452-0.0105988j -0.00845297+0.00545806j 0.0445827+0.020312j 0.0351053-0.0146593j 0.0292689+0.00474464j -0.0406849+0.0185114j -0.028667+0.0118323j 0.0349798-0.0711037j 0.000956472-0.0195308j 0.0339838-0.0280392j 0.0626575-0.0145919j 0.0801003-0.00898107j 0.0118518+0.0151971j -0.144512-0.128182j -0.00952664-0.011792j -0.0974858+0.0852056j 0.00652434-0.0422877j -0.107851+0.106785j 0.0237397-0.0452782j 0.00788878+0.0115174j -0.0121248+0.125123j -0.22631-0.0592395j -0.206435-0.0237774j 0.103306-0.143321j -0.0741908+0.00055852j -0.0702473-0.0851558j -0.00687734+0.0528582j -0.0291364-0.0230382j -0.0300635+0.169788j 0.00569158-0.0280131j -0.210166-0.161085j -0.0207145-0.0246469j -0.180951-0.0132371j -0.409825+0.216469j -0.0832139-0.322987j 
0.0351795+0.12072j -0.0127023+0.00654854j 0.0171852-0.029861j 0.0277404+0.030815j -0.0626327+0.0148551j -0.046886-0.0376234j -0.0612534-0.0699226j -0.0810129+0.00319063j -0.0538617+0.0308525j 0.0434542+0.0269933j 0.0147154-0.00602786j 0.0810225-0.00412863j 0.0211158+0.0101916j 0.00577727+0.0455445j 0.0422275-0.0593015j -0.0237394+0.0123763j 0.0033658+0.00180882j 0.0140469-0.00198999j -0.00543642+0.0197898j 0.0242858-0.0322877j 0.0241979+0.00216557j -0.0406071-0.0183292j 0.0213055-0.0270231j 0.00196692-0.0572445j 0.00587132-0.0400352j -0.0221905-0.0130177j 0.0462247-0.083663j 0.00877159+0.0107622j 0.00176627+0.0137378j -0.0109788+0.00638802j -0.0109876-0.0295154j 0.0118848-0.00350968j -0.0234644+0.0216962j 0.00384638-0.0118126j 0.0157201+0.0135331j 0.0109-0.0432303j -0.0159297+0.0252714j 0.0143317-0.0194822j -0.016652+0.0327392j -0.0213445-0.00583555j -0.027812+0.0397246j 0.0135909-0.0515055j -0.0511672-0.0599065j 0.00403935+0.00905195j -0.0406912-0.0903528j -0.0244575-0.0622389j -0.0145924-0.017541j 0.0178118+0.0122263j 0.0986452-0.0154791j 0.0340998+0.00134697j 0.0213357-0.0287273j -0.110686-0.00054164j 0.0694854-0.00476766j 0.0661417-0.0210799j 0.0456545+0.0100832j -0.15778+0.00439424j 0.0181623+0.0701411j 0.131467+0.122079j 0.0260856-0.0109464j 0.123176+0.0336856j -0.0414811-0.125628j 0.115001-0.0205027j 0.0953459-0.0820169j -0.0206784+0.0610145j -0.0556096+0.268674j -0.0818253+0.000282394j 0.00302533+0.06272j -0.12873+0.0559224j 0.203906+0.0278448j 0.00937621-0.160017j -0.00563006-0.145482j -0.15187-0.0247803j -0.071318+0.19124j 0.125025-0.00388924j -0.0412316+0.12305j -0.0749115-0.35248j 0.422206-0.183518j 
-0.0394127+0.00228878j -0.00950497-0.0668061j 0.0261149+0.0243892j -0.0381236-0.00385466j -0.0303171+0.0241965j -0.10263-0.0865785j -0.050879-0.0775286j -0.0893292-0.0325219j -0.0781415+0.00852162j -0.0104829+0.0464266j 0.0276147+0.0273427j 0.0772441+0.0236759j 0.00183667+0.034142j 0.00824561+0.0139715j 0.0708074+0.0526727j -0.0167054+0.00163632j -0.0207815+0.0196392j -0.0306814+0.055455j -0.0107722+0.025808j -0.0534961+0.0784739j 0.014658-0.0196994j -0.027741-0.00425512j 0.0439081+0.0601751j -0.0635572+0.00689122j -0.0643158+0.0326233j 0.0347905-0.0528944j -0.0452349+0.00354535j 0.0131243-0.0802416j 0.0513089+0.0570763j 0.0096034+0.0293642j -0.0661633-0.0222467j 0.0636309+0.0777734j -0.0597094+0.0100591j 0.0284522-0.0200773j 0.0528052-0.0308342j 0.0775426-0.0388646j -0.00013044-0.0688051j 0.0278297+0.049253j 0.0456813-0.0299243j -0.0517975+0.0171116j -0.00535755+0.0746445j -0.0418965+0.0210107j -0.106302+0.000898766j 0.0255917+0.0815646j -0.0274522-0.0243765j -0.0229108-0.029633j 0.0333062+0.0429724j -0.0357947+0.0245869j 0.039886-0.0398131j -0.0032943-0.00596725j 0.0232686+0.00615696j 0.00463737+0.0432639j 0.0385935+0.0226245j -0.164049-0.00169465j 0.0787081-0.0401968j 0.102493-0.0281154j -0.0384291-0.00389496j -0.0760196-0.0212727j 0.00924973+0.0297255j 0.00453968+0.0485732j 0.0101549+0.0510978j 0.055592+0.305539j 0.0711771+0.0504026j -0.161363-0.0358955j -0.0365618+0.00868379j 0.0105143+0.10047j -0.0517362+0.138483j -0.0904936-0.0313603j -0.115166-0.0521227j -0.00450811-0.093219j -0.0606854-0.0677531j 0.0710201-0.0476866j 0.21089+0.0552368j -0.203936+0.379663j 0.260017+0.270146j -0.113344-0.0580063j 0.079808-0.0049964j 
0.00652484+0.0425792j -0.0389369-0.0397846j -0.0544307-0.0458975j -0.0294882-0.051276j -0.0946614-0.0561214j 0.0670047+0.0610167j 0.03049+0.0165683j 0.0117851-0.0157588j -0.00564216+0.00905843j -0.0336689-0.00421216j 0.0364879+0.00537827j 0.0593368-0.0602153j -0.00670733-0.00895889j -0.0503129+0.0324205j -0.0278251-0.0287575j -0.0227989-0.013622j 0.0327686-0.0110448j -0.073595+0.00619392j 0.00287752-0.035178j 0.00262868+0.0172379j -0.0370934+0.0163448j -0.0393341+0.0950942j -0.00959785-0.0147792j 0.00635067+0.0112764j -0.00476679-0.0407562j -0.0363023+0.0614975j -0.0241131-0.0111716j 0.00680164-0.0229935j 0.0324559-0.0113068j 0.0656367-0.0196408j -0.0119795+0.0406869j -0.0104037+0.0259197j 0.00701424-0.00829491j -0.0198879-0.0450652j -0.0124169-0.0129842j -0.00444373-0.0119773j 0.038544-0.0682015j -0.0563358-0.0125278j -0.000769509-0.0186657j -0.0100241-1.62789e-05j -0.034991-0.00431773j 0.0508252+0.0604042j -0.0496818+0.0194372j 0.0334133-0.0250576j -0.0661288-0.0122099j -0.0489135-0.0160758j -0.0715698-0.0145237j 0.089337-0.0481841j -0.096924-0.139208j -0.0196067-0.0809325j -0.0535173-0.0211805j -0.020629-0.0330443j -0.020752-0.145762j -0.0179609+0.0926056j -0.00366302-0.0241783j -0.0479811-0.109107j 0.0864415+0.0510487j -0.0030921+0.0348838j 0.125321+0.0373138j 0.15228+0.143101j 0.0839124+0.246918j 0.22739-0.0501994j -0.0927933-0.10666j -0.00554687+0.0624893j 0.00475025-0.0628138j 0.0699544-0.0935061j 0.0170092-0.00948658j -0.114579+0.0629958j -0.0299846+0.0745912j -0.0460545-0.0103244j -0.0437394+0.0586633j 0.125155-0.118048j 0.105317-0.166149j -0.236969-0.168032j -0.0694716+0.228398j 0.0829785+0.0779528j 0.0604241+0.0582869j 
0.00839129+0.0950838j -0.00594127-0.0112986j 0.00174609-0.0298456j 0.056316+0.0786109j 0.0185339+0.0826064j 0.0166085-0.0594446j 0.016751-0.0673412j 0.0108561-0.0504718j 0.0379099+0.00399291j 0.0736491+0.0504916j -0.026643+0.0843054j 0.00449503+0.068465j 0.0120199+0.0580852j -0.0440216+0.0108364j -0.00830408+0.0379145j 0.0312515+0.0387892j -0.047647+0.0261351j 0.0425633+0.015563j 0.0928347+0.02068j 0.00423807+0.0772338j 0.00897189+0.0115874j -0.0880986+0.0421881j 0.0077352+0.0603939j -0.029094-0.0179103j -0.0011684+0.012872j -0.0653147-0.0139647j -0.00711669-0.0443008j -0.0022777-0.0652605j 0.0343992+0.0164903j 0.0229169-0.0222646j -0.00779935+0.0303504j 0.0560695+0.00772372j -0.0238219+0.0257767j 0.0185613+0.0117176j 0.0449354-0.00631943j 0.032053-0.0572244j 0.0190303+0.0507645j -0.0687209-0.116381j 0.036679+0.0187504j -0.00261986+0.0373251j -0.0688806+0.0105719j -0.00325579+0.013753j -0.0431518+0.0749693j -0.0543737-0.00239414j -0.063658+0.0419358j -0.00306098+0.0442932j -0.0506033+0.0945419j -0.0638078-0.0232181j 0.00463225-0.0982683j -0.0122957-0.0337073j -0.0384145+0.0360489j 0.0366128-0.136421j -0.096629-0.0737427j 0.00115471-0.0245541j -0.0293876+0.0192437j -0.0106068-0.159752j -0.104315-0.222703j 0.0498519+0.0876255j 0.120133+0.0116543j 0.052682-0.0720089j 0.155681-0.127412j -0.187323-0.0908804j -0.118588+0.0561203j -0.0315383+0.0351379j -0.132815+0.128356j 0.044863+0.103645j 0.119841+0.0548834j -0.0127678+0.0267699j -0.0397282+0.0370407j 0.061916-0.103903j -0.179004+0.014319j 0.0906953-0.219157j 0.116133+0.127858j -0.189282+0.0739625j -0.0979487+0.143407j -0.0207716+0.00228543j -0.0154703-0.102717j 
0.0181794-0.00316844j -0.0159645+0.0965759j 0.0485618-0.0219291j -0.0199587-0.0610282j -0.0161236-0.0736114j 0.0272105+0.0363914j 0.0436854-0.00344661j -0.00427983+0.00473449j -0.0109203-0.0212216j 0.0292355-0.0171478j -0.0345546-0.0415304j -0.0779201-0.0245425j -0.0200734+0.0145417j 0.0163023-0.016743j -0.00462553-0.0496958j 0.0094879+0.0630452j 0.0167802-0.0123113j 0.0367034-0.05042j -0.0900338+0.0295467j 0.043982-0.0241822j -0.0143875+0.00505398j 0.0344686-0.0272205j -0.0557824+0.00603463j 0.0788752-0.0146923j 0.0221581+0.0156853j 0.0252403-0.00423258j 0.0309469+0.0200364j 0.00460458+0.023438j -0.0235678-0.0150755j -0.0209856+0.04675j -0.00408814+0.0102882j 0.00627735+0.00205069j 0.0230251-0.0363615j -0.0420163-0.0232569j 0.0218286-0.024971j -0.0494964+0.000787969j -0.00370774+0.00309057j -0.071019-0.0919838j 0.0184629+0.0366616j -0.0105028+0.00390783j 0.0567408+0.0328877j -0.0360702+0.0174499j -0.0239139+0.0961535j 0.0158946+0.0500273j 0.00810588+0.155978j 0.00265104+0.0124578j 0.0528064+0.0179582j 0.0214326+0.00862555j 0.0320678-0.0285549j -0.0907135+0.0255973j 0.00204571+0.00832926j -0.00502648-0.0209916j -0.0475072+0.0604933j -0.0545658-0.0672301j -0.00921154+0.0774389j -0.136487+0.0611218j -0.208978+0.149879j -0.0626143-0.15882j 0.182609-0.135181j -0.0607583-0.0744966j -0.178112+0.0322243j 0.105238+0.0180325j -0.015922+0.00289957j -0.054441+0.0646946j -0.140684+0.00879358j -0.0322964-0.00495408j -0.000787061-0.0117919j 0.00179243+0.156328j -0.113118+0.14819j 0.0464767-0.120636j -0.0137764+0.240275j 0.0378578-0.0358307j 0.0648927-0.0459557j 0.0529023-0.230957j -0.284636+0.0909647j 0.0303151-0.0438863j 0.0366264-0.00833864j 
-0.0289805+0.0391614j -0.0167716-0.0112647j 0.0545809-0.000775564j 0.00596767-0.0645217j -0.0157495-0.0642056j 0.00599455+0.0177312j 0.0118199-0.0414818j -0.0566233-0.0141365j 0.0603326+0.0350187j 0.0386868-0.00390608j 0.0605207+0.0430802j -0.0224668-0.0617161j 0.0229223+0.0161285j 0.0294547-0.0244225j -0.0388502-0.0331789j 0.0238896+0.0940827j 0.0360388-0.0273447j -0.0471332-0.0406969j -0.0515602+0.0124781j 0.0452114+0.0716892j -0.0140258+0.0167791j -0.0340404+0.0812019j -0.0257858+0.0442631j 0.083779+0.0163451j 0.00737275+0.0149744j 0.0258496+0.0124077j 0.0424877+0.0262384j 0.00228507-0.036709j -0.0078482-0.00242789j 0.0280457+0.0214225j -0.0289478+0.0495954j 0.0571576-0.0204239j 0.0237922-0.0501353j -0.0243747-0.0309048j 0.0222375-0.0587692j 0.00654062-0.0463295j -0.00928247-0.0434797j 0.0349236-0.00308236j 0.0465268-0.0545252j -0.024057-0.0111873j -0.0191577+0.03274j 0.0151099+0.0465772j -0.0410179+0.0313538j -0.0913194+0.0409441j 0.0593402+0.0287617j 0.0626328-0.0795646j -0.0111645+0.0308659j -0.0673923-0.0226776j 0.0648802+0.0777421j 0.109087-0.194498j -0.0267612+0.0359827j 0.20599-0.0239679j 0.0124426+0.0334404j -0.079727+0.119656j -0.0451725-0.116183j -0.0769513+0.000622881j -0.029781-0.0180377j 0.0537552+0.0708046j -0.028243+0.231523j -0.0181327+0.0465813j -0.0636472-0.149112j -0.103923+0.0688636j 0.0323881-0.20708j 0.0340142+0.0279412j 0.0565453-0.0730064j -0.0358201-0.0421424j 0.0394367+0.0274085j -0.0268218-0.0771051j 0.0518336-0.151015j -0.0172392+0.242216j 0.1236-0.0804177j -0.154324+0.0826098j -0.0872257-0.204367j -0.15926+0.0283106j -0.145644+0.121167j -0.0168318-0.0245893j 0.0394687+0.0409455j 
-0.0160915+0.00650529j -0.0299131-0.026238j 0.00356684-0.0304691j -0.0508648-0.0123367j -0.0242725+0.0430782j 0.0149495+0.0053094j 0.0468331+0.0278794j -0.0311751-0.0224716j 0.00982366+0.0144836j 0.116845+0.0760496j 0.00519371+0.0402178j 0.00980519+0.0284014j 0.0242746-0.00150961j 0.00845767+0.00574936j 0.025833-0.0331773j -0.0435792+0.0149541j 0.0506295-0.00169476j 0.0704683-0.00323956j 0.0486829+0.0262429j 0.0736429+0.00623919j 0.0311558-0.028991j 0.000490085+0.0260134j -0.00461825+0.0104515j 0.0725835-0.00455677j 0.0914026-0.0319533j 0.0305527-0.00667209j 0.000144542+0.0355364j 0.0103726-0.016435j -0.0226041+0.00309781j -0.0335041-0.0199013j -0.0205976+0.0592029j 0.097047-0.0187564j 0.0422497-0.0116465j 0.00736067+0.0372822j 0.0378716-0.0281242j -0.0315316+0.0598492j -0.0030086-0.0264597j -0.0496996+0.0856806j -0.0256809-0.0279792j -0.0571157+0.00845346j 0.067497+0.0209333j -0.0139961-0.035017j -0.0209814+0.0160322j 0.035066-0.0509235j 0.123199-0.0871695j -0.00610449+0.0996314j 0.0585277+0.0115362j -0.106962+0.0475229j 0.0728662+0.0219969j -0.146493-0.0363875j 0.0321635+0.0235007j -0.0500994-0.171795j -0.0153767-0.160168j 0.0865591+0.0361146j 0.0131214-0.0045239j -0.00696047+0.0299373j 0.113369-0.105568j -0.057932+0.0460895j 0.00879848+0.127771j 0.0453895-0.0410789j -0.140268+0.00553114j -0.00780563-0.0182373j -0.083174+0.0696912j 0.0339274-0.0197422j 0.0151026+0.00888939j -0.0792116+0.0689788j 0.0229824+0.0416871j 0.138098-0.142251j 0.0592521-0.165643j -0.152728+0.0479057j 0.0728169-0.0591267j -0.0906552-0.0998191j -0.044623-0.0561785j 0.0916818-0.0347208j -0.0676155-0.0131963j -0.0144124+0.0535221j 0.0179645+0.0281133j 
-0.0215049-0.0503662j 0.0365461+0.000417325j 0.0179806+0.0353399j -0.00644941+0.0774394j 0.0166252+0.0752755j -0.0324645+0.0141324j -0.0462809-0.0268359j -0.0484253-0.014671j 0.00072103+0.0579786j -0.0281071-0.0163892j 0.101352+0.0921867j 0.0752125+0.0331574j -0.00265023-0.00120253j -0.00342567+0.0112788j 0.0281425+0.0672985j 0.0325125-0.0386749j 0.0687524+0.0329108j -0.0278044+0.0507113j 0.0221524-0.0213249j -0.00937561+0.0458284j 0.00807218-0.0237961j 0.016755-0.0243109j 0.0109514+0.0246588j -0.0476134-0.0230595j 0.0250711-0.0507221j -0.0199194-0.0320796j -0.0198753+0.0478036j 0.0337608-0.0168543j -0.0399918+0.043521j -0.000157717+0.00670448j -0.0253158-0.0339106j -0.0314516+0.109965j 0.00419831-0.063334j 0.0680853-0.0881067j -0.019219+0.12509j -0.0303403+0.0244307j 0.0731271-0.0197181j 0.0339795-0.0946905j 0.0683642+0.0222012j -0.0118145-0.0571087j 0.0258686+0.0224688j 0.0177431-0.0447125j 0.0405096-0.0889751j -0.0990226+0.0547552j -0.0424805+0.1281j -0.0112723+0.00095997j -0.0031259-0.0370092j -0.00262706-0.140984j 0.0800226+0.0356831j 0.00781923+0.0583503j -0.00293985-0.0224468j 0.155719+0.0348098j -0.0324714-0.0167493j 0.00346581+0.00382012j -0.112974+0.00991797j 0.0388671-0.0381053j 0.0336067+0.125804j -0.038837+0.101127j 0.0444648-0.0426563j 0.0815786-0.0120896j 0.0336113+0.046513j -0.0602965-0.165341j 0.0582768-0.0019289j -0.0225317+0.0333175j -0.0490006+0.133608j 0.0479511+0.055538j 0.177802-0.17309j -0.0296219+0.132259j -0.033745+0.0591505j 0.100715-0.113658j -0.0449328-0.114104j 0.123999+0.0207426j -0.0935888+0.10926j -0.00373486+0.070605j 0.0415697+0.0626856j -0.00541127-0.0651011j -0.0305084+0.0480841j 
