0.000498875+0.0249416j -0.0103912+0.00814951j 0.00415626-0.00100679j -0.00593562-0.0439036j -0.0207621+0.00921277j -0.00155624+0.0161812j 0.0180812-0.0293795j 0.0201428+0.00335121j 0.00371809-0.0122488j -0.0171529+0.00177455j 0.00198093-0.0147918j -0.00826303+0.0168367j -0.0240822-0.0223814j 0.0340155+0.00903601j -0.00576946+0.00269526j -0.0160209-0.00563312j -0.00269209+0.0160488j 0.0158556-0.0149493j -0.00671401+0.0240706j 0.0139943-0.0102081j 0.0100276-0.00185891j 0.0284196-0.000755275j -0.0159386-0.0385759j -0.00141769-0.00542093j 0.0141952-0.00604715j 0.0340791+0.0109944j 0.0198294+0.00143269j 0.0135315-0.0112191j 0.00339086+0.0383319j 0.0259784-0.00916985j -0.0228122-0.0245926j 0.0122528+0.0255466j 0.0250489+0.0174959j 0.0344868+0.00323888j 0.00850006-0.0303777j 0.0188703-0.0101984j -0.0195792-0.0351101j -0.0308061+0.0339759j -0.0191258-0.0136855j -0.000807881+0.00284024j -0.00227757-0.0205729j 0.0145156+0.00428299j 0.0172316+0.0171448j 0.011472-0.0194381j 0.025291+0.0209808j -0.000315969-0.0258823j 0.035808+0.012089j 0.0463645-0.0445118j 0.00117978+0.0363218j -0.0312597-0.0139376j 0.0214809+0.0455498j -0.0227417+0.00528734j 0.0179322-0.097357j 0.101615-0.0132592j -0.0334999+0.053904j 0.000111889+0.0219032j 
-0.0103758+0.00734922j -0.00129892-0.0258067j -0.00887699-0.0457581j -0.00273182+0.00574797j 0.00788381+0.016067j 0.0307421-0.0278007j 0.0130093-0.00570396j -0.00380663+0.0203331j 0.00825551+0.00794224j -0.000931891+0.0173755j -0.0274366+0.0112018j -0.0139759-0.0160277j 0.0102698-0.0205031j 0.00352225-0.00688928j 0.0145829+0.00653032j 0.0132301-0.0132271j 0.00185779+0.00717434j -0.00429281+0.00773552j -0.00119292-0.00667213j -0.000785873+0.00399476j 0.0114877-0.0135355j 0.0291919+0.0218286j 0.0125619-0.00431772j 0.00423919-0.0225077j -0.0182182+0.00164313j -0.0151131+0.03542j 0.0122722-0.00414409j 0.0378765+0.0258553j -0.0312781-0.00634058j 0.035701+0.0149015j 0.0102768-0.0317016j -0.0088426+0.00333589j -0.000862589+0.0394015j -0.0199455+0.00670563j 0.034162+0.0403304j -0.00737043-0.0189257j 0.0137639-0.0299788j -0.00733655-0.018781j 0.0157344-0.00507241j -0.00644078+0.00659119j 0.0526016-0.0039434j 0.0180985-0.0110328j 0.00158482+0.00102779j -0.0156126+0.0126954j 0.00945024+0.00378493j 0.00102495+0.0376699j 0.00442804-0.0358059j -0.0238837-0.0336326j 0.0558967-0.00719617j -0.0223647-0.017865j 0.016771-0.0214272j 0.0187007+0.0399455j -0.0988135+0.0122545j 0.0168365-0.102671j -0.000610818-0.0214734j -0.0347291+0.0555585j 
0.000104533+0.0234842j -0.0135552-0.013087j -0.00398312-0.0361281j -0.0271664-0.00311931j -0.0078371+0.0492335j 0.013567-0.0153869j -0.000699153-0.00478012j 0.0178282+0.00607729j -0.0233038+0.0191027j -0.00753641+0.0333236j -0.0138462+0.0237051j 0.00819794+0.003364j 0.00243563-0.0165612j 0.0272228-0.02584j -0.0257943+0.0114043j 0.00271582-0.0402094j -0.0397749-0.00768418j -0.00157613+0.00577621j 0.0167674-0.00333226j -0.00845188+0.00514646j 0.0483097+0.0225663j 0.0285233-0.0173637j -0.0416061-0.0114206j -0.026766+0.0149737j -0.024018+0.0350134j -0.0150743-0.00515304j -0.0403089+0.0141665j 0.0190908-0.050605j -0.0147186+0.00094902j 0.0523681-0.0113573j -0.0407676+0.00813758j 0.00303913+0.00498136j -0.0136082-0.0421982j -0.0157173+0.0316301j 0.0100738-0.00264632j -0.0197054-0.0190875j -0.0205559-0.0182393j -0.0406612-0.013854j 0.028122-0.00295378j 0.0187241-0.0321693j 0.0104643-0.00740935j -0.0388979-0.00425293j 0.0392055+0.048055j -0.0459821+0.0440102j 0.00205726-0.0264201j 0.00147247-0.0164103j -0.0685777-0.00146411j 0.0376227+0.0141118j -0.0190534-0.0312773j 0.0661079-0.0658823j 0.0846871+0.0714511j 0.0283441+0.0555872j -0.0128508-0.0128889j 0.0284881-0.0076828j -0.0218039+0.0230136j 0.0144594+0.015058j 
0.016599+0.0131336j -0.00239584+0.0285885j 0.0317936+0.00423193j -0.0106302-0.0222695j -0.0117877+0.0332124j -0.0151193+0.0331862j -0.0328761+0.00724198j 0.00649578+0.021142j -0.0306764-0.00437296j -0.0219572+0.0284687j 0.0139998-0.0235588j 0.0199825+0.0157933j -0.0150637+0.00242033j -0.00196946-0.00767488j -0.0273625+0.0068005j 0.0253544-0.0224921j -0.0435218+0.00368853j 0.00246772-0.02375j 0.0120208-0.0314772j 0.0496215+0.00850413j -0.00958246-0.00723921j -0.0110384-0.0244958j -0.0329626+0.00481577j -0.0182062+0.0229925j 0.00694267-0.00534376j -0.00706352-0.0319606j -0.0218046+0.0209941j -0.0344327+0.0021665j -0.00183989-0.000148528j 0.0178848-0.0110407j 0.000518349+0.0145809j 0.0362695+0.0208099j -0.0213545-0.00635288j 0.0471183+0.0172831j 0.0120879-0.0171097j 0.0289202+0.0217205j -0.0125417-0.00200837j 0.0175755+0.0357805j -0.0174996+0.0453304j -0.00222473-0.0146771j -0.0321708+0.0180189j -0.0158343-0.0148477j -0.00368204+0.00411531j -0.0350414-0.0453732j 0.0763305-0.0159259j 0.00110915-0.0163139j -0.00529732-0.0281858j -0.0266383+0.0587716j -0.00124074-0.037002j 0.0654434+0.0781815j -0.0296309+0.0755245j -0.052823-0.00748484j 0.053842-0.000279133j 0.0164936+0.0113624j 0.019948+0.0214244j 0.0243004-0.023529j 
0.00136229+0.0410556j -0.0202213+0.0049703j 0.00293903+0.00477471j -0.00981401-0.0671542j -0.0357114+0.0203042j 0.00818755+0.031584j 0.0488621-0.0386192j 0.0423006-0.0199233j 0.0191114-0.00902136j -0.0339874+0.00428351j 0.00236853-0.0275422j -0.00525656+0.0130908j -0.0573668-0.0246864j 0.0699484+0.0148508j -0.01228+0.00350353j -0.048652+0.00954056j 0.0164862+0.0420725j 0.0264745-0.0287981j 0.00137641+0.048696j 0.00640764-0.0248886j 0.037671-0.00536416j 0.0496411+0.00301925j -0.0235068-0.0793887j -0.00941432-0.019069j 0.0331124-0.00705524j 0.083993+0.0268325j 0.0195791+0.026368j 0.0283315-0.0241652j 0.0162352+0.0781391j 0.0430001-0.0117213j -0.0237934-0.0600894j 0.0145146+0.0282424j 0.0318003+0.0258979j 0.0651604+0.0365291j 0.0178048-0.0418421j 0.0241487-0.029767j -0.0236717-0.0194131j -0.126123+0.0801636j -0.0612621-0.0618865j 0.024083+0.0513415j -0.00813501-0.0549588j 0.0407233-0.0267456j 0.0445678+0.0766255j 0.012479-0.0261532j 0.0101156+0.0591149j -0.0177223-0.0584921j 0.0547358+0.0350541j 0.105055-0.0941918j -0.023394+0.0943374j -0.0469469-0.0721183j 0.0528306+0.100275j -0.0798532+0.00300395j 0.00679396-0.132427j 0.154554-0.0154715j -0.0210422+0.0291695j 0.0452261+0.0547195j 
0.0163465-0.00698503j 0.0025576+0.0342594j 0.00497408+0.069903j 0.00259165+0.00202788j -0.0234275-0.028989j -0.0561396+0.043096j -0.0183952+0.0269527j 0.0135308-0.0230854j -0.0226506+0.00374437j 0.00387204-0.029012j 0.0515666-0.0164625j 0.0366745+0.0185116j -0.0120031+0.0143682j -0.00494946+0.0359568j -0.0286612-0.0150004j -0.0359722+0.0157168j 0.00101818-0.0204729j 0.00400757-0.00476646j -0.00247095+0.0173794j -0.00638584-0.0140495j -0.00895761+0.0127316j -0.0668161-0.0323524j -0.0190253-0.00133067j -0.0263714+0.0448183j 0.0446279+0.00274024j 0.0146187-0.0500683j -0.0366406+0.00885792j -0.0734263-0.0530663j 0.0712536+0.0148393j -0.0689925-0.0219969j -0.0176618+0.0525935j -0.00230557-0.031137j -0.00275007-0.0941729j 0.0375849-0.0146145j -0.0314265-0.0911451j -0.00998265+0.0275984j -0.0278476+0.0860874j 0.0298368+0.076219j -0.0472777+0.0467515j 0.0408089-0.0208642j -0.130898-0.0194296j -0.065922+0.0121951j 0.0366833+0.00337182j -0.000550473+0.00952719j -0.0446991-0.0128189j 0.00871189-0.0911365j -0.0394366+0.0588834j 0.0472748+0.0829154j -0.130009-0.0204287j 0.0655802+0.00364729j -0.059732+0.0602767j -0.0187041-0.10251j 0.140716-0.0175689j -0.00830171+0.158149j 0.0419328+0.0550444j 0.0160907-0.0287455j 
0.00014362-0.0135956j 0.00874779+0.0129147j 0.0189724+0.00982492j 0.0352963-0.0139127j 0.00203883+0.00253308j -0.0111962+0.00970451j -0.01992+0.00361366j -0.00469989+0.0229136j -0.0018134-0.0405115j -0.0063148-0.00989836j -0.0087536-0.0237423j -0.0452059-0.00394569j -0.00285073+0.0224699j 0.00763786+0.0131036j -0.0226053+0.0074761j 0.0322816-0.0244212j -0.0553271-0.00118383j 0.00900601+0.00507462j -0.0324599-0.0268337j 0.0557539+0.0195013j -0.0384397+0.0255974j 0.0109461+0.00463518j -0.0175962+0.0222424j 0.028102+0.00748648j 0.0094874+0.00354357j -0.00484813-0.0229699j 0.0463959+0.0102509j -0.0213709+0.00530994j -0.0169119-0.00277864j -0.0181154-0.0136438j -0.0128317-0.0397765j 0.0678481+0.0441539j 0.0452191-0.00236105j 0.033542-0.0383898j -0.0104475-0.00930285j 0.0747061+0.0407173j -0.0365519-0.0598009j -0.0091046-0.0130629j 0.0139438-0.00610174j 0.000685711-0.0945561j 0.0434191-0.0512902j -0.0537218-0.00534138j -0.0104355+0.0148917j 0.0537992-0.0711608j 0.0143356+0.0102653j 0.0210329+0.0275765j 0.067501+0.0178348j 0.00987402-0.00076061j 0.0242383+0.0357835j -0.0115401+0.0254933j -0.0171846+0.00617937j -0.0222968+0.0050806j 0.00848788-0.048298j 0.0155926-0.0144588j 0.0223848-0.00530461j -0.00150241+0.0116014j 
-0.0113895-0.0113279j -2.65457e-05-0.00581864j -0.000992833+0.0230874j 0.0158534+0.0193702j 0.015951-0.00871054j -0.0341381-0.0256267j 0.0402606+0.0020359j -0.0197263-0.0195441j -0.00585526+0.0113474j 0.0316041-0.033756j 0.0297852+0.02262j -0.0318572+0.0235571j 0.0905722-0.00827706j 0.00766785+0.00227201j 0.0106021+0.0255244j -0.0358727-0.04551j -0.021377-0.0388679j 0.0424451+0.0190047j -0.0915353+0.00059385j -0.00557528-0.00916599j -0.0197688+0.00792124j 0.0317614+0.0803832j -0.0174848+0.00529219j 0.0522897+0.018272j -0.0186273+0.0280325j -0.0604559-0.0354793j 0.0506786+0.041663j -0.0536248+0.00903863j 0.0450802+0.0265735j -0.0134075+0.0089399j -0.00272271+0.092873j -0.0163212-0.0127846j 0.0659461+0.0020149j 0.00823253-0.0239109j -0.0702408+0.0742506j 0.0564213+0.00966327j -0.0849144-0.104194j 0.044289+0.0187456j -0.0547804+0.0464994j 0.0366433+0.0146653j 0.0487175-0.0238542j 0.0525759+0.0807135j -0.0608422+0.0202628j -0.0745047+0.00457517j 0.0191277-0.115961j 0.0874553-0.0319238j 0.0464813+0.028481j 0.0529219-0.012442j 0.0622256-0.00258811j 0.0265821-0.0271968j 0.0287831-0.0268817j 0.0554851+0.0321496j -0.0491954+0.00543669j -0.00368085-0.00888889j 0.0130778-0.00994191j 0.0054897+0.00809649j 
0.0174567-0.00225889j 0.0182506+0.0358838j 0.064722+0.00860212j -0.0151757-0.0357873j -0.0484223+0.000796163j 0.00845232+0.0446242j -0.0405265+0.0286472j -0.0271671+0.0320194j -0.0482148-0.0187044j -0.0425918+0.0276618j -0.0160759-0.0298675j 0.0930435-0.00982387j -0.017187-0.0264405j -0.00377511-0.00512128j 0.0197911+0.000380674j 0.0187684+0.0195667j 0.00787965-0.010315j -0.0372454-0.0422337j 0.0378737-0.0550239j 0.0618706-0.017075j 0.0331315-0.0669679j -0.0054757+0.00338548j -0.0120868-0.0114603j -0.0946668+0.0535476j 0.0293895+0.0105705j -0.0193529+0.0218449j 0.000126898+0.0113667j -0.0174095+0.0478979j -0.024339+0.082245j 0.0105404-0.00804321j 0.0101621+0.0785863j -0.00436059+0.00267697j -0.0477063+0.076866j 0.0267339-0.0405067j 0.0636415+0.0118063j -0.0401023+0.0639992j -0.0601748+0.055595j 0.0626055+0.0266417j -0.00959181+0.0944109j -0.0479365+0.0608653j -0.0812771-0.00223715j 0.0221188+0.0780861j -0.0249194+0.00662825j 0.0156897-0.0484515j -0.00511861-0.0243365j -0.0648592-0.0871039j 0.0128044-0.0590268j -0.0774605-0.0300878j -0.0170203-0.0774602j 0.0258411+0.0571106j -0.0404833-0.0187836j -0.0183264-0.0697815j 0.0238657+0.0214744j -0.0391561+0.00212371j 0.017794-0.00752507j 0.0264284-0.0262937j 
0.0230225+0.0251869j -0.0146637+0.0179714j 0.018379+0.00823592j -0.0181973+0.00267065j 0.0221223+0.0393149j -0.0255023+0.0464122j 0.0200517+0.00241028j 0.00598298-0.0141162j -0.00813106+0.0327632j -0.0159667+0.0323539j 0.0699455-0.0139947j 0.00856191+0.0474967j 0.00910853+0.040702j -0.0512645-0.0035232j 0.0117865-0.00834191j 0.0242623-0.0138332j 0.0196568+0.0466742j 0.0515931-0.0670987j -0.00898834-0.0504451j 0.0688268-0.0206305j -0.0905041-0.0340516j -0.0252427+0.028754j 0.0240238+0.000985299j 0.0596771-0.0360805j -0.00577383-0.0221859j 0.0108788-0.025104j -0.0397171+0.0291108j -0.031072+0.0756892j 0.025387-0.0509139j 0.0849483+0.0245693j 0.0965084+0.026093j 0.0378953-0.000971241j -0.0505265+0.088021j 0.0979979+0.178902j 0.0434895+0.0165264j -0.0115298+0.0013667j 0.0283237+0.00140043j 0.0786285+0.158585j -0.113161+0.0772896j -0.144362+0.121794j -0.074564+0.108497j 0.137336+0.0379145j -0.0635517-0.125653j -0.153815-0.110227j 0.19981+0.0193329j 0.0118473+0.0299157j 0.0338772-0.0598507j -0.108601+0.132397j 0.031121-0.0361763j 0.0507196+0.121972j -0.0546559+0.0453326j -0.0703832-0.0177262j 0.0119396+0.0308544j 0.016688-0.00703244j 0.0244812+0.0125047j 0.0147527-0.01659j 
0.0134127+0.0413465j -0.0363618-0.00603906j -0.0078176-0.0345655j -0.0671888+0.0019577j -0.0010543+0.104514j 0.0321264-0.000564923j -0.0200813-0.0168665j 0.042346-0.00126762j -0.0386428+0.0697675j -0.0167027+0.0656708j -0.00442341+0.00816501j 0.0443029+0.0201894j 0.00527542-0.0266517j 0.0335867-0.0326963j -0.0704365+0.0148803j 0.0103415-0.0666076j -0.064924+0.0118931j 0.0164455-0.0156327j 0.0151539+0.0104099j -0.0241599-0.0139567j 0.0760508+0.0695876j -0.00423993-0.0518808j -0.077942-0.0460218j -0.0391957+0.0461313j -0.0498089+0.0155906j -0.036919-0.0977715j -0.16678+0.0214743j 0.0237599-0.142056j 0.04949-0.0572502j 0.132367+0.023531j -0.0588065+0.0528225j -0.0057393+0.0140844j -0.0366591-0.0945398j -0.0106414+0.153096j 0.0227326-0.0429877j -0.0513512-0.107775j -0.00890084-0.0171237j -0.0734023+0.0327218j -0.0345829+0.0112204j 0.0298554-0.0535812j -0.018579+0.00417915j -0.0833279-0.0561078j 0.0748192+0.0698989j -0.140422+0.0667926j 0.0599242-0.0866671j 0.0132795-0.038171j -0.189739-0.031129j 0.0894777+0.132639j -0.116181-0.0157712j 0.125428-0.0804756j 0.102347+0.1591j 0.0278559+0.0779538j 0.0322919-0.0182364j 0.0308161+0.0200356j -0.0239852+0.0401749j 0.0441842+0.00457651j 
