0.0025539-0j 0.00712313-0j 0.016624-0j -0.00120469-0j 0.00825826-0j 0.0697921-0j 0.000194822-0j 0.00209366-0j 0.000247169-0j 0.0014753-0j 0.0144549-0j -0.0010475-0j -0.00914297-0j 0.0626758-0j -0.000698336-0j -6.17247e-05-0j 1.38411e-05-0j -0.00838003-0j 
-0.0249328-0j 0.0014753-0j -0.0797206-0j -0.000123449-0j 2.43456e-05-0j 0.0144549-0j -0.0038333-0j -0.000290935-0j -5.1791e-05-0j -0.000100702-0j -0.000986669-0j -1.52788e-06-0j -0.000936916-0j 0.00018477-0j -1.01859e-06-0j -9.00314e-08-0j -4.85224e-06-0j -1.22231e-05-0j 
-0.00121225-0j -0.0206795-0j 0.000123449-0j -0.0822902-0j -0.000169745-0j 0.0010475-0j 5.75086e-07-0j 1.47021e-07-0j -1.25029e-06-0j -3.0163e-05-0j 1.52788e-06-0j -0.00101847-0j 0.00649114-0j 1.33897e-05-0j 7.05699e-06-0j -0.00018129-0j 4.84292e-10-0j 8.46839e-05-0j 
-0.0176934-0j -0.0992109-0j 0.00119703-0j 0.0083461-0j -0.0572132-0j 0.00502546-0j 1.40284e-05-0j 0.000150757-0j -0.00171239-0j -0.020548-0j 0.00104084-0j 0.0072571-0j -0.00065835-0j 0.00451304-0j -5.02844e-05-0j 0.00129178-0j 9.96647e-07-0j -0.000603413-0j 
0.0178768-0j 0.100239-0j -0.00120944-0j -0.00843259-0j -0.0561605-0j -0.00507754-0j -1.41737e-05-0j 0.000147983-0j -0.00168088-0j -0.0201699-0j 0.00102169-0j 0.00712357-0j 0.000665172-0j 0.00443-0j -4.93592e-05-0j 0.00126801-0j 9.78309e-07-0j -0.000592311-0j 
-0.0675801-0j -0.000130034-0j 0.0143048-0j 7.22877e-06-0j -0.000150757-0j -0.00127407-0j -0.0321892-0j -0.0554015-0j -0.0202266-0j 0.00126948-0j 0.0124383-0j 6.28555e-06-0j 5.48625e-05-0j -0.00114416-0j 4.19037e-06-0j 3.7038e-07-0j -0.0038288-0j 5.02844e-05-0j 
0.0682804-0j 0.000131382-0j -0.014453-0j -7.30368e-06-0j -0.000147983-0j 0.00128727-0j 0.0325228-0j -0.0543822-0j -0.0198544-0j 0.00124612-0j 0.0122094-0j 6.1699e-06-0j -5.5431e-05-0j -0.00112311-0j 4.11327e-06-0j 3.63565e-07-0j -0.00375836-0j 4.93592e-05-0j 
0.172734-0j -0.020548-0j -0.00574037-0j 0.000855257-0j -0.000168666-0j 0.00104084-0j -0.000276021-0j -2.09491e-05-0j 0.000358807-0j 0.00140257-0j -7.10462e-05-0j 1.05852e-05-0j -6.74637e-05-0j 1.33046e-05-0j -7.33446e-08-0j 1.88418e-06-0j -3.49391e-07-0j -8.80136e-07-0j 
7.22877e-06-0j 6.13381e-05-0j -0.0103224-0j -0.0715154-0j -0.010364-0j 0.000600989-0j 3.29947e-07-0j -0.000863667-0j 5.23796e-07-0j 6.28555e-06-0j 6.15856e-05-0j 0.000426678-0j 0.00372419-0j 0.000539709-0j -0.0831965-0j 2.51422e-05-0j 1.95207e-08-0j 0.00341342-0j 
-7.30368e-06-0j -6.19738e-05-0j 0.0104293-0j 0.0722565-0j -0.0101733-0j -0.000607217-0j -3.33366e-07-0j -0.000847776-0j 5.14159e-07-0j 6.1699e-06-0j 6.04525e-05-0j 0.000418827-0j -0.00376278-0j 0.000529779-0j -0.0816657-0j 2.46796e-05-0j 1.91616e-08-0j 0.00335061-0j 
-0.000150757-0j -0.000420478-0j 0.143017-0j -0.010364-0j 0.00101126-0j -0.00411982-0j -1.15003e-05-0j 0.000256378-0j -2.07677e-07-0j -1.23958e-06-0j -1.21453e-05-0j 8.80136e-07-0j 0.000539709-0j -5.26616e-05-0j -0.000171615-0j 5.18625e-08-0j -1.16296e-08-0j 7.04109e-06-0j 
-0.0202266-0j -1.25849e-05-0j 0.00208758-0j 5.23796e-07-0j -2.07677e-07-0j -0.000123306-0j 0.220635-0j -0.000236019-0j 0.000954952-0j 2.63699e-06-0j 2.58371e-05-0j 6.48281e-09-0j 3.97533e-06-0j -1.57616e-06-0j 4.32187e-09-0j 3.82003e-10-0j 0.000565302-0j 5.18625e-08-0j 
-0.100762-0j 0.0119863-0j 0.00334855-0j -0.0004989-0j -0.0135294-0j -0.000607158-0j 0.000161012-0j -0.00168042-0j 0.0287815-0j 0.112506-0j -0.00569893-0j 0.000849083-0j 3.93538e-05-0j 0.00106722-0j -5.88329e-06-0j 0.000151138-0j -2.80262e-05-0j -7.05995e-05-0j 
-0.000124087-0j 0.100776-0j 6.28555e-06-0j -0.00842332-0j -1.73753e-05-0j 5.33347e-05-0j 2.92811e-08-0j 7.48571e-09-0j -1.27981e-07-0j 0.000146991-0j 7.77937e-08-0j -0.000104252-0j 0.000330503-0j 6.8175e-07-0j 3.59314e-07-0j 0.00178236-0j 2.46582e-11-0j 4.31177e-06-0j 
0.00012183-0j 0.000339797-0j -0.115575-0j 0.00837538-0j -0.0574139-0j 0.00332932-0j 9.29366e-06-0j -0.0145558-0j 1.17908e-05-0j 7.03768e-05-0j 0.000689549-0j -4.99695e-05-0j -0.000436151-0j 0.00298985-0j 0.00974339-0j -2.94448e-06-0j 6.6027e-07-0j -0.000399756-0j 
-0.13959-0j 0.0166053-0j 0.00463892-0j -0.000691152-0j 0.00957597-0j -0.000841128-0j 0.000223059-0j 0.00118938-0j -0.0203712-0j -0.0796306-0j 0.00403363-0j -0.00060097-0j 5.45189e-05-0j -0.000755363-0j 4.16412e-06-0j -0.000106974-0j 1.98366e-05-0j 4.99695e-05-0j 
8.79413e-05-0j 0.000245279-0j -0.0834266-0j 0.00604567-0j 0.0811174-0j 0.00240323-0j 6.70852e-06-0j 0.0205652-0j -1.66587e-05-0j -9.94321e-05-0j -0.000974231-0j 7.05995e-05-0j -0.00031483-0j -0.00422422-0j -0.013766-0j 4.16012e-06-0j -9.32864e-07-0j 0.000564796-0j 
-6.28555e-06-0j -5.33347e-05-0j -6.15856e-05-0j -0.000426678-0j -8.80136e-07-0j 0.102365-0j -2.86895e-07-0j -7.33446e-08-0j -6.48281e-09-0j -7.77937e-08-0j 0.000149309-0j 0.00103444-0j -0.00323826-0j -6.67976e-06-0j -3.52054e-06-0j -3.11175e-07-0j -2.416e-10-0j -4.22465e-05-0j 
0.000100278-0j -0.0814393-0j -5.0795e-06-0j 0.00680707-0j 0.00098648-0j -4.31009e-05-0j -2.36627e-08-0j -4.24999e-07-0j 7.26612e-06-0j -0.0083454-0j -4.41672e-06-0j 0.00591888-0j -0.000267087-0j -3.87062e-05-0j -2.04e-05-0j -0.101193-0j -1.39996e-09-0j -0.000244799-0j 
7.23842e-05-0j -0.058786-0j -3.66657e-06-0j 0.00491361-0j -0.00139375-0j -3.11119e-05-0j -1.70806e-08-0j 6.00461e-07-0j -1.0266e-05-0j 0.0117908-0j 6.24018e-06-0j -0.00836251-0j -0.000192793-0j 5.46862e-05-0j 2.88221e-05-0j 0.142971-0j 1.97794e-09-0j 0.000345866-0j 
0.0117988-0j 7.34117e-06-0j -0.00121775-0j -3.05548e-07-0j -1.66587e-05-0j 7.19285e-05-0j -0.128704-0j -0.0189321-0j 0.0766008-0j 0.000211524-0j 0.00207251-0j 5.20015e-07-0j -2.31894e-06-0j -0.000126431-0j 3.46676e-07-0j 3.06422e-08-0j 0.0453454-0j 4.16012e-06-0j 
5.0795e-06-0j 4.31009e-05-0j 4.97687e-05-0j 0.000344808-0j 4.99695e-05-0j -0.0827232-0j 2.31846e-07-0j 4.16412e-06-0j 3.6806e-07-0j 4.41672e-06-0j -0.00847696-0j -0.0587301-0j 0.00261691-0j 0.000379242-0j 0.000199878-0j 1.76669e-05-0j 1.37168e-08-0j 0.00239854-0j 
0.0163456-0j 1.01701e-05-0j -0.00168702-0j -4.23291e-07-0j 1.17908e-05-0j 9.96463e-05-0j -0.1783-0j 0.0133999-0j -0.0542171-0j -0.000149714-0j -0.0014669-0j -3.6806e-07-0j -3.21255e-06-0j 8.9486e-05-0j -2.45373e-07-0j -2.16881e-08-0j -0.0320949-0j -2.94448e-06-0j 
3.66657e-06-0j 3.11119e-05-0j 3.59249e-05-0j 0.000248895-0j -7.05995e-05-0j -0.0597128-0j 1.67355e-07-0j -5.88329e-06-0j -5.20015e-07-0j -6.24018e-06-0j 0.0119767-0j 0.082977-0j 0.00188898-0j -0.000535813-0j -0.000282398-0j -2.49607e-05-0j -1.93798e-08-0j -0.00338878-0j 
