0.942479-0j 0.00117257-0j -0.00287514-0j 0.000208719-0j -0.00356235-0j 0.00207471-0j 0.00237632-0j 0.000145638-0j -0.000310953-0j -0.000105093-0j 0.000510112-0j -7.60016e-05-0j -9.74967e-05-0j 2.14512e-07-0j 6.54118e-06-0j 
-0.00117257-0j 0.964301-0j -0.000256077-0j -0.000876257-0j 1.44377e-06-0j 0.000120794-0j 3.41097e-05-0j -0.00254093-0j -1.37416e-05-0j 0.00119857-0j 9.24935e-05-0j 0.000644895-0j 0.000409317-0j 6.30542e-09-0j -5.55037e-05-0j 
0.00287514-0j -0.000256077-0j 0.919274-0j 0.00437806-0j 0.000167464-0j -9.8331e-05-0j 8.82593e-07-0j 0.000486517-0j -0.00646976-0j -5.20407e-08-0j -0.000112811-0j 1.10269e-05-0j 1.05911e-05-0j 3.71822e-06-0j -4.72069e-07-0j 
0.000208719-0j 0.000876257-0j -0.00437806-0j 0.949232-0j -8.50751e-08-0j 0.00206516-0j -2.00993e-06-0j -7.64348e-07-0j 2.44603e-06-0j 3.60549e-07-0j -5.45023e-06-0j -0.000114792-0j -2.41192e-05-0j -3.7155e-10-0j 3.27059e-06-0j 
0.00356235-0j 1.44377e-06-0j 0.000167464-0j 8.50751e-08-0j 0.912209-0j 6.32035e-07-0j -0.000281517-0j 0.00164081-0j -0.00258339-0j 6.19265e-06-0j -0.000185511-0j -4.65466e-08-0j 1.15502e-05-0j -0.000581702-0j -3.85443e-07-0j 
-0.00207471-0j 0.000120794-0j -9.8331e-05-0j -0.00206516-0j 6.32035e-07-0j 0.972805-0j 0.000121767-0j -5.20407e-08-0j 6.63164e-08-0j 0.000514847-0j -5.58559e-07-0j 0.00074853-0j -4.99591e-06-0j -1.07987e-11-0j -3.20451e-05-0j 
-0.00237632-0j 3.41097e-05-0j 8.82593e-07-0j 2.00993e-06-0j -0.000281517-0j 0.000121767-0j 0.965973-0j 8.64761e-06-0j 9.52159e-08-0j 0.00119307-0j 6.16623e-05-0j -4.46848e-06-0j 0.000272878-0j 4.20361e-09-0j -3.70025e-05-0j 
0.000145638-0j 0.00254093-0j -0.000486517-0j -7.64348e-07-0j -0.00164081-0j 5.20407e-08-0j -8.64761e-06-0j 0.933766-0j -0.000327721-0j -9.98812e-05-0j 0.00110532-0j 5.58559e-07-0j -0.000103771-0j -3.6431e-05-0j 4.62531e-06-0j 
-0.000310953-0j 1.37416e-05-0j 0.00646976-0j 2.44603e-06-0j 0.00258339-0j -6.63164e-08-0j -9.52159e-08-0j -0.000327721-0j 0.88937-0j 3.35921e-09-0j 2.45283e-05-0j -3.54051e-07-0j -1.14259e-06-0j -0.00657159-0j 3.04719e-08-0j 
-0.000105093-0j -0.00119857-0j 5.20407e-08-0j 3.60549e-07-0j -6.19265e-06-0j -0.000514847-0j -0.00119307-0j -9.98812e-05-0j 3.35921e-09-0j 0.988141-0j 5.47274e-06-0j 3.79163e-05-0j 4.89497e-05-0j 1.05805e-10-0j 0.000313977-0j 
-0.000510112-0j 9.24935e-05-0j -0.000112811-0j 5.45023e-06-0j -0.000185511-0j -5.58559e-07-0j 6.16623e-05-0j -0.00110532-0j -2.45283e-05-0j -5.47274e-06-0j 0.954937-0j 0.00147875-0j 0.000739948-0j -1.62803e-06-0j -4.96441e-05-0j 
-7.60016e-05-0j -0.000644895-0j -1.10269e-05-0j -0.000114792-0j 4.65466e-08-0j -0.00074853-0j 4.46848e-06-0j 5.58559e-07-0j -3.54051e-07-0j 3.79163e-05-0j -0.00147875-0j 0.985717-0j 5.36217e-05-0j 1.15904e-10-0j 0.000343944-0j 
-9.74967e-05-0j -0.000409317-0j -1.05911e-05-0j -2.41192e-05-0j -1.15502e-05-0j 4.99591e-06-0j -0.000272878-0j -0.000103771-0j -1.14259e-06-0j 4.89497e-05-0j -0.000739948-0j 5.36217e-05-0j 0.976023-0j -5.04434e-08-0j 0.00044403-0j 
-2.14512e-07-0j 6.30542e-09-0j 3.71822e-06-0j 3.7155e-10-0j -0.000581702-0j -1.07987e-11-0j 4.20361e-09-0j 3.6431e-05-0j 0.00657159-0j -1.05805e-10-0j -1.62803e-06-0j -1.15904e-10-0j 5.04434e-08-0j 0.859529-0j -9.59775e-10-0j 
-6.54118e-06-0j -5.55037e-05-0j -4.72069e-07-0j -3.27059e-06-0j -3.85443e-07-0j -3.20451e-05-0j -3.70025e-05-0j -4.62531e-06-0j -3.04719e-08-0j -0.000313977-0j -4.96441e-05-0j -0.000343944-0j -0.00044403-0j -9.59775e-10-0j 0.997152-0j 
