0.330345-0j 0.206139-0j -0.437094-0j -0.33921-0j -0.119545-0j 0.0478736-0j 0.0388179-0j -0.0205718-0j 0.0264458-0j 0.182485-0j 0.0211239-0j -0.0447907-0j -0.0283816-0j -0.00866223-0j -0.0695428-0j 0.0238939-0j -0.0427039-0j 0.00229659-0j 
0.206139-0j -0.0108458-0j 0.00256738-0j -0.202346-0j -0.291244-0j 0.000425216-0j -0.186785-0j -0.0772813-0j 0.000461024-0j 0.223498-0j 0.0758593-0j -0.0179572-0j -0.0341085-0j -0.031732-0j 0.0170707-0j 0.029264-0j 0.0105619-0j -0.0138235-0j 
0.437094-0j -0.00256738-0j -0.00171748-0j 0.144563-0j -0.617549-0j 0.000901622-0j 0.133445-0j 0.0542945-0j -0.000329371-0j -0.159675-0j 0.0179572-0j 0.0120127-0j 0.0243683-0j -0.0672841-0j -0.0121959-0j -0.0209072-0j -0.0959284-0j 0.00987598-0j 
0.33921-0j 0.202346-0j 0.144563-0j -0.342586-0j -0.112419-0j -0.0477589-0j -0.414833-0j -0.0211239-0j 0.0259592-0j -0.184376-0j 0.0213341-0j 0.0152418-0j 0.0262615-0j -0.0424693-0j 0.0702635-0j -0.0241416-0j -0.00871315-0j -0.0425162-0j 
-0.119545-0j -0.291244-0j 0.617549-0j 0.112419-0j -0.334116-0j 0.0339091-0j -0.363047-0j -0.0148495-0j -0.037364-0j 0.131725-0j 0.0139643-0j -0.0296097-0j 0.0397672-0j -0.00727556-0j 0.0100611-0j 0.0172476-0j -0.0308253-0j -0.0733332-0j 
0.0478736-0j 0.000425216-0j -0.000901622-0j 0.0477589-0j 0.0339091-0j -0.00467122-0j -0.0221016-0j 0.141022-0j -0.00258042-0j 0.0264458-0j 0.140683-0j -0.298303-0j -0.380808-0j -0.17476-0j 0.476722-0j -0.163795-0j 0.292739-0j 0.0773722-0j 
-0.0388179-0j 0.186785-0j 0.133445-0j -0.414833-0j 0.363047-0j 0.0221016-0j -0.454995-0j -0.00482184-0j 0.0239627-0j -0.0420867-0j -0.0515293-0j -0.0368143-0j 0.0425175-0j 0.0379506-0j -0.00321456-0j -0.00551068-0j -0.00198891-0j -0.0757161-0j 
0.0205718-0j 0.0772813-0j 0.0542945-0j -0.0211239-0j 0.0148495-0j -0.141022-0j -0.00482184-0j 0.364814-0j 0.155389-0j -0.0226678-0j -0.374604-0j -0.26318-0j 0.0836037-0j -0.0508974-0j 0.0818975-0j 0.140396-0j -0.250919-0j 0.0134943-0j 
-0.0264458-0j -0.000461024-0j -0.000329371-0j 0.0259592-0j 0.037364-0j 0.00258042-0j 0.0239627-0j 0.155389-0j -0.0113427-0j 0.116247-0j -0.15253-0j -0.108973-0j -0.206987-0j -0.192565-0j 0.103593-0j 0.177588-0j 0.0640949-0j -0.0838876-0j 
-0.182485-0j -0.223498-0j -0.159675-0j -0.184376-0j -0.131725-0j -0.0264458-0j -0.0420867-0j -0.0226678-0j 0.116247-0j 0.802148-0j -0.0229027-0j -0.0163625-0j -0.0154267-0j -0.00954478-0j -0.0151119-0j -0.025906-0j -0.00934999-0j -0.00248999-0j 
0.0211239-0j 0.0758593-0j -0.0179572-0j -0.0213341-0j 0.0139643-0j 0.140683-0j 0.0515293-0j 0.374604-0j 0.15253-0j 0.0229027-0j -0.378332-0j 0.0895577-0j -0.0773587-0j -0.24954-0j -0.0827462-0j -0.141851-0j -0.0511966-0j -0.249816-0j 
