-0.301269+0.050357j -0.152402-0.0708927j -0.0797837-0.0565231j 0.0635251+0.0905215j 0.0914968-0.0778686j 0.0486765-0.0440766j -0.108548+0.0518059j 0.0387655+0.0109267j 0.0652004-0.116094j 0.0122059-0.00963153j 0.11892-0.024325j 0.0167458+0.0371195j -0.0130932+0.0322802j -0.0783087-0.0784758j 0.0701355-0.0421696j -0.0378734+0.00188925j 0.0184051-0.00719482j 0.0594615-0.0368733j -0.00364712+0.00103597j -0.0287818-0.01142j -0.0298052-0.0316007j -0.0380729+0.0275468j 0.0131191-0.0169851j -0.00748992-0.0197071j -0.0256765-0.0143527j 0.0109776+0.0362332j -0.0168035+0.0139902j -0.0332382+0.0334383j 0.0400325-0.00982808j -0.00542619+0.00414718j -0.0208683+0.0136199j -0.0376887+0.00498175j 0.0580461-0.0444082j -0.0144158-0.0164735j -0.00766319+0.00905915j -0.00111737-0.0236918j 0.0275652-0.00685003j 0.00778187+0.0210323j 0.0162113+0.082057j 0.0375884-0.0500653j 
0.249148+0.0367282j 0.42692-0.0814725j 0.107929-0.0547247j 0.108319-0.0703162j -0.0590673-0.0378503j 0.0231935-0.00166494j -0.00146553+0.0315323j 0.0326024+0.0350469j -0.0323782-0.0637423j 0.0271291+0.01065j -0.0738483-0.0131136j 0.0439171+0.00612686j 0.00853529+0.0323468j -0.0735962+0.068579j -0.0614499-0.000630727j -0.00185877+0.00249892j -0.00834972-0.000841999j -0.0793573-0.0381099j 0.00126645+0.015969j -0.00100211+0.0128034j -0.0459354+0.0161145j -0.00211457+0.0241411j -0.0056559+0.00691984j -0.000161028+0.0123052j -0.00233761-0.00707543j 0.00527043+0.0168889j 0.0277061+0.00310752j 0.0244617+0.0446228j -0.0335289-0.0201312j -0.0026513-0.0016267j 0.00678605-0.00539475j 0.0115151+0.00994663j -0.0512846-0.0453832j 0.0162154+0.0169737j -0.0044279+0.0049413j -0.0274393+0.00689622j -0.0125272-0.0191777j 0.0328606+0.0339731j 0.0531361-0.0335227j -0.0543961-0.0528147j 
0.0159562+0.100938j 0.0754007+0.701077j 0.0111228-0.00151822j -0.00173982-0.00553562j 0.0297808-0.0202563j 0.00992816-0.047865j -0.0439821-0.015966j 0.0102405-0.0253287j 0.00917414-0.0162649j -0.024632+0.0164504j -0.0208829-0.0309185j 0.0268803+0.0029201j -0.0100888-0.00169885j -0.0189604-0.00204377j 0.0232295-0.0305416j 0.00219749-0.00205245j 0.00136285+0.0293227j 0.0262243-0.000632554j -0.000625427+0.00140879j 0.00314349-0.00501326j -0.0149278+0.000268882j -0.00800854-0.00779681j 0.00457794-0.00779869j 0.018064-0.000841894j 0.00703905-0.00616198j 0.00160368-0.00307821j -0.00781929+0.0167238j 0.00207578+0.0107619j -0.00225381+0.00215685j -0.0257715-0.0260169j 0.00568171-0.0111555j 0.00886498+0.0127388j 0.0208059-0.0110914j -0.0212359-0.00325788j -0.00895-0.0165455j -0.00353545+0.0322887j -0.0188455-0.00637507j 0.00409262+0.0111167j 0.00885291+0.00469825j 0.00482805-0.0136603j 
-0.182539-0.00426826j 0.518901-0.0665961j -0.0310763-0.00212497j -0.0216842+0.078435j 0.0567147+0.00688398j 0.0770985+0.016979j -0.0277421-0.0373403j 0.0304866-0.0115145j 0.131703-0.0304211j -0.0344757+0.0239368j 0.0880219+0.0454512j -0.0416468+0.0199835j -0.0283659+0.0248823j 0.0122077-0.0882606j 0.0796556+0.00325034j -0.0293905-0.00691846j 0.0579286+0.0114069j 0.0839559-0.0168244j -0.00372498+0.0202696j -0.0261707+0.00839428j 0.0224072-0.038191j -0.0352972-0.00296162j -0.00107653+0.0142106j -0.00239021+0.00266806j -0.0152955+0.00555323j -0.00445498+0.00752482j -0.00546279-0.0156911j -0.0549238+0.0196559j 0.00464399+0.028653j -0.0167033-0.0118874j -0.0236656-0.00415022j -0.0226648-0.0183876j 0.0716813+0.0199307j -0.000960352-0.0438104j -0.0273389-0.00693693j 0.021701-0.0196351j 0.0300889+0.0141525j -0.0116709+0.0249364j -0.0233687+0.0562725j 0.0696986-0.0100731j 
0.0955074-0.0845173j 0.0670725-0.0199232j 0.0329793+0.0903107j -0.0898417+0.0755034j -0.0615479+0.0898282j -0.00856518+0.0673759j 0.0674142-0.107153j -0.0256177+0.00411905j -0.0417747+0.101484j 0.0423181+0.0281922j -0.0593213+0.0434343j -0.0032329-0.0777497j -0.0493117-0.0901085j 0.0933531-0.0270857j -0.118225+0.0636127j 0.0628811-0.0382493j -0.0215055-0.00451191j 0.0168309+0.0831113j 0.0154521-0.00564013j 0.00529713+0.0247762j 0.0393323+0.00777159j 0.0147179-0.0133838j -0.0385295-0.025157j 0.0160028-0.0162445j 0.00684284-0.0153305j -0.0103274+0.017026j 0.0219458-0.0295619j -0.0079349-0.1083j -0.00107249+0.0446079j 0.0180633-0.0191934j -0.00140862+0.00586169j 0.0252812-0.0259308j -0.0212253+0.0614378j 0.00742777-0.0151687j 0.00866256-0.00918719j 0.00255883+0.00837007j -0.0209874+0.0125403j -0.0561123-0.0259916j -0.0690213-0.0578477j 0.0303943+0.0861968j 
-0.595818-0.0127089j 0.12069+0.0447846j -0.345288+0.0249729j -0.0447372-0.0115637j -0.00215097+0.0585764j -0.016904+0.0100818j 0.0262344+0.00567158j 0.00425268-0.0205994j -0.0946245+0.0424934j -0.0173787-0.0427881j 0.0268956+0.044571j -0.0220286-0.0765077j 0.016519-0.0210637j 0.0440919-0.0255034j -0.023687+0.0163601j -0.0171326-0.0284577j -0.00337783+0.0256432j -0.000528458+0.0370665j -0.00970513-0.0212129j -0.0134095+0.015887j 0.0275625+0.011272j 0.0176662-0.0230125j 0.00832237-3.10367e-05j 0.00538557+0.00515261j -0.0200221-0.00901389j 0.00276201+0.00295624j -0.0368103+0.00114609j 0.00585436-0.0572766j -0.00362925+0.0204269j -0.00372555-0.0141204j 0.00769647+0.000285463j -0.000229705-0.0150574j 0.0276065+0.0372018j 0.00243002-0.00377262j -0.00462303-0.00143049j 0.00349152+0.00864624j 0.00863851+0.00845019j -0.0384237-0.0157204j -0.0345201-0.0361059j 0.0381004+0.0474814j 
-0.36147+0.0235372j 0.0280737-0.0400087j -0.22567-0.0457895j 0.107652-0.192837j 0.114385-0.0122421j -0.170867+0.115815j 0.149085-0.106929j 0.0774896+0.070813j 0.0121001-0.0274459j 0.0119817+0.00749615j -0.0893997-0.0129244j 0.0430849-0.00977135j 0.00682342+0.0244347j -0.0188659+0.106522j 0.0478187+0.0638725j 0.0505113-0.00119805j -0.0156184-0.00196917j -0.0476234-0.0322078j -0.0226765-0.00298058j -0.0133995+0.0143433j -0.0398047+0.0313273j -0.00414696+0.00520889j 0.0142269+0.0179048j -0.0108778-0.0120624j 0.0324897+0.0132243j -0.000965484-0.0135339j -0.0124867+0.00941692j 0.0104074+0.0115426j -0.0222033-0.019175j 0.00286023+0.000180279j 0.043258-0.0207902j 0.0553048-0.00471151j -0.0271456-0.00169772j -0.0238577+0.0403081j 0.0249883-0.0043464j -0.0158112+0.00471068j 0.00514852-0.00953791j 0.0163424+0.0122936j 0.0280578-0.0433798j -0.0222513-0.00482338j 
0.211196+0.0219546j -0.128051-0.0492424j 0.188822-0.0538042j 0.0900919-0.0061306j 0.0549459-0.100949j -0.098013+0.153298j 0.00990532-0.15406j 0.0896432+0.0797975j 0.153476-0.011785j 0.0521159+0.00572355j -0.0784303+0.0808923j -0.0784191-0.0225537j -0.066474+0.0345039j 0.00811492-0.0284156j 0.0662906+0.0920041j -0.020288-0.0343486j -0.0321114+0.0384697j 0.0331882+0.017756j -0.00562664-0.00135268j -0.000738612-0.0278319j -0.00991645-0.00666802j -0.0198853+0.000769154j -0.0140272+0.0601817j -0.00732973-0.00394188j 0.00820844+0.00493101j -0.00480142+0.00744512j -0.00661391+0.0225896j -0.107079+0.00857101j -0.019505+0.0457439j -0.0117526-0.00657732j 0.00496823-0.0235047j 0.00370547-0.0441458j 0.035509+0.0240259j -0.0257456-0.0063599j 0.00952533-0.00802994j 0.00810613-0.000246464j 0.0167443+0.0216553j 0.0187499+0.0395311j -0.0257574+0.0501279j 0.0520364-0.0071126j 
-0.0288476-0.0452852j 0.0301063-0.0425206j -0.0105887+0.0561796j -0.0815914-0.0549136j -0.0115503-0.175024j 0.129974+0.0848625j -0.0398001+0.0863471j -0.0483956+0.0277674j 0.0773061+0.0467551j 0.0416377-0.0494153j 0.036982+0.134508j 0.0303602-0.0451971j 0.0406342+0.0169396j 0.0811967+0.0323893j 0.121425-0.0529336j -0.0196161+0.00604144j 0.0249224+0.0316613j 0.0136879-0.00937972j -0.0170818-0.0351912j -0.00417757-0.0267566j 0.0238584+0.0420939j 0.0331306+0.0255653j 0.1046+0.0190915j 0.0169296+0.00137712j 0.00826409-0.0143226j -0.0386663+0.00858804j 0.00941574-0.0081515j 0.0168064+0.0195235j 0.00679173+0.0121406j 0.0148183-0.000372595j -0.0138501-0.0232435j -0.0484957-0.0488174j -0.0123612+0.0114211j 0.0326939+0.031457j -0.0113369-0.00322082j -0.0231552+0.0417369j 0.0107916+0.0236797j 0.0172946-0.0379361j -0.00912843-0.0153512j -0.00554637+0.0212872j 
-0.106598+0.0156402j 0.0312696-0.0242646j -0.157942-0.0103082j 0.202109+0.134973j -0.292699-0.0579109j -0.00121748+0.239785j 0.108932+0.00761743j -0.0853259+0.194648j -0.197488-0.0860928j 0.0950664+0.00667203j -0.0538079+0.00870754j -0.0644001+0.00617839j -0.0445208-0.0122433j -0.0520112+0.000952365j -0.128166-0.0468164j 0.0685513-0.0191943j -0.0689819-0.0257016j 0.00390444-0.00351996j 0.00960946-0.00717595j -0.00751924+0.0141017j -0.057543-0.0493052j 0.0507946-0.0115252j -0.0759315-0.0506383j -0.0188465+0.00178678j -0.00053618+0.00243204j -0.000591953+0.00266747j 0.017104-0.00867077j 0.0429327+0.0284807j 0.0233254-0.0234793j 0.03222+0.0308115j -0.0402407+0.0326935j -0.00669738-0.00113828j -0.0581736-0.0439547j -0.0157356+0.000322671j -0.00272525-0.000281838j -0.0108227+0.00864674j -0.0182735-0.00806579j -0.0290452-0.0274411j 0.0334239+0.0254581j -0.0622023-0.03634j 
0.0894499-0.0109668j -0.048861+0.0107858j 0.115958+0.0211714j 0.0641966+0.0812849j -0.143607+0.141284j -0.162265+0.245505j 0.0569822-0.0232764j 0.01228+0.0195464j 0.0811494-0.0941043j -0.0451305-0.0552589j 0.106833+0.0788854j -0.00928214+0.0699135j -0.0158667+0.0509439j -0.0113688-0.0682547j -0.020994-0.0421048j -0.0326174-0.0208076j 0.00451243+0.00981713j 0.0331762+0.00134783j -0.000773868-0.0182281j -0.00802181+0.0440669j 0.00887248-0.0373293j 0.0141607-0.0187649j 0.00832539-0.0183178j 0.00307968-0.017296j -0.0150516-0.0100858j 0.01963+0.0198457j 0.01449+0.00420299j 0.0250743+0.00992221j 0.00172467-0.0269929j -0.00694559-0.00544168j -0.0194716+0.0165015j 0.00487295-0.0196771j 0.0198914+0.0214837j -0.017056-0.0350331j 0.00891285-0.00312425j 0.0157442-0.0099514j 0.024913+0.0101393j -0.00432126-0.0344751j -0.0137616+0.0242849j 0.00673978+0.0114254j 
