-0.00649158+0.01404j 0.00266786-0.00870361j 0.010362-0.0043057j 0.00106869-0.0115546j 0.00718281-0.00971695j 0.00415738-0.00438956j -0.0215284-0.00204001j 0.013952-0.00633688j 0.00835043-0.00369279j -0.00915478+0.00657816j 0.00797981-0.00881617j -0.0162971-0.00987537j 0.00402591-0.00633005j 0.00596667-0.00238753j 0.00448598-0.00194146j -0.00801412+0.00259767j -0.00073057-0.000881475j 0.00582873+0.00241001j -0.0121859-0.00460298j 0.0071225+0.00359611j -0.00345309+0.00395044j -0.0047529+0.0018178j 0.017647+0.0100521j -0.00341876+0.012706j -0.00800311+0.00186776j 0.00266727-0.00383382j -0.0054417+0.0120173j 0.00798002-0.00192395j -0.0131429+0.00123039j -0.00387614-0.00609108j -0.00253389-0.00267443j -0.00847638-0.00727545j 0.0246822+0.00927038j 0.00194865+0.0213807j -0.00439886+0.00427988j 0.0110853+0.00466101j 0.0150262+0.00566445j -0.0125035+0.013884j -0.00345555-0.0180439j 0.0215441+0.00817676j 
0.00481321+0.00623151j 7.45031e-05+0.00630021j -0.00644705-0.00491655j -0.00770037+0.00332177j -0.00267428-0.00318325j 0.00589199-0.00157435j -0.00229696+0.00224997j 0.0119123-0.00646467j -0.00537196-0.00304233j -0.00570356-0.00206474j 0.00294135+0.00195029j -0.00168436+0.00852869j 0.00842812+0.00367726j 0.000555685-0.003562j -0.00245359+0.007999j 0.00730192-0.00737971j 0.00522266+0.0008002j 0.00219065-0.015987j -0.00213493-0.00421359j -0.00205928-0.00141394j 0.000856425-0.0082679j 0.00314434-0.00926136j -0.00134847-0.0111224j -0.000759101-0.00623967j 0.00257425-0.00332916j -0.0062809+0.00195733j -0.000954525+8.65792e-06j 0.0091651+0.012256j -0.0130989-0.0108042j 0.0083168-0.00171913j -0.000975552+0.00415625j 0.0100621-0.00365677j -0.0129277-0.00769709j 0.0117006-0.00652983j 0.000133616+0.00118665j -0.00139475-0.0116186j -0.00607952+0.0017302j -0.0153997-0.00506298j -0.0341437+0.00884525j 0.00743336-0.0388781j 
0.00447004-0.00904854j -0.00147253+0.00158806j -0.00368578+0.00570013j 0.0174575+0.00881961j 0.0355433-0.00197341j 0.0087926+0.000432356j 0.0231748+0.00442214j -0.0131564-0.0056255j -0.010668-0.0154892j 0.00360099-0.0270746j -0.00787254+0.0166724j -0.00217297-0.0126062j -0.0093124+0.0156705j -0.00359894-0.00417774j 0.0194084-0.00432245j 0.0291791-0.00114849j 0.00984762-0.000753157j -0.00750751+0.00654363j -0.0177473+0.0095543j 0.0207454+0.0175414j 0.00398434-0.00229423j 0.000777704+0.00992723j -0.012621-0.0235219j -0.00415247-0.0261476j -0.00457964+0.00245926j 0.0132446+0.00381568j 0.0158836-0.022097j -0.0205051+0.0176726j -0.022826-0.00711152j -0.00315812+0.00434628j 0.00810204-0.000501716j 0.00654651+0.00904147j -0.0204198-0.0115828j -0.00488399-0.00486079j 0.00629763-0.0105797j -0.00163979-0.00451848j -0.020965-0.00196077j 0.00406623-0.0103154j -0.0031826+0.0153555j 0.0053585-0.00806945j 
-0.0124034+0.00272067j -0.00149083-0.00810942j 0.0133564+0.00341392j 0.018386-0.0163796j -0.00756116-0.0022995j -0.00877481+0.00363065j -0.0142881-0.00453574j -0.00408783+0.00377793j 0.00783696+0.00053902j 0.0120421+0.0173581j -0.00425106-0.00992979j 0.00574103-0.00636256j -0.00804117-0.0154959j -0.00314087-0.0011724j -0.0181575-0.00495624j -0.0192988+0.00280029j -0.0157377+0.000213254j 0.00376559+0.0203135j 0.00743557-0.00190447j 0.00102373-0.00611302j -0.00811435+0.00313084j 0.00165801-0.00292789j 0.00981718+0.0208906j 0.00604719+0.0159902j 0.0106848-0.00309192j -0.00841915+0.00254608j -0.0024849+0.00370503j 0.00039458-0.0090415j 0.00163491+0.00578117j 0.00761976+0.00293098j -0.0160277-0.00964087j 0.00749617-0.00124108j -0.00299244-0.0103067j -0.000849705+0.00817559j 0.00549477-0.000916839j 0.00942269+0.0103064j -0.0113621-0.00772516j -0.00770214-0.0203335j -0.00431751+0.00753748j 0.00607646-0.0165866j 
0.00532829-0.0119286j -0.00642489-0.00701263j -0.00270473-0.00814138j 0.0091882-0.0039657j -0.00319151-0.00452478j -0.0189535+0.0118763j 0.013341-0.017239j 0.0068562-0.00642907j -0.0189189-0.0129248j -0.00488599-0.00436087j -0.00134489+0.00581724j 0.00785237+0.00553756j -0.012014+0.0191603j 0.0203168-0.00122162j -0.0201089+0.00569999j 0.014839+0.0197631j -0.00161783+0.00912171j -0.0131384+0.00184194j 0.00392993+0.00605487j -0.0150135+0.00364867j 0.0142949+0.00568196j 0.00349526+0.0230162j 0.0200907+0.0247697j -0.000999986+0.000354631j -0.0136046+0.0182625j 0.00262282-0.00463373j 0.021103-0.000210214j 0.0102058-0.0196307j -0.0110455-0.000611912j -0.00675395-0.00713091j -0.00122323-0.0188212j -4.90617e-05-0.00614413j 0.0142502-0.00605502j -0.0123764+0.0162975j 0.00440194-0.0113351j 0.0105493+0.00534594j -0.00671169+0.00580617j -0.0055317-0.00165316j -0.00440878-0.00826391j -0.00436787+0.0030631j 
-0.003115+0.0162953j 0.00142077-0.00297987j -0.00395431+0.0254302j 0.00868456-0.0077294j 0.023458-0.00898817j 0.00516257-0.00445174j 0.012979+0.0152668j -0.02518-0.00498604j 0.0150987+0.00743512j -0.00699751-0.0106701j 0.00842888+0.0055384j 0.0157901-0.0065839j -0.00463356+0.0100618j 0.00610049+0.00384941j 0.0106456-0.00455351j 0.0128976+0.0109345j 0.00612937+0.00180128j -0.0041897+0.00433405j 0.00788286+0.0197052j -0.0230513-0.00486705j 0.00796035+0.00354265j 0.00598733+0.0176343j 0.00794875+0.00144805j -0.00107911-0.00393917j 0.000138393+0.0115223j 0.0137329-0.00414708j 0.00905333-0.0108142j 0.00728725-0.0145929j 0.00588141+0.00768165j -0.0025952-0.00294251j -0.0101873-0.00978178j 0.00273021-0.000114896j 0.0027532+0.00751944j -0.00384655+0.00564939j -0.00161267-0.00306525j -0.00429203-0.00286929j 0.00469965+0.00466642j -0.00247949-0.00782658j 0.00295885-0.00383124j -0.00615081+0.000215185j 
-0.00568474+0.0335455j 0.00636233-0.00564798j 0.0114442+0.0123683j 0.00181359-0.00981016j 0.000951257+0.00201768j -0.00372872+0.00252723j 0.000199035-0.000738562j 0.00585492-0.00181656j -0.00643762-0.0013373j 0.0126992-0.000444046j -0.00692709-6.02674e-05j 0.00658798+0.00761284j 0.00594043+0.000660042j -0.00497661-0.00665639j -0.0193512+0.00661163j 0.0156688-0.00938324j -0.00507368-0.000658878j 0.000283593-0.0104791j -0.012383-0.0110078j 0.0167914+0.00676757j -0.0022007-0.002439j 0.00212752-0.00712281j -0.000937127-0.00486586j -0.00316207-0.0013721j -0.00470805-0.0023071j -0.00715026+0.00383644j -0.00272311+0.000765231j -0.00155124+0.0161655j -0.0225358-0.00201481j -0.000846454+0.00170383j 0.0105112+0.00359646j 0.00116199-0.00132j -0.00962452-0.0150515j 0.00496075+0.00375012j 0.00291526-0.00285535j 0.00891144+0.00363638j -0.011602-0.00509157j -0.00402126+0.011466j -0.00570828+0.0147094j -0.00329205-0.00772361j 
0.00911742-0.00625333j 0.00877936+0.00679754j -0.00564299+0.00493524j -0.0111065+0.00913813j 0.01863+0.00879759j 0.00400945-0.0427262j -0.0119788-0.00646016j -0.0160435+0.0240569j -0.0238129-0.00342097j 0.000147694-0.00801245j 0.00243597-0.00438458j 0.0230127-0.00162299j -0.00873614+0.0114793j 0.014925+0.00244211j 0.000928171+0.00597353j 0.00684163+0.0140954j -9.32072e-05+0.004364j -0.0213415+0.00260069j -0.00108245+0.00571513j 0.00627114+0.00757099j 0.00751367+0.00699349j 0.00714403+0.00491049j -0.00230917+0.00220207j 0.0323326-0.00207849j 0.00355996-0.00269099j 0.0322306-0.0103886j -0.014148+0.00151631j 0.0105755+0.016835j 0.01542-0.0057744j 0.00607492+4.70397e-05j -0.0231641+0.0108469j -0.00593987-0.00813782j 0.00518736+0.0221452j 0.0256154+0.0140744j 0.000774542+0.0355719j 0.00262329+0.00350385j 0.0303556-0.0134918j -0.0180244+0.00573892j -0.00394552-0.0110235j 0.011291-0.00552162j 
0.00132744+0.00735917j 0.00229007+0.00234189j 0.00245264-0.0176399j -0.00152803+0.00516727j 0.00102214+0.00270013j 1.63643e-06-0.0123964j -0.0128588-0.00097753j -0.00105726+0.000617274j -0.0101622+0.00349393j 0.0234732-0.00148166j -0.0128513-0.00427668j 0.00618469+0.00808032j 0.00835709-0.00259495j -0.0360996-0.00627848j 0.011625-0.00571782j 0.0132353-0.0133956j 0.00243908-0.00753986j 0.0110798-0.0116669j 0.011939+0.0129462j -0.00829475-0.00528681j -0.00582832+0.00534217j 0.000227798-0.0141667j -0.00993183-0.0270657j -0.00893951+0.00567027j -0.0137859+0.00489653j -0.00281765-0.00501223j -0.0163693-0.00359461j 0.0097833-0.00820823j -0.00164598+0.00413428j 0.00376316-0.00391755j 0.0218184-0.0105142j 0.00330107-0.0149078j 0.00694717+0.0141867j 0.00115296-0.00790149j -0.00807688+0.00805813j -0.00276556+0.00799247j 0.00627589-0.000534588j 0.0071535+0.00402975j -0.000584723-0.0125209j -0.00289876+0.00842713j 
0.00189577+0.0184704j 0.00310864+0.00785266j 0.00139243+0.00587564j -0.000340694+0.0159156j 0.000356682-0.00939061j -0.00167057+0.00464284j 0.016624-0.00111941j -0.00728034-0.0134067j -0.0170829-0.00514808j 0.00441844+0.00118384j 0.00860316+0.0027401j 0.0308707+0.00675475j -0.0138461+0.00978549j 0.00643094+0.00699394j -0.00109455+0.0150959j -0.0241474+0.00714146j 0.00721627+0.00152763j -0.0186801+0.00435843j 0.0112441-0.0107292j 0.00482517+0.00162894j 0.0119969-0.00266888j -0.000388594+0.00919975j -0.00383025+0.0236304j -0.0033929-0.00121591j -0.00753903+0.0116463j -0.0114534-0.00192612j 0.00928393-0.000641306j -0.00571946-0.00751159j 0.0221175-0.00555135j -0.0101018+0.00246927j 0.00946433-0.0053905j -0.00384737+0.00156566j 0.00963899-0.00917912j -0.0166123-0.00472288j -0.0114675-0.00194242j -0.0127329+0.00203622j 0.00911631+0.00767321j 0.0177102+0.00486778j 0.00871563-0.0200872j 0.00144565+0.016961j 
-0.0126127-0.0289945j -0.00227757+0.00539724j 0.010332-0.0174309j -0.00196718-0.0137865j 0.00824294-0.0134903j -0.000161805-0.00569275j 0.00295443+0.0168531j -0.0131297-0.0102963j 0.0163317-0.00762862j 0.00867982+0.00596653j 0.00692869-0.00196308j 0.0198297-0.000508602j 0.00300653-0.00815884j 0.000682162+0.00115045j -0.00365362+0.0123903j -0.00599963-0.00192276j 0.00501113-0.00240419j -0.000306714-0.012569j -0.00566509-0.0112883j 0.00530756-0.00101095j 0.00393137-0.000406247j 0.00257365-0.00676065j 0.00818745+0.00584051j -0.000739733+0.00893433j -0.0115515-0.00110265j -0.0183127+0.000660654j -0.00627415-0.00349132j 0.00270582+0.00577969j -0.00301821+0.00182043j -0.00556292+0.00394451j 0.0128888-0.000768645j -0.00020122-0.0121453j 0.00198401-0.0150777j 0.00396343+0.00378907j -0.0149935-0.00142844j 0.00529924+0.00684627j -0.000666583+0.00573688j 0.000293891+0.0109459j -0.00832508+0.000419705j 0.00364906-0.00236191j 
