-0.015156+0.0487183j -0.0120601+0.0773936j 0.0225589+0.246923j -0.0688141-0.0482827j -0.00809585-0.000400225j -0.0965073-0.014641j -0.00104996+0.0103046j -0.143937-0.0531879j -0.0988906-0.0368093j -0.272412+0.27977j -0.0159743+0.00723543j -0.0804157-0.215518j 0.14712-0.0958708j 0.151422+0.0559313j 0.203596+0.17141j -0.41039-0.0260689j 0.000559832+0.00783615j -0.0587813-0.060138j 
-0.203575+0.0278187j 0.174129-0.0658442j -0.0447044-0.155597j 0.0821103-0.0574954j 0.0485319-0.297533j 0.0771256-0.00724058j -0.14285+0.0472854j 0.203181+0.164016j -0.121233+0.029772j 0.307356+0.191719j 0.117728-0.00329215j 0.443212-0.234234j 0.0650325-0.0236467j 0.0378467+0.0892575j 0.143658+0.0413576j -0.0722031-0.114108j -0.119166+0.0568669j 0.138066+0.0197428j 
0.0559783-0.0845083j -0.0732163-0.0484869j -0.211573-0.327919j 0.0787445+0.384976j -0.309993+0.449474j -0.104268-0.242877j 0.188513+0.231067j 0.209549+0.0668908j -0.0257017-0.159474j 0.0173615+0.211062j 0.00908554+0.316834j 0.0901385+0.0198061j -0.0116222-0.0460489j 0.00415501+0.0192738j 0.00222396+0.00360785j -0.0874397+0.0199739j 0.00497416+0.00405166j 0.0176223-0.0225496j 
0.0202441+0.116877j 0.0169464-0.0480209j -0.00683541-0.0324161j 0.158444+0.0654778j 0.0992039-0.230703j 0.26686-0.114483j 0.0278959+0.193032j 0.121642+0.0878162j -0.0627932+0.0260093j 0.0833947-0.150995j 0.167477-0.0667834j 0.273522+0.185358j -0.442293+0.00364001j 0.195713-0.0662077j -0.110954-0.00278123j -0.0863278+0.0777877j 0.120254-0.0349535j -0.167164-0.00722921j 
-0.107595+0.122591j 0.035989+0.0581864j 0.0413654+0.194857j -0.0083916+0.0335775j -0.025787-0.0971571j -0.0533127-0.0949535j -0.0221269+0.131609j -0.0110055+0.0171374j -0.238347-0.0398383j 0.0558183+0.215344j 0.0188768+0.00801588j 0.1054-0.127149j 0.0234761-0.0670605j -0.115155+0.0278246j 0.0870774+0.125997j -0.282125+0.0199724j 0.0331951-0.079158j 0.0765044-0.0147142j 
0.120583-0.0994395j 0.0180757-0.0896013j -0.0962387-0.249598j 0.0712831-0.0569387j 0.0448593+0.00216207j 0.0937976+0.147454j 0.0358737-0.131201j -0.0217618+0.0556696j 0.179847+0.0244436j -0.22535+0.0654891j 0.0807178+0.0433397j 0.00979566-0.162201j 0.0264289+0.0214088j 0.639931+0.0731359j 0.303561-0.071615j 0.0505901-0.0794498j -0.120161+0.0892769j -0.132625+0.0959913j 
0.086241+0.0642719j -0.0467612+0.0608744j 0.0324001+0.148387j 0.0403883+0.0526509j 0.0623554-0.0193769j 0.0460884-0.0862969j 0.097384+0.0760589j -0.0869132-0.00737184j -0.0487014+0.000315223j -0.228205-0.0175426j 0.0396721-0.0308372j -0.0539426+0.0684149j -0.148254-0.0241333j 0.171128-0.0424584j -0.0558684+0.0538589j -0.241476+0.0402795j 0.0798399-0.0564315j -0.156255-0.0565592j 
-0.0738364-0.0729438j 0.0531843-0.0418732j -0.0278088-0.0774572j -0.0689023-0.0567785j 0.00269024+0.0084471j -0.0630844+0.121536j -0.0722285-0.103369j 0.0174303+0.00215301j 0.040529+0.00565984j 0.109126+0.0431544j -0.051513-0.00993829j -0.0300873-0.0918076j 0.196069-0.0164871j -0.0878466+0.0333761j 0.0570446-0.0341493j 0.158355-0.0328326j -0.05025+0.0927156j 0.0799206+0.0731096j 
0.0240623+0.0353008j -0.00830177+0.0373315j 0.0202712+0.0277896j -0.013622-0.00331806j -0.00523676-0.0135309j 0.0374066+0.0228981j 0.00463698+0.00229297j -0.0315639+0.0372909j -0.037244+0.00524362j -0.0498174+0.0415126j 0.0115546-0.0176546j 0.0428181-0.00772554j -0.00458048+0.0108268j 0.00196341-0.0112078j -0.0248081+0.0410033j -0.0699909-0.0042582j -0.0214409-0.00963995j -0.00564397-0.00805691j 
0.0306533-0.0225777j 0.0197794+0.0046019j 0.0014269+0.019758j -0.0192529-0.00201809j 0.00562677-0.00408458j 0.0164807-0.0191252j 0.00213182+0.0443452j -0.009958-0.00848602j 0.0171557-0.0251015j -0.0126716-0.0354428j 0.023868-0.0152281j -0.0442531+0.0664116j -0.0463361+0.00384779j 0.0863096-0.0020532j 0.0379771-0.0229526j 0.01251-0.00510472j -0.00263332+0.00028053j -0.0487897-0.0139202j 
-0.008317+0.0173787j -0.0261071+0.00850814j 0.0224033+0.0214469j -0.00640833+0.0320787j 0.00875153+0.0235252j -0.0122443+0.00939985j 0.0445462+0.000343713j -0.0215611+0.0109053j 0.00471174-0.001257j 0.0382015-0.012939j -0.0147091+0.000562581j -0.00149896+0.0161531j 0.00814486+0.0163549j -0.0864606+0.0064921j 0.0118833+0.019144j 0.0291741-0.00363455j 0.0107117-0.0633941j 0.0614255-0.00363742j 
-0.00174913+0.0278818j -0.00384937+0.0156792j 0.011643+0.0558123j 0.0102027+0.024374j -0.0254541-0.00329069j -0.0291196-0.050895j 0.0227348+0.0311964j 0.00602714-0.0156362j -0.0123773-0.0239561j 0.0174566+0.00707306j 0.00170893+0.00234516j -0.0275078+0.0355064j -0.00226453-0.00240618j 0.0329357-0.0240334j 0.0221326+0.0382492j -0.0340311+0.000675579j 0.0154611-0.0299021j -0.0165961+0.00735028j 
0.0158939-0.025224j -0.0165482+0.00209661j -0.00714499-0.0309465j 0.00272202-0.000449698j -0.0148354+0.0373798j 0.0107365+0.00883658j 0.00934909-0.0273369j 0.0167639+0.00192106j 0.0341045-0.00555626j -0.0386228-0.0369728j -0.00893452+0.00649845j 0.0173209+0.00904926j -0.0186296-0.0268057j -0.0532883-0.0255115j -0.0564962-0.0315225j -0.00838153+0.0187599j 0.0387894+0.00774795j -0.00851595-0.00478682j 
