-0.169616-0.32785j 0.313295-0.184971j -0.110877+0.0189304j -0.104968+0.10523j -0.20086-0.0029623j 0.054658-0.0328758j -0.0173027+0.0927202j -0.0387799+0.062056j -0.00200439+0.00457889j 0.165662+0.0559523j 0.137252-0.0184596j 0.114724+0.0151218j -0.0833562-0.0332189j -0.0375757+0.081945j -0.0498912+0.0370419j -0.00105243-0.0872221j 0.0312696+0.0458252j 0.0894905+0.0939244j 0.0505352+0.0759534j -0.156284-0.148697j -0.0529909-0.0613837j -0.0162898-0.099674j -0.0499134+0.356548j -0.157669+0.0305481j 0.14239+0.305047j -0.356718+0.135517j 
0.0157074-0.0559908j 0.0546519+0.0129575j 0.00671916+0.00728332j -0.0327324+0.0230751j -0.0365015+0.0103158j -0.016129+0.00290291j -0.00711533-0.00410631j -0.0160548+0.0015693j 0.0124372+0.0254051j 0.0584847+0.020645j 0.0185485-0.00394113j 0.0340237+0.011556j 0.00382466-0.0285065j -0.00208129-0.00507976j -0.00447571+0.00398245j -0.0273357-0.0134294j 0.00338552+0.0179241j 0.0300342+0.0371944j 0.027239+0.0253287j -0.00409445-0.049455j -0.00832502-0.00303387j -0.00813077-0.066402j -0.0296423+0.0717178j -0.0781037-0.0037853j 0.0678323-0.018851j -0.00371954+0.0656197j 
-0.0376695-0.0207896j 0.0210201-0.039356j -0.0178058-0.0144105j -0.000389486-0.0185304j 0.0194418+0.00330211j 0.00333706-0.0261848j 0.0302996-0.00723134j -0.0226078-0.00377508j -0.0250042-0.000783575j -0.0015061+0.0190072j 0.0187548-0.0281554j -0.0294686-0.00875085j 0.0281756+0.017326j -0.00620323-0.00909357j -0.0112366-0.0246233j 0.00914269-0.00851384j -0.00203275-0.0164506j -0.0145375+0.0230626j 0.0141375-0.0191755j -0.000388728+0.0119714j 0.00185582+0.00477592j 0.00502969+0.0148142j 0.00768599-0.00440442j 0.0105063+0.000866133j -0.0172917+0.0210915j -0.0180257-0.0204995j 
-0.0366377-0.0217437j 0.0191811-0.0406652j -0.0298204-0.0116552j 0.00509148-0.0159447j 0.00307415-0.0169633j 0.0298665-0.0008262j -0.00379997+0.0182283j 0.00893846+0.00864902j 0.00599281-0.0230171j -0.014056-0.00652532j 0.00399748+0.00264595j -0.0126907+0.0238839j 0.000582494+0.0145436j 0.000117604+0.014722j -0.00620794+0.00569325j 0.0283621-0.0190762j -0.00112895-0.00199073j -0.0105864-0.0076607j -0.024287-0.0035731j -0.0243494+0.00964623j 0.0178621+0.0121699j 0.00620325+0.019072j -0.0028214+0.0257015j -0.0199264-0.023202j 0.00235911+0.00861691j -0.0145578-0.00887837j 
-0.0140833+0.0142959j -0.0160974-0.0131446j 0.00571559+0.000297201j 0.0219459+0.0089338j -0.00463825+0.0192526j -0.0035782-0.000947249j 0.00204832+0.0172219j 0.00381949+0.00316446j 0.00417751+0.0190702j 0.0001168-0.00667346j -0.00167821+0.00600825j 0.00795946-0.003554j 0.0121716-0.000420284j -0.00794086+0.00842981j 0.0147532-0.00225646j -0.0215216-0.000745047j -0.0108638+0.0012263j -0.00108973-0.000996315j 0.000322333+0.000416864j -0.0181302+0.00314025j -0.0198754-0.019313j 0.0208091-0.0299348j -0.0340355-0.0160697j 0.00341359-0.0281408j -0.0146626-0.019719j 0.0231147-0.0261275j 
0.0163295+0.01272j -0.0108077+0.0147403j 0.000741557-0.00330701j -0.00847416-0.0103696j 0.00792078-0.00629532j -0.00225227+0.00445225j -0.00748492-0.00717161j 0.00985626-0.00602678j 0.00508426-0.00249374j 0.00210853-0.00407179j -0.00568473+3.63435e-05j 0.00548781+0.0145214j 0.0176428+0.00313882j 0.0180593-0.00603982j -0.00338028+0.00766506j 0.00520973-0.0120095j 0.00301708+0.00341395j -0.00195221-0.00212337j -0.00267816+0.00445658j -0.00279422-0.00185379j 0.0125408+0.00795943j 0.000995017-0.00498519j 0.000546733+0.001102j -0.0144339+0.0034123j 0.00170098-0.0343194j 0.0290963+0.0023655j 
0.00779661+0.00572366j 0.000224742+0.00875525j 0.00579149-0.0124837j 0.000699295-0.0213115j 0.0267517+0.00501096j 0.00290031+0.00141215j 0.00702118-0.00751791j 0.00636838-0.000968892j -0.00449119+0.00538802j -0.00570652-0.0182018j -0.0166671-0.00411155j 0.0178132+0.0084641j 0.0166267+0.0136976j 0.0176297-0.00583261j -0.0131553+0.0125012j 0.0139098-0.00317633j 0.0166801-0.00441512j 0.0109359+0.00512845j 0.00571061-0.000197686j -0.0145785+0.00424934j -0.00804689+0.000661104j 0.00955239-0.00522547j -0.0114612-0.00175298j 0.0131653+0.00189267j 0.00245137-0.00525329j 0.00821483-0.00205243j 
0.00868097+0.00225652j -0.0051443+0.00804749j 0.00230759+0.00646998j -0.00366521+0.00922672j -0.00568789-0.00160075j -0.00293696+0.00144469j -0.00321894-0.00382175j -0.00312194+0.00113601j -0.0023869+0.000370392j 0.0051204+0.00240453j 0.000265741-0.00298718j -0.00865722+0.000464524j -0.00518495+0.00546679j -0.00191906-0.00385324j -0.00164165-0.0014998j 0.00649344+0.00141366j -0.00237509-0.000186657j -0.00391355-0.00114081j 0.00234213-0.00237085j 0.00141198-0.00718096j 0.00493372+0.000783518j 0.00361938+0.0133517j 0.00578421-0.00918418j 0.00904376+1.15455e-05j 0.0013726-0.00642277j 0.0106755+0.00231286j 
0.0110651+0.0122951j -0.0165569+0.00787184j -0.0105237+0.0117203j 0.000907977+0.0160858j -0.0106665-0.010151j -0.00415438+0.00364885j -0.00987316+0.00597208j -0.00147408-0.0240018j 0.0119466+0.00287414j 0.0195875+0.00200238j 0.0135991-0.014973j -0.0223089-0.00282537j 0.00657705+0.00495389j 0.0106544+0.0111817j 0.00570717-0.0123382j -0.00392092-0.00769042j 0.00874028-0.000298974j -0.0119385-0.0133401j 0.0031688-0.0139816j -0.00885712-0.013378j 0.00144955+0.0178452j -0.00448503-0.00432352j 0.000698424+0.0050516j 0.00503739-0.00104456j -0.00589475+0.000336934j -0.000308269-0.00702773j 
0.0114845+0.0146685j -0.0132849+0.0087005j -0.00640831-0.0175519j 0.00878943+0.00863421j 0.0241069-0.0099662j 0.0188222-0.0203258j 0.0073247+0.000327117j -0.00345406-0.000269638j -0.0231029-0.00527507j 0.027386-0.00363086j -0.0117026-0.0157633j 0.00682747+0.00476816j -0.014028-0.000565963j -0.00716861-2.41687e-05j 0.0141634+0.00284876j 0.00127905+0.0173866j -0.00142435-0.0376022j -0.000401247-0.0155323j -0.00964112+0.0170466j 0.00877324-0.00612412j 0.0033212+0.00515551j 2.63448e-05-0.00406507j 0.00227935-0.00286392j 0.000170457-0.00564114j -0.00285508-0.00672127j 0.00771779-0.00282382j 
-0.0176186-0.0115941j 0.0110244-0.0154969j -0.000522358-0.00554995j 0.00986812-0.0054337j -0.00542008+0.00583251j 0.00401898-0.000844091j 0.0040694+0.00290355j -0.00166719+0.0159348j 0.00134295-0.00663767j -0.00267486+0.0095756j 0.00514927+0.00724264j -0.0046656+0.00357233j -0.0155632-0.0031701j -0.0142236+0.0124594j 0.000500506-0.00888759j 0.00113327+0.011718j -0.0145246+0.00716868j -0.00254469+0.00534858j -0.00679846+0.00940979j 0.0145086-0.00105957j 0.00080616-0.00462624j -0.00456376+0.00132885j -0.00142702+0.00202251j -0.0211187-0.00339689j 0.00532363+0.00462056j -0.00798463+0.00622302j 
