-0.0245722-0j -0.0178326-0j -0.00460436-0j -0.0105667-0j -0.00334149-0j -0.00049812-0j -0.00542245-0j -0.00099-0j -0.00161666-0j -0.000361497-0j -3.81051e-05-0j -0.0102312-0j -0.00323538-0j -0.000482303-0j -0.00909373-0j -0.00166028-0j -0.00271123-0j -0.000606249-0j -6.39042e-05-0j -0.00718923-0j -0.00131257-0j -0.00214341-0j -0.000479282-0j -5.05207e-05-0j 
0.00484571-0j 0.00351664-0j 0.000907993-0j -0.0934709-0j 0.000658951-0j 9.82306e-05-0j -0.064723-0j 0.000195231-0j -0.0143006-0j 7.12882e-05-0j 7.51443e-06-0j -0.0905028-0j 0.000638026-0j 9.51114e-05-0j -0.108544-0j 0.000327412-0j -0.0239829-0j 0.000119554-0j 1.26021e-05-0j -0.0858113-0j 0.000258842-0j -0.0189602-0j 9.45156e-05-0j 9.96282e-06-0j 
0.00530821-0j -0.113178-0j 0.000994656-0j 0.00228267-0j -0.0212073-0j 0.000107606-0j 0.00117138-0j -0.0127803-0j 0.000349239-0j -0.0022943-0j 8.23165e-06-0j 0.00221019-0j -0.0205339-0j 0.000104189-0j 0.00196447-0j -0.0214332-0j 0.000585692-0j -0.00384766-0j 1.38049e-05-0j 0.00155305-0j -0.0169444-0j 0.00046303-0j -0.00304184-0j 1.09137e-05-0j 
-0.000884702-0j 0.038368-0j -0.000165776-0j 0.0170654-0j 0.00718942-0j -1.79344e-05-0j -0.000195231-0j -0.0614965-0j 0.00261093-0j 0.000777783-0j -1.37194e-06-0j 0.0165235-0j 0.00696113-0j -1.73649e-05-0j -0.000327412-0j -0.103133-0j 0.00437866-0j 0.00130438-0j -2.30082e-06-0j -0.000258842-0j -0.0815337-0j 0.00346164-0j 0.0010312-0j -1.81895e-06-0j 
-0.0965881-0j 0.00497328-0j -0.0374816-0j 0.00294692-0j -0.0131347-0j -0.00615184-0j 0.00151225-0j 0.000276098-0j -0.00635475-0j -0.00294275-0j -0.000631013-0j 0.00285334-0j -0.0127176-0j -0.00595649-0j 0.00253612-0j 0.00046303-0j -0.0106572-0j -0.00493514-0j -0.00105824-0j 0.00200498-0j 0.000366058-0j -0.00842529-0j -0.00390157-0j -0.000836612-0j 
0.0143985-0j -0.000741373-0j 0.00558743-0j 0.0398501-0j 0.001958-0j 0.000917062-0j -0.000225433-0j -4.11582e-05-0j -0.0859329-0j 0.000438679-0j 9.40658e-05-0j 0.0385847-0j 0.00189583-0j 0.000887942-0j -0.000378063-0j -6.90245e-05-0j -0.144114-0j 0.000735687-0j 0.000157753-0j -0.000298885-0j -5.45686e-05-0j -0.113932-0j 0.000581611-0j 0.000124715-0j 
0.0215978-0j 0.0326716-0j 0.00838114-0j -0.000658951-0j -0.0862872-0j 0.00137559-0j 0.0204672-0j 0.00368935-0j 0.00142097-0j -0.0193322-0j 0.000141099-0j -0.000638026-0j -0.0835473-0j 0.00133191-0j 0.0343245-0j 0.00618722-0j 0.00238303-0j -0.032421-0j 0.00023663-0j 0.0271359-0j 0.00489143-0j 0.00188395-0j -0.0256311-0j 0.000187072-0j 
-0.0022766-0j -0.0105661-0j -0.00088345-0j 6.94595e-05-0j 0.0279056-0j -0.000145-0j 3.56441e-05-0j 0.0348562-0j -0.000149783-0j 0.00625209-0j -1.48731e-05-0j 6.72539e-05-0j 0.0270195-0j -0.000140396-0j 5.97769e-05-0j 0.0584557-0j -0.000251194-0j 0.0104851-0j -2.4943e-05-0j 4.72578e-05-0j 0.0462133-0j -0.000198586-0j 0.00828918-0j -1.97191e-05-0j 
0.0400058-0j -0.000994656-0j -0.101781-0j -0.000589384-0j 0.00544025-0j -0.0354939-0j -0.00030245-0j -5.52196e-05-0j 0.00263207-0j -0.00799098-0j -0.00555662-0j -0.000570668-0j 0.0052675-0j -0.0343669-0j -0.000507224-0j -9.2606e-05-0j 0.00441412-0j -0.0134013-0j -0.00931874-0j -0.000400996-0j -7.32115e-05-0j 0.00348967-0j -0.0105946-0j -0.00736711-0j 
-0.00942946-0j -0.00688778-0j 0.0239899-0j -0.00623139-0j 0.0376725-0j 0.008366-0j 7.12882e-05-0j -0.000777783-0j 0.0278282-0j -0.0553358-0j 0.00130971-0j -0.00603352-0j 0.0364763-0j 0.00810035-0j 0.000119554-0j -0.00130438-0j 0.0466693-0j -0.092801-0j 0.00219645-0j 9.45156e-05-0j -0.0010312-0j 0.0368953-0j -0.0733656-0j 0.00173645-0j 
-0.0101157-0j 0.000165776-0j 0.0546813-0j 9.82306e-05-0j -0.00137559-0j -0.0771879-0j -0.00305107-0j 9.20326e-06-0j -0.000665533-0j 0.00429313-0j -0.0263971-0j 9.51114e-05-0j -0.00133191-0j -0.0747368-0j -0.0051168-0j 1.54343e-05-0j -0.00111613-0j 0.00719979-0j -0.0442694-0j -0.00404518-0j 1.22019e-05-0j -0.00088238-0j 0.00569193-0j -0.034998-0j 
0.00184686-0j 0.00180868-0j -0.00998339-0j -1.79344e-05-0j -0.0150083-0j 0.0140925-0j -9.20326e-06-0j -0.00289897-0j 0.000121509-0j 0.0468397-0j 0.00481944-0j -1.73649e-05-0j -0.0145317-0j 0.013645-0j -1.54343e-05-0j -0.00486173-0j 0.000203777-0j 0.0785526-0j 0.00808244-0j -1.22019e-05-0j -0.00384353-0j 0.0001611-0j 0.0621013-0j 0.00638973-0j 
0.00202196-0j -2.47124e-05-0j -0.0166817-0j 0.000656846-0j 0.000274959-0j 0.05144-0j -7.51443e-06-0j -1.37194e-06-0j -0.00596719-0j -0.00130971-0j -0.0492111-0j 0.000635989-0j 0.000266228-0j 0.0498066-0j -1.26021e-05-0j -2.30082e-06-0j -0.0100073-0j -0.00219645-0j -0.0825296-0j -9.96282e-06-0j -1.81895e-06-0j -0.00791145-0j -0.00173645-0j -0.0652454-0j 
