0.00710483-0j -0.0493087-0j 0.157027-0j 0.162177-0j 1.0207e-05-0j -0.00013942-0j 0.000935481-0j 0.00096616-0j 2.23288e-09-0j -7.08605e-08-0j 9.50309e-07-0j 9.81475e-07-0j 1.69741e-10-0j 1.75308e-10-0j -4.36665e-07-0j 8.5534e-06-0j -7.999e-05-0j -8.26133e-05-0j 2.64619e-09-0j -5.7495e-08-0j -5.93806e-08-0j 1.07354e-09-0j 1.10874e-09-0j 1.223e-08-0j -3.88119e-07-0j 5.20506e-06-0j 5.37576e-06-0j 1.6103e-09-0j 1.66311e-09-0j 1.12268e-08-0j -2.43931e-07-0j -2.5193e-07-0j 7.2015e-09-0j 7.43767e-09-0j 
-0.030081-0j 0.09911-0j -0.083539-0j -0.0862787-0j 0.00326712-0j -0.0294774-0j 0.116363-0j 0.12018-0j 2.73459e-06-0j -6.49055e-05-0j 0.000618714-0j 0.000639006-0j 3.13559e-07-0j 3.23843e-07-0j 6.69305e-06-0j -9.31886e-05-0j 0.000575649-0j 0.000594528-0j 1.59327e-06-0j -2.58909e-05-0j -2.67401e-05-0j -2.20009e-08-0j -2.27225e-08-0j -2.5064e-07-0j 5.94895e-06-0j -5.67087e-05-0j -5.85685e-05-0j 9.6956e-07-0j 1.00136e-06-0j -2.30082e-07-0j 3.73888e-06-0j 3.8615e-06-0j -1.47587e-07-0j -1.52427e-07-0j 
0.0174098-0j 0.0120246-0j 0.00280065-0j 0.0028925-0j -0.027689-0j 0.120749-0j -0.136986-0j -0.141479-0j 0.000837395-0j -0.0131764-0j 0.0744279-0j 0.0768688-0j 0.000197625-0j 0.000204106-0j -4.70628e-05-0j 0.000388281-0j -0.00115929-0j -0.00119731-0j -3.43735e-05-0j 0.000370306-0j 0.00038245-0j 2.33355e-07-0j 2.41008e-07-0j 2.65844e-06-0j -4.18306e-05-0j 0.000236283-0j 0.000244032-0j -2.09175e-05-0j -2.16035e-05-0j 2.44038e-06-0j -2.62903e-05-0j -2.71525e-05-0j 1.56539e-06-0j 1.61673e-06-0j 
-0.000267513-0j -5.34404e-05-0j -5.97762e-06-0j -6.17366e-06-0j 0.0346771-0j 0.017102-0j 0.00317494-0j 0.00327906-0j -0.0142391-0j 0.110139-0j -0.191847-0j -0.198138-0j 0.0306945-0j 0.0317011-0j 0.000126716-0j -0.000322385-0j -0.000108855-0j -0.000112425-0j 0.000283982-0j -0.00150391-0j -0.00155323-0j -1.27814e-06-0j -1.32006e-06-0j -1.45609e-05-0j 0.000112629-0j -0.000196183-0j -0.000202617-0j 0.000172814-0j 0.000178481-0j -1.33665e-05-0j 7.07864e-05-0j 7.31079e-05-0j -8.57402e-06-0j -8.85521e-06-0j 
1.98149e-07-0j 2.34826e-08-0j 1.73933e-09-0j 1.79637e-09-0j -0.000226549-0j -3.46611e-05-0j -3.14429e-06-0j -3.24741e-06-0j 0.055768-0j 0.0147783-0j 0.00189592-0j 0.0019581-0j -0.250476-0j -0.258691-0j 8.40674e-06-0j 1.57526e-06-0j 1.65007e-07-0j 1.70419e-07-0j -0.000735272-0j -0.000133401-0j -0.000137776-0j 2.47511e-06-0j 2.55628e-06-0j 2.81971e-05-0j 7.47212e-06-0j 9.58604e-07-0j 9.90042e-07-0j -0.00044744-0j -0.000462114-0j 2.58842e-05-0j 4.69618e-06-0j 4.8502e-06-0j 1.66035e-05-0j 1.7148e-05-0j 
0.0740992-0j -0.104939-0j -0.0568628-0j -0.0587276-0j 0.000570394-0j -0.00382001-0j 0.00975652-0j 0.0100765-0j 3.54459e-07-0j -6.99525e-06-0j 5.31057e-05-0j 5.48473e-05-0j 2.69455e-08-0j 2.78292e-08-0j 0.00193362-0j -0.0214406-0j 0.0983103-0j 0.101534-0j -1.88428e-05-0j 0.000254596-0j 0.000262946-0j -1.54591e-05-0j -1.59661e-05-0j 1.94145e-06-0j -3.83146e-05-0j 0.000290872-0j 0.000300411-0j 2.55628e-07-0j 2.64011e-07-0j 1.7822e-06-0j -2.40805e-05-0j -2.48702e-05-0j 1.1432e-06-0j 1.18069e-06-0j 
0.0124517-0j 0.00382001-0j 0.000575649-0j 0.000594528-0j 0.0594958-0j -0.118771-0j -0.0481671-0j -0.0497468-0j 0.000259426-0j -0.00304436-0j 0.0112671-0j 0.0116366-0j 2.97468e-05-0j 3.07224e-05-0j -0.0140819-0j 0.0761214-0j -0.104041-0j -0.107453-0j -0.00678004-0j 0.0544736-0j 0.0562601-0j 0.000189335-0j 0.000195544-0j -2.37778e-05-0j 0.000279033-0j -0.00103269-0j -0.00106656-0j 9.19806e-05-0j 9.49971e-05-0j -2.18275e-05-0j 0.000175371-0j 0.000181122-0j -1.40013e-05-0j -1.44605e-05-0j 
-4.70628e-05-0j -6.99525e-06-0j -6.23147e-07-0j -6.43583e-07-0j 0.0131158-0j 0.00304436-0j 0.000370306-0j 0.00038245-0j 0.0355276-0j -0.132696-0j -0.0352551-0j -0.0364114-0j 0.0083845-0j 0.00865948-0j 0.0212599-0j 0.00825004-0j 0.00131108-0j 0.00135408-0j 0.0654158-0j -0.16728-0j -0.172766-0j -0.000898092-0j -0.000927546-0j 0.000112788-0j -0.000421264-0j -0.000111923-0j -0.000115594-0j -0.000887455-0j -0.00091656-0j 0.000103537-0j -0.000264762-0j -0.000273445-0j 6.6414e-05-0j 6.85921e-05-0j 
0.0016919-0j 0.000337987-0j 3.78058e-05-0j 3.90456e-05-0j 0.00243313-0j 0.00119996-0j 0.00022277-0j 0.000230076-0j 1.68135e-05-0j -0.000130052-0j 0.000226533-0j 0.000233962-0j 1.27814e-06-0j 1.32006e-06-0j 0.0726992-0j -0.184957-0j -0.062452-0j -0.0645002-0j -0.00180751-0j 0.00957218-0j 0.00988611-0j 0.0325219-0j 0.0335885-0j 9.20912e-05-0j -0.000712326-0j 0.00124077-0j 0.00128146-0j 1.21255e-05-0j 1.25232e-05-0j 8.45374e-05-0j -0.000447693-0j -0.000462375-0j 5.42268e-05-0j 5.60052e-05-0j 
-2.5064e-06-0j -2.97034e-07-0j -2.20009e-08-0j -2.27225e-08-0j 0.000698578-0j 0.000106879-0j 9.6956e-06-0j 1.00136e-05-0j 0.00389139-0j 0.0010312-0j 0.000132294-0j 0.000136633-0j 0.000446203-0j 0.000460836-0j 0.00964617-0j 0.00180751-0j 0.000189335-0j 0.000195544-0j -0.205669-0j -0.0373146-0j -0.0385383-0j -0.125957-0j -0.130088-0j -0.000356668-0j -9.45156e-05-0j -1.21255e-05-0j -1.25232e-05-0j 0.00137971-0j 0.00142496-0j -0.000327412-0j -5.94025e-05-0j -6.13507e-05-0j -0.00021002-0j -0.000216907-0j 
-0.0953576-0j -0.0658612-0j -0.0153398-0j -0.0158429-0j -0.00253785-0j 0.0110673-0j -0.0125556-0j -0.0129673-0j -2.65844e-06-0j 4.18306e-05-0j -0.000236283-0j -0.000244032-0j -2.02092e-07-0j -2.08719e-07-0j 0.000257774-0j -0.0021267-0j 0.00634971-0j 0.00655795-0j -3.15052e-06-0j 3.39406e-05-0j 3.50537e-05-0j -1.27814e-06-0j -1.32006e-06-0j 0.000881328-0j -0.0138677-0j 0.0783327-0j 0.0809017-0j 0.000116043-0j 0.000119849-0j -1.33665e-05-0j 0.000143998-0j 0.00014872-0j -8.57402e-06-0j -8.85521e-06-0j 
