-0.034612-0j 0.158402-0j -0.0423909-0j -0.0379156-0j 0.171093-0j -0.0453178-0j -0.0423909-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.148171-0j -0.0268104-0j 0.132528-0j 0.132528-0j -0.034612-0j -0.0261642-0j -0.0244744-0j 0-0j 0-0j 0-0j 0-0j -0.0239799-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0211954-0j 0-0j 0-0j -0.0211954-0j 0-0j -0.0211954-0j 0.191076-0j 0-0j 0-0j 0.0855466-0j -0.0218906-0j -0.0141303-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.191076-0j -0.00315963-0j 0-0j 0.197738-0j -0.0122372-0j 0-0j 0-0j 0.135111-0j 0.0604906-0j -0.0122372-0j -0.0069224-0j 0-0j 0.0604906-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0780066-0j -0.0022342-0j 0.0270522-0j -0.00273632-0j 0-0j 0.00590328-0j 0-0j 0-0j 0-0j -0.0061186-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.00499582-0j -0.000597114-0j 0-0j 0-0j 0-0j 0-0j -8.90125e-05-0j 0-0j 0-0j 
0.0423909-0j 0.0453178-0j -0.0994637-0j -0.00963249-0j -0.0101535-0j 0.0220565-0j -0.0734569-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0168459-0j 0.0329087-0j -0.072638-0j -0.0536454-0j 0.114904-0j -0.0840302-0j -0.144826-0j 0-0j 0-0j 0-0j 0-0j 0.0293693-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0367285-0j 0-0j 0-0j -0.0497318-0j 0-0j 0.177456-0j 0.0244744-0j 0-0j 0-0j -0.0641791-0j 0.134688-0j -0.0662773-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0663396-0j -0.024165-0j 0-0j -0.00338451-0j 0.109962-0j 0-0j 0-0j -0.0836151-0j 0.219264-0j -0.116113-0j -0.0427059-0j 0-0j 0.0278116-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0382652-0j 0.0825579-0j 0.0746868-0j -0.0455069-0j 0-0j -0.0125857-0j 0-0j 0-0j 0-0j 0.113057-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.18154-0j 0.0121322-0j 0-0j 0-0j 0-0j 0-0j -0.0012073-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0222044-0j 0.17242-0j -0.0248253-0j 0.186234-0j -0.0265394-0j -0.0304047-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.144257-0j -0.0202698-0j -0.016252-0j -0.0171995-0j 0-0j -0.0222044-0j -0.0175542-0j 0.144257-0j -0.0202698-0j -0.0229838-0j -0.0175542-0j 0-0j 0.198647-0j -0.0128197-0j 0-0j 0.0931172-0j 0-0j 0-0j 0.107522-0j 0.243292-0j 0-0j 0-0j 0-0j 0.131688-0j -0.0135974-0j -0.0128197-0j -0.0143329-0j -0.00938309-0j 0-0j 0-0j -0.00785046-0j 0-0j 0-0j -0.0101349-0j 0.0658438-0j 0-0j 0-0j 0-0j 0-0j 0.140465-0j 0-0j 0.0658438-0j 0.0537612-0j -0.00785046-0j -0.00453246-0j -0.00202698-0j -0.00358323-0j -0.00716646-0j 0-0j 0-0j 0-0j 0-0j -0.00827511-0j 0-0j -0.0067566-0j -0.00196261-0j -0.00506745-0j 0-0j 0.0294462-0j -0.0067566-0j -0.00185037-0j 0.0064257-0j -0.00261682-0j 0-0j 0-0j -0.00253372-0j -0.000605676-0j -0.000349687-0j -0.00160247-0j 0-0j -0.000142759-0j -1.92496e-05-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0256395-0j 0.0265394-0j -0.122716-0j -0.0059462-0j 0.0272127-0j -0.00728258-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0222044-0j -0.100197-0j 0.0187662-0j -0.00411965-0j 0-0j 0.0227678-0j -0.0042046-0j -0.0314163-0j 0.141765-0j -0.0375496-0j -0.0531534-0j 0-0j -0.0613579-0j -0.141543-0j 0-0j -0.0613579-0j 0-0j 0-0j 0.0328261-0j -0.00364129-0j 0-0j 0-0j 0-0j 0.122772-0j -0.0222147-0j 0.166175-0j -0.0433996-0j -0.0414938-0j 0-0j 0-0j 0.00906493-0j 0-0j 0-0j 0.0232116-0j -0.0021023-0j 0-0j 0-0j 0-0j 0-0j -0.0265767-0j 0-0j -0.0265767-0j 0.135668-0j -0.0347162-0j -0.0263627-0j -0.0146158-0j -0.0177125-0j 0.0501216-0j 0-0j 0-0j 0-0j 0-0j 0.239588-0j 0-0j -0.115801-0j -0.000470088-0j 0.0959319-0j 0-0j -0.0228307-0j 0.163842-0j 0.0571174-0j -0.00737053-0j 0.145536-0j 0-0j 0-0j -0.00767203-0j -0.00521175-0j 0.0149684-0j -0.00932061-0j 0-0j -0.0016265-0j -0.000272994-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0157009-0j 0.016252-0j 0.0175542-0j 0.0175542-0j 0.0187662-0j -0.103876-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0656967-0j -0.0692504-0j 0.0728637-0j 0.0121619-0j 0-0j -0.07586-0j 0.0787018-0j 0.0135974-0j 0.0143329-0j -0.0785226-0j 0.0124127-0j 0-0j 0.00877708-0j 0.00906493-0j 0-0j 0.0556506-0j 0-0j 0-0j 0.0101349-0j -0.0519378-0j 0-0j 0-0j 0-0j -0.0599726-0j 0.0609622-0j 0.00906493-0j -0.0489674-0j 0.00663485-0j 0-0j 0-0j 0.191602-0j 0-0j 0-0j 0.0454385-0j 0.214218-0j 0-0j 0-0j 0-0j 0-0j 0.00620633-0j 0-0j 0.0393509-0j 0.00506745-0j -0.0268206-0j 0.00320494-0j 0.00143329-0j 0.201926-0j 0.174908-0j 0-0j 0-0j 0-0j 0-0j -0.0282714-0j 0-0j -0.0230835-0j 0.196895-0j 0.0227193-0j 0-0j -0.0134103-0j 0.00477764-0j -0.00632167-0j 0.000605676-0j 0.00185037-0j 0-0j 0-0j 0.142783-0j 0.00271547-0j 0.000247266-0j 0.0391107-0j 0-0j -0.000487727-0j 1.36116e-05-0j 
-0.0244744-0j -0.0261642-0j -0.0299749-0j 0.0703047-0j 0.0741076-0j 0.0840302-0j -0.0750199-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0641791-0j 0.0497129-0j -0.0218906-0j -0.0547868-0j -0.0612535-0j -0.107552-0j -0.017306-0j 0-0j 0-0j 0-0j 0-0j -0.0169564-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0375099-0j 0-0j 0-0j -0.0149874-0j 0-0j -0.0375099-0j -0.0141303-0j 0-0j 0-0j -0.0821441-0j -0.0899844-0j 0.0324967-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0353647-0j 0.225118-0j 0-0j 0.0247025-0j 0.028143-0j 0-0j 0-0j -0.00999163-0j -0.0580847-0j -0.00865301-0j 0.172575-0j 0-0j 0.026201-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.018762-0j 0.159182-0j 0.157539-0j -0.00193487-0j 0-0j 0.205085-0j 0-0j 0-0j 0-0j -0.0108282-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0114893-0j 0.158129-0j 0-0j 0-0j 0-0j 0-0j 0.0572144-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0222044-0j -0.0229838-0j -0.0248253-0j 0.0351245-0j 0.0375496-0j -0.0824141-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0368398-0j 0.0388325-0j 0.0785226-0j 0.0243349-0j 0-0j -0.0601867-0j -0.12-0j 0.0175748-0j 0.0185255-0j -0.0402427-0j -0.0439338-0j 0-0j -0.0124127-0j -0.0128197-0j 0-0j 0.0599726-0j 0-0j 0-0j 0.0202791-0j -0.041207-0j 0-0j 0-0j 0-0j -0.0307359-0j -0.0600431-0j -0.0320847-0j 0.0687226-0j -0.0829019-0j 0-0j 0-0j 0.0608202-0j 0-0j 0-0j -0.0692822-0j -0.0962094-0j 0-0j 0-0j 0-0j 0-0j -0.0219669-0j 0-0j 0.106135-0j -0.0633174-0j 0.13288-0j -0.0819629-0j -0.0613112-0j 0.0382084-0j -0.0507431-0j 0-0j 0-0j 0-0j 0-0j 0.039677-0j 0-0j 0.0129442-0j -0.0377064-0j 0.21632-0j 0-0j 0.135986-0j 0.00617515-0j 0.107225-0j -0.0388254-0j -0.0473213-0j 0-0j 0-0j 0.0676181-0j 0.132644-0j -0.0221432-0j 0.224505-0j 0-0j 0.0230377-0j -0.00259494-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
