0.793265-0j -0.194912-0j -0.238718-0j -0.174335-0j -0.201304-0j -0.147012-0j -0.0480139-0j -0.0484228-0j -0.0288738-0j -0.0433107-0j -0.0182614-0j 0.210212-0j -0.051651-0j -0.0447311-0j -0.032667-0j -0.0307987-0j -0.0194788-0j -0.00519435-0j 
0.194912-0j 0.308175-0j 0.225065-0j -0.459796-0j -0.354154-0j -0.124565-0j 0.0452679-0j 0.0456535-0j -0.128818-0j -0.0366977-0j -0.0808533-0j 0.051651-0j 0.0816654-0j 0.0421729-0j -0.0861569-0j -0.0541841-0j -0.0165046-0j 0.00489728-0j 
0.238718-0j 0.225065-0j -0.0443865-0j 0.011392-0j -0.206137-0j -0.31069-0j -0.206079-0j 0.0559138-0j 0.0333406-0j -0.142303-0j 0.0210864-0j 0.0035799-0j 0.00337517-0j 0.130336-0j -0.0334513-0j -0.0650889-0j -0.0623852-0j -0.027953-0j 
-0.174335-0j 0.459796-0j -0.011392-0j -0.00511953-0j 0.150542-0j -0.634723-0j 0.150499-0j -0.0408337-0j -0.0243485-0j 0.10217-0j -0.173063-0j -0.00261439-0j 0.00689529-0j 0.0334513-0j 0.0150329-0j 0.0475342-0j -0.12745-0j 0.020414-0j 
-0.201304-0j 0.354154-0j 0.206137-0j 0.150542-0j -0.363426-0j -0.0972945-0j -0.437899-0j -0.0471507-0j 0.133042-0j -0.0421729-0j -0.0177816-0j 0.0473072-0j -0.0832275-0j 0.043277-0j 0.031605-0j 0.038035-0j -0.0783905-0j -0.0828467-0j 
0.147012-0j -0.124565-0j -0.31069-0j 0.634723-0j 0.0972945-0j -0.328061-0j -0.34584-0j 0.034434-0j 0.0205325-0j -0.0276791-0j -0.0609834-0j -0.0713013-0j 0.0604145-0j 0.0216194-0j -0.0441674-0j 0.0764743-0j -0.0195212-0j -0.135332-0j 
-0.0480139-0j -0.0452679-0j 0.206079-0j 0.150499-0j -0.437899-0j 0.34584-0j -0.415176-0j -0.0112461-0j -0.00670588-0j -0.0100588-0j -0.00424117-0j 0.0472938-0j 0.0445891-0j -0.0973039-0j -0.0710607-0j 0.0724528-0j 0.0792867-0j -0.144649-0j 
0.0484228-0j 0.0456535-0j 0.0559138-0j 0.0408337-0j 0.0471507-0j 0.034434-0j 0.0112461-0j 0.773892-0j -0.0953212-0j -0.142982-0j -0.0602865-0j -0.180859-0j -0.170516-0j -0.147671-0j -0.107844-0j -0.101676-0j -0.0643055-0j -0.0171481-0j 
-0.0288738-0j 0.128818-0j -0.0333406-0j -0.0243485-0j 0.133042-0j -0.0205325-0j -0.00670588-0j 0.0953212-0j 0.338988-0j 0.0852579-0j 0.0359479-0j 0.107844-0j -0.481134-0j 0.088054-0j 0.0643055-0j -0.286893-0j 0.0383444-0j 0.0102252-0j 
-0.0433107-0j 0.0366977-0j 0.142303-0j 0.10217-0j -0.0421729-0j 0.0276791-0j -0.0100588-0j 0.142982-0j 0.0852579-0j 0.327036-0j -0.253224-0j 0.161766-0j -0.137066-0j -0.375829-0j -0.269835-0j 0.0909418-0j -0.0516908-0j 0.0153378-0j 
0.0182614-0j -0.0808533-0j 0.0210864-0j 0.173063-0j 0.0177816-0j -0.0609834-0j 0.00424117-0j -0.0602865-0j -0.0359479-0j 0.253224-0j -0.175817-0j -0.0682063-0j 0.301987-0j -0.0556902-0j -0.457068-0j -0.0383444-0j 0.113887-0j -0.00646697-0j 
0.210212-0j -0.051651-0j -0.0035799-0j -0.00261439-0j 0.0473072-0j 0.0713013-0j 0.0472938-0j 0.180859-0j 0.107844-0j 0.161766-0j 0.0682063-0j -0.044432-0j 0.0109173-0j -0.148161-0j -0.108202-0j -0.210537-0j -0.201792-0j -0.0904171-0j 
0.051651-0j 0.0816654-0j 0.00337517-0j -0.00689529-0j 0.0832275-0j 0.0604145-0j -0.0445891-0j -0.170516-0j 0.481134-0j 0.137066-0j 0.301987-0j -0.0109173-0j -0.0172614-0j 0.139688-0j -0.285375-0j -0.370397-0j -0.17098-0j 0.085246-0j 
0.0447311-0j 0.0421729-0j 0.130336-0j -0.0334513-0j -0.043277-0j 0.0216194-0j 0.0973039-0j -0.147671-0j -0.088054-0j 0.375829-0j -0.0556902-0j 0.148161-0j 0.139688-0j -0.385668-0j 0.0989836-0j -0.0638374-0j -0.245511-0j -0.259467-0j 
-0.032667-0j 0.0861569-0j 0.0334513-0j 0.0150329-0j 0.031605-0j 0.0441674-0j -0.0710607-0j 0.107844-0j 0.0643055-0j -0.269835-0j 0.457068-0j -0.108202-0j 0.285375-0j -0.0989836-0j -0.0444829-0j 0.0466203-0j -0.501566-0j 0.189488-0j 
-0.0307987-0j 0.0541841-0j 0.0650889-0j 0.0475342-0j 0.038035-0j -0.0764743-0j 0.0724528-0j 0.101676-0j -0.286893-0j 0.0909418-0j 0.0383444-0j -0.210537-0j 0.370397-0j 0.0638374-0j 0.0466203-0j -0.421368-0j 0.0641385-0j -0.399605-0j 
0.0194788-0j -0.0165046-0j -0.0623852-0j 0.12745-0j 0.0783905-0j -0.0195212-0j -0.0792867-0j -0.0643055-0j -0.0383444-0j 0.0516908-0j 0.113887-0j 0.201792-0j -0.17098-0j -0.245511-0j 0.501566-0j -0.0641385-0j -0.269872-0j -0.142773-0j 
-0.00519435-0j -0.00489728-0j 0.027953-0j 0.020414-0j -0.0828467-0j 0.135332-0j -0.144649-0j 0.0171481-0j 0.0102252-0j 0.0153378-0j 0.00646697-0j -0.0904171-0j -0.085246-0j 0.259467-0j 0.189488-0j -0.399605-0j 0.142773-0j -0.167109-0j 
