-0.357176-0.067338j 0.0524774-0.361824j -0.0281122+0.100955j 0.182477-0.0112295j -0.148797-0.168157j -0.108588+0.0859199j 0.121046-0.0349095j -0.109442-0.201243j -0.0503644+0.202918j 0.0615207-0.0262517j 0.145444+0.0251925j -0.0517454-0.0302361j 0.0305971+0.0271444j -0.135418+0.236757j -0.148107+0.0138767j 0.118245+0.0874075j 0.0723228+0.0877589j 0.177417-0.100328j 0.116526+0.0871859j -0.0142353+0.0533387j -0.021686+0.364381j 0.364988+0.0159762j 
-0.00132276-0.0263712j 0.0209228-0.00449597j -0.0453422+0.0286017j 0.0559606+0.0470678j -0.00260645-0.0481265j -0.0317848+0.0238074j 0.0295603+0.000145997j -0.0110994-0.0325417j -0.0192435+0.0313109j 0.0262701+0.0215298j 0.04091-0.000594111j -0.0332125-0.0224152j 0.005787-0.00917244j -0.0173611+0.0438798j -0.0142203-0.00789114j -0.0112053+0.0401339j 0.0208493+0.00873342j 0.0260477-0.011954j 0.0165418-0.0368236j 0.0454278+0.00220643j 0.0495711+0.0224941j 0.0211679-0.0530956j 
-0.00165543+0.0417382j -0.0411097+0.00182306j 0.00630222+0.037479j 0.0442605-0.0118248j 0.0206113-0.0216973j -0.000679883+0.00828782j 0.0323391+0.0448428j -0.00625415-0.00268586j 0.00588872-0.020489j 0.00607272+0.000473895j -0.0154029-0.0232976j 0.025311-0.0286833j -0.0229815+0.0167343j -0.00574208-0.00280493j 0.00980052-0.00441271j -0.044776+0.00948727j -0.00138186-0.020202j 0.0062467+0.0519254j -0.068064+0.00010044j -0.00770046-0.049501j 0.000883751+0.03965j 0.0389605+0.00106661j 
0.0263918-0.00294313j 0.000319538+0.0256085j -0.0218111+0.00169749j 0.00622607+0.0209998j 0.0145785-0.00140352j -0.0100663+0.0228694j 0.0108152+0.00241354j -0.00564894+0.00714696j 0.00149905-0.00269613j 0.0115287+0.019315j 0.013373-0.00627146j -0.0169341-0.0132197j 0.000499252-0.00646747j 0.00863228+0.00395969j 0.00144758-0.00269122j -0.0178017+0.0111343j 3.1644e-05+0.000757649j -0.0104972+0.00402948j -0.00323675-0.0172278j 0.00500251-0.00393604j 0.0120251-0.0182174j -0.019334-0.0128422j 
0.0243358-0.0078227j 0.00330049+0.0230218j -0.0259194-0.0140718j -0.0111886+0.0231005j 0.000860376+0.00629793j 0.0051229+0.016127j -0.0103729-0.0260966j 0.00370519+0.0140986j -0.00406658+0.00386434j 0.0126858+0.00424436j 0.00627391-0.00590986j -0.0173656+0.00611765j 0.00608704-0.015473j 0.0181007-0.0112685j 0.0013555+0.00668962j 0.00960117-0.00224677j 0.00458568-0.00714045j -0.0203042-0.00733178j 0.00771969+0.00244471j -0.0202322-0.00037294j -0.00386769-0.0034253j -0.00554921+0.00392061j 
0.00908602+0.00630853j -0.00641543+0.0116851j -0.0025603-0.00304823j -0.016394+0.00223231j 0.0362898+0.0124005j 0.0244732+0.0475537j 0.0184124+0.00128766j -0.0136246+0.0375553j 0.0245184-0.0231573j 0.0270402+0.0205981j 0.00704764-0.0159831j -0.0272033-0.000597075j -0.00519813+0.00398526j 0.0171956+0.00460324j -0.00592222+0.012522j -0.0265848+0.0145572j -0.0039535+0.0138789j -0.0142746+0.0229701j 0.0108077-0.00155886j -0.0162081+0.0300648j -0.0204341-0.0116112j -0.0112342+0.0212821j 
0.015454-0.00330812j -0.00336957+0.0169206j -0.0326441+0.00875429j 0.0125455+0.0223946j -0.01406+0.00514238j -0.00159572+0.0167402j -0.0192905-0.0181813j 0.000149884-0.00659037j -0.0069423+0.0209816j 0.0102844-0.00993261j -0.000250698+0.00171154j -0.00341245+0.00151704j -0.00550384-0.0183003j -0.000480291-0.0210187j 0.00328182+0.00551136j 0.0149359-0.0156254j -0.00464807-0.0236815j -0.0218602-0.000896806j -0.00878746+0.0228158j -0.0442985-0.0207223j 0.00423155+0.0278908j 0.025388-0.00167961j 
-0.00560665+0.0219599j -0.0204981-0.00283693j -0.00372867+0.0239377j 0.015739+0.00488243j 0.00558043+0.012522j -0.000311568+0.0111439j -0.00831321-0.0184798j -0.00369715-0.0232678j -0.0159129-0.00549176j -0.00232887-0.00712077j 0.006711+0.00688211j -0.0254108-0.00879375j 0.0355779-0.00524761j -0.0114117-0.03448j 0.0052254-0.0188358j 0.0165706+0.0174056j -0.0490476+0.0326248j -0.0157393-0.0200331j -0.00759796-0.01073j 0.00698252+0.00472491j -0.0059984+0.00618014j 0.00737689+0.00654494j 
0.00783364-0.0155585j 0.0124206+0.007542j -0.015343-0.0139379j -0.0128607+0.0101456j -0.00873582-0.00156472j 0.00106569+0.00256843j 0.00279403+0.00101102j 0.00829377+0.0126805j 0.00907728+0.00337542j 0.0068174-0.00177696j -0.00529446-1.78573e-05j 0.0137965+0.00192346j -0.0197422+0.00455559j 0.016135+0.00702057j 0.00458649+0.0142449j -0.00350515-0.0116651j 0.0178927-0.0333146j 0.00561795+0.00216858j 0.00826108+0.00816498j -0.0122337-0.0015145j 0.00422986-0.00479503j -0.00602742-0.00335406j 
-0.00190068+0.00142632j -0.00139843-0.00152739j -0.00135142+0.00257015j 0.00262701+0.00173521j -0.00172076-0.00412393j 0.00528629-0.00021982j -0.000320265-0.00166567j -0.00105982-0.000917698j -0.00222794-0.000103026j 0.00411523-0.00623023j 0.00122333+0.000952714j 0.000568558+0.00255044j -0.000647416-0.000239967j -0.00354569+0.00264113j 0.00131836+0.00234432j 0.00137388+0.00218573j 0.000821106+0.00124555j 0.00270548+0.00379951j -0.00167591-8.25669e-05j 0.000870931-0.000846483j 0.000177556+0.00745591j 0.00774129-2.25152e-05j 
0.0126481-0.00638725j 0.00651388+0.00973157j 0.00480403-0.00103218j 0.0120709+0.000163435j 0.00357593+0.00212577j -0.00820732-0.024266j -0.00707849-0.0010365j 0.0146424+0.0116853j -0.0117155-0.00233605j -0.0235456+0.00306646j 0.0131071-0.0192483j 0.00392568-0.00686306j 0.00556742-0.00193503j 0.0238072+0.00245214j 0.0133575-0.0191459j -0.00735042-0.000805225j 0.00600897+0.00505741j -0.000974097+0.00306433j 0.000657599-0.0125463j -0.00285023+0.0064702j 0.00708966-0.0134408j -0.0144982-0.0101973j 
0.0190789+0.000436448j -0.00247939+0.0220566j -0.0185609-0.00275631j -0.0118159+0.00484629j -0.0109087+0.00660058j 0.000724968+0.0134433j -0.00266704+0.00407285j -0.0033514+0.00108291j -0.0104636+0.00326116j -0.00720268-0.0240853j 0.00121948-0.00944207j 0.0138916-0.0140087j -0.0136232-0.00819374j 0.0100294-0.00766473j 0.0197593-0.012765j 0.00632776-0.011444j 0.0076288-0.00103623j 0.00875077+0.00834191j -0.0187852-0.0028891j 0.00416326+0.0023171j 0.00167553-0.00838488j -0.00890397-0.000403991j 
-0.00809438+0.00177544j -0.00172546-0.011443j 0.0144701+0.00203974j 0.0165302-0.00871519j 0.0100094-0.0037287j -0.0117385-0.0149085j 4.0274e-05+0.000688967j 0.00930415+0.00351142j -0.00702283-0.00344496j -0.00805082+0.0104326j 0.0037663-0.0150812j 0.00185491-0.00235746j 0.00946531-0.00575697j 0.0161975+0.000352093j 0.00217639-0.00668135j 0.000583774+0.00603501j 0.00853886+0.00359746j -0.0013629-0.00119751j 0.0020113+0.00172757j -0.011812+0.00104319j -0.00417023+0.00946561j 0.00790269+0.00175862j 
-0.00440058+0.00178039j -0.000518473-0.00502971j 0.00619902+0.0107588j 0.0106912+0.00655878j 0.0184008-0.00981912j -0.00271916+0.00923126j 0.0126335+0.0144429j -0.00641227-0.0115575j 0.00763415-0.0110634j 0.0205931-0.00114871j -0.00531191+0.024948j 0.0094854+0.00362406j -0.00274886-0.00877451j -0.0166262-0.00221232j 0.00671755+0.0215319j 0.0167029+0.00105755j -0.00142604-0.00968357j -0.0051549-0.0178433j 0.0105096+0.0114917j -0.000270538-0.0148255j 0.00573269+0.00400855j 0.00485605-0.00506713j 
-0.00564081+0.0012608j -0.00179687-0.00765964j -0.000271865-0.00523849j 0.00428747+0.000822352j -0.017418-0.0078954j -0.00496224-0.0232267j -0.0118507-0.00971025j 0.0075845-0.0039468j 0.0101635+0.00171831j 0.017366+0.0179042j 0.000720239+0.021895j -0.00563259+0.0303949j 0.0131549+0.0156177j -0.0198733+0.0174408j -0.0211093+0.0253239j -0.0163001+0.0131706j -0.0219153-0.00223845j -0.0122952+0.0138207j 0.00183789-0.00683726j -0.00915745-0.0180094j 0.00722975+0.00341239j 0.00435081-0.00709101j 
0.00403492-0.000222857j -0.00128722+0.00591426j -0.0203071-0.00523944j 0.00331012-0.00271018j -0.00301883-0.0253853j -0.00933611-0.00388522j 0.0157308+0.0215304j 0.0104895+0.0126793j 0.0181774-0.00180093j -0.0196775+0.00381958j -0.00155903-0.01209j 0.00466683+0.022334j -0.00628554+0.0225382j -0.000237663+0.00357499j -0.0136547+0.00460728j 0.0196579-0.00440942j -0.019818+0.0156761j -0.00626982-0.014219j -0.00363892-0.00203775j -0.00500713+0.00497518j 0.00247147+0.000376859j 0.000737629-0.00093337j 
0.000421276-0.00214323j 0.00196918-0.00239128j 0.00954966+0.00395885j 0.0185886-0.00399141j 0.0220581-0.0188683j -0.0112613-0.00232283j 0.0162479+0.0105025j 0.0111399+0.00422996j 0.000677783-0.013174j -0.00372016+0.0111623j -0.00101243-0.00474892j 0.00738794+0.00122445j 0.000387181-0.00719598j 0.00930612-0.00975799j 0.0081694+0.00198883j 0.0184007-0.00772994j 0.00374275-0.000933261j -0.0174982-0.0196713j 0.0151718+0.00461204j -0.0121197+0.00190377j 0.00194427+0.000996887j -0.000253072-0.00315578j 
