0.0512345-0.029318j 0.0590042+0.0742323j 0.00874677+0.165255j 0.115898+0.107518j 0.0906391-0.150409j 0.478841-0.176252j -0.0932791-0.112623j 0.181489+0.161431j -0.055562-0.155059j 0.0669952-0.275225j -0.0275794-0.0747374j 0.00625423+0.234871j -0.0106724+0.0322881j -0.00579517-0.0533791j 0.154535+0.0720383j 0.0586337+0.0559013j 0.0573147+0.0670912j 0.0777645+0.15563j 0.107848-0.0580643j 0.110145+0.261764j 0.0876111+0.191458j 0.20811-0.0919517j 
-0.0128864-0.16501j 0.185034+0.0349256j 0.0558516+0.312945j 0.200791-0.057326j 0.0424759+0.238428j 0.0334806+0.0338862j -0.153744+0.193334j -0.141263-0.0431508j 0.198778+0.12467j -0.193287+0.0299022j 0.0395322+0.0540366j -0.00683933-0.0564832j -0.129842+0.0240175j -0.227299+0.0300634j -0.0143086-0.0821961j -0.178614-0.208543j -0.197352+0.0504354j -0.0789048+0.11563j 0.146769+0.171485j -0.256832+0.227627j 0.186229-0.072916j -0.0482588-0.173689j 
0.218819+0.0413566j -0.0341346+0.188054j 0.214226-0.108108j -0.016821-0.150997j 0.125712-0.102658j 0.00235171+0.0154294j -0.13428+0.104443j -0.17963+0.0104547j -0.0670145+0.177313j -0.00909647+0.0409208j 0.110677-0.0579565j -0.05032+0.2139j -0.0813846-0.311408j -0.29035+0.114054j -0.201522-0.0443829j 0.171908-0.106039j 0.326001+0.397394j -0.142273+0.150671j -0.126182+0.0596063j 0.0240723-0.118472j -0.00828752+0.0392649j 0.0322991-0.00311946j 
-0.0342626-0.0201623j 0.00716581-0.0337701j -0.0264539-0.00862673j -0.00195889-0.0394423j -0.0462596+0.0935695j -0.164801+0.0616469j 0.0237758+0.0417329j -0.0463026-0.034793j 0.0258377+0.0578786j -0.0907993+0.0819922j 0.0292676-0.0416581j -0.00267408-0.12697j 0.00805107+0.014193j 0.0593792+0.000308426j -0.0149045-0.0755796j -0.0564875-0.0335211j -0.0395523-0.0259621j -0.010847-0.0384221j -0.0275135+0.0307358j -0.0897669+0.00619802j -0.0258345-0.0568215j -0.0664026+0.02097j 
-0.00863823-0.0526972j 0.0663174+0.024367j -0.00684971+0.145934j 0.0467896+0.0193866j 0.0150787+0.0638344j 0.129859+0.0244065j -0.0352981+0.0448049j -0.0227324+0.011471j 0.0411247+0.00295375j -0.0502072-0.102041j -0.00739259+0.0226368j 0.0190817-0.0253925j -0.0694611+0.0378432j -0.0688382-0.0127938j 0.0526392-0.0199344j -0.0295556-0.0648369j -0.0579076+0.0231223j 0.0437963+0.0382603j 0.0597866+0.0436737j 0.0148602+0.13514j 0.0702909-0.00106917j 0.0124258-0.0548822j 
-0.00823797+0.00648752j -0.0122949+0.000381167j -0.0462323-0.00962703j -0.0343878+0.00947343j -0.0724711+0.0207306j 0.00320729-0.0171403j -0.0245482-0.0274508j 0.013624+0.00871378j 0.019715+0.0186281j -0.00299125+0.00475912j -0.00586229+0.0027065j -0.0139088+0.0190797j 0.0190522+0.0616244j -0.00779532+0.026615j -0.0375369+0.0178486j -0.044134+0.024947j -0.0533175+0.0132861j 0.0321588+0.0421347j -0.0423466-0.0254216j 0.0222031-0.00429135j 0.000115263-0.00187077j -0.00088635+0.00763636j 
0.00149769+0.00402064j -0.00974835+0.00591588j -0.0434308+0.00208708j 0.00399785+0.00185774j -0.00949842-0.0538029j -0.0358121+0.0073799j 0.0629257+0.0401904j 0.0372511+0.0223188j 0.0332417-0.0217462j -0.0274102+0.0200209j -0.0162329-0.00632822j 0.0223466+0.0279178j -0.00557419+0.0480218j 0.00655696-0.0114466j -0.0165388+0.0245407j 0.0561628-0.0152644j -0.0480537+0.0291294j -0.0287885-0.0602314j -0.000426165+0.000195365j -0.000867779-5.66809e-05j 0.00126164-0.00640115j -0.00720586+0.00515727j 
-0.0163409+0.0192533j -0.0164723-0.0174596j 0.00387185+0.0417155j 0.00327335+0.0169473j -0.0304888+0.0220698j -0.0243763+0.0124989j 0.00735582+0.00184724j 0.0637261+0.0584743j -0.0486935+0.022383j 0.0015452+0.0318314j 0.00358237+0.0774224j -0.000735085+0.0367081j -0.0490291+0.014408j 0.0585163+0.00433526j 0.00272203-0.0292423j -0.0124395+0.0255153j -0.0074007-0.0150837j -0.0016754+0.00858522j 0.0166035+0.00258828j -0.00726419+0.00409676j 0.000788935-0.000786113j 0.000975574-0.00399879j 
-0.00343653+0.00367729j -0.0084839-0.00116253j -0.0181866-0.00666562j -0.0136415-0.00895419j -0.0184576+0.0136734j -0.0296456+0.025065j 0.0167803+0.00331802j 0.00626743+0.0148666j -0.0175188+0.0157472j -0.0346149+0.00323328j 0.0121317-0.0358133j 0.00498138-0.0285909j -0.00627958+0.000941322j 0.0370612+0.00401639j 0.00363471-0.0385657j 0.0099777-0.00233878j 0.00140744+0.0154079j 0.0133174-0.00275106j -0.0136644+0.00120752j 0.00520113+0.00864675j -0.0148598-0.00323262j -0.00798992+0.0207045j 
0.0138803-0.0105107j 0.0094127+0.0104461j 0.00427931-0.00262742j 0.0334222-0.00853434j 0.0188591-0.0171512j 0.02147-0.0426486j -0.0311273-0.01935j 0.0163391+0.00826064j 0.00547507-0.00761483j -0.000853675+0.0096811j 0.00845857-0.0514814j -0.00507491+0.0271864j 0.0250747+0.00019544j 0.00486063+0.000436045j -0.0217728+0.00865438j -0.0105688+0.00146506j 0.00235812+0.0164027j -0.0203184+0.0251544j 0.0107671+0.00119734j -0.028917+0.0128934j 0.0105969+0.0251522j 0.0215856-0.00880931j 
0.0121277+0.0110623j -0.00449477+0.0109096j -0.00538197+0.00746935j -0.00831827+0.0212743j 0.0182425-0.0305553j 0.0662827-0.0174702j -0.00236453-0.0192481j 0.0235738+0.0142482j -0.0151431+0.00200066j -0.00464976-0.0222475j -0.0166109-0.0158277j -0.00464383+0.0156056j -0.0306739+0.00886584j 0.0408656+0.00738276j -0.0116883-0.0307058j 0.0275008-0.0135299j 0.00436532+0.0485104j 0.0408589+0.00853622j 0.00776472-0.0533955j -0.0118498-0.00135633j -0.00476526+0.00676736j 0.0378762+0.00253293j 
-0.00494188-0.0253719j 0.0288079+0.00806284j 0.00368291+0.051943j 0.0334868-0.0146924j 0.0231067+0.0203372j 0.0197401-0.00289783j -0.0337007+0.00767449j 0.0330894-0.00089255j 0.00906702+0.0132605j -0.00902457+0.00552766j -0.0175513-0.0272551j 0.0115487-0.0158832j 0.0147221+0.0164346j -0.00460688-0.00771053j -0.00955539+0.0356156j -0.0231747-0.0126302j -0.0319592+0.00450725j -0.0147487+0.028884j 0.0711433+0.0269828j -0.0142892-0.00377555j 0.0446312+0.00139806j 0.0136955-0.0078828j 
0.0138339+0.00427566j 0.00272574+0.0146534j -0.0108128+0.000985624j -0.0204852-0.00508152j -0.0212106+0.00973154j 0.00601125+0.000531543j 0.000834596+0.0230745j -0.0126764-0.0184465j -0.0114667+0.0167901j -0.015398-0.0157782j -0.00631025-0.0274501j 0.00298497+0.0182876j 0.0113442+0.0270996j -0.0115464+0.00214703j -0.0451519+0.00618697j -0.0148966+0.0189872j 0.00739137+0.023625j -0.0231944+0.00634325j 0.00453976-0.00391552j 0.00483095-0.0128221j -0.00126761-0.00496801j 0.00482261+0.00278646j 
0.005312-0.00396244j 0.0103684+0.00117584j 0.0089377+0.0161677j 0.0118488+0.0144024j 0.00761201+0.0181197j 0.00923421-0.00947995j 0.0160778+0.0168248j -0.0239833-0.0085536j -0.0291207+0.00921894j -0.013585-0.0296428j -0.0174843+0.00189865j 0.0131991+0.00617312j -0.00397373+0.0201899j 0.00928761-0.0114203j -0.0251375+0.00842419j -0.00714409+0.0229071j 0.0114907-0.00884612j -0.0353699+0.00305543j 0.0204203-0.00989855j -0.0197742+0.0212569j -0.00125422-0.00148855j 0.00222456-0.0132446j 
-0.0231066-0.00617098j 0.000228952-0.0174259j -0.00329687+0.00251484j 0.00990404+0.00681074j -0.0128846+0.025017j 0.00123897-0.0251119j 0.0077631-0.0050257j 0.00456983+0.0136605j -0.00974556+0.0012834j 0.0475911-0.0187654j -0.0130045+0.0177945j 0.0103693-0.0606643j -0.0325761-0.0190037j 0.00920866-0.011023j 0.0243257+0.0237177j -0.0254819+0.0130864j -0.0174208-0.00317768j 0.00126147-0.0238329j 0.00925779+0.00571497j 0.000261333+0.0118256j 0.00717063-0.00690872j -0.0122899+0.00138694j 
0.00237816-0.000741506j 0.0124115-0.0021097j 0.00334926+0.012487j -0.00929807-0.00546593j -0.0230052+0.00248068j 0.0240967+0.0121072j 0.0134846+0.0342608j 0.0105046-0.00430403j 0.0247059+0.0178613j -0.0250492+0.0323154j 0.023016-0.00543864j -0.00391366+0.0229784j 0.0183592-0.0126415j -0.0184877-0.0156318j 0.021204-0.0191045j -0.0153868+0.00654462j -0.0059927-0.0174365j -0.00403624-0.00958249j 0.00970308+0.0072735j -0.0129258-0.00415256j -0.00116987-0.00136695j 0.00574507-0.0104711j 
0.000739426+0.00179491j 0.00533629+4.27703e-05j -0.0162723+0.00301355j -0.00138124-0.0120601j -0.0204011-0.000303352j 0.0227056-0.0363464j 0.00917361+0.00909645j 0.0258601+0.0143267j 0.013166+0.00863725j 0.0177236-0.0132122j 0.00747435-0.0220459j -0.00837895-0.00590815j -0.00811804-0.0103031j -0.0100947-0.0166873j 0.0224381+0.0133024j -0.014897+0.026752j 0.00993644+0.0242945j -0.0184135-0.00843142j 0.00860185+0.00423678j -0.000218775+0.00680045j 0.00296025+0.00764559j 0.0121971-0.00112545j 
-0.00738638+0.012578j 0.00663472-0.00635984j -0.0361911-0.0228273j 0.0188731-0.030163j 0.027994-0.00992498j -0.0212409+0.00206944j -0.00855419-0.0221537j -0.0121662-0.0329966j -0.00342937-0.0323857j 0.024532+0.00542748j -0.016666+0.0283612j 0.0156648+0.00461353j 0.0202934+0.00574061j 0.0376827+0.00119134j 0.00387095+0.00780802j -0.00208793-0.00295367j 0.0136621-0.00500973j 0.00195682-0.0014563j 0.00260542+0.0157553j 0.00795133-0.00962801j 0.000931282-0.00771819j -0.00350668+0.00429162j 
0.00338768-0.0173627j -0.00494023-0.0042664j 0.00759183+0.0499708j -0.00276701+0.0128339j 0.00700907-0.0145301j -0.00788412-0.0155506j -0.0193965-0.0140545j 0.0244838+0.0384066j 0.0119671-0.00778229j -0.00672781-0.00837117j 0.0116193-0.0152263j -0.00747536-0.0197411j -0.0122917+0.0253834j -0.00156712-0.0121864j -0.0100993+0.0124533j 0.00868653-0.0177232j -0.0170625+0.000828384j 0.0128244+0.00487112j 0.0115211-0.00747861j -0.0113221+0.0183205j 0.00975348+0.0096428j 0.00466824-0.00413781j 
0.00104208+3.84301e-05j -0.0044494+0.0244493j 0.0361749-0.0408245j 0.0316655+0.015676j 0.00856855-0.0126649j 0.0309375+0.0139293j -0.00382714+0.0167239j -0.00840457+0.0239572j -0.0476035+0.0235221j -0.0126314-0.0238732j -0.0112671-0.00766105j -0.00330819+0.0152806j -0.0131785-0.0293935j -0.00304511+0.0227024j 0.0040134+0.00967239j 0.0113804-0.00657068j 0.000128329+0.028955j -0.00972075+0.00869445j -0.00957204-0.00523479j 0.00957113+0.0105923j 0.00181652+0.0105518j 0.00599202+0.00680705j 
0.00959918+0.0240464j -0.0139179+0.00539706j -0.0218919-0.0372081j -0.0278173-0.0148261j -0.0129556-0.0197625j -0.0125159+0.0148107j 0.0175985+0.00657458j -0.0170882-0.0123089j -0.0201946-0.00338788j 0.00403411+0.000341439j -0.00180348+0.00542023j 0.00932866+0.0258154j 0.00913738-0.00845115j 0.0103695+0.00990397j -0.0123327-0.00941473j 0.0185659+0.0153325j 0.0225119+0.0196533j -0.000183027-0.00621022j -0.0242521-0.00820378j 0.0252926-0.0249038j -0.0199126-0.00576341j -0.00283095+0.0151903j 
-0.0114846-0.00309862j -0.00484922-0.0147588j 0.00519677+0.0282251j -0.00943753+0.0113265j -0.010126+0.0142813j -0.024613+0.00616845j -0.00131249-0.00488958j 0.0196143+0.00500175j 0.00208011-0.00996142j 0.0108513+0.0105406j -0.000561743+0.021264j -0.00283556-0.0131484j -0.00912211+0.0110224j 0.0103835-0.0056596j 0.00730306-0.00170693j -0.00974619+0.000643434j -0.00601142-0.0246615j 0.00866687-0.00836405j 0.00776875+0.003231j -0.00624667+0.000445273j 0.00196529-0.00575745j -0.00688743-0.00297064j 
