-0.488002-0j 0.238119-0j -0.126201-0j 0.0985597-0j 0.0117249-0j 0.00023908-0j 0.26471-0j -0.148167-0j -0.102483-0j -0.00588278-0j -5.51517e-05-0j 0.159572-0j 0.0379664-0j 0.00122405-0j -0.00549896-0j -0.000103107-0j -0.177041-0j 0.239358-0j 0.0402694-0j 0.00106006-0j -0.143695-0j -0.0142867-0j -0.000189419-0j 0.00171629-0j 0.0399254-0j 0.0018204-0j -0.000187801-0j -0.160922-0j -0.15741-0j -0.0110664-0j -0.000119799-0j 0.0583147-0j 0.00265886-0j -0.00019396-0j -0.0155166-0j -0.000290939-0j 0.00204195-0j 0.274026-0j 0.0651979-0j 0.00210201-0j -0.0163559-0j -0.000306677-0j 0.0029473-0j -0.000333078-0j -0.186533-0j -0.0185459-0j -0.000245889-0j 0.00315079-0j -0.000344768-0j 0.0791686-0j 0.00360969-0j -0.000372392-0j 
-0.398661-0j -0.172491-0j -0.0106917-0j 0.0100422-0j 0.157709-0j 0.00941172-0j 0.22704-0j 0.165664-0j -0.281488-0j -0.0901837-0j -0.00225193-0j -0.00331952-0j 0.0718687-0j 0.0160003-0j 0.0172113-0j -0.000592484-0j 0.00511304-0j 0.00480985-0j 0.23137-0j 0.0231481-0j 0.134615-0j -0.0431947-0j -0.00330373-0j -0.00765177-0j -0.0782392-0j 0.00783977-0j 0.00111718-0j -0.186264-0j -0.142445-0j -0.101554-0j -0.00349052-0j -0.114276-0j 0.0114507-0j 0.00115382-0j 0.0485657-0j -0.00167183-0j -0.00910368-0j -0.00570045-0j 0.123417-0j 0.0274766-0j 0.0511928-0j -0.00176227-0j -0.01314-0j 0.00198139-0j 0.174746-0j -0.056072-0j -0.00428864-0j -0.0140473-0j 0.00205094-0j -0.155142-0j 0.0155456-0j 0.00221527-0j 
0.132902-0j -0.500514-0j 0.00217513-0j -0.298832-0j 0.306196-0j 0.13368-0j 0.107872-0j 0.231529-0j 0.0244662-0j -0.276589-0j -0.033363-0j -0.0390353-0j -0.0918399-0j 0.0101098-0j -0.0208595-0j 0.00577744-0j 0.00352088-0j 0.171674-0j 0.0287789-0j 0.12528-0j 0.0396033-0j 0.158896-0j -0.00313574-0j 0.0163648-0j 0.0329401-0j -0.0508912-0j -0.00358914-0j -0.0857657-0j -0.127198-0j -0.0363626-0j -0.0283775-0j 0.0481122-0j -0.0743314-0j -0.00370685-0j -0.0588601-0j 0.0163024-0j 0.01947-0j -0.0670335-0j -0.157712-0j 0.0173612-0j -0.062044-0j 0.0171843-0j 0.0281025-0j -0.0063656-0j 0.05141-0j 0.206266-0j -0.00407057-0j 0.0300428-0j -0.00658902-0j 0.0653175-0j -0.100913-0j -0.00711696-0j 
-0.00704556-0j 0.114856-0j -0.402744-0j -0.0813812-0j -0.347493-0j 0.518704-0j -0.0345699-0j 0.216426-0j 0.0406175-0j 0.025227-0j -0.125573-0j -0.0180848-0j -0.0837365-0j -0.130359-0j 0.00323665-0j -0.0174705-0j -0.0455607-0j 0.132867-0j 0.224754-0j -0.0663608-0j 0.00459488-0j -0.041187-0j 0.081219-0j -0.0147469-0j 0.0179785-0j 0.0766108-0j 0.00649686-0j -0.0479913-0j -0.0246534-0j 0.0807331-0j 0.0301945-0j 0.0262593-0j 0.111897-0j 0.00670993-0j 0.00913298-0j -0.0492971-0j -0.0175452-0j -0.0310563-0j -0.143797-0j -0.22386-0j 0.00962701-0j -0.0519637-0j -0.0253243-0j 0.0115227-0j 0.00596471-0j -0.0534657-0j 0.105432-0j -0.0270728-0j 0.0119271-0j 0.0356498-0j 0.151913-0j 0.0128827-0j 
9.09223e-05-0j -0.00366942-0j 0.0533454-0j -0.193695-0j -0.282749-0j -0.00607361-0j 0.00113567-0j -0.029182-0j 0.218729-0j -0.210098-0j 0.201679-0j 0.00476481-0j -0.0510468-0j -0.00249525-0j 0.00298393-0j 0.0210217-0j 0.00236305-0j -0.0490578-0j 0.249682-0j 0.00449328-0j 0.00968907-0j -0.0532122-0j -0.178093-0j -0.000110533-0j 0.00782075-0j 0.000804706-0j -0.00557838-0j 0.00461752-0j -0.0728523-0j 0.190077-0j 0.234205-0j 0.0114229-0j 0.00117535-0j -0.00576133-0j 0.00841986-0j 0.0593177-0j -0.000131506-0j 0.00818239-0j -0.0876604-0j -0.00428498-0j 0.00887532-0j 0.0625263-0j -0.000189813-0j -0.00989366-0j 0.0125776-0j -0.0690759-0j -0.231186-0j -0.000202918-0j -0.0102409-0j 0.0155079-0j 0.00159566-0j -0.0110614-0j 
-0.351438-0j -0.148167-0j 0.121269-0j -0.045592-0j 0.0220937-0j 0.00190134-0j -0.125345-0j -0.11074-0j 0.0621418-0j 0.0502576-0j 0.00136951-0j 0.361542-0j -0.350403-0j -0.0476792-0j 0.189144-0j 0.0103083-0j 0.170035-0j -0.110723-0j 0.075881-0j 0.0084304-0j 0.087131-0j 0.122054-0j 0.00470358-0j -0.0668526-0j 0.0752327-0j 0.0144771-0j 0.00466339-0j 0.0617115-0j -0.0489734-0j -0.0485092-0j -0.00152635-0j -0.21416-0j -0.0412112-0j 0.0121039-0j -0.0680162-0j -0.00370685-0j 0.0162391-0j -0.12676-0j 0.122855-0j 0.0167168-0j 0.139731-0j 0.00761529-0j 0.0234391-0j -0.00424373-0j -0.0580344-0j -0.0812949-0j -0.00313286-0j -0.048836-0j -0.00439268-0j 0.14918-0j 0.0287069-0j 0.00924711-0j 
0.0645361-0j -0.140001-0j -0.281488-0j 0.112956-0j -0.0159052-0j 0.0385902-0j -0.311344-0j 0.0848915-0j -0.309044-0j 0.245826-0j 0.0360956-0j 0.18288-0j 0.0355005-0j -0.321329-0j -0.18889-0j 0.0382358-0j 0.134615-0j 0.0541019-0j -0.0233341-0j 0.0949126-0j 0.147793-0j 0.117742-0j 0.0529546-0j 0.153667-0j 0.00789057-0j 0.0321449-0j -0.0179069-0j 0.0489734-0j 0.0802427-0j -0.142035-0j -0.0287069-0j -0.0224616-0j -0.0915049-0j -0.0464777-0j 0.0679246-0j -0.0137496-0j -0.0373272-0j -0.0641195-0j -0.0124468-0j 0.112661-0j -0.139543-0j 0.0282469-0j -0.0538772-0j 0.0162955-0j -0.0984385-0j -0.078423-0j -0.0352709-0j 0.112254-0j 0.0168674-0j 0.0156463-0j 0.0637405-0j -0.0355079-0j 
-0.00224499-0j 0.0298744-0j -0.0195337-0j -0.276589-0j -0.0949165-0j 0.145001-0j 0.03592-0j -0.255222-0j 0.0532458-0j -0.225658-0j 0.285845-0j 0.176961-0j -0.139439-0j -0.0537106-0j -0.0685195-0j -0.199295-0j -0.0316192-0j 0.158896-0j -0.00892107-0j 0.135889-0j 0.0861888-0j 0.129637-0j 0.0268661-0j -0.0869412-0j -0.010211-0j -0.0552009-0j 0.0307508-0j -0.0485092-0j 0.142035-0j 0.0152219-0j -0.124749-0j 0.029067-0j 0.157137-0j 0.079814-0j 0.0246396-0j 0.0716663-0j 0.0211188-0j -0.062044-0j 0.0488886-0j 0.0188314-0j -0.0506192-0j -0.14723-0j 0.0304823-0j -0.0279835-0j -0.0574068-0j -0.0863457-0j -0.0178944-0j -0.0635108-0j -0.0289657-0j -0.0202475-0j -0.109459-0j 0.0609761-0j 
1.50015e-05-0j -0.000540257-0j 0.00575078-0j 0.00886725-0j -0.125573-0j -0.369981-0j -0.000522085-0j 0.0134155-0j -0.0921778-0j -0.0759722-0j 0.340222-0j -0.00965142-0j 0.14821-0j -0.455421-0j -0.0392445-0j 0.190574-0j 0.00065056-0j -0.0144771-0j 0.081219-0j 0.0473338-0j -0.0104277-0j 0.124036-0j -0.220051-0j -0.0515197-0j 0.00649686-0j -0.0546449-0j -0.0176023-0j 0.00152635-0j -0.0287069-0j 0.124749-0j 0.0419749-0j -0.0184942-0j 0.155554-0j -0.045687-0j 0.0141123-0j -0.0685305-0j 0.0125146-0j 0.00338387-0j -0.0519637-0j 0.159674-0j -0.0289921-0j 0.140788-0j 0.0180633-0j 0.0160183-0j 0.00694544-0j -0.0826154-0j 0.146567-0j -0.0376353-0j 0.0165805-0j 0.0128827-0j -0.108356-0j -0.0349038-0j 
0.0114071-0j 0.0379664-0j 0.0526089-0j 0.0180848-0j -0.00854817-0j 0.00332593-0j -0.274137-0j -0.350403-0j 0.0259869-0j 0.027458-0j 0.0151299-0j 0.193158-0j -0.1826-0j 0.112334-0j -0.185948-0j -0.204922-0j 0.0737646-0j 0.0439202-0j -0.0293587-0j 0.0147469-0j 0.0364371-0j 0.0666834-0j 0.0519637-0j 0.157507-0j -0.0291079-0j 0.0253243-0j 0.0515197-0j 0.0777-0j -0.00814934-0j -0.0105459-0j -0.00670993-0j 0.208234-0j -0.181166-0j -0.0716664-0j -0.0147867-0j -0.0162955-0j 0.0284063-0j 0.0502814-0j -0.047533-0j 0.0292419-0j 0.0763416-0j 0.0841314-0j 0.041001-0j -0.0186557-0j -0.00965711-0j -0.0176735-0j -0.0137722-0j -0.214685-0j -0.0193104-0j -0.0577185-0j 0.0502158-0j 0.102159-0j 
-0.000294414-0j 0.00167217-0j 0.0160003-0j 0.0466754-0j 0.0510468-0j -0.000440236-0j 0.0180115-0j -0.0651343-0j -0.321329-0j -0.247972-0j 0.178337-0j -0.101783-0j 0.153459-0j -0.00493725-0j -0.342858-0j -0.339929-0j -0.00765177-0j 0.0223558-0j 0.0748891-0j -0.00108276-0j 0.153667-0j -0.11877-0j 0.261632-0j 0.00236112-0j -0.0253243-0j -0.000366708-0j -0.0884724-0j -0.0149519-0j 0.0331991-0j 0.0570113-0j -0.056437-0j 0.181166-0j 0.00262338-0j 0.123069-0j -0.0272642-0j -0.0270313-0j 0.000425828-0j -0.0264953-0j 0.0399472-0j -0.00128523-0j 0.140761-0j 0.139559-0j 0.000614629-0j 0.0320365-0j -0.0407273-0j 0.0314782-0j -0.0693416-0j -0.00321826-0j 0.0331609-0j -0.0502158-0j -0.00072715-0j -0.175433-0j 
