0.00174945+0.00960303j 0.0408034+0.0593645j 0.0135621-0.060535j 0.000857568-0.0172202j -0.00712754+0.0184892j 0.00220966-0.0336792j -0.00772208-0.0112216j 0.0531234-0.0379651j 0.000982138-0.00443186j -0.00877557+0.00529817j 0.0118189-0.0115851j -0.0261841-0.00792213j 0.0290913-0.00708813j -0.00287461+0.0013376j -0.00669563-0.0029867j 0.00614408-9.07506e-05j 0.00368468-0.00891912j -0.0295414-0.0117154j 0.00832659-0.0100416j -0.00315164-0.00544388j -0.0136882+0.00496933j 0.00553367-0.00366823j -0.0179699-0.0173322j 0.00961724-0.0016554j 0.0045605+0.00178604j 0.0103546-0.0104465j -0.033066-0.0121132j -0.00237257-0.00665286j -0.00940534+0.00766099j -0.00512541+0.0141926j 0.00541543-0.0133227j 0.0191914+0.00793034j -0.0395303-0.0201364j -0.0168148-0.00694685j 0.0392445+0.00948798j -0.00443915-0.00517351j -0.00470252+0.00110708j 0.0238917-0.0113973j 0.0165408+0.0134251j 0.00465472-0.00339181j -0.0161969-0.0734973j 0.0663345+0.0396529j -0.0546581+0.0883125j 0.0649809+0.0133165j -0.00295963+0.0589371j -0.0152932-0.0210335j 0.0728919+0.00362305j -0.00502679-0.00917805j 0.00628036+0.0550198j -0.0812899+0.00776265j -0.0173195-0.0178173j -0.119077-0.0738226j 
0.0428758+0.062332j -0.00870338-0.0198046j -0.00755836-0.00852794j -0.0186763+0.0601537j -0.000944556-0.0070562j -0.0182423+0.00565436j -0.0354213+0.0445373j -0.0147752-0.0177316j -0.0177574-0.0100837j -0.00583308+0.00624518j -0.00585038+0.00576081j -0.0405259+0.0204652j -0.0253646-0.00215268j -0.00459494+0.00296808j 0.00413275-0.00583704j -0.0134295+0.00476523j -0.0155941-0.00141755j -0.0203399+0.0157737j -0.00567769-0.00684908j -0.0321079+0.00878895j -0.00143319+0.0103987j 0.00059058+0.00910782j -0.008031+0.00470751j -0.0197329-0.00395325j 0.00322508-0.00815949j 0.00922267-0.0025887j -0.0296411+0.00960673j -0.00210172+0.00132944j 0.0163791+0.0138247j 0.0381355+0.0160088j -0.00197702+0.0072489j -0.0127659+0.00199381j 0.0031431+0.0186158j -0.0155659-0.0114636j -0.00817946-0.0410595j -0.0144605+0.00568894j -0.00792211+0.0065453j -0.01935-0.0176423j 0.0157384-0.00534852j 0.0179608-0.0103394j -0.0524023-0.0258368j 0.0113849-0.0988062j 0.071354+0.0356917j 0.0367638-0.0730602j 0.0456599-0.00865853j -0.0616528+0.0277903j -0.0061491-0.0270999j -0.0298455-0.0272549j 0.0697023-0.034121j -0.0151132+0.0570678j 0.125817+0.0691696j -0.00563821-0.0317635j 
-0.0716512-0.00738578j 0.0186719+0.00606578j 0.0174044+0.0125931j -0.00272111+0.00321471j -0.000328749+0.013721j 0.0220936-0.0361426j -0.00354847-0.00453092j 0.00380127+0.057651j -0.0236148+0.00740411j -0.000494082+0.0037443j 0.0459554-0.0311311j 0.0137013+0.0165483j -0.040302+0.0317639j 0.0134299+0.0260135j -0.0238821-0.00141834j 0.0105195+0.0038857j 0.0141477+0.0105518j 0.025206-0.0297101j -0.0151151-0.012162j 0.0320802-0.0143489j 0.00808139-0.0203709j 0.0369556+0.0112879j -0.026261+0.0239522j 0.00367178-0.0122383j 0.00457877-0.0107491j 0.0069165-0.0252646j -0.000473307+0.0253324j -0.0153195-0.0140408j 0.00149189+0.00313227j -0.0205329-0.0294638j 0.0172263+0.0165901j -0.00872971+0.0455627j 0.0430518+0.00821998j -0.00434033+0.0209352j -0.0412952-0.012261j -0.00948106+0.0150946j 0.0220297-0.0456633j -0.00747846+0.00741742j 0.0724038+0.0213412j -0.00620143+0.0654527j -0.0209389+0.00848214j 0.0382611-0.0264696j -0.0433779+0.0294363j 0.00508911+0.0238871j -0.0233885-0.0011438j 0.0181483-0.0104517j 0.00407397+0.00156823j -0.0799197-0.0992523j -0.0288658-0.0144814j 0.0261573+0.0970978j -0.0570251+0.209981j 0.141815-0.0216724j 
0.00544152+0.00799087j 0.0655674-0.00604042j 0.00828573+0.00884477j -0.0318386-0.00870654j -0.00756872-0.0366648j -0.0073428-0.0749588j -0.00584918+0.0084702j 0.00131778+0.0288688j -0.00768032-0.020897j 0.0176958-0.019579j -0.00141126-0.0168074j 0.0109869+0.00137104j 0.000391484+0.0221031j -0.00602939+0.00609782j 0.000147862+0.00405053j -0.00473667+0.00160143j 0.00263205-0.00460741j 0.00241113-0.0070943j 0.0204841-0.0037806j -0.0159457-0.0182724j -0.0588998+0.00911854j 0.00126835-0.0217924j 0.0284027+0.0100663j 0.0153341-0.00552704j -0.0174921+0.0159007j -0.0249267-0.0141305j 0.0272573-0.00462453j -0.00290361+0.0321434j -0.00820165-0.0148972j -0.0189836+0.0103897j -0.00202481-0.023963j 0.0297835+0.0256979j -0.0155181-0.0501968j 0.0363545-0.0246339j 0.0254191-0.0167283j 0.0279641-0.019712j -0.0221718-0.000648456j -0.00860832-0.00427678j 0.00947999-0.0504947j 0.083155-0.00707102j -0.0111782+0.0300212j -0.0355465-0.053786j 0.0350832+0.0372352j 0.0432673+0.0547486j -0.0417044+0.0331507j -0.00464446-0.0154298j -0.018382-0.0611526j -0.0813153+0.0729297j -0.0331166-0.0382818j 0.0524008-0.0118098j -0.145414+0.0225651j -0.02852+0.218418j 
0.0229191-0.0224035j -0.0112831-0.028488j 0.0194717+0.0398886j -0.0307691+0.000515829j -0.0377495-0.0428265j -0.0287051-0.0437636j 0.0192765+0.0205012j 0.000572332+0.0310033j -0.0321246+0.0177599j 0.00833335+0.00151201j -0.0195909-0.0338758j 0.0202876+0.00469633j 0.00897805+0.0142061j 0.0275148+0.00987851j -0.0159327-0.00454702j -0.000489478+0.0209519j 0.00450745+0.00431161j -0.0258508+0.0206946j -0.0105509+0.0249153j -0.0010802-0.0313263j -0.0105702-0.00580495j 0.00466379+0.003854j 0.00372307+0.0208452j -0.00401317-0.00751871j -0.0222927-0.00846063j -0.0118518-0.0171689j 0.0173947+0.0163122j -0.000799075+0.00957468j -0.0112865-0.02322j 0.00936451+0.00412569j -0.0376614+0.00512794j -0.0139115+0.0131655j -0.0263337+0.0402688j 0.000244364+0.0225337j -0.0525453-0.0288472j -0.0143654-0.00363571j 0.0250326+0.0278408j -0.0788994-0.0136267j -0.0535244-0.0781823j 0.034236-0.0340307j 0.0244366-0.0128362j 0.045086+0.0650378j 0.000660431-0.0228828j -0.000355387-0.0290787j -0.0540715-0.0198028j -0.000345257+0.0353969j -0.0244509+0.0424648j 0.0223049-0.0699027j -0.20382+0.0401173j 0.0657447+0.166517j -0.0193007-0.0700268j 0.0128239+0.0635705j 
0.0236022+0.0350964j -0.0370849-0.0263753j -0.00214838+0.00926202j 0.0423364+0.0559603j 0.0370372+0.0178015j -0.0150524-0.0236205j -0.0199504+0.0119352j -0.0329688+0.0156365j 0.00850394+0.0140201j 0.0333738-0.00388519j 0.0219686-0.0154198j -0.0240927+0.0122533j -0.0315926-0.00283876j 0.0211576+0.0288108j -0.0100437-0.0216017j -0.00617632-0.0423218j -0.0132618+0.00482643j -0.0190028+0.0193709j -0.0188787+0.0264919j -0.0184632-0.0318584j -0.0060502-0.00582573j -0.0207111-0.0142189j -0.0193065+0.00880563j -0.0118353-0.00946491j 0.0115339-0.0321317j -0.0112107+0.00843296j -0.0408513+0.0355727j 0.00759962-0.0155429j -0.019172-0.00560111j -0.0139339-0.0138209j 0.0073284-0.0416472j -0.0606152+0.00564851j -0.0474841-0.0376822j 0.0589375+0.0284171j -0.0112934-0.0442248j -0.00214543-0.00104783j -0.0713577+0.00577986j -0.0349617-0.0567525j 0.0607498-0.0130073j -0.0342176+0.0698338j 0.0166711+0.0232523j -0.0248304+0.0012871j 0.0205356+0.00540488j -0.0277129+0.00911008j 0.0504179-0.0527214j 0.02942-0.00300421j -0.0255958+0.00207076j 0.0669706-0.0222777j 0.0500452+0.0251538j 0.107939+0.0390331j 0.0748613+0.0933073j 0.0969179+0.022267j 
0.0593983+0.0127935j 0.0489756-0.00571929j -0.0103327-0.0258158j -0.0315811+0.00938886j -0.0127046-0.00945745j 0.00191812-0.00931244j -0.0314396-0.00104231j 0.0249101-0.008764j -0.00745433-0.00269593j -0.0194719-0.0333444j 0.0313151-0.0144653j 0.00661414-0.0184154j -0.0121507+0.0153736j 0.0136831-0.00562427j -0.0146966+0.0324822j 0.0221782-0.00506223j -0.000329466-0.0156563j -0.00616878-0.0188185j -0.0393333+0.0254648j 0.0113841-0.00610596j 0.00140611-0.010872j 0.0343189-0.00105151j -0.000505698-0.00387876j -0.0194512-0.00530843j 0.0345075-0.0295522j -0.0186754+0.0010014j -0.042969-0.00191556j 0.0122039-0.0305723j 0.0112343+0.0121165j 0.0227745-0.00124704j 0.0128361-0.000372821j -0.0262844-0.0368606j 0.0333407-0.006066j -0.0139118+0.0325025j 0.0674077-0.0194491j 0.020668-0.0115734j -0.0422979-0.085763j 0.0478298-0.023607j -0.000791916+0.0196852j 0.0136826-0.0832344j 0.00702979-0.015731j -0.00410389+0.0242059j 0.0545817-0.00158149j 0.0139292-0.02073j 0.0370969+0.0124022j -0.0987322+0.0911j -0.0597074+0.0128384j 0.0456807-0.0675622j -0.0336384+0.148061j 0.0463889+0.0575451j 0.084843-0.0340608j -0.0863267-0.0189485j 
-0.0436641+0.0225994j 0.0182225-0.0165907j 0.0259945-0.00644738j 0.0606409-0.0318955j 0.051917+0.00165935j 0.013879+0.00296204j -0.00238464-0.0226725j -0.0103817+0.00776083j 0.0177507-0.0427576j 0.0154773-0.0174537j 0.023075+0.044994j -0.00532165+0.00951366j 0.0102534+0.00953253j -0.0256749+0.0101682j 0.00261794-0.0147581j -0.0100552-0.0106751j 0.00670575+0.00297893j 0.0123329-0.0190794j 0.0123335-0.0445478j 0.00487492-0.000445918j -0.00772226+0.0128835j 0.0199919-0.0244687j -0.00605345+0.0129286j 0.0205483-0.0139391j 0.005044+0.0370151j 0.00607828-0.0390712j -0.00453898+0.0217893j 0.026273+0.0307412j 0.00714421+0.0182196j 0.00831694+0.00468176j 0.0358095-0.0412552j 0.00458144-0.00335335j 0.0131929-0.00455395j 0.0195583+0.0100067j -0.000464074+0.0141406j 0.016447+0.0187245j 0.0165151+0.0652181j 0.0146983+0.010808j 0.0550836-0.0524831j 0.0679292-0.0421926j 0.0443771+0.0147106j -0.0335312+0.0193981j -0.0340913+0.0355305j -0.00129757+0.0110414j 0.0170115-0.0231019j -0.0810283-0.0369654j 0.0139486-0.020557j 0.101788-0.0236443j 0.053733+0.0790765j 0.0950528-0.191812j -0.0479961-0.0192141j -0.0299348+0.083542j 
-0.00605289+0.0302894j -0.0388922-0.018696j -0.013552+0.0421601j 0.0147126+0.0363367j 0.00201838+0.0175074j 0.0114596+0.0125134j 0.0177841+0.00881671j -0.0331887+0.0157988j -0.00438486-0.0622618j 0.0149598+0.0153417j -0.00871583-0.0159404j 0.0465418+0.0134902j -0.0552458-0.0242719j -0.00144846-0.00262769j 0.0122934+0.0211154j -0.00569103+0.0126915j -0.00233003+0.0172947j 0.0516423-0.0325106j 0.0118116-0.0354703j -0.00658381-0.00477794j -0.0135495-0.012439j -0.021226+0.034758j -0.0068383+0.00522392j -0.0174032-0.029515j 0.0270549+0.0206973j -0.00317153-0.0433581j 0.0299074-0.00559861j -0.0486047+0.0616228j -0.0200243-0.0246414j -0.0151877-0.0119158j -0.00340556+0.0327325j 0.0123464-0.011799j 0.0517769+0.0156073j -0.0413306+0.0228377j 0.00361239+0.00877568j 0.00635802+0.04952j 0.0277363-0.013429j 0.00413281+0.0141384j -0.0203902+0.0432388j 0.0541502+0.0258592j -0.0215233+0.0649608j -0.00863741-0.086285j 0.0402013-0.0705602j -0.0210128+0.0174834j -0.0287131-0.0755499j -0.0367206+0.0580957j -0.142484-0.0386837j -0.0428365-0.0142698j 0.0377208-0.101925j 0.0460145-0.0130242j 0.0178929+0.0432949j 0.0403008+0.0775782j 
-0.0086504-0.0523383j -0.0122532-0.0128952j -0.0142561+0.0243258j -0.0117641-0.0506275j 0.00542561-0.0247756j 0.0311999+0.00607751j 0.00617113-0.0370911j -0.0203587+0.0125567j 0.016455-0.0186807j -0.00143331-0.0670821j 0.0205788+0.00690938j 0.0316325+9.95616e-06j 0.00504142+0.0233705j 0.00254238-0.019234j 0.00169473+0.0142575j 0.0298619-0.0250053j -0.00156003+0.0230136j 0.00118629-0.0116779j -0.0194593+0.0168869j -0.0124777+0.0485099j 0.00328363+0.0183452j -0.000684843-0.0335262j -0.0159723-0.00312401j -0.0126089+0.0318927j 0.0476322-0.00376549j -0.0654008+0.0122144j 0.0119529-0.00285701j 0.0129087+0.0368353j -0.0126568-0.00771509j -0.0424997-0.000623311j 0.0291962+0.0242411j 0.0357182-0.0570235j -0.0248317-0.0407553j 0.0508114+0.0401935j 0.0450341+0.0428831j -0.000154045+0.0118551j -0.0437935-0.00456515j 0.0447666+0.0381825j -0.0416576-0.00493189j -0.073674-0.0136652j 0.0260192+0.0702759j -0.0191062+0.0680587j -0.0274553-0.0463746j -0.0880608+0.0243098j -0.0172145-0.0412295j 0.145937-0.0576813j -0.022012+0.0760658j 0.0676125+0.186628j -0.029907+0.00519657j 0.0207932-0.0739698j -0.00955734-0.135506j -0.000925614+0.0277199j 
-0.0914578-0.0171547j 0.0299874+0.0537354j 0.0225975-0.0192048j 0.0217815-0.0458033j -0.0264833+0.0383597j 0.0233116-0.0385022j 0.0624903-0.0234862j 0.054967+0.0173074j -0.0254852+0.0490775j 0.0171606+0.00251439j 0.00335821-0.0216993j 0.0118151+0.0275024j 0.0352076-0.00666006j 0.0310386-0.00737712j -0.0445809+0.0198868j 0.0513616-0.00357272j -0.00148628+0.0195515j -0.0214314-0.00457608j 0.0159932+0.0409374j 0.01417+0.0156446j -0.0367152-0.0199387j -0.00808674+0.0225991j -0.0316035+0.0149314j 0.0253494-0.00320193j -0.0236972-0.00102963j 0.00861211-0.000740193j -0.0271494+0.0316821j -0.0131053-0.0351171j -0.0162572-0.00902671j -0.0264623-0.0907543j 0.0182065-0.0321737j 0.0269149+0.0141643j -0.0391465-0.0154239j -0.0395202+0.00319184j 0.064969-0.0274777j -0.00586681+0.0265577j -0.00327835-0.0689346j 0.0879551-0.00799386j 0.00013809+0.0518734j 0.043847+0.0480815j -0.00142706-0.0383595j -0.0163705+0.0603009j -0.134336+0.0840474j 0.0390777+0.0596671j -0.128561+0.0499249j -0.000806736+0.0503928j 0.0919631+0.108652j -0.0248252-0.115829j -0.0590073-0.00771554j -0.0350256-0.0165832j -0.0960802+0.046651j 0.0289704-0.0730602j 
