-0.170494-7.63278e-17j -0.023228+0.018648j 0.0245691+0.0201794j -0.0633758-0.117249j 0.0256684-0.0204579j -0.0170558+0.0120414j -0.0272703-0.118833j -0.00226025+0.00919296j -0.0158288+0.0484265j 0.028348-0.0282153j 0.00582705+0.0289634j 0.00197049-0.0374777j 0.0243717-0.00252095j 0.0102505+0.0537856j -0.0258672+0.00410169j -0.00424358+0.00539103j 0.0157228-0.0142981j -0.0150153+0.0033707j 0.00104408-0.0234847j -0.0258629-0.0111243j 0.0120298+0.0144937j 0.00444736-0.0187162j 0.00142122+0.0187917j 0.00276693-0.0330972j 0.0116956-0.0210872j 0.013841-0.00167006j -0.0297548-0.0125918j 0.00356572+0.00298738j -0.0192694+0.0198254j 0.0131796-0.0138843j 0.0103059+0.00524222j -0.010367-0.000478803j -0.0181504+0.00217105j 0.00387197+0.029652j 0.00472072+0.00973585j -0.00856222-0.00429564j -0.0114305-0.00155937j -0.00420576+0.0220001j -0.00142905+0.00336082j 0.00421985-0.0170955j -0.0178935+0.0069367j 0.0205084+0.00232769j 0.00423096-0.0143069j -0.00690981-0.0116057j 0.00269862-0.02216j -0.00951012+0.00384935j -0.00861321+0.0262864j 0.00653461+0.0108838j 0.0134944+0.00452684j 0.0228277-0.0198915j 0.00285005+0.00585665j -0.0157105+0.000155135j -0.00855977+0.00787669j -0.00524755+0.0157593j -0.0132156-0.0212617j 0.0128192-0.00884269j 0.0258263-0.00298425j -0.000718521-0.0128344j 0.0172609-0.0185741j 0.0106174-0.0207094j -0.00749493+0.0442161j 0.00151518-0.00742172j 0.000844165-0.00763294j 0.016544+0.0210422j 0.038761-0.00906478j 0.0118379-0.00633764j 0.0271844+0.0230737j 0.0226501-0.0102378j 0.0118624+0.0379477j -0.0438034+0.0228426j -0.0259945-0.00947935j -0.0152818-0.020628j -0.0130166-0.0351546j -0.0246827-0.0161318j -0.0029863-0.00127697j -0.0108092-0.0199972j -0.0212013+0.0378519j -0.028631+0.0412048j 0.0235059+0.0439602j 0.0415349-0.0211522j -0.00873779+0.0120479j 0.0224312+0.00529671j 0.0124347-0.0463303j -0.0396877+0.0553106j 0.0922127-0.183535j 0.092703+0.218166j -0.389402-0.0470587j -0.045435-0.166087j -0.0386863+0.186677j 0.0745411+0.0245149j -0.0075102-0.0122082j -0.186133-0.028492j 
-0.023228-0.018648j 0.172207+1.02349e-16j -0.092365-0.119532j -0.0141678-0.0284787j 0.0194094+0.0514499j 0.0490143+0.0551126j -0.00959478+0.0214065j 0.025546-0.0940343j 0.0362568-0.018248j -0.0140113-0.000371857j 0.0149949-0.0585013j -0.0127685+0.0036358j 0.0211327+0.0466459j -0.0296888-0.0140782j -0.0288632+0.0594976j -0.0176303-0.0110867j -0.0255893+0.00708629j -0.0271508+0.0209755j -0.0230504+0.0273141j -0.00366273+0.0235772j -0.00148881-0.00882973j -0.0116809+0.00387533j -0.00942491-0.0395539j 0.0168999-0.0334899j -0.00778752-0.00690359j 0.0193701+0.0305387j -0.000874795+0.00630267j 0.000613302+0.00187049j 0.0110798-0.015484j 0.01025+9.12745e-05j -0.00298014-0.0142395j -0.0176351+0.0307048j -0.0145497+0.0012497j -0.00783227+0.018282j 0.00705277+0.000260703j 0.00896875+0.0137052j -0.00318063-0.0112338j 0.0204337-0.00602029j -0.00369275+0.0220614j 0.00587768-0.00136101j -0.0135126-0.00941639j -0.0147962+0.0044751j 0.0102289-0.0136261j -0.0160665-0.00979126j -0.013424+0.0195416j -0.0109356+0.00135447j -0.00920305+0.00161465j -0.0137306+0.0174769j 0.0238308-0.00185741j 0.00369655-0.0192068j -0.0160132-0.00629501j 0.00253838-0.00655772j -0.014451+0.0156612j -0.000308357+0.0079453j -0.0131643+0.0221532j -0.00709997+0.00480046j -0.011283+0.00127443j -0.0017444+0.0204844j 0.0156472-0.0286468j 0.0113239+0.0133634j -0.0158586-0.0219111j 0.00250788-0.00129904j 0.000260193+0.0140654j -2.21892e-05-0.0147798j -0.0067275-0.000213393j 0.0341711+0.0120353j 0.0192448+0.0166498j 0.0441793-0.00764565j -0.0202217+0.015117j 0.0448849-0.00545075j 0.0112126+0.0430153j 0.0228303-0.03328j -0.0209828-0.0085091j -0.0305871+0.00500774j 0.0143506+0.0549638j -0.0216697-0.00040024j 0.00263945+0.00764046j 0.0019673+0.0160344j -0.0590193+0.0341637j 0.0167983+0.0733712j -0.0150994-0.0344333j 0.042886-0.0535885j -0.0683311+0.0758121j -0.0422001-0.010925j -0.129289-0.0647875j 0.314994-0.0962182j 0.0842142+0.343668j -0.193792-0.0961026j 0.00961563-0.00321823j -0.00587223+0.0607455j 0.163233-0.011529j 0.0075102+0.0122082j 
0.0245691-0.0201794j -0.092365+0.119532j 0.0151231-6.245e-17j 0.0666788+0.0210602j 0.0225891+0.0715244j -0.0820575-0.0625063j 0.0380042+0.0499476j -0.0129765-0.131047j -0.0767246-0.0304428j 0.0370185+0.0592331j -0.0325524-5.54995e-05j -0.0378872+0.026403j -0.0244523-0.0432379j 0.0198026+0.0375647j -0.0269571+0.0991265j -0.00261058-0.0511416j -0.0128888+0.0519953j 0.0113885+0.0293658j -0.00241437+0.00905332j 0.0234753+0.0338764j -0.00208631+0.00615435j 0.0249885-0.000744394j 0.0273684-0.0112478j -0.0130986-0.00884611j 0.0112103+0.00375485j -0.0356492+0.0149824j 0.00305093+0.021363j 0.0105813+0.031093j -0.0103312-0.00244888j 0.0144118+0.0381364j -0.0025709-0.0157728j 0.0365401-0.02086j 0.0212169-0.0186307j -0.00197507-0.0428699j -0.0138211+0.00363565j -0.0152345-0.015069j 0.00559193-0.0111414j -0.0177387-0.0260239j 0.00736449+0.0412254j 0.0020703+0.00374087j 0.0119941+0.0239777j -0.00516842-0.00860052j 0.00579996+0.0128208j 0.00386734+0.00689225j 0.00545805+0.013379j 0.0197625+0.0235339j -0.0139247-0.00221288j 0.0136801-0.0204257j 0.00145904-0.00879357j -0.0111993-0.00883891j 0.0108747+0.025751j 0.0105876+0.0354501j 0.00283667-0.00638099j -0.000640563-0.0103665j 0.000962145+0.0267643j 0.0182383+0.0558309j 0.00251539-0.0190476j 0.00591229+0.0100341j -0.0101629-0.0237643j 0.0340704+0.029359j -0.022083+0.00136161j -0.0020295-0.000182244j -0.0314547+0.0114052j -0.0150418-0.0160615j -0.0174024-0.0373174j 0.0020083-0.0123314j 0.0266311-0.0693333j 0.00824318-0.00084106j -0.00489514+0.0109698j -0.00520948+0.0711899j 0.0386963-0.00966396j -0.0116801+0.0127849j 0.0310781-0.0109211j 0.014426-0.0223594j 0.0311304-0.00456876j -0.00336469+0.00521311j -0.0630595-0.0791832j -0.0234603-0.123051j 0.0760123-0.0886555j 0.0401681+0.0643968j 0.1674-0.0143957j -0.170409-0.0484578j 0.104474+0.132522j 0.0710058-0.0289742j 0.106797-0.331573j -0.058543+0.0781079j 0.100571+0.014782j -0.0116252+0.0155428j -0.0290075+4.39738e-05j -0.0128802+0.0661651j -0.00587223+0.0607455j -0.0745411-0.0245149j 
-0.0633758+0.117249j -0.0141678+0.0284787j 0.0666788-0.0210602j 0.100304+6.93889e-17j 0.0955402+0.0540463j -0.00402189+0.000975884j -0.0118542-0.0146239j 0.0398874+0.0100341j -0.0305014-0.0147472j 0.029633-0.0125177j -0.00155464-0.00856192j -0.0102425-0.0790882j 0.0124656+0.0203184j 0.0492112+0.000280401j 0.0330039-0.0683892j 0.00487219-0.0194154j 0.028852-0.0243546j 0.0057166+0.0181462j -0.0109209-0.0566263j -0.0243242+0.0163046j -0.0175159+0.00534788j -0.00264623-0.0169107j -0.00828505+0.0083772j 0.0369992-0.00958521j 0.00435235-0.00056217j -0.0320416+0.0144246j 0.00217041-0.0266049j 0.0182269-0.00703403j 0.00635388-0.00577531j -0.0027986-0.00347638j -0.0101351+0.0154742j -0.015053+0.0544612j 0.0370977-0.00671256j -0.0203459+0.012451j -0.000137899+0.00225554j -0.00461578-0.0145238j 0.0495852-0.0264338j 0.0040421+0.0144096j 0.000724188+0.0148072j -0.00825177-0.00458451j 0.0367971-0.0335683j -0.00893996+0.0111412j 0.00903647-0.0286304j -0.000516269+0.00167436j 0.0121478-0.00285793j 0.0172373-0.00932715j 0.00997142+0.00546874j -0.025522-0.00566647j -0.013368-0.0121168j -0.0121852-0.0134549j -0.000845975+0.0325458j 0.0234409-0.0477907j 0.000745104+0.00674802j -0.0246399+0.0279127j 0.0174359-0.00724891j -0.0100504+0.0125516j -0.00667888-0.00114805j -0.00957931-0.00018457j -0.0167686-0.000207916j -0.0181692+0.0271402j 0.0373057+0.013471j -0.0162589+0.0290893j -0.00288047-0.00113476j 0.0234939+0.0352651j -0.0350351+0.0405299j -0.0556663+0.0584592j 0.00209407-0.0236475j -0.019466-0.0341952j -0.030818+0.0683046j 0.00914926-0.0343729j 0.00677354+0.0101384j -0.022632+0.0333004j 0.0615601-0.0226608j 0.0489372-0.00716168j 0.0234173+0.0542189j 0.0159379-0.118111j -0.0428506+0.0047946j -0.203105+0.134356j -0.0535664-0.0555999j 0.0382549-0.0321689j -0.0297266-0.273595j -0.0748685+0.0670857j 0.117414-0.13724j 0.0257778-0.235996j -0.168911-0.0537942j -0.010432-0.105559j -0.0897231+0.05378j 0.0481109+0.0388623j -0.0795338-0.119544j 0.0290075-4.39738e-05j -0.00961563+0.00321823j -0.0386863+0.186677j 
0.0256684+0.0204579j 0.0194094-0.0514499j 0.0225891-0.0715244j 0.0955402-0.0540463j 0.115437-7.63278e-17j 0.0508407-0.0206528j -0.00643733-0.0392123j -0.0191149-0.0222639j -0.0483444+0.0136421j -0.00576684-0.0734812j 0.00381497+0.0377132j -0.0387202-0.0169547j 0.0189559-0.0218472j 0.010222+0.023186j 0.0494946+0.00876115j -0.0482476-0.0117768j 0.024022+0.00289867j 0.0368143+0.0556069j 0.00169815-0.0228894j 0.0605491+0.0019693j -0.00487629+0.00426034j -0.00398095-0.0176741j 0.00751018-0.0389508j -0.0256574+0.0194308j 0.000688798+0.0153205j -0.000214043-0.0347984j -0.000705739-0.0347224j 0.019202+6.41248e-05j -0.0424275-0.0122955j 0.00726528+0.0389078j -0.0244169+0.00510271j 0.0260957+0.0305602j -0.0124019+0.0281921j 0.00246879-0.00799033j 0.0105489-0.0247545j 0.00755878+0.0278106j -0.00539149+0.0322138j 0.0338264-0.00728189j 0.00704037+0.0189195j 0.00505726-0.0027106j 0.0022847+0.00490605j 0.0219959-0.0535148j -0.00411694-0.0106218j -0.0229156+0.00404613j -0.00907604+0.0193513j 0.0165859+0.028098j -0.03621+0.0328833j 0.0204283-0.0126996j 0.010547-0.0140832j -0.000734387-0.00594173j 0.00269662-0.0100066j -0.00580912-0.0011593j -0.0034406+0.0165279j 0.0158825-0.023429j -0.0316068+0.0183735j 0.0286014-0.054251j 0.00422171-0.0201651j -0.00335023+0.0278875j 0.0267222-0.0475229j 0.0553601-0.0283452j -0.0159871-0.0193607j -0.0046523-0.0122214j -0.0117698+0.0444516j 0.0245528-0.0824631j -0.0374616-0.035289j -0.0155647+0.0074757j -0.0370391-0.0356275j 0.016352-0.0500505j -0.0135365-0.0219402j -0.0193831+0.087557j 0.00460889-0.0363726j 0.141549+0.00593843j 0.0250233+0.0598053j 0.00567113+0.101534j 0.0466276-0.0142754j -0.201781-0.132684j -0.0349331+0.258505j -0.00530039+0.0164263j 0.00392625-0.00510372j -0.00114003+0.000515288j 0.0113606+0.1057j -0.0225887-0.126508j 0.0150632+0.113424j -0.181155-0.0181486j -0.0698113-0.0434102j -0.0919555+0.0628768j 0.00672391+0.0653291j 0.129228+0.0966804j -0.0481109-0.0388623j -0.0116252+0.0155428j -0.193792-0.0961026j 0.045435+0.166087j 
-0.0170558-0.0120414j 0.0490143-0.0551126j -0.0820575+0.0625063j -0.00402189-0.000975884j 0.0508407+0.0206528j -0.143957-2.77556e-17j -0.046491+0.0138211j -0.0452509-0.0247498j 0.029201+0.0413418j -0.0400102+0.013572j 0.0167913+0.0188949j 0.0111401-0.0205367j -0.00502208-0.00798623j 0.0157601+0.0347713j 0.0619573-0.0155941j -0.0372206-0.0419464j -0.0120466-0.0544755j -0.0072557+0.0111847j -0.0247789-0.0524237j -0.00689371-0.0148815j 0.0253861+0.0763702j 0.00722568-0.0173616j -0.0600949-0.0103562j 0.000297715+0.00577862j -0.0129314+0.00866839j 0.0263011+0.00811583j 0.0336366-0.0162004j 0.0251238+0.0183333j 0.00982406+0.0425913j -0.033901-0.0265112j 0.00558337+0.00463671j 0.00183649-0.0214406j -0.0239388+0.0113507j 0.0184323-0.00401042j 0.0141587+0.0202024j -0.0142501-0.0293047j 0.00958312+0.010333j -0.00605306+0.00822136j 0.0490443+0.0157938j 0.00546834+0.0134513j -0.00220233+0.00459323j -0.0304682-0.00127883j 0.0112256+0.0198128j 0.00308388+0.0137321j 0.00168057-0.0349986j -0.0202688-0.00556663j -0.0219095-0.0370878j 0.0225967+0.0300464j -0.0214204+0.00150749j -0.0378893-0.0144444j 0.0161117-0.012313j -0.00853771+0.029968j 0.0462753+0.00469957j -0.0335291-0.00208437j 0.0152648-0.0264621j -0.0157346-0.000187733j -0.0711317+0.00797683j -0.0466847-0.0281041j -0.0542865+0.0342304j -0.0139834-0.0221895j 0.00211747+0.0268733j -0.00840116-0.0209104j -0.00916494-0.0454247j 0.0748799+0.0322538j -0.0658908-0.0257215j 0.00615458-0.0439676j 0.0904555+0.0502743j 0.0476098-0.00771623j 0.0856072+0.0705812j 0.0144242-0.0133765j 0.0215821-0.000887818j 0.109246+0.11375j -0.00862174+0.0611367j -0.214169-0.0322779j -0.0957644+0.000462958j 0.0656342-0.165297j -0.0172918-0.050752j -0.0159942-0.133725j 0.00145227-0.00400012j 0.0451778+0.00966982j 0.0243396+0.013841j 0.136226-0.106663j 0.0543468+0.01957j 0.124721-0.036662j 0.0728333-0.0935234j 0.00133746+0.0570338j 0.0751288+0.0961502j 0.00672391+0.0653291j 0.0897231-0.05378j 0.100571+0.014782j 0.0842142+0.343668j 0.389402+0.0470587j 
-0.0272703+0.118833j -0.00959478-0.0214065j 0.0380042-0.0499476j -0.0118542+0.0146239j -0.00643733+0.0392123j -0.046491-0.0138211j 0.0639809-9.71445e-17j 0.0123444-0.0508296j 0.0323963+0.0369722j 0.0479747+0.00883947j -0.0139677+0.0224665j 0.0136125+0.050805j 0.0176691-0.0476598j 0.0474865-0.0123763j -0.0228808+0.0236931j -0.055976+0.0339196j -0.0100766-0.0183879j 0.0383414-0.0226003j 0.0172502-0.01953j -0.0130145-0.0314366j -0.00821835-0.0227549j 0.00443764-0.0426303j 0.0198106-0.0468991j -0.00909495+0.0255081j 0.0156682+0.00394155j 0.00927622-0.0449745j -0.0214176-0.0374312j 0.0224571-0.0491841j -0.0179775+0.0109611j 0.0337869+0.0404562j 0.0119044-0.0107381j 0.0353903-0.0269752j 0.0214301+0.0109698j -0.0254249+0.0223713j -0.0253027+0.0146078j -0.00997578+0.0166691j -0.000538419+0.06139j -0.0272386+0.0397943j 0.00954742-0.0111523j 0.00161271-0.0126583j -0.0181055+0.0236741j 0.000746042-0.00660679j -0.00212112-0.0175229j -0.00553997-0.00018053j -0.00980923+0.0192995j 0.000844953+0.0221052j -0.0454435+0.0147919j 0.0377645-0.00832473j 0.00361868-0.00782874j -0.0025905-0.0119162j 0.0179429-0.0227104j 0.00227027+0.0381021j -0.00866419+0.014933j -0.00662944+0.0128235j 0.0390186-0.0331077j -0.0178515+0.0307457j 0.00418141-0.0273732j 0.0229854-0.0314502j -0.00903762+0.0111099j 0.0386705-0.0170062j -0.0363963+0.0178592j 0.00400068+0.0012673j -0.0308377+0.018685j -0.00690899-0.0528783j -0.00964851-0.0329819j -0.0637524+0.00245206j 0.035301-0.0597336j 0.0715711-0.0126055j -0.072777+0.0788886j 0.00777177+0.0845555j 0.0028277+0.00424502j -0.0818969+0.0596075j -0.00511687+0.0793976j 0.00406465-0.211826j -0.0112687-0.122855j 0.119259+0.11278j -0.0787746-0.00374046j -0.039236+0.139827j 0.0309564+0.0206423j -0.0627596+0.0669704j -0.140862+0.0317959j 0.0941194-0.112582j -0.106486+0.0104884j 0.0404985-0.0871465j -0.105641+0.0554563j -0.00025756+0.218862j 0.00133746+0.0570338j -0.0919555+0.0628768j 0.010432+0.105559j -0.058543+0.0781079j 0.314994-0.0962182j -0.092703-0.218166j 
-0.00226025-0.00919296j 0.025546+0.0940343j -0.0129765+0.131047j 0.0398874-0.0100341j -0.0191149+0.0222639j -0.0452509+0.0247498j 0.0123444+0.0508296j 0.0270145-2.22045e-16j -0.0074045-0.0161947j 0.0391501+0.0649592j -0.0513817-0.0251769j 0.019584-0.015961j -0.00527764+0.026175j -0.0191161-0.0119616j -0.00698207+0.0788005j 0.0534475+0.0084368j 0.00860355+0.0514299j -0.0372906-0.0225728j -0.0306016-0.00849757j -0.0220514+0.00755279j -0.0194994+0.0052863j 0.0315299+0.013676j -0.00892648-0.0232341j -0.0201792+0.0379951j 0.0066755-0.0116085j 0.0469772+0.028322j -0.00767655+0.0841026j -0.00590412+0.0474803j -0.0233742+0.0449516j 0.0365973-0.0641324j -0.00145389-0.02415j 0.0241032-0.0321129j -0.0122466+0.0133432j -0.0099242-0.0533439j -0.00478725+0.000482992j -0.0179725-0.00919107j -0.0203508-0.0139978j -0.0137856-0.0103417j -0.000402017+0.000189252j 0.0261694+0.00484753j -0.024846+0.0330173j -0.000683978+0.0110569j 0.0324194+0.0161141j 0.00535612+0.024238j 0.0223886-0.0251146j -0.0338837+0.0204147j 0.0365954-0.0523527j 0.00115805+0.0114038j 0.0224141-0.00653092j 0.00687215-0.0142826j -0.0170395+0.0469547j -0.0112459+0.021918j -0.00924031-0.00364173j -0.00391827+0.0242763j -0.00171546+0.00129988j -0.0041858+0.059026j -0.014203-0.0199263j 0.00557539+0.00927064j 0.0386595-0.00591625j 0.0239517+0.0136203j -0.0544452-0.019569j 0.0153392+0.025396j -0.00454962-0.0899819j 0.0060378+0.0691877j 0.0540144-0.0388712j 0.0638246-0.116822j 0.0313248-0.036766j 0.0389854+0.00693238j -0.025532+0.0446143j -0.00920379+0.0422514j 0.00994684+0.00358402j 0.0117583+0.0123689j -0.107923-0.00811986j 0.0584025+0.073185j 0.00288414+0.129369j -0.0749032+0.0170288j -0.204058+0.0221037j -0.131426+0.205343j -0.013194+0.0813073j -0.0679639+0.0857355j 0.150029-0.0217109j 0.111815+0.0209274j -0.0574701+0.0243589j 0.137719-0.0746122j -0.057461+0.110522j -0.105641+0.0554563j 0.0728333-0.0935234j -0.0698113-0.0434102j 0.168911+0.0537942j 0.106797-0.331573j -0.129289-0.0647875j -0.0922127+0.183535j 
-0.0158288-0.0484265j 0.0362568+0.018248j -0.0767246+0.0304428j -0.0305014+0.0147472j -0.0483444-0.0136421j 0.029201-0.0413418j 0.0323963-0.0369722j -0.0074045+0.0161947j -0.0698258+1.31839e-16j 0.0777448+0.0107036j 0.0625211-0.0058038j -0.0490251+0.0457287j 0.0558316-0.00861046j 0.0308741+0.0161343j -0.0188417-0.0363326j -0.00924096-0.00875761j -0.0169883-0.00494462j -0.0456203-0.0553197j 0.0642393+0.0227278j 0.0372609-0.00997732j 0.00480272-0.0465024j -0.04766-0.0531488j -0.024821+0.00709486j -0.0397258-0.041738j 0.0044075-0.0336677j -0.0331909+0.00509345j 0.0209691+0.0449509j -0.0150776-0.023221j -0.0317757-0.0382112j 0.00724417+0.0264399j -0.028261-0.00153804j -0.0106796-0.0258894j -0.0021542-0.051679j -0.0314781+0.00171377j -0.0269594+0.0132113j 0.0211484-0.00614042j -0.0491237-0.00837176j -0.0358621-0.0159557j -0.0156969+0.043857j -0.00465271-0.0263275j -0.00860109+0.00662151j 0.0143472-0.0246518j -0.046111-0.0188958j 0.0119216-0.014617j 0.0134351-0.0185342j 0.0130935-0.000123924j 0.0574122+0.052658j 0.0010746-0.0174177j 0.0349909-0.0204912j 0.00626028-0.0300411j 0.04981+0.0186153j -0.0301075+0.0213624j -0.0077918+0.0069096j -0.0122598+0.000186273j 0.0240455+0.0279114j -0.0214761-0.0280547j 0.0301824-0.031557j 0.00926941+0.0138055j 0.00248599-0.101854j -0.0312966+0.0332647j 0.0207571+0.0532061j 0.0247929+0.0210622j 0.113257-0.0422707j -0.107616+0.0373111j -1.60384e-05+0.00511638j 0.0192446+0.0184576j -0.0162547+0.0782404j 0.0328123+0.0926624j 0.000645734+0.0983498j 0.0461004+0.00869261j 0.0126706-0.081736j 0.0308112+0.0543656j -0.0133621-0.060853j -0.107471+0.0307498j -0.14567+0.123792j 0.0420363-0.128192j 0.0846592-0.0941459j -0.128033-0.0399981j -0.0445989-0.0131923j -0.0859637+0.00395107j 0.0198614+0.107707j 0.0815536+0.0353588j -0.0475872+0.0622366j -0.0431921-0.0815244j -0.137719+0.0746122j -0.0404985+0.0871465j -0.124721+0.036662j 0.181155+0.0181486j 0.0257778-0.235996j -0.0710058+0.0289742j 0.0422001+0.010925j -0.0396877+0.0553106j 
0.028348+0.0282153j -0.0140113+0.000371857j 0.0370185-0.0592331j 0.029633+0.0125177j -0.00576684+0.0734812j -0.0400102-0.013572j 0.0479747-0.00883947j 0.0391501-0.0649592j 0.0777448-0.0107036j 0.0780508-9.71445e-17j -0.0235769+0.0199846j -0.0326151-0.000443357j 0.0398758-0.00242787j -0.0502124+0.0125817j -0.0092162+0.042746j -0.0125718+0.0186208j -0.0707405-0.0540119j -0.0181658-0.034502j 0.0036793-0.0229347j 0.0276981+0.0644602j -0.0424667-0.000148896j 0.0391125-0.0258579j 0.00223777-0.0495414j 0.0146666-0.0399807j 0.00405474-0.0309244j 0.0272624-0.0177995j 0.00394874+0.0345919j -0.0487319-0.0298199j -0.0100791+0.0187284j 0.0193948-0.0245211j 0.00527174-0.0556167j 0.0506684+0.0647299j 0.00255683+0.0404773j -0.0368008+0.0131761j -0.0239255+0.014778j 0.00680555-0.00908886j -0.0104149+0.0155404j -0.00165386+0.0148465j -0.0285516+0.0101234j 0.0100264-0.0153469j -0.0452048+0.00912072j 0.0211692+0.0300042j -0.00784757-0.0137447j 0.0220558+0.0115495j 0.0183582+0.0297607j -0.0343966+0.00223173j 0.0359954-0.0458656j 0.0201481+0.0346228j -0.0181285+0.000271622j -0.0257919-0.0676751j 0.0369198-0.037131j -0.0461299-0.0293858j 0.0175824+0.00833632j -0.00525904+0.041422j 0.0148595-0.0355905j 0.0514773+0.039051j -0.01594-0.0202536j -0.0115604-0.00283474j 0.017263-0.00887339j 0.0049316+0.0318031j -0.0610793-0.014826j 0.0147444+0.0121722j 0.00525144+0.0235174j -0.0469577+0.0154482j -0.00765835-0.0225212j 0.0639034+0.0350815j 0.0276338+0.0885002j -0.0284682+0.014077j 0.129079-0.0225349j -0.0444229+0.0855248j 0.0531225+0.0515856j 0.119506-0.0551931j -0.0456172-0.00445478j 8.48501e-05+0.254596j -0.0440993+0.112677j -0.12599-0.00893337j 0.0438963-0.00528413j 0.0746503+0.0243469j 0.0381649+0.0312312j 0.0645266-0.0887178j 0.0845346+0.0570217j -0.0174154+0.0810455j -0.0389229-0.178305j -0.0475872+0.0622366j 0.0574701-0.0243589j 0.106486-0.0104884j -0.0543468-0.01957j -0.0150632-0.113424j 0.117414-0.13724j -0.104474-0.132522j 0.0683311-0.0758121j 0.0124347-0.0463303j 
0.00582705-0.0289634j 0.0149949+0.0585013j -0.0325524+5.54995e-05j -0.00155464+0.00856192j 0.00381497-0.0377132j 0.0167913-0.0188949j -0.0139677-0.0224665j -0.0513817+0.0251769j 0.0625211+0.0058038j -0.0235769-0.0199846j -0.0253382-8.32667e-17j -0.0435428+0.00608109j -0.0722438+0.0647254j -0.0396597+0.0038852j -0.0122179-0.0232115j 0.0014639-0.0264635j -0.0594345-0.0267544j 0.0107416+0.0223638j 0.00815911+0.0165368j 0.00355407-0.00707099j 0.00175544-0.0741058j 0.0384646+0.0332798j -0.0143369+0.00637426j -0.00598354-0.000252299j 0.0435633-0.0143793j -0.073122+0.0233944j 0.0290961+0.000816341j -0.0342549-0.0482025j 0.00953318+0.0402704j -0.0439611-0.00733942j 0.00153072+0.00682456j -0.0304256-0.00376135j -0.0326469+0.0712497j 0.0328471-0.0662911j 0.008008-0.0505531j 0.0428257+0.0116407j 0.0201275-0.0425166j 0.0245759-0.0265941j -0.023898-0.00394907j 0.00726524-0.0158951j 0.0142029+0.00131836j -0.0480096+0.0482765j 0.00840738+0.01835j -0.0118609-0.00886001j -0.0096177-0.0560548j 0.0527383-0.037577j -0.00762647+0.111059j 0.0378825-0.0391636j 0.0107301+0.0508728j -0.00208712+0.0232341j -0.0526018+0.0265813j 0.0212836+0.0261321j -0.00374238-0.0523137j 0.0164805-0.0139783j -0.0544595-0.0132867j -0.0253333-0.0353231j -0.0219819+0.0219491j -0.0312429+0.0198667j 0.0506472+0.0232416j 0.00981909+0.0811131j 0.000949487+0.0374859j -0.0178151+0.00247543j -0.0149587+0.0340973j 0.0214529+0.0108578j -0.0958619-0.0688976j 0.170188-0.00816307j 0.0657771-0.139014j -0.0510635-0.0804508j -0.0313368-0.0535065j 0.0320653-0.168276j 0.0769393-0.0915964j -0.00870993-0.0364713j -0.0489783+0.0502262j 0.184068-0.00929298j -0.0147347+0.138708j -0.0528441+0.0367851j 0.0455611+0.00176496j -0.117479-0.0416837j -0.114732+0.132905j -0.100361+0.0620302j 0.00256684+0.0522739j -0.0537431-0.273888j -0.0174154+0.0810455j 0.0815536+0.0353588j -0.111815-0.0209274j -0.0941194+0.112582j -0.136226+0.106663j 0.0225887+0.126508j -0.0748685+0.0670857j 0.170409+0.0484578j -0.042886+0.0535885j 0.0224312+0.00529671j 
