0.0508052-0.0627618j 0.108631-0.122243j -0.109744+0.0162021j 0.0817474-0.0154645j 0.0230082-0.0179296j -0.00594785-0.00489992j 0.0637861+0.014183j -0.0318859+0.0335519j 0.0973639+0.00600446j 0.00111838-0.0185592j 0.0168144-0.00644037j 0.00181752-0.00404509j -0.0242288+0.0341219j -0.0378172-0.0248311j 0.0296158+0.0107924j 0.00498097-0.0256985j 0.00890297+0.0104707j 0.02949+0.00121204j -0.0362145-0.0206847j -0.0206725+0.00286397j 0.00725135+0.0135882j 0.00947658+0.0189315j -0.00726895+0.00633086j 0.0246736-0.0184128j 0.000483032-0.00273244j 0.00664785+0.00531059j -0.00656125+0.00095204j 0.0129027-0.0124532j -0.00460036+0.00892005j 0.00703303-0.0072781j -0.00106004-0.00549624j 0.00796058-0.00796533j -0.0166664+0.000541594j -0.00151455-0.00147594j 0.00305721+0.00366278j -0.0160396-0.000737973j 0.0184765-0.0211785j -0.0165336+0.00549608j 0.00215325+0.0014298j -0.0143141+0.0190434j 0.0208478-0.0146614j 0.000514353-0.0132822j -0.00317739-0.0116069j -0.0087513+0.0133372j -0.00367888-0.015118j -0.0024662-0.00586313j 0.00352657+0.00508736j 0.00083311+0.00982561j 0.00134969+0.00479842j 0.00429098-0.00368454j 0.0017796-0.00977596j -0.00908496+0.010818j -0.00161228+0.0153814j 0.000844998-0.00562817j -0.0267295+0.0145432j 0.0178034-0.00864391j -0.002957-0.0072506j 0.0220759-0.0121327j -0.0198282+0.00945445j 0.01798-0.00614973j 0.00175728-0.00127271j -0.0047948-0.00225167j 0.00982236-0.00801366j 0.00529703-0.021521j 4.58438e-05-0.00741539j 0.00971039-0.00292761j -0.00802284-0.00611077j 0.0179632-0.00279265j -0.00982253+0.00591124j -0.00415238+0.000934114j -0.00473291-0.0117429j 0.021197-0.00903969j 0.00358619-0.0367944j -0.0107925-0.0281018j -0.00963101+0.0148255j -0.00126051-0.0307017j 0.0234057-0.00059449j -0.0262065+0.0261172j -0.00714472+0.00718329j 0.0111307-0.00230081j -0.034143+0.00187957j -0.010639+0.0333667j 0.0211326-0.0252115j 0.0488936+0.0548916j -0.0117909+0.0127174j -0.0188019-0.0136515j -0.0781143+0.0181993j -0.0498717-0.00598356j -0.0314954+0.109407j 0.0299783-0.0840796j 0.0280091-0.00991698j -0.124901+0.375433j 0.338369+0.0453692j -0.0778961+0.0312707j 0.105574+0.192321j 
0.0923494-0.110798j -0.0538243+0.0813328j 0.096773-0.0107906j 0.105535+0.00104186j 0.0239345-0.000210145j -0.0152602+0.00693201j -0.0218233+0.0291967j 0.0584111-3.22499e-05j 0.0551908+0.000629915j 0.00195839+0.0191976j 0.0100829+0.00284847j 0.0249256+0.0244179j -0.00437282-0.00424075j 0.0189373+0.0108819j 0.0101994-0.015769j -0.0171561-0.00746337j 0.0021257-0.0171828j 0.0101116+0.0201446j -0.00325825-0.00287663j -0.00407259+0.00309831j 0.00239302+0.0161587j -0.0357774-0.0146748j -0.00133002+0.00832818j -0.00678245+0.00455103j -0.0264844-0.00793179j -0.00771139-0.00656581j -0.0137042-0.0100858j -0.0139905-0.00256509j -0.0133475+0.00529367j -0.00677923-0.00432708j -0.021234+0.0172498j 0.00273833+0.010897j 0.000243261-0.0124898j 0.000385965+0.00119783j -0.00386853-0.0142622j 0.0104594-0.00210256j -0.0094034+0.0214537j -0.00513849-0.00820813j -0.0174224+0.00549006j -0.00354175-0.0161565j 0.00254551+0.00341285j -0.00441987-0.0037384j 0.00174635-0.00388215j -0.00272814-0.00620075j 0.0112213+0.00994331j 0.00346966-0.00414885j 0.00601762-0.00981847j 0.0125866-0.00779708j 0.00578232-0.00439111j 0.00210931-0.000965794j 0.0124553+0.00561315j -0.0171885+0.001916j -0.00943246+0.0122834j 0.0189364-0.000133157j -0.00596243+0.0101075j 0.0171354+0.00391253j -0.0045367+0.0295435j -0.000405166+0.0033284j -0.0306169-0.00582361j 0.00194565-0.00720289j -0.00414107-0.0039689j -0.00758265-0.00860324j 0.00276992+0.012959j -0.00706632-0.0132394j 0.0261859-0.00691381j 3.80282e-05-0.0023376j -0.0128555+0.00596867j 0.0293046-0.0135295j -0.00494927+0.00563085j 0.00319213+0.00446948j -0.0148153+0.0329477j 0.000829152-0.0243091j -0.00757792-0.00253856j -0.00279813+0.0441902j 0.0167768+0.0248369j -0.0269772-0.0147673j 0.00295758-0.0183139j -0.0114304+0.0416981j 0.0125474-0.00865098j -0.0334606-0.0135047j 0.010123-0.00537316j -0.000347392+0.0225101j 0.0479651+0.0259761j -0.00625742-0.0219797j 0.00378297+0.0140051j 0.0304553+0.0306801j -0.0331393-0.0238553j 0.0719398+0.0795531j -0.00670004+0.0904943j -0.0361133-0.029713j -0.0166875-0.0509239j 0.31874+0.0124174j 0.193119-0.401388j -0.111549-0.19574j -0.0738459+0.0371528j 
0.0232915+0.081006j -0.0145377-0.127202j -0.0102393-0.00589882j 0.00348047+0.0269297j -0.0207168+0.0114148j 0.0055024-0.0366775j -0.00800239-0.00497365j -0.0494125+0.0490576j 0.000360771+0.0347129j 0.0537628-0.00594343j -0.00161735+0.0223344j 0.0389608+0.0293833j -0.0518088-0.000832689j 0.0671712+0.0241217j 0.0276308+0.00105364j 0.0417661+0.0192046j 0.011126+0.0255153j 0.038458-0.0119344j 0.0456993+0.0126837j 0.00787195-0.0284202j -0.0104714-0.0035231j 0.00736858+0.0143577j -0.0109884+0.00941763j -0.0140808-0.00507899j -0.00289424-0.0106339j -0.00185594+0.0144375j 0.00651007+0.00155278j 0.0209677-0.0273255j 0.00627425-0.0210252j -0.005399+0.0128351j 0.00971743-0.0324627j -0.00826069-0.012791j -0.00124132-0.0022895j -0.00633177+0.00865065j 0.000824291-0.00447556j -0.0188972-0.00764968j 0.00848523+0.000694183j -0.00597884+0.00816096j -0.0120181-0.0335508j -0.0165269+0.00610431j -0.000364624-0.0163266j 0.00902265-0.0217405j -0.000728354-0.00583551j 0.00133491+0.0168808j 0.00273567-0.0267518j 0.00934407+0.0094849j 0.00566637+0.00915649j 0.0026444+0.00501175j 0.00112844-0.0135332j -0.0141123+0.0247285j 0.00421432+0.0112725j -0.00651552-0.00279628j 0.00250217+0.00202025j 0.00580318-0.00962498j -0.00709251+0.00580195j 0.00876344-0.0181756j -0.0139893-0.0357681j 0.00280839+0.0297848j 0.004753-0.0269113j 0.000382574+0.00811235j -0.00585508+0.0115788j -0.0065892-0.0148671j 0.0140317+0.00680755j 0.00871663+0.00793511j 0.00813376+0.0587591j 0.00412144+0.00314475j -0.00595096-0.026861j -0.0139506+0.015683j 0.00445448+0.0242232j -0.00145782+0.00704736j 0.000407833-0.016442j 0.0127233-0.0161846j 0.0384642+0.0297027j -0.000966869+0.0190699j 0.031887+0.00101296j -0.0267105-0.00869882j 0.0270193+0.0348355j 0.0268374+0.0395115j 0.0210666+0.0291891j 0.00691495+0.0549273j 0.0579206+0.0286821j 0.0470226-0.104754j -0.0104732-0.0811727j -0.0889787+0.166814j 0.0306893+0.0189205j 0.068768-0.162661j -0.109578+0.103492j 0.00695931+0.095393j -0.298816-0.170617j 0.0479459+0.0554891j 0.00519526-0.0269841j -0.122687+0.105939j -0.0625191-0.246416j 0.0991182-0.0668814j -0.207861-0.0909151j 
-0.025058-0.130828j -0.0300482-0.071798j -0.006782+0.0604653j -0.0459589+0.0278701j 0.00467955-0.0378489j 0.0451059-0.0345866j -0.11844+0.0193651j -0.0351587+0.0296977j -0.00625419-0.0380328j 0.0487367+0.0273216j 0.0177+0.00362035j -0.0303541+0.0429345j -0.0092237-0.00298721j -0.0100102+0.0277186j 0.0359787-0.0128593j 0.010406+0.00952723j -0.013585-0.0136732j 0.0404013-0.00369187j 0.0276726+0.0222589j -0.0125038+0.0399149j -0.0012313-0.00559861j -0.00144345-0.00270193j -0.00418618-0.00745389j 0.0134139-0.0341429j 0.0109567+0.00351226j -0.0112161-0.00817818j 0.00602886+0.00282078j 0.0308084+0.0157346j -0.0038353+0.0129675j -0.0165569-0.0236885j -0.0170797+0.00823544j -0.00223596+0.00827005j -0.0111759-0.00384363j 0.00390667-0.0264778j 0.011126+0.00819461j -0.00253473+0.0333031j 0.00290608-0.0226911j 0.0167272+0.0164966j -0.00481765+0.0097944j 0.000554461+0.00391846j 0.00124017-0.00532599j 0.00409852+0.0195015j 0.00583523+0.00882276j -0.0137918-0.00589436j -0.00163993+0.0065672j -7.51196e-05+0.0266553j 0.000978368+0.00713113j 0.00415149-0.00356903j -0.000771724-0.00332927j -0.0116084-0.00928209j 0.00416139+0.0170731j -0.00578671-0.00375756j -0.0122554-0.0130037j 0.0120097+0.0100054j -0.0180169-0.00471751j -0.00483508+0.00595645j -0.0157393+0.0045747j -0.003641-0.00975145j 0.0209015+0.0110841j -0.0169684-0.00630424j 0.0124337+0.0163856j -0.00451994-0.0119245j 0.00127605-0.0156345j 0.0154616-0.00419935j 0.00818607+0.0194946j -0.00539422-0.0223055j -0.0185746-0.0213854j 0.0082424+0.0304857j -0.00238971-0.0141825j 0.0131614+0.0476596j 0.0153096-0.000455756j -0.0219449-0.0449824j -0.00479465-0.0233064j -0.00338782+0.0254182j -0.0238439-0.017301j -0.0110181-0.0273557j 0.0212182-0.0382023j 0.00310203-0.0503972j 0.00150959+0.0466766j 0.0466835-0.000247693j -0.00839136-0.0210142j -0.0425238-0.000404652j -0.0861757+0.0445401j 0.0574067+0.0751867j 0.0314366-0.0783303j -0.178348+0.0416032j -0.0206666+0.25801j -0.108555-0.0624822j -0.288371+0.29727j 0.0227645-0.0369376j -0.0223807+0.0469286j 0.101847-0.0955818j 0.0110371-0.00660935j 0.147114+0.0350471j 0.0656026+0.02413j 
0.00308336-0.0346341j 0.0120809-0.0182491j -0.044645+0.0491478j -0.0100656+0.027837j -0.075733+0.0971194j -0.0514245+0.063006j -0.0431717+0.0622324j -0.00776466-0.00606003j 0.0196946-0.00377225j -0.0818208+0.00227543j -0.117992+0.0135137j 0.0601012+0.016119j -0.00975092+0.007305j -0.0478757-0.0398133j 0.00546349-0.00286156j 0.0212723-0.0256719j 0.0646848-0.0278666j 0.0374797-0.00738502j -0.0069314-0.0265347j 0.0555529+0.0210643j -0.0447303-0.00302912j -0.0169158+0.00188528j -0.000807183-0.0463425j 0.00620767+0.0146387j 0.0146345+0.0228466j 0.0405682+0.0156805j -0.0198413+0.0326966j 0.0261525-0.00595623j 0.014719+0.0130791j -0.00394931+0.00313062j 0.00194709+0.0137766j 0.00238438-0.0080144j -0.012579+0.00377778j 0.00159011-0.00769516j 0.0119162+0.0136194j -0.00770704+0.0188236j -0.000724869-8.64099e-05j 0.0211669+0.0184537j -0.00293359+0.000328175j -0.00590151+0.00448746j 0.0146835+0.00455601j 0.0119995-0.00460453j 0.0233341+0.0245927j -0.00528134-0.0283456j -0.00293227+0.00366172j 0.0151228+0.00520175j 0.00744974-0.0319252j 0.0141275-0.00228682j -0.014238+0.000366548j 0.0083396-0.0131081j 0.0145083+0.00947096j -0.0258718+0.0190857j -0.0167968-0.00459999j -0.00898759+0.027774j 0.00327621+0.0210656j -0.00326697-0.0042002j 0.00241182-0.00264948j 0.0032282-0.0352784j -0.0249851+0.0193981j -0.0134872+0.00565368j 0.00446132-0.0145425j -0.0066319+0.0192577j 0.00352119+4.91174e-06j -0.00319165-0.0101258j 0.00392411+0.0239781j -0.0163704-0.0219947j 0.0234917-0.0249378j 0.00119447+0.0260668j 0.00856715-0.0229731j 0.0355879+0.0294865j -0.0154037-0.0414226j 0.0238414-0.0315048j -0.0109079-0.0116245j 0.00924114+0.00118411j 0.0498334-0.0024066j 0.0131705-0.0168399j 0.0208647-0.0938107j -0.0111173-0.0196463j 0.0576973-0.0689094j -0.00634986-0.126838j 0.0225491-0.000904318j -0.00915368-0.046653j -0.0486242-0.0954467j 0.164676+0.0858989j -0.283185+0.281887j 0.1411+0.120555j -0.0703564-0.0238443j -0.0486419-0.0248903j -0.0475914-0.00105025j -0.0356173+0.155836j 0.042943+0.10349j 0.0139486+0.0182631j -0.0361908-0.053362j -0.0462281-0.0408962j -0.00774726+0.00142777j 
0.0127022-0.0148267j -0.0239938+0.00768969j 0.0355756+0.000417643j 0.0613077-0.0322358j -0.0496143+0.0518535j 0.0654856-0.107449j 0.0399473-0.0162412j 0.0613569-0.0166376j 0.0340782+0.0265127j 0.0438394-0.0120779j -0.0737775+0.0115164j -0.0493438+0.011359j 0.0467228-0.00570962j -0.0304468-0.0149351j -0.00437996-0.000128373j -0.0401381+0.0266271j 0.0361079+0.00542508j -0.0053389+0.0171889j 0.0376328+0.0116022j -0.00534262-0.00851139j 0.0232203+0.0184023j 0.0341092-0.01418j 0.0195411+0.013597j -0.0213689-0.00485101j 0.0223076+0.0122166j -0.02152-0.0210118j 0.0111847-0.0207822j -0.00167717+0.0118597j 0.0312154+0.00399473j -0.0247421-0.00852866j 0.0232779+0.00842472j 0.00517239+0.00661564j -0.0141115-0.0175732j 0.0153977+0.0210527j -0.0259675-0.0145036j 0.00968269-0.0276968j -0.0325425+0.0138542j 0.0431262+0.024008j 0.00763471-0.0262005j 0.00104688-0.00851268j -0.00260241+0.000535155j 0.0213384+0.00957733j -0.0071387+0.0173284j 0.00435342-0.00510837j 0.00759678+0.000960495j 0.0045087-0.0087479j 0.0171336+0.0131229j 0.00443671+0.00627936j 0.0142039+0.0085518j 0.00465947-0.0168162j 0.00241492+0.00675624j -0.0157608-0.0131063j 0.00666607-0.00537102j 0.00849874-0.0234022j -0.00251297-0.00639267j 0.01089+0.0179205j 0.0126011-0.0153357j -0.0238987+0.0112566j 0.000786877-0.0119991j -0.014115-0.0192682j 0.00250681+0.0253995j 0.010726-0.00503401j 0.0034352+0.00576994j -0.0178581+0.0233151j 0.00326315-0.00649431j 0.00444421+0.00306403j -0.0218278+0.0268053j 0.000251655-0.0160819j 0.0583491+0.00497992j 0.00679536-0.0453762j -0.00217761+0.0116844j 0.0099779+0.0438876j 0.00190223+0.0196913j -0.0268444+0.0271881j 0.0207887-0.0135968j 0.0164991-0.00653283j -0.0722046+0.0305768j -0.0296705+0.0269294j 0.0121714+0.0385262j -0.01668-0.0153499j -0.0449114-0.0172166j -0.0350903-0.023566j -0.0808122+0.0551772j 0.125149-0.20915j 0.170413+0.248403j 0.233478-0.241267j -0.0923561+0.085583j -0.011472+0.0102088j -0.0754867+0.0479725j -0.0806588-0.11162j -0.0535848+0.22287j -0.0103055-0.0327018j 0.0122304+0.0571331j 0.0202423+0.0410927j -0.0323994-0.0230923j 
-0.0385578-0.0541176j 0.020551+0.0594954j -0.000307731+0.0559967j -0.0301103+0.0732756j -0.00361963-0.0151463j 0.0514576-0.0623304j -0.0744303+0.0818809j -0.00468614-0.0209429j 0.022513-0.0254545j 0.0611397-0.00479013j 0.000313777-0.00543815j 0.00129153+0.0529315j 0.00374518+0.0198755j -0.0570323-0.00793874j 0.0160605-0.0352981j 0.0296579-0.00877697j -0.00218813-0.0170635j 0.0283493-0.0270694j 0.0592734-0.029888j -0.0182061+0.0319426j -0.0140634+0.0253047j 0.0274307+0.0332043j -0.00420543-0.0270836j 0.0146717+0.0116722j 0.0277341+0.0226367j 0.00148979+0.0190952j 0.0301133+0.00312738j 0.0355703-0.0184494j -0.00818584+0.0139709j -0.00754468-0.00455608j -0.00807876+0.0114127j -0.022167+0.0193802j 0.00945569-0.0102177j -0.00255418-0.00421367j 0.00927615-0.0136591j -0.00461028+0.00999738j 0.0223986+0.012937j 0.00768672+0.0173989j -0.0383636+0.0163916j -0.00225046-0.0129079j -0.0266943-0.00287484j -0.00218566+0.00285227j 0.0249264-0.00170461j -0.0157513-0.00861845j -0.0112261-0.00150006j 0.00420599+0.0104975j 0.0119766-0.011687j 0.000933505-0.0171519j -0.000695806-0.0015841j -0.0119609+0.00848568j 0.00642537+0.0194604j -0.016744+0.0303741j -0.0122372+0.0116541j -0.0101492-0.00928907j -0.0100243+0.0116518j 0.00350757-0.000991808j -0.00221692+0.0277259j -0.0116656+0.0305788j 0.0132177+0.0172868j -0.0220332+0.0119121j -0.00538034-0.0167442j -0.00853841-0.00130418j 0.000483808-0.0358756j -0.00927751-0.00189519j 0.0124132+0.00469603j 0.0079213-0.00805738j -0.0175084+0.0158003j -0.00814027-0.00499748j 0.0239588-0.0233207j 0.0205243+0.0519398j -0.0100683+0.00315677j 0.00275368-0.0237001j 0.0320223+0.0336146j 0.0337216+0.0900033j 0.0198676-0.0379874j -0.0413563-0.0288591j 0.0010495-0.0835241j 0.0639614-0.0890917j 0.0388251+0.0300857j 0.0483106-0.0137715j 0.0493501-0.0684376j -0.0770576+0.21766j -0.0432901+0.088123j 0.158189-0.0256607j 0.183298-0.0231784j -0.0437576-0.0193695j 0.11341-0.0851298j -0.114483+0.070188j 0.154043-0.190341j -0.025486-0.0580025j 0.0378317-0.0272574j -0.146426+0.172193j -0.142382-0.1473j -0.120607-0.109862j 0.035837+0.0766493j 
-0.0105869+0.0218822j -0.0305691-0.0358524j 0.00427096+0.0824628j 0.0127665+0.0801431j 0.0123938-0.0486586j -0.00897484-0.0354715j 0.013011+0.0657923j 0.0650478-0.0781891j 0.0344626+0.0319836j -0.0423429-0.0172594j 0.0130412-0.0192262j -0.0572307+0.0476348j -0.011663-0.0305899j -0.039268-0.0450378j -0.0107753-0.0241159j -0.0172072-0.0259118j -0.037844-0.0121148j -0.0114856-0.0245629j -0.0365849-0.059336j 0.0282427-0.0334539j 0.0201164+0.0112055j -0.0491945-0.0223411j 0.0665627+0.0116614j 0.0189324-0.00590876j -0.0579411-0.0148943j 0.0048664+0.0224643j -0.00224111+0.0148334j 0.02908-0.0303324j -0.00281043-0.0156439j -0.00192664+0.0417833j 0.00143736+0.00168461j 3.5348e-05+0.0060275j -0.0289315+0.00651267j -0.00831584+0.00660532j 0.00957979-0.0155889j 0.0111235-0.00832246j 0.0220371+0.00622417j -0.0123993-0.0124445j -0.0150035-0.0103612j 0.00684278+0.00744428j 0.0124365-0.00434552j 0.00203866-0.00522025j 0.00673589-0.0167133j -0.0388406+0.0079265j 0.00900668-0.0114926j -0.00732169+0.0100972j -0.0231676-0.00672221j -0.0129396-0.010756j 0.0126388-0.00432491j -0.000451765+0.0197473j -0.00403794+0.00528999j -0.00386137+0.0232121j -0.0182413+0.00321665j 0.015404-0.00395835j 0.00728956-0.0178088j 0.00438126+0.0175147j 0.00144531-0.0129863j -0.00160205+0.0269698j -0.01611+0.00462192j -0.00487399+0.0152044j -0.00946363-0.0160787j 0.00803532+0.00221525j 0.0166245-0.00461555j 0.00237239+0.0101602j -0.0171904-0.0130769j -0.0228359+0.00572983j 0.00191476+0.015643j 0.0501837-0.0253026j -0.0137248+0.0222882j -0.0254666+0.00773258j 0.0213009+0.0353437j 0.0285806+0.0508154j -0.0402169+0.0307007j 0.0326675-0.0282778j -0.0172663-0.0300849j -0.014669+0.0373142j -0.017091-0.0245483j -0.0671166+0.0683131j 0.0290099-0.0207516j 0.0150438-0.0486279j 0.021547+0.0444334j -0.00777453+0.0320952j 0.0694406+0.00923201j -0.0892093+0.047904j 0.0256706-0.0788075j -0.0501213-0.045147j -0.139116-0.00917669j 0.0385827-0.0783779j 0.0239479-0.0131954j -0.00329915+0.00649303j -0.0191383-0.0371627j 0.0530684-0.153364j -0.0336736-0.0579327j -0.0218719-0.19153j -0.252958-0.0552814j 
-0.0790101-0.069622j -0.0240435-0.00361081j 0.0263945+0.0538001j 0.0383253-0.0156408j -0.0213651-0.0219946j -0.0149091+0.00758469j 0.0188321-0.0499843j 0.0245006+0.00151073j -0.0516354+0.042298j -0.0524432+0.0206659j -0.0088312-0.00309028j -0.0137519+0.0163363j 0.0284683-0.0505236j 0.0324501+0.00188826j -0.00467859+0.0251478j -0.0146454+0.0243134j 0.0245997+0.00158284j -0.0324154+0.0114718j -0.0263237-0.00585507j 0.00483428+0.0415538j 0.0393835+0.0591536j 0.048201-0.00444234j -0.0203348+0.0308033j 0.0178518-0.017177j 0.0162411-0.0260006j -0.00492179+0.033702j -0.0158122-0.000701942j -0.0193051+0.018188j 0.00163465+0.00997597j -0.0152764-0.00642699j 0.0105074-0.0114157j -0.0171302-0.0302906j 0.00269494-0.00960924j 0.0132027-0.00407467j 0.0212938+0.010783j -0.0131581+0.0069201j 0.00799667+0.0142339j 0.0144852+0.0227942j 0.0204903-0.0299122j 0.00449767+0.00446516j -0.00117215-0.0218901j -0.0150994+0.0171537j -0.00507348-0.00948523j 0.00997525-0.00446539j -0.00699674-0.00502135j -0.00546584+0.0239319j -0.00760928+0.0107369j -0.0145366-0.0104899j 0.00252464-0.0195694j 0.0148514+0.0274991j -0.000601413+0.0271861j -0.00133499-0.0274624j 0.00645241+0.0025237j 0.00891994+0.0152644j -0.00289713-0.00774703j -0.0128046-0.010903j -0.0234195-0.0282975j 0.0175803+0.015641j -0.00676707-0.00331682j 0.0033704-0.00748612j -0.0115433-0.0325946j -0.00376411-0.0111247j 0.0181505+0.0335919j -0.00128334+0.0326833j -0.00248404+0.0455624j 0.00033327-0.0196137j -0.00221485-0.0351413j -0.00420163+0.0524599j 0.0113318-0.00952402j -0.0196999+0.0234087j -0.0141065-0.00687147j -0.0167988-0.0209903j -0.0121908-0.0106682j 0.00559238+0.123714j 0.0651103-0.0272422j -0.00409118-0.029309j 0.0654197-0.0442205j 0.00664095-0.0243349j -0.00572933+0.116141j 0.0636715+0.0662263j 0.000908544+0.0534987j -0.142457+0.0533453j -0.130498-0.0484281j 0.0250048+0.141324j -0.040622+0.0423431j -0.0754309+0.0108178j 0.093093-0.0917944j 0.0906026+0.0134487j -0.0358086+0.0416587j 0.0274954+0.0507319j 0.0521113+0.00514366j -0.0891439-0.0210049j -0.105853+0.0165879j 0.252939-0.00484173j 0.0386317-0.157646j 
-0.0265046+0.00110876j 0.0840276+0.0351879j 0.0428877+0.131559j -0.0103463-0.00552886j 0.0027993-0.0226525j 0.0212306+0.0551988j 0.0101755+0.0432708j 0.0179943-0.103855j 0.0107784+0.00162963j 0.012711-0.0143318j 0.000752633-0.064627j 0.0220387+0.0506959j -0.00108068+0.00276109j -0.0124377+0.0264857j -0.03407-0.0299715j 0.0621563-0.0398174j 0.00562089-0.038085j 0.00783981-0.017415j 0.0469158-0.000397723j 0.0165863-0.00279585j -0.0429293+0.0479611j 0.0170563-0.00124033j 0.00430949-0.0333932j 0.0359057+0.00578541j 0.0116982-0.0104938j -0.0124336+0.0372716j 0.0146897+0.047372j 0.0207225-0.0169404j 0.000990401+0.00675767j 0.00607181-0.00214676j 0.0303373+0.0168746j -0.00527639-0.0107733j 0.00544042-0.00161885j -0.00767081-0.00383856j 0.0191887-0.0407661j -0.00583902-0.0043781j 0.0240321+0.0509646j -0.0121274-0.0325508j -0.00522661+0.00964806j -0.00841923-0.0285455j -0.00312468-0.0185563j -0.0109608-0.0253918j 0.0156759-0.0048416j -0.0292063-0.0166642j -0.0227284+0.0339817j 0.0112529-0.0327756j -0.0213178+0.0192631j -0.0321977+0.025076j -0.00634733-0.00306231j -0.0189639+0.013105j 0.00809261+0.00474182j 0.0141386-0.00345587j 0.0064562+0.00747234j 0.00168659-0.0244859j -0.0184728+0.0452042j 0.0162941+0.0447345j 0.027684+0.0747877j 0.0283913-0.000585121j 0.0325562-0.0909488j 0.0034577+0.0479891j -0.0228949+0.00718443j -0.00865856+0.00909921j -0.00519887-0.0326756j 0.0118569-0.0506619j -0.00323134+0.0665033j 0.0150542+0.00932168j -0.00205786-0.00792592j 0.0404236-0.0302447j -0.00184071+0.00448359j 0.0221733-0.00271462j 0.00233378-0.0132248j -0.0299029-0.0705952j -0.00537717-0.070015j 0.0735857-0.0640311j -0.0691586+0.119702j -0.0667956+0.0742563j 0.00791461-0.0803703j -0.0381669-0.0941677j 0.0830815-0.0675675j 0.0433534-0.0284916j -0.0934517+0.0175506j -0.0012424-0.0240371j 0.0848+0.058673j 0.0833033-0.0339609j 0.0252583-0.0253413j 0.0641672+0.0038944j -0.02345+0.0265011j 0.0111014+0.027252j -0.0364177-0.0146215j -0.0109452+0.0338776j -0.0478993+0.0208331j -0.00438078-0.100838j -0.01528+0.182575j -0.00468021-0.0113904j -0.0503244-0.131028j 
-0.00140258-0.0310693j 0.00950284+0.00461627j 0.0144099+0.0499693j -0.0128045-0.0371022j 0.0284106+0.100688j 0.0048275-0.0928106j -0.0130622+0.0135424j 0.0129487-0.0440728j 0.0137239+0.00328193j 0.00430472+0.0182864j -0.018805+0.0375115j -0.0167499-0.019996j -0.0306624+0.0336534j -0.00721677-0.00337441j 0.0021197-0.0106227j -0.0643702+0.0185712j -0.0209871-0.0574958j -0.0204602-0.0030222j -0.0570607-0.00678198j 0.024003-0.00494966j -0.0702391+0.00675725j 0.00115759-0.0380418j -0.0294196-0.0208358j -0.0212312-0.0360922j -0.0153476-0.0159938j -0.00157402-0.0469211j 0.0626648+0.00947528j 0.00431926+0.0423849j 0.00850731+0.0176252j -0.00319055-0.0372764j 0.0183653+0.0391173j 0.00922727+0.0299337j -0.0361235-0.0208706j -0.0233836-0.042237j 0.00638761+0.00378876j 0.0356013+0.0138652j -0.0067982-0.00045882j 0.0134369-0.0593001j 0.0308494+0.0847761j 0.00615559+0.0362332j 0.00663248-0.0331161j -0.0108585-0.0155559j 0.0105648+0.0295509j -0.0111811+0.00989196j -0.0156678+0.0239495j 0.0217416-0.00288965j -0.00215957+0.0192655j 0.0117674+0.00440759j 0.0133567+0.0175621j -0.00594342-0.0481805j 0.00624617-0.0300032j -0.00652332-0.0291947j -0.00108836-0.0251202j 0.0102517+0.0192183j -0.00181983-0.00736691j -0.0131642+0.0013772j 0.0318594+0.0738732j -0.0212449-0.0342069j 0.0170725-0.0401252j 0.0345906+0.0103157j 0.0509632+0.0515613j 0.00786216-0.00390317j 0.0168433-0.004479j 0.000345307-0.0696065j 0.0138108-0.0193614j -0.00381879+0.0495893j -0.0273421+0.00529201j 0.0619151+0.0436114j -0.0683889-0.00216923j 0.0354954-0.0472172j -0.0483144-0.0260982j -0.0564191+0.054534j -0.120606+0.0953742j -0.00864196+0.0554261j 0.0320299-0.0397312j 0.0622361-0.186642j -0.0493215-0.0886464j 0.0052294-0.105046j -0.113362-0.0719502j -0.0907487-0.105238j 0.0454329+0.0211288j -0.0386501-0.0983414j -0.0761494-0.115443j 0.099041+0.0318096j 0.00151204-0.207625j 0.0932888-0.139348j -0.0288382-0.0314378j 0.0413393+0.0188404j 0.0755189-0.0217558j 0.148973+0.0974746j 0.0991844+0.0134289j 0.007376-0.00645265j 0.00983919+0.0359137j -0.0127327-0.00166965j -0.0291738-0.0110392j 
