0.0937997-0j -0.000123086-0j 3.541e-08-0j -3.24259e-12-0j 1.00936e-16-0j -2.72828e-20-0j -7.53591e-06-0j 1.88992e-09-0j -1.34401e-13-0j 2.80473e-18-0j 4.02492e-11-0j -2.50568e-15-0j 3.06594e-20-0j -2.00999e-17-0j -3.80646e-07-0j 6.03738e-11-0j -2.65768e-15-0j -5.37033e-20-0j 1.44477e-12-0j -5.19941e-17-0j -3.29579e-19-0j 2.02015e-14-0j -3.49571e-19-0j -1.57367e-08-0j 1.58266e-12-0j -4.02745e-17-0j 2.95061e-14-0j -5.10581e-19-0j 4.32938e-16-0j 3.00622e-18-0j -5.29905e-10-0j 3.29888e-14-0j -4.0365e-19-0j 4.56357e-16-0j 4.3391e-18-0j -1.43787e-11-0j 5.1746e-16-0j 4.6387e-18-0j -3.07109e-13-0j 5.3143e-18-0j 1.66243e-16-0j -3.09526e-15-0j 3.78735e-20-0j 1.19056e-20-0j -3.02775e-17-0j 6.12346e-07-0j 8.92358e-13-0j 1.10055e-09-0j -3.21141e-17-0j -2.87883e-19-0j -6.91685e-19-0j -3.43394e-07-0j -1.10683e-13-0j 5.44652e-11-0j -0.00124399-0j -2.39758e-15-0j -4.84476e-20-0j 2.8166e-18-0j 1.30337e-12-0j -0.000101365-0j -4.69057e-17-0j -2.97324e-19-0j -1.19138e-15-0j 2.57732e-14-0j -4.45986e-19-0j -4.16971e-20-0j 2.76173e-16-0j -8.86632e-11-0j -1.44894e-08-0j -6.58253e-06-0j 1.45721e-12-0j 4.12402e-08-0j -3.70822e-17-0j 1.65082e-09-0j 2.71674e-14-0j -4.70111e-19-0j 0.417149-0j 3.98622e-16-0j 3.91445e-18-0j -1.17397e-13-0j -4.94824e-10-0j -4.62523e-12-0j 3.08049e-14-0j -3.76927e-19-0j 2.44989e-18-0j 4.26145e-16-0j 4.05185e-18-0j 4.45848e-15-0j -1.35659e-11-0j 4.97197e-11-0j 4.8821e-16-0j 4.37649e-18-0j 
0.0775428-0j 0.0776873-0j -0.000113676-0j 2.92994e-08-0j -1.95866e-12-0j 2.78202e-17-0j -6.97943e-05-0j -4.23852e-06-0j 1.04036e-09-0j -4.96594e-14-0j 1.05212e-09-0j 1.2077e-11-0j -4.35666e-16-0j -1.02955e-15-0j -5.31041e-06-0j -1.8079e-07-0j 2.5731e-11-0j -5.66766e-16-0j 4.86008e-11-0j 3.06419e-13-0j -2.03522e-17-0j 8.49962e-13-0j 2.47288e-15-0j -3.08084e-07-0j -6.09888e-09-0j 4.76775e-13-0j 1.24145e-12-0j 3.61188e-15-0j 2.22726e-14-0j 1.85641e-16-0j -1.38518e-08-0j -1.59001e-10-0j 5.73581e-15-0j 2.34774e-14-0j 2.67949e-16-0j -4.83688e-10-0j -3.04957e-12-0j 2.8645e-16-0j -1.29214e-11-0j -3.75936e-14-0j -2.41777e-12-0j 1.49187e-11-0j -5.38177e-16-0j 4.09663e-17-0j -1.55763e-15-0j -0.00130503-0j 3.00182e-11-0j 2.15458e-08-0j 1.8926e-13-0j -1.77774e-17-0j 2.12919e-15-0j -4.7907e-06-0j 4.26525e-10-0j -1.63096e-07-0j 0.38432-0j 2.32128e-11-0j -5.11299e-16-0j -3.33432e-14-0j 4.38444e-11-0j -0.000558489-0j 2.76431e-13-0j -1.83604e-17-0j -5.01259e-14-0j 1.08439e-12-0j 3.15493e-15-0j -1.45837e-16-0j 1.42078e-14-0j 6.00006e-07-0j -2.83664e-07-0j -6.09645e-05-0j -5.61546e-09-0j -6.59089e-05-0j 4.38984e-13-0j -3.70229e-06-0j 1.14305e-12-0j 3.32559e-15-0j -0.0374879-0j 2.05072e-14-0j 2.41726e-16-0j 9.08745e-10-0j -1.29348e-08-0j 2.78215e-08-0j -1.48475e-10-0j 5.35608e-15-0j -4.33769e-14-0j 2.19231e-14-0j 2.5021e-16-0j -6.91741e-11-0j -4.56347e-10-0j 1.29968e-09-0j -2.87719e-12-0j 2.70258e-16-0j 
0.000479533-0j 0.113395-0j 0.0614618-0j -8.05914e-05-0j 1.51614e-08-0j -4.62437e-13-0j -0.000162652-0j -6.77236e-05-0j -1.99218e-06-0j 3.28989e-10-0j 1.25948e-08-0j 5.43649e-10-0j 1.79157e-12-0j -2.96839e-14-0j -2.51742e-05-0j -4.34729e-06-0j -6.57663e-08-0j 4.6955e-12-0j 8.15978e-10-0j 1.77464e-11-0j -7.33809e-16-0j 1.90475e-11-0j 1.79101e-13-0j -2.4506e-06-0j -2.05687e-07-0j -1.56782e-09-0j 2.78207e-11-0j 2.61593e-13-0j 6.42162e-13-0j 6.69337e-15-0j -1.65818e-07-0j -7.15748e-09-0j -2.35871e-11-0j 6.76898e-13-0j 9.66105e-15-0j -8.12084e-09-0j -1.76617e-10-0j 1.03281e-14-0j -2.89567e-10-0j -2.72275e-12-0j 1.24498e-08-0j 6.71569e-10-0j 2.21312e-12-0j -5.10201e-13-0j -4.49096e-14-0j 0.34687-0j 5.03988e-10-0j 1.71383e-07-0j 1.09611e-11-0j -6.40973e-16-0j -2.83015e-11-0j -2.27105e-05-0j 1.43847e-08-0j -3.92184e-06-0j -0.0486062-0j -5.933e-08-0j 4.23597e-12-0j 1.09645e-10-0j 7.36122e-10-0j -0.000405825-0j 1.60097e-11-0j -6.61994e-16-0j -1.12331e-12-0j 2.4301e-11-0j 2.28498e-13-0j -1.05623e-14-0j 4.09638e-13-0j -0.00109665-0j -2.25636e-06-0j -0.000142075-0j -1.89384e-07-0j -0.000627614-0j -1.44355e-09-0j -5.91557e-05-0j 2.56155e-11-0j 2.40858e-13-0j -7.1176e-05-0j 5.91262e-13-0j 8.71556e-15-0j -1.74015e-06-0j -1.5484e-07-0j -3.7985e-05-0j -6.68364e-09-0j -2.20256e-11-0j 2.87368e-10-0j 6.32086e-13-0j 9.02146e-15-0j 4.01164e-07-0j -7.6618e-09-0j 1.55583e-08-0j -1.66634e-10-0j 9.74429e-15-0j 
2.85215e-07-0j 0.000660954-0j 0.143502-0j 0.0451152-0j -4.31899e-05-0j 3.70663e-09-0j 8.24423e-06-0j -0.000247611-0j -4.9785e-05-0j -6.5015e-07-0j 6.20923e-08-0j 1.01393e-08-0j 1.25907e-10-0j -5.16616e-13-0j -1.94218e-05-0j -3.21948e-05-0j -2.4711e-06-0j -1.23813e-08-0j 6.73799e-09-0j 4.63956e-10-0j -1.70405e-14-0j 2.36487e-10-0j 6.24763e-12-0j -5.96463e-06-0j -2.5514e-06-0j -8.2577e-08-0j 3.45412e-10-0j 9.12525e-12-0j 1.11761e-11-0j 1.55433e-13-0j -8.17483e-07-0j -1.3349e-07-0j -1.65764e-09-0j 1.17807e-11-0j 2.24348e-13-0j -6.70582e-08-0j -4.61742e-09-0j 2.39838e-13-0j -3.59516e-09-0j -9.49787e-11-0j -1.75516e-05-0j 1.25251e-08-0j 1.55533e-10-0j 2.7184e-09-0j -7.81601e-13-0j -0.0532078-0j 4.16171e-09-0j 4.17136e-07-0j 2.86562e-10-0j -1.48847e-14-0j 1.70013e-07-0j -1.75211e-05-0j 1.78432e-07-0j -2.90441e-05-0j -8.84759e-05-0j -2.22927e-06-0j -1.11696e-08-0j 5.77502e-09-0j 6.07857e-09-0j -1.57469e-06-0j 4.18551e-10-0j -1.53728e-14-0j -1.39467e-11-0j 3.01713e-10-0j 7.9708e-12-0j -3.6845e-13-0j 7.1293e-12-0j 0.303084-0j -5.49185e-06-0j 7.20124e-06-0j -2.34917e-06-0j -0.000727356-0j -7.60317e-08-0j -0.000216285-0j 3.18033e-10-0j 8.40196e-12-0j -2.51917e-08-0j 1.02903e-11-0j 2.02392e-13-0j -4.34866e-05-0j -7.63364e-07-0j -0.000566732-0j -1.24653e-07-0j -1.5479e-09-0j -5.67898e-07-0j 1.10007e-11-0j 2.09496e-13-0j -0.000760057-0j -6.32677e-08-0j 7.67025e-08-0j -4.35642e-09-0j 2.26282e-13-0j 
4.2381e-11-0j 3.30918e-07-0j 0.00069017-0j 0.171095-0j 0.0286136-0j -1.25001e-05-0j 6.27547e-09-0j 1.41523e-05-0j -0.000290142-0j -2.58206e-05-0j 5.80999e-08-0j 7.92868e-08-0j 3.71737e-09-0j -5.06225e-12-0j -4.65692e-08-0j -4.01954e-05-0j -2.90482e-05-0j -7.3865e-07-0j 1.95773e-08-0j 6.06605e-09-0j -2.50829e-13-0j 1.38595e-09-0j 1.22706e-10-0j 2.55497e-07-0j -9.89133e-06-0j -1.62302e-06-0j 2.02431e-09-0j 1.79223e-10-0j 1.09513e-10-0j 2.28791e-12-0j -7.6492e-07-0j -1.04386e-06-0j -4.89414e-08-0j 1.15437e-10-0j 3.30232e-12-0j -1.94839e-07-0j -6.03709e-08-0j 3.53033e-12-0j -2.10697e-08-0j -1.86541e-09-0j -0.0004169-0j 9.79429e-08-0j 4.59206e-09-0j -4.52334e-06-0j -7.65881e-12-0j -8.12382e-05-0j 1.20919e-08-0j -1.78682e-08-0j 3.74669e-09-0j -2.19096e-13-0j -0.000381677-0j -4.20117e-08-0j 6.9175e-07-0j -3.62617e-05-0j -2.64073e-08-0j -2.62054e-05-0j -6.66362e-07-0j 1.13506e-07-0j 1.76614e-08-0j -5.90868e-10-0j 5.47239e-09-0j -2.26282e-13-0j -8.17355e-11-0j 1.76821e-09-0j 1.56549e-10-0j -7.23648e-12-0j 6.98591e-11-0j -0.0526189-0j 2.35246e-07-0j 5.48154e-09-0j -9.10731e-06-0j -2.32707e-06-0j -1.49438e-06-0j 1.23618e-05-0j 1.86386e-09-0j 1.65017e-10-0j -2.6678e-12-0j 1.00833e-10-0j 2.97913e-12-0j -0.000253436-0j -7.14281e-07-0j -0.00106366-0j -9.74753e-07-0j -4.57014e-08-0j -2.25539e-05-0j 1.07795e-10-0j 3.0837e-12-0j 0.249643-0j -1.83826e-07-0j 7.17707e-08-0j -5.69585e-08-0j 3.33077e-12-0j 
1.89917e-15-0j 3.47156e-11-0j 2.43367e-07-0j 0.000568458-0j 0.197382-0j 0.0117134-0j 7.91769e-13-0j 7.553e-09-0j 1.76009e-05-0j -0.000268749-0j 7.68787e-11-0j 1.34405e-07-0j 5.16635e-08-0j -2.09842e-11-0j -9.83847e-12-0j -6.65128e-08-0j -6.57225e-05-0j -1.54433e-05-0j -7.11542e-10-0j 3.14452e-08-0j -2.08857e-12-0j 1.87873e-09-0j 1.27771e-09-0j 1.09039e-10-0j 4.49573e-07-0j -1.12293e-05-0j 2.74406e-09-0j 1.86622e-09-0j 4.53959e-10-0j 1.90507e-11-0j -1.01215e-09-0j -1.76953e-06-0j -6.80181e-07-0j 4.78515e-10-0j 2.74973e-11-0j 7.08146e-09-0j -3.12951e-07-0j 2.93958e-11-0j -2.85611e-08-0j -1.94242e-08-0j -0.00141899-0j 1.6603e-07-0j 6.38198e-08-0j -0.000191668-0j -3.17476e-11-0j -1.71076e-08-0j -4.39483e-10-0j -7.62564e-12-0j 1.94221e-08-0j -1.82434e-12-0j 0.178051-0j -8.87562e-12-0j -3.14409e-08-0j -6.00035e-08-0j -1.97544e-12-0j -5.92905e-05-0j -1.3932e-05-0j 7.85318e-07-0j -6.41907e-10-0j -4.95675e-14-0j 2.83678e-08-0j -1.88417e-12-0j -1.10797e-10-0j 2.3969e-09-0j 1.63012e-09-0j -7.53524e-11-0j 2.89583e-10-0j -5.63857e-05-0j 1.00396e-10-0j 6.91601e-13-0j 4.13938e-07-0j -6.14803e-10-0j -1.03392e-05-0j 6.59745e-09-0j 2.52656e-09-0j 1.7183e-09-0j -9.29052e-17-0j 4.17977e-10-0j 2.48063e-11-0j 1.53742e-05-0j -9.45147e-10-0j -2.34916e-06-0j -1.65238e-06-0j -6.35152e-07-0j -0.000234749-0j 4.46836e-10-0j 2.56769e-11-0j -0.0461728-0j 6.68118e-09-0j 9.49681e-11-0j -2.95261e-07-0j 2.77342e-11-0j 
-3.05834e-20-0j 6.95148e-16-0j 1.14e-11-0j 8.929e-08-0j 0.000286708-0j 0.222965-0j 1.76255e-17-0j 4.25057e-13-0j 4.16577e-09-0j 1.45918e-05-0j 6.02472e-15-0j 7.76619e-11-0j 2.40689e-07-0j 5.68437e-13-0j -3.06974e-16-0j -6.25667e-12-0j -4.74971e-08-0j -9.60549e-05-0j -1.12174e-13-0j -1.02247e-09-0j -6.48118e-12-0j 9.04377e-13-0j 4.75932e-09-0j 5.11214e-15-0j 8.50744e-11-0j 4.56675e-07-0j 1.32093e-12-0j 6.95144e-09-0j -1.22972e-11-0j 5.91174e-11-0j -7.93191e-14-0j -1.02247e-09-0j -3.16882e-06-0j -1.29624e-11-0j 8.53286e-11-0j 1.11639e-12-0j 1.01759e-08-0j 9.12201e-11-0j -1.37486e-11-0j -7.23529e-08-0j -1.36911e-06-0j 9.59356e-11-0j 2.97323e-07-0j -0.00179474-0j 8.60002e-13-0j -5.71744e-13-0j -6.92843e-14-0j -3.57518e-16-0j -6.31526e-10-0j -5.66123e-12-0j -0.0295857-0j -2.76932e-16-0j -5.94968e-12-0j -5.64436e-12-0j -3.07469e-17-0j -4.28488e-08-0j -8.66544e-05-0j -3.19376e-08-0j -1.01196e-13-0j -8.26881e-19-0j -9.22402e-10-0j -5.84689e-12-0j -5.33351e-14-0j 1.15381e-12-0j 6.072e-09-0j -2.80678e-10-0j -7.84443e-12-0j -5.29863e-09-0j 4.70694e-15-0j 1.53957e-17-0j 7.83311e-11-0j -2.30259e-14-0j 4.20478e-07-0j 3.71282e-13-0j 1.21623e-12-0j 6.40044e-09-0j 1.70924e-20-0j -1.13225e-11-0j 7.69779e-11-0j 3.63875e-09-0j -7.4068e-14-0j -2.76383e-10-0j -9.54777e-10-0j -2.95904e-06-0j 1.27458e-05-0j -1.21042e-11-0j 7.96797e-11-0j -2.19647e-05-0j 1.05328e-12-0j 7.44233e-15-0j 9.60067e-09-0j 8.60639e-11-0j 
-0.0291945-0j -0.00259952-0j 3.85791e-06-0j -9.96479e-10-0j 6.66443e-14-0j -9.46642e-19-0j 0.0700964-0j -6.23895e-05-0j 1.06941e-08-0j -4.37227e-13-0j -4.27554e-06-0j 5.71894e-10-0j -1.28442e-14-0j 9.43646e-12-0j -4.14713e-05-0j 1.85534e-08-0j -1.75483e-12-0j 3.21797e-17-0j -1.14959e-07-0j 8.14072e-12-0j 1.38071e-13-0j 1.33387e-11-0j -4.23665e-16-0j -3.01448e-06-0j 7.3074e-10-0j -3.65906e-14-0j -3.35748e-09-0j 1.0664e-13-0j 3.93337e-13-0j 3.64341e-15-0j -1.62845e-07-0j 2.17821e-11-0j -4.89206e-16-0j -7.14517e-11-0j 5.25881e-15-0j -6.63887e-09-0j 4.70128e-13-0j -9.68841e-13-0j -2.0278e-10-0j 6.4407e-15-0j -1.89166e-11-0j 3.52208e-10-0j -7.91028e-15-0j 3.00414e-16-0j 9.5086e-12-0j 3.30512e-05-0j 4.12016e-10-0j -7.28727e-05-0j -2.91767e-14-0j 6.01274e-14-0j -6.51927e-17-0j -3.74126e-05-0j 1.7665e-08-0j 1.67377e-08-0j -0.00605451-0j -1.58309e-12-0j 2.90304e-17-0j -8.84548e-13-0j -1.03708e-07-0j 0.368929-0j 7.34403e-12-0j 1.24559e-13-0j 4.08268e-10-0j 1.70177e-11-0j -5.40516e-16-0j -1.29674e-14-0j 2.50912e-13-0j -1.69841e-08-0j -2.77555e-06-0j -0.00035529-0j 6.72819e-10-0j -0.000774313-0j -3.36903e-14-0j 3.16227e-07-0j -3.09136e-09-0j 9.81876e-14-0j 0.00659846-0j 3.6216e-13-0j 4.74415e-15-0j -5.42043e-11-0j -1.52064e-07-0j 2.44951e-07-0j 2.034e-11-0j -4.56819e-16-0j 2.21613e-15-0j -6.67215e-11-0j 4.91066e-15-0j 2.05855e-12-0j -6.2636e-09-0j -2.63314e-06-0j 4.43553e-13-0j -9.14077e-13-0j 
-6.97943e-05-0j -0.0263506-0j -0.00328586-0j 4.33844e-06-0j -8.16571e-10-0j 2.49015e-14-0j 0.081572-0j 0.0536965-0j -4.6624e-05-0j 5.35812e-09-0j -5.38516e-05-0j -1.74041e-06-0j 1.34796e-10-0j 3.34547e-10-0j -0.000153499-0j -2.677e-05-0j 1.07273e-08-0j -5.07307e-13-0j -2.17805e-06-0j -3.30619e-08-0j 6.29702e-12-0j 3.54352e-10-0j 2.21345e-12-0j -2.26481e-05-0j -1.58601e-06-0j 2.98507e-10-0j -8.91936e-08-0j -5.57146e-10-0j 1.39448e-11-0j 1.66165e-13-0j -2.05108e-06-0j -6.62881e-08-0j 5.13406e-12-0j -2.53315e-09-0j 2.39838e-13-0j -1.25783e-07-0j -1.90933e-09-0j -4.41859e-11-0j -5.38698e-09-0j -3.36497e-11-0j 1.73708e-07-0j -1.07185e-06-0j 8.30159e-11-0j -6.31921e-12-0j 3.37105e-10-0j -0.00885057-0j 7.80621e-09-0j -0.000547499-0j 1.18495e-10-0j 2.74223e-12-0j 1.33308e-12-0j -0.000138477-0j -3.83404e-05-0j -2.41501e-05-0j 0.0053545-0j 9.6775e-09-0j -4.57659e-13-0j 7.21617e-09-0j -1.96489e-06-0j -0.0326456-0j -2.98262e-08-0j 5.68076e-12-0j 1.08459e-08-0j 4.52086e-10-0j 2.82395e-12-0j 6.77487e-11-0j 8.89547e-12-0j 4.41081e-05-0j -2.08529e-05-0j -0.000413456-0j -1.4603e-06-0j 0.328316-0j 2.74847e-10-0j -0.000272166-0j -8.21238e-08-0j -5.12985e-10-0j 7.72608e-06-0j 1.28395e-11-0j 2.16367e-13-0j 2.36318e-07-0j -1.91529e-06-0j -0.000709944-0j -6.18997e-08-0j 4.79417e-12-0j -2.71581e-11-0j -2.36545e-09-0j 2.23961e-13-0j -1.79887e-08-0j -1.18673e-07-0j -3.31651e-05-0j -1.8014e-09-0j -4.16883e-11-0j 
-2.61627e-08-0j -6.77236e-05-0j -0.0230252-0j -0.00344663-0j 3.29863e-06-0j -2.82763e-10-0j 0.000331447-0j 0.119157-0j 0.0371617-0j -2.16389e-05-0j -0.000186188-0j -4.08856e-05-0j -3.7867e-07-0j 5.87995e-09-0j 9.4309e-06-0j -0.000185919-0j -1.43086e-05-0j 2.87112e-09-0j -1.52211e-05-0j -1.16725e-06-0j 1.551e-10-0j 4.14412e-09-0j 1.09513e-10-0j -2.50199e-05-0j -2.22641e-05-0j -5.98383e-07-0j -1.04311e-06-0j -2.75655e-08-0j 2.45092e-10-0j 4.09274e-12-0j -7.09147e-06-0j -1.55724e-06-0j -1.44226e-08-0j -4.45223e-08-0j 5.90737e-12-0j -8.79019e-07-0j -6.7409e-08-0j -1.08833e-09-0j -6.30003e-08-0j -1.66486e-09-0j -0.000466793-0j -2.51799e-05-0j -2.33208e-07-0j 5.37626e-08-0j 5.9249e-09-0j 0.00410159-0j 5.4553e-08-0j -0.000604836-0j 4.18348e-09-0j 6.75428e-11-0j -1.08017e-08-0j 8.50794e-06-0j -0.000538216-0j -0.000167724-0j 6.76926e-06-0j -1.29083e-05-0j 2.59014e-09-0j -1.44654e-05-0j -1.37315e-05-0j -4.17688e-05-0j -1.05302e-06-0j 1.39921e-10-0j 1.26842e-07-0j 5.28711e-09-0j 1.39718e-10-0j 3.35195e-09-0j 1.56345e-10-0j -0.0111964-0j -2.30367e-05-0j -1.67997e-06-0j -2.04994e-05-0j -0.0405191-0j -5.50954e-07-0j -0.000603961-0j -9.60432e-07-0j -2.53805e-08-0j 1.92297e-09-0j 2.25665e-10-0j 5.32924e-12-0j -0.000188358-0j -6.622e-06-0j 0.279954-0j -1.45414e-06-0j -1.34678e-08-0j 1.09679e-07-0j -4.15748e-08-0j 5.51629e-12-0j 4.3423e-05-0j -8.29332e-07-0j -0.000114666-0j -6.35986e-08-0j -1.02681e-09-0j 
-2.61028e-12-0j -2.14237e-08-0j -4.9785e-05-0j -0.0189661-0j -0.0031236-0j 1.35447e-06-0j 1.1698e-07-0j 0.000399634-0j 0.150637-0j 0.020412-0j 9.02298e-06-0j -0.000253478-0j -1.59037e-05-0j 4.8847e-08-0j 6.73799e-09-0j 1.35345e-05-0j -0.000178716-0j -4.52437e-06-0j -2.03875e-05-0j -1.45663e-05-0j 2.15244e-09-0j 1.71033e-08-0j 2.283e-09-0j -5.58607e-08-0j -4.47964e-05-0j -1.50439e-05-0j -4.30507e-06-0j -5.74652e-07-0j 2.03607e-09-0j 5.67982e-11-0j 3.43663e-07-0j -9.65435e-06-0j -6.05734e-07-0j -3.69863e-07-0j 8.19811e-11-0j -1.17738e-06-0j -8.41205e-07-0j -1.51035e-08-0j -2.60011e-07-0j -3.4707e-08-0j 0.218756-0j -0.000156107-0j -9.7945e-06-0j -0.000171188-0j 4.92204e-08-0j 4.38094e-06-0j 7.30695e-08-0j -1.35039e-06-0j 5.22061e-08-0j 9.37344e-10-0j 3.09731e-05-0j 6.07857e-09-0j -0.00108292-0j 1.22099e-05-0j 1.42315e-09-0j -0.000161226-0j -4.08159e-06-0j -0.000363675-0j -1.83923e-05-0j -8.79605e-09-0j -1.31408e-05-0j 1.94179e-09-0j 5.23494e-07-0j 2.18206e-08-0j 2.91268e-09-0j 6.98775e-08-0j 1.29882e-09-0j 0.00283848-0j -5.1433e-08-0j -5.92924e-10-0j -4.12457e-05-0j -4.34868e-05-0j -1.38515e-05-0j -2.02558e-06-0j -3.96383e-06-0j -5.29104e-07-0j 1.43699e-13-0j 1.87469e-09-0j 7.3958e-11-0j -0.000763519-0j 3.20912e-07-0j -0.0410584-0j -9.01521e-06-0j -5.65633e-07-0j -0.00010346-0j -3.45378e-07-0j 7.65538e-11-0j -0.0133448-0j -1.11083e-06-0j 5.55691e-06-0j -7.93655e-07-0j -1.42498e-08-0j 
