-0.0072966-0j -0.00105317-0j -0.00600051-0j -0.00106075-0j -8.83958e-05-0j 0.708531-0j 0.715873-0j -0.000610503-0j -0.000373855-0j -0.00061683-0j -7.63129e-05-0j -0.00037773-0j -7.71037e-05-0j -4.49678e-06-0j -4.54338e-06-0j -0.0026667-0j -0.00329987-0j -0.00192493-0j 0.0832392-0j -0.000351369-0j 0.103003-0j -5.07157e-05-0j 0.0600852-0j -4.39211e-05-0j -0.000434797-0j -6.27575e-05-0j -0.000253631-0j -5.17615e-06-0j -5.43496e-05-0j -3.66085e-05-0j -2.36258e-07-0j -3.17039e-05-0j -6.40516e-06-0j -3.73634e-06-0j -2.92354e-07-0j -1.7054e-07-0j -0.0021016-0j -0.00245187-0j -0.00150146-0j -0.000332292-0j -0.00214538-0j -0.000884925-0j 0.0508135-0j -0.000387674-0j -0.000175133-0j 0.0073343-0j -0.000237401-0j -0.000339215-0j -4.37833e-05-0j 0.0592824-0j -0.000139919-0j -0.000204322-0j -1.54797e-05-0j 0.0363029-0j -3.64861e-06-0j 0.00855668-0j -0.000125121-0j -3.86994e-06-0j 0.00523988-0j 0.0518721-0j -0.000178782-0j -5.10805e-05-0j 0.0074871-0j 0.0213962-0j -3.22495e-07-0j -3.12803e-05-0j -1.80597e-05-0j -7.37438e-05-0j -4.25671e-06-0j 0.00308827-0j -1.20187e-08-0j -1.10593e-05-0j -4.46955e-05-0j -4.51492e-06-0j -2.60669e-06-0j -1.58022e-05-0j -2.76482e-06-0j -1.84359e-05-0j -3.76244e-07-0j -3.72462e-06-0j -3.95056e-06-0j -2.30401e-07-0j -6.51809e-06-0j -1.53633e-06-0j -1.40218e-08-0j -3.29213e-07-0j -8.58655e-09-0j -1.62952e-06-0j -1.22691e-08-0j -1.35794e-07-0j -5.06073e-09-0j 
0.0012161-0j -0.0167283-0j -0.144376-0j -0.00833591-0j -0.00211344-0j 0.000610503-0j 0.00061683-0j 0.692605-0j 6.23092e-05-0j 0.699783-0j -0.00121213-0j 6.29549e-05-0j -0.00122469-0j -0.0001436-0j -0.000145088-0j 0.00044445-0j 0.000549979-0j 0.000320821-0j -0.00338181-0j -0.00845414-0j -0.00418477-0j 0.116292-0j -0.00244112-0j -0.000345154-0j -0.0104615-0j 0.143904-0j -0.00610252-0j -0.000123756-0j -0.000427106-0j 0.0839443-0j -9.44067e-06-0j -0.000249145-0j -0.00015314-0j -8.93317e-05-0j -1.16822e-05-0j -6.81464e-06-0j 0.000350267-0j 0.000408644-0j 0.000250243-0j -0.00261132-0j 0.000357564-0j 0.000147488-0j 4.37833e-05-0j -0.00304654-0j -0.00845681-0j -0.000602269-0j -0.00186562-0j -0.00266572-0j 0.0496714-0j 5.10805e-05-0j -0.00109955-0j -0.00986628-0j 2.57996e-06-0j 3.12803e-05-0j 0.0125934-0j -0.000702647-0j -0.00604184-0j -6.14688e-05-0j -0.000430282-0j 4.46955e-05-0j -0.008633-0j 0.05795-0j -0.000614816-0j 1.84359e-05-0j -1.02986e-05-0j 0.035487-0j 3.00995e-06-0j -0.00356093-0j 0.0146923-0j -0.000253599-0j -5.76708e-07-0j 1.84321e-06-0j 0.0507062-0j -7.17136e-05-0j 0.00899718-0j 2.63371e-06-0j -4.39154e-05-0j 0.0209152-0j -1.2015e-05-0j 0.0128558-0j -6.27494e-05-0j -7.35764e-06-0j 1.08635e-06-0j 0.00530274-0j -6.72826e-07-0j -1.05131e-05-0j -4.1202e-07-0j -2.58828e-05-0j -5.88723e-07-0j -4.33643e-06-0j -2.42836e-07-0j 
-0.14314-0j 0.000107489-0j 0.000612424-0j -0.0208091-0j 9.02186e-06-0j 0.000373855-0j 0.00037773-0j 6.23092e-05-0j 0.697487-0j 6.29549e-05-0j -0.00149706-0j 0.704715-0j -0.00151257-0j 4.58951e-07-0j 4.63707e-07-0j 0.000272169-0j 0.000336792-0j 0.000196462-0j 4.39211e-05-0j -0.00689293-0j 5.43496e-05-0j 5.17615e-06-0j 3.17039e-05-0j 0.0819418-0j -0.00852956-0j 6.40516e-06-0j -0.00497558-0j -0.000101542-0j 0.101398-0j 3.73634e-06-0j 2.4113e-08-0j 0.0591487-0j -0.000125652-0j -7.32972e-05-0j 2.98383e-08-0j 1.74057e-08-0j 0.000214494-0j 0.000250243-0j 0.000153242-0j 3.39144e-05-0j 0.000218962-0j 9.03173e-05-0j -0.00515348-0j 3.95668e-05-0j 1.78745e-05-0j 3.86994e-06-0j 2.42296e-05-0j 3.4621e-05-0j -0.000858914-0j -0.00601239-0j 1.42804e-05-0j 2.08535e-05-0j 0.0875524-0j -0.00368182-0j 3.72385e-07-0j 4.51492e-06-0j 1.27701e-05-0j 0.00721999-0j 2.76482e-06-0j -0.00526085-0j 1.82469e-05-0j -0.00100207-0j 3.95056e-06-0j -0.00216999-0j -6.3265e-06-0j -0.000613637-0j 0.102144-0j 7.52644e-06-0j 4.34449e-07-0j 1.62952e-06-0j 1.22665e-09-0j 0.0625505-0j -0.000876808-0j 0.00842332-0j 2.66044e-07-0j 0.0893764-0j 0.00515821-0j -0.000361665-0j -7.38091e-06-0j 3.80143e-07-0j 0.0073704-0j -4.51987e-06-0j 0.0368659-0j 1.56801e-07-0j 1.43109e-09-0j -6.4583e-06-0j 8.76361e-10-0j 0.00304014-0j 1.25221e-09-0j -2.66391e-06-0j 5.16508e-10-0j 
0.0145332-0j -0.0975379-0j -0.000125011-0j -0.201352-0j -0.0250883-0j -7.63129e-05-0j -7.71037e-05-0j 0.00121213-0j 0.00149706-0j 0.00122469-0j 0.675698-0j 0.00151257-0j 0.6827-0j -0.00257048-0j -0.00259712-0j -5.55563e-05-0j -6.87474e-05-0j -4.01026e-05-0j 0.000854417-0j 0.000699847-0j 0.00105729-0j -0.00469695-0j 0.000616751-0j -0.0167614-0j 0.000866016-0j -0.00581218-0j 0.000505176-0j 0.140452-0j -0.0207412-0j -0.00339044-0j -0.000225872-0j -0.012099-0j 0.1738-0j 0.101383-0j -0.000279502-0j -0.000163043-0j -4.37833e-05-0j -5.10805e-05-0j -3.12803e-05-0j 0.000659752-0j -4.46955e-05-0j -1.84359e-05-0j 0.000523239-0j 0.000769711-0j -3.64861e-06-0j -0.00351166-0j 0.00047135-0j 0.000673497-0j -0.00831095-0j 0.000610445-0j 0.000277803-0j -4.25671e-06-0j 9.31414e-05-0j 0.00037382-0j -0.00103554-0j -0.00409694-0j -2.60669e-06-0j 0.0688896-0j -0.00250885-0j 0.000534139-0j -3.72462e-06-0j -0.00969611-0j -0.00358482-0j 0.000220321-0j 0.0176244-0j -0.00593763-0j 0.000108665-0j -1.53633e-06-0j -0.00120813-0j -0.00147866-0j -1.72715e-05-0j 6.65434e-05-0j -0.0084841-0j 0.0803712-0j -0.000739824-0j 9.50818e-05-0j 0.0492171-0j -0.00349951-0j 0.0205619-0j -0.00105711-0j 0.0703248-0j 0.0125915-0j 3.92192e-05-0j -0.000436036-0j -2.01501e-05-0j 0.0179916-0j -1.23394e-05-0j 0.0290075-0j -1.76314e-05-0j 0.00742117-0j -7.27256e-06-0j 
8.95742e-06-0j 0.0354745-0j 7.36632e-06-0j -0.000249506-0j -0.281757-0j 4.49678e-06-0j 4.54338e-06-0j -0.0001436-0j 4.58951e-07-0j -0.000145088-0j 0.00257048-0j 4.63707e-07-0j 0.00259712-0j 0.653948-0j 0.660724-0j 3.27368e-06-0j 4.05098e-06-0j 2.36307e-06-0j -0.000101222-0j 4.31346e-07-0j -0.000125256-0j 0.00170828-0j -7.30661e-05-0j -1.0331e-05-0j 5.33763e-07-0j 0.00211388-0j 3.11362e-07-0j -0.0164987-0j -1.27839e-05-0j 0.0012331-0j 0.1794-0j -7.45728e-06-0j -0.0204161-0j -0.0119094-0j 0.221996-0j 0.129498-0j 2.57996e-06-0j 3.00995e-06-0j 1.84321e-06-0j -7.81605e-05-0j 2.63371e-06-0j 1.08635e-06-0j 3.22495e-07-0j -9.11873e-05-0j 2.14996e-07-0j 0.00127719-0j -5.58406e-05-0j -7.97888e-05-0j -1.02986e-05-0j 3.76244e-07-0j -3.29112e-05-0j 2.50829e-07-0j 1.90032e-08-0j 2.30401e-07-0j -0.0116297-0j 0.00149005-0j 1.53601e-07-0j 0.000130353-0j 0.000912468-0j 3.29213e-07-0j 2.19476e-07-0j -1.2015e-05-0j 0.0013038-0j 1.35794e-07-0j 0.046899-0j -7.35764e-06-0j 2.21704e-08-0j 9.0529e-08-0j -0.013568-0j 0.000537789-0j 0.027768-0j 1.35765e-08-0j -1.05131e-05-0j 0.000152078-0j -0.00830869-0j 1.93991e-08-0j 9.31284e-05-0j -4.33643e-06-0j 0.0547155-0j -0.011872-0j 0.000133068-0j 0.0335063-0j 8.00171e-09-0j -0.00489696-0j 0.032396-0j 0.0478761-0j 0.0198384-0j 5.48878e-05-0j 0.0283465-0j 0.0197479-0j 0.0116923-0j 
0.00657323-0j 0.000948764-0j 9.36571e-05-0j 1.65564e-05-0j 1.3797e-06-0j 0.00329987-0j -0.00321854-0j 0.000549979-0j 0.000336792-0j -0.000536423-0j 6.87474e-05-0j -0.000328491-0j -6.70529e-05-0j 4.05098e-06-0j -3.95113e-06-0j -0.583285-0j -0.0125054-0j 0.82019-0j 0.000387674-0j 0.000316535-0j 8.31159e-06-0j 4.56878e-05-0j -0.000545131-0j 3.95668e-05-0j 6.78639e-06-0j 9.79531e-07-0j -0.000445097-0j 4.66299e-06-0j 8.48298e-07-0j -6.42443e-05-0j 2.12836e-07-0j -5.56372e-05-0j 9.99729e-08-0j -6.5569e-06-0j 4.56312e-09-0j -2.9928e-07-0j 0.00189325-0j 3.82692e-05-0j 0.0013526-0j -0.0726819-0j -0.00186572-0j -0.00233634-0j 0.000236656-0j -0.00146915-0j 0.000157771-0j 3.41584e-05-0j -0.0519264-0j 0.0716251-0j 3.94427e-05-0j 4.78365e-06-0j 0.089692-0j 3.1891e-06-0j 1.39451e-05-0j 0.000169075-0j 3.28689e-06-0j 6.9046e-07-0j 0.000112717-0j 3.48628e-06-0j 2.44039e-05-0j -0.000233215-0j -0.000155477-0j 7.97275e-07-0j -3.36617e-05-0j -0.000292042-0j 2.90523e-07-0j 2.81792e-05-0j 2.81879e-07-0j -0.000194695-0j 6.64396e-08-0j -4.21526e-05-0j 1.08272e-08-0j 9.96286e-06-0j -3.88692e-05-0j 7.04698e-08-0j 2.34827e-06-0j -1.37423e-05-0j 2.49072e-06-0j -4.86737e-05-0j 5.87248e-09-0j -3.2391e-06-0j -3.43558e-06-0j 2.0756e-07-0j -1.72087e-05-0j -4.05614e-06-0j 2.18855e-10-0j -2.86299e-07-0j 7.73529e-09-0j -4.30219e-06-0j -1.06697e-08-0j -3.58516e-07-0j -1.33611e-08-0j 
-0.00106075-0j 0.0145913-0j -1.51138e-05-0j 0.000125977-0j 3.19395e-05-0j 0.103003-0j -0.100464-0j 0.00418477-0j -5.43496e-05-0j -0.00408163-0j 0.00105729-0j 5.301e-05-0j -0.00103123-0j 0.000125256-0j -0.000122169-0j -0.000387674-0j -8.31159e-06-0j 0.000545131-0j -0.570574-0j -5.10805e-05-0j -0.0122329-0j 0.000702647-0j 0.802316-0j 0.000301063-0j -1.09515e-06-0j 1.50645e-05-0j 7.18273e-05-0j 0.000107947-0j 6.45467e-06-0j -0.000988032-0j 8.23468e-06-0j -0.000423341-0j 2.31434e-06-0j -0.00015179-0j 1.76549e-07-0j -1.15792e-05-0j -0.000305522-0j -6.17566e-06-0j -0.000218275-0j 0.00227774-0j 0.00030108-0j 0.000377025-0j 0.00738706-0j 4.6041e-05-0j -2.54602e-05-0j -0.101614-0j 0.00162729-0j -0.00224462-0j 0.000300118-0j 0.000149318-0j -0.00281081-0j -5.14639e-07-0j -2.25038e-06-0j 0.00527757-0j 7.60904e-05-0j -0.00205397-0j -1.81896e-05-0j 5.36165e-05-0j -0.0725965-0j -0.00727965-0j 2.509e-05-0j 6.06644e-06-0j 0.100136-0j -0.00911589-0j 8.98297e-06-0j 0.000214415-0j -4.54881e-08-0j 3.14187e-05-0j 1.53805e-06-0j 0.125395-0j 5.03037e-07-0j -1.60775e-06-0j -0.000295754-0j 1.08378e-06-0j 5.43616e-05-0j 2.21766e-06-0j 3.83055e-05-0j -0.000370356-0j 1.81577e-07-0j -7.4984e-05-0j -5.28369e-05-0j 6.41774e-06-0j 2.77705e-06-0j -9.38982e-05-0j 1.01681e-08-0j -8.85235e-06-0j 3.59387e-07-0j -6.61646e-05-0j -4.95722e-07-0j -1.10853e-05-0j -6.20765e-07-0j 
0.0828034-0j -0.000125011-0j 0.0017815-0j 0.000208562-0j -1.81791e-07-0j -0.000434797-0j 0.00042408-0j 0.0104615-0j 0.00852956-0j -0.0102036-0j 0.000866016-0j -0.00831933-0j -0.00084467-0j -5.33763e-07-0j 5.20607e-07-0j -0.000316535-0j -6.78639e-06-0j 0.000445097-0j -5.10805e-05-0j -0.575637-0j -1.09515e-06-0j 0.000869054-0j 7.18273e-05-0j 0.00100207-0j -0.0123414-0j 1.86322e-05-0j 0.809436-0j 5.87401e-05-0j 2.14839e-05-0j -0.00122203-0j -2.80436e-08-0j -0.00140906-0j 1.25937e-06-0j -8.25978e-05-0j -6.01244e-10-0j 3.94336e-08-0j -0.000249458-0j -5.04241e-06-0j -0.000178221-0j -3.94427e-05-0j 0.00024583-0j 0.000307839-0j 0.00298118-0j -7.97275e-07-0j 0.00602289-0j -4.50076e-06-0j -2.81792e-05-0j 3.88692e-05-0j -0.0717289-0j 6.026e-05-0j 4.86737e-05-0j 0.000121744-0j 0.000530677-0j 0.00212986-0j 6.25219e-05-0j -9.09761e-08-0j 0.00430296-0j 8.82931e-05-0j -3.2155e-06-0j -0.00293783-0j -0.00593531-0j -0.00144989-0j 4.43532e-06-0j -0.00367888-0j 3.65974e-06-0j -0.0512456-0j 1.07268e-05-0j -0.00743245-0j 1.26378e-06-0j 5.5541e-06-0j -1.4266e-09-0j 0.000379134-0j 0.0706859-0j 1.78471e-06-0j 4.46678e-05-0j -0.000522961-0j 6.30797e-05-0j 0.088516-0j 7.39761e-08-0j -6.16128e-05-0j -8.70093e-05-0j 2.61464e-06-0j -0.000654875-0j -7.71542e-05-0j -2.88366e-11-0j -3.60653e-06-0j -1.01921e-09-0j -0.000108957-0j 1.40586e-09-0j -4.51625e-06-0j 1.76048e-09-0j 
0.000125011-0j 0.0802123-0j -0.000257138-0j -3.00079e-05-0j 0.000357464-0j 6.27575e-05-0j -6.12106e-05-0j 0.143904-0j 6.40516e-06-0j -0.140358-0j 0.00581218-0j -6.24729e-06-0j -0.00566892-0j 0.00211388-0j -0.00206178-0j 4.56878e-05-0j 9.79531e-07-0j -6.42443e-05-0j -0.000702647-0j -0.000869054-0j -1.50645e-05-0j -0.557623-0j 0.000988032-0j -7.17136e-05-0j -1.86322e-05-0j -0.0119552-0j 0.00122203-0j 0.00120813-0j -1.53751e-06-0j 0.784106-0j 0.00018575-0j 0.000100841-0j 2.59018e-05-0j -0.00169882-0j 3.98242e-06-0j -0.000261194-0j 3.60061e-05-0j 7.27809e-07-0j 2.5724e-05-0j -0.000542561-0j -3.54826e-05-0j -4.44328e-05-0j 4.50076e-06-0j -1.0967e-05-0j -0.000869329-0j 0.00288789-0j -0.000387624-0j 0.000534672-0j 0.0103204-0j 9.09761e-08-0j 0.000669539-0j -1.75722e-05-0j 2.6521e-07-0j 3.2155e-06-0j -0.122939-0j 5.83743e-05-0j -0.000621079-0j 0.000294744-0j 0.00206321-0j -4.43532e-06-0j 0.000856689-0j 0.00020861-0j -0.0028459-0j -5.5541e-06-0j 0.000151601-0j 0.00737322-0j 5.36082e-09-0j 0.00107278-0j -0.00248503-0j -0.00356375-0j 1.42036e-05-0j 1.89475e-07-0j -0.0101703-0j 5.9578e-06-0j -0.0878322-0j -2.61354e-07-0j 0.000210575-0j -0.0127357-0j 3.06438e-06-0j 0.121152-0j -0.000290458-0j 0.000108309-0j -3.27278e-07-0j 0.151712-0j 2.87104e-07-0j -0.000149397-0j 1.01475e-05-0j -0.000363724-0j -1.39971e-05-0j -0.000187081-0j -1.75277e-05-0j 
-0.0208091-0j -0.00148922-0j 1.54255e-06-0j 0.00247134-0j -3.25982e-06-0j 5.43496e-05-0j -5.301e-05-0j -0.000427106-0j 0.101398-0j 0.000416579-0j 0.0207412-0j -0.0988986-0j -0.02023-0j -1.27839e-05-0j 1.24688e-05-0j 3.95668e-05-0j 8.48298e-07-0j -5.56372e-05-0j -0.000301063-0j -0.00100207-0j -6.45467e-06-0j -7.17136e-05-0j 0.000423341-0j -0.56168-0j -2.14839e-05-0j -1.53751e-06-0j 0.00140906-0j 0.00211763-0j -0.0120422-0j 0.000100841-0j -8.40448e-07-0j 0.789811-0j 4.54012e-05-0j -0.00297772-0j -1.80189e-08-0j 1.1818e-06-0j 3.11822e-05-0j 6.30301e-07-0j 2.22776e-05-0j -0.000232471-0j -3.07288e-05-0j -3.84799e-05-0j -0.000749192-0j -4.69904e-06-0j 2.59852e-06-0j -5.36165e-05-0j -0.000166085-0j 0.00022909-0j 0.00588753-0j -1.51438e-05-0j 0.000286877-0j 5.25251e-08-0j 0.012728-0j -0.000535249-0j -7.76594e-06-0j -1.08378e-06-0j 1.85647e-06-0j -0.10003-0j -3.83055e-05-0j 0.000738299-0j -2.56073e-06-0j 0.000119007-0j 5.28369e-05-0j 0.000924529-0j 0.000176222-0j 0.00420625-0j 0.000257277-0j -3.20666e-06-0j -1.56977e-07-0j 6.61646e-05-0j -5.1341e-08-0j 0.00909333-0j -0.00580192-0j -0.00202196-0j -5.54826e-06-0j -0.0125429-0j -0.071465-0j -0.00726542-0j 3.56206e-06-0j 7.65302e-06-0j 0.0985757-0j 0.000125899-0j -0.0157068-0j 9.58345e-06-0j -1.03778e-09-0j -0.00017366-0j -3.66798e-08-0j 0.123441-0j 5.05945e-08-0j -0.000217464-0j 6.33566e-08-0j 
0.00121981-0j -0.0250883-0j -1.81791e-07-0j -0.000440747-0j 0.00168324-0j -6.40516e-06-0j 6.24729e-06-0j 0.00015314-0j 0.000125652-0j -0.000149365-0j 0.1738-0j -0.000122555-0j -0.169516-0j 0.0204161-0j -0.0199129-0j -4.66299e-06-0j -9.99729e-08-0j 6.5569e-06-0j 0.000107947-0j 5.87401e-05-0j 2.31434e-06-0j -0.00120813-0j -0.00015179-0j -0.00211763-0j 1.25937e-06-0j -2.59018e-05-0j -8.25978e-05-0j -0.543885-0j -4.54012e-05-0j 0.00169882-0j 0.00271006-0j 0.00297772-0j -0.0116607-0j 0.764788-0j 5.81026e-05-0j -0.00381076-0j -3.67486e-06-0j -7.42817e-08-0j -2.62544e-06-0j 8.33528e-05-0j 3.62142e-06-0j 4.5349e-06-0j 4.39169e-05-0j 1.68485e-06-0j -3.06238e-07-0j -0.000903254-0j 5.95502e-05-0j -8.21409e-05-0j -0.00105-0j 8.87713e-07-0j -0.00010286-0j -6.19014e-09-0j 7.81762e-06-0j 3.13757e-05-0j 0.00401002-0j -1.82579e-05-0j -2.18787e-07-0j 0.0177195-0j -0.000645316-0j -4.32783e-05-0j 3.01785e-07-0j -2.12242e-05-0j 0.00089012-0j -5.4195e-05-0j -0.139983-0j -0.000750158-0j 1.58021e-07-0j 3.77909e-07-0j 8.10566e-05-0j 0.00111465-0j 0.000277176-0j 5.58518e-06-0j 0.00103473-0j 0.000358172-0j 0.0028649-0j -7.70395e-06-0j 0.0126594-0j 0.00129574-0j -0.00282954-0j -0.00395172-0j -0.0174618-0j -0.100008-0j -9.64721e-06-0j -0.00494851-0j 5.60269e-06-0j 0.137947-0j 0.000198024-0j -0.0218664-0j -0.000273146-0j 0.172744-0j -0.000342045-0j 
