0.0321648+0.0248811j 0.0275303-0.0358575j -0.00628272-0.00442351j 0.00239098-0.00714796j -0.00246907-0.0126517j -0.0191736-0.0162178j 0.0204772-0.03977j 0.00781618-0.00691778j -0.0564744-0.00804527j 0.027336+0.0405407j 0.00858879+0.0526518j -0.00943712-0.0163643j -0.0234455+0.000948687j -0.0157674+0.0130819j 0.0279879-0.0522061j 0.0540782-0.0262077j -0.090826-0.05308j -0.0398191+0.0771326j 
0.0125225+0.0501822j 0.0576078-0.0137023j -0.0243108-0.0415765j -0.00332178-0.0435306j -0.0232401-0.00127281j -0.0590218+0.0386104j -0.0202833-0.0128358j -0.0283848-0.0384043j 0.011301+0.00708517j 0.00729242-0.00402376j 0.0129867+0.0106708j -0.00404362-0.00195949j -0.00193573-0.000637528j -0.00326913+0.00227993j 0.00420752-0.0217941j 0.0213805-0.0145735j -0.0214131-0.0138634j -0.0108206+0.0147931j 
-0.0270174-0.0249554j -0.0208536+0.0248456j 0.00196084+0.00845114j 0.00171924+0.0031465j -0.00100115+0.00781467j 0.0224406+0.0159933j -0.0282875+0.0275041j 0.0028015-0.00242389j 0.0493844+0.00875058j -0.00991717-0.027407j -0.0159703-0.0321029j 0.0102721+0.0209018j 0.00836159+0.0216579j 0.00167661+0.00429884j -0.0134312+0.0445602j -0.0424873+0.018619j 0.0185815+0.00665449j 0.00458831-0.0142262j 
0.00462905-0.0168048j -0.0263998-0.0040067j 0.00948764+0.012116j 0.0053207+0.019912j -0.00470393+0.00727496j 0.00763896-0.00357658j 0.0010898-0.0132901j -0.00599805-0.0113143j -0.00433167-0.00982462j -0.0115045-0.00182568j 0.00608658-0.0123378j -0.000616446+0.00462827j -0.00124338+0.00104384j -0.00337592-0.00177305j -0.0145209-0.00081485j 0.0128441-0.0143508j 0.0475975+0.000856917j 0.00705187-0.0587964j 
-0.00668517+0.0327816j 0.0336684+0.00439205j 0.00417387+0.0150178j -0.0300404-0.0114361j 0.0212684-0.0316517j 0.0120151+0.000749967j -0.0190959+0.0159046j 0.0315908+0.0384331j -0.0105245+0.0284316j 0.0119301+0.0105727j 0.00442223-0.0053781j -0.00940317+0.00132879j -0.0087007+0.00475512j -0.0022139-0.00407481j -0.0112922-0.00982315j 0.00423942-0.0104429j 0.0134213-0.00114724j -0.000455931-0.0133027j 
0.0190797+0.0161997j 0.0199018-0.0155157j 0.0121358-0.0108102j 0.00235245+0.00130286j 0.00553142-0.0114416j -0.0102614-0.0133539j 0.0203109-0.0235869j -0.0086676+0.0170246j -0.0278321-0.00672206j -0.01885-0.0156706j 0.0260765-0.0110709j -0.0117824-0.0121318j 0.00167107-0.0332794j 0.0128233-0.0200936j -0.016358-0.0133292j -0.00541846-0.00710964j 0.0238688+0.00888381j -0.00444757-0.0164186j 
-0.0117587+0.00183224j 0.00723405+0.0106519j 0.00124097+0.0175151j -0.00485004-0.00298696j 0.00422186-0.00347404j 0.0124933+0.00710407j -0.00213848+0.00158115j 0.00041842-0.00860809j 0.00331333-0.0088608j 0.0128252+0.000326555j 0.0013655+0.00769705j 0.00367291+0.00021796j 0.00608031+0.0113396j 0.00114571+0.00812128j 0.00299362-0.00504578j 0.00639924-0.00521782j 0.00448592+0.00591667j 0.0122029-0.0149004j 
0.00515282-0.0103781j -0.016418-0.00261659j -0.0044861-0.0169716j 0.00157543-0.00138409j 0.0114615+0.00231612j -0.013236-0.00701459j 0.00383669+0.0147533j -0.00372343+0.00858497j 0.00675753-0.000586207j -0.00244298-0.000479637j -0.000278782+0.0117026j 0.00262454+0.0052387j 0.00294459+0.00683937j -0.00260037-0.00120421j 0.017685+0.00375835j -0.0143075+0.00732258j -0.00257468+0.00719229j -5.46281e-05+0.00448043j 
-0.0111192+8.04122e-05j -0.00264882+0.0092595j -0.00196052-0.00384669j 0.00810915+0.0138268j -0.0116936+0.00624839j 0.0169964+0.00358142j -0.00957686+0.00761092j 0.00464337+0.00857105j 0.0124094+0.00917626j -0.0152849-0.0213438j 0.0193446-0.0259723j -0.0034942-0.0152274j 0.00388862-0.00574929j 0.0197322-0.00485521j -0.0134771-0.0232089j 0.0246238+0.0167259j 0.00786857-0.00365647j -0.00172534-0.000868012j 
-0.00501865-0.00334005j -0.00381458-0.00147851j 0.0165974+0.0248579j -0.0215988-0.00411623j 0.0138598-0.0145069j -0.00632109+0.0034769j -0.00331119-0.0035921j -0.00921067-0.0190236j -0.0051955+0.000104756j -0.00179758+0.00231542j -0.00219768-0.00498592j -0.00395222-0.00213529j -0.00121012-0.00745782j 0.00331768-0.0101282j 0.00979474+0.00845771j -0.0186718+0.00874043j -7.58223e-05+0.00355248j -0.00161507+0.00155183j 
0.00257893-0.00529541j -0.00717051+0.000774152j 0.00205016-0.014238j 0.00579478+0.00122356j 0.0114598-0.00202078j -0.00430421-0.00841805j 0.00101925+0.00515858j 0.00595424+0.0148386j 0.0144577-0.00658142j -0.0242619-0.0144845j 0.00551246-0.0161989j -0.00405958+0.000522812j -0.000195968+0.00826315j 0.00495009-0.00823917j -0.00343085-0.00800077j 0.00609793+0.01178j -0.0137839-0.00152447j 0.000370114+0.019359j 
