-0.000361652+0.00586738j 0.0263231-0.00773919j -0.0427957+0.0057082j -0.0345322+0.00405708j -0.00583212-0.00308758j -0.0443048-0.00824453j -0.00165342+0.00858963j -0.0148497-0.0127533j 0.00620696+0.00769566j 0.004886-0.00657472j 0.00481023-0.0013486j 0.000231298-0.00182035j 0.00328648-0.00205505j 0.00112017+0.00110097j 0.00364918+0.00198896j -0.00235664-0.00467509j -0.00511839-0.0071565j -0.00178564+0.00378843j 
-0.0132682-0.0115329j 0.00205529+0.0115901j -0.00301217+0.000946608j -0.0170668-0.0130183j 0.0187376+0.020935j -0.00726631+0.00304585j -0.0178418-0.00478543j -0.0178118+0.0330095j -0.0216118-0.0101688j -0.00954317+0.0141198j -0.00929715+0.00226388j 0.0105856+0.00484521j -0.0277688-0.00895387j -0.00979747-0.00741552j -0.000638496-0.00898781j -0.00535014+0.0022932j 0.0178024+0.0315193j 0.0156872-0.0245501j 
-0.00534411+0.0132965j 0.0173576-0.0321713j -0.00231075-0.00417657j -0.0135165+0.0129869j 0.0332119-0.020409j 0.016426-0.0162806j -0.011454-0.0124861j 0.0353413+0.00944784j -0.00564998-0.000442035j 0.0117824-0.00914784j 0.0112788+0.00300959j -0.000440257+0.0114592j 0.0074952-0.0211272j 0.00725008-0.0144128j 0.00898877+0.004527j -0.00135137-0.00143366j -0.0137466+0.0169868j 0.0037605-0.00898558j 
-0.0087155-0.0106352j -0.00961381+0.000114427j 0.00198297+0.00881183j -0.011056-0.0165842j 0.00263792+0.020557j -0.0052295+0.0128722j -0.0283448-0.0161696j 0.014579-0.0123349j 0.0111277-0.0127847j -0.0100154-0.0282918j 0.0119407-0.00761002j 0.00521329+0.00319469j -0.00768726-0.00993885j -0.00818239-0.0101901j -0.00445695+0.015133j 0.00722833+0.0155562j 0.00503874-0.00493209j -0.0341994+0.0280569j 
0.0220924+0.000766442j -0.00884589-0.0026816j -0.0266081-0.00233457j 0.0126181-0.00854635j -0.0147755+0.00941148j -0.00133157-0.00665431j 0.00427282-0.0102434j 0.0211183+0.0429875j 0.000119573+0.0260086j 0.0118052-0.009134j 0.0147159+0.00715747j 0.0113206+0.00600485j 0.00850894+0.004801j -0.00976835-0.00869833j 0.00501634+0.0105874j 0.0118595-0.00743531j 0.0176818-0.0189924j -0.0156829-0.0142594j 
-0.000572617+0.00198029j -0.0017567-0.00145319j 0.0185697+0.0175207j -0.0172742+0.00123653j 0.00372297+0.0314458j 0.00777281-0.0182045j 0.0141987+0.0267262j -0.00456285-0.0118942j -0.000711435+0.0226827j -0.00599705-0.0190698j 0.000338925-0.0181344j 0.00544831+0.0203536j 0.00255788-0.0102111j 0.00335376-0.0185253j 0.0075138-5.59062e-05j 0.0107565-0.0327045j 0.00875627-0.00810998j 0.00576427-0.00356151j 
-0.0130323+0.00916691j 0.0216285+0.00316277j -0.0165392-0.00736444j -0.00553178-0.00682689j -0.0370739-0.0170265j 0.0369373+0.0219039j -0.0137546+0.0128662j -0.00807429+0.00548034j -0.0213262-0.00489577j 0.000338353-0.00571439j 0.00303-0.00114248j 0.012764+0.0165321j 0.0119316+0.000844497j -0.00327338-0.0173058j -0.00342473+0.00983781j 0.0153879-0.00647871j 0.0093971+0.00226898j 0.00235651-0.000550658j 
0.000808881-0.0121635j 0.0031349-0.00723035j -0.0130671+0.0371908j 0.00535641-0.0172783j -0.0193431+0.014561j 0.00739536-0.0149102j -0.0124345+0.0115772j 0.0282125-0.0198095j -0.00993568+0.00287893j 0.0126809+0.0135034j -0.000960817-0.00217395j -0.00639723-0.0232476j 0.000245664-0.0080065j 0.00130526+0.0258147j 0.00324589-0.0174636j -0.00702446+0.00173134j -0.005485+0.0136896j 0.00551521-0.0105345j 
0.00256232-0.0266052j 0.0043313+0.0268409j 0.0016517+0.00481019j 0.0113959-0.0117696j 0.0102137-0.027193j -0.0207306+0.0270526j 0.00551419+0.00692764j 0.0191164-0.00696641j 0.00121078-0.00199932j 0.00306523-0.000691095j -0.00401676-0.0214279j 0.00365035+0.0245147j 0.00850159+0.0026144j 0.00590318-0.0125697j 0.00390058-0.0139263j 0.00383296-0.0270847j -0.00113955+0.00481611j 0.0058081-0.0164223j 
0.00440957+0.00704226j 0.00653064+0.0175604j 0.00523803+0.00360361j 0.00618026+0.0238406j -0.0107418+0.00771136j -0.0115656-0.0231165j 0.00021904+0.0217277j 0.0100216+0.0130229j -0.00511833-0.0359222j -0.00798718+0.0102449j 0.00439568-0.0321875j -0.00454033+0.00316434j 0.00161781-0.00573612j 0.00332434-0.000249749j -0.00982698+0.00697644j 0.00160933-0.00460317j -0.0150759+0.0115371j -0.0181344+0.00532634j 
-0.00431341-0.0156381j -0.00527812-0.0067072j -0.00163038+0.000171908j -0.0251262+0.00702757j -0.0137927-0.00167466j 0.0213087-0.00903039j 0.000660225-0.0142467j -0.0038833+0.00383098j 0.00310339+0.00770012j 0.00905544+0.00827449j 0.0177722-0.0232477j 0.00422693-0.0184411j 0.0228738-0.0141105j -0.0175622+0.0268706j 0.011214-0.0158486j 0.0187512-0.0119513j 0.0156255-0.002694j -0.0151979-0.0196767j 
