-0.0184029+0.0549994j -0.0141658+0.0455203j -0.0750501-0.0523808j 0.0120238-0.0178856j -0.042196-0.0419807j 0.0270928+0.00595746j 0.0180913-0.116263j -0.0691317-0.0383854j -0.0288666-0.0138808j 0.00683381+0.0400889j 0.014355-0.016068j -0.0164845-0.0326605j 0.00801715+0.0378229j 0.0357386+0.00627984j 0.0120933-0.0170771j -0.00547159-0.00775828j 0.0387824+0.000865011j -0.0240879-0.00735172j -0.023562+0.00160082j 0.0146882-0.000958568j 0.0069903-0.00240497j -0.0305333-0.014332j -0.0148672+0.00102039j -0.00770815+0.00982242j 0.00446586-0.0402272j 0.00383212+0.0043185j 0.0289505-0.0123804j -0.0429037-0.00386084j 0.00453057-0.000517361j -0.0347947+0.00298042j -0.0168129+0.0156495j -0.0190008-0.00634913j -0.0167109+0.00496742j 0.0266642+0.0204536j 
0.00790386+0.00770577j 0.0477448-0.0601444j -0.0342956+0.00446899j 0.00831933+0.0154058j -0.0302326+0.0703893j 0.0853161-0.164146j -0.0375542-0.0515774j -0.0151724+0.0752175j -0.00232859+0.017808j 0.0318609+0.0215027j -2.34611e-05-0.0259365j -0.027925-0.0018691j 0.0441028-0.0143437j 0.00644769-0.0474264j -0.0357428-0.0137359j -0.00923101-0.0176697j -0.0100654-0.0353094j 0.00486034+0.00666466j 0.00578533+0.000911818j -0.00602309-0.019508j -0.00765695-0.00300162j -0.0105404+0.00259263j -0.0010214+0.0102258j 0.00620281-0.00307981j -0.0352494+0.0160845j -0.00561053-0.0205008j -0.00462864-0.0175856j -0.0197602+0.0234594j 0.00194329-0.00684623j -0.0429176+0.0212103j 0.027963-0.015427j 0.00351932+0.001177j 0.0343755+0.0195641j 0.0224371-0.000876965j 
-0.0111696+0.047296j 0.11775+0.0245801j -0.119655+0.215261j -0.0311594+0.0363848j -0.243778+0.0571097j -0.0862389-0.196936j -0.114723-0.227997j -0.0792549+0.121459j -0.031962+0.0185522j 0.0239646-0.00216978j 0.011338+0.0175905j -0.0190301+0.0188243j -0.0233362+0.0176303j -0.00372282-0.024211j -0.037089-0.0367726j -0.0100199+0.0369583j -0.0299566-0.01895j -0.0168547+0.0291443j -0.0129448+0.0142167j -0.0215928-0.00362411j 0.00970922-0.0172658j -0.0175695+0.0255549j 0.0176529-0.0281774j -0.00805773-0.0132778j 0.0179439+0.0273446j -0.0151752-0.0255033j 0.00654721-0.00652903j -0.00314972+0.0110352j -0.00888801-0.0012182j -0.0320145-0.0299597j 0.000612395+0.0238593j 0.020849+0.0266807j 0.0402189+0.0158866j 0.00225927-0.0366257j 
-0.164327-0.0687147j -0.0385371+0.0816112j -0.0054895-0.105106j -0.146987+0.134328j -0.0882363-0.189245j 0.0799424-0.0887617j 0.311352-0.0663783j -0.00380614-0.0639441j -0.0352232-0.0150381j -0.0125322+0.0560928j -0.0165849+0.0364899j -0.0406853-0.0346962j -0.0334608-0.025733j 0.0107275-0.00679875j 0.0217285-0.0691026j -0.0488916-0.0220433j 0.010527-0.0314735j 0.00626044-0.033989j -0.00661159-0.026148j -0.00810159-0.0143021j 0.0112138-0.00784382j -0.0150178-0.0172208j 0.00515242+0.0291597j 0.0109223-0.00920624j -0.0265975+0.00983209j 0.00176595-0.0069535j -0.00548194+0.018065j -0.00106474-0.0276267j 0.00456477+0.00959456j 0.0290101-0.0377393j -0.0335746-0.0173607j -0.0296816+0.00697629j -0.0122567+0.0359692j 0.0312339+0.0235415j 
-0.0819054+0.0782251j -0.0595796+0.00793913j 0.183584-0.0340443j -0.491995-0.0788609j -0.161569-0.00722336j -0.142195-0.0150637j 0.009876-0.147348j 0.113322-0.0222685j -0.0970731+0.0327411j -0.0202125+0.000830463j -0.00215068-0.00313843j -0.0594045-0.0136383j 0.00297462+0.0511592j -0.0538768+0.0446792j -0.0374583+0.0138647j -0.0416959+0.0144954j -0.0118511+0.0133865j 0.0138597-0.0126981j 0.025726-0.00670765j -0.0270114+0.00161482j 0.0392432-0.00392171j 0.0191735+0.00378681j -0.0268516-0.00158669j 0.0155801+0.00526923j 0.0231971-0.0332676j -0.0265495+0.00626713j 0.0130213-0.00882311j 0.0050409-0.0043804j -0.00299673+0.00230609j 0.0306382-0.0156373j 0.0261263+0.0586918j -0.0314683+0.0246996j -0.0139204+0.00378592j -0.00807435-0.01644j 
-0.076966+0.0831147j 0.0119974+0.146424j 0.0956812+0.12873j 0.187741+0.00840589j 0.0123959-0.0384438j -0.190233+0.541562j -0.0733029+0.123793j 0.0600079-0.0892828j 0.0156158+0.00250755j 0.0248268+0.00235248j 0.0132774+0.0541182j -0.0167101-0.0159868j 0.0101314+0.00572696j 0.0172982+0.0339414j -0.0161609-0.0233068j -0.0165754+0.0078839j 0.0215094-0.00663636j 0.0349836-0.00449085j 0.0146318+0.00548278j 0.00959215-0.0133405j -0.0269304+0.0224934j 0.0304793-0.0237516j -0.0114942+0.0314157j 0.0111427+0.00725444j -0.0197118-0.0239153j -0.00874837+0.0373837j -0.00625869+0.0129486j -0.000134998-0.00528568j 0.0274736+0.0099094j 0.0251255+0.0149436j -0.00399789-0.0206592j -0.0143136-0.00556465j -0.0249736+0.000864049j 0.00174821+0.0263846j 
-0.0266843-0.133138j 0.0747515-0.0760112j 0.155206+0.00631695j 0.245761+0.262296j 0.0457902+0.105149j 0.265337-0.186j 0.181385+0.198799j -0.0335986+0.0740915j -0.0554057-0.0168558j -0.00808372-0.0460939j 0.0336501-0.0205762j -0.0190305-0.0404478j -0.0306658-0.0421587j -0.0126238-0.00845825j -0.0124516+0.0383539j -0.0118295-0.0238002j 0.0135694+0.00126497j 6.99889e-06-0.0127517j 0.00387017+0.0110723j 0.0417501+0.0371552j -0.0301856-0.0303711j -0.00111762+0.0482278j -0.0148247-0.0527461j -0.00275843+0.0110524j -0.0319972+0.0208767j 0.0136361-0.020995j -0.0408672+0.0144388j 0.0143774-0.0194346j -0.0295465+0.00878811j 0.00666544+0.00297054j -0.0144538+0.00773553j 0.00344233-0.02487j -0.00745251-0.0212534j 0.00821131-0.0134448j 
0.0823696-0.0437836j -0.0637159-0.0861629j -0.110033+0.143259j -0.0755601-0.0920815j 0.0484264+0.00907378j -0.119137-0.187399j -0.15594+0.0548614j 0.0262443+0.0776129j -0.0113867-0.0227903j -0.0227918+0.0148459j -0.0264071-0.0222311j -0.013966-0.082963j 0.0248819-0.0240155j -0.00251979+0.0117366j -0.00129193+0.0417472j -0.0269657-0.0285205j -0.00480228+0.0409736j -0.0125987+0.0303573j 0.0114311+0.0138498j -0.00156905+0.00383738j 0.00705907+0.0201287j 0.0193649-0.00605975j -0.0296894-0.00649727j 0.010974+0.00260294j 0.0170919+0.0163001j -0.0269082-0.0204325j 0.00241879-0.00549762j 0.000139433+0.00789003j -0.00875322-0.0188178j 0.00785491+0.00970669j 0.0493359-0.0116442j -0.00473261-0.0173237j 0.00364052-0.0241408j -0.0227217+0.00429977j 
0.0688041+0.0952204j -0.132259+0.11013j -0.279594-0.0536458j 0.00321718-0.24348j 0.102229-0.183002j -0.209239+0.227179j -0.135619-0.0839903j -0.0556085-0.0844528j -0.0337646-0.0401941j 0.0594736-0.062768j -0.065902+0.0372857j 0.0251626-0.00592174j 0.0188322+0.0184191j -0.0227846+0.0356608j 0.0058537-0.0305238j 0.0245154+0.0200616j 0.0279221-0.0172413j 0.0127988+0.00897018j 0.0315787+0.00109935j 0.0311067-0.0262914j 0.00229095+0.0268318j 0.00222412-0.0222958j 0.018712-0.04598j 0.0022623-0.00214921j 0.00970556+0.0103207j 0.00723543-0.0284331j -0.00135112+0.0023746j 0.00178165+0.00525388j -0.00944705-0.0129753j -0.00801261-0.0149769j 0.00670888-0.0201546j 0.0055998+0.012142j -0.00722482+0.0160372j 0.000511741+0.00905162j 
-0.0515513-0.232465j -0.000996994+0.0440276j 0.00949605+0.404623j 0.204742+0.199438j -0.0361077-0.000412879j -0.161271-0.070426j -0.0164327+0.253882j 0.0198941+0.147932j 0.0222426-0.0155205j -0.0133335+0.00512996j 0.0345332+0.0387128j -0.0188354-0.0140383j -0.0427587-0.0526314j 0.0127507-0.0218856j -0.0201371+0.00761669j 0.000655491-0.0587218j 0.00394373+0.0274595j 0.00131828+0.0684996j 0.00252236+0.0315085j 0.0153172+0.00747156j -0.0214436-0.0122008j 0.035953+0.0414477j 0.00304236+0.0150041j -0.000174576+0.00540737j 0.0160039+0.020397j -0.0109451-0.00339523j -0.0102962+0.00917273j 0.0121923-0.00454596j -0.0118879+0.0130929j 0.00211398+0.00214401j 0.0059364+0.0132107j 0.00777162-0.0237793j -0.00612539-0.0172953j -0.0203894-0.0116285j 
-0.0876856+0.000141846j 0.0306197-0.0431248j 0.37487+0.0397659j -0.425801+0.0816482j -0.162291+0.149732j -0.0677618-0.147097j 0.0783646-0.0199602j 0.0769765+0.0546941j -0.0724957-0.0200592j -0.00321915+0.00973786j -0.00825657-0.0468539j 0.00478475+0.0392207j -0.0275653-0.0257819j 0.0277913+0.0298086j -0.0206582-0.0166584j 0.0396194-0.0432487j 0.0143086-0.000867699j 0.0453696+0.0163181j 0.0210493+0.000787279j -0.0166404+0.00817638j 0.022855-0.0228244j 0.00588823-0.00401816j 0.0201984+0.00197069j -0.00853316-0.00900845j 0.00407064-0.00396196j 0.0203664-0.00580952j 0.010065-0.0185772j 0.0123187+0.00234349j 0.0166626+0.00600933j 0.00869078+0.0220349j 0.0108198+0.0169724j -0.00856562+0.00135368j -0.0144129-0.00817795j -0.0164641-0.0162835j 
