0.802005-0j -0.00872582-0j 8.0965e-06-0j -1.90182e-09-0j 1.50823e-13-0j -4.08294e-18-0j 7.96912e-21-0j -0.00100704-0j 7.01036e-07-0j -1.24318e-10-0j 7.21847e-15-0j -1.3163e-19-0j 2.36066e-08-0j -3.74422e-12-0j 1.64819e-16-0j -6.51395e-21-0j -5.17308e-14-0j 1.86982e-18-0j -6.90693e-20-0j -8.70348e-05-0j 3.541e-08-0j -3.97135e-12-0j 1.42741e-16-0j 1.02225e-20-0j 1.33637e-09-0j -1.34401e-13-0j 3.42014e-18-0j -1.77178e-15-0j 3.06594e-20-0j 3.01869e-11-0j -1.87926e-15-0j 2.29945e-20-0j -2.59971e-17-0j 2.88647e-19-0j -5.83729e-06-0j 1.46392e-09-0j -1.04106e-13-0j 2.17253e-18-0j 4.40908e-11-0j -2.74484e-15-0j 3.35857e-20-0j -2.68497e-17-0j 1.11911e-12-0j -4.02745e-17-0j -3.61035e-19-0j 1.61612e-14-0j -2.79657e-19-0j -3.10796e-07-0j 4.9295e-11-0j -2.16998e-15-0j -4.38486e-20-0j 1.17965e-12-0j -4.2453e-17-0j -2.691e-19-0j 2.33266e-14-0j -4.0365e-19-0j 3.53492e-16-0j 2.50518e-18-0j -1.32999e-08-0j 1.33759e-12-0j -3.40382e-17-0j 2.49372e-14-0j -4.3152e-19-0j 3.65899e-16-0j 3.59312e-18-0j -4.58911e-10-0j 2.85692e-14-0j -3.49571e-19-0j 3.95216e-16-0j 3.75777e-18-0j 
0.00872582-0j 0.826347-0j -0.010265-0j 9.17136e-06-0j -1.81839e-09-0j 1.019e-13-0j -1.2729e-18-0j -0.00271585-0j -0.000743774-0j 5.60047e-07-0j -8.39362e-11-0j 3.08197e-15-0j 3.29337e-07-0j 1.12121e-08-0j -1.59577e-12-0j 3.51494e-17-0j -1.74019e-12-0j -1.09716e-14-0j 5.15287e-19-0j -0.000479533-0j -5.65912e-05-0j 2.38882e-08-0j -2.07597e-12-0j 3.51748e-17-0j 2.61627e-08-0j 5.17921e-10-0j -4.04881e-14-0j -7.45466e-14-0j -2.16886e-16-0j 7.89091e-10-0j 9.05774e-12-0j -3.26749e-16-0j -1.33743e-15-0j -8.81276e-18-0j -5.40624e-05-0j -3.28314e-06-0j 8.05862e-10-0j -3.8466e-14-0j 1.15254e-09-0j 1.32297e-11-0j -4.77248e-16-0j -1.38129e-15-0j 3.7646e-11-0j 2.37351e-13-0j -2.22947e-17-0j 6.79969e-13-0j 1.97831e-15-0j -4.33593e-06-0j -1.47614e-07-0j 2.10093e-11-0j -4.62763e-16-0j 3.96824e-11-0j 2.5019e-13-0j -1.66175e-17-0j 9.81451e-13-0j 2.85544e-15-0j 1.81855e-14-0j 1.54701e-16-0j -2.60378e-07-0j -5.15449e-09-0j 4.02948e-13-0j 1.04922e-12-0j 3.05259e-15-0j 1.88238e-14-0j 2.21883e-16-0j -1.1996e-08-0j -1.37699e-10-0j 4.96736e-15-0j 2.0332e-14-0j 2.32051e-16-0j 
8.0965e-06-0j 0.010265-0j 0.850734-0j -0.00999004-0j 7.51887e-06-0j -1.05278e-09-0j 2.63663e-14-0j 0.000170995-0j -0.00348179-0j -0.000508086-0j 3.23811e-07-0j -3.06934e-11-0j 1.56124e-06-0j 2.69608e-07-0j 4.07865e-09-0j -2.91203e-13-0j -2.92167e-11-0j -6.35424e-13-0j 1.85789e-17-0j -0.000348452-0j -0.000538886-0j -3.26149e-05-0j 1.06897e-08-0j -4.38072e-13-0j 2.08107e-07-0j 1.74671e-08-0j 1.3314e-10-0j -1.67058e-12-0j -1.57082e-14-0j 9.44607e-09-0j 4.07737e-10-0j 1.34368e-12-0j -3.85606e-14-0j -3.17749e-16-0j -0.00012599-0j -5.24584e-05-0j -1.54314e-06-0j 2.54834e-10-0j 1.37969e-08-0j 5.95538e-10-0j 1.96256e-12-0j -3.98252e-14-0j 6.32054e-10-0j 1.37463e-11-0j -8.03848e-16-0j 1.5238e-11-0j 1.4328e-13-0j -2.05546e-05-0j -3.54955e-06-0j -5.3698e-08-0j 3.83386e-12-0j 6.66244e-10-0j 1.44899e-11-0j -5.99153e-16-0j 2.19942e-11-0j 2.06808e-13-0j 5.24323e-13-0j 5.57781e-15-0j -2.07114e-06-0j -1.73837e-07-0j -1.32505e-09-0j 2.35127e-11-0j 2.21087e-13-0j 5.42726e-13-0j 8.00011e-15-0j -1.43602e-07-0j -6.19856e-09-0j -2.0427e-11-0j 5.86211e-13-0j 8.36671e-15-0j 
1.90182e-09-0j 9.17136e-06-0j 0.00999004-0j 0.875161-0j -0.00850498-0j 4.51163e-06-0j -2.82151e-10-0j 2.07203e-07-0j 0.000265102-0j -0.00374253-0j -0.000303619-0j 1.22564e-07-0j 1.20449e-06-0j 1.99664e-06-0j 1.53251e-07-0j 7.67857e-10-0j -2.41259e-10-0j -1.66123e-11-0j 4.31439e-16-0j -1.35207e-06-0j -0.000624527-0j -0.000486611-0j -1.50703e-05-0j 2.33409e-09-0j 5.06521e-07-0j 2.16667e-07-0j 7.0125e-09-0j -2.07413e-11-0j -5.47954e-13-0j 4.65692e-08-0j 7.60449e-09-0j 9.44303e-11-0j -6.71104e-13-0j -7.37875e-15-0j 6.38595e-06-0j -0.000191799-0j -3.85633e-05-0j -5.03604e-07-0j 6.80187e-08-0j 1.11071e-08-0j 1.37924e-10-0j -6.93113e-13-0j 5.21922e-09-0j 3.59379e-10-0j -1.86669e-14-0j 1.8919e-10-0j 4.99811e-12-0j -1.58578e-05-0j -2.6287e-05-0j -2.01765e-06-0j -1.01093e-08-0j 5.50154e-09-0j 3.78819e-10-0j -1.39135e-14-0j 2.73072e-10-0j 7.21415e-12-0j 9.12525e-12-0j 1.29528e-13-0j -5.04103e-06-0j -2.15633e-06-0j -6.97903e-08-0j 2.91926e-10-0j 7.71225e-12-0j 9.44554e-12-0j 1.85778e-13-0j -7.07961e-07-0j -1.15606e-07-0j -1.43556e-09-0j 1.02023e-11-0j 1.94291e-13-0j 
1.50823e-13-0j 1.81839e-09-0j 7.51887e-06-0j 0.00850498-0j 0.899623-0j -0.00605774-0j 1.43248e-06-0j 4.63493e-11-0j 2.69253e-07-0j 0.000321557-0j -0.00357543-0j -0.000135766-0j 2.8881e-09-0j 2.49281e-06-0j 1.8015e-06-0j 4.58092e-08-0j -7.00981e-10-0j -2.17199e-10-0j 6.35061e-15-0j -5.07335e-10-0j -1.99808e-06-0j -0.00091329-0j -0.000357962-0j -3.88386e-06-0j -2.1697e-08-0j 8.39979e-07-0j 1.37828e-07-0j -1.21556e-10-0j -1.0762e-11-0j 4.35749e-08-0j 5.94651e-08-0j 2.78802e-09-0j -6.57606e-12-0j -1.08612e-13-0j 4.86096e-09-0j 1.09623e-05-0j -0.000224743-0j -2.00005e-05-0j 6.36452e-08-0j 8.68544e-08-0j 4.07217e-09-0j -6.79173e-12-0j 1.51645e-08-0j 4.69874e-09-0j -2.7477e-13-0j 1.10876e-09-0j 9.81645e-11-0j -3.80236e-08-0j -3.28194e-05-0j -2.37178e-05-0j -6.03106e-07-0j 1.59848e-08-0j 4.95291e-09-0j -2.04801e-13-0j 1.60036e-09-0j 1.41688e-10-0j 8.94172e-11-0j 1.90659e-12-0j 2.15935e-07-0j -8.3597e-06-0j -1.3717e-06-0j 1.71085e-09-0j 1.51471e-10-0j 9.25556e-11-0j 2.73458e-12-0j -6.6244e-07-0j -9.04009e-07-0j -4.23845e-08-0j 9.99715e-11-0j 2.85989e-12-0j 
4.08294e-18-0j 1.019e-13-0j 1.05278e-09-0j 4.51163e-06-0j 0.00605774-0j 0.924117-0j -0.00272873-0j 2.77257e-15-0j 4.24827e-11-0j 2.2905e-07-0j 0.000326292-0j -0.00286391-0j 6.10156e-13-0j 4.12495e-09-0j 4.07593e-06-0j 9.57756e-07-0j 2.54773e-11-0j -1.12592e-09-0j 5.28794e-14-0j -4.256e-14-0j -5.27887e-10-0j -2.01705e-06-0j -0.00121839-0j -0.000164571-0j -9.25968e-12-0j -3.81781e-08-0j 9.53597e-07-0j -1.64775e-10-0j -1.12063e-10-0j 5.7659e-11-0j 1.00804e-07-0j 3.87476e-08-0j -2.72593e-11-0j -9.04377e-13-0j 6.13302e-13-0j 5.85053e-09-0j 1.36336e-05-0j -0.000208172-0j 8.42163e-11-0j 1.47234e-07-0j 5.65945e-08-0j -2.81533e-11-0j -5.51158e-10-0j 2.43573e-08-0j -2.28791e-12-0j 1.50298e-09-0j 1.02217e-09-0j -8.03308e-12-0j -5.43075e-08-0j -5.36622e-05-0j -1.26094e-05-0j -5.80972e-10-0j 2.56749e-08-0j -1.70531e-12-0j 2.16937e-09-0j 1.47538e-09-0j 3.70656e-10-0j 1.58756e-11-0j 9.21548e-11-0j 3.79958e-07-0j -9.49045e-06-0j 2.31915e-09-0j 1.57724e-09-0j 3.83665e-10-0j 2.27699e-11-0j -8.76551e-10-0j -1.53246e-06-0j -5.89054e-07-0j 4.14406e-10-0j 2.38134e-11-0j 
7.96912e-21-0j 1.2729e-18-0j 2.63663e-14-0j 2.82151e-10-0j 1.43248e-06-0j 0.00272873-0j 0.948636-0j 3.59513e-20-0j 1.13517e-15-0j 1.6122e-11-0j 1.03103e-07-0j 0.000234096-0j 1.90377e-17-0j 3.88022e-13-0j 2.94565e-09-0j 5.95707e-06-0j 4.01648e-15-0j 3.66102e-11-0j 1.64094e-13-0j -7.09982e-19-0j -1.97707e-14-0j -2.3731e-10-0j -1.17556e-06-0j -0.00154101-0j -4.34127e-16-0j -7.22458e-12-0j -3.87812e-08-0j -7.93191e-14-0j -4.1742e-10-0j 4.51854e-15-0j 5.82464e-11-0j 1.80517e-07-0j 7.38421e-13-0j -2.80643e-12-0j 1.36527e-17-0j 3.29248e-13-0j 3.22679e-09-0j 1.13028e-05-0j 6.59975e-15-0j 8.50744e-11-0j 2.63662e-07-0j 7.62638e-13-0j -8.68898e-14-0j -7.91999e-10-0j -7.09977e-12-0j 7.23502e-13-0j 3.80746e-09-0j -2.50644e-16-0j -5.10855e-12-0j -3.87812e-08-0j -7.84285e-05-0j -9.15898e-14-0j -8.34841e-10-0j -5.29186e-12-0j 1.04428e-12-0j 5.49559e-09-0j -1.00406e-11-0j 4.92645e-11-0j 4.32055e-15-0j 7.1901e-11-0j 3.85961e-07-0j 1.11639e-12-0j 5.87504e-09-0j -1.0393e-11-0j 7.06588e-11-0j -6.86924e-14-0j -8.85482e-10-0j -2.74428e-06-0j -1.12257e-11-0j 7.38968e-11-0j 
-0.00100704-0j 0.00271585-0j 0.000170995-0j -2.07203e-07-0j 4.63493e-11-0j -2.77257e-15-0j 3.59513e-20-0j 0.844649-0j -0.00652079-0j 4.10394e-06-0j -5.74367e-10-0j 2.03368e-14-0j -0.000889033-0j 3.97736e-07-0j -3.76188e-11-0j 6.89846e-16-0j 1.23963e-08-0j -8.77837e-13-0j -7.00163e-15-0j -0.00183814-0j 3.85791e-06-0j -1.22043e-09-0j 9.42493e-14-0j -1.49677e-18-0j -4.4116e-05-0j 1.06941e-08-0j -5.35492e-13-0j 4.0439e-10-0j -1.28442e-14-0j 9.27672e-09-0j -1.24085e-12-0j 2.78684e-17-0j 4.07036e-12-0j -1.7296e-16-0j -0.000315066-0j 2.80426e-07-0j -4.80676e-11-0j 1.96523e-15-0j -2.33503e-06-0j 3.12333e-10-0j -7.01473e-15-0j 8.4321e-12-0j 5.16711e-10-0j -3.65906e-14-0j 7.5406e-14-0j 1.0671e-11-0j -3.38932e-16-0j -3.38611e-05-0j 1.51488e-08-0j -1.43281e-12-0j 2.62746e-17-0j -9.38633e-08-0j 6.64687e-12-0j 1.12735e-13-0j 1.54022e-11-0j -4.89206e-16-0j 3.21158e-13-0j 3.03617e-15-0j -2.5477e-06-0j 6.17588e-10-0j -3.09247e-14-0j -2.83759e-09-0j 9.01274e-14-0j 3.3243e-13-0j 4.35471e-15-0j -1.41028e-07-0j 1.88638e-11-0j -4.23665e-16-0j -6.1879e-11-0j 4.55426e-15-0j 
-7.01036e-07-0j -0.000743774-0j 0.00348179-0j 0.000265102-0j -2.69253e-07-0j 4.24827e-11-0j -1.13517e-15-0j 0.00652079-0j 0.869285-0j -0.00709507-0j 3.76161e-06-0j -3.32537e-10-0j -0.00329062-0j -0.000573877-0j 2.29966e-07-0j -1.08753e-11-0j 2.34865e-07-0j 3.56515e-09-0j -3.19323e-13-0j 0.000162652-0j -0.00163579-0j 3.5372e-06-0j -8.65478e-10-0j 3.14846e-14-0j -0.000331447-0j -2.32107e-05-0j 4.36856e-09-0j 1.07429e-08-0j 6.71052e-11-0j 1.16843e-07-0j 3.77621e-09-0j -2.9247e-13-0j 1.44305e-10-0j -7.88821e-15-0j -0.000366647-0j -0.000241353-0j 2.09564e-07-0j -2.40835e-11-0j -2.94104e-05-0j -9.50505e-07-0j 7.36173e-11-0j 2.9894e-10-0j 9.7898e-09-0j 1.48605e-10-0j 3.43904e-12-0j 2.83482e-10-0j 1.77076e-12-0j -0.000125332-0j -2.18576e-05-0j 8.75884e-09-0j -4.14214e-13-0j -1.77837e-06-0j -2.69949e-08-0j 5.1415e-12-0j 4.09171e-10-0j 2.55588e-12-0j 1.13859e-11-0j 1.38471e-13-0j -1.91411e-05-0j -1.34042e-06-0j 2.52285e-10-0j -7.53823e-08-0j -4.70874e-10-0j 1.17855e-11-0j 1.98605e-13-0j -1.77628e-06-0j -5.74072e-08-0j 4.44623e-12-0j -2.19377e-09-0j 2.07706e-13-0j 
-1.24318e-10-0j -5.60047e-07-0j -0.000508086-0j 0.00374253-0j 0.000321557-0j -2.2905e-07-0j 1.6122e-11-0j 4.10394e-06-0j 0.00709507-0j 0.893962-0j -0.00604029-0j 2.01883e-06-0j 0.000202173-0j -0.00398561-0j -0.000306739-0j 6.15492e-08-0j 1.64133e-06-0j 1.25868e-07-0j -7.86513e-12-0j 2.08107e-07-0j 0.000201881-0j -0.00139483-0j 2.32573e-06-0j -2.67865e-10-0j -0.000366158-0j -0.000325828-0j -8.75715e-06-0j 1.25637e-07-0j 3.32011e-09-0j 4.03977e-07-0j 8.87104e-08-0j 8.21608e-10-0j 2.53628e-09-0j -1.94291e-13-0j -1.48978e-06-0j -0.000535584-0j -0.000167033-0j 9.72616e-08-0j -0.000101685-0j -2.23292e-05-0j -2.06806e-07-0j 5.25412e-09-0j 6.84151e-08-0j 5.24652e-09-0j 8.47057e-11-0j 3.3153e-09-0j 8.76106e-11-0j 7.7003e-06-0j -0.000151802-0j -1.16829e-05-0j 2.34426e-09-0j -1.2428e-05-0j -9.53058e-07-0j 1.26638e-10-0j 4.78522e-09-0j 1.26455e-10-0j 2.00117e-10-0j 3.41062e-12-0j -2.11457e-05-0j -1.88166e-05-0j -5.05726e-07-0j -8.81591e-07-0j -2.32971e-08-0j 2.07141e-10-0j 4.89176e-12-0j -6.14139e-06-0j -1.34861e-06-0j -1.24904e-08-0j -3.85574e-08-0j 5.11593e-12-0j 
-7.21847e-15-0j -8.39362e-11-0j -3.23811e-07-0j -0.000303619-0j 0.00357543-0j 0.000326292-0j -1.03103e-07-0j 5.74367e-10-0j 3.76161e-06-0j 0.00604029-0j 0.918676-0j -0.00384801-0j 1.44444e-07-0j 0.000290143-0j -0.0038312-0j -9.69904e-05-0j 2.19844e-06-0j 1.57072e-06-0j -1.0915e-10-0j 4.38251e-11-0j 2.16667e-07-0j 0.000204568-0j -0.00108992-0j 8.5292e-07-0j -8.17504e-07-0j -0.00065558-0j -0.000220163-0j 5.18522e-07-0j 6.92137e-08-0j -1.95773e-08-0j 5.49975e-07-0j 3.45066e-08-0j 2.10699e-08-0j -2.69633e-12-0j -5.25797e-10-0j -1.79626e-06-0j -0.000677078-0j -9.1747e-05-0j 4.92779e-06-0j -0.000138434-0j -8.68562e-06-0j 4.3648e-08-0j 9.16369e-08-0j 6.5472e-08-0j 1.17553e-09-0j 1.36827e-08-0j 1.8264e-09-0j 5.50154e-09-0j 1.10508e-05-0j -0.000145921-0j -3.69413e-06-0j -1.66463e-05-0j -1.18933e-05-0j 1.75746e-09-0j 1.97492e-08-0j 2.63618e-09-0j 1.66245e-09-0j 4.73318e-11-0j -4.72109e-08-0j -3.78598e-05-0j -1.27144e-05-0j -3.63844e-06-0j -4.8567e-07-0j 1.7208e-09-0j 6.78868e-11-0j 2.97621e-07-0j -8.36091e-06-0j -5.24581e-07-0j -3.20311e-07-0j 7.09977e-11-0j 
