0.383669+1.38778e-17j 0.477047-0.00860839j -0.313191+0.0249207j -0.321185+0.00244458j -0.0779166-0.0109551j -0.0165521-0.00384346j 0.137394+0.00849953j -0.0371125+0.018588j -0.0483291-0.0124356j -0.0231666+0.015097j -0.0748789-0.0144489j -0.0426201-0.0840021j -0.00726175-0.0445879j 0.00914058-0.0160739j -0.0339003-0.042634j -0.0152158-0.0927466j 0.00635069+0.0509478j 0.0164296-0.0569698j -0.0333694+0.0033981j 0.0572714-0.0314683j 0.00133505+0.00780462j 0.026482+0.0332014j 0.069066+0.035705j -0.0030492+0.0298283j 0.00254214-0.0114642j 0.0695781+0.0506207j 0.0053864-0.0137119j 0.047028-0.0115043j -0.0487423-0.00459435j 0.0245777-0.0470817j 0.0297007-0.0374002j -0.0734899+0.0915503j -0.121547+0.101879j -0.0771199+0.0834353j 0.0884057+0.0302237j -0.0887862-0.240735j 
0.477047+0.00860839j -0.686833-1.70003e-16j -0.407463+0.0151698j 0.0785605-0.0165744j 0.00204139-0.000606451j 0.151356-0.00100207j 0.0523827-0.00276103j -0.0136641+0.0353503j -0.0930438+0.000355505j 0.0500799-0.0230031j 0.067451-0.0626292j 0.0333298+0.0390983j -0.0465857-0.0704903j -0.0158753+0.0202421j -0.0160074-0.0419426j 0.0408178+0.0415909j 0.00573423+0.0114124j 0.033335+0.0183965j -0.00848529+0.0298473j 0.0339317+0.0131623j 0.0738531+0.00201178j 0.0274307-0.0195706j -0.0162478+0.00831993j 0.0202615+0.00713901j -0.0254243+0.0190054j -0.0106839+0.0204159j 0.00741533+0.034364j 0.015011-0.00348292j 0.00741097-0.00494073j -0.0264602+0.0292002j 0.0567293-0.0232684j -0.0499368+0.0785033j 0.019498-0.0726566j -0.014074+0.025381j 0.0559592+0.0828346j 0.0283543-0.0163825j 
-0.313191-0.0249207j -0.407463-0.0151698j 0.215721-1.94289e-16j 0.171013+0.00903284j -0.0158153+0.00873786j -0.0120077+0.00086395j -0.100486+0.00309998j -0.0366769+0.0521927j 0.0526565-0.0451107j 0.122938-0.0356186j -0.0599968-0.0102863j 0.0324041-0.0970755j -0.076137-0.0673665j 0.0511104-0.103101j -0.0725273-0.00208342j -0.0938941-0.0936561j 0.0135619+0.0378898j -0.00877442+0.0101282j -0.0759754+0.0413476j 0.0374987-0.0480131j -0.0443185+0.00913635j 0.017888+0.0263357j 0.0177011-0.0142419j 0.114851-0.0243773j -0.0259412-0.0387704j 0.0782236+0.0057979j 0.0226001-0.0202061j 0.0940236+0.0380985j -0.070083-0.0184122j 0.010357-0.0934913j 0.0262275-0.0218161j -0.0649753+0.117924j -0.194527+0.155368j -0.0761021+0.163581j -0.0287801+0.0172003j -0.282873-0.310292j 
-0.321185-0.00244458j 0.0785605+0.0165744j 0.171013-0.00903284j 0.00456703-4.02456e-16j 0.0109735+0.000215809j -0.0632946+0.000620156j -0.0801742+0.0172554j -0.00515181+0.0746777j 0.0593088-0.0139797j 0.0494108+0.0669333j -0.0335804-0.0689065j -0.0258557-0.0633472j -0.00644515-0.0320553j -0.0647051+0.157584j 0.037458-0.0391604j 0.123865+0.0188888j -0.0420839+0.0274746j 0.152399-0.0270917j 0.0152702+0.0670323j 0.0501089+0.0662511j -0.0598856-0.0100683j 0.0182524+0.00442753j 0.0185008+0.000814303j 0.0192489+0.0543508j -0.036531-0.0337321j -0.0274403+0.0466711j -0.0234014-0.024062j 0.015062-0.0799241j 0.0650007+0.0211195j -0.0708206-0.00157194j 0.145123-0.0911681j -0.0641975+0.069828j 0.013953-0.261165j -0.14401+0.183036j 0.332678+0.240236j 0.058647+0.01383j 
-0.0779166+0.0109551j 0.00204139+0.000606451j -0.0158153-0.00873786j 0.0109735-0.000215809j 0.0055891-2.11636e-16j -0.0170656+0.00726126j -0.0141952+0.00233903j 0.0134372+0.0519792j 0.00741968+0.0430454j -0.0239814+0.0642144j -0.00429794-0.0188053j 0.0260581+0.0495323j -0.0053013-0.0537038j 0.0278392-0.048129j 0.0247258+0.00211144j -0.0661718-0.0158013j 0.00169114-0.0324335j 0.070792-0.022613j -0.00316804+0.0182358j 0.027917+0.0526171j 0.00821456-0.0230572j -0.0236302+0.0345866j 0.0275177-0.0341759j 0.0126398+0.0280986j -0.0120131+0.0307017j -0.0525053+0.0512047j -0.00773733-0.0619201j -0.00698295-0.0234986j -0.00168439+0.0836513j 0.00209048+0.0291656j 0.0916972+0.0209088j -0.0283535-0.0802814j 0.0585004-0.0358904j 0.0111738+0.0914509j 0.0554879+0.0339501j 0.0720297+0.0128871j 
-0.0165521+0.00384346j 0.151356+0.00100207j -0.0120077-0.00086395j -0.0632946-0.000620156j -0.0170656-0.00726126j -0.0212689-1.37043e-16j 0.0187597+0.00908621j -0.00681478+0.0294555j 8.42908e-05+0.00600167j -0.00546574+0.0173308j -0.0133328-0.0166967j -0.00701922+0.0159294j 0.00700369-0.00110308j -0.00942407-0.091629j -0.0171454+0.0267804j -0.116017+0.000540091j 0.00812415-0.0163581j 0.0211504-0.00855134j -0.0205997+0.0254313j 0.0088263+0.0137828j 0.00398234-0.00971565j 0.00797884+0.0115258j 0.0138055-0.0319832j 0.0186143-0.00963591j 0.00440266-0.0610412j -0.0368597-0.0148881j -0.0369537-0.0510608j 0.0455473+0.032711j -0.0426419-0.0101302j 0.0285291+0.184869j 0.0508986-0.0268115j -0.0197709-0.0105367j -0.134965+0.196073j 0.137605-0.0468951j -0.292359+0.0427907j -0.207859-0.20385j 
0.137394-0.00849953j 0.0523827+0.00276103j -0.100486-0.00309998j -0.0801742-0.0172554j -0.0141952-0.00233903j 0.0187597-0.00908621j 0.00824373-4.16334e-17j 0.011083+0.0031127j -0.014098-0.0301843j 0.0182415-0.00728808j -0.0429277+0.0181304j -0.0117777-0.0438908j -0.050001-0.0398674j -0.0388847+0.0502633j -0.0156872-0.0201191j 0.0439754+0.0251059j 0.00537639+0.0133813j -0.00934053-0.0226684j -0.00545958-0.030293j -0.0119823+0.0179099j 0.00481162-0.00863968j -0.0232477-0.0085679j 0.00599177+0.0402848j -0.0281539-0.0104285j -0.0498077-0.0406333j 0.00577958+0.00522407j 0.0099917-0.011717j 0.0186668+0.116502j 0.0607364-0.0381222j -0.0548074-0.0417778j 0.0678343-0.0202073j -0.0639224+0.0759375j -0.171001-0.0434329j -0.155893+0.217333j 0.167503+0.182666j -0.193796-0.0613697j 
-0.0371125-0.018588j -0.0136641-0.0353503j -0.0366769-0.0521927j -0.00515181-0.0746777j 0.0134372-0.0519792j -0.00681478-0.0294555j 0.011083-0.0031127j -0.0129046-4.16334e-16j 0.0471228+0.0435952j -0.0023012+0.16146j 0.117488-0.15835j 0.0357358+0.0382061j 0.142903+0.0436566j 0.0248829-0.107813j 0.0198267-0.0431256j -0.0543875-0.0151486j -0.0468861-0.0364731j 0.00893296+0.092339j -0.120225-0.0607596j 0.133012+0.070446j -0.0205055-0.0124556j -0.122354+0.0431565j 0.0706963+0.0189813j -0.0389648+0.111828j -0.092623+0.0650726j -0.0539612+0.0419678j -0.0231142+0.0380994j 0.0442187-0.103158j -0.0653667+0.00254603j 0.04507+0.0228095j 0.220446-0.141841j -0.0527937-0.23555j 0.0780541+0.0400791j 0.102004+0.0883698j -0.148528+0.14546j 0.123853-0.200303j 
-0.0483291+0.0124356j -0.0930438-0.000355505j 0.0526565+0.0451107j 0.0593088+0.0139797j 0.00741968-0.0430454j 8.42908e-05-0.00600167j -0.014098+0.0301843j 0.0471228-0.0435952j 0.0135125-4.92661e-16j 0.0166279+0.0058001j 0.00366022-0.00352154j 0.0291868+0.0767943j 0.019442+0.011573j 0.314645+0.155833j -0.0179919-0.0982618j 0.187096-0.262362j -0.00400976+0.0303069j -0.0139899-0.176924j 0.12853-0.0995669j 0.03945+0.0524264j -0.0113648+0.00110457j -0.0443938-0.0703394j 0.0124866+0.0540689j 0.000152004+0.0483111j -0.00627138+0.0646014j -0.0359575+0.0517222j -0.0429598+0.0733171j 0.0768573-0.0634114j -0.0919777+0.0840573j 0.105465-0.0623567j -0.0457172+0.00619197j -0.00324971+0.0381749j 0.0148663+0.102142j 0.00283404-0.0400147j 0.0538032-0.198436j 0.123232-0.126731j 
-0.0231666-0.015097j 0.0500799+0.0230031j 0.122938+0.0356186j 0.0494108-0.0669333j -0.0239814-0.0642144j -0.00546574-0.0173308j 0.0182415+0.00728808j -0.0023012-0.16146j 0.0166279-0.0058001j -0.0293514+5.55112e-17j -0.122301+0.0204273j 0.282725+0.0271743j 0.0670079-0.27245j -0.129347+0.0498576j 0.0728044-0.0040742j 0.109353+0.134909j -0.0696792-0.0126913j -0.0564922+0.0531522j -0.00889358-0.130494j -0.00380988-0.0185417j 0.0144415-0.0316144j -0.125576+0.0282558j 0.0738238+0.00817589j 0.0186431+0.00243383j -0.0621902+0.116816j 0.0199591+0.0726363j -0.021395+0.0641452j 0.119341-0.0306669j 0.0515783-0.119011j -0.00388234+0.0473754j -0.211954-0.0336762j 0.0711244+0.204893j -0.0374677-0.0108569j -0.0714487-0.151641j -0.115094+0.073322j 0.0304686-0.105277j 
-0.0748789+0.0144489j 0.067451+0.0626292j -0.0599968+0.0102863j -0.0335804+0.0689065j -0.00429794+0.0188053j -0.0133328+0.0166967j -0.0429277-0.0181304j 0.117488+0.15835j 0.00366022+0.00352154j -0.122301-0.0204273j -0.277923+4.08007e-15j 0.0110532+0.284765j 0.131877-0.224688j 0.02497-0.104189j -0.0470868-0.0255014j -0.156746-0.0273673j 0.0162548-0.00761674j 0.123891-0.00513067j 0.0926886+0.106167j -0.0875215-0.00499116j 0.0367659+0.028104j -0.031297-0.122353j 0.0605771+0.0462201j 0.0513708-0.0497658j 0.0711524-0.0493204j -0.123594+0.0311914j -0.102524+0.0749962j -0.00202313-0.00227258j 0.0342856+0.14726j 0.023163+0.148137j 0.0556845-0.0199863j -0.0298736+0.0428508j 0.0140063-0.0487947j 0.0426739+0.00749253j 0.0437355-0.0126085j 0.00844905+0.0045183j 
-0.0426201+0.0840021j 0.0333298-0.0390983j 0.0324041+0.0970755j -0.0258557+0.0633472j 0.0260581-0.0495323j -0.00701922-0.0159294j -0.0117777+0.0438908j 0.0357358-0.0382061j 0.0291868-0.0767943j 0.282725-0.0271743j 0.0110532-0.284765j -0.00715509-2.36616e-15j 0.249712+0.0667824j -0.13238-0.0718186j -0.0201857+0.0625129j -0.0231216+0.172064j -0.00519228+0.0203989j -0.0958795-0.144305j 0.167397-0.0115545j 0.0366872-0.0858036j -0.0118436+0.0433124j 0.105045-0.081035j -0.0547082+0.0727799j 0.0684296-0.0234639j 0.00796804-0.0806574j 0.0788462+0.0399943j 0.0202857-0.0154178j -0.011194-0.0819778j -0.0326267-0.0697548j 0.00641673-0.122249j 0.0558111-0.1019j -0.0909833+0.0402954j 0.0193878-0.0085752j 0.0905025-0.105068j 0.0503201-0.0916739j 0.0128996-0.0176341j 
