-0.291467-0j -0.360672-0j -0.210392-0j 0.107792-0j -0.0423722-0j -0.0259476-0j -0.0370757-0j -0.0152929-0j -0.0228981-0j -0.00330506-0j 0.0767687-0j 0.0110806-0j -0.0211197-0j -0.00304836-0j -0.0213385-0j -0.0184797-0j -0.00307995-0j -0.00266732-0j -0.015245-0j -0.00220042-0j -0.00487084-0j -0.000703046-0j -0.0170137-0j -0.00300763-0j -0.000250636-0j -0.0188307-0j -0.00332884-0j 0.0441834-0j -0.000277403-0j -0.00992468-0j 0.0446413-0j 0.0078106-0j -0.00175445-0j -0.0173682-0j 0.000650883-0j 0.00789154-0j -0.00614058-0j -0.000146204-0j -0.0101314-0j 0.000657628-0j -0.010746-0j -0.00307029-0j -0.00108551-0j -0.000255857-0j -0.001791-0j -0.00626851-0j -9.04593e-05-0j -0.00189964-0j -0.00014925-0j -0.00163529-0j -0.00110813-0j -0.000158304-0j -0.000289082-0j -9.23439e-05-0j -2.40902e-05-0j 
-0.668733-0j 0.00729043-0j -0.478156-0j 0.0423722-0j -0.00168438-0j 0.0302722-0j -0.0417561-0j -0.0522888-0j 0.0267145-0j 0.00385591-0j 0.000522846-0j 7.54663e-05-0j -0.0484563-0j -0.00699407-0j 0.047262-0j 0.000373539-0j 0.00682168-0j 5.39157e-05-0j -0.0346472-0j -0.00500089-0j -0.0222383-0j -0.00320983-0j 0.0198494-0j 0.0035089-0j 0.000292409-0j 0.000380635-0j 6.72874e-05-0j 0.0173682-0j 5.60728e-06-0j -0.0571206-0j -0.0169401-0j 0.00307029-0j -0.0100976-0j -0.000690419-0j 0.000255857-0j -0.00299461-0j 0.00716401-0j -0.000841465-0j 0.0452823-0j -0.000249551-0j -0.0121026-0j -0.00012205-0j 0.00126643-0j -1.01708e-05-0j 0.00800486-0j -0.0214329-0j 0.000105536-0j -0.00213946-0j 0.000667072-0j -0.00934089-0j -0.00378885-0j -0.000178288-0j -0.00165125-0j -0.000315737-0j -0.000137604-0j 
0.208234-0j -0.758358-0j 0.150311-0j 0.0259476-0j 0.0302722-0j 0.016457-0j -0.0779564-0j 0.0109258-0j 0.0163592-0j 0.00236125-0j 0.0184797-0j 0.00266732-0j -0.0444068-0j -0.00640957-0j 0.015245-0j 0.0117206-0j 0.00220042-0j 0.00169172-0j -0.0320545-0j -0.00462667-0j 0.0034799-0j 0.00050228-0j 0.0121552-0j 0.00214876-0j 0.000179063-0j 0.0134533-0j 0.00237824-0j -0.0313018-0j 0.000198186-0j 0.00709053-0j 0.010746-0j -0.00553344-0j 0.00125344-0j -0.0365188-0j -0.00046112-0j 0.00189964-0j 0.0548049-0j 0.000104453-0j 0.00723825-0j 0.000158304-0j 0.00681555-0j -0.00645567-0j 0.00968823-0j -0.000537973-0j 0.00127955-0j -0.0131803-0j 0.000807352-0j 0.00120483-0j 0.000106629-0j 0.00116831-0j -0.00232998-0j 0.000100402-0j 0.00020653-0j -0.000194165-0j 1.72108e-05-0j 
-0.297539-0j -0.345309-0j -0.192835-0j -0.0370757-0j 0.0417561-0j 0.0779564-0j -0.0367486-0j -0.0737863-0j -0.0233752-0j -0.00337392-0j 0.0254901-0j 0.00367918-0j 0.0209459-0j 0.00302328-0j 0.02177-0j -0.0535962-0j 0.00314223-0j -0.00773594-0j 0.013575-0j 0.00195939-0j -0.0521409-0j -0.00752589-0j -0.0173682-0j -0.00307029-0j -0.000255857-0j 0.0185569-0j 0.00328044-0j 0.0147645-0j 0.00027337-0j -0.0101314-0j 0.0153454-0j 0.00261003-0j -0.001791-0j -0.0166284-0j 0.000217502-0j 0.00271271-0j 0.0308072-0j -0.00014925-0j -0.00928598-0j 0.00022606-0j -0.0322657-0j -0.00293951-0j 0.00544599-0j -0.000244959-0j -0.00164155-0j 0.0293837-0j 0.000453833-0j -0.00570383-0j -0.000136795-0j -0.0303446-0j 0.00519434-0j -0.000475319-0j -0.00536422-0j 0.000432862-0j -0.000447019-0j 
0.122729-0j -0.445081-0j 0.106063-0j 0.0152929-0j -0.0522888-0j 0.0109258-0j 0.0737863-0j -0.0895903-0j 0.00964177-0j 0.00139167-0j -0.0319198-0j -0.00460723-0j 0.0088929-0j 0.00128358-0j 0.0424669-0j -0.0228046-0j 0.00612957-0j -0.00329156-0j 0.00768529-0j 0.00110928-0j -0.0381865-0j -0.00551175-0j 0.00716401-0j 0.00126643-0j 0.000105536-0j -0.0232378-0j -0.0041079-0j 0.00626851-0j -0.000342325-0j 0.00417901-0j 0.0299344-0j 0.00110813-0j 0.000738751-0j -0.0214329-0j 9.23439e-05-0j 0.00529171-0j 0.00258563-0j 6.15626e-05-0j 0.00510746-0j 0.000440976-0j 0.0213862-0j -0.00378885-0j 0.000457079-0j -0.000315737-0j 0.00090288-0j -0.0367227-0j 3.80899e-05-0j 0.00378058-0j 7.524e-05-0j 0.0216514-0j -0.00649171-0j 0.000315048-0j 0.00382747-0j -0.000540976-0j 0.000318956-0j 
0.0375102-0j 0.0464165-0j 0.0270763-0j -0.220387-0j -0.257118-0j -0.157452-0j -0.224978-0j -0.0927988-0j -0.0117153-0j 0.161151-0j 0.00332884-0j -0.0457904-0j 0.00271798-0j -0.0373877-0j 0.00274615-0j 0.00237824-0j -0.0377751-0j -0.0327142-0j 0.00196194-0j -0.0269879-0j 0.000626851-0j -0.00862275-0j 0.00218957-0j -0.0182505-0j -0.00462715-0j -0.00963429-0j 0.0803038-0j 0.00191588-0j 0.0203598-0j 0.00127725-0j 0.00193573-0j -0.0159692-0j -0.0106461-0j 0.00223519-0j -0.00404875-0j -0.0161347-0j 0.000790259-0j -0.00269917-0j 0.00130386-0j -0.00409071-0j 0.00138295-0j -0.0186308-0j -0.00658697-0j -0.00472355-0j -0.0108679-0j 0.000806723-0j -0.00167003-0j -0.0115272-0j -0.0027554-0j 0.000210453-0j -0.0067242-0j -0.00292254-0j -0.00175417-0j -0.00170482-0j -0.000444744-0j 
-0.0423722-0j -0.000908445-0j 0.059582-0j -0.738873-0j 0.00503222-0j 0.177861-0j -0.245334-0j -0.307217-0j -0.00332884-0j 0.0457904-0j 0.000193362-0j -0.00265982-0j -0.00307029-0j 0.0422339-0j 0.00299461-0j -4.65459e-05-0j -0.0411929-0j 0.000640271-0j 0.00431731-0j -0.0593875-0j 0.00277107-0j -0.0381179-0j -0.00247339-0j 0.0206162-0j 0.00522692-0j -4.74301e-05-0j 0.00039534-0j 0.00642321-0j 0.000100232-0j -0.00144281-0j -0.00626489-0j -0.0535387-0j 0.0120261-0j -4.37463e-05-0j -0.0135739-0j 0.0522191-0j -0.000892692-0j 0.00304904-0j 0.00286918-0j 0.0132394-0j 0.00150808-0j 0.000364634-0j 0.00744077-0j 9.24475e-05-0j -0.0239152-0j 0.00267071-0j 0.00188649-0j -0.0125701-0j -0.00606333-0j 0.00116395-0j -0.022261-0j -0.00318697-0j -0.00970175-0j -0.00564392-0j -0.00245973-0j 
0.0680382-0j 0.0415926-0j -0.0249733-0j 0.20327-0j -0.466376-0j -0.4274-0j -0.201597-0j 0.0855912-0j -0.00271798-0j 0.0373877-0j -0.00307029-0j 0.0422339-0j -0.0047897-0j 0.0658855-0j 0.00498113-0j 0.00645567-0j -0.0685188-0j -0.0888021-0j 0.00175805-0j -0.0241831-0j -0.000578164-0j 0.00795303-0j -0.00201951-0j 0.016833-0j 0.00426776-0j -0.00223519-0j 0.0186308-0j 0.00171677-0j 0.00472355-0j 0.00581156-0j -0.00178538-0j -0.0143096-0j -0.0484405-0j -0.0039389-0j -0.00362798-0j 0.0148815-0j 0.00358215-0j -0.0122814-0j 0.00236502-0j 0.00377299-0j 0.003754-0j 0.0328316-0j -0.029858-0j 0.00832394-0j -0.0197129-0j 0.000722883-0j -0.00757003-0j -0.0312903-0j -0.00499791-0j -0.000194108-0j -0.00602538-0j -0.00793319-0j 0.00161793-0j -0.00152764-0j 0.000410201-0j 
-0.0687432-0j -0.0417561-0j 0.0226545-0j -0.205376-0j -0.454881-0j -0.146728-0j 0.209529-0j -0.40873-0j 0.00274615-0j -0.0377751-0j -0.00299461-0j 0.0411929-0j -0.00498113-0j 0.0685188-0j 0.00502973-0j -0.00213946-0j -0.0691873-0j 0.0294296-0j 0.00164155-0j -0.0225806-0j 0.00612559-0j -0.0842616-0j 0.00204044-0j -0.0170075-0j -0.00431199-0j -0.0021801-0j 0.0181716-0j 0.00178538-0j 0.00460712-0j -0.00587178-0j -0.0018028-0j -0.0148815-0j 0.0489425-0j 0.00395439-0j -0.00377299-0j 0.0150267-0j 0.000736434-0j 0.0124086-0j -0.00214543-0j 0.0038098-0j -0.00128799-0j -0.0329606-0j -0.00613832-0j -0.00835667-0j 0.0178826-0j 0.00355319-0j -0.00155628-0j 0.0107356-0j 0.00453386-0j 0.00356493-0j -0.0296165-0j 0.00272185-0j -0.0297144-0j -0.00750882-0j -0.00753364-0j 
0.0302722-0j -0.00191012-0j -0.0425674-0j -0.177861-0j -0.00359519-0j -0.112806-0j -0.515845-0j 0.219487-0j 0.00237824-0j -0.0327142-0j 4.65459e-05-0j -0.000640271-0j -0.00645567-0j 0.0888021-0j -0.00213946-0j 2.95213e-05-0j 0.0294296-0j -0.000406085-0j 0.00907769-0j -0.12487-0j -0.00197975-0j 0.0272328-0j 0.00176707-0j -0.0147289-0j -0.00373429-0j 3.38857e-05-0j -0.000282444-0j -0.00455053-0j -7.16095e-05-0j 0.00103079-0j -0.00150808-0j 0.0379296-0j -0.00859186-0j -9.19821e-05-0j 0.00961648-0j 0.0125701-0j 0.00796731-0j -0.00217834-0j -0.00204984-0j 0.00318697-0j -0.000956483-0j 0.00076669-0j -0.0664091-0j 0.000194383-0j 0.0170858-0j 0.00561552-0j -0.016837-0j 0.00797248-0j 0.00433185-0j -0.000831565-0j -0.0468065-0j 0.0020213-0j 0.00693126-0j -0.0118671-0j 0.00175732-0j 
-0.0249733-0j -0.0584857-0j -0.0692963-0j 0.146728-0j -0.333467-0j -0.308514-0j -0.130655-0j 0.0739684-0j -0.00196194-0j 0.0269879-0j 0.00431731-0j -0.0593875-0j 0.00175805-0j -0.0241831-0j -0.00164155-0j -0.00907769-0j 0.0225806-0j 0.12487-0j 0.00487826-0j -0.0671038-0j 0.00531537-0j -0.0731164-0j -0.00145776-0j 0.0121507-0j 0.00308063-0j 0.00314303-0j -0.0261978-0j 0.00123923-0j -0.00664205-0j -0.00085036-0j -0.00115711-0j -0.0103292-0j 0.00708793-0j -0.00281639-0j -0.00261882-0j 0.00964472-0j 0.00258573-0j 0.00179704-0j -0.00333697-0j 0.00244527-0j 0.00243296-0j 0.0234752-0j -0.0215526-0j 0.00595177-0j 0.0278143-0j 0.00062472-0j -0.00546434-0j -0.0202793-0j 0.0070519-0j 0.00611598-0j -0.00520716-0j -0.0051415-0j -0.0509779-0j -0.0013202-0j -0.0129247-0j 
0.00797908-0j -0.0386391-0j -0.0733559-0j -0.0468802-0j 0.214036-0j -0.0334929-0j -0.501838-0j 0.367533-0j 0.000626851-0j -0.00862275-0j -0.00277107-0j 0.0381179-0j 0.000578164-0j -0.00795303-0j 0.00612559-0j -0.00197975-0j -0.0842616-0j 0.0272328-0j -0.00531537-0j 0.0731164-0j 0.00663243-0j -0.0912335-0j 0.000465762-0j -0.00388222-0j -0.000984277-0j -0.00201736-0j 0.0168151-0j 0.000407541-0j 0.00426321-0j 0.000271694-0j 0.00431786-0j -0.00339694-0j -0.00226463-0j -0.00186067-0j -0.000861242-0j -0.0359902-0j 0.000168102-0j -0.000574162-0j -0.00353246-0j -0.00912477-0j 0.00308483-0j 0.0155091-0j -0.00140117-0j 0.00393209-0j 0.0294438-0j -0.00319505-0j -0.000355244-0j -0.0257127-0j 0.00746502-0j 0.00632204-0j 0.0266314-0j -0.00651905-0j -0.0526955-0j 0.00675198-0j -0.0133601-0j 
0.0241368-0j 0.0298677-0j 0.0174228-0j 0.00300763-0j 0.0035089-0j 0.00214876-0j 0.00307029-0j 0.00126643-0j -0.181289-0j 0.000273697-0j -0.204788-0j 0.000309173-0j -0.167208-0j 0.000252439-0j -0.168941-0j -0.146307-0j 0.000255055-0j 0.000220884-0j -0.120697-0j 0.00018222-0j -0.0385634-0j 5.82202e-05-0j -0.0070297-0j 0.118807-0j -0.000103557-0j 0.0015594-0j -0.026355-0j 0.00123281-0j 2.29721e-05-0j 0.000821876-0j 0.00124559-0j -0.0208355-0j -0.0138903-0j 0.00143828-0j 1.81611e-05-0j -0.0210514-0j 0.00050851-0j 1.21074e-05-0j 0.000838998-0j 1.83493e-05-0j 0.000889892-0j -0.0243081-0j -0.0085942-0j 2.11879e-05-0j -0.0141797-0j 0.000519104-0j 7.49106e-06-0j -0.0150398-0j 1.23596e-05-0j 0.000135421-0j -0.00877324-0j 1.31094e-05-0j -0.00228872-0j 7.64712e-06-0j 1.99494e-06-0j 
-0.00348384-0j -0.00431103-0j -0.00251477-0j 0.041372-0j 0.0482673-0j 0.0295576-0j 0.0422339-0j 0.0174206-0j -0.000273697-0j -0.175616-0j -0.000309173-0j -0.198379-0j -0.000252439-0j -0.161976-0j -0.000255055-0j -0.000220884-0j -0.163654-0j -0.141729-0j -0.00018222-0j -0.11692-0j -5.82202e-05-0j -0.0373566-0j 0.00101465-0j -0.017094-0j 0.203629-0j -0.00022508-0j 0.00379196-0j -0.000177941-0j -0.0451711-0j -0.000118628-0j -0.000179785-0j 0.00299781-0j 0.00199854-0j -0.000207598-0j -0.0357109-0j 0.00302888-0j -7.33971e-05-0j -0.0238073-0j -0.000121099-0j -0.036081-0j -0.000128445-0j 0.00349745-0j 0.00123653-0j -0.0416627-0j 0.00204018-0j -7.49262e-05-0j -0.01473-0j 0.00216393-0j -0.0243032-0j -1.95463e-05-0j 0.0012623-0j -0.0257775-0j 0.000329301-0j -0.0150369-0j -0.00392274-0j 
