-2.79402e-05+0.0128566j 0.0119586+0.00407388j 0.00289883-0.0131525j -0.0120558+0.0036708j -0.0122287+0.01735j 7.82714e-05+0.00377392j 0.023257+0.0053111j -0.0205534+0.0280855j -0.00657294+0.00258952j -0.000594921+0.0114675j 0.0126736+0.0255699j -0.0108367+0.00481313j -0.0234354-0.0277751j 0.00566406-0.00507141j 0.026434+0.00310606j -0.00820476-0.0172416j -0.0050557+0.00761496j -0.0095143-0.0173224j 0.0283378-0.0197819j 0.000927403+0.0145244j 0.00066875+0.00702175j 0.00295406-0.00388874j -0.00193874+0.0190664j 0.000700231-0.000549352j 0.00575261+0.00265079j -0.00276359+6.12978e-05j -0.019181+0.0216715j 0.00439941-0.0169441j 0.008181-0.0102169j 0.00336724+0.00712572j -0.0130345-0.0113638j -0.00469526+0.00636375j -0.00391057-0.00766055j 0.013537+0.00175932j 0.00858041-0.0168949j 0.00171404+0.00591284j -0.00155384-0.00512697j -0.00222264-0.0136076j -0.000445776-0.0100054j 0.00624994-0.0110625j 0.00921844-0.0105622j -0.0131938+0.0072525j 0.00375667+0.0157195j 0.0102099+0.0164944j -0.0057254+0.00103772j 0.00781459-0.0162282j -0.0137453-0.00683454j 0.00633736+0.0535794j -0.00692647-0.00881322j 0.0156195-0.0199083j 0.00947528-0.0192251j 0.0157228+0.00497686j 
0.0143984+0.00653329j 0.000412795-0.0140187j -0.0089252-0.0102916j -0.014529+0.00950912j -0.0126762-0.0197223j 0.00991678+0.00890436j 0.0215936+0.000681851j -0.0165653+0.00459929j -0.0127223+0.0164338j -0.00682728+0.00449352j -0.00066218+0.0104242j 0.031808-0.00525187j 0.00512664+0.0131479j 0.00905801-0.00551056j 0.000707506-0.00130029j 0.0117166+0.00112028j -0.00287016-0.00447919j -0.0060368-6.34928e-05j -0.00402039-0.0117589j 0.000313568+0.0120554j -0.0106062+0.00610194j -0.0187579-0.018535j 0.00903488+0.00613669j 0.00564265+0.00924694j -0.00554401-0.013365j 0.0125312+0.0109342j 0.0228598+0.00418657j -0.00494092+0.0138169j 0.0100289+0.00631399j 0.014051-0.0138648j 0.00116384+0.0139169j 0.0086813+0.00626481j 0.00489602+0.00624259j 0.0102942-0.019418j 0.0252369+0.00829152j -0.00248196-0.0150185j -0.000692993-0.00544618j -0.00909296-0.0021591j 0.00758583-0.00753737j 0.00482533+0.0147897j 0.0231932-0.00657805j -0.00282337-0.0138269j 0.000848214+0.00171353j -0.0121113-0.00130889j -0.000644656+0.00387054j 0.0376553+0.0112797j -0.00310592+0.0139185j -0.0348486+0.00128057j -0.00917412-0.00852543j 0.0270076-0.00547909j -0.0156964-0.0110256j 0.010547-0.0158767j 
-0.0181962-0.00350943j 0.00874045+0.0216945j 0.00538658+0.0246255j 0.0286626-0.00542247j 0.0175506+0.0417814j -0.0103448+0.0048536j -0.0197411-0.0202996j 0.0319788-0.00648945j 0.0196876-0.018191j -0.0124995+0.00667271j -0.0228125-0.0200152j -0.0154622-0.00117356j -0.0151465-0.00835048j -0.00361645+0.00283834j -0.00326469+0.00561264j -0.0143992+0.00845471j -0.0115774-0.00938217j 0.00354795-0.00977545j 0.00385189+0.0149266j -0.00790558+0.0102307j -0.0103146+0.0179606j -0.000321585-0.00124968j -0.0114831+0.00949559j -0.00661644+0.0283456j 0.00969676+0.0116336j -0.00791226-0.0046195j -0.0217026-0.0035752j 0.00685358-0.0134975j -0.00973367+0.0172506j 0.00878687-0.00593034j -0.0187801-0.022939j -0.00573148+0.017679j 0.00666162-0.00407903j 0.00229457+0.0278879j 0.013681-0.0222902j 0.014694+0.00513705j 0.0066089-0.0124983j 0.00594884-0.0105508j 0.0049247-0.0239772j -0.000790784-0.0163158j -0.0136341-0.0115867j -0.0209771+0.0117631j 0.0111151-0.015913j -0.000458605+0.0341422j -0.00380148-0.03055j -0.0341294-0.0238944j 0.00240092-0.00944121j 0.0198272+0.000398667j 0.0255418+0.0380553j -0.0433765+0.0245139j 0.0103199+0.00710739j -0.00548497+0.0154856j 
-0.00930913-0.0227177j -0.0212536+0.00404492j 0.00443439-0.00100696j 0.00127785-0.0100001j 0.0205054-0.0154289j -0.00426825-0.0238291j -0.0443135+0.00539994j 0.0234551-0.0174521j 0.0171073-0.0182173j 0.0213161-0.0255656j 0.0120606-0.0248405j -0.0361293+0.00231716j 0.015309+0.00909666j -0.0314864+0.00572224j -0.0116563-0.000610922j -0.00362664+0.000926563j 0.0188244+0.000958455j 0.0129728+0.0100137j -0.01546+0.0281002j 0.0148307-0.0296287j 0.0179874-0.0247998j 0.015395+0.0270364j -0.0004988-0.0280708j -0.00814135-0.0351981j -0.00821539+0.0215074j -0.0160518+0.00255779j -0.0243893-0.0254544j 0.0103752+0.00714425j -0.0193786-0.0135353j -0.0460009+0.0192181j 0.0153887+0.00149456j -0.00630294-0.0304379j -0.00784942+0.00678676j -0.0246944+0.0292937j -0.0573986+0.00445734j -0.00418951+0.0150194j 0.00900847+0.0220967j -0.000803244+0.0155202j -0.0405848+0.0327422j -0.00488562+0.0109953j -0.0344027+0.0208058j 0.0322123+0.00544127j -0.00845036-0.00182229j 0.0300238-0.0274864j 0.0107542+0.00779591j -0.0282318+0.0206487j 0.0205704-0.00258662j 0.0184554-0.0576138j -0.00968757+0.00493824j -0.006401+0.00275253j 0.0114679+0.0255428j -0.019886+0.0110089j 
0.0152969-0.0113048j -0.0129967-0.0253923j -0.015636+0.0225178j 0.0148825+0.00703997j 0.0224769-0.0437388j 0.00857827+0.0077917j -0.0131206-0.0102407j 0.0287825-0.0459204j 0.000848151+0.0116103j -0.018459-0.00875223j -0.0317194-0.045654j 0.0696766-0.0128832j 0.0485342+0.0756226j 0.0140903-0.00259363j -0.0468129-0.00960336j 0.0215066+0.0378322j 0.00288131-0.0298883j 0.0102653+0.0423603j -0.0558979+0.0125033j -0.00859516-0.00642698j -0.0288527-0.00798743j -0.0217131-0.0163488j 0.0139146-0.0267737j 0.00298147+0.0169742j -0.0159711-0.0312308j 0.00178096+0.00729304j 0.0828846-0.0376286j -0.0167908+0.0377156j -0.00295899+0.0227325j 0.0217892-0.041496j 0.0214994+0.0278334j 0.0242302+0.0157306j 0.0103733+0.0169186j -0.0144782-0.035138j 0.024259+0.0415315j -0.0182142-0.0236365j -0.00373434-0.00161903j 0.00108375+0.0226995j 0.020756+0.000286865j -0.0075983+0.0213192j 0.0104408+0.0118038j 0.00450338-0.0197777j -0.00519025-0.0299502j -0.0399104-0.0271161j -0.0165495-0.0203087j 0.0393676+0.0346948j 0.026311+0.0278624j -0.0643578-0.0682568j 0.0300399+0.0212606j 0.0028827+0.0250032j -0.0327589+0.0251898j -0.0141377-0.030232j 
-0.0115391-0.0166634j -0.00496241+0.00814338j 0.00586461+0.0341037j 0.0322461-0.0136065j 0.0249276+0.0200363j -0.00469745-0.00546202j -0.037708-0.00494639j 0.0329141-0.0236259j 0.021485-0.0149305j 0.00905297-0.0112445j -0.00768909-0.0326721j -0.0248816+0.000344764j 0.0195536+0.0131634j -0.00160261+0.0128375j -0.0191065-0.00987692j -0.0128126+0.00971882j -0.00556994+0.000849355j 0.0196796+0.02748j -0.0155355+0.0152535j 0.00324272-0.0350428j 0.00403484-0.00575795j 0.0228201+0.0313403j -0.0117655-0.0263737j -0.0187302-0.0101325j -0.00213086+0.00717653j -0.00726653-0.00518715j -0.000311964-0.0278627j -0.00608845-0.0137571j -0.0124225-0.00287041j -0.0174181+0.0192656j 0.00451012-0.00888394j 0.0037955-0.0099216j -0.0143032-0.0115013j -0.0245513+0.0172945j -0.0212315+0.000746069j -0.00208302+0.00981761j -0.00478879+0.0132127j 0.0207305+0.0120231j 0.00319071+0.00872209j -0.00536175-0.012464j -0.0226456+0.0187725j 0.0114731+0.00603091j -0.00294437-0.00883288j -0.00320921-0.0136497j 0.013613-0.0272469j -0.0412442+0.0110357j 0.00878932+0.00491242j 0.0261586-0.0388216j 0.0166666+0.0227429j -0.0274591+0.0376156j 0.0066165+0.0309116j -0.0195404+0.0150992j 
-0.0145586+0.0191422j 0.0265116+0.0189261j -0.000327704-0.0173529j -0.0223531-0.00133165j -0.0378235+0.0236399j 0.0154293-0.0598185j -0.00347034-0.0380631j 0.0230793+0.0332514j -0.00997997+0.00899211j -0.00304969+0.0435283j -0.00295941-0.0208008j 0.0490016-0.0125951j -0.0199142-0.0159244j -0.032871-0.0223573j 0.0237986-0.0228745j 0.0263807+0.044398j -0.00522009-0.032677j -0.0289996-0.0381104j -0.00618092-0.00640061j -0.0254351+0.0548814j -0.00409327+0.0443504j -0.0133867-0.0439486j -0.00382395+0.0399367j -0.0122222+0.0416439j 0.00769435+0.00610395j -0.00981444-0.011891j -0.00957157+0.0106688j 0.000800707-0.00473033j -0.0320879+0.0397631j 0.0292417-0.049204j -0.0236842-0.0195901j -0.014109+0.0198542j 0.0388818+0.015041j 0.0243527-0.0128417j 0.0217322-0.00696563j 0.0398962-0.0027441j 0.00891618-0.0254362j -0.0512145-0.0246541j -0.003184+0.00585742j -0.0287723-0.00213891j 0.0345376-0.0295954j -0.0376271+0.0137194j -0.0163856-0.0177886j -0.013006+0.0643246j 0.0020532-0.0110245j -0.0471051-0.0335655j 0.0140803-0.0770767j -0.0775803+0.00274584j -0.00276881+0.00763705j 0.018526-0.00215993j -0.0133777-0.0198995j 0.0256522-0.0104494j 
-0.0198793-0.0258385j -0.0151089+0.0204802j -0.011057+0.024832j 0.0337+0.0159841j 0.0734673+0.0364939j -0.0290671+0.0672791j -0.0271169-0.0145275j 0.0482742-0.0265211j 0.0522138-0.0476667j -0.0338268-0.0287516j -0.0449824-0.0236756j -0.0438904-0.00352977j -0.0209746+0.00991172j 0.0114791-0.0056136j -0.0106171+0.0348786j -0.062578-0.0229026j 0.00483304-0.0223943j 0.00119685-0.027672j -0.00159199+0.0232751j 0.0187422+0.0120536j -0.0441178-0.0190816j -0.0320203-0.0124128j -0.00733862-0.0143679j -0.0140785+0.0497691j 0.00161641+0.0311732j -0.0278774+0.0075481j -0.0297666-0.0317416j 0.0196738+0.0292439j 0.0141111+0.0201721j 0.0011127-0.0192459j -0.0315-0.025519j -0.0157179+0.0516885j 0.0112037+0.0242377j -0.00404926+0.0798571j -0.00564304-0.0230781j -0.0112077+0.0232236j 0.0216612-0.0283041j 0.040606-0.00827251j -0.0168895-0.0629727j 0.0415846-0.0162884j -0.0742781+0.0171889j 0.0158232+0.00167569j 0.017571-0.00992812j 0.0430453+0.0305186j -0.0261252-0.000692313j 0.0186329-0.00919185j 0.00137919+0.0617237j 0.0268992-0.00462564j 0.0458187+0.071794j -0.0652237+0.0277544j 0.0199167+0.01409j -0.0142936+0.0232743j 
0.0254168+0.0174332j 0.0176051-0.0276237j -0.0236224+0.0147945j 1.60464e-05+0.0140471j -0.0311952-0.0301013j 0.0314978-0.00824209j 0.0139382-0.0267551j 0.0169852-0.0324789j 0.0162561+0.0175899j -0.0434624-0.00679169j -0.0308075-0.0378526j 0.0960084-0.016528j 0.0437931+0.072659j 0.0504238-0.0155086j -0.0482919-0.0327113j 0.0327583+0.0418414j -0.0244132-0.0209181j -0.00705585+0.0385864j -0.0495553+0.00480307j -0.0392359+0.0077909j -0.0210835+0.0114631j -0.0236864-0.00530282j 0.0157016+0.0163564j 0.00606522+0.0519491j -0.0201819-0.0257349j 0.0131031-0.00810137j 0.0946126-0.0218446j -0.0370652+0.0025975j -0.0106298+0.0237478j 0.0325414-0.0411625j 0.0288456+0.0451029j 0.0192157+0.025978j 0.00820756+0.00810214j 0.0061121-0.0741836j 0.0506395+0.0335742j 0.00639152-0.0190796j -0.0220696-0.0174843j -0.00119205+0.0279727j 0.0371943-0.0183535j -0.00933602+0.00313053j 0.0663328+0.0273039j -0.0438727+0.0157191j 0.00378197-0.0175583j -0.0381518-0.0210044j -0.02373-0.000539279j 0.0253644+0.0377583j -0.00531358-0.00300909j -0.0812581-0.0423547j 0.0101632-0.0015393j 0.00776946+0.0379526j -0.0531398+0.00942445j -0.00464114-0.0342522j 
-0.00967448+0.00150178j 0.0158887+0.00985474j -0.0221018+0.0456555j 0.0370363+0.0142824j 0.0307566+0.0429471j -0.0149613+0.0543081j 0.0137744-0.0366596j 0.0491694-0.012673j 0.00407167+0.0013432j -0.0408774+0.0392925j -0.0618294-0.0451225j 0.0620463-0.0169943j 0.00909044+0.0333296j 0.0263585-0.0124084j -0.0127658-0.0131462j -0.0237072+0.033972j -0.016648-0.0423428j -0.0160321-0.00662288j -0.0274329-0.00416004j -0.0146968+0.0397825j -0.0671556+0.0277959j -0.0466718-0.065428j -0.0134464-0.00716008j -0.019312+0.0977675j 0.0138164-0.0265683j -0.00537088-0.00556598j 0.0496974-0.0148945j -0.00388413+0.031589j 0.0239876+0.0692923j 0.0888624-0.0708713j -0.0477513-0.0264021j 0.0225938+0.0920735j 0.0375158+0.0185254j 0.0219833+0.00717133j 0.0723579-0.00822777j 0.0119813-0.0242508j 0.00539562-0.0527644j 0.00850284-0.0262389j 0.0595059-0.054638j 0.0245674-0.024779j -0.0168517-0.0224659j -0.0178303-0.0038474j -9.45885e-05-0.0492024j -0.0420659+0.0713012j -0.032386-0.0302537j 0.0290406-0.0336404j -0.00283156+0.0151476j -0.0461281+0.0078554j 0.0638564+0.0580691j -0.0446383+0.0574517j -0.0240569-0.00180873j 0.0130146-0.0129238j 
-0.0232128+0.0330924j 0.0483884+0.0469017j 0.0279045+0.0607276j 0.0839723-0.00358678j -0.0211736+0.132229j -0.0441712+0.0986407j 0.0766691+0.0167322j -0.0600918+0.0307822j 0.000218699-0.0142575j -0.0200491+0.0523256j -0.0241084+0.0587905j -0.0673477+0.0152765j -0.0488623-0.109452j 0.0910511+0.033663j 0.0357616-0.00597002j -0.0718803-0.055722j -0.0604515+0.0686956j -0.00232687-0.00674021j 0.0872933-0.0470302j -0.00318878+0.00651983j 0.000263446+0.0372214j 0.0287263+0.0084759j -0.0612266+0.0360052j -0.0117066+0.0484084j 0.0453402-0.00801281j 0.0144073-0.01153j -0.0439854+0.0760068j -0.00022804-0.0848427j 0.0669329+0.00557278j 0.0651843+0.0595252j -0.0875633-0.065269j 0.00463169+0.0576749j -0.0437244-0.0614007j 0.00575267+0.0264899j 0.064421-0.0643356j 0.0359644+0.0267199j -0.0397205-0.00768914j 0.0919319-0.055673j 0.116804-0.0911953j 0.0388963-0.100456j -0.0213213-0.0118114j -0.0512112+0.0338544j 0.036195-0.0086409j -0.0438589+0.048554j -0.000472325-0.0446325j -0.0454571-0.0856959j -0.0723077+0.0338944j 0.125657+0.158432j 0.0685031+0.0465109j -0.0339861+0.0292465j 0.0601486-0.036261j 0.0237853+0.0474594j 
