0.0173747-0.0128954j 0.00231963-0.027941j -0.0341325+0.0723206j -0.0299306+0.00645839j 0.00890108+0.0254152j -0.015244-0.00790507j -0.0108137-0.0387338j 0.062136+0.00615173j 0.030112+0.0174744j 0.00193657+0.000513323j 0.0201773-0.0322359j -0.030102-0.0125383j 0.0209741-0.0241118j 0.0257005-0.0189746j 0.0146551-0.0093646j 0.0143722-0.00367566j -0.0424017+0.0295723j 0.00400618+0.0238154j -0.0133875-0.00223758j -0.00672796+0.00631287j 0.000872898-0.00560165j 0.00356941-0.00936399j -0.00407209+0.00354917j -0.0170662+0.00207784j 0.0186331-0.0151526j 0.00389417-0.0352353j -0.0139096+0.00965029j 0.0236084-0.0253928j 0.00220451-0.0283364j 0.00179346+0.00851374j 0.00727822+0.000722948j 0.00247738+0.0181481j -0.0111761-0.0114863j 0.0196836-0.00904546j -0.00128108-0.00427826j 0.0180652-0.00776401j 0.0294773+0.0311147j -0.00107324+0.0172019j -0.00284855+0.00755867j -0.000715037+0.0249056j -0.0154312-0.0135282j 0.00159496-0.00225781j 0.0219638+0.00787649j 0.047509+0.00166684j 0.000142249-0.00628108j 0.0271001-0.0123824j -0.0153251+0.00829348j 0.0205853-0.0271089j -0.0226987-0.00682317j 0.0289335-0.0177949j -0.0094869-0.00607663j -0.00611954-0.0116685j 0.0341987-0.00347589j -0.0256315+0.00638463j 0.0463092-0.00403888j 0.0288228+0.0261972j 0.000927004+0.0158253j 0.00199671-0.0234198j -0.00134194+0.0275902j 0.0100711+0.0372379j -0.00931202-0.0382067j -0.0131505+0.00739443j 0.0608878-0.00707085j 0.0154793+0.00739319j 0.00373465+0.0178957j 0.00720706-0.0228658j -0.0061138-0.0108517j 0.00816948+0.0022958j -0.00283268+0.0508385j -0.00594168+0.0125788j 0.000333675-0.0288163j -0.0275927-0.0353459j -0.00421754+0.00343437j -0.00144504+0.00812779j -0.00769466+0.00332258j -0.00619246-0.0106546j -0.00992441+0.0527971j -0.0176791+0.0103874j -0.0201019-0.0204474j -0.025786-0.0169709j -0.0544072+0.0134325j 0.0275156+0.0680645j -0.0315222+0.034786j 0.056407+0.024607j 0.0297929+0.0322108j 0.00250299-0.0175524j 0.0273731+0.0382064j 0.0283543-0.0329606j 0.101668+0.00651305j 0.00872643+0.0245446j 0.011736+0.00473422j -0.0256874-0.0969196j 0.163391-0.017889j 0.00130895+0.0162j 0.0306962-0.0167431j 
0.00637066-0.0291335j -0.0229707+0.00428568j -0.0516907+0.0109841j 0.00337408-0.0525621j -0.0203987+0.00193086j -0.0145584-0.012973j 0.0543672-0.0227406j 0.0140216+0.0154813j 0.00727996+0.00813548j 0.00422257-0.0293516j 0.0194606+0.013139j -0.0227611-0.0210485j 0.00416682+0.00475863j -0.00335489-0.0329586j 0.00431793+0.0180814j 0.00889402+0.00724458j 0.0019134-0.0038621j -0.00085512-0.00881108j -0.0019791+0.0341491j 0.00515736+0.00633004j 0.00697101+0.014545j -0.0230437-0.0166444j 0.0317526+0.0186355j -0.0217679-0.0173466j -0.00258227+0.0137215j 0.0094456+0.014943j 0.0129199+0.0135627j -0.000143279-0.00846045j -0.0108035-0.0178239j 0.0147299+0.0047374j 0.0033636+0.0134929j 0.0260853+0.0046769j 0.00380611-0.0138526j -0.00517758-0.00275073j -0.00298369+0.000389573j -0.0276525-0.00623404j 0.00541532-0.0355069j -0.00436765-0.00867126j 0.00865713+0.00570394j 0.019676-0.02462j -0.0143707+0.0147974j 0.00885938+0.0015487j 0.00941361-0.0173067j -0.00313225-0.0255666j 0.00734603+0.0152033j 0.00255527-0.0399954j -0.0108502-0.0126389j 0.00602457+0.00378983j -0.0114381-0.011449j -0.0146942-0.029386j 0.0119496+0.0253803j 0.00244328+0.00455219j 0.00634055-0.0229145j 0.0399835+0.00336517j 0.0207657-0.00996303j 0.0027955-0.0266904j 0.0275773-0.0177288j -0.0332928+0.0248786j -0.00238782-0.00629488j -0.0346044+0.00717031j -0.0362999+0.00771101j 0.0344378-0.00210618j -0.0271336-0.0147702j 0.0154179+0.000602004j 0.00876807+0.0131376j -0.0384363-0.0275529j 0.0306381+0.0234084j -0.0194773-0.0048554j 0.0276722-0.00609949j 0.0166937+0.0244046j -0.0392087-0.00799228j -0.0333814+0.0133085j 0.022714-0.00927911j 0.0355764-0.0319544j 0.00412333+0.0314187j 0.0141856+0.0263895j -0.0331392-0.00857563j -0.0242521-0.0234124j -0.00965275-0.00577276j 0.0132287-0.0293796j 0.00275168-0.0187864j -0.00366644-0.0207872j -0.0452417-0.0155002j -0.0464598+0.0513221j -0.0502089+0.0218895j 0.0219385+0.0108615j -0.0281887+0.0101867j 0.01668-0.0635111j 0.0106707+0.0881901j -0.033343+0.00565561j -0.00258542+0.0101839j 0.125923-0.0142438j 0.0345196+0.115988j -0.0170968+0.0235049j 0.00321599+0.0322507j 
0.000597549+0.00608595j 0.00705694-0.00316407j 0.0821025+0.0174933j -0.0259775+0.0287129j 0.0218279-0.00662802j -0.00105113+0.0048377j -0.0506907-0.00174907j -0.0241344-0.000979259j 0.0275174-0.0100205j -0.0218533+0.034171j -0.0277523+0.00501555j 0.052127+0.0197458j 0.00197858+0.024645j -0.0125892+0.0653369j -0.0167555-0.0297287j 0.0125975-0.00939619j -0.0166876-0.00792932j -0.0217638+0.000826552j 0.0230359-0.0275067j -0.0114949-0.010472j 0.011406-0.031027j 0.0293011-0.0104613j -0.0409734-0.00811097j 0.0256254+0.0090074j 0.0216133-0.0119394j -0.0087611-0.0192123j 0.0138834-0.000159482j 0.00901832+0.00216549j 0.0328058+0.0251448j -0.0131865-0.00948074j -0.0170158+0.015905j -0.029705-0.0249582j 0.0165694+0.00856224j 0.00764935+0.00568105j 0.00434256+0.00558358j -0.00724714+0.0181994j -0.0102449+0.019735j -0.00309474+0.00673947j -0.0105453-0.00503895j 0.0207141+0.0256093j 0.00082273-0.0417944j -0.0134846+0.0110445j 0.0258484+0.0201316j -0.0117151+0.0240208j -0.0307456-0.00351815j -0.00245621+0.00506542j 0.0171799+0.0349058j -0.0206831+0.0100077j 0.0246883+0.0281589j 0.0314599-0.00914306j -0.0194836-0.00896122j -0.0169838+0.0122763j -0.0313057+0.00954245j -0.00573529+0.0232038j -0.0510072-0.00624211j 0.0140876+0.0153715j 0.00801976-0.0230949j 0.0142665+0.00154295j -0.00561209-0.00664741j 0.0157673-0.0128931j 0.0274894-0.0114421j -0.0424495-0.0136887j -0.0344292-0.000203271j -0.0339068-0.0203117j -0.050764-0.0185631j 0.00233342+0.00521877j 0.0177923+0.0163958j -0.0235776+0.0182894j -0.00395523-0.0284124j -0.0331611-0.00981847j 0.0259863-0.0111496j -0.0132385+0.015173j -0.00901003-0.045587j -0.0412019+0.0287906j -0.0219319-0.0201735j 0.0191793-0.00637227j -0.0206681+0.0211886j -0.0301071-0.0321171j -0.0140383+0.00862411j 0.0197939-0.0424851j 0.060934-0.00133918j -0.0449193-0.0229791j 0.0934438+0.0332932j 0.00547166+0.0182398j -0.0405466+0.0539084j 0.0681119-0.00252496j -0.00567631+0.071334j -0.113421-0.00989717j -0.0315608-0.0357383j 0.0121377+0.016664j 0.0193307-0.00929293j 0.0117844-0.0426535j -0.042529-0.0296317j -0.0197042+0.00502888j -0.0141986+0.00244636j 
-0.0162491+0.00206163j -0.00287198+0.0122668j 0.0388-0.0393388j 0.0325718+0.00911014j 0.0213155-0.0181079j 0.00914494-0.00929745j -0.00593699+0.03646j -0.0261522-0.0437405j -0.0267374-0.0246869j 0.0408211-0.0300714j 0.0109691-0.0097369j 0.0341055+0.00807674j -0.0189891+0.00567413j -0.0122047-0.0143357j -0.00463814+0.0468811j -0.00392895-0.00505758j 0.0496554-0.0380247j -0.00604842+0.00376661j -0.026555-0.0338107j -0.0184186-0.0197189j -0.0211923+0.00329525j -0.0145798+0.0315397j 0.016697-0.0326091j 0.0213424+0.0152556j -0.0285452-0.00160803j 0.0271004+0.0268215j -0.00611265-0.00261199j -0.0297472+0.0203976j -0.0231008+0.0549576j 0.00405867-0.00299482j 0.00715245-0.0430158j -0.0124474-0.0151809j 0.0250446-0.00522833j -0.00998719+0.0184276j 0.00308031+0.00183354j 0.0269338-0.00418108j -0.017924-0.00134638j -0.0471936+0.0100792j 0.0157908-0.027024j -0.0417957-0.0247831j 0.0126984+0.0323558j -0.00511447+0.00247962j -0.0365062-0.00616643j -0.0195532-0.0253873j 0.0272318-0.0200911j -0.0107299+0.0404645j -0.00246918-0.0301007j -0.0288668+0.0138653j -0.00924092-0.00709667j -0.0198444+0.0119819j -0.0113826-0.00448053j 0.0167374+0.0232652j -0.0212199+0.0196679j -0.00941219-0.0212048j -0.0594669+0.0463793j -0.042094-0.0137193j 0.00218355+0.0140029j -0.0135792+0.00958654j 0.00466162-0.00555567j -0.0122217-0.00788278j 0.0371942+0.0345655j 0.0592796+0.00955215j -0.0288216-0.0199109j 0.00287385-0.0449117j 0.0161986-0.0114458j -0.00471181+0.0313029j -0.00771669-0.0328341j 0.0280231-0.0159233j -0.0226771-0.0077099j -0.0053409-0.00277466j -0.0547397-0.0139289j 0.0171435+0.0615202j -0.0633981+0.00384878j -0.00338166-0.013873j -0.0203675-0.0108482j 0.0388067+0.004296j 0.0112741-0.030769j 0.0303918+0.0177142j 0.0323399-0.0169303j 0.0153062-0.0186423j 0.0228332-0.008921j -0.0186698-0.0667274j 0.00153419-0.0476219j -0.0421298-0.0572591j 0.111276-0.0325299j 0.0198739-0.0393931j 0.0136841-0.00991265j 0.0198919+0.0331236j -0.0425512+0.00516602j 0.0198805-0.0284952j -0.0224854-0.00282653j 0.00461964+0.0202811j -0.047731+0.021131j -0.00849332+0.035773j 0.0240411+0.0114079j 
0.00484583-0.00639955j -0.015146-0.00323955j 0.0376377-0.0157638j -0.00597779-0.0184755j -0.00160244-0.00671748j 0.0095309-0.00820009j 0.0109036+0.038076j -0.0476439+0.002514j 0.0464042+0.00696497j -0.0520572-0.00482194j -0.0239255+0.00604906j 0.0283841-0.00992296j -0.0301741+0.0150574j -0.0140569-0.0268298j 0.0128701-0.00244789j 0.0113973+0.0157233j 0.017669-0.0269277j 0.0397417-0.00555358j 0.0224383+0.0281036j 0.0208409+0.00492558j 0.0294316+0.0478338j 0.00385931-0.0403042j 0.0244037+0.00323064j 0.0184545-0.0139622j -0.0209469+0.0327512j -0.0261185+0.0431486j 0.0097783-0.000455648j -0.025587-0.00237507j 0.00936629-0.00266j 0.00112324+0.0319472j 0.00564491+0.00866426j 0.0262444-0.00900675j 0.0329506-0.00349657j -0.00122556-0.00564843j 0.0138351+0.00100708j -0.0502736+0.0540951j 0.000643572-0.0346744j -0.00279652-0.0350097j 0.0129871+0.00603183j 0.0641402-0.0141272j -0.0187412-0.000275433j -0.00391641-0.00244381j 0.00752626-0.0334901j -0.00245118-0.0154522j 0.020602+0.0048762j -0.00149179-0.0387074j 0.0115773-0.00731907j 0.0106922+0.0072201j 0.0150871-0.0132029j -0.0110966+0.0329783j -0.00827266+0.0438116j -0.00433658+0.0369056j 0.00717508-0.0231733j 0.0654451-0.0118846j -0.0478885-0.0320692j -0.0469032-0.0243701j -0.0234438-0.0105722j -0.0455946+0.0361557j -0.0246316+0.00429849j 0.00981174+0.0456095j -0.0207569+0.0328784j -0.050752-0.0251798j -0.027869+0.0351007j -0.0166752+0.0113319j 0.0137219+0.0386742j 0.0010585-0.00213116j 0.0208028-0.00461501j 0.00156221-0.00882775j 0.0375504-0.00558242j -0.0158905+0.00161801j -0.0323212+0.00482385j -0.019665+0.010115j 0.0361236+0.048681j 0.00472501-0.0156586j -0.0424992+0.0201145j 0.0116737+0.020483j -0.00377282+0.0156211j -0.0244734-0.0564394j -0.0111346-0.0448555j 0.02466-0.0211679j 0.0417792-0.0419591j -0.0725677-0.0780212j -0.00101041+0.0163802j -0.0825482+0.0867508j -0.0720582-0.046354j -0.0269969-0.0261914j -0.0125243+0.057651j -0.0480858-0.0586034j -0.00115872+0.0229415j -0.0260456-0.00146118j -0.00384703+0.020031j 0.0490735-0.0427804j -0.000813095+0.0193154j 0.019684+0.0218221j 0.000596882-0.0332499j 
-0.00981895+0.0225996j 0.0130335+0.00179971j 0.030448-0.0155467j 0.0278774+0.0205079j 0.0220676+0.000563643j 0.00276782+0.0106126j -0.0409675+0.0229564j -0.00892403+0.0149211j 0.00966409-0.0469091j 0.0290342+0.0204063j -0.0177594-0.0136762j 0.0087804+0.00569429j 0.0427574+0.0101534j 0.00294451+0.0522101j -0.0205276-0.0242068j -0.0264817-0.0150253j 0.0118971+0.00107874j -0.0144943-0.00985954j -0.00905899+0.0138011j -0.0154238+0.00409299j -0.00974155-0.0509252j 0.0425808+0.0299614j -0.0282235-0.0190413j -0.0139258+0.0129588j 0.0261867+0.00437593j 0.0105736-0.0695211j -0.0108993+0.0116948j 0.0513288-0.0121608j 0.0284667-0.0384081j 0.000405308-0.0346249j -0.024844-0.0304196j -0.0531632-0.0264939j 0.00103251+0.00810844j -0.00482838+0.0130901j 0.0241277+0.00577226j 0.00681572-0.0183572j -0.00652322+0.00638557j 0.0187252+0.00548726j -0.0103784+0.00512305j -0.0540137+0.0239688j 0.024484-0.0348397j 0.00177688+0.000864217j -0.0169259+0.0391419j -0.0192137+0.0431125j -0.0216229-0.0368519j 0.00217968+0.0146635j 0.0658277+0.0182013j 0.00525001+0.0105735j 0.0353173-0.00493839j 0.00479448+0.00133218j -0.00677463-0.0400877j -0.0207097-0.0475143j 0.0316907-0.0459484j -0.0199617-0.0152063j 0.0116088-0.0438329j -0.0123117+0.0122348j 0.00811713-0.0195697j 0.00769604-0.0470911j -0.00766189-0.0153974j 0.0146323-0.0635435j -0.0121666-0.0171138j 0.022699+0.0368473j 0.022533-0.00360138j 0.0337085+0.00564609j -0.0276637+0.00981311j 0.0167395+0.00771467j -0.0291819+0.0209892j -0.0076847+0.000560996j 0.0220444+0.0137036j 0.011286-0.0247495j 0.071368-0.0107171j 0.0244696-0.0231307j 0.0320923-0.0433366j 0.0753766+0.0204335j 0.0224166+0.0248545j -0.0184467+0.0120957j 0.00124574+0.0082427j -0.0539255+0.046318j 0.00463758+0.00409705j -0.0475455-0.00483208j 0.0260307+0.0156753j -0.0500119+0.0637273j -0.0393526-0.0199011j 0.0610148+0.00130526j -0.0501125+0.0273963j -0.0669748-0.00723087j 0.0990047+0.0299382j -0.0161023+0.077658j 0.000857783-0.0703273j 0.00352231+0.00644526j 0.0121705-0.0151365j -0.0447047-0.00747164j 0.00314817-0.0518604j 0.00688409-0.00171384j 0.0133457-0.013993j 
-0.0146823+0.000786102j 0.00784873+0.0122421j 0.0950233+0.0617465j -0.0446989+0.0238547j 0.0414262+0.0124412j -0.0252914-0.0157472j -0.0428845-0.0679664j -0.0285325+0.00910071j 0.0487585-0.0263434j 0.0115788+0.0807475j -0.023522+0.0246471j 0.122818+0.0386901j 0.0104404+0.102095j -0.0531689+0.129065j -0.0236603-0.0421494j 0.0287211-0.0236782j 0.00915525-0.0540282j -0.10407+0.0188793j -0.0593415+0.00400585j -0.0186623-0.0404144j -0.0437273-0.10651j 0.0673588-0.0220813j -0.0765201+0.0201337j -0.0287293+0.013578j 0.0186112-0.0288233j 0.00609216-0.106059j 0.0442855+0.139674j 0.0433526-0.0331494j 0.0257304+0.0167207j -0.0269426-0.0186636j -0.0427212-0.0190808j -0.056902-0.0344722j 0.0412208+0.0193549j 0.0270529+0.0467108j 0.0621424+0.0516369j -0.0316964+0.0296607j -0.00873059-0.00534456j -0.049721+0.024683j -0.0385036-0.0486181j 0.02178+0.00454856j -0.00560007-0.0994919j -0.0491828-0.0665255j 0.0637595+0.0238884j 0.00441644+0.035823j -0.0639923+0.00620876j -0.0411911+0.0455512j 0.0244964+0.0231157j -0.0144837+0.0177953j -0.0189254-0.000806566j 0.00586111-0.00624608j -0.0356988+0.0142233j 0.00867239+0.0372184j -0.00202531-0.0235337j 0.0257646+0.00849582j -0.0383144-0.0357181j -0.0209989+0.0483248j -0.024303-0.0242351j -0.0221926+0.0107699j -0.0134729+0.0185207j -0.00976995+0.00485039j 0.0488858-0.0153615j 0.00526298+0.0153108j -0.0299001-0.0409519j 0.00516406-0.00769373j -0.0662084-0.00856168j -0.0375064-0.0270741j -0.0150166-0.00597944j -0.0117484+0.00549459j -0.00373626-0.00509445j 0.00188299-0.000947491j 0.00693237-0.0173428j -0.0274157-0.0100384j -0.0137477-0.0754503j -0.0249766+0.0630765j -0.0964633+0.0299162j 0.0182407-0.00576094j -0.0278483+0.0141591j -0.0328196-0.0209409j -0.0285756+0.0278398j 0.0389185-0.0419009j 0.0137041+0.0504469j -0.0183164-0.0286598j 0.0408754+9.73397e-05j -0.0386391+0.0319406j -0.0212345+0.0423714j 0.0539722-0.0147636j -0.00293044+0.0433365j -0.0623622+0.0129983j 0.0292533+0.0141064j -0.00197136+0.00787447j -0.00145229+0.00321553j 0.0117807-0.0476627j -0.012176-0.00872899j 0.00174734+0.0109783j -7.0589e-05+0.00849037j 
-0.00568028-0.0157373j -0.0199597+0.0123006j 0.0648507-0.0500795j 0.0308746-0.0411752j 0.0261132-0.0417667j 0.0149743-0.0268211j -0.0273978+0.124106j 0.00340793+0.0126373j -0.0349076+0.0134768j 0.030583-0.0578344j 0.0259609+0.00567239j 0.0594254+0.0460344j -0.0399391+0.0171063j -0.0308142-0.0296028j 0.00103587+0.035935j 0.0360924+0.052399j 0.0711147-0.0820909j -0.00228321+0.0292869j -0.0054428-0.104858j -0.025173-0.0361901j -0.0206881+0.00838972j -0.0341297+0.067957j 0.0186996-0.101226j 0.0456593+0.0369905j -0.0363025+0.0301247j 0.0689125+0.0769828j 0.0194102-0.0399898j -0.0570924+0.0264817j -0.0439233+0.0764624j 0.00666037+0.0152185j -0.0148365+0.003868j -0.00921263-0.0577217j 0.0927468-0.0805982j 0.0201355+0.0458868j 0.00454321-0.0536781j 0.0573421-0.0109618j -0.0296912-0.0922444j -0.0461724-0.0388052j 0.0882078+0.0245051j -0.0497739+0.0410454j -0.0123869+0.0229375j 0.00310838+0.0380256j -0.0770795-0.0639699j -0.0623018-0.0646204j -0.002435-0.0706382j 0.0480895+0.040553j -0.00513851-0.00616588j -0.016891+0.0353759j -0.0118504+0.0344886j -0.00529757-0.0169335j -0.0587492-0.0429462j -0.0333052+0.0180688j -0.0675347+0.025109j 0.0144661-0.0343933j -0.0816789+0.0122731j -0.0210848+0.00907749j -0.0495049-0.00543626j 0.0544915+0.000124441j 0.00355743-0.0238403j 0.0116338+0.00595681j -0.0218194+0.000146653j 0.0322129-0.0276799j 0.0076759+0.0764117j -0.0296853-0.0183803j -0.0841947-0.0136397j 0.0295645+0.0619329j -0.0109232+0.0125362j 0.02251+0.0339467j -0.00408772-0.0262856j 0.0222955-0.00468973j -0.0721919-0.0190485j 0.0319854-0.0195934j -0.0159522-0.0523579j 0.0194008+0.0296544j -0.0254637-0.0697493j 0.00128616+0.0239455j -0.00050963-0.0121398j 0.0436528-0.104208j 0.025242-0.0110987j 0.0394281-0.0746374j 0.00170053-0.0574623j 0.0087511-0.0735384j -0.0196729+0.0517916j 0.0291859-0.0223563j 0.0518507-0.0160042j -0.0152403+0.00732491j 0.00483968+0.0484359j 0.0659593-0.022777j -0.0811582-0.0770478j 0.00555584+0.011951j -0.0141981+0.00693329j 0.000622764+0.00261169j -0.09651-0.00677928j 0.00972511+0.0179563j -0.0366384+0.00181053j 
0.00303697-5.96718e-05j 0.00514816-0.00845304j 0.0477717+0.0129693j -0.0429045-0.00391411j -0.030298+0.0235083j 0.00485348+0.0277519j -0.00140497-0.00251469j -0.0308752-0.0743606j 0.047339+0.00916322j -0.0269094-0.0204366j 0.0466108-0.0425003j 0.0540424-0.0617729j -0.119838-0.0545786j 0.0312537-0.14409j 0.0502697+0.0911776j 0.0585727-0.0332033j 0.0401967+0.00604245j 0.10809+0.076963j 0.0916856-0.15915j 0.0447505+0.0880359j 0.0469949+0.267898j -0.0418781-0.116568j 0.174126-0.0351059j 0.151368-0.000219796j 0.00904958+0.0291931j -0.074781+0.240319j -0.0898759-0.179954j -0.0767886+0.0286169j 0.0444429+0.105708j -0.0390075-0.0499115j 0.0156432+0.0133526j -0.0745511+0.0479676j 0.0566219-0.0502634j -0.108072+0.0170775j 0.0482636+0.00788909j 0.0158721+0.155595j -0.00527126+0.191999j -0.0582713+0.0315686j 0.0187336-0.0224323j 0.0495019+0.0722979j -0.0217964+0.108311j -0.00259432+0.0785472j 0.0605902-0.00673191j 0.0884718-0.0660087j 0.00908036-0.0946528j -0.0576556-0.137224j -0.029176+0.0517525j 0.0217126-0.0585417j -0.0340739-0.047006j -0.0135068+0.114412j 0.00467541+0.130193j 0.0525245+0.0272702j -0.00127117+0.029732j -0.00266446+0.000895694j -0.0156511+0.029261j -0.0635228-0.0275775j -0.00469929-0.015299j -0.0530946-0.00953901j -0.0201704+0.01532j 0.00613434+0.0570155j 0.0146725+0.0685757j -0.045863-0.00287299j -0.012669-0.00136129j -0.00373106+0.0279518j 0.031837+0.0391304j -0.00585237-0.0392771j 0.0341789-0.0348395j 0.0158295-0.0267793j -0.0336135-0.0095885j -0.0204057+0.0354602j -0.0102324+0.0025493j 0.0252713-0.0130621j -0.0211565+0.0958878j -0.0121475-0.0188534j -0.0534068+0.00396939j 0.00573483-0.0456085j 0.00115942+0.00329171j -0.000243773+0.023134j -0.0201853-0.00213269j -0.0218182+0.0351424j -0.00551403+0.0173763j -0.00204659-0.0435572j 0.0229679+0.000625728j -0.0748889+0.0228392j -0.0200661-0.0647734j 0.0100356-0.0104973j -0.0259451-0.0197136j -0.0811937-0.0143169j 0.0478809+0.0462339j -0.00978766+0.00478945j 0.00571575+0.004203j 0.00662972-0.00132353j 0.0191098+0.0268343j -0.0228156-0.000519765j -0.00549931+0.00422401j 
0.00629337-0.00622404j -0.0117919+0.0128945j 0.0122208-0.00667149j 0.0493463+0.0219066j -0.00617007+7.40319e-05j 0.0185064-0.000744899j 0.0298136+0.0195566j 0.00465676-0.0926747j -0.0286441-0.0540213j 0.105507+0.016475j 0.0491402+0.0628911j 0.0330479-0.00203905j -0.0629988+0.0132095j -0.0200954-0.0921343j -0.0151698+0.0231595j 0.0209839-0.0221163j 0.0905581-0.0460649j -0.0672168-0.00365643j -0.00733428-0.0660967j -0.0753777-0.0530809j -0.0286706-0.00477325j -0.068954+0.0466547j 0.000356437+0.00515553j 0.0187495-0.0291125j 0.0114343+0.020677j 0.0688907+0.0291297j 0.0544206+0.100021j -0.0665532+0.0377557j -0.0955595+0.111078j -0.0526185-0.0200728j 0.00469763+0.000436207j -0.0142147+0.0678668j 0.0577389-0.0681342j 0.0428032+0.0433209j 0.0798288+0.0356023j -0.0175926-0.0219204j -0.0070764-0.0234914j -0.0682946+0.0267428j 0.0478732-0.0776319j -0.073766-0.0324337j -0.0104281+0.0729836j -0.0305162-0.0723147j 0.024523-0.00562405j 0.0208577-0.0606654j -0.0109925+0.00128194j -0.0434853+0.0129804j -0.136271-0.0675606j -0.00314027+0.00107791j -0.0679358+0.0152048j -0.0736983+0.0648141j 0.00857746+0.0597268j -0.00506921+0.0254468j -0.0328828+0.0499144j 0.0425254+0.030501j -0.0506469+0.0702355j 0.00366832+0.000658365j 0.0650953-0.015946j -0.00629179-0.00880056j 0.00789622+0.00193487j -0.033855+0.0342342j -0.0225003+0.0279125j 0.0113458-0.0120979j -0.0684961-0.0369254j -0.0258579-0.0574898j -0.0322538-0.0230252j -0.0171995+0.0192299j -0.0285009+0.0426679j -0.0155806-0.00331287j -0.0410273-0.0227067j 0.0501118+0.012991j -0.0495792+0.0245292j -0.0165167+0.0503943j -0.0692552-0.0156935j -0.033106-0.0364141j -0.0329729+0.0670075j 0.0195774+0.0207303j 0.00337204-0.080707j -0.0042324-0.0028667j -0.00221471+0.056223j 0.0391288+0.0302004j -0.0196845+0.0443411j -0.0431139-0.0208929j 0.0978383-0.0470139j 0.0152346+0.0228318j 0.0508819+0.0408718j 0.0731315+0.0275633j -0.0175311-0.0232374j -0.0191192+0.0274492j -0.0347828+0.0475372j 0.0228417+0.00219129j -0.0138518+0.0168882j 0.0202885+0.0144047j -0.0443122+0.0324212j -0.00147315-0.0173922j -0.0334954-0.0159818j 
0.00168155-0.00461714j 0.000354862+0.0025053j -0.019053+0.00536897j 0.0101069+0.0169835j -0.0227251-0.00405156j -0.0161413-0.00200208j 0.0668736-0.0496126j -0.0664184-0.0342499j 0.0606654-0.026239j -0.0313615+0.023221j -0.0490266+0.0928531j 0.0326817-0.0107458j -0.0198066+0.0555967j -0.0236405+0.00954505j -0.0248695-0.0505465j -0.0388706+0.0189517j 0.0216232-0.0426266j -0.0241363-0.0741705j -0.0750077+0.193941j -0.0107668-0.0456956j -0.0324055-0.109033j 0.0122749-0.0220473j -0.0694182+0.140154j -0.0956278-0.0784465j -0.0675913+0.00455279j -0.0452836-0.0705164j 0.0615523+0.218944j 0.0107323-0.0160752j -0.0738118-0.0304305j -0.0200857+0.0851394j 0.0647859+0.00616888j 0.102114+0.0299803j -0.0358739+0.0509418j 0.0469764-0.0238636j 0.0310267+0.0584592j -0.141732+0.0224082j 0.0598062-0.10386j 0.00241031-0.0139746j -0.0411757-0.0670194j 0.0831502-0.129741j -0.0237641-0.046152j -0.0365242-0.154031j 0.0068825-0.0330352j -0.00987058-0.0134475j -0.00648622+0.148071j -0.107792+0.0855943j -0.0753024-0.120557j 0.0483442+0.042696j 0.00625091-0.0150749j -0.064896+0.0841269j 0.0629958+0.0608934j 0.0216112+0.0613834j 0.0380749+0.028105j 0.122879+0.0119225j -0.0293434+0.0144461j -0.118374-0.0555419j 0.0331549+0.0188569j -0.0821962+0.0239227j 7.68732e-05+0.00885105j -0.0471249+0.128384j 0.0364979+0.0732277j -0.0190085-0.0532386j 0.0241994-0.0107234j -0.0431245-0.00220528j 0.0485789+0.0304546j -0.010279-0.0588761j 0.0303352+0.0296024j -0.0492323-0.00534735j -0.0113714-0.0273265j 0.0106593-0.0217808j -0.0131707+0.043141j 0.00635661+0.0200851j 0.015413+0.00771866j 0.012918+0.0199296j -0.028176+0.0566869j -0.00489411-0.00636969j -0.0254886-0.00681846j -0.0307468+0.0216646j -0.0278765+0.0462413j -0.0126817-0.0243816j 0.0167106+0.0553782j 0.0105544-0.0353717j 0.0253594-0.0176928j -0.043471-0.01239j -0.0398546+0.00893746j 0.0135129+0.0216451j -0.0633076-0.0167519j -0.0396766-0.0256467j -0.0161725+0.0721163j -0.023863-0.00709469j 0.00170019-0.00781397j 0.06959+0.00102401j 0.000447015+0.0494234j -0.032713-0.0100165j 0.000677001+0.00915945j 
