0.0516861-0.281969j -0.290898-0.0447602j 0.0424063+0.0685501j 0.0365506-0.183692j -0.237352+0.0353606j 0.0986586-0.0572476j 0.118567-0.280884j 0.261472+0.0482761j 0.0719597+0.0754465j 0.00556485+0.178312j 0.148792+0.0436134j -0.157512-0.257054j -0.196021+0.115001j -0.275028-0.0929961j -0.052015+0.282288j -0.309222+0.114773j 0.111729+0.305046j -0.0284968+0.0249866j -0.0234307-0.0118147j -0.0332752-0.00993608j 0.0405368+0.00836438j 0.0237529-0.0549398j -0.0287315-0.018562j -0.00699612-0.0340113j 0.0026525-0.00925286j 0.0299718-0.00418647j 0.0168812+0.0178991j 0.016863+0.00742636j 0.000875874-0.0491185j 0.00602455+0.00853969j -0.0294937+0.00954642j -0.0244778+5.40014e-05j -0.00864593+0.015877j 0.0388048-0.0100133j 0.0134374+0.0246215j -0.0102005-0.01838j -0.0159585+0.0139881j 0.023067+0.0263349j -0.02668+0.0235843j -0.0234777+0.0696343j -0.0707977-0.0242342j 0.012407-0.0117868j 0.00682442+0.0102002j 0.00195986+3.73112e-05j 0.00102868+0.00125952j -0.00777223-0.00226509j 0.000537437-0.00161268j 0.000769977-0.00992787j 0.010924-0.000493648j -0.016472+0.0126336j 0.00186026+7.75305e-05j 0.0119515+0.0127353j 0.0037075+0.00183082j 0.00155094-0.013757j 0.0181934+0.00714218j 0.0158071-0.00565431j -0.0162493-0.0024854j -0.00174462-0.0144659j 0.00072646-0.0165862j 0.00477929+0.00150352j 0.0138398+0.00194659j -0.00203549+0.00289988j 0.00168244-0.0148202j 0.00841011+0.00150061j -0.0107789-0.0132646j -0.00744275-0.0175977j -0.00122133+0.00317943j -0.00255224+0.0125974j 0.00146779+0.00196778j 0.00553403-0.0183988j 0.0132742+0.000250054j -0.000287039+0.0040251j -0.00744263+0.00258323j -0.00258507-0.00269784j 0.00121134-0.00477566j -0.0010393-0.0139489j 0.010573-0.00859006j -0.0156371+0.00882068j 0.0208703-0.0089369j 0.00431452+0.0143907j -0.0033082-0.01275j -0.00310191+0.00127063j -0.005874+0.00634129j -0.0115699-0.006937j 0.0160595-0.000402318j -0.00159024-0.0038659j -0.00149182-0.00846207j -0.00927346+4.18759e-05j 0.00181517-0.00581936j -0.00678604-0.00249215j 0.00594047+0.00364223j 0.0120621+0.0249211j 0.0235878-0.0123868j 0.00291978-0.00589971j 0.00721103+0.0028377j -0.0240362-0.00295973j -0.00202274+0.0241657j 
0.0137923+0.15566j 0.153313-0.0196409j 0.0220338+0.0909528j 0.0954107-0.0241742j -0.0323241-0.0324469j 0.00447864+0.0110646j -0.0108334-0.0293023j 0.00716777+0.0172492j 0.0366619+0.00661733j -0.0234491+0.0183566j 0.0147212+0.019147j -0.0304473+0.00259771j -0.0131685+0.0518502j -0.00818631+0.0200907j 0.0350587-0.000764736j -0.125254+0.0841632j 0.0686155+0.118344j -0.00735531-0.1744j 0.256851+0.0361059j 0.04907+0.171219j 0.0861765-0.147683j -0.156143+0.00336149j -0.0333516+0.163969j -0.0704943+0.0745933j -0.208871-0.0546959j -0.127222+0.133116j -0.197269-0.00686039j 0.00110768+0.0616184j -0.0772844-0.0164157j -0.0529198-0.206423j 0.0888993-0.0558397j 0.0513009+0.214554j 0.0696846-0.0552707j 0.107119+0.154368j -0.208192+0.0637988j 0.177394+0.191189j 0.183308-0.225944j 0.147076+0.145849j -0.156187+0.141858j -0.01893-0.0735906j 0.0855687-0.0182573j -0.125214+0.0868681j -0.0998976-0.153973j 0.0727936-0.0588451j -0.00598195+0.0115213j -0.000203064+0.00945169j -0.0500084-0.03933j 0.0279961+0.0322932j -0.0695042+0.0436036j 0.00952506-0.0260814j -0.0411306-0.02748j 0.0162571+0.00271634j -0.0313916-0.00619512j 0.0297877-0.0259813j 0.00686521-0.0133711j 0.00435042+0.0140474j -0.0122574+0.0182586j -0.0169384-0.0311375j 0.00356924+0.0130499j -0.0247481-0.0107204j -0.02355+0.0135065j 0.00338017+0.00438627j -0.00572609+0.0107204j -0.0171754-0.0348516j -0.0157262+0.0196975j 0.0151695+0.0136443j 0.00362987-0.0174762j 0.0221409-0.00893789j 0.00768176+0.00970113j 0.00708698-0.000864488j -0.010124+0.0262742j -0.0162575+0.0169818j -0.0237015-0.0111442j 0.0116473-0.0262202j -0.00559892+0.0356982j -0.0117053+0.0188086j -0.004707-0.0327478j 0.0109938+0.0121212j -0.00352412+0.0142809j 0.0273817-0.0260148j 0.0241235+0.0262993j -0.0210765-0.0287834j -0.00566587+0.0257961j 0.0480766-0.0111199j -0.00604492+0.0307734j 0.0111976-0.00128035j 0.0137532-0.0109849j -0.0208734-0.0139329j 0.00246402+0.0121891j 0.0431233+0.0201846j -0.0181482-0.0202946j -0.0249675-0.00129755j -9.83029e-05+0.0247279j 0.0403067+0.0278882j -0.0358534+0.0428443j 0.0724091+0.0440964j 0.0374633-0.0729567j 
-0.0948504-0.0325899j -0.0323393+0.101853j 0.0821046-0.0153965j 0.00563299-0.0720867j -0.0268399-0.0495961j -0.0378468+0.0359852j 0.0467387+0.00706745j -0.0280501-0.0041547j 0.0234773+0.0149509j -0.0010776+0.0110435j -0.0186993+0.0181009j 0.0411904+0.0290639j 0.00890252-0.0476867j -0.0203451+0.0253019j 0.0152744+0.012294j 0.00729055-0.103777j -0.104564+0.00147575j -0.187036-0.0680756j 0.0915646-0.240329j 0.0118935+0.0909597j -0.0496437-0.187313j -0.291267-0.0608311j -0.0723394-0.11297j 0.0121005-0.0649938j 0.0323899+0.0574057j 0.143161-0.032964j 0.00254466-0.234366j 0.070031-0.10045j 0.0973772-0.0852494j 0.0758826-0.115098j 0.106984-0.15005j -0.0953095+0.0349275j 0.183979+0.188827j 0.271427-0.249801j 0.276653+0.203081j 0.00345839+0.112375j 0.079233+0.00107717j -0.241362+0.00520494j -0.00580826-0.237793j 0.0643921+0.0628918j -0.0555535+0.0679629j -0.0526996+0.0991019j -0.117457-0.0393855j 0.0130117-0.0957385j 0.0700099+0.0498864j 0.0122054-0.013219j -0.0427638+0.0228494j 0.0437178+0.0234174j 0.000666014+0.0331074j -0.0111739+0.014991j 0.00884738-0.0232259j -0.032355+0.0345168j -0.00216956+0.00997099j -0.0313036+0.0192444j 0.0202555+0.0135773j -0.00431608-0.0141189j -0.0019096+0.0278889j 0.0160015-0.00475785j 0.00885584+0.0291024j 0.0302328-0.00970646j -0.0105297+0.0229505j 0.0179018-0.0165461j 0.00194663-0.00393561j 0.0269185-0.00011121j -0.00443925-0.00088301j 0.000164068-0.022483j -0.0157109+0.00169408j -0.0129653-0.00426253j -0.01673-0.00125501j -0.00193191+0.00468398j -0.00158782+0.00542039j 0.005494-0.0112404j -0.0159068+0.0210057j 0.0187917+0.0115876j 0.000777689-0.00710422j -0.0183799-0.00248233j 0.0129206+0.0160063j 0.0373476+0.00337913j 0.0254955-0.000283281j 0.0039004+0.020172j 0.0124786-0.0313231j -0.000948938+0.00871311j 0.00677021-0.00709689j 0.0101718+0.0150575j 0.023812-0.0141758j 0.00848767-0.0092118j -0.00959991-0.0217894j -0.00289935+0.0060955j -0.0186853+0.0300179j 0.0291228+0.0179728j 0.0165211-0.0026593j -0.00587408-0.0184584j -0.0184454+0.00594667j 0.00303164-0.0432934j 0.0455949+0.00852031j -0.0280413+0.0224178j 0.0235494+0.0290921j 
0.0281433+0.0578572j 0.0529807-0.0290371j 0.0385909+0.0269794j 0.019956-0.0115127j 0.00749312+0.0258137j 0.0109905+0.0140631j -0.00930078+0.0028695j -0.00149606-0.00667207j 0.00394123+0.00762963j 0.0145796-0.00543892j -0.00526679+0.00423906j -0.0131741-0.00304736j -0.0063492+0.00814758j 0.0136411-0.00534717j 0.00662532-0.0142379j -0.0596209+0.0695228j 0.0535283+0.0586165j -0.0654191-0.131061j 0.100611-0.0468154j -0.0329711-0.027327j -0.0861353+0.0382664j 0.0851531+0.0411435j 0.0212524-0.0650035j 0.0331878-0.0128671j 0.0205066+0.0520487j 0.0258451-0.0298256j 0.023556+0.0132374j 0.0199853-0.0149739j 0.0232973+0.0119053j 0.0363379+0.0519673j -0.0263577+0.00618809j -0.0328195-0.0418082j -0.0123492+0.0386515j -0.0412274-0.0138665j 0.04172-0.0432442j -0.0165401-0.0662823j -0.0292044+0.032128j -0.121422-0.0236231j 0.0391233-0.128187j 0.0543664-0.0186931j -0.00514095+0.046681j 0.17671-0.190774j 0.191876+0.128374j -0.0291896-0.032057j -0.0337884-0.0364551j 0.0219736+0.0304827j -0.0824531-0.150092j 0.155099+0.128912j -0.0419216+0.111636j 0.050226-0.00403761j -0.0731701-0.0870382j -0.00388769+0.0990675j -0.0879641-0.100351j 0.0290184-0.0132945j 0.11615-0.122652j -0.0187078-0.0433512j -0.00165405-0.0206487j 0.0545191-0.0333028j -0.0926715+0.00027457j 0.0218282-0.0696238j -0.0798488+0.0736508j -0.0671946-0.0164739j -0.0370441-0.0405287j 0.0651817-0.0656372j -0.0735891+0.012445j 0.0143522-0.00393451j 0.0834993+0.00621019j 0.0876737-0.0228975j 0.0658227+0.00176623j 0.0561397+0.0451172j -0.0654056+0.02744j -0.0760831+0.0076916j -0.0421937+0.0492519j 0.0104779-0.0769552j -0.0432341+0.0561525j 0.01642+0.0136353j -0.0406832-0.0723252j 0.0350176+0.0277389j 0.023264+0.0994494j 0.0204936+0.0282244j 0.0299731+0.039387j 0.0149476-0.0845234j 0.0325923-0.0227991j 0.106072-0.0839816j 0.00810924-0.034267j -0.085701+0.0344754j -0.0083173-0.00470495j -0.102844+0.0861856j 0.0225366-0.0956881j 0.069265-0.0367749j -0.165447-0.0924949j 0.00289588+0.00652203j 0.00785197-0.0102728j 0.222779+0.0350628j -0.0303704+0.249222j 0.140466+0.127584j 0.111649-0.146345j 
0.0764703-0.0129069j -0.0105937-0.0797151j 0.0132802-0.0183041j -0.0291888-0.0190803j 0.0286959-0.00821149j 0.0117087-0.0128434j 0.0243417+0.00676181j 0.00292325-0.00488242j 0.0051446-0.00278654j -0.00854987-0.0258962j 0.00941412+0.0103214j 0.00109304+0.0088347j 0.0153776+0.0113006j 0.0117801-0.0227666j -0.00917912+0.00125049j 0.0165988+0.0760646j 0.0736979-0.0246045j 0.0050652-0.0145977j -0.0242018-0.0224119j 0.0642469-0.103002j 0.105795-0.0346947j -0.0533762-0.0477199j 0.0398993+0.0256616j 0.0364709+0.0386363j 0.0373557-0.0449011j -0.00834222-0.0114045j 0.00567746-0.0725292j 0.0206947-0.00630875j 0.0138041-0.0137043j 0.00893748-0.0138411j -0.00517577-0.0204816j -0.0376453-0.0492194j 0.0109679-0.00728432j 0.0245926-0.0203786j 0.0331925+0.0285249j -0.0187374-0.0314015j -0.0345126+0.0372419j -0.0853457+0.0490375j -0.0456881-0.0848802j 0.0633666-0.0738059j 0.0642292+0.056213j 0.0242872+0.0184967j 0.0405875-0.0125646j 0.181501-0.0622106j 0.225071+0.0346219j -0.111756-0.196381j 0.159331+0.0137069j 0.0624631-0.102449j -0.0101799-0.183869j -0.011512+0.0931973j -0.0323231-0.103343j 0.0561312-0.100292j 0.0484717-0.115648j -0.0384874-0.109871j -0.0575209+0.0829015j 0.120555+0.00635529j 0.0494975-0.0268157j -0.136604-0.0590141j 0.0372108-0.0912799j -0.0594489+0.0503705j 0.101021+0.0521449j 0.0015956-0.0372456j -0.0408683-0.00963621j -0.00907577-0.0281054j 0.037939+0.0641966j -0.0631521+0.00182987j 0.0133118+0.0479327j 0.0255232-0.00197623j 0.0734305-0.0327614j 0.0928261-0.00333257j 0.00674285-0.0448447j -0.0611582-0.010581j -0.00366289+0.0435147j -0.031944-0.0287497j 0.0281765+0.0336686j 0.025311+0.0131945j -0.128234+0.042374j -0.0443818-0.0911596j -0.0393134-0.131501j 0.0887771-0.142007j 0.0423399+0.14613j 0.0181931-0.0350895j 0.00290582+0.163716j -0.0104593-0.11523j -0.154129+0.0297126j -0.095103-0.0336391j 0.0491203-0.00911434j -0.153176-0.0971329j 0.0262196-0.138674j -0.0542702+0.120438j 0.16903-0.0771626j 0.00771631+0.0117697j 0.00973801+0.00688987j 0.0476+0.111272j -0.161777+0.0317626j 0.13763-0.134331j -0.132037-0.143946j 
0.00306354-0.0471508j -0.0368697-0.00134968j 0.00421036-0.0558011j -0.0158809-0.0214204j 0.0339993+0.0085773j 0.041959+0.00379993j 0.0348799+0.0222163j 0.00568691+0.0226484j -0.0175445+0.0220764j 0.0143938-0.0173184j 0.00426636+0.0103633j 0.0063244+0.00306748j -0.00613215+0.0132785j -0.0107895+0.0128575j 0.0275164+0.0181762j 0.0186948-0.0455592j -0.0416877-0.0141286j 0.00504173+0.0422015j -0.0355589+0.01131j 0.0047997+0.0418344j -0.0143377+0.0259765j 0.00342963+0.000870252j -0.0368949+0.00485433j -0.0207522-0.0211644j -0.00986977+0.0105398j 0.0164485+0.00524504j 0.0008786+0.0208716j -0.0131234+0.00103104j 0.00460054-0.00843138j -0.0177302+0.000964512j 0.0010245-0.00901497j 0.0218669+0.0201493j -0.00119121+0.00154835j 0.00362506+0.00123484j 0.00509227+0.0050452j -0.017936-0.00274047j -0.015213+0.0197898j 0.0684202-0.0322071j 0.0248723+0.0668803j 0.104472-0.0219426j 0.011012+0.11025j -0.0771761+0.0511123j -0.0543537-0.0321014j 0.034607+0.0817028j -0.185926-0.0172129j -0.017678-0.185702j 0.167151-0.05992j 0.146448+0.028568j 0.0824068+0.0679799j 0.0517695-0.0111662j 0.0744296+0.118623j -0.0207902+0.15579j -0.214745-0.210534j -0.0196774-0.190691j 0.122673-0.00674615j 0.0534162-0.151694j -0.0441406+0.172045j -0.165292+0.102749j 0.0318475-0.0757176j -0.0703311-0.0150211j -0.154884-0.0364243j 0.024121+0.00492734j -0.109999-0.00405547j 0.200932-0.106329j 0.104687+0.0161326j -0.0088725-0.00792829j -0.019632-0.084502j 0.0268043+0.00808364j 0.097603-0.0670282j -0.0353498-0.0345164j -0.0331518-0.0948797j 0.0115925-0.105611j 0.0144328+0.0262817j 0.021084+0.0151958j -0.0141434+0.194731j -0.127805+0.0467472j -0.0559389+0.0157132j -0.0135587+0.004894j -0.000635421+0.0706889j -0.00250278-0.0513927j -0.00709169+0.00847509j 0.0546274-0.015134j 0.130453-0.0705874j 0.0532653+0.128416j -0.051469-0.00829544j 0.17927+0.0621535j 0.131844-0.184502j -0.128326-0.0887672j 0.00709548-0.0583629j -0.0681554-0.038464j -0.00891878+0.0434779j -0.206935+0.02069j 0.031192+0.226933j -0.0122542-0.0709288j 0.0935726-0.0106258j -0.0296787+0.00802144j 0.00657255+0.0272703j 
0.00466023+0.0626208j 0.0577971-0.00953778j -0.00967604+0.0229473j 0.00567685-0.0217752j 0.00538366+0.00993755j 0.0342591-0.0409114j 0.0159554+0.0116197j 0.0325929+0.0136163j -0.0213639+0.0170214j 0.029473-0.00896806j -0.00412977-0.0209968j 0.0167127-0.0240415j 0.0236133-0.0176687j -0.00308818+0.00795432j 0.00369821-0.0108078j -0.0166571+0.0114616j 0.014971+0.0162792j -0.0210977+0.0171197j -0.0108161-0.0219392j 0.0126071-0.0423676j 0.0443644-0.0131247j -0.00942668-0.0310133j 0.0412177+0.0159622j 0.00843527+0.0308302j 0.0223394-0.0178126j -0.0111003+0.00913782j -0.0020485-0.0152595j 0.0119443+0.0112111j -0.0186696-0.00112065j 0.00358289-0.00860108j 0.00375057+0.00806649j -0.0138468-0.00399306j 0.0068361-0.00511716j -9.38669e-05+0.00572357j -0.0228005-0.0185426j 0.0117434-0.0297775j -0.0221346-0.00948048j 0.0150297+0.0105925j -0.0110291+0.0196849j -0.0745541+0.177658j -0.165834-0.0687405j 0.00762254-0.0404335j 0.0351942-0.00956912j 0.0349257-0.0863181j 0.173712+0.0657486j 0.008954+0.0381664j -0.0324399+0.102242j -0.0628009-0.0474942j 0.0975029-0.183643j 0.227917-0.0507591j 0.135921-0.0466166j -0.10284+0.0274816j -0.187883-0.158195j 0.0753831-0.00922518j -0.0872065-0.156201j 0.0359917-0.0201128j 0.0710846+0.100154j -0.0990754+0.145142j 0.0664028+0.0518278j 0.0416977-0.0605928j -0.0192811-0.061106j -0.0611522-0.150219j -0.125322+0.0297799j 0.0686903+0.0896635j -0.123126+0.0116368j 0.00327029+0.0442214j 0.0609915-0.0567851j 0.0234307-0.0538094j -0.0465163+0.036335j -0.0654004-0.0267361j 0.138739+0.0354425j 0.00737026-0.118364j 0.0673282-0.0429746j 0.0271304-0.0667362j -0.0984384+0.151996j -0.0199623-0.244934j 0.0110071+0.0414263j -0.0609523-0.0781741j 0.163498+0.0239526j -0.16405+0.0412544j 0.0197001-0.110613j -0.0396365-0.145797j 0.0253675-0.033819j 0.0396766-0.0773925j -0.071494+0.0638964j 0.0182455-0.101302j -0.188912-0.0639398j -0.058363+0.140627j -0.0678089+0.0631126j 0.0748003+0.01307j -0.0245955-0.0606676j 0.00141777-0.194624j -0.184858-0.0121474j -0.13252+0.0387177j -0.0469808-0.125684j 0.0489851+0.0247634j 0.0260465-0.0440748j 
-0.00723182-0.0344126j -0.0394905+0.00512584j 0.0129123+0.0367987j 0.00497934-0.00863334j -0.00121941+0.0025406j 0.00976816-0.0230356j -0.0106277-0.0074181j -0.00701702+0.0301944j -0.0238678-0.0154886j -0.0169431-0.0121875j 0.00555819-0.0227241j 0.0108599+0.00314906j -0.00356793-0.021271j -0.00739986-0.00212615j -0.00568555+0.00545694j 0.0508443+0.0310737j 0.0290422-0.0589495j 0.0653955-0.0584485j 0.0497059+0.0363611j 0.0491193+0.0194529j -0.015046+0.0326732j 0.00833442+0.0382443j -0.0557353-0.00539559j 0.0129446-0.0329145j -0.000900985+0.00264664j 0.015971-0.0213989j -0.00704892-0.0183539j -0.0161885-0.0336397j 0.0506415-0.0088145j -0.00547343-0.00132618j 0.0011915-0.0524987j -0.00741351-0.0167145j 0.0208372-0.000506887j 0.00129612+0.00991624j 0.00121518+0.00746639j -0.01748+0.00949624j 0.0117441+0.0212302j -0.051322+0.124242j -0.123496-0.0496448j -0.0930303-0.0182351j 0.0247764-0.110424j 0.111416+0.0770175j -0.0435374+0.0939442j 0.0129204+0.064324j -0.0224358+0.0125028j 0.168197-0.026691j 0.065532+0.0557378j -0.0289066+0.135763j 0.00525773-0.0615274j -0.104025-0.0958973j 0.00941432+0.0536394j -0.058666+0.0308627j -0.121076+0.0516619j 0.0594279-0.105498j -0.0352373-0.0302364j -0.1554-0.0462501j -0.00137522-0.119836j -0.109625+0.0770479j -0.00744851+0.202908j 0.0501626+0.135676j -0.0492858-0.0872055j -0.0683073-0.0633837j -0.0221647-0.110436j -0.0608345-0.0477852j -0.0460274+0.0155476j -0.0421076+0.02583j -0.00466269-0.0542361j 0.00126238-0.0670907j -0.00423384+0.00641467j -0.0279686-0.071433j -0.0849534+0.0292056j 0.172673-0.0259336j -0.00858562-0.147132j -0.0703442-0.0704572j -0.0373402+0.0411989j -0.00942348-0.0220772j -0.109809-0.195638j -0.198918+0.0713373j -0.0802196-0.0652757j -0.00516126-0.0950023j 0.00328276-0.0194881j -0.223338+0.185441j -0.0717868-0.0464074j 0.126595+0.0421782j 0.202528+0.0904392j 0.00642274-0.193759j -0.0584486-0.0332478j -0.0864849-0.000701336j 0.0361236-0.223551j -0.233856+0.0402072j 0.104719+0.105792j 0.0616673-0.0720848j -0.0850126-0.0693762j 0.123785-0.039131j 0.0174212+0.0990586j -0.0360446-0.0246014j -0.0255355+0.0341299j 
0.0415561-0.0196438j -0.0221942-0.052566j -0.0524215+0.0226443j 0.00748047+0.0126297j -0.00470356+0.00393962j 0.0123297+0.0216526j 0.0162261-0.00026658j -0.000424894-0.0347173j 0.0218087+0.0107417j 0.0283011+0.0258783j -0.0111008+0.0090933j 0.00428549+0.00126687j 0.0222428-0.00548656j -0.0116512-0.0120817j -0.0102619+0.00277209j 0.057947+0.0290335j 0.0306826-0.0629801j 0.0784483-0.0413577j 0.0424115+0.0590028j 0.0470231+0.0212064j -0.00981632+0.0311183j 0.00408322+0.0287941j -0.0528655+0.00183286j 0.0176139-0.0359101j -0.0102323-0.000529389j 0.0109679-0.0163796j -0.00982737-0.0169056j -0.0206051-0.0234455j 0.0358587-0.0231109j -0.00639411-0.00158199j -0.0249425-0.0296985j -0.0171127+0.00192331j 0.00174998-0.0167146j 0.0174349+0.0218775j -0.00418098+0.0123743j -0.0176234+0.00636452j 0.00966584+0.021089j -0.00893809+0.0977298j -0.100836-0.0038609j 0.113461+0.11885j -0.100128+0.109001j 0.0702061+0.0901185j -0.0637333+0.0919136j 0.0665505-0.0142814j -0.0922205+0.123244j -0.0501342+0.100665j -0.107495-0.0678529j -0.0783711-0.0514124j 0.135586+0.0295801j -0.000224482+0.0198336j -0.120438+0.128213j -0.0981267-0.144592j 0.0013033+0.0173029j -0.0569807-0.118676j 0.0642739+0.0424634j 0.0157509-0.0980209j 0.00527912-0.0719183j 0.0849939+0.0103175j 0.0920435-0.0103477j -0.0477538-0.194921j 0.0041039+0.0365793j 0.00496891+0.0606665j 0.0129452+0.0569116j -0.0273535+0.0327466j -0.0120474-0.0176018j 0.108071+0.017722j 0.0501615-0.00183172j 0.0195038+0.11223j 0.0441799+0.0157937j -0.0658435+0.0280982j 0.143854+0.104069j -0.168487-0.0142905j -0.00322571-0.00257811j -0.17987+0.0590465j -0.0298253+0.0609874j 0.0183205+0.0857266j 0.0626619+0.125256j 0.00835777-0.12226j -0.0460513+0.194006j 0.0353875+0.113618j 0.256092-0.0292987j 0.20338-0.0530651j 0.0350623+0.237245j 0.0127572+0.0899183j -0.0110946+0.0407953j 0.089626-0.154792j -0.17811+0.0979157j 0.0927994+0.0869212j 0.0973004-0.114274j -0.207807-0.0642537j 0.0125664+0.146382j -0.0476138-0.0532569j -0.0553109+0.0316659j 0.0787534+0.0268591j -0.0328253+0.0498504j -0.0205239-0.0320419j -0.0335651+0.0209747j 
-0.000948694+0.0351604j 0.0346446-0.00312292j 0.00725819+0.0201007j 0.0139507-0.000375628j -0.00404603+0.00592824j -0.00239834+0.00458455j -0.00348572+0.00172735j -0.00197091-0.000839783j -0.000162075+0.00150627j 0.00297229+0.000526477j -0.00167212+0.00176209j -0.00564081-0.000303757j -0.000793534+0.00240516j 0.00840702+0.00378895j 0.00545912-0.00463319j -0.0306189+0.0190101j 0.0116375+0.0244677j -0.0108958-0.0557773j 0.0522704-0.000360264j -0.00810342+0.00882241j -0.0351641-0.0116962j 0.00760948+0.0178335j 0.0138345-0.00738327j 0.00134617+0.000818699j -0.0229971+0.0199379j -0.000754957-0.0147436j -0.00297922+0.0166972j 0.0154471-0.000922379j -0.00351137+0.00742361j 0.0147898+0.00114604j -0.00870819+0.000795489j -0.00453439+0.00525661j 0.00248171+0.0118164j -0.00799754+0.00975374j -0.0015141-0.0132623j 0.00617301-0.00128799j 0.0078036-0.00763975j -0.0122251-0.00344877j 0.00739496-0.0238637j 0.00757346-0.000977998j 0.00020213+0.000263078j 0.0755749-0.0363319j 0.0337703+0.0177192j 0.0143732-0.0372576j -0.00769069-0.0463675j 0.00412188+0.0577776j -0.0231202-0.0906214j 0.0176977+0.0736165j -0.00919228+0.0195688j 0.0231788+0.0101357j -0.0296947-0.0462793j 0.0174095+0.0382964j -0.0269752-0.0411615j 0.0600449+0.0180113j 0.047622-0.0479482j -0.0456592+0.00585888j -0.0262095-0.0105798j 0.0623293-0.00842674j -0.0624018-0.0071032j -0.00533634-0.0350574j -0.0517553+0.027633j -0.0181765-0.0196124j -0.0471629-0.027758j 0.00789292-0.0133686j -0.0459375-0.00700086j 0.0305985-0.00322168j 0.0469247+0.0178779j 0.0475738-0.00307039j 0.0172227+0.0129854j 0.0276683+0.0607512j -0.025031+0.0302511j -0.0393383-0.0151052j -0.0266542+0.0228561j 0.0196542-0.0358344j -0.0319694+0.0228193j 0.000716875+0.0134542j 0.000955164-0.0771829j 0.0255862+0.026787j 0.013149+0.0424457j 0.0078502+0.0285995j 0.010619+0.00576008j -0.0123986-0.0490099j -0.0025722-0.0138965j 0.0289158-0.0553344j 0.0119803-0.017399j -0.0381391+0.0264013j -0.0111736+0.00508598j -0.0074747+0.0501283j -0.0108488-0.0263946j 0.0442441-0.0162475j -0.0871295+0.0473124j 0.00558531-0.00133606j -0.00660296-0.0102862j 0.0748854-0.0400602j 0.0219007+0.0663444j 0.0575149+0.0399119j 0.023865-0.0529634j 
0.0214596+0.0156349j 0.0154631-0.0218167j 0.00234263+0.00580396j 0.0024694-0.00148474j 0.0119663+0.00367344j 0.0042603+0.00145633j -0.00143785-0.00351665j -0.00103199-0.00135794j 0.00281563+0.00568477j 0.000669822-0.00672768j 0.00242662+0.000981024j -0.00437833+0.0038975j -9.89399e-05+0.00624142j 0.00434413-0.00324976j -0.000114392-0.00542246j -0.0143143+0.0287692j 0.0290844+0.00614612j 0.0160029-0.0402523j 0.0198526+0.0141835j 0.0130616-0.0263486j 0.000804175+0.00678261j 0.00063085+0.00698433j 0.0134123+0.00356041j 0.0133016+0.0164918j 0.0096901-0.00152272j -0.0303291-0.00852507j -0.00255917-0.0169338j 0.00194114-0.0140952j 0.00953953+0.00677262j -0.000218371-0.00666895j -0.000539491+0.00663552j -0.0109826-0.0122587j -0.00367849-0.0126235j -0.00507707+0.00332298j 0.00216371+0.00255212j -0.00583237-0.0117128j -0.00334546-0.00396693j -0.0196614+0.0140972j -0.00426449-0.0255812j 0.0243511-0.0145816j 0.0134336+0.0187598j 0.0449379+0.016156j 0.0262951+0.0175318j 0.0753008+0.0212273j 0.0571302+0.0117583j -0.0118997-0.0292354j 0.0420664-0.0162379j 0.020868+0.0107067j -0.0205593-0.0113689j -0.0110727+0.00998604j -0.00417743-0.0334405j 0.0130649-0.0158701j 0.0236931-0.0566873j 0.00693191-0.0571113j 0.0171196-0.00633191j 0.0308202+0.0146997j 0.0618398-0.0235818j -0.0428227-0.0404871j 0.0254841-0.0174408j -0.0331456+0.00229797j -0.00041327+0.0388222j -0.0254329-0.00708976j -0.0014036+0.00378833j -0.0075855-0.0314207j -0.00210863+0.04286j -0.0143148+0.0192478j 0.0119427+0.0124713j 0.0278133-0.00645702j 0.0576876+0.000158046j 0.0183435-0.0169795j -0.0171377-0.0323441j -0.0241582+0.00900011j -0.00778356+0.0121171j -0.0358058-0.032767j 0.00253773+0.017262j 0.0266051+0.00978413j -0.0630056+0.0165669j -0.0194126-0.0382087j 0.00681968-0.0173056j 0.0518613-0.0331276j 0.0466322+0.0502918j -0.0103906-0.023597j -0.00487303+0.034866j 0.0314521-0.0604154j -0.0370317+0.0190582j -0.0133388-0.00100835j 0.017381+0.00205253j -0.0406308+0.0154347j -0.0136601-0.0756053j 0.00279107+0.0535162j -0.0453393-0.0408906j -0.00258769+0.00264495j 0.00118637+0.00308315j 0.057566+0.0176166j -0.019003+0.0335743j 0.0283959-0.0234117j -0.0322881-0.0366561j 
