-0.0133784+0.00830568j 0.0934198+0.120879j 0.0302447-0.132025j 0.01659+0.00179099j -0.0410824+0.0543964j -0.0219382+0.0334262j -0.00886055+0.0094054j -0.0878401+0.0412986j -0.0104094+0.00778868j -0.0207386+0.00714624j -0.0362037-0.0279555j 0.0365692-0.00132439j 0.0268012-0.0154724j -0.0466879+0.0301102j -0.0143554+0.00588823j -0.0167003-0.0168784j -0.046091-0.0120015j 0.0247524+0.00756025j -0.00588718-0.0155429j -0.0143923-0.00239342j -0.00245245-0.031201j 0.00338478-0.0133782j 0.0192543-0.0283399j -0.0310028-0.0146318j -0.0102738+0.00855226j 0.021415-0.00800077j -0.0209584-0.00348328j 0.0127841-9.78703e-05j 0.000201143-0.00186781j 0.00146855+0.0227021j 0.0295677-0.000269373j 0.0186278+0.00320801j 0.0160753+0.0171451j -0.00719614+0.0234964j -0.028132-0.00109528j -0.00525517+0.00695346j 0.0130898-0.004014j 0.0138585-0.0133939j -0.019066+0.00427523j 0.0103915+0.0364359j -0.00399654+0.00584624j 0.0265024+0.00620408j -0.00899069-0.00299518j -0.00128606+0.000475314j 0.0217414-0.00958811j 0.0179001+0.0104301j -0.01104-0.0111865j 0.0297351+0.00297505j 0.0114359+0.000895402j 0.0264412-0.00552878j 0.0159171-0.00259757j -0.0390554-0.0123643j -0.0272664-0.0126845j -0.0182866-0.00991027j -0.0204604-0.00210099j 0.00964544-0.0349471j -0.0330125-0.00311702j 0.0226253+0.00798138j 0.00257337+0.0117534j -0.00820346+0.00717068j 0.0138498+0.0119117j 0.0217949+0.0115913j 0.0143065+0.00439318j -0.00178941+0.00322243j -0.027558+0.038823j -0.00505413+0.0327871j -0.0260447-0.0117687j -0.00117358-0.0202749j -0.00208771+2.24889e-05j -0.0604938-0.0143182j -0.00887693+0.0170066j -0.105297-0.0534071j -0.0355287-0.0247873j -0.00935385+4.50259e-05j 0.0291004-0.0151602j 0.052399+0.0155342j -0.00307899+0.0391402j 0.0454917+0.0682566j 0.00176905-0.0219512j 0.0584382+0.0388095j 0.150654+0.0381138j -0.0660182-0.179598j -0.0519721+0.216664j 0.257136-0.0675405j 0.0346959+0.122797j 0.0148671-0.140474j 0.199553+0.0286311j 0.0496894+0.0622422j -0.0585282+0.0235986j -0.181553-0.032919j -0.0486748+0.0452262j -0.156233-0.179768j 
0.107486+0.132202j 0.00640849-0.0300722j 0.000892311+0.0141023j -0.0478329+0.137133j 0.00815027-0.0333822j -0.000417077+0.00714937j -0.0987789+0.0657321j 0.0255239-0.0280585j -0.0183455-0.0125625j -0.0129221-0.00825069j -0.0160569-0.00909078j 0.0206723+0.0178114j -0.0255144+0.0498527j -0.0416021+0.00745214j -0.0445061-0.005006j 0.0400972+0.0106526j -0.0307098+0.0218916j -0.0250923+0.00680271j 0.0211368+0.0133183j 0.00276833-0.0206142j 0.00564878+0.0148516j -0.0150938+0.00334222j 0.0149799-0.0165512j -0.0273979+0.0104744j -0.032623+0.00194657j 0.0280679-0.0154575j 0.0234918-0.00751565j 0.013915+0.00598141j -0.00764314+0.0263889j -0.026773-0.00794661j -0.0270968+0.00245355j -0.00738098+0.0120335j -0.00905953+0.0141594j -0.000463579-0.0161936j 0.00200373-0.0125794j -0.00530742+0.00739423j 0.0103697+0.0189359j 0.0054606-0.0228327j -0.00186338-0.01123j 0.0393535+0.0168476j -0.0054366+0.0178713j -0.0134249+0.00796051j 0.0306956+0.000483419j 0.0297229+0.00145522j 0.0128671-0.00321982j -0.00833775+0.00446111j 0.00744021-0.0182833j 0.0216807-0.0140057j -0.0330655+0.00817469j 0.00761597+0.0154766j 0.00595668+0.0121808j 0.0252473+0.0103315j -0.00871459-0.0301183j 0.00968639+0.0111302j -0.0133391+0.00678566j -0.00371411-0.0138194j -0.00679317+0.0145583j 0.0362266+0.0177592j -0.0208715-0.00190656j -0.0101378-0.0173199j -0.0282499-0.0376171j 0.00482865+0.0134198j 0.0284644+0.004779j -0.0311119-0.0258189j 0.0108813+0.0118094j -0.0278135-0.0258232j -0.04617+0.0109978j -0.000926728-0.00209906j -0.00338136+0.0141329j 0.0661483+0.0210359j -0.0548028+0.0122482j 0.00670729+0.00605101j -0.0111538-0.0228544j -0.0207704+0.0458063j -0.024186-0.0305737j -0.0114884-0.0990455j 0.00742879-0.0288744j 0.0442456-0.0725899j 0.0592152+0.0516904j -0.0255908+0.076947j -0.0176694-0.244383j -0.144699-0.020063j 0.238269+0.00642423j 0.0309154-0.18826j 0.00639323+0.0105379j -0.201113+0.0451598j -0.036923-0.107224j 0.140898+0.0827998j 0.113243+0.00193662j -0.085978+0.113463j 0.182399+0.181448j -0.0237679+0.00766131j 
-0.136429-0.0155599j 0.0103001+0.0115322j -0.00305939+0.060834j 0.0197493+0.0151882j 0.00502721+0.0288245j 0.0106512+0.0465061j 0.0124912-0.00515912j 0.0472591-0.141056j -0.0218963-0.00739455j -0.0388955+0.0274884j -0.00625744+0.0286332j -0.0743493+0.00928574j 0.0653487-0.0882986j 0.0275289+0.0208433j -0.0407519+0.0503691j 0.068603+0.0224069j 0.0192122+0.0248412j -0.0269375-0.0139664j 0.00808527-0.0467607j 0.0588515-0.0528153j 0.0110944-0.0103645j 0.0160811+0.0313355j -0.00168338+0.00159239j 0.0578826-0.00431123j -0.00797786-0.00690708j -0.0212522-0.0126482j -0.00997771-0.0186491j -0.0399845+0.0110161j 0.013161-0.0160384j 0.00539859+0.00314185j 0.00545511-0.00844038j 0.0480511+0.0388222j -0.0205381+0.0299721j -0.0254481-0.0307268j 0.00744224-0.0191j 0.0100587+0.0144668j 0.0128604+0.0481172j -0.00104916-0.00915667j 0.000409786+0.0501806j -0.0210836+0.019562j 0.0491635-0.0443908j 0.000303261-0.0415387j -0.0106958+0.0306582j -0.0163796+0.0452883j -0.0243984-0.0254441j -0.00282299+0.00935543j -0.0590481+0.00979467j -0.0395353+0.00147891j 0.0195565-0.0289668j 0.0056703+0.0326354j -0.0165247-0.0155871j -0.0107549-0.0407184j -0.028004+0.00921543j -0.024596+0.0105313j 0.019169-0.0265689j -0.0332307+0.0304383j 0.027029+0.0331093j -0.0405032+0.00934182j 0.00164148+0.0174519j 0.00259247-0.00337331j -0.0128337-0.0445605j -0.0118304-0.0155776j -0.0248248-0.0351146j -0.0315356-0.00493932j 0.0152039-0.0192626j -0.0498401-0.0129418j 0.0331971+0.0386776j -0.0260261+0.0234389j -0.0168212-0.0799663j 0.00683272-0.0371398j 0.0390438+0.0675885j 0.093704-0.027589j 0.00130666-0.0332649j 0.013215+0.0552423j -0.0597487-0.0219415j -0.0833085+0.0730128j -0.170327-0.162896j -0.0221554-0.0039938j -0.0401827+0.206483j 0.134221-0.152197j 0.0524171-0.0916583j -0.0758812-0.0334255j -0.044935+0.0817321j -0.0259488+0.0789567j 0.0319826+0.079379j 0.0955784-0.00312779j -0.0530569-0.000533844j 0.173161+0.131924j 0.0285698-0.0665098j 0.0395245+0.244881j -0.146514+0.42101j 0.352533+0.013878j 
0.00264067-0.0177197j -0.101284-0.00910892j -0.0304993+0.0023728j 0.0169515+0.0360849j 0.0244992+0.0455107j -0.000743136-0.138707j -0.054996+0.0209806j -0.0282995+0.0451285j 0.00273251+0.0395184j -0.045355+0.0377957j -0.0209929+0.035413j 0.0298188-0.00067427j 0.0100238+0.0167819j -0.0473923-0.0414654j -0.0123902+0.017074j 0.0614204-0.0183488j -0.0158175+0.00411048j -0.0117803+0.00265947j 0.0100406-0.00755156j 0.0252793-0.0245149j 0.00889911+0.00797272j -0.0357288-0.0191002j -0.0210774+0.0158014j -0.0364164+0.0156215j 0.0550645+0.0272823j -0.0125321+0.00354308j -0.0180766-0.0117091j -0.0418883-0.0089842j 0.0349659+0.0203139j 0.0192463-0.00954158j 0.0291519+0.0284241j 0.0199516+0.0363072j -0.00597613+0.0115405j -0.00774861-0.00932904j -0.0174802+0.000658816j 0.0112624-0.00194475j 0.018124+0.0197145j -0.0497538+0.00842814j -0.0441268-0.0138638j 0.0690524-0.0216747j -0.0215849+0.0414619j 0.00803945+0.00275262j 0.0336461+0.00163659j 0.0010951+0.0205762j -0.000526339+0.00577695j 0.0213816-0.00957888j 0.0437291-0.0803261j 0.0208445-0.00603297j 0.063244-0.0616116j 0.00752591+0.0131716j -0.0308663-0.0185719j 0.000753725+0.0278417j -0.0284371-0.026334j -0.0585347-0.00787721j 0.0238188-0.0104911j -0.0734804-0.0151406j -0.00896535+0.0629096j 0.0818524-0.0186035j -0.0306398-0.00323353j -0.0359264-0.00716843j -0.034767+0.0245897j 0.00574484-0.0123163j 0.018498-0.0447527j -0.0243271+0.0387918j 0.0303804-0.0805715j 0.00293573-0.0693717j -0.0164178-0.0194357j 0.0162726-0.0873011j 0.0695067-0.111106j 0.109442+0.0515747j 0.0149183-0.0360136j -0.00885385+0.112723j -0.0160535+0.0350527j -0.0469826+0.050631j -0.034631-0.063955j -0.0774737+0.00842955j 0.0485922-0.0350635j -0.111211+0.0285275j -0.155768+0.0926239j 0.109805+0.120443j 0.12366+0.233501j 0.0466734-0.11903j -0.0147654-0.141403j -0.0419681-0.105973j 0.00759136+0.0304477j -0.111496+0.0286887j -0.0365779+0.130821j -0.128384+0.158507j -0.0616708+0.135036j -0.104341+0.102222j 0.322941+0.0221641j 0.0749035-0.400624j 
0.0382817+0.00585998j -0.00613647-0.0341517j 0.0682138+0.0135942j -0.0444784-0.015258j -0.0588091-0.0539904j 0.058009+0.140301j 0.0298237-0.00258806j -0.00913664-0.0601017j -0.0692961-0.0171593j 0.00679015+0.0269122j -2.53986e-05+0.0109472j -0.00486444+0.0215387j 0.0251963-0.0528586j 0.0429397+0.0381487j 0.0154989+0.0199225j 0.0145612+0.000815892j -0.0272365+0.0440134j -0.0285569+0.0356858j -0.0172474-0.0261982j -0.040589-0.0407084j -0.0422978-0.0207262j 0.0302591+0.0763376j -0.0138993-0.00806827j 0.00671742-0.0213487j -0.012186-0.03627j 0.000148853-0.00597063j 0.00652194-0.00670212j -0.0140211+0.0257494j -0.00813519+0.0231267j -0.0202446-0.0162145j -0.0151285-0.0174651j 0.0296274+0.0383561j 0.0525766+0.00689874j 0.00519312-0.04106j -0.0552524-0.0302361j -0.0100595+0.0116444j 0.0397551-0.00349315j -0.00327005+0.0062365j 0.0154347+0.0149453j 0.0373067-0.0349627j 0.0160797-0.0464097j -0.00199886-0.00901814j 0.00608104-0.0159642j 0.0279155+0.00186762j -0.0286726-0.00215065j 0.013029+0.00531808j -0.0061995+0.0374048j -0.00109309-0.00674106j 0.0510262-0.027277j 0.0125709+0.00343236j 0.0247264+0.00369855j -0.050209+0.0183377j -0.0347383+0.0291554j 0.0462355+0.0199665j -0.0360097-0.00971241j 0.0260578+0.135205j -0.00635833+0.0782798j -0.00304813-0.0186425j -0.0138545-0.00773029j 0.00798405+0.0752134j -0.0519307-0.00966505j 0.00367111+0.0270815j 0.0226807-0.0078358j 0.0179646-0.0110583j 0.0752381+0.0192707j -0.0358013+0.0338589j -0.0545312+0.0757831j 0.147889-0.0547588j 0.102559-0.0353698j -0.0274325+0.0375866j 0.00553257+0.101124j 0.094337+0.0970539j 0.00361793+0.0479662j -0.0373204+0.0943403j 0.0254582-0.0181085j -0.214327-0.210456j -0.0856055+0.180988j 0.0502068-0.0248491j -0.0245625-0.122293j -0.135714-0.0530922j 0.074478+0.0908472j 0.0466015-0.0190215j -0.0075441-0.0221796j 0.0580976-0.0618908j -0.115384+0.0105914j -0.0204508+0.0149413j 0.0155543+0.0385224j -0.107057+0.22683j -0.255658+0.273904j 0.293642+0.220934j -0.0434017-0.0442773j 0.00942681+0.119321j 
-0.0624192-0.0260956j 0.020808-0.00810021j 0.00178535-0.0187524j -0.07701-0.0623205j -0.0733454-0.0524514j -0.00428671-0.0575637j 0.0535912+0.0207756j 0.0136932+0.0543571j -0.0283514-0.075409j -0.058063-0.000176124j 0.0456101-0.00163856j -0.0189679-0.0231955j -0.0242285+0.00852037j 0.0665484-0.0296888j -0.0127937+0.00652776j -0.0043291-0.0124873j -0.012767-0.0708395j -0.00862925+0.0631678j 0.0154702+0.00511475j 0.0170067+0.0297764j -0.00151382-0.026185j -0.00346601-0.026564j -0.0220484+0.047841j 0.051982+0.0193436j -0.00303849+0.00110728j 0.0239439-0.00564798j 0.0124723-0.0123323j -0.0318829-0.0708464j -0.0129214-0.0154551j -0.0459503+0.0231273j 0.0289636+0.0344018j 0.0213249+0.0413312j 0.0213074+0.0148062j -0.0406162-0.0095603j 0.0137134-0.0274123j -0.0153368+0.038594j -0.0141376+0.0353112j -0.00439082-0.00936666j -0.0111521+0.00322488j -0.0386318+0.0136877j 0.0331677+0.000882115j 0.00427487-0.00205494j -0.000299436+0.00923655j -0.0119293+0.0132252j -0.0259137+0.0203666j -0.0309162+0.0105318j -0.0603157+0.0171044j -0.0126633-0.0173572j -0.0442753+0.0369773j 0.00907265+0.0524533j -0.0314476-0.00459221j -0.0440391-0.000832094j -0.0081004-0.0340847j -0.040655-0.041303j 0.035563+0.0803725j -0.0873105-0.0147766j 0.0523904+0.0150587j -0.0964644+0.0134025j 0.0477821-0.0432769j -0.0281111-0.0213537j 0.0415809-0.0153792j -0.000125346-0.00928465j 0.03632+0.0113828j -0.0188858+0.00724656j -0.042199-0.0759232j -0.0197515+0.0491674j 0.022686+0.0462826j 0.114662-0.0572578j -0.164267-0.124455j 0.0997765+0.145205j 0.00551781-0.0673892j -0.0868988-0.119219j 0.0655154+0.0337483j 0.124574+0.0144117j 0.227184-0.0226623j -0.103405+0.155565j 0.0388438+0.0813591j 0.0710605-0.0759893j -0.0516999-0.0694506j 0.00287947+0.132448j 0.0421924-0.00894266j -0.026224+0.0692055j 0.0223788-0.113846j 0.106974+0.0021074j -0.0112625+0.0405592j -0.0312422+0.024728j 0.00510427-0.112392j 0.179429-0.0286483j -0.146929-0.0623339j -0.0362465+0.00454991j -0.0942426-0.0832882j -0.0598983-0.0172821j 
-0.0308047-0.0142442j -0.0870562+0.0169967j -0.0224947+0.0314578j 0.0111137+0.000302752j 0.0269816-0.0312243j 0.0430175+0.00724072j 0.00178623+0.0359647j 0.01293+0.02271j -0.0231887+0.00902469j 0.045375+0.0324653j 0.0304644+0.0264615j 0.0456369-0.0377382j -0.0642506+0.0916415j -0.0621203-0.00864424j 0.00760341+0.00727608j -0.0452855+0.0596962j -0.05917+0.0100333j 0.019189-0.0462132j 0.00516975-0.0247351j -0.0419367+0.000484036j -0.0154189+0.0495909j -0.00856607-0.0238975j 0.0345814-0.0141098j -0.0381092+0.0373053j 0.02809+0.0125171j 0.0744647-0.0366333j 0.020315-0.0152953j 0.0455409-0.014047j 0.00264924+0.0318277j -0.00492614+0.0458459j -0.0549957-0.00823241j -0.05454-0.00320238j 0.0196032-0.00656083j 0.0303454+0.00920225j 0.0255819-0.0173621j -0.016278+0.0502975j -0.0468239-0.0071097j -0.00761725+0.0191398j 0.0145453-0.049492j -0.0183558-0.00151152j 0.00396828-0.00829709j -0.0100591+0.0550324j 0.00867659+0.0114807j 0.00427283-0.0789489j 0.00777454-0.00685421j -0.0103833+0.0411019j 0.0417208+0.0113104j 0.00246967-0.0557355j -0.0955118+0.0942921j -0.0368082-0.00217016j -0.064067-0.016703j 0.0359953-0.0763802j 0.0499301-0.0361178j 0.00209465-0.0613606j -0.0369978+0.0117984j 0.0335055-0.0137157j 0.0732981-0.0247676j -0.0299345-0.029873j -0.0101944-0.045255j 0.0255973-0.0229937j -0.0159934+0.0373746j 0.0592186+0.0856951j 0.0436607+0.033604j 0.0351507-0.0328334j 0.0574824-0.0742944j -0.0356862-0.0767505j 0.0648301-0.0434318j 0.00622282+0.115637j 0.0612242-0.0275575j -0.112534+0.041418j 0.161393-0.00144538j 0.07979-0.072619j -0.0663925+0.119855j -0.00692711-0.0148607j -0.0172675+0.292488j -0.242-0.110881j -0.00119434+0.00263057j -0.0555361+0.0953556j -0.0721744+0.00318644j 0.0623401-0.00518549j 0.0359909-0.125269j 0.0523788+0.0243168j -0.0682978-0.0390359j 0.00593097-0.0941009j 0.103903-0.0989335j 0.124531-0.137495j 0.138212-0.00354111j 0.0846912-0.137593j 0.00425292-0.244199j -0.147375+0.0705184j -0.0141027-0.044402j 0.0501493-0.0225373j 
0.0473195-0.0376635j -0.0124962+0.013572j -0.037072-0.0475318j -0.0892817+0.0439032j -0.0723136-0.0249108j -0.0121388+0.0536304j 0.0508128+0.00611178j -0.011978+0.0306843j -0.0525185+0.0365958j 0.0497309+0.0464037j 0.027939+0.0193499j 0.0104472+0.00908651j -0.0230909-0.0659133j 0.0410504-0.00494546j 0.0175408-0.0280276j 0.00992453-0.00688922j 0.0450653+0.0125594j -0.0170193+0.019791j -0.00957773-0.0289852j -0.000194773-0.0182193j -0.0356678-0.0812871j 0.0338041-0.0065749j 0.0278155+0.00453353j -0.020227+0.00449169j -0.0402556+0.0176184j -0.0033972-0.0155666j -0.00414437-0.019168j 0.0619219+0.00403268j -0.0226885+0.000433133j 0.0427742+0.0423775j -0.0146608+0.0666998j -0.0178617+0.0097416j 0.0333556-0.0384807j 0.0349632-0.0869792j 0.0370503-0.0323486j -0.0203598-0.0385833j -0.00740281-0.0349002j -0.0253523-0.00724382j 0.0271644-0.046031j -0.0344984-0.0788282j -0.0514796+0.083068j -0.0111721+0.0371323j -0.042182-0.0641132j 0.0335315+0.00890676j -0.0599559+0.111498j 0.0167941+0.00105784j 0.0643644-0.0608761j 0.0462416+0.014198j -0.00236871-0.105878j -0.0217874-0.0431328j 0.0150735+0.00266508j -0.0494375+0.0623055j 0.0151364-0.0278683j 0.0250709-0.0107936j -0.00525998-0.0512694j -0.00509451+0.0515705j 0.0303187+0.0445631j -0.0635028-0.0635039j 0.0405485+0.00206189j 0.017863-0.0693728j 0.0194575-0.0426389j -0.0437047+0.0747393j -0.010606-0.08257j 0.0724062-0.00534773j 0.0677919+0.0125181j 0.0954804-0.165142j 0.0585352+0.0322328j 0.0292606-0.0397251j 0.027163-0.00235733j -0.0160767-0.0527583j -0.0473776-0.0369081j 0.023465-0.117448j -0.0857374-0.116017j 0.102991+0.0408429j -0.00977363-0.12598j 0.013063-0.0841916j 0.181532-0.0976819j -0.0421867-0.036645j -0.119299+0.0661433j -0.0224828-0.0818356j 0.00257573+0.0252052j -0.0197303-0.00663371j 0.020757+0.0325103j 0.0249962-0.0633686j 0.0871592-4.44032e-05j 0.198191-0.0155448j 0.0462788-0.016745j 0.154148-0.152152j -0.192379+0.0479078j -0.0956426+0.308882j -0.029137-0.0491052j -0.0340388-0.0302231j 
-0.0151206-0.00712045j -0.000157573-0.0146015j -0.00404445-0.0182415j -0.0224941-0.00894588j 0.00217354-0.0175154j 0.0564729+0.0500372j -0.00555276+0.0421879j 0.00710121+0.0214646j 0.0153707+0.0813275j -0.0136835-0.00426361j -0.00856849+0.086199j -0.0262924-0.0768942j -0.0554561-0.0258383j -0.0486279-0.0135572j -0.0310662+0.064727j 0.00400057+0.0143065j 0.0202957+0.000638992j -0.0182303-0.0350187j 0.0405547+0.0224088j -0.0158132+0.113409j -0.0228511+0.034213j -0.0329238-0.0327647j -0.00148168+0.00920997j -0.0195482-0.0200527j 0.0243794-0.0632975j 0.00980615+0.0551341j -0.0586984+0.00143714j 0.0862242+0.0431063j -0.0231676+0.0209563j -0.0192134+0.0325649j -0.0404122-0.0135078j -0.00668919+0.00538336j 0.0731746-0.0220919j -0.0603507+0.0271544j 0.0378408+0.0181325j 0.0775933+0.0313052j -0.00335386-0.00897699j -0.0233764+0.0556774j 0.070618+0.0134101j -0.000562964-0.0263111j 0.0416707+0.0372275j -0.0456611-0.0126918j 0.0342686+0.12774j -0.0412463-0.0367478j -0.0322685+0.117287j 0.0512293-0.0434117j -0.00814413-0.0434858j -0.06554+0.0504746j -0.0232494-0.0465012j 0.0748901+0.0140705j -0.0164956+0.0176043j -0.0268413-0.0176422j -0.0923941-0.0821105j -0.0136481-0.0636809j 0.00972078+0.0651348j -0.0440505+0.0436482j 0.0252747+0.0897452j -0.0818856-0.184648j -0.153536+0.0484469j 0.178175+0.0252773j 0.0543881+0.00236852j 0.0983176-0.106797j 0.0648592-0.00658728j 0.0255527+0.190983j 0.0188176+0.0821045j -0.0968674-0.0666972j 0.0492517-0.0484409j 0.0639763-0.0308776j 0.0555001-0.0838969j 0.000795813+0.0328409j 0.0238323+0.0377608j 0.071628-0.0627819j 0.0538863-0.149239j -0.0322771+0.0694284j 0.00605913-0.05837j 0.0982113-0.0706182j 0.00219864+0.0893794j -0.0175169+0.0151104j -0.0221476+0.145181j 0.00260241+0.0405632j -0.0875172+0.096502j 0.0171264+0.00765615j -0.078948+0.11255j -0.0165599+0.0530787j 0.0751105+0.0322948j 0.0567083+0.0123964j 0.0398282-0.010954j -0.0316486-0.0582282j -0.0549273+0.0325557j 0.0324858+0.026137j -0.066272-0.0453629j 0.0193968+0.00705177j 
0.00253132-0.00438981j -0.0123323+0.00022285j -0.0126368+0.0218685j 0.0348346+0.00217375j -0.00695666-0.0200744j 0.0481702-0.0600207j 0.0290608+0.0300828j -0.00320998-0.00524559j 0.0303077+0.0564244j 0.0531455+0.0654869j -0.0294349-0.0945453j -0.0296049-0.0785569j -0.0789821+0.0100708j 0.0334533-0.0193725j -0.00829767-0.0207938j -0.0189078-0.00232017j 0.0283318+0.0154497j 0.0048146-0.02316j 0.00768986-0.071725j -0.0505334+0.0468246j 0.0641511-0.0695707j -0.00259664-0.0588091j 0.0187883-0.014656j 0.0399445+0.012483j -0.00334222+0.022547j 0.0148554-0.0430861j 0.0607641+0.013293j 0.00152239+0.0383111j -0.0273069+0.00485284j -0.0089043+0.0702321j 0.0613842+0.0142103j -0.0621353+0.0105882j 0.0103505-0.0501414j 0.0294855-0.042741j 0.0501116+0.0314753j 0.0187954-0.0351866j -0.0150529+0.0672403j -0.0212744-0.0304158j 0.0523587-0.00254425j 0.0121436-0.0440577j -0.0165309-0.0668209j 0.0194969+0.0103994j 0.0746167-0.0470877j -0.0223098+0.0388766j 0.0291365-0.0149306j -0.0592407-0.0977306j -0.110495-0.0227694j 0.0109553-0.00955195j -0.0348074-0.0257487j 0.0798648+0.0331385j -0.082764+0.0525129j -0.0379491+0.0694236j -0.00994014+0.0923046j -0.0114267+0.0385333j 0.0327408-0.0679234j 0.0832067+0.12725j -0.012793-0.0599992j -0.0824511+0.0887994j 0.144304+0.093659j 0.0421411-0.145066j 0.103798+0.0394984j -0.0673951-0.11445j 0.0586551-0.0394094j -0.0102483-0.034912j 0.0924649+0.022099j -0.108873+0.0717165j -0.0832101-0.165825j -0.0491137+0.148445j -0.013445-0.0283865j 0.081929-0.0371873j 0.0847869-0.0200978j -0.0902951+0.0398922j 0.0464092-0.0442088j -0.0401789+0.00996093j -0.0695986+0.0772971j -0.100426-0.0684136j -0.0442186-0.0179609j 0.0905066-0.231284j -0.00379369-0.0415662j 0.00600179-0.039599j -0.0522586+0.0488125j 0.0425084-0.114274j -0.0388118+0.0864261j 0.132879-0.109723j -0.0676252+0.0237821j -0.00429769+0.0346907j 0.0367852+0.074677j -0.00844691+0.0976106j -0.0168796-0.0605922j -0.0417792+0.00556276j 0.00681007-0.0159577j -0.0434866-0.0507745j 
-0.0195908-0.0300801j 0.0168631-0.0131124j 0.00517353-0.0190346j -0.0490549-0.0223172j -0.0128933-0.0182578j 0.000203935+0.0222029j 0.00715864-0.00878942j -0.000541486-0.000471536j 0.0613661-0.0158944j 0.023436+0.0569389j -0.0358381-0.0297925j 0.00713087+0.0209813j 0.0326212-0.0100009j -0.000466228-0.0320486j 0.0660786-0.0216407j 0.0109987-0.0316568j 0.0324987+0.0312505j 0.0242716+0.0453205j 0.0731256-0.0078073j 0.0648189-0.0418498j 0.0336219-0.00851542j -0.0085458-0.00533229j -0.0257994-0.0540729j 0.0187799-0.0393913j 0.0480488-0.10855j -0.0480694-0.0572662j 0.0254968-0.00889956j -0.0572198+0.0756275j 0.0114882+0.032654j -0.0851778+0.0413222j 0.0753871-0.0380263j 0.000801504-0.00142252j -0.0127618-0.0496681j 0.022217+0.0453585j -0.0434575+0.0220468j -0.0379754+0.000797937j 0.0274498-0.0152393j -0.0829464-0.0465834j 0.0118721-0.0140502j 0.0322488+0.0370513j 0.0380648+0.0321832j -0.0137917+0.0069489j 0.0390289-0.0822052j 0.0136722-0.0253558j 0.0411172+0.00125125j -0.0433562-0.00349635j -0.0507091+0.00542601j -0.0348682+0.0687855j -0.000180328-0.0626327j -0.0520016+0.0302653j 0.0887553+0.0348262j 0.00523041-0.0370469j 0.0197977+0.00496477j 0.0678738-0.0275077j 0.0362656-0.0589149j 0.00623608-0.129815j 0.0330523-0.0410162j 0.0716105+0.0342512j 0.0614207-0.0340018j 0.080126-0.0320983j -0.0106022-0.0404333j -0.0135888+0.0632396j 0.0505004+0.055425j 0.0563054-0.0595114j 0.0474371-0.0124633j 0.155837+0.0424285j -0.0105919+0.028101j 0.0182622-0.0654191j 0.0176778-0.0270389j -0.0780045+0.0155332j -0.0420573+0.0629602j 0.0781783-0.0324228j 0.0016417-0.140954j -0.040087-0.154716j -0.0373451+0.039766j -0.021215+0.00723911j 0.0281461+0.115683j -0.0864183+0.102436j 0.0899981-0.107607j 0.0959466-0.10569j 0.0585285+0.0391504j -0.00233917+0.0210711j 0.0325194-0.025201j 0.00327287+0.11616j 0.0719563+0.00545913j 0.103306-0.122354j 0.0589005-0.0331963j -0.000938173-0.0928098j -0.0539108+0.0767172j 0.0073456+0.00342167j -0.0643517+0.0391405j 0.0218998+0.0102814j 
