-0.183428-2.22045e-16j 0.0642275+0.014706j 0.0422892+0.052442j 0.0588889+0.125104j -0.0302441+0.0101954j -0.000708882+0.0306181j 0.0120346+0.0932754j 0.0016943-0.0652454j -0.024752-0.0233312j 0.00986585+0.0193169j 0.0107847+0.0219737j 0.0318269-0.0177666j -0.0191689-0.0250532j 0.0209185-0.0262807j -0.0117653+0.00474354j -0.00881809-0.0156534j 0.0134831+0.0389497j 0.0205927+0.0328037j 0.0248145+0.0333674j 0.0444591+0.000215129j 0.0232574-0.01293j -0.0409675-0.0243308j -0.0113908+0.0130389j 0.0159169+0.00810683j 0.0329458+0.0190444j -0.0231799-0.0170331j 0.00536521+0.00109441j 0.00598684-0.0173472j -0.00924519+0.00551233j -0.0144229-0.0190368j -0.0176403+0.0441646j -0.0574616-0.0312216j -0.00180307-0.0505345j 0.00955199-0.0322372j 0.0292949-0.0240504j 0.0260035-0.0217457j -0.0290488+0.0357947j 0.00326279-0.00739762j 0.00421383-0.0207113j -0.00472654+0.0180771j -0.00590078+0.0243606j 0.000576548-0.0192741j 0.0312058-0.0315968j 0.0340403-0.0111673j -0.00686705+0.0218691j 0.0162521+0.0509271j 0.0306801-0.0239301j -0.00730837+0.00960555j -0.00676962-0.0384666j -0.05707+0.00114559j -0.0163878-0.037482j -0.0143838+0.0345058j -0.00500913-0.0316907j -0.0182841-0.0254983j -0.0308393+0.0109876j -0.0314161+0.0359913j 0.0193198-0.0320126j -0.00785073-0.00999798j -0.0550212+0.0277809j -0.031357+0.0075823j 0.0057012+0.0774898j 0.0651184-0.158951j 0.0925695+0.199541j -0.371771-0.0586025j 0.0305286-0.200848j -0.0428823+0.219238j 0.0161378+0.020264j -0.0209828+0.00655307j -0.213972-0.0868127j 
0.0642275-0.014706j 0.172893+5.89806e-17j 0.0963689+0.107683j -0.0215332-0.0495153j 0.000127746-0.0511031j 0.0323729+0.0540821j 0.0234736-0.0783374j 0.0141959+0.00407757j -0.0166999-0.0238077j -0.00565251-0.0277415j 0.0652752-0.0480106j 0.005717+0.0311172j 0.015182+0.0132001j 0.00707445-0.0156818j 0.0112572-0.0208671j 0.0259631+0.0330374j 0.00896156-0.0309976j 0.0121189+0.000449069j 0.00718021-0.0145868j 0.0371895-0.0480541j 0.0162686+0.0129543j -0.0281557+0.0160943j -0.0239687+0.015519j -0.0110537+0.0108225j -0.0171937-0.020329j 0.0189431-0.000870814j -0.0022937-0.026581j -0.0327173+0.0138016j 0.0102086-0.0319692j 0.0208779+0.0736904j 0.0428958+0.0596962j -0.0180651+0.0696507j -0.0198248+0.00475602j -0.00908602-0.00535795j 0.0178334-0.0354222j 0.00260452-0.0112362j -0.0135651+0.00343517j 0.0165233-0.0149577j -0.0207581+0.013559j 0.0219241-0.0122782j -0.00536733-0.00220105j 0.0155695-0.0161583j -0.0190176-0.0162451j -0.00253994+0.0114536j 0.00810562+0.006369j -0.0150392-0.00453622j 0.0185637+0.0341574j 0.000871999+0.00387513j -0.00122422+0.0561103j -0.00791072-0.0347698j -0.0387054-0.0130531j 0.00453896+0.0154574j 0.0347233+0.0434088j -0.0484408-0.010369j -0.0431642+0.043069j -0.0258494+0.0311164j 0.00687306-0.0012128j -0.068667+0.0628645j -0.051047-0.0162213j -0.0954908+0.0713093j 0.0071146-0.0591319j -0.0708827-0.0110016j 0.298755-0.0478384j 0.0823483+0.337698j -0.156238-0.13895j 0.0410265-0.00463313j -0.0658475+0.12898j 0.222425+0.0430103j 0.011631-0.0131856j 
0.0422892-0.052442j 0.0963689-0.107683j 0.0709516-8.32667e-17j 0.0767252+0.0494932j 0.0641024+0.091201j 0.0415911+0.0420511j 0.0460385+0.0576348j -0.0635037+0.0394603j -0.051783-0.000440173j -0.0383999+0.0749255j 0.030681+0.0477427j 0.0309086+0.015138j 0.0161684+0.0421127j 0.0221038+0.037677j -0.00621926-0.00331626j 0.0374273-0.044829j 0.0188316+0.0198878j 0.0336476-0.0649856j 0.0337099+0.0475504j 0.00774468+0.0250793j -0.0229093-0.026135j -0.0430413-0.00970974j -0.0473817-0.0846766j 0.0287341-0.0489481j 0.0125466+0.00380015j -0.00110294+0.023785j -0.0231385+0.000965441j -0.0674664+0.0493259j -0.00986295+0.0405567j -0.00180374-0.0496992j -0.0299498-0.0509737j 0.00821327+0.0192499j -0.0226393+0.0141061j -0.0719228+0.00898269j -0.0369253+0.00841012j -0.0160345-0.0100913j 0.0597261-0.0300169j 0.0369458+0.0235347j -0.0242887-0.075211j 0.0295138+0.031094j 0.0157341+0.028751j -0.0338202-0.00350804j -0.00231377-0.0561484j -0.024463-0.00363995j 0.0280272+0.0194495j 0.030459-0.0769759j 0.0326152-0.0471507j 0.031878+0.0155339j 0.00411436-0.0371687j 0.0214363-0.131772j -0.0053675-0.0168023j 0.00389575+0.0181412j 0.0145709-0.0418543j -0.0604054+0.0124212j -0.000102181+0.0581719j 0.0154184+0.0546247j -0.0400056-0.0350824j -0.141314-0.0363475j -0.146403+0.0675593j -0.159309-0.0733061j 0.0548126+0.0395078j -0.129844+0.36724j 0.00310405-0.0468224j -0.0830527-0.0643726j -0.0718936-0.0283247j 0.0338459+0.0363888j 0.0340513-0.123126j 0.0653064-0.109392j 0.016852+0.01614j 
0.0588889-0.125104j -0.0215332+0.0495153j 0.0767252-0.0494932j 0.0431146-9.71445e-17j 0.0483736+0.0183984j -0.0478818-0.0284906j -0.0129203-0.0553452j -0.0506186-0.0553774j 0.0194201-0.00103253j -0.0308234-0.0297213j 0.00346785-0.090229j -0.0308957+0.0166729j 0.0341066-0.0329469j 0.0303023+0.0115359j -0.0264883-0.00818958j -0.0279681+0.0100845j 0.0255554-0.0349091j 0.0201342-0.0468694j -0.00281665+0.00251793j -0.0125377+0.00170491j 0.0205929+0.0329034j -0.0233951+0.00733304j -0.0608213+0.0426284j -0.0441852+0.0107316j -0.0150892-0.0143156j 0.0268367+0.0152317j 0.00776278-0.0474238j 0.0745957+0.0618773j 0.0214371-0.0012768j 0.0428276-0.00055507j -0.0527761+0.0473403j 0.0559924-0.0313366j -0.0215724+0.0187682j -0.0685162+0.0414908j -0.0306949+0.0748861j 0.0276914-0.0538481j -0.00751318-0.0525688j 0.0475096+0.0516642j 0.0255542-0.0277961j -0.0434461+0.0442581j -0.0428914-0.0115026j -0.0331595-0.0390994j -0.0485563+0.0755092j 0.0379865-0.0540162j 0.0240096-0.0231099j -0.0193708-0.018065j -0.0315408+0.0502192j -0.0286767-0.000439781j 0.00916316+0.00268965j -0.0696918+0.106266j -0.00992679+0.0455143j 0.0131559+0.0090767j 0.0436116-0.0448963j -0.0852436+0.0425704j 0.0496306-0.0945063j 0.028768+0.0545635j -0.0133752+0.00951838j -0.120406+0.076589j 0.0838317+0.164826j -0.101875+0.269677j 0.00939487+0.0624292j 0.202555+0.000220692j -0.0191542+0.172253j 0.0941117-0.0428972j -0.0828406-0.00603332j 0.087428+0.123085j -0.037331-0.0227233j 0.0423749-0.00481308j 0.0436685-0.204686j 
-0.0302441-0.0101954j 0.000127746+0.0511031j 0.0641024-0.091201j 0.0483736-0.0183984j 0.0131044+9.71445e-17j -0.105916-0.0134576j -0.0331608-0.0632015j -0.0865939-0.00198677j 0.0213583+0.0191974j 0.0378712-0.00697159j -0.0236933-0.0414049j -0.0223966+0.0373375j 0.00539056+0.0279885j 0.0456278+0.00366429j -0.0206146+0.0304946j -0.0731407+0.00204109j 0.0398582-0.00169218j -0.0634344-0.0161878j 0.0375675+0.054522j 0.00645134+0.000432858j -0.0316721+0.0497419j -0.0501183-0.0852793j -0.049628+0.017303j 0.0415938-0.0388644j 0.00684334-0.0378707j 0.0768278-0.0547239j -0.030234-0.0031766j 0.0828536-0.0558542j 0.0734886+0.0470307j -0.0699421+0.0405166j 0.0770587-0.0775106j 0.0366085-0.00881172j -0.0624993-0.0562678j 0.0338306-0.0584029j 0.119209+0.0128804j -0.0199466-0.0861666j -0.0573057-0.0259834j 0.0701885+0.05118j -0.0989024+0.0137615j 0.107165-0.0365161j 0.00614804+0.0035832j -0.0248829-0.0673496j -0.0242394+0.0699678j -0.0429207+0.0804721j 0.0311876-0.0157976j 0.00937315+0.0508807j -0.0206727+0.0613318j 0.020006-0.0450221j 0.0107722-0.0267491j -0.029265-0.106881j 0.0674955-0.0895668j 0.0131264+0.0290912j -0.0711307-0.0291923j -0.0117556+0.0595365j -0.0533151-0.189068j 0.142572+0.0505675j -0.0313748+0.0498547j 0.0144768-0.130729j -0.0298736-0.0208231j 0.0724856-0.0939838j 0.10411+0.140149j 0.161872+0.0219153j 0.121088-0.101156j 0.0186681-0.0788147j -0.0603558-0.104095j 0.0831074-0.0206912j -0.0546667-0.0514453j 0.132203+0.09908j 0.0101035-0.172292j 
-0.000708882-0.0306181j 0.0323729-0.0540821j 0.0415911-0.0420511j -0.0478818+0.0284906j -0.105916+0.0134576j -0.104524+1.19349e-15j 0.0708739+0.00332778j -0.0574326+0.0201581j -0.108457+0.0106382j -0.0256657+0.0554954j 0.0396751+0.0666477j -0.0664581-0.0436475j -0.0271389-0.0237141j -0.0166576-0.0366051j -0.0229616-0.0298358j 0.0877632+0.00428048j 0.031044+0.059517j 0.0186927+0.0527128j 0.0455278+0.00737838j -0.0500805+0.0715047j -0.00208973+0.0204666j -0.0807292+0.0467555j 0.0468914+0.123781j 0.0338303-0.0115667j 0.0045893+0.0176662j -0.026539+0.082386j 0.0143502+0.0482295j 0.0853628-0.0489026j 0.0257395-0.0329729j -0.0865518-0.0272413j 0.00462548-0.000870466j 0.0931635+0.100691j -0.0347018+0.126823j -0.0936927-0.054846j -0.0234602+0.0337734j 0.0692301+0.0929095j 0.0695952+0.0979064j -0.0120946-0.0150702j 0.0077587+0.0331179j 0.0617719+0.0589085j 0.076189-0.0405106j -0.0149017-0.00221239j -0.0836065-0.0652936j -0.073125+0.0361469j 0.0182142-0.0257369j -0.039458+0.132694j 0.0898458+0.115308j 0.0343365-0.0114619j 0.185355+0.0448049j 0.0449128+0.0526771j -0.0679231-0.101935j 0.123892+0.0792839j 0.0131239-0.0469382j -0.107613+0.0080671j -0.078293-0.0354932j 0.0430424-0.157357j 0.00730261+0.0427371j -0.0940425+0.0742208j -0.0457688-0.0162836j 0.0658245+0.024027j 0.0334099-0.0598175j 0.0511692-0.100715j -0.012486+0.0604293j 0.0282076+0.151167j 0.0125132+0.0575815j 0.0576967-0.0177067j 0.0319897+0.0769971j 0.105218+0.307914j 0.30294+0.000751093j 
0.0120346-0.0932754j 0.0234736+0.0783374j 0.0460385-0.0576348j -0.0129203+0.0553452j -0.0331608+0.0632015j 0.0708739-0.00332778j 0.0733699-1.94289e-16j 0.0441257+0.0349678j 0.0184287-0.0526909j -0.0643605+0.0593995j 0.0138259+0.0112573j -0.0389386-0.0165143j -0.00145752-0.0595688j 0.0118258-0.0681847j 0.00921379+0.0179027j 0.0231047-0.024246j 0.0193704+0.019511j -0.00508028-0.0739013j -0.00985-0.00342483j -0.0148976-0.092734j 0.0398235+0.039189j 0.078276+0.0658869j 0.00985206-0.0363514j -0.00131449+0.01712j -0.00575644+0.000560981j 0.0568615-0.115399j -0.0345838+0.0868809j 0.157231-0.0189977j -0.106895-0.0289298j -0.105143+0.0415607j 0.0580033-0.114331j -0.0683719-0.0392752j 0.0865944+0.0316034j 0.00991134+0.0624441j -0.0219679-0.0720386j 0.0781536-0.0649393j -0.00808971+0.00513747j 0.00108969-0.0764931j 0.0089847+0.00734312j -0.0447708+0.0107958j 0.0648637+0.0295838j -0.0055143+0.0737481j -0.0662021+0.0236573j -0.164298+0.024766j 0.00832719-0.0352998j -0.118613-0.0889364j -0.124243+0.121509j 0.0811964-0.0288016j -0.0140409+0.0748624j 0.0349778-0.0927493j 0.116736-0.0573671j -0.0177248-0.0488027j 0.0396111+0.0128963j -0.0380986+0.140855j 0.0345405+0.10225j -0.0997894-0.086251j 0.0524239-0.14149j 0.0380063-0.128795j 0.0989549+0.00896199j 0.077474+0.0215564j -0.115902+0.022181j 0.0773677-0.0237023j 0.0566267-0.172286j -0.000357076+0.0222579j 0.0779079-0.0624019j 0.0947265-0.144982j 0.0335607-0.0817188j -0.217174+0.0799554j 0.117077+0.198793j 
0.0016943+0.0652454j 0.0141959-0.00407757j -0.0635037-0.0394603j -0.0506186+0.0553774j -0.0865939+0.00198677j -0.0574326-0.0201581j 0.0441257-0.0349678j -0.0565548-6.71338e-16j -0.00820453+0.0252116j 0.0437503-0.0757055j -0.0140694+0.0115372j -0.0143807+0.03625j 0.0422797+0.091575j 0.0221327-0.0368504j -0.0272289+0.0970113j -0.00737201+0.0930095j 0.0431563-0.0146526j -0.087573-0.0664985j -0.0424569+0.00371209j 0.0142151-0.0817617j 0.119385-0.163464j -0.000102083+0.0161916j -0.012165+0.0251581j -0.0527518+0.0186035j -0.132457+0.0885678j -0.0528708-0.109994j 0.0925565-0.0110328j 0.0470678-0.0258443j 0.0204369+0.0985651j -0.00149153+0.186736j -0.0779831-0.00818147j -0.0586538-0.0808108j -0.105728-0.0998573j -0.104319+0.0786674j -0.0253991+0.00824982j -0.093582-0.0190836j -0.0134112-0.117282j 0.11029-0.0831073j 0.0666998-0.0829094j -0.0988191+0.0504126j -0.042134+0.095395j -0.0420202+0.0357902j 0.0082925+0.00178978j 0.03439-0.147953j 0.00267414-0.0488056j 0.0352033-0.0646648j -0.0318742-0.0342063j -0.0596922-0.00846956j 0.0553071-0.0320294j -0.0739129-0.0813334j -0.014591-0.0171165j 0.0222168+0.00544674j -0.0101204+0.109765j 0.056445+0.000904067j -0.0582294+0.0642768j -0.0632406+0.0684599j 0.00704327+0.0610754j -0.128077+0.00199937j 0.118693-0.017505j 0.0648723-0.0650043j 0.098065+0.0300629j -0.0458258+0.00987656j -0.0852449+0.0870688j 0.0702738-0.036059j -0.200645+0.0288113j 0.171125+0.0219332j 0.106815-0.267919j 0.0200277-0.00803855j -0.0110143+0.0853244j 
-0.024752+0.0233312j -0.0166999+0.0238077j -0.051783+0.000440173j 0.0194201+0.00103253j 0.0213583-0.0191974j -0.108457-0.0106382j 0.0184287+0.0526909j -0.00820453-0.0252116j 0.0162126+4.60743e-15j -0.0959966-0.0102626j 0.0285515+0.106211j 0.0115932-0.00569594j 0.0184397-0.0026367j 0.0415593+0.104879j 0.0103746+0.0866833j 0.0576638+0.0238748j -0.0566921+0.0286103j 0.0261355-0.00830035j -0.0648195+0.059356j -0.053711+0.0498677j 0.000260138+0.0346547j 0.0151156-0.0819554j 0.0640379-0.0999018j -0.0704126+0.00801343j -0.0277947+0.0376329j 0.0439465+0.071231j -0.130212+0.0947474j 0.0518093+0.104181j -0.0244591-0.0224657j -0.0334544+0.114241j -0.125045-0.143224j 0.135887-0.0378276j 0.0454655+0.157527j -0.145181+0.219322j -0.0446893-0.0257695j 0.0650133-0.0494537j -0.000799663-0.0624018j -0.0210535-0.162514j 0.0197575+0.0614102j 0.0210679-0.0387477j -0.018218+0.0583145j -0.000497663+0.109707j -0.0641566-0.0291707j -0.014796-0.0318702j -0.00477847-0.0143364j 0.0317213-0.0955141j 0.0116548-0.0340015j 0.00539528-0.0254797j 0.0767143+0.0637634j -0.0164396-0.0197991j 0.040756-0.0321105j -0.01003-0.0313209j 0.0475006+0.0480977j -0.0559922+0.0518282j -0.0251138+0.0344006j -0.021516+0.0201413j 0.027374-0.0220219j -0.00214231-0.107238j 0.00878888+0.0379836j -0.0424669-0.0523332j 0.00941882-0.0112442j 0.0206402-0.0206509j 0.0427225+0.0289237j -0.0515176-0.020098j 0.0349171-0.0609385j 0.0496709-0.0201384j -0.0884968-0.00773733j 0.0811938-0.00918326j -0.0820596-0.0168583j 
0.00986585-0.0193169j -0.00565251+0.0277415j -0.0383999-0.0749255j -0.0308234+0.0297213j 0.0378712+0.00697159j -0.0256657-0.0554954j -0.0643605-0.0593995j 0.0437503+0.0757055j -0.0959966+0.0102626j -0.029293-1.30174e-14j -0.0358605-0.0181102j 0.0577809+0.028159j -0.0396459+0.061059j 0.0366709+0.0593609j 5.34193e-06+0.00179478j -0.0213935+0.00847019j -0.0203+0.0620578j 0.00453753+0.0272932j 0.00141318-0.0070118j -0.0846505+0.025436j -0.0186298-0.0219722j -0.00289169-0.0687983j 0.0133153-0.0450307j -0.0477042+0.102368j -0.0945086-0.0185388j 0.00947699-0.0302014j -0.0251194-0.0187068j -0.0227688+0.00951711j -0.0755762-0.0779082j 0.00307888-0.0187582j 0.210262-0.10634j 0.161542+0.162804j -0.122413+0.0277636j -0.0548212-0.0885453j 0.0511973-0.179633j -0.00231605-0.0256994j 0.00234475+0.160321j 0.000400646-0.100487j -0.0597549+0.0712807j 0.0967458-0.00455792j 0.0443222+0.0708719j -0.0113209-0.0228972j 0.00761706+0.0127413j 0.0218554+0.00472335j 0.0631117+0.000580043j 0.0242294+0.0164624j 0.0807196+0.0816528j 0.0312533-0.0666501j -0.0196961+0.0650113j 0.0175167+0.000808904j -0.0174171-0.0130804j -0.00886029+0.00639651j 0.0282966+0.058421j -0.0232098-0.0324224j -0.0474986-0.020855j 0.000625717-0.0151645j 0.0182927-0.0189973j -0.0488829-0.0820453j 0.0824505-0.0422916j 0.00470929+0.0348874j 0.00805278-0.0113306j 0.0124539+0.010772j -0.0432725+0.0198699j 0.0282919-0.0978556j -0.0108008-0.00215486j 0.030104+0.00729176j -0.00547264-0.131037j -0.0933364-0.0103243j -0.0781105+0.0387213j 
0.0107847-0.0219737j 0.0652752+0.0480106j 0.030681-0.0477427j 0.00346785+0.090229j -0.0236933+0.0414049j 0.0396751-0.0666477j 0.0138259-0.0112573j -0.0140694-0.0115372j 0.0285515-0.106211j -0.0358605+0.0181102j -0.00204334+9.85323e-16j 0.0397845-0.0124976j -0.0406171+0.00462556j 0.0159193-0.0587487j 0.0402468+0.0211442j -0.0134721-0.0360586j -0.102975+0.00729839j 0.00392659+0.0778965j 0.0558772+0.0339138j -0.031014+0.0309547j 0.11827-0.0877774j -0.0665121+0.113452j 0.0923286+0.11733j -0.0166602-0.0223258j 0.061535-0.100669j 0.0579561+0.0405032j -0.0290334+0.0897772j 0.0948572-0.0934684j -0.0283335-0.199378j -0.121691-0.063813j -0.183856-0.0199011j -0.0226972-0.114297j 0.134978+0.0367333j -0.0185214-0.0592603j -0.0908504+0.105678j -0.0190087+0.123566j 0.0922201-0.0406114j -0.0303677+0.070587j 0.109971-0.0151154j -0.103379+0.0259808j -0.0182523+0.0312794j -0.00644436-0.00154806j -0.0170079+0.0866655j 0.0084171-0.092713j -0.052293+0.0278267j -0.0183857+0.0294785j -0.0648362+0.0144364j 0.000935253+0.145537j 0.00612281+1.34903e-05j 0.0426196-0.00883447j 0.040766-0.0694604j -0.0035601-0.0206902j -0.0378358+0.0359498j 0.0565133-0.00840877j -0.0516951-0.051134j 0.0167434-0.0241801j -0.0470523+0.015963j -0.0395207+0.0762654j 0.00210781+0.0546744j -0.0214342+0.0594171j 0.0363686-0.0830803j -0.0586566-0.0052252j -0.176053+0.0814671j -0.013531+0.0540391j -0.046967+0.117608j 0.00117031+0.0729794j 0.128081-0.0259853j -0.0176371+0.030523j 0.0209649+0.0424032j 
