-0.0130252-0.0138993j -0.00711179+0.0514911j -0.00707134+0.0597359j -0.00759185-0.0483256j -0.00281326+0.0590973j 0.00101805+0.0331101j 0.00624143-0.00870587j 0.00480042-0.0241758j 0.00621519-0.0843925j -0.000567801-0.142379j -0.00510811-0.0713039j 0.00314675+0.120683j 0.00486262+0.21769j 0.00354745+0.24902j -0.00447323+0.561406j -0.0104542-0.228691j 0.0177611+0.238651j 0.00769301-0.11974j 0.0259245+0.120691j -0.00933041-0.0582211j 0.0324113-0.13493j -0.0146247+0.0815842j -0.030447+0.0543297j -0.0374433-0.0204214j -0.0473809+0.152241j 0.00113564-0.217917j 
-0.00841362+0.0550878j 0.0158782+0.0103504j 0.00857602+0.0415546j -0.0103425+0.145419j 0.00871246+0.0238984j 0.00386767+0.0347823j -0.0020315-0.114005j -0.00426678-0.0737439j -0.00520855+0.00365479j -0.00886013+0.0853238j 0.00209101+0.186806j -0.00220287-0.210169j 0.00605432-0.0253311j 0.000368214-0.00395196j 0.00720929+0.189633j 0.017254+0.48619j -0.0137864+0.384743j 0.00593735+0.296134j -0.00868964+0.0923067j 0.00111233-0.0555295j -0.00545414+0.113203j -0.0432258+0.0343757j 0.00508302+0.0631694j -0.0152301+0.009165j 0.00535526+0.212111j -0.0447802+0.157611j 
0.0246969-0.0268138j -0.00536094-0.0331893j -0.0102111-0.0521369j 0.00770735-0.095813j -0.00576958-0.0661879j -0.0088776-0.0776541j 0.000633938+0.099791j 0.0116493+0.0526365j 0.00112924-0.209153j 0.00373564-0.0448757j 0.00537219-0.121279j 0.00816415+0.174252j -0.00271687-0.171717j 0.00174043+0.360384j -0.00873716-0.135832j 0.00069641+0.216871j 0.0271434-0.0464455j -0.0183327-0.0262967j -0.00912256+0.136147j 0.0216111+0.0342511j -0.009585-0.041921j -0.0577305+0.0156393j 0.0275845+0.0549493j -0.0562125+0.135462j 0.00251855-0.049824j 0.00908826-0.0146509j 
-0.00960546+0.0223472j 0.00998791-0.00769359j -0.0136117+0.000890778j -0.0228623+0.0403834j 0.0160253+0.0388768j 0.025163+0.00329563j -0.00412894-0.0950458j 0.0135146-0.0835565j -0.00992945-0.273985j 0.00593818-0.00213427j 0.00102311+0.13637j -0.00328847-0.0509444j 0.0482294+0.0376041j -0.00515395-0.0854326j -0.0306571-0.155047j 0.0284849-0.131163j 0.0376253-0.0185449j -0.0676349+0.0742008j 0.00888223+0.00213379j -0.0550007+0.0259378j 0.017521+0.005171j -0.0683604-0.00184416j -0.0263628+0.0418589j -0.0135997-0.0393987j -0.0117816-0.0154867j -0.0031717+0.0421334j 
-0.00375319+0.00255595j -0.00833665+0.0295687j 0.00340064+0.0491058j 0.00470232-0.00960106j -0.00304253+0.0270447j 0.000965609+0.0275901j -0.00024715+0.00384234j 9.19679e-05-0.0236468j -0.0023556-0.0773132j 0.00103871+0.0161661j 0.00358083-0.0377921j 0.00193619+0.120182j -0.00241788-0.0299442j -0.00102096+0.211918j -0.00623006+0.200556j -0.000775822+0.204628j 0.0232265+0.210949j -0.0320529+0.0675702j -0.0100419+0.131585j 0.0179776-0.0238627j -0.00431365-0.0356635j 0.0293812+0.0369815j 0.0146074+0.0262695j 0.0462134+0.0701038j 0.0253909+0.138039j 0.0290505-0.0231933j 
0.0294969-0.0088832j 0.00905848-0.0189749j -0.0239084-0.0457607j 0.00640468-0.0764859j 0.00896995-0.0583996j 0.00955519-0.081458j -0.00440667+0.0486159j 0.00546089+0.0468372j -0.00545314-0.0999345j 0.0203473-0.0372663j -0.00718082+0.0485969j -0.00501651-0.0308273j 0.0225411-0.0805786j 0.00721526+0.241496j 0.00191378-0.00690967j 0.00616327+0.178954j -0.0396603+0.0377976j 0.0212076+0.0178225j 0.0160412+0.0855093j -0.0754233-0.00373226j -0.0217268+0.00182424j 0.0322486+0.0116967j -0.0204946+0.062637j 0.00504873+0.0838083j 0.00443278+0.0181415j 0.0148748+0.01545j 
-0.0015178-0.0262492j -0.00157004+0.0170125j 0.00452334+0.00662419j 0.0116996-0.0870019j 0.00356909+0.0189791j 0.0224011-0.0328124j 0.00321302-0.00779526j 0.00219079+0.0400565j -0.00204373+0.0433893j 0.0131158-0.0335154j 0.00408258+0.0225829j -0.00451678-0.0412882j 0.0297674+0.138118j 0.0182405+0.00806684j -0.00438678+0.200182j 0.0133448-0.307281j -0.0256987-0.0215437j 0.00108624-0.122046j -0.00697531-0.0229754j -0.0235707-0.01332j -0.0263178-0.0400659j -0.0359114-0.00699766j 0.0280448+0.0020647j 0.0139507-0.0247583j 0.0373541+0.0124838j -0.026985-0.141732j 
-0.028301+0.0417984j -0.0465975+0.0320964j 0.00503365+0.0899303j 0.0317884-0.0172002j -0.021055+0.111382j 0.0290327+0.0247513j 0.0210594-0.0145949j 0.00612739-0.0550225j 0.0236624+0.0441808j 0.0268406+0.172963j -0.00199996+0.0698398j 0.000493794+0.10381j 0.0273334-0.077801j 0.0287381-0.0666661j -0.0199123-0.103982j -0.0287069+0.113094j 0.00344528+0.04069j 0.027079+0.0978144j 0.0373465-0.00214157j -0.0178727+0.00948028j 0.0255074+0.00136001j -0.00170364+0.0090842j -0.00108905-0.0272919j 0.00058101-0.0160807j -0.0208219+0.0134357j 0.0175384+0.0761117j 
0.00250936-0.018542j -0.0264963+0.00342742j 0.0596611-0.0324981j -0.0182914-0.0504226j -0.0234663+0.0551972j -0.0092319+0.0522297j -0.0204398+0.0158379j -0.0143121-0.0133933j 0.000197837+0.124447j -0.0192986+0.0134187j -0.00321441-0.110845j -0.0082112+0.326207j -0.0390376-0.145655j -0.00226654+0.147597j 0.0047839-0.0660746j -0.0131295+0.101389j 0.0064579-0.0295595j -0.00698428-0.0294108j 0.00751582+0.0141479j -0.0186668-0.00242262j 0.0192116-0.0314654j -0.00587265+0.00552735j -0.00555559-0.0347083j 0.0102662+0.078351j -0.0053376-0.0416809j -0.015534-0.0322809j 
0.0387444-0.00305056j -0.0213051+0.071336j 0.0224921+0.0262373j 0.00327198+0.017384j -0.0205839-0.00555977j -0.0174047+0.0491647j -0.0152854-0.0463391j -2.31618e-05+0.0268904j 0.000683319+0.187327j -0.00343894+0.137038j 0.000225878+0.0126143j -0.00071432-0.370062j -0.0330059+0.0937554j -0.00490306-0.218274j -0.00178768+0.207375j -0.0121058-0.0755062j 0.0118915+0.0779998j -0.0107106+0.0171594j -0.0031475-0.076354j -0.00787776-0.0150776j -0.00672989+0.0363602j -0.00666312-0.0332426j 0.0159183-0.0334525j -0.0197717-0.118883j 0.00759794+0.0714976j 0.0222014+0.029979j 
-0.00507551+0.032469j -0.0129927-0.0115487j 0.0201226-0.0389063j 0.0030021-0.101489j -0.0115556+0.0510756j -0.00498175-0.036097j -0.00175485-0.0658347j -0.00581924-0.00534383j 0.00393527-0.619621j -0.00418465+0.193041j -0.000649368-0.274124j 0.000580351-0.470826j -0.0160105+0.0117933j 0.00245393+0.113986j 0.00456999-0.0981867j -0.0108411-0.156017j 8.91283e-05+0.0177271j 0.00677036+0.0575172j 0.000540513+0.0590254j 0.0133557+0.0646074j 0.00385109-0.0445455j 0.0102086-0.0559147j 0.00753042+0.155031j 0.0107546+0.0144022j 0.00283919-0.00249921j -0.00151989+0.00555764j 
