0.00497721+0.00335473j -0.000900897+0.0106853j -0.00179256+0.00894407j -0.00489167-0.0056484j 0.00321139-0.00462985j -0.00220597+0.013985j -0.00292747-0.00702221j 0.00330515+0.0129281j 0.000276376+0.00903617j 0.000255315-0.00963415j 0.00857712+0.00592904j 0.00209213+0.00773975j -0.00365105+0.00796209j -0.00416411-0.00292901j -0.000123333-0.00622393j -0.00464247-0.0105781j -0.000338506+0.0229539j -0.0115874-0.0271223j -0.0104794+0.0413824j -0.0017036-0.0730896j -0.0129644-0.126385j -0.0193255+0.210301j 
0.000907798-0.0106334j 0.00512228+0.00343109j 0.0038851+0.00477647j -0.00159681+0.012756j -0.00193441-0.00487124j 0.00560926+0.00567211j -0.00117938+0.00842517j 0.00325227-0.00679486j 0.00258577+0.00191728j -0.00344199-0.00347045j 0.00121027-0.0144941j 0.00268608-0.00163469j 0.00278717+0.00767686j -0.00408396+0.0124134j 0.000232698+0.0013301j -0.00403428+0.00348794j 0.0117711+0.0273032j 0.00270313+0.0119281j -0.00594651-0.0824172j 0.0166118-0.0570508j -0.0197792+0.207854j 0.0117581+0.127349j 
0.00167512+0.0095322j -0.00406776+0.00213164j -0.00245623+0.00236981j -0.00230057-0.00885377j 0.000681495-0.00100884j -0.00378879+0.0047572j -0.00227371-0.0147945j 0.00331404+0.0104312j 0.00180038-0.00472607j 0.00245127-0.00275286j 0.00748047-0.00450984j -7.2918e-05+0.003039j -0.00576113+0.00610878j 0.00561105+0.0475064j -0.00329866-0.047934j 0.00402714-0.023706j 0.0112059+0.042451j -0.00651408+0.0447195j 0.00595274+0.0601962j 0.0208819-0.225104j -0.00685017-0.0239033j -0.00857933+0.021889j 
0.00470115-0.00390899j 0.00303325+0.0114468j 0.0032659+0.00231256j 0.0020946+0.0123557j 0.00121041+0.0171446j 0.000486561-0.00194648j -0.00457152+0.0123424j -0.0034282-0.0145247j -0.011017-0.00415004j -0.0055853-0.0221776j -0.00403513+0.0196197j 0.00685842+0.0125431j 0.00371967+0.00429552j -0.00448594+0.00106667j 0.00474533+0.0430779j 0.00151644+0.0872822j -0.000478691+0.0972759j -0.00751244-0.0842609j 0.00291997-0.18036j -0.0107658+0.0204011j -0.00516512+0.0119839j 0.00496043+0.0114141j 
0.000667585+0.00313212j -0.00139924+0.000833971j -0.00264149-0.000354302j -0.000919495-0.00903429j 0.0044107-0.000858077j -0.000612442+0.00695005j 0.000535427+0.00877396j -0.000194597+0.00719419j 0.000185689+0.00643475j 0.00450569+0.00745334j 0.00210506+0.00226079j 0.00794783+0.0451872j 0.00924028+0.0261639j -0.000990613-0.0250907j 0.00587623+0.00712772j -0.00596214-0.0584715j -0.00549479+0.117626j -0.00708736+0.12493j -0.00134829-0.00349452j 0.00238413-0.000902469j -0.0021125-0.00605856j -0.0026315+0.00561321j 
-0.00140627+0.00972096j -0.00491077-0.00480529j -0.00112905-0.00427673j 0.00215301-0.00708849j -0.000690518+0.0196805j -0.0104024-0.00853578j -0.00619741-0.0190994j -0.00127659+0.0277275j -0.00221038+0.0183523j -0.00661861-0.0470872j 0.00530443+0.060287j 0.00839111+0.0622244j 0.00357644+0.0293343j 0.000748592+0.0799259j 0.000124388-0.117913j 0.00864809-0.080386j -0.0121466+0.105766j -0.00584397-0.0690524j 0.00437549+0.00372537j 0.00236413-0.0209531j -0.000131054-0.0157704j -0.00692527+0.00244643j 
0.00371936+0.00112876j 0.000232259+0.00799381j 0.00328004+0.00650249j -0.000564542+0.0100637j -0.0018839+0.00398651j 0.000550602-0.000547421j 0.00179138-0.00504952j -0.00371962-0.0185246j -0.00281525+0.00636447j -0.00539075-0.066605j 0.00190889+0.0664314j 0.000465643-0.0953155j -0.00337414+0.099838j -0.00693359+0.0666209j -0.0113958+0.0469536j 0.00542664+0.0809434j 0.00405247+0.00617258j -0.000485145-0.0152963j 0.00156979-0.0146108j -0.0034819+9.32214e-06j -0.0026541+0.00311384j 0.00118139+0.00516056j 
0.00243102+0.00259454j -0.000464134+0.00547868j 0.0079875+0.00118872j 0.00458463+0.0206478j -0.00596225+0.0315524j 0.000263269-0.0313052j -0.00104603+0.0179679j -0.000253085-0.054727j -0.0120384-0.086127j 0.00162824-0.0223198j -7.28326e-05+0.152434j 7.43748e-05-0.0190761j -0.00167216-0.0204425j 0.011795-0.0883014j 0.000182804+0.0549497j 0.00101338+0.0199695j 0.000403949+0.0325852j -0.00620703-0.0304164j 0.00452219-0.0228272j -0.00810572+0.00169675j 0.000488964+0.00525005j 0.00245469-0.0029917j 
-0.00110701+0.00500497j -0.00264327-0.00275189j -0.0034314+0.000601837j -0.00165471-0.0137991j 0.000559394-0.0138836j -0.00396414+0.00798993j 0.00529949-0.0796146j 0.0112685+0.0446805j -0.00706917-0.0662315j -0.00345634-0.100242j 0.00191616-0.0689952j 0.000515838+0.0952681j -0.00544993+0.0659095j -0.00288148-0.00588672j 0.00363368-0.0191475j 0.00181383+0.00500275j -0.000518474-0.00152573j 0.0018979+0.00307662j 0.000590742+0.0100812j 0.00327416-0.00715389j 0.00016311-0.00824065j -0.00375421+0.00157243j 
-0.00685098-0.00148198j -4.86495e-05-0.015156j -0.00251322-0.0201958j 0.00434988-0.00539673j -0.00540468+0.0697706j -0.0122284-0.100962j -0.00887267-0.0812424j 0.000128873+0.121329j -0.000749566+0.0784523j -0.00352179+0.0281269j -0.00520728+0.0605898j -0.0081494+0.0633441j 0.00657975-0.0458825j 0.00222266+0.0203248j -0.00128378-0.028866j 0.00615815-0.0201345j -0.0105734+0.0108822j -0.0009727-0.0197784j 0.00227022+0.00699484j 0.00114819-0.0048347j 0.00491511-0.00557198j -0.00158142-0.00997405j 
-0.00264091-0.00487151j 0.0020426-0.00624492j -0.00233979-0.0010316j -0.0012277+0.00477066j -0.00716652-0.122125j -0.00570975-0.119963j 0.00574076-0.0606696j 0.00594044-0.00654531j 0.000762466-0.0256214j -0.00931937+0.0245581j -0.00208656+0.00396455j -0.00807458+0.046245j -0.00461663+0.00857885j -4.09927e-05+0.00679405j -0.000378042-0.00721004j -0.000338787+0.00855307j -0.000757496-0.00689317j 0.00444285+0.000168402j -0.000783889+0.00964463j 0.00265316-0.000610083j 0.00144578+0.000827696j 0.000638019-0.00333387j 
-0.00473081+0.0113534j -0.00522929-0.0106271j -0.0105727-0.0149807j -0.00329836-0.178312j 0.00760951-0.0873246j 0.000423636+0.0988195j 0.00167674-0.086574j -0.00465281+0.0416693j -0.00406893-0.00293823j 0.00359515-0.00426262j -0.00380336-0.0225887j 0.00685941-0.012176j -0.00553+0.0231292j -0.0113593+0.00580833j 0.0031614-0.0145035j -0.00470276-0.0118253j -0.000346217-0.00198379j -0.00108018+0.0180531j -0.00210195+0.0125423j 0.0033072-0.00274927j 0.00290253-0.0119969j -0.00479989-0.00356745j 
-0.00865044-0.0195914j 0.00652131-0.0247758j -0.021041-0.224047j 0.00585435-0.0647616j -0.00644958-0.0462924j 0.0109748-0.0402766j -0.00400139-0.0260227j -0.00355265+0.0505878j -0.00569861+0.0465687j 0.00590635+0.005914j -0.00750326-0.00430495j 0.000264488+0.00330972j -0.00255495-0.00256804j -0.00201272-0.00420044j 0.00328526-0.0115041j 0.00216729-0.0156188j -0.00396977-0.00441224j 0.000650799+0.0012203j -0.00222406+0.00939984j 0.0025632+0.00217297j 0.00418412+0.00181598j 0.00153977-0.00993223j 
0.0112714-0.132388j 0.020117+0.204299j -0.0165669-0.0606137j -0.00617306+0.0818079j 0.0021506-0.011083j 0.0118976-0.0288322j 0.00424077+0.00331172j 0.000302615-0.000962594j 0.00422848+0.0126005j -0.00265567+0.00827329j -0.00154221-0.0143949j -0.00281679-0.00150958j 0.00341371-0.00392084j -0.00266964+0.00200581j 0.00330998+0.00667505j 0.00129884+0.00848107j 0.00554379-0.00642446j -0.00174882+0.00498227j -0.0018332-0.0128218j -0.00382695+0.00519839j -0.00511337+0.00383295j 0.00108172+0.0107441j 
0.0196613+0.206981j -0.0125074+0.131499j -0.00195215+0.0728707j 0.0101908+0.0445077j 0.0118078-0.0271096j 0.000786588+0.0226369j -0.00450521+0.0114105j 5.28268e-05-0.00711444j -0.00404298+0.00266688j -0.00378881-0.00810921j 0.00860118-0.00635369j 0.00210683-0.00832476j 0.000387257+0.00987297j 0.000242995-0.00916073j -0.00317345+0.0131425j -0.00286357+0.00763531j 0.00253403+0.0139113j -0.00333912-0.00421252j 0.00483675-0.00627141j -0.00196669-0.00893698j -0.00107823-0.010825j -0.00497825+0.00376452j 
