-0.00311334+0.00657373j -0.0451087+0.0640908j 0.0743284-0.00511297j 0.0124445+0.00901773j -0.0220547-0.0180988j -0.0250129+0.0404281j -0.0390631+0.0180892j -0.0617856-0.0241808j 0.0024488-0.0112648j 0.024072-0.077876j -0.0757734+0.0155029j 0.059783-0.0443052j 0.0302862-0.0330091j -0.035666-0.0352103j -0.0323697+0.0329705j -0.0316523+0.00416295j 0.0320454-0.0421849j -0.0148708-0.0130489j -0.00670119-0.0239593j -0.0846901+0.0123447j -0.0217384-0.00721869j 0.00254748-0.0482448j -0.0193622-0.00346214j -0.00604574-0.0328544j -0.000379812+0.0126066j 0.00869064+0.0174881j -0.0227624-0.0439436j 0.0471083-0.00122276j 0.0416732+0.00406772j -0.0289626+0.0280963j 0.0324965-0.00969459j -0.0222528+0.0519249j 0.0199385-0.0114712j -0.0123974-0.0142238j 0.00626416-0.0107185j 0.0285009+0.0105338j -0.0299698+0.0268669j -0.0436811+0.00944068j -0.0499402-0.00149408j 0.00342418-0.0441435j 0.0208427+0.0243014j 0.037791-0.0296671j -0.0554451+0.0114813j -0.0450787+0.00246225j -0.0157613-0.00126284j 0.0172496+0.0336605j -0.0441163+0.0916821j -0.0374118-0.00123746j 0.0725577+0.00458836j 0.0184419+0.043301j -0.0100665-0.0115423j -0.00217671-0.012077j -0.00360672+0.00141648j 0.0108617+0.0140252j -0.000407876-0.00852754j 0.0907899-0.020281j 0.0555999+0.000895171j 0.0302002-0.0551051j -0.0121988-0.0710931j 0.0104228-0.0148333j -0.056424+0.00988757j -0.0305109+0.00426069j 0.0662202+0.0248629j -0.0308829+0.0976071j 0.0649003-0.0710089j 0.0413878-0.0826006j 0.0799673-0.0600821j -0.113528+0.244001j -0.0618418-0.0553324j -0.0688591-0.0638898j -0.137321+0.0190253j 0.00736883+0.0776177j -0.0825578-0.0117278j 0.042434+0.0150838j 0.0247948-0.0157953j -0.057607+0.0804231j -0.0890708-0.0404497j -0.00182858+0.0322187j -0.0673666-0.170837j -0.0500661+0.00976982j -0.0165598-0.0260419j 0.0345381-0.019113j -0.00325327-0.0569686j -0.0264428-0.060339j -0.0549935+0.0908235j -0.0810037-0.0409227j 0.100369+0.0221672j -0.00214945+0.0550301j 0.0459483-0.205727j 0.117084+1.64974e-05j -0.00259463-0.0419111j 0.113234+0.0712729j 
-0.0419734+0.0622336j 0.00813322-0.0153299j -0.0029219+0.00897151j -0.065663-0.00953823j 0.0167464-0.0358442j 0.0305656-0.0197756j -0.0581089-0.0123461j 0.00326489+0.016427j -0.04987+0.0344178j 0.00144273-0.0118144j 0.0335024-0.0830277j 0.0407772-0.020148j -0.0070671-0.0121913j -0.0122468+0.0384191j -0.01045-0.0578393j 0.0370314-0.0012016j 0.00188319+0.01004j 0.00818798+0.00848576j 0.00552791+0.00152994j -0.0392405+0.0209489j 0.0626436-0.0228851j -0.0191073-0.0122973j 0.0353268-0.0200529j 0.00870777+0.029549j -0.0295528-0.00676049j -0.00307375+0.00962928j 0.0159775+0.0304776j 0.00638791+0.00075434j 0.00893344-0.00669661j -0.0342371-0.018454j 0.0306045+0.000267289j 0.00907411-0.0116083j 0.00758247+0.0149748j -0.0259119-0.0341687j -0.0338912+0.0287151j 0.00575363+0.0452521j 0.0329847+0.0353382j 0.0265885-0.0227395j -0.01087+0.0165725j -0.00381146-0.0128653j 0.0153442-0.0117051j 0.0178375-0.0581356j -0.00617316+0.0137832j 0.00740329+0.0451492j -0.00452658-0.0133528j 0.0260956-0.0202621j 0.023398+0.0216254j 0.00039174+0.0414907j 0.0351161-0.0582543j 0.0736449+0.017757j -0.00355957-0.0011223j -0.0479012-0.0160927j -0.0104236+0.020153j 0.0070282-0.014821j -0.0178394-0.0233102j 0.0228634-0.067359j -0.0224215-0.103987j 0.0461165-0.0286683j -0.0172426+0.0506603j -0.0319566+0.0013457j -0.0297626+0.119433j 0.00979389+0.0164429j 0.0725361-0.0250994j 0.0202255-0.0218397j -0.0611178-0.0448678j -0.0208217-0.030584j 0.010761-0.075636j 0.209617+0.0332193j -0.0454078+0.0422051j -0.0965333+0.0890242j -0.117433+0.187953j 0.108762-0.0560523j -0.0315796+0.107107j 0.0754025-0.075142j -0.0101691-0.096082j -0.000171135+0.0306762j -0.0141414+0.0653425j 0.0853087+0.128265j -0.0281643+0.0235474j 0.0614837+0.0803463j 0.00136863-0.0761266j 0.080543-0.0302378j -0.013463-0.0870387j 0.00227555+0.0701468j 0.0348304+0.0365188j -0.0991173+0.0499635j -0.0626048-0.0945349j 0.011245+0.0844211j -0.123399+0.00174688j 0.0669119-0.188005j -0.121099-0.0660476j -0.0134224-0.0268803j 
-0.013483-0.0508656j -0.000816893-0.0342572j -0.0165903+0.00502022j -0.0267269+0.0132302j -0.0270026+0.0340004j 0.0220135-0.019476j -0.0133475-0.0255127j 0.0058797-0.0176709j -0.0184212-0.0539691j -0.00609873+0.0356245j -0.00553104+0.0160563j 0.00492083+0.0494569j 0.0311884+0.0610195j 0.0334865-0.0390215j -0.050803-0.0361541j 0.0374092+0.0363416j 0.0320745+0.000868118j 0.038563-0.0354122j -0.0299508-0.00347738j 0.0274519+0.00803064j 0.00882369-0.0150805j 0.0321284-0.0503809j -0.03369-0.0382475j 0.0217893-0.00503581j 0.00563003+0.0771469j 0.0324823+0.0456721j 0.00748908-0.0074335j 0.00875051+0.01534j -0.0105376+0.0597792j 0.0173143-0.0101784j 0.0275346+0.043311j -0.00918224-0.0214243j 0.023323+0.0350922j -0.0277293-0.00297496j 0.0132198-0.0425266j 0.00270871+0.0473596j -0.000379141-0.0209715j -0.00253694-0.00119044j 0.0513828-0.0844501j 0.0717683+0.0548655j -0.0519833-0.00343771j 0.0166111+0.031962j -0.00562303-0.0377216j 0.0242306+0.0390853j -0.0371531+0.0943857j -0.0179238+0.00690781j 0.0241486-0.0368924j 0.0247195+0.0431314j 0.0342947+0.0267958j -0.00591515-0.0264903j 0.0241281+0.0853465j -0.0837024+0.0412784j -0.00117283-0.0764462j -0.0180395-0.0748402j -0.0275701-0.0398163j -0.0322296-0.000718345j -0.0479067-0.027161j 0.00906085+0.0973466j 0.122871-0.0474963j -0.027879-0.0427162j 0.0725959-0.0431847j 0.0747709+0.0252052j 0.0978563-0.00781829j -0.125268+0.111097j -0.00310599+0.00203236j -7.5925e-05+0.146024j 0.0504895+0.175936j -0.0913258+0.163972j 0.0272648+0.0567584j 0.000836867+0.123237j -0.0339847+0.0583323j 0.0543026+0.0488173j 0.0183203+0.0452114j 0.0328858+0.0208605j -0.0373025-0.0206442j -0.0276101+0.03051j 0.07729+0.025911j 0.0273196+0.0203146j 0.108776+0.0865109j 0.0649276-0.0277037j 0.0472143+0.0415392j -0.00491995-0.00669587j 0.000505586-0.065641j 0.0580473-0.0348083j -0.12106+0.118523j -0.0134299-0.0947342j -0.112104-0.0693724j 0.0015462-0.137289j 0.0255131-0.00741092j -0.01053-0.0895339j -0.0166027-0.0368902j -0.0775948+0.0204903j 
-0.0084134-0.0385055j 0.0183601+0.0502374j -0.0133711+0.0124227j 0.0266642+0.00640403j 0.0119826+0.0228997j -0.040488+0.0469934j 0.0172511-0.00871917j 0.0647684+0.0334366j -0.00896442-0.0428422j 0.00700464-0.0651938j 0.0404553+0.0485005j -0.0398911-0.0467086j 0.0362874-0.00343386j -0.0366973-0.0512067j -0.0296831-0.0513831j 0.00258518+0.0255526j -0.0218237+0.00342456j -0.015198+0.00372757j 0.0421279-0.00146041j 0.0139056-0.00577599j 0.0195768+0.0508072j 0.0486203-0.0330289j -0.0270164+0.0412452j -0.0212488-0.024237j -0.0121117+0.0615355j 0.0236956-0.036817j 0.0326812-0.0334904j -0.0411361+0.0151587j 0.00543046-0.0527437j 0.011429+0.0634589j -0.00854804-0.0540028j 0.00854908+0.0595865j -0.0265949+0.0161423j 0.0171245-0.0181998j -0.0479353+0.0069701j -0.0344282-0.0225797j -0.0455774-0.0137781j -0.00440148+0.0274146j -0.05283+0.021593j 0.079358-0.051538j -0.0246566+0.0218307j 0.0836635-0.051654j -0.00121147-0.00643987j -0.0245822-0.0255504j 0.0587758-0.049192j -0.0164877+0.00384352j -0.040064-0.043926j -0.0413049+0.042782j 0.0663483-0.161464j 0.0188908+0.0523876j 0.0391217-0.00569754j 0.0612987+0.0406185j -0.119233-0.0047553j -0.0223228-0.0401175j -0.00678315+0.0215773j -0.0398513+0.00888692j -0.0563163-0.0101492j -0.0251213+0.058764j -0.0578193-0.0751543j -0.0248914+0.0649233j -0.0863718-0.00947485j 0.0149758-0.0388973j 0.0976326-0.201059j -0.04334-0.0130536j 0.0570723-0.0245289j 0.0493228+0.0257411j 0.234155-0.0398526j 0.0296241+0.0379343j 0.0716385+0.0614343j 0.0423958+0.0120794j -0.017892+0.088366j 0.0513457-0.0781277j 0.0283393+0.00955277j 0.00486509-0.0256092j 0.0823647+0.0239875j 0.0373972-0.0665719j 0.0553272-0.0457403j -0.0940941-0.0155024j 0.105333-0.0170048j -0.0452424+0.0327281j 0.0613882-0.0358712j -0.0929609+0.0452962j -0.00417483+0.0418849j -0.0164244+0.0523337j -0.00390882+0.141555j -0.0327995+0.0919779j -0.00207976+0.00700156j -0.188308-0.0149691j 0.0352944+0.044318j -0.043753-0.0152036j 0.0769023-0.0394543j -0.0318048-0.0491782j 
0.00477802+0.0164986j 0.00321788-0.00383805j 0.00321717+0.0352777j 0.00442207+0.000296641j 0.0167911-0.0150929j -0.0373376+0.0427912j 0.00398844-0.00993647j 0.055714-0.0107627j -0.00297525+0.00571666j 0.00619384-0.0386312j -0.0255836-0.0553955j -0.0353795-0.00055825j 0.00623434+0.035536j -0.0203403+0.00540616j -0.0512164+0.00723252j 0.0056404+0.0158736j -0.0300163+0.00730327j -0.0148813-0.0238955j 0.057632-0.0885856j 0.023381-0.0225979j -0.0114637+0.00289811j 0.0108666-0.0445771j 0.0586561-0.094351j -0.0115088-0.00149959j 0.00742853+0.0553948j -0.00589947+0.00541957j -0.00486982+0.0385678j 0.0265411-0.10114j -0.0501032+0.0245061j 0.0440161+0.00641377j -0.0626977+0.0340376j 0.047368+0.00115267j -0.0164027+0.00840637j -0.039176-0.0100854j 0.00798316-0.0132952j 0.0343355+0.0247989j -0.0146227+0.0440676j -0.0372541+0.0163338j -0.0443218-0.0303922j -0.0442679+0.00465724j 0.0155169-0.0345009j 0.00902612+0.0268177j 0.0243818+0.00858863j 0.00797657-0.0368631j -0.0109556+0.0247752j 0.00480515+0.0066567j -0.0369681+0.0792815j -0.00151272+0.0435947j -0.0575539-0.0274355j 0.0873191-0.0442391j 0.00306684-0.0156306j 0.0068475+0.0401679j -0.0683127-0.0107841j -0.0848938+0.0657528j 0.043933-0.11003j 0.00720949-0.026433j 0.0553412-0.195374j -0.0140371-0.0967658j -0.0576506-0.0434854j 0.0493967+0.0391374j -0.0208014+0.0313143j -0.019397-0.000854962j -0.119391+0.176962j 0.0955394-0.0705919j 0.0390106-0.044969j 0.00877093-0.0460322j -0.0394886+0.129316j -0.0107365+0.102727j 0.0292353-0.0320185j 0.110444-0.0162619j 0.129788+0.0543212j -0.0918775+0.127759j 0.0639385+0.0823777j -0.110133+0.0120059j -0.0182943-0.0351343j -0.046515+0.0637843j -0.0617971+0.0786373j 0.0819711+0.0149363j -0.0788874-0.0461681j 0.025593-0.034827j -0.00699712-0.0821755j -0.0338175-0.0988718j -0.0304819-0.144317j -0.00132539+0.0557242j 0.0970713+0.00863365j 0.0349993-0.0658003j 0.0333492-0.0236109j 0.013058-0.0768398j 0.0548605-0.0912414j -0.0880324-0.0886013j -0.0178349-0.0235328j 0.017489+0.00864572j 
-0.00191799+0.0139818j 0.00242086+0.0134111j 0.0185909+0.00455395j 0.000199709+0.0870177j -0.0481895+0.064219j 0.0154264+0.0111766j 0.0173543-0.00309999j -0.0276584+0.0116051j -0.0253316+0.0232126j 0.0186697-0.00572319j 0.00714824+0.00459908j -0.0485715-0.0434841j -0.0169582-0.024997j -0.00826264-0.0321j -0.0185864+0.012984j -0.00177446-0.0342395j -0.0204157+0.0545275j 0.0448915-0.0595658j -0.0310018+0.0162396j 0.0186611+0.0551294j -0.00764019-0.00874907j 0.0330944-0.0905506j 0.00827894+0.0983044j -0.0808211-0.0177305j 0.0625737-0.0267034j -0.0387828-0.00174261j -0.0187846-0.019062j 0.0578872-0.0447758j 0.0267672-0.0366047j 0.0308663+0.0223347j -0.0596308+0.02992j 0.0369395+0.017479j -0.0162222-0.0657911j -0.0129055-0.00255889j -0.0452723+0.0162787j -0.00638196-0.0751719j -0.0241778+0.0616844j 0.0944411-0.0176988j -0.0141491-0.0766039j -0.00202225-0.0379868j -0.0319192+0.0229016j -5.24399e-05-0.0410544j 0.00247838-0.0388875j -0.00744145-0.0475021j -0.0128301+0.00211938j -0.015837+0.000649698j 0.0340762+0.0602089j 0.0130407-0.0157505j 0.0117254+0.00548226j -0.011259+0.119231j 0.0710699+0.0533758j 0.000438529+0.0949392j 0.0621229-0.0325203j -0.0533499+0.0285576j -0.0513936+0.0524725j -0.0157825+4.76332e-05j 0.143244-0.0725761j 0.0791708-0.00492767j -0.0460162+0.0527279j -0.0735601-0.0339273j -0.00918768-0.0426024j 0.0724782-0.0731122j -0.0738152+0.0652565j 0.00768004-0.00125821j -0.00893181+0.0515723j 0.010572+0.0305181j -0.0211647-0.00652925j 0.0604889+0.0144907j 0.0482884+0.00517088j -0.0190126-0.0206346j 0.0174113-0.0351679j 0.0244979+0.0241679j -0.0441822-0.0365697j -0.020878-0.0039213j 0.0215455+0.0371294j 0.00436507+0.0430808j -0.0954299-0.0226884j -0.121247-0.126796j -0.133213+0.0111062j -0.12838+0.0382526j 0.0225352-0.0142017j -0.0197219-0.0675394j 0.0145402+0.0924445j -0.149401-0.0383477j -0.0105584+0.0206298j 0.0539714-0.0406426j -0.00581883+0.0187446j 0.0295807-0.0357403j -0.059371-0.027326j 0.0233053+0.0389729j 0.0292663+0.0335963j 0.0649971+0.000109761j 
0.0137969+0.0405786j -0.0434366-0.0354156j 0.0100673-0.00569333j -0.00334893+0.0147551j 0.00820947-0.00293033j -0.0317612+0.00045015j -0.0111379+0.012111j -0.00690934-0.00223367j 0.00258655+0.0327378j 0.024837+0.0443612j -0.0777584-0.0360449j 0.0376003+0.0149353j 0.0209848+0.0127077j 0.00260175+0.0216419j 0.010512+0.0468488j -0.0394756-0.0264605j -0.0391406+0.0459435j -0.0134524+0.000962626j 0.0253961-0.0333381j -0.0036147+0.0311136j -0.0336328-0.0296838j -0.0073569+0.0477822j 0.0300718+0.0532752j -0.0170466+0.00745275j -0.023843-0.0416282j -0.0380139-0.0237929j 0.0336746+0.0286634j -0.0295771+0.0368132j -0.0207361-0.0497888j 0.0180705-0.046643j -0.0646174+0.00892266j 0.0339912-0.042741j 0.0116968-0.0283977j -0.0330865-0.0229966j 0.0383869+0.0104472j 0.0218565-0.0992547j 0.0185674+0.051796j -0.0758897-0.0460531j -0.0391355+0.029444j -0.0656648+0.0210092j -0.0428796+0.00677445j 0.0391935-0.0151952j -0.0110872-0.0090534j -0.0157714-0.0203064j -0.0780215-0.108324j 0.0313131+0.04091j -0.00520322+0.0250343j -0.0230832-0.029672j -0.0222809+0.0741485j 0.0298854-0.0750783j -0.0719078+0.0542641j -0.0407528-0.00812478j -0.0107218+0.0582371j 0.0421235+0.0207899j -0.0144936-0.0525769j 0.0208998-0.0679635j -0.059361+0.0265702j -0.031767+0.10474j -0.0414216+0.0257372j 0.0885644-0.0493625j -0.0537744-0.0449481j -0.0235474+0.043393j 0.100698-0.0358612j -0.0703003-0.0205246j 0.0270032-0.0224923j -0.0462712-0.0171774j 0.0689625-0.115714j -0.0752254+0.040082j -0.0438334+0.076166j -0.059458-0.0248334j -0.0547808-0.0647451j 0.0317461+0.0264975j 0.0300807-0.0031422j -0.0348581-0.0356175j -0.0136208+0.0603399j -0.0416753+0.000239809j -0.0652439+0.0049294j 0.0795813-0.0989302j -0.195018-0.00674898j -0.0250067-0.0914851j -0.11034+0.0108135j -0.0219181+0.0359085j -0.119761+0.0723661j 0.0159848-0.0694843j -0.0656353-0.0308875j -0.029808+0.0862052j 0.0674072-0.00386485j 0.0113001+0.0263035j 0.0135235-0.0178939j 0.012272-0.000739294j -0.0479132+0.0506653j 0.0657299+0.0092891j 
0.0508831+0.0274451j 0.00131158+0.0283985j 0.00528503-0.0492727j -0.00398003-0.0387827j -0.0098142-0.0281489j -0.0282439-0.000808315j 0.0373351-0.00012937j 0.02298+0.0127972j 0.0446804+0.0191395j -0.00611587-0.00770356j -0.0331836+0.0202789j -0.0504305-0.00473592j 0.0195865+0.00193807j 0.0148991+0.0559819j -0.00463383+0.0264717j 0.0539658+0.0263658j -0.0495006-0.0230146j -0.00777051-0.0218668j 0.0283767+0.0256902j 0.0335172-0.0044772j 0.0540531+0.0190381j -0.017424+0.05499j -0.042211-0.0680903j -0.0400048+0.0117571j 0.0443817-0.077841j -0.0524772-0.0805059j -0.0103291+0.106452j 0.0054283+0.0066694j -0.0236394-0.0454821j 0.0254053+0.0181093j 0.00522415+0.0498689j 0.00245555+0.0600746j -0.0111719+0.0919284j -0.0149916-0.000149464j 0.00431447+0.00287677j -0.0117966-0.00234616j 0.000557006-0.0160036j -0.0216911+0.00689271j -0.0463932-0.0161626j 0.0246627+0.0136379j -0.0729835-0.0220983j -0.0288087+0.0147489j -0.0079241+0.0938933j -0.0422454+0.0275369j -0.0810352-0.000127222j 0.00167613-0.0484571j -0.0602498-0.0907031j 0.03214+0.0123044j -0.0214989-0.0300062j -0.00121159+8.58381e-06j 0.0890751-0.0521248j 0.0300484-0.050161j -0.0145573+0.0103596j 0.00869595+0.0491827j -0.0505253+0.0211443j 0.00897092+0.075895j -0.0368456-0.0108546j 0.0256666-0.0269854j -0.0293605+0.0100105j 0.0293095+0.00818991j -0.0360198+0.0109557j -0.0210165-0.063915j -0.0887348-0.0153036j -0.0147758-0.0281108j -0.00641462-0.0388678j 0.0460426-0.0247193j 0.0161964+0.0103906j 0.0521356+0.0575891j 0.0920499-0.0464382j 0.0756441-0.0961451j 0.0364525-0.126421j 0.00923034+0.034501j 0.0234483-0.034755j -0.0377304+0.0842742j 0.0559232-0.00122905j 0.0239167-0.0582322j 0.027221+0.0409282j -0.154929+0.0201985j 0.0130084+0.128994j -0.0853484+0.019331j -0.0419198+0.0238297j -0.08152-0.00767162j 0.0570013+0.0478023j 0.00353819+0.0609066j 0.043192-0.00122917j 0.0546758-0.00701033j 0.0274864-0.0443831j -0.0606619-0.0280375j 0.0290635-0.0411856j -0.0425556+0.0142853j 0.0650582-0.00892635j 0.00459499-0.0615601j 
-0.0123542-0.0120088j 0.0181243-0.00781655j 0.0131461-0.00462196j 0.0116148-0.00399259j 0.0326329+0.00518519j 0.0115262+0.014385j -0.0154972-0.00518611j 0.0148069+0.0249369j -9.7377e-05+0.0329548j -0.0201502+0.0499432j -0.0109933-0.0143232j 0.0173722-0.0145404j -0.00596738-0.00724092j -0.0144318-0.0555929j -0.0146631+0.00201141j -0.017475-0.00385325j -0.0150944+0.0262786j -0.0223321+0.0103136j 0.0183741+0.00376966j -0.0291213+0.0524419j -0.0105671+0.0361867j -0.021145+0.0253024j -0.000706194+0.0527949j 0.0323857-0.00840277j 0.0304676+0.0622559j 0.00867372-0.0106118j -0.0183584-0.0500182j -0.0933569-0.0394562j -0.0467507-0.00863207j 0.00987221-0.0436001j 0.00747229+0.00462228j 0.023225-0.0653328j 0.0361932+0.00610526j -0.00988652+0.0322053j -0.022099-0.0444715j 0.0194062+0.0755235j 0.0409441+0.0419852j -0.0212142-0.0180619j -0.0327959+0.0255708j -0.114962+0.0626589j -0.0401942+0.0572805j 0.079496-0.084073j 0.024745-0.045652j 0.0153172+0.0614207j 0.00502778+0.119072j 0.14482+0.000824378j -0.00616954+0.0110404j -0.0361892+0.0770902j -0.0482517+0.032519j -0.0872633+0.0995015j 0.0023817+0.107209j -0.0263541+0.118181j -0.0708031+0.0923772j 0.0558969-0.110679j 0.0957831-0.0251722j 0.0577488+0.00296175j -0.0105608+0.0220428j 0.0661098+0.0119976j -0.0684167+0.0538373j 0.0610191+0.0161167j -0.0303457-0.0100883j -0.107373+0.0978546j 0.0480512-0.0742001j 0.0214108+0.0391882j 0.00222699+0.100023j 0.0876342+0.00551055j 0.0580452+0.0520516j -0.0460634-0.236578j -0.0895029-0.0188025j 0.0270482+0.0196588j -0.0864432+0.0400074j -0.0628797-0.00836039j 0.0344141-0.0184948j 0.0423547-0.0747895j 0.0176403-0.101429j 0.00294653+0.0130523j -0.0375213-0.0528381j 0.0754577-0.114499j -0.0502817-0.0086574j -0.00319622-0.0616575j -0.0504094-0.00921812j 0.0526795-0.0883995j -0.0402263+0.0105647j 0.00947577-0.0333493j 0.0286816-0.034684j -0.0428805+0.0180336j 0.0126242+0.00395262j -0.0135645+0.0144709j 0.0450263+0.0551437j 0.0224759-0.0191827j -0.0584881+0.0511268j 0.0298483+0.0629805j 
-0.00475073-0.000114784j -0.00251673+0.0142595j -0.0378787-0.0261163j -0.00100447+0.0152683j -0.0107293-0.0299909j 0.0295395-0.00992043j -0.0402047+0.0228651j -0.0134163-0.0702675j 0.000836448-0.04926j -0.018207+0.0568607j 0.0184865+0.0235026j 0.0152967-0.0573766j 0.0613131-0.0543129j -0.00210115+0.0187083j 0.0218418+0.0382324j -0.0504996-0.0150399j 0.0556405-0.0320421j -0.00768754-0.041747j 0.0541064+0.00474394j 0.0624016+0.0570296j 0.0492764-0.0211376j 0.0101818-0.0292844j -0.0063212-0.00240443j 0.00913623-0.0860776j -0.0487294+0.0496927j 0.112124-0.00885116j -0.0511552+0.0224934j -0.0502035+0.0544062j -0.0204785+0.099617j 0.039641-0.0376882j -0.00738313-0.0234208j 0.0637924-0.0521446j 0.10742-0.063448j 0.0497789+0.0438828j -0.0456487-0.0336831j 0.00633261-0.0740446j 0.0606859-0.0606962j -0.0613813+0.0940785j 0.05676+0.0665549j 0.0010957+0.0246319j 0.0431033+0.0556591j -0.073022+0.0245477j -0.00809446-0.0333572j 0.0179046+0.0930321j -0.0493447+0.00356199j 0.0946001-0.0216019j 0.107466-0.0608122j 0.0465509-0.0798912j 0.0435546+0.0304275j -0.08209+0.0343337j 0.027891-0.0324808j -0.0991373+0.0425772j -0.0719189+0.0941749j 0.00675119-0.0126018j 0.0936561-0.0416072j 0.0110478-0.000236406j 0.08797-0.00137222j 0.0298508+0.0559019j -0.00323264-0.0692548j 0.00467851-0.0476976j 0.0295236-0.0652452j -0.0361391+0.0821394j -0.0268986+0.0659552j 0.088492-0.00018623j -0.0166442+0.0682836j 0.00322644-0.0542455j -0.00318684+0.108859j 0.0149142+0.167029j -0.0410177+0.0498921j 0.035505-0.0893995j -0.0610659-0.0234019j 0.00864179+0.0175784j -7.96111e-05-0.0301108j 0.0666459+0.00653823j -0.0466234-0.00775767j 0.0488512+0.0122515j 0.0563364-0.121777j 0.0704838-0.0197909j 0.00292597-0.115163j 0.00590402-0.0871205j 0.0612582-0.00384414j 0.0600801-0.00250718j 0.0130055-0.0565664j 0.014786-0.0807298j 0.0446759-0.0323993j -0.0308249-0.012843j 0.00383944+0.0174755j -0.0171368-0.034812j -0.0152642-0.0232991j 0.0236608+0.00747142j -0.0349227-0.0286609j -0.0312508+0.0750514j 
-0.00167328+0.0097221j -0.0255961-0.0103792j -0.00620045-0.00806997j 0.0295022+0.0160541j 0.0144232+0.00836216j -0.00494153-0.00676534j -0.00128822+0.0435001j -0.0240722+0.0149651j -0.0300383-0.00194052j -0.0142517+0.0300842j -0.031128+0.00556212j 0.0267184-0.0135408j 0.0134448-0.0144776j 0.0137228+0.037397j 0.0546545+0.0186169j -0.00220383-0.00680788j 0.0333954+0.0146287j -0.035935-0.00835271j -0.0240269-0.078946j 0.0130011-0.0193169j -0.0646021-0.0567152j 0.0315249+0.0631526j 0.0522286+0.0319874j 0.0510638+0.0131113j 0.0179553-0.0418917j -0.00758081-0.0182013j 0.0414295+0.0434047j 0.0478822+0.0419686j -0.0380294-0.00157672j 0.0758867+0.0316601j 0.0328425-0.0312062j -0.0075715+0.0209671j 0.0253132-0.0337855j -0.00662541-0.0308364j 0.00124218+0.0844731j -0.008701+0.0259468j 0.0152973-0.0280353j -0.0551432+0.072376j -0.0132086+0.0398014j 0.0615311-0.0359987j 0.018049+0.0915888j 0.05939+0.0163029j -0.0339626+0.0349886j 0.0213512+0.00646383j 0.0601611+0.00522352j -0.066139-0.135001j 0.0139057+0.0189988j -0.0255822+0.101596j 0.0387512-0.100447j 0.0199981-0.0755576j -0.101211-0.0582446j 0.0162601-0.0984114j 0.0109711+0.00178776j 0.0477675-0.0895528j -0.0161962-0.0551996j 0.00149596+0.03926j -0.058773+0.179951j -0.0845579+0.0474383j 0.136952-0.0155261j 0.0159056-0.0684877j -0.0114607+0.0864065j 0.0387806-0.0528169j 0.0584228-0.0450448j 0.0366204-0.0482291j 0.00206505+0.0650644j 0.00449001-0.0570043j -0.0239241-0.121011j -0.14906-0.0106532j -0.0803259+0.0362035j -0.0362675+0.0245635j -0.0892784+0.113493j 0.0770741-0.0320027j -0.0489268-0.0172936j 0.00514677+0.0527516j -0.0157466-0.0266879j 0.00149523-0.0955416j -0.00795209-0.0163163j 0.0471843+0.0400086j 0.066626-0.0293338j 0.0365673-0.00791104j -0.021286+0.0183112j 0.0271622-0.0132185j -0.00250852+0.0134899j 0.000447405+0.0142748j -0.0401595-0.0176494j -0.0238343+0.0107046j -0.0285487-0.0109837j 0.0225901+0.0616199j 0.0229177+0.0130241j 0.0308671-0.0242379j -0.00805395-0.0252772j -0.0374655+0.0043144j 
