0.0414337+0.0542182j -0.0663296+0.0572965j -0.212507-0.0200487j -0.0619259+0.0834964j 0.0764162-0.0912958j -0.00369299-0.056168j 0.00440782+0.00406263j 0.0203306-0.0313084j -0.0429766+0.0595421j -0.0554268-0.0808348j -0.0412825+0.0350615j 0.0890009-0.0275527j -0.028608-0.0966982j 0.0130329-0.0787527j 0.0317145-0.139019j -0.0561581-0.125571j 0.0555745+0.115229j 0.0350849-0.0330525j -0.110399+0.0294353j 0.0800952-0.0153517j 0.00282196+0.0162702j -0.085544+0.0746831j 0.0439521-0.000966117j 0.220055-0.105015j 0.0150044-0.0955634j -0.0931555+0.0125202j 
-0.0719144-0.00964175j 0.0148059-0.079741j 0.103714+0.0694505j -0.0139325+0.000843318j -0.0661909-0.00607134j 0.0606363+0.013127j -0.0342118+0.0116845j 0.0452731+0.0777673j 0.0725648+0.079848j -0.0123007-0.0428566j -0.0153371-0.0530354j -0.0715163+0.0804567j 0.0791469-0.0193578j 0.00915993-0.00317937j 0.0129882+0.0152598j -0.0188932-0.0215567j 0.0161362+0.0570421j 0.0646606+0.011915j -0.0575936+0.130874j 0.0973525+0.106343j 0.0818198+0.0995742j 0.0265567-0.067473j -0.0830415-0.0609186j -0.115154-0.0978308j 0.0785933-0.0136162j 0.00783217-0.0522869j 
0.0498778-0.054028j 0.0586306+0.0402496j 0.216989-0.00217646j 0.036216-0.217092j -0.103647+0.0839772j -0.303176-0.095271j 0.292607-0.136901j -0.0454273-0.0155j -0.130705-0.177412j 0.171421+0.37377j 0.150799-0.0473017j 0.146124-0.166053j 0.0509205-0.0191171j -0.151687+0.32027j -0.0939664+0.141365j 0.256303+0.0859731j 0.00667901+0.141171j 0.0725682+0.0705378j 0.0877428+0.0862875j -0.0560646+0.00354287j 0.0561883-0.0659731j 0.019824+0.046446j -0.00959111+0.0598959j 0.0490122+0.0505484j 0.00770569+0.0537278j 0.0334043+0.00986059j 
0.0861125+0.0654571j -0.0764987+0.104642j -0.0526027-0.186992j -0.0821332-0.10243j 0.192284-0.19717j -0.0158753+0.0199139j 0.122178-0.0165568j -0.141618-0.374919j -0.173384-0.128791j -0.194309+0.0431572j 0.0214105+0.202246j 0.244767-0.263206j -0.132359+0.0718249j 0.348765-0.0490921j -0.285018-0.213762j 0.0217244-0.146749j -0.0747072-0.0100691j -0.0224451+0.0871563j 0.0989255-0.0727497j 0.0195949+0.0225923j -0.0404785+0.0622089j 0.0250155-0.0273529j -0.0101201+0.0187229j 0.0395664-0.0133205j -0.0340671-0.0169021j 0.00800284+0.0342504j 
0.0470186-0.0349283j 0.0391278+0.0523753j -0.0641625-0.10093j 0.0546409+0.0690551j 0.0240934+0.0939925j 0.055501+0.0362643j -0.124985+0.0663517j 0.0132935+0.00926132j 0.0114042-0.0438722j 0.00124653-0.0649717j -0.0398809+0.0391103j -0.0491236+0.0268636j -0.0678563+0.0800366j 0.0309436-0.0581932j 0.037609+0.0687383j -0.0861331+0.0909477j 0.0133036-0.251591j -0.173429+0.0609149j -0.0344387-0.213065j -0.128376-0.170957j 0.0488763-0.188013j 0.0450044+0.0314211j 0.0716203-0.017159j 0.018693+0.109845j -0.0423069+0.0701506j 0.0325866+0.0656958j 
-0.00230579+0.0570264j -0.0649669-0.0174677j -0.0428677+0.0819678j 0.0847369+0.0621138j 0.0688357+0.0107587j 0.0673108+0.137942j -0.0617007-0.011577j -0.157355-0.0804548j 0.00585442-0.0640586j 0.0529704+0.0302329j 0.0184488+0.0422206j -0.0897264+0.0157796j -0.155826+0.0722836j -0.0611594+0.0195499j 0.109271+0.0513647j -0.0572248+0.0715623j -0.215487-0.228145j -0.00589143-0.218418j 0.304209-0.0743068j -0.168104-0.146576j -0.245553+0.144594j -0.081136-0.0764434j -0.0378623+0.0458689j 0.0673812+0.189275j -0.107923+0.0646886j 0.0388188+0.109128j 
0.0275253+0.0616181j -0.0770996+0.0390515j -0.209927+0.0791651j 0.0392561+0.0665586j 0.0368535+0.0234047j -0.0809394-0.0642454j 0.0681374-0.055572j -0.0562661+0.0848554j -0.0337004+0.00105627j 0.147921+0.0741601j 0.0421983-0.0419954j -0.0094098+0.027874j -0.034836-0.123182j -0.245226+0.0434767j 0.209321+0.0143704j 0.0491349+0.0138278j -0.0327013+0.0959033j 0.0139058-0.18508j 0.107755+0.0602492j -0.00324164-0.136662j -0.191054+0.0303635j -0.156695+0.0833579j 0.00208945+0.0989339j 0.280129-0.0286086j -0.0632387-0.0911031j -0.0414476+0.0660677j 
-0.113539+0.0677924j -0.0601002-0.1202j 0.0927663+0.168367j -0.033089-0.0700899j 0.0295414-0.135232j 0.0661252+0.109158j 0.0107422-0.0539244j -0.0768684-0.0795599j 0.0539301+0.0730385j -0.0625327+0.00211081j 0.0124058-0.0038965j -0.0282074+0.0226333j 0.0133197+0.0479322j 0.0540004+0.0353401j 0.00855571-0.0304448j 0.00557501-0.0429316j -0.149539+0.0638316j 0.180768-0.131437j 0.192863+0.183955j 0.0533882+0.154273j -0.12084+0.363656j -0.0305957-0.229743j -0.172572+0.0083424j -0.148416-0.016374j 0.0410851+0.0408335j -0.0218142-0.035749j 
0.0164521+0.0442863j -0.0689815+0.047144j -0.201929-0.012268j -0.044287+0.0706853j 0.0477233-0.0603026j -0.0512449-0.0813084j 0.0531402-0.0163367j 0.0256412+0.0280215j -0.0224461+0.057627j -0.0220508-0.0459096j -0.0095999-0.0478932j 0.0846917+0.00715261j 0.0306352-0.112864j -0.0445724-0.0582709j 0.0657769-0.10527j -0.0221724-0.0975729j 0.0519666+0.201357j 0.0318874-0.0390498j -0.0854277+0.0974581j 0.104553-0.00531415j -0.0144813-0.0162927j -0.080349+0.0686758j 0.0219393+0.0198909j 0.203545-0.132288j -0.00517823-0.107973j -0.106675-0.0313973j 
-0.0289822-0.0378749j 0.049467-0.0154915j 0.094837-0.0362163j -0.0194142-0.0251455j -0.0515433+0.0258297j 0.0316029-0.0343995j -0.0483069+0.020489j 0.0470071+0.0230092j 0.0474507+0.0363193j -0.0473974-0.0397882j 0.00310876-0.00492565j -0.0186068+0.0189491j 0.0499425-0.0297587j 0.0581562-0.0201241j -0.033087+0.0351024j -0.00473799+2.1187e-05j 0.0475568+0.0276694j -0.0105857+0.103011j -0.0685949-0.0165126j 0.0237375+0.0735894j 0.0644612-0.0395567j 0.0812248+0.056123j 0.00578964-0.082726j -0.0989147-0.0254574j 0.0559687+0.0250026j 0.00560869-0.0288056j 
0.0265337-0.0162313j -0.00675022+0.0454096j -0.00120167-0.0567072j 0.0212334+0.0180051j 0.0141313+0.0217765j -0.0189461-0.0213893j 0.0151387+0.00802223j -0.00542548-0.0117295j -0.0166571-0.0681919j 0.00665409+0.0524727j -0.0222047+0.0146597j -0.0123036-0.0447608j -0.0426728+0.0181745j 0.00199892+0.00746172j -0.00904483+0.0203276j -0.0022231+0.00897687j 0.00186708-0.0415272j -0.0684594+0.0197639j 0.00814877-0.0506254j -0.0135226-0.0425195j -0.0133636-0.0742406j 0.0116107+0.0464406j 0.0432468-0.00941137j 0.0566287+0.0432675j -0.0382728+0.0097116j 0.00890477+0.0206348j 
