-0.0206369-0.0121096j 0.013943-0.0221361j -0.0110284-0.0214737j -0.0247299+0.00655885j 0.00103838+0.00637189j 0.00143732+0.00378041j 0.0118653-0.00527035j -0.00205886-0.0216564j 0.0092849+0.00250252j 0.00385458-0.00336695j -0.00106068+0.00182191j -0.00881243-0.00292601j -0.00844089-0.00557496j -0.000309049-0.00301584j 0.00337009-0.00410209j 0.00546463+0.000864447j 0.00185756+0.00535244j -0.00280077-0.00252513j -0.00264961+0.000488734j 0.00567623-0.0107815j 0.000479393+0.00836549j 0.00510356+0.00437368j 0.000834511-0.00765671j -0.00174215+0.00456723j 0.00255068-0.00631885j -0.00538404-0.00471429j -0.00558048-0.00115323j -0.00238079+0.0108669j 0.00142779-0.000617861j -0.00505377+0.00337291j -0.00686264+0.00520143j -0.0013959+0.00593765j 0.000444199+0.0002721j -0.00272763+0.00268959j -0.00404197-0.000164247j 0.00194155-0.00174763j -0.000871948+0.000898769j 0.00191388+0.00312416j 0.000576403+0.00830545j 0.00688984+0.00349679j -0.00246596+0.00587856j 0.00222005-0.000513289j 0.00242428-0.00280349j 0.00544-0.000292952j 0.000176703+0.00140475j 0.00130727+0.00516029j 0.00228671-0.0070545j -0.00106745+0.00186043j 0.00979021+0.0025101j 0.00718674+0.00399809j 0.00261013+0.00400456j 0.00779443-0.00071148j -0.00481196+0.0047052j 0.00389126-0.00501604j 0.00351153-0.00069918j 0.00883389-0.00425022j 0.00518333+0.0011203j -0.00834098+0.00146818j -0.0015547-0.00944252j -0.00431279-0.00129458j 0.00393743-0.000198835j 0.0064584-0.00124423j 0.0182969+0.00623985j -0.00311688-0.0091678j 0.0126092-0.000567617j 0.00365542-0.0154859j 0.0192981-0.00729844j 0.00517095+0.0153074j -0.012107+0.021479j 0.0209072+0.0129116j 
-0.0165593+0.0106955j -0.00976465-0.016419j 0.00204249-0.00621j -0.0045348-0.00643022j -0.0102426-0.0139452j 0.00921929-0.00635523j -0.00964175+0.00784651j 0.0158838+0.000564817j 0.00385162+0.00421574j 0.00181168-0.00417974j 0.00617696-0.00485259j -0.00710864-0.0125932j -0.00202458-0.00509784j -0.00327957+0.00617463j 0.00722198-0.000437599j -0.0012077+0.00235276j 0.00123752+0.00663727j 0.00430382+0.000180718j -0.00954108-0.000458475j -0.00407601+0.00437886j -0.00450517+0.0025362j -0.00422032-8.73428e-05j -0.00284677-0.000611645j -0.000644887-0.0055831j 0.0024967-0.00503684j 0.000528616+0.00211642j 0.000616219-0.00132607j 0.00220807-0.000251668j -0.000198159+4.8204e-05j 0.00375948+0.00402218j -0.00225045+0.0054569j -0.000849044+0.00813089j -0.00280187+0.00298607j -0.00150496-0.000463858j -0.00446615-0.00187734j -0.00197429-0.00178583j 0.00314603+0.00134987j 0.000622374+0.00327913j -0.000853502+0.00525584j 0.00557922+0.00475943j 0.0016279+0.0018788j 0.000479606-2.96233e-05j -0.00197834-0.00726317j 0.000569111-0.00265605j 0.00540976-0.00357469j 0.00695622+0.00291683j 0.00308216+0.00225838j 4.19691e-05+0.00458611j -0.00546891-0.000764267j -0.0036342+0.00434971j -0.00401076-0.00575548j 0.00397626-0.000456495j 0.00228601-0.00630744j 0.00384495-0.0105046j -0.00723586+0.000850731j 0.000172947+0.00300859j 0.00394803+0.00134322j -0.00606426+0.00328523j 0.00806198-0.00240296j 0.00184826+0.00185832j -0.00873533+0.00213258j 0.00275195-0.00389391j -0.00230897+0.0173926j 0.0115765+0.00135636j -0.000620707+0.00400981j 0.00779258+0.00598346j 0.0118755+0.00997468j -0.0072743+0.0112599j 0.0124357+0.0183829j 0.0184235-0.0114378j 
0.0244351-0.0232455j 0.0203493+0.0240102j -0.0112918+0.0247314j 0.020165+0.0173159j 0.00586734+0.0209911j -0.0111413-0.000713854j 0.01746-0.0105716j -0.0218503-0.00404511j -0.00774278+0.000553593j 0.0105438+0.000486949j -0.00172241+0.00151958j -0.0130574+0.00921685j 0.0109911-0.00599118j 0.0083136+0.0028899j -0.00981659-0.0110705j 0.00846886-0.000707505j -0.00471898-0.00399817j -0.0117416-0.0106991j 0.0109145+0.00785234j 0.010323-0.0123095j 0.00611588-0.00370923j 0.0133133-0.00413412j 0.00456857-0.000831776j 0.00465045+0.0161104j 0.00371231+0.007519j -0.00399986-0.00825696j 0.00532198-0.000940039j -0.00844697+0.00403925j -0.00270576-0.00204639j -0.00840234-0.00729499j 0.00914129-0.00653774j 0.00292279-0.0117454j 0.00550633-0.0050456j -0.00358432+0.00026151j 0.00510384+0.00121348j 0.00523497+0.00385432j -0.00250887+0.00105147j 0.00450063+0.00363167j -0.00210858-0.00541681j -0.0127984-0.00137172j -0.010378-0.00366599j 0.000143749-0.00207203j 0.0109222+0.0135578j -0.00763122+0.00252607j -0.0095075+0.0085731j -0.00805566-0.00728198j -0.002594-0.00873578j -0.00610007-0.0102957j 0.00707245-0.00321922j 0.0062441-0.00870737j 0.0125161+0.023556j -0.00305542-0.0046822j -0.00810395+0.00116807j 0.000616084+0.00674851j 0.00902151-0.00577127j -0.00245883-0.00969916j 0.00767152+0.00336087j 0.015892-0.009639j -0.0112513-0.00269139j -0.000886054-0.014048j 0.0100602+0.00455647j -0.0141066-0.00206811j 0.00987264-0.0292783j -0.022244-0.00614653j 0.00658985+0.00254385j 0.0035073-0.0135816j -0.0375811-0.0187961j 0.0191169-0.0368752j -0.0241987-0.021821j -0.0212887+0.0234079j 
-0.0699421-0.0275493j 0.0335415-0.0695321j -0.0225922-0.0538906j -0.059392+0.00531745j -0.0142019+0.00110817j 0.0096164+0.00158767j 0.0191971+0.00198569j 0.0233809-0.0550236j 0.0250236+0.0173035j 0.0208262-0.00560039j 0.00244504+0.00268481j -0.0374447-0.0343825j -0.0215654-0.0353286j -0.00433765+0.00245675j 0.0211857-0.0141517j 0.0187864+0.00608623j -0.000737619+0.0320883j -0.00576007-0.0106159j -0.0267461-0.00336455j 0.0103109-0.0315445j -0.00135643+0.0224943j 0.00278539+0.00287613j 0.005319-0.0254787j -0.00761029-0.000552004j 0.0237571-0.0216788j -0.0176088-0.0103911j -0.00844565-0.010266j -0.0111357+0.0293229j 0.00308185+0.00163444j -0.00823467+0.0159986j -0.0284611+0.0200431j -0.0023289+0.02534j 0.000663753-0.000423363j -0.0155192+0.00535873j -0.018419-0.0043706j 0.00414303-0.0097073j 0.00806413+0.00542495j 0.0144672+0.010379j -0.00201866+0.0316476j 0.027191+0.0213486j -0.0127311+0.0189987j 0.00860017-0.00182248j 0.00495057-0.01509j 0.00973715-0.00915479j 0.0103168+0.00619402j 0.0176088+0.0216262j 0.00557159-0.0232814j -0.00337771+0.0130858j 0.0205042+0.00287919j 0.0188846+0.0183529j 0.0086807+0.0059758j 0.0300569-0.0140404j -0.00678623+0.00403241j 0.0147055-0.0364985j -0.00250639-0.00338333j 0.0268702-0.0149038j 0.0213774+0.00687563j -0.0213293+0.0166871j 0.00260919-0.0407106j 0.000492614-0.00665185j 0.00207003+0.00828849j 0.0218848-0.0186683j 0.0566863+0.0260242j -0.0173039-0.0287852j 0.0284496+0.00158322j 0.0183585-0.0392628j 0.0424831-0.0198102j 0.0108147+0.0403388j -0.0113465+0.071908j 0.0739051+0.0176348j 
0.0181954-0.0432869j 0.0442621+0.0157207j -0.0222744-0.0396016j -0.0444398+0.0235268j 0.0336177+0.059094j -0.0376474+0.0275712j 0.0510337-0.026965j -0.0452241-0.0402356j -0.00271515-0.0281142j -0.00903987+0.0129417j -0.0275621+0.0241585j 0.00718253+0.0499749j -0.0299977+0.00391825j 0.0164737-0.0266744j -0.0132453-0.00121115j -0.000548921+0.003359j -0.00253773-0.0242898j -0.0124248+0.011667j 0.026873-0.0019846j 0.0375854-0.0389652j 0.0192103+0.0104757j 0.0225689+0.0132021j 0.0145848-0.00595665j -0.0126242+0.044543j -0.00919199+0.00841626j -0.00278626-0.0282438j -0.0248955+0.00757012j -0.0153411+0.0247559j 0.0119385-0.00444528j -0.0288273-0.00198422j -0.0149893-0.0206873j -0.00637404-0.0063316j 0.014416-0.00408938j 0.00579599+0.00240753j 0.000872365+0.00552057j 0.0157564+0.00415794j -0.0238944-0.00456787j -0.00188349-0.00260074j 0.00261584+0.00626117j -0.00539946-0.00642152j -0.00707721+0.00542711j -0.00494686+0.00355731j 0.0182203+0.017217j 0.0221408+0.0150478j -0.0215921+0.0126318j -0.0500037-0.00211178j -0.00965009-0.0195008j -0.00446202-0.00764186j 0.0317428+0.0189847j 0.0232438-0.00467158j 0.0134508+0.0301201j -0.000967234+0.00234804j -0.0135387+0.0414666j -0.00300679+0.0338918j 0.0303262+0.000509251j 0.00542387-0.0130151j -0.00784221-0.0135765j -0.00599083-0.0204064j -0.039687+0.0101436j -0.013695-0.00422752j 0.0361134-0.0279471j 0.0159799+0.00240684j 0.0251864-0.0493277j -0.0387671+0.000707421j 0.0138701-0.0264432j -0.0416043-0.0287328j 0.0122179-0.0368824j 0.0381866+0.0201084j -0.0506205-0.0128081j -0.0130037+0.0518626j 
-0.0271312-0.0186452j 0.0252324-0.0257705j -0.0136996-0.0458388j -0.0431791+0.00416208j 0.0104163+0.013264j -0.00974898+0.0142068j 0.0116004-0.00470391j 0.00421225-0.0266691j 0.0145129-0.00150356j 0.00542827+0.00153437j -0.00822662+0.0134643j -0.0139918-0.00515756j -0.024513-0.0216975j 0.00514455-0.0089392j 0.00850974-0.00827357j 0.00599808+0.00519887j -0.00499922+0.00540644j -0.00743876+0.0096579j -0.00753631-0.0031669j 0.0179601-0.0299511j 0.00027778+0.0171511j 0.00471946+0.00662352j 0.00708983-0.0125828j -0.00673959+0.0132803j 0.000986007-0.006441j -0.00908245-0.0156749j -0.0181443-0.00410537j -0.0102759+0.0225425j 0.00654234-0.000984021j -0.0110768+0.00829575j -0.0215897+0.0039882j -0.00426937+0.0154815j 0.00739531-0.00420378j 0.000907274+0.00526779j -0.00679168-0.00280461j 0.00435188-0.00251835j -0.00490469+0.00279457j 0.00611563+0.0042522j 0.00313904+0.0194995j 0.0175837+0.00294717j -0.00926924+0.0132787j 0.00717055-0.00116998j 0.00898583-0.00321703j 0.0119553+0.00159553j -0.00322555+0.00417622j -0.0100575+0.00740351j 0.00359837-0.0121885j -0.00284794+0.00111876j 0.0140819+0.00368249j 0.0164211+0.00830498j 0.00255539+0.00818226j 0.0130182-0.00698166j -0.00782803+0.0153361j 0.0069308-0.00517883j 0.00601737-0.00284874j 0.00555929-0.0148183j 0.00739096-0.00832451j -0.0216095-0.00261091j -0.0187018-0.00701095j -0.000143425+0.00531921j 0.0101173-0.00468837j 0.0145053+0.00283184j 0.0297931+0.00814912j -0.005881-0.010722j 0.00862213-0.0150916j -0.00427809-0.0282921j 0.036732-0.0233924j 0.018229+0.0459441j -0.0145456+0.0330312j 0.0359124+0.0164927j 
-0.160037+0.0598508j -0.043713-0.139502j 0.0554489-0.146405j -0.11772-0.0780761j -0.0514918-0.0802255j 0.0314367-0.0182497j -0.106382+0.049242j 0.107161+0.0240054j 0.0673649+0.0320952j -0.0212319-0.017404j 0.016086+0.0367258j 0.0739872-0.0430018j -0.103466-0.00602374j -0.0383903-0.0207523j 0.0485076+0.0503475j -0.0285931+0.00463171j 0.0180087+0.0770103j 0.0387853+0.0556479j -0.0664606-0.0375637j -0.0202804+0.0464018j -0.0479515+0.0484486j -0.0610548+0.0415662j -0.00597553-0.0157345j -0.0180174-0.0648298j 0.0178868-0.0677717j -0.0104409+0.0376805j -0.0361245-0.000510133j 0.0239082+0.00219689j -0.00457348+0.0208599j 0.048672+0.0391505j -0.0728145+0.0461039j -0.0160697+0.0848767j -0.0588571+0.0436389j 0.0121702-0.00103023j -0.021096+0.00539926j -0.0239515-0.0112301j 0.00704884+0.000127818j -0.00162604+0.00807115j 0.0284692+0.0611365j 0.0978937+0.022272j 0.0389484+0.0242206j -0.0173711-0.0179914j -0.0516683-0.0637699j 0.0391606-0.0228153j 0.0489597-0.0386012j 0.0634499+0.0489734j 0.0384095+0.0233205j 0.0382991+0.0519286j -0.0163317+0.0242007j -0.0214637+0.0709465j -0.0688184-0.10281j 0.0558972-0.00492784j 0.0211787+0.00794142j -0.0322819-0.0783818j -0.0300233+0.0416123j 0.030545+0.0438579j -0.0141276-0.0211124j -0.130591+0.0873943j 0.0466425-0.0338009j 0.00899327+0.0959881j -0.0589269-0.00357264j 0.0694303-0.00777939j 0.00619158+0.0988934j 0.01357+0.00426445j -0.0490047+0.0197833j 0.0263839+0.0657964j 0.170521+0.0355896j -0.0603912+0.175936j 0.108025+0.118503j 0.13369-0.0906372j 
0.0575425+0.0785295j -0.0750063+0.0466679j 0.0873721-0.004608j -0.000262994-0.0790022j 0.0971764-0.0161836j 0.0198657+0.114159j 0.0382139-0.00391576j 0.0306366+0.0242232j -0.0587005-0.0496887j -0.156378+0.0669068j -0.0803034-0.0715045j 0.124767+0.137729j -0.0167547+0.108847j -0.00916871-0.0504624j 0.00456503+0.12511j -0.0723862-0.0502922j 0.08551-0.107282j 0.0174219+0.101604j 0.0896521-0.0607829j 0.0106096+0.0672822j -0.0166878-0.000713923j -0.0282487+0.0485935j -0.016657+0.0334414j -0.017932+0.0461222j -0.0946389+0.0278736j 0.0554783-0.0168813j -0.0717014+0.0501545j 0.0460793+0.0220576j 0.0871403-0.0472719j 0.0146087+0.0122802j 0.0122738-0.0511116j 0.0145146+0.00578315j -0.0150163+0.0290307j 0.0309844+0.0125399j -0.0258695+0.0336407j -0.00546112+0.019254j -0.0323132-0.00730915j -0.118217-0.062597j 0.000425317-0.0183585j -0.0168235-0.0459326j 0.0931147-0.00373289j -0.0154847+0.0161391j -0.0151379-0.0227244j 0.0631452+0.0262784j -0.0397449-0.056512j -0.144329-0.0656613j -0.00211495+0.0455217j 0.0343999+0.0234477j -0.011758+0.0211133j -0.0210291-0.0049289j -0.0595154-0.0967831j -0.0231349+0.0411255j 0.0391646+0.0253012j -0.0743199+0.143723j -0.00989363+0.0448454j -0.00239984+0.101302j -0.103789-0.0340635j 0.00779708+0.037786j 0.0898193+0.0387959j -0.0211197-0.0120724j 0.000535427-0.0863587j 0.0108176+0.0210186j -0.0735889+0.0254566j 0.115479+0.101445j -0.02993-0.13969j -0.183783+0.0798316j 0.0460129+0.014248j -0.0153913+0.0505916j 0.0408493-0.0723576j -0.0895463-0.0412267j 
-0.00342403+0.08065j -0.0865654-0.0209519j 0.0248093+0.154803j 0.140687-0.0252379j -0.00386681-0.144999j 0.142609+0.027465j -0.00593833+0.0213296j 0.108099+0.0350974j -0.00306397+0.111036j 0.0373544-0.062784j 0.0778525-0.155375j -0.0975237-0.195128j 0.227243-0.0294702j -0.023917+0.0789972j 0.0301519-0.0677811j 0.0638313-0.0231311j -0.0109692+0.00948506j 0.0154384-0.10522j -0.0766664+0.0532254j -0.155168+0.0524663j -0.0597182-0.0711349j -0.0586989-0.0916371j -0.0542673-0.0152578j 0.0782383-0.168083j -0.0151115+0.0140298j 0.0126974+0.0810008j 0.0815847-0.0317405j 0.0473935-0.0488988j -0.0170458-0.0061861j 0.0319869+0.013261j 0.0899846+0.0639109j 0.0460567-0.0487968j 0.041979-0.0577094j -0.0470109+0.0137112j -0.0169905-0.0353597j -0.0448237-0.0416189j 0.100571+0.0281516j 0.00609871-0.0107026j -0.0470979-0.054341j -0.025091+0.0153944j 0.00949106-0.00566808j 0.100755+0.0482902j -0.0401943-0.0793129j -0.0679014-0.0454237j 0.0486074-0.0283366j 0.142727-0.00377806j -0.00808354+0.0438857j -0.00626991+0.00714705j -0.0588169-0.101279j -0.0474232-0.0247603j 0.0284036-0.0515757j -0.0499601-0.0241436j 0.0370963-0.128628j 0.0886237-0.0560697j -0.0816562-0.0630386j -0.0106676-0.0459336j 0.0568998+0.0536473j 0.136694+0.0160452j 0.0787448-0.0404598j 0.107624-0.11492j 0.00599619+0.154882j -0.0760067+0.000606318j 0.0200401+0.18743j 0.157478-0.0325991j 0.032578+0.00759241j 0.0622689+0.0273715j -0.0833712+0.0790557j -0.0887799-0.13777j 0.0836849+0.00879988j -0.0142909-0.0896158j 
-0.0722324-0.0736108j 0.0938351-0.0908719j -0.0388127-0.111038j -0.128445-0.0115586j 0.139617+0.050652j 0.031501+0.196684j 0.209557-0.0474149j 0.0815819-0.200402j 0.00906382+0.0309568j -0.0375553+0.0133211j -0.062974-0.112827j -0.13443-0.0615311j 0.040514-0.0980931j 0.0502594-0.0163559j 0.0532363-0.0511941j 0.0678944-0.00121854j 0.00596215-0.0602666j -0.0474475-0.0197763j -0.0185048-0.00987501j 0.0283879-0.14365j 0.00446014+0.030428j -0.011846-0.0286932j 0.0241884-0.0744164j -0.0133834+0.0151643j -0.0572081+0.0269101j 2.98323e-05-0.0684759j -0.0771638-0.00633224j -0.0233869+0.134444j 0.0793598-0.0516653j -0.0950381+0.0575972j -0.0362396+0.0068836j 0.0333705+0.0309228j 0.108654-0.0513125j -0.0418229+0.033542j -0.0838135-0.0309435j 0.0237089-0.0235439j 0.025543+0.0392793j -0.0234529+0.000994917j -0.0488474+0.0550915j 0.0130982+0.0296186j -0.00481543+0.071937j 0.115107+0.0574261j 0.049299-0.0882063j 0.0806017+0.0154621j -0.0316195+0.0041665j -0.0834841+0.00261148j -0.00741841-0.0575154j -0.0284297+0.0358185j 0.0851122-0.0019776j 0.0686375+0.0149799j 0.0583716+0.0151646j 0.012861-0.0548142j -0.0105237+0.0441383j 0.0903398+0.0508335j -0.00117677-0.0594918j 0.0739093-0.0780722j 0.0244896-0.0220502j 0.0566647-0.000561408j -0.0171094-0.0425967j 0.06601-0.175305j 0.134043+0.0305757j -0.00111839-0.0572664j 0.186712+0.0749289j 0.0884641-0.0112366j 0.113183-0.196458j -0.110804-0.0876733j 0.0715904-0.11193j 0.0805793+0.0686308j -0.0519404+0.114588j 0.103029+0.0731363j 
-0.0488349-0.0418763j 0.0407131-0.0545959j -0.0407016+0.0979305j 0.0556587+0.0316972j -0.138444-0.0143824j 0.0281424-0.0592782j 0.0668752+0.0896898j 0.0699285-0.144637j -0.0794621-0.0143844j -0.0655157+0.21625j -0.14972-0.0857623j 0.0568072+0.0259344j 0.0510732+0.0518524j -0.118651+0.0355954j -0.00531752+0.169489j 0.0212327-0.0991229j 0.163763+0.110568j -0.00842729-0.0658773j 0.0669705-0.0862282j -0.0293448+0.0309258j 0.0305684+0.00368351j 0.0390004-0.0628192j -0.021307+0.0192355j -0.0165402+0.05481j 0.188154-0.0458679j -0.0556647-0.00553783j 0.053718-0.0346963j -0.0177442+0.0782135j 0.131078-0.050227j 0.0571694+0.00408641j -0.0121125+0.0212678j 0.0384029-0.0104016j -0.10541+0.0559572j -0.0893563+0.0300705j -0.0287071+0.0712881j 0.0401908-0.0359317j 0.0327302-0.00586277j -0.0932438-0.0864061j -0.0182933-0.0306095j -0.05692+0.0717575j 0.0164316+0.0100645j -0.0965099-0.0330775j 0.00970083+0.0583473j -0.0780867-0.0434498j 0.00452331+0.0646613j -0.0218318-0.0126863j -0.0707969-0.173517j -0.01855+0.0483912j 0.0436111-0.0835075j 0.0394183-0.0494152j 0.111121-0.0325194j 0.139539+0.0995011j 0.000628198-0.121544j -0.113847-0.0282679j -0.0910275+0.0484141j 0.0331093+0.188526j -0.0333795+0.0798045j 0.170542+0.123188j 0.189871-0.252223j -0.147511-0.0613778j -0.139096-0.154128j 0.0586307-0.120831j 0.0547225-0.0303333j -0.0226292+0.0155319j 0.08956+0.00205806j -0.00130824-0.0880026j -0.0674005+0.0132512j -0.0250496-0.0711281j -0.0216563+0.038778j 0.0321145+0.0189419j 
