-0.0117698+0.00179j 0.0044712+0.0126375j 0.00451588+0.0132542j 0.0108694-0.00391184j -0.000181312-0.00193465j 0.0051254+0.00607358j 0.00566012-0.00725794j -0.00321565+4.21067e-05j -0.00177751-0.00227948j 0.00197496-0.00251369j -0.000454201-0.00599797j 0.000119432+0.00667762j -0.0053554+0.00675171j -0.00746841-0.000940655j 0.00522472-0.00618389j 0.00183548+0.0037406j -0.00207973-0.002066j 0.000293951-0.0026134j 0.00233241+0.00605088j -0.00256671-0.00390285j -0.00604977+0.00264252j -0.00215581-0.00608172j 0.0049568-0.00645294j 0.00578748-0.0052645j 0.00240743-0.0061348j -0.0079044-0.00168347j 0.0031283-0.00650923j -0.00144902-0.0012229j 0.0023752-0.00689656j -0.00178707+0.00631784j 0.00821961+0.0103134j -0.00354228+0.00827423j -0.0108034-0.00296017j 0.00133824-0.00668184j -0.00316923+0.000944473j -0.0110051+0.00537272j -0.000945393-0.0106249j -0.00457908+0.00694757j -0.00251102-0.00336414j 0.00348385-0.00243308j -0.000255082-0.00731973j 0.00924691-0.00913709j -0.00727013+0.00670362j -0.010187-0.00611401j -0.00303742-0.00275518j -0.0145591+0.00941407j -0.0153561-0.00472523j -0.00234591-0.00618079j -0.00950782-0.00987632j 0.000130363-0.00472411j 0.00426184-0.00856042j -0.0012694+0.00423756j -0.00220297-0.00386187j 0.0011172-0.00063341j -0.00201747-0.00136044j -0.00423648+0.00291342j 0.00329534-0.00532125j 0.00710678-0.00282368j 0.00464935+0.00405705j 0.0120222+0.00228858j 0.0117572+0.00442679j -0.000542237+0.00521772j -0.00246187-0.0104058j 0.00857428-0.00499108j 0.00228737-0.00551691j 0.0057992+0.0145149j -0.0131573+0.00133955j -0.0308001-0.0144273j 0.0147327-0.0323229j 
5.7919e-05+0.0110556j 0.0121334-0.00149084j 0.0064939-0.00441949j -0.00722355-0.00462281j -0.00609063+0.00867792j 0.0101656-0.00298574j -0.00939541-0.00595918j 0.00307254+0.0102143j 8.31099e-05+0.00456139j -0.00431308+0.00500008j -0.00244571+0.00102049j 0.00653369-0.000800703j 0.00296617+0.00740891j -0.0028959+0.00225622j -0.00380867-0.000937645j 0.00517016+0.000561538j -0.00557954-0.00191867j 0.00657543+0.00305882j -0.00205328-0.00499381j -0.00295687+0.00546186j 0.00330438+0.00347101j -0.00166728+0.000315148j -0.00292058-0.00325719j 0.00145267-0.00480552j -0.00254822-0.00543385j -0.000891341+0.00358821j -0.00533403-0.00151156j -0.00777944+0.0010574j -0.00712741+0.00329871j 0.00887+0.00313052j 0.00946119-0.00975588j 0.00454352+0.00682222j 0.00180388+0.00923766j -0.00185234+0.0026534j -0.000770018+0.00176037j 0.00523787+0.00333599j -0.0104668-0.00545667j 0.000631821+0.00578699j 0.00190753-0.000151608j -0.00705628-0.00702867j -0.00795412-0.00402873j -0.00671644-0.00357456j 0.00415369+0.00453033j -0.00114257+0.0157343j -0.00105419+0.00129292j 0.0105244+0.0134653j -0.0081996+0.0117611j -0.00622189-0.00320477j -0.00898592+0.00560265j 0.00895996+0.00268342j 0.0017135-0.0094476j 0.000999969-9.80902e-05j -0.00436016+0.0142303j -0.00282262-0.00281952j 0.00712499+0.000279393j 0.00169697-0.00385586j -0.000223372+0.00587783j 0.00544053-0.00199843j -0.0101755-0.001596j 0.0104425-0.000658111j -0.00958195+0.000968563j -0.0140903+0.00338509j -0.00991671+0.000469162j -0.00536729-0.00205796j 0.0145054-0.0102507j 0.0110181-0.0146714j 0.0178848+0.00710091j -0.0159716+0.0294376j -0.0270476-0.0160807j 
0.002868+0.00369284j 0.00395439+0.00148975j -0.00894512+0.000469962j 0.00240296+0.00249656j 0.0100188+0.0073785j 0.00933767-0.00561009j -0.000783271+0.00495486j -0.000871225-0.00187078j -0.00259274-0.00857301j 0.00486211-0.000974555j 0.00538305+0.00470382j 0.00262458-0.00341071j 0.00498295-0.000860253j 0.0058028+0.00844239j -0.00796624-0.00209701j -0.00635655+9.29811e-05j 0.00358622-0.0141782j 0.002526-0.00501262j 0.00510754+0.000710422j 0.00228106-0.00507532j -0.00577394-0.00190645j -0.00163749+0.00561043j -0.00184587-0.00475918j 0.0011445+0.00331547j -0.00172491+0.0152293j 0.00829973+2.36229e-05j 0.00183322+0.00742565j -0.00554722+0.00471195j 0.00163817-0.000168722j 0.000231783+0.00730086j -0.00931419-0.00749212j 0.00668642-0.00335707j 0.0105948+0.00245498j 0.00321184+0.0165434j -0.00993501+0.00172399j -0.0213115-0.00541625j 0.00927105-0.00298655j -0.00582601-0.00404356j 0.00136288-0.0133838j 0.0028669+0.010312j -0.00304544+0.00886543j -0.00854436+0.00648067j 0.00328628-0.000670772j 0.00898081+0.00291779j 0.00498619+0.00328904j 0.0077899+0.00881388j -0.00380235+0.0135911j -0.0102401+0.0112757j -0.0113862+0.00257434j -0.0113122+0.00721882j 0.00169134+2.72601e-05j -0.00140834+0.000774956j -0.00926751-0.00447964j -0.0123397+0.00461495j -0.00654449-0.00318657j -0.00108415+0.000647625j 0.000144915+0.0023572j 0.00558592+0.00106727j 0.000647475-0.00383522j -0.00526249-0.00728212j -0.0104613-0.00533926j 0.00283979+0.0052955j 0.00456975+0.00255509j 0.0127208-0.00317909j -0.0226841+0.00514847j -0.0204917-0.00477404j 0.00325132-0.0201509j -0.00436448+0.00589838j -0.00129467-0.00706871j 
0.00708209-0.00626397j 0.0138916-0.000637365j 0.00457852+0.00231385j -0.0040651+0.00021733j 0.000572161+0.00418008j 0.00487708+0.00791217j -0.0123146-0.0168848j -0.00569685-0.0067161j 0.00877243-0.000678828j 0.00311699+0.0171773j -0.00151141-0.00867415j -0.00427981+0.00269072j 0.0106376+0.00430619j -0.00296667-0.00553813j 0.00898015+0.00644658j 0.00473818+0.00244863j -0.00546436+0.000677157j 0.00258856+0.00730419j -0.00690205+0.00406092j -0.00294719-0.00265294j -0.00473597-0.0173501j -0.000391882-0.00745718j -0.00493118+0.000516093j -0.00383225-0.00122976j -0.0032508-0.00244168j 0.00178961-0.00704432j 0.0120144-0.00411485j -0.00326426-0.00167878j 0.00572261-0.0077685j 0.00876238-0.0169781j -0.00589327+0.00155045j 0.00244151+0.00710475j -0.00195373-0.0039168j 0.00592812-0.00705234j 0.00901871+0.00425405j 0.00365019+0.00366568j -0.00856003+0.00104152j 0.0125462+0.00264371j -0.00404723-0.00263113j -0.0100244+0.00240568j -0.00138873-0.00217661j -0.00328485-0.00764807j -0.00450941+0.00952077j 0.00244449+0.0109879j -0.00191892+0.00106871j 0.00337033+0.0163492j -0.0183178+0.0107725j -0.0025815-0.00465026j 0.00051782-0.00434462j 0.00420792+0.00529643j 0.0125615-0.00974138j -0.00584537+0.00430111j 0.00467724-0.000199276j 0.00470503-0.00121119j -0.000689413-0.00275542j -0.0118945+0.00246765j 0.00633727-0.000214851j -0.000898067-0.000993606j 0.0138888-0.0101745j -0.0142277+0.00150383j -0.00409231-0.00501239j 0.0089356-0.00407518j -0.0146261+0.000446712j -0.00967453+0.00189443j -0.0115849+0.0116153j -0.0059856-0.00304692j 0.0021895-0.000404101j -0.00442684-0.00413057j 0.00828038+0.00255501j 
0.0027188-0.00406901j -0.0027591+0.00201906j -0.00339995-0.00168665j -0.000817505-0.00636093j 0.00284909+2.56951e-06j 0.00199794+0.00845496j -0.00248184-0.000968863j 0.00593558+0.0118948j 0.00367281-0.00532497j 0.00230311+0.0048794j 0.00141184+0.0105091j -0.000190881+0.00315848j -0.0021508-0.000778495j 0.00318496+0.0135044j 0.00324578+0.0126996j -0.00954889-0.0104296j -0.00330089-0.0112523j 0.00578359-0.00126416j -0.000497973+0.0140385j 0.00139505-0.00367103j 0.00363079-0.0057347j 0.00169368-0.0132164j -0.00143153-0.00359091j -0.0029499-0.00543732j 0.00863096+0.0260736j 0.00150102-0.00321204j 0.00629665-0.00203919j -0.00244545+0.00277816j -0.00134363+0.0141916j -0.000197994+0.00697984j -0.014356+0.0156444j -0.0108791+0.00545506j -0.00446379-0.00289495j -0.0130152+0.00533767j 0.00248103-0.00484685j -0.00565008-0.00330687j 0.00582973-0.00122631j 0.00486695-0.00460935j 0.00569803+0.0034384j 0.00573617-0.00500806j -0.00652666+0.00453777j -0.0141207+0.00754012j -0.00697371+0.000533418j -0.00417544+0.00234364j -0.00368195-0.00254817j 0.00912217-0.00701024j 0.00684003+0.000780788j 0.00185798-0.00118115j 0.010036-0.000207162j 0.00332295-0.00386603j 0.0164098-0.00339132j 0.0158768+0.00115099j -0.00787476+0.00501752j -0.0132899+0.000680987j 0.00169106+0.000470935j -0.00958523+0.00145369j 0.00339161+0.00099533j -0.00424584-0.00806524j 0.00300023+0.00358003j 0.0177226+4.32032e-05j 0.011891+0.00114971j -0.00850659-0.00489565j -0.00332-0.00779246j 0.00633214+0.00204639j -0.00264707-0.0075151j 0.0205727-0.00178639j 0.00818288+0.0138489j 0.000359753-0.0068184j 0.00185103+0.00241744j 
0.0065922-0.00415345j -0.000828277+0.00269454j -0.00579531-0.00349853j 0.00563029-0.00729471j 0.00285503+0.00426909j 0.00426763+0.00886118j -0.000694389+0.00421592j -0.0092616-0.0079415j -0.00186036-0.0114149j 0.00201959+0.0106463j -0.00128288+0.00843939j -0.00775047+0.00367417j -0.000647642+0.00291764j -0.00217073-0.00795608j -0.00645265-0.016419j -0.00221566+0.00909517j -0.00185849-0.0179797j 0.00763352-0.00795371j -0.00166733-0.00471392j -0.00132962-0.00932466j 0.00265738+0.011084j 0.00343274+0.00536574j 0.00982187-0.00575789j 0.00296551+0.0106394j 0.00531638-0.00575708j 0.00159684-0.0266118j -0.00193503+0.0109407j 0.00647558-0.0100024j 0.00596086-0.00377674j 0.00170015-0.00121357j -0.00104403-0.00833179j 0.00293722-0.00636473j 0.00376279-0.0119435j 0.00981143-0.00595796j -0.00319562+0.00451421j 0.0145569-0.00212233j 0.00249839-0.00153405j 0.00307183-0.00329233j -0.000308154+0.00256973j -0.000310681+0.000299141j 0.00508874+0.00486559j -0.0131389+0.00503743j 0.00753357-0.00177862j 0.00320201-0.00335304j 0.0168488-0.000790787j -0.00723398-0.00310199j 0.00553983-0.000224845j -0.00287886+0.00044769j -0.00143987+0.00104855j 0.000561101-0.0035455j 0.000256165-0.00123512j -0.00438606-0.00095428j 0.00726583+0.00402562j -0.0110698-0.00284739j 0.00242682-0.00182461j 0.0114653+0.0040273j 0.0116406+0.000472001j 0.0104191-0.0035079j 0.00105769+0.00535584j -0.00732313-0.00233415j -0.00309784+0.00366362j 0.0087706-0.00300483j 0.00131995-0.00246236j 0.00496408+0.00545163j -0.00461284-0.00330274j 0.0152417-0.00116895j 0.0107781+0.011321j -0.00262913-0.00586242j 0.000972199+0.00317853j 
0.0116493-0.00540504j 0.00816202+0.000108512j -0.000170243+0.00134359j -0.00479487-0.000362618j 0.00595158-0.00576753j -0.00943833+0.00531129j -0.00666757-0.00374961j 0.00101491-0.0114486j -0.00336255+0.00236988j -0.00536401+0.00689118j -0.00125644-0.000332541j 0.00179883-0.0091556j 0.00632072-0.00252805j 0.00918974-0.00122418j -0.00486791+0.013125j 0.00437823-0.000220383j 0.00546261-7.84426e-05j -0.00257622+0.000623663j 0.0026191-0.00178885j -0.0047677-0.00539045j 0.00214576-0.0148302j -0.00180758+0.00120353j 0.00249391+0.00630467j -0.00172024-0.00442093j -0.0081323+0.00379201j 0.00708981-0.00381717j -0.00452868+0.000582946j 0.00583108+0.00368806j -0.00097722-0.000249882j -0.00233071-0.00757837j 0.00232491+0.00658019j 0.00578797-0.00118009j 0.00793429-0.0144672j 0.00284612-0.00317367j 0.00474342+0.00603316j 0.00492165+0.00208528j 0.00224061+0.00334476j 0.00140618-0.000575851j -0.00471196-0.00621773j 0.00251146+0.0118194j 0.00394343+0.00835107j -0.00407352+0.004125j -0.00716977-0.000725684j 0.010677+0.00218162j 0.00208401+0.00278392j 0.0125643-0.00340052j 0.00404333+0.0180696j -0.00345229+0.00621232j 0.00662554+0.014971j 0.00265975-0.000984106j -0.00500654+0.000192204j 0.00664221-0.00189046j -0.00144364+0.0057308j 0.00311272-0.006668j 5.05004e-05-0.000211859j 0.00706547-0.00414116j -0.00392579-0.00299115j 0.00664587-0.00877958j 0.00667054+0.00763663j 0.0102985-0.00845682j 0.00623849+0.00522176j 0.00214219+0.000500368j 0.00334903+0.00524613j 0.0187266+0.004004j 0.0257442-0.00764988j 0.0045295+0.00567055j -0.00339639-0.0128769j -0.0135912+0.00727011j 0.0104039+0.00666483j 
0.00318399+0.00479439j 0.000712086+0.00125734j -0.00666903+0.00385259j 0.00744877-0.00125266j 0.0113378+0.00149139j 0.00577979+0.00215888j 0.00663425-0.00356638j -0.00151803+0.000646323j 0.00741322-0.00296907j -0.00119859+0.00321528j 0.00417759-0.00298555j 0.00315777+0.000387017j 0.00554569-0.00155648j 0.00115336+0.00321439j 0.0139858-0.00197262j 0.00808581-0.00747963j -0.00294816-0.00810045j -0.0132699-0.00138667j 0.00380506+0.00368396j -0.000958368-0.0155626j -0.00855966-0.000677081j -0.00919936+0.00468905j 0.00164715+0.00329734j 0.0103827-0.000481943j -0.0136706+0.00978197j 0.00226988-0.000183972j -0.00283333-0.0048618j 0.00356738-0.00156804j 0.00171505-0.00272191j -0.00085534-0.0032227j -0.00309711+0.0137435j -0.00119683-0.00232378j 0.00912952-0.00291727j 0.00986524+0.00350754j 0.0012088+0.0112729j -0.00716734+0.0106063j -0.00209644-0.0161622j -0.0092315+0.00565325j -0.00451159-0.0116702j 0.00830628+0.00635342j 0.0044021+0.00308076j 0.00271539+0.00275804j -0.000942946+0.000261237j -0.00270613-0.0174735j -0.00213539-0.000743652j -0.0106191-0.00889124j 0.00659482-0.00858434j -0.000172477+0.00278795j 0.00873308-0.0069497j -0.00389483+0.00599586j 0.00179519+0.0102757j 0.00125233-0.00622326j 0.00735696-0.00362701j -0.0090707-0.00054031j -0.00342623-0.00277635j 0.000190637-0.00405397j 0.000521193+0.000410169j -0.00162174+0.00792241j -0.00595022+0.00398097j 7.96691e-05+0.00922949j -0.00663721+0.00539642j -0.00376948-0.00433228j -0.0165654+0.00871153j -0.00727879+0.00458707j 0.0122582+0.0174673j 0.000187195+0.00941213j 0.00522236-0.00394136j -0.00657845-0.00235092j -0.0104914+0.00149965j 
-0.00606406+0.00342954j 0.00601047+0.00863111j 0.00213739+0.0112928j 0.000869144+0.00300615j -0.00116423+0.00283167j 0.00411896+0.00551955j 0.00638674-0.000697263j 0.00598959-0.00762285j -0.00364753-0.000898341j 0.00454914-0.00258493j 0.0116335-0.00958201j 0.00147249-0.00156816j -0.00265262-0.000539873j 0.00241999-0.0074268j -0.00224617+0.000555455j -0.00665394+0.00495421j 0.00471448-0.00119669j 0.00685045-0.00813086j -0.00723339+0.00885843j 0.0107011-5.16933e-05j 0.00332388-0.0152397j 0.00606421-0.000162555j 0.00158783-0.00184995j 0.0038234+0.00439442j 0.00686501-0.00687218j -0.00136108+0.00419536j 0.00361223-0.00545278j -0.00825792+0.00115321j -0.00351304-0.00245885j -0.00826855-0.00406402j -0.00276677+0.00570442j -0.00190575+0.00948174j 0.00818638+0.00208529j -0.00557055+0.00211605j -0.00407309-0.0128918j 0.00170515-0.0277925j 0.0146877+0.0134015j -0.00308561-0.0104479j 0.0141778+0.00108916j -0.00786373+0.00716765j 0.000886714-0.00311183j 0.00431652+0.00635208j -0.000939724+0.00389244j 0.00893991-0.00547886j 0.000429197-0.00645421j 0.00412849-0.00858138j 0.00921645+0.00199849j 0.00120568+0.00531742j 0.0107875-0.00723635j -0.00774144-0.00952766j -0.00168396+0.00150478j -0.00930378+0.000215439j 0.00573967-0.00178151j 0.00103172+0.00432931j 0.00674713-0.00297731j -0.0127125-0.00593399j 0.000254692+0.00883605j 0.00148664+0.00978631j 0.00125412-0.000398727j -0.000521378+0.00115315j -0.00763592-0.00425268j -0.00374058+0.00968431j -0.0172905+0.00393038j 6.06932e-05+0.00947454j 0.0051823+0.00197416j -0.00171738-0.0183706j 0.0107306-0.00256551j -0.00187208-0.0108458j 0.00355526+0.00707321j 
0.000407689+0.00186133j 0.00251576+0.000496664j 0.00200339-0.00070499j -0.00416919-0.00179516j -0.00208627-0.000960092j -0.014159+0.0044964j -0.00431135+0.0051934j -0.00525249+0.00688801j 0.0034848-0.00310207j 0.00403499+0.00172384j 0.0242393-0.00260223j -0.00426416-0.00294896j -0.00686059+0.0010877j -0.0135283+0.000756938j -0.00670369+0.00186789j 0.00516357-0.00373222j 0.00243809-0.00616128j -0.00505422-0.000994365j 0.0214653-0.0034181j 0.00493986-0.00547232j 0.00375907-0.0045234j 0.0155688+0.00125667j 0.00807247-0.00436461j 0.00576543+0.00631693j 0.00041479+0.0041511j -0.00013442-0.000254594j -0.00959795-0.00453785j -0.0110936-0.00405949j 0.00940089+0.00760702j 0.00839694-0.00676029j 0.00786706-0.00201753j 0.0264844+0.0171744j 0.00107124+0.0104105j -0.00718093-0.00279652j 0.00578811-0.00231578j 0.00276423+0.00815932j 0.00147956-0.000953723j 0.00194197-0.00262909j 0.00478725+0.000847205j 0.00361437-0.00031866j -0.00443927-0.00222209j 0.00310128+0.00122786j -0.00387906-0.0011883j -0.00147044-0.00246223j 0.00264017-0.00343456j -0.00187262+0.00189729j 0.00241838-0.00142287j 0.000419683-0.00397396j 0.000119778+0.00208181j -3.69554e-05+0.000912291j 0.00292748+0.000232374j -0.00191937+0.00263322j -6.78381e-05-0.00258704j -0.00140461+0.00128495j -0.00149129-0.00371992j -0.00491589+0.0014637j 0.00507196+0.00224957j 0.00060844+0.00150984j -0.0031718-0.0086489j 0.000962849-0.000270926j 0.00139381+0.00154017j -0.00349317+0.00183082j 0.0029113-0.00428742j 0.00716218+0.0118393j -0.00556835+0.00470619j 0.00161209-0.000978708j 0.0010315+0.00266041j -0.00135526-0.000456363j 0.00156292-0.00191397j 
-0.00379054-0.00268989j -0.000105656-0.000754106j 0.00026225-0.00252125j -0.00634337-0.000601667j -0.00380306+0.00128115j 0.00666918-0.00206084j -0.00207881-0.000696499j -0.00335091+0.00702192j -0.00152222-0.000648587j 0.00783458-0.00163538j 0.00783488+0.00122486j 0.000859058-0.000894041j 0.0139244-0.00261562j 0.0141258-0.00281402j -0.00275053+0.000943856j -0.00631522+0.00113817j 0.00701968+0.000471626j -0.0166291+0.00591073j -0.0103705+0.000430651j 0.0210556+0.00528019j -0.00610911-0.00123722j 0.00463787-0.00176619j 0.017308-0.00407063j 0.0210346+3.34997e-05j -0.00568141-0.0011182j 0.00811371+0.00714001j 0.00794523-0.00312655j 0.00467478-0.0023021j -0.00641568-0.00430543j -0.00538114-0.00346541j 0.0158799+0.00678746j -0.00115962-0.00498346j 0.000297481+0.00952636j 0.011884+0.00788606j 0.0104341+0.00710714j 0.00560879+0.0033475j -0.00877282-0.00522315j -0.00113593+0.00109687j 0.00257498-0.000292905j -0.00182111-0.00109753j -0.00125208-0.00305663j -0.00147519+0.00354341j -0.000323253+0.000930919j -0.00198214+0.00290672j 0.000827218-0.000159002j 0.00684024+0.0018627j 0.000134251-0.00167378j 0.00211338-0.00157921j 0.00246198+0.00101147j 0.00268334-0.00143812j 0.00438755-0.00452038j -0.00200341+0.00212412j -0.00386601+0.00187718j -0.00232664-0.00154854j -0.00124039+0.000428623j -0.00165731+0.00454817j 0.000290287-0.00334961j 0.00654495-0.00329546j -0.00185476+0.00200607j 0.00589421-0.000394623j 0.00783172-0.000261577j 0.00866604+0.000143452j 0.0121384-0.000183083j 1.16688e-05-0.00264088j 0.00121139+0.000312663j 0.00995667-0.00264169j -0.00329495+0.0103507j 0.00574307-0.00381086j 0.00237233-0.00256395j 
