0.00180769+0.0236024j -0.0201381+0.000219034j 0.0380509-0.00391003j 0.0106337+0.0162305j -0.019722-0.0320154j -0.0386884-0.0252013j 0.0183396-0.102543j -0.0515093-0.037212j -0.0108156+0.0157087j 0.0044194+0.0106675j -0.00104301+0.0153685j -0.0223828-0.0222757j -0.000720925+0.0141533j 0.000327874-0.00478139j 0.0117999-0.000191272j 0.00556422+0.000989166j -0.0161858-0.00374141j 0.00114181+0.00342329j -0.00146393+0.00200161j -0.00701386-0.0040288j -0.00423638-0.00918723j -0.00651198+0.00799311j 0.0194935+0.0125831j 0.00779991+0.00767194j -0.0164147-0.00130311j 0.00137545+0.00356805j -0.00839343-0.00106424j 0.0057074+0.00826072j -0.0132733-0.000117379j 0.00178963+0.0403641j -0.0265997-0.0138204j 0.0120702-0.00722653j 0.00352979+0.00484801j -0.0152624+0.0077909j 
-0.0178538-0.0123797j -0.00408301-0.0308447j 0.00988482+0.0575001j -0.00271146+0.0167394j 0.0106524+0.0175491j 0.0241914-0.0367772j 0.109745+0.0370736j 0.0335385-0.0941647j -0.0131542-0.0186719j 0.00695975+0.0172003j -0.0094597+0.0161735j 0.0043346-0.000556281j -0.0185538-0.0212945j 0.00261953-0.00332173j -0.00780057-0.0117252j 0.00590892+0.00206255j -0.00777842-0.00458835j 0.0161409+0.000632632j -0.0111571-0.0140755j -0.0218239-0.00949473j 0.00825038+0.00523036j -0.00997842-0.0128367j 0.00272625-0.00333852j -0.00472416-0.00437409j 0.0138579-0.00143875j -0.00762396+0.00331451j 0.00457311+0.00863599j -0.000534286-0.00404296j 0.008119+0.0103204j 0.0290462+0.0113599j -0.00723013+0.0415433j -0.00333222-0.00831091j 0.0130223-0.00544297j 0.00522588-0.000147093j 
-0.0271595-0.0408924j -0.0871255-0.0284761j 0.215524-0.0254212j 0.0272682+0.0227444j 0.058735+0.0863779j -0.00647462-0.0373355j 0.121357+0.193817j -0.279261+0.153036j -0.0729422-0.0272756j 0.0555547-0.0193267j -0.00864146-0.0307504j 0.0165273+0.0539009j -0.0939343-0.0259731j 0.00452959+0.00511981j 0.0180092+0.00374952j 0.0119753+0.0126339j -0.0558314+0.0151107j 0.0013418+0.0394548j -0.0257953+0.0186223j -0.0178809-0.0412102j 0.0198809+0.00400038j -0.0506352+0.0100521j 0.0327993-0.00359853j -0.0037259-0.00341985j -0.0342149+0.0132095j -0.00369655-0.0165309j -0.00141361+0.00335964j -0.0223875+0.00196238j -0.0213757+0.0128015j -0.0349841-0.00789302j 0.0251433-0.0411641j 0.0234412+0.0169437j 0.00607126+0.0401165j -0.0697991+0.00763215j 
-0.0714197-0.0435304j -0.0364467-0.000881622j 0.0604635+0.0134068j -0.0372939-0.0409061j 0.171634+0.0412024j 0.164596+0.0772134j 0.0600814-0.0211613j -0.017169-0.0168832j 0.0161092+0.0345299j -0.00617291-0.00914221j -0.0387641+0.00107339j 0.0963197+0.000279211j -0.0599449+0.00555574j -0.00400519-0.0222654j -0.0232629-0.041357j 0.00445532-0.0270241j 0.0062327+0.00731048j 0.0500167+0.0160354j 0.00285452+0.00344856j -0.031432+0.00148385j 0.033344+0.0070442j 0.00718914+0.00593021j -0.0051466-0.00715155j -0.0180916-0.0076709j -0.0172944+0.00794314j -0.00420092+0.00816895j -0.0160404+0.00378286j 0.00276754+0.00406227j 0.00654887+0.00896698j -0.00656669+0.0149851j -0.00570027+0.00921771j 0.0249784+0.00616585j 0.0354665+0.00919301j -0.0159468+0.0197041j 
-0.0147737-0.0268601j -0.0708881-0.0160547j 0.179294+0.0113559j 0.00832435+0.0527916j -0.0412278+0.0486899j 0.152215+0.379314j 0.288207+0.0278746j -0.121191+0.0825018j -0.02196+0.00941969j 0.0368728+0.0262509j -0.0288939-0.0530261j -0.00139714+0.0274535j -0.054226-0.0358057j -0.000744997-0.0188409j -0.00869964-0.0353712j -0.000535879-0.0453543j -0.00365201-0.00726771j 0.0107631+0.0195056j -0.046084+0.0133409j -0.0355967+0.0430602j 0.0468905+0.0340669j -0.030283+0.0167178j 0.00208031-0.00346353j -0.0243245-0.0281041j -0.018943+0.0103311j -0.0116233-0.00226242j -0.0124757-0.00579347j -0.00768271-0.0218889j 0.0110898+0.000722348j -0.0371489+0.00191006j 0.0132112-0.0370131j 0.0261669+0.026426j 0.0270306+0.0151721j -0.0261343+0.0270332j 
-0.0781203+0.0957596j -0.0202168+0.0536438j 0.0167989+0.0124076j -0.0284219-0.100601j 0.195748-0.301262j 0.0666828+0.0894498j -0.136755-0.0874215j -0.0963701-0.0393215j 0.0422759+0.051071j 0.0033947-0.046017j -0.00986636-0.013923j 0.0726571-0.12644j -0.0367497+0.0679442j 0.0126386-0.0114129j -0.00438043+0.00850064j -0.0465986-0.0099468j -0.015615-0.0387931j -0.0187841-0.028502j 0.00905162-0.0127695j 0.00328035+0.0461169j 0.00794518-0.00955412j -0.0191575-0.00996223j 0.0150953+0.0285563j -0.00705873+0.00333637j -0.0302195+0.0130619j 0.022327-0.00831512j -0.0209837+0.00324263j 0.0252625-0.024036j -0.00590081-0.0184186j 0.0322851+0.0313501j -0.00122506+0.0111928j 0.0212263-0.0219761j -0.00847671-0.0343536j -0.000754793-0.0009287j 
-0.0412636+0.0190415j -0.0296685+0.0102966j -0.0146798-0.00753658j 0.0507255+0.0396278j 0.126034-0.0657031j -0.377637+0.215488j 0.0138742-0.0737707j 0.0113681+0.028757j -0.0904007+0.0218111j 0.00356267+0.0235031j 0.0383463-0.0136974j 0.0277623-0.0372564j -0.0269103+0.0132622j -0.0105379-0.00471518j 0.0110768-0.00910381j -0.0320946-0.01432j -0.00320351-0.0360704j 0.00134083+0.0152127j 0.0424438+0.000500147j -0.00850689+0.0393282j -0.0214877+0.00673268j -0.0345834+0.0333861j 0.0112842-0.00722432j 0.0205321+0.00422954j 0.00130489+0.0135877j 0.0248561+0.00103563j 0.0421959+0.010113j -0.0219269-0.0110457j 0.0156068-0.0106945j -0.031076+0.0195552j -0.00823071+0.0162454j 0.0144271-0.0108154j 0.0123483-0.0160041j -0.0152524+0.00741968j 
0.0719676-0.0219856j 0.0180488+0.0328275j -0.0184559-0.00472238j 0.0349931-0.162361j -0.188243+0.0667803j -0.152745+0.00735429j 0.25478-0.310741j 0.101965-0.16977j -0.0677629+0.0936479j 0.00508739-0.0672451j 0.0211602+0.00472913j -0.0551219+0.0173774j 0.0264005+0.0165457j -0.0272529-0.0408943j -0.0107602-0.064187j 0.0142651-0.0283363j 0.015181+0.0112236j -0.0202372-0.00161045j -0.0197534+0.00797742j 0.0109691+0.0276719j -0.01346+0.00349641j 0.00572963+0.000739444j -0.02622+0.00629141j 0.0269519+0.0332364j 0.00844303-0.0209603j -0.00508952+0.0113807j 0.0166345-0.00180796j -0.00835387+0.021275j 0.0173693-0.00457172j -0.0384661+0.0542818j -0.00520863+0.0430624j -0.0101421-0.00863744j -0.0011382-0.0252376j 0.0132196+0.00214649j 
0.0273097-0.00588763j 0.00160452-0.0347121j -0.142474+0.0337379j 0.186846+0.0436402j 0.00806933+0.0405707j 0.0882787+0.1773j 0.129127+0.070959j 0.305274+0.019806j -0.0279751-0.0134996j 0.0428233+0.00674434j -0.0496843+0.0071555j 0.0302408+0.0452331j 0.00203698-0.0139521j 0.0307567+0.00590817j 0.0225917+0.0288945j 0.0156842-0.0158754j 0.0583772-0.020844j 0.00582466-0.00463245j 0.0112611-0.000297862j -0.0271706+0.020088j 0.00962839+0.0165965j 0.0134353+0.0163771j -0.0127221-0.00484339j -0.024939-0.0369658j 0.0459847-0.0211084j -0.0368092+0.0123588j -0.000927061-0.0278534j -0.00417249-0.00217878j 0.0190968-0.00212453j 0.00305183+0.0157825j -0.0643145-0.0253661j -0.0089411+0.0123884j 0.0203182-0.000239339j 0.0431957+0.0110834j 
-0.0562394-0.0975748j 0.104759-0.0566642j -0.0956414+0.0182275j -0.289153+0.0633086j 0.0240725+0.326922j 0.0924996+0.0720814j -0.0459429-0.153104j 0.11119-0.114254j 0.132732-0.0304204j -0.117979+0.0213233j -0.0402843+0.00190175j 0.0467248+0.0886199j 0.0332421-0.0800503j 0.00186719-0.0171258j -0.064551-0.0191501j -0.032665+0.0289481j 0.00630355+0.0083401j 0.00026735+0.0407845j 0.0162361+0.0142753j 0.00443524-0.0200219j -0.0150948-0.00771041j -0.00252363-0.00436236j -0.0137467+0.000287765j -0.0347602+0.00514116j 0.0188997-0.0449116j -0.00132949+0.0274071j -0.0238998-0.0232423j 0.0135991+0.015964j 0.000329633-0.0054339j 0.0431816+0.013606j 0.00445402+0.00190673j 7.24787e-05+0.0196041j -0.00669147+0.0133607j 0.0330643-0.0137183j 
-0.0320325-0.141741j -0.0105103+0.0756513j 0.0554005-0.131771j -0.0960473-0.276927j 0.0658373+0.239045j -0.136215+0.0529624j -0.0538461+0.203314j -0.105913+0.294509j 0.0179375+0.053851j -0.0255183-0.147737j 0.0291925-0.00545517j 0.0376975+0.159142j 0.00678223+0.00116341j -0.0290893+0.0315189j -0.021964-0.00837374j -0.0367194-0.0241955j -0.0173513+0.00205184j 0.00171312+0.0223714j 0.0153861+0.0192767j -0.00937272-0.0121063j -0.0189863+0.00395717j -0.0121454+0.00409296j 0.0021435-0.0411009j -0.00924425-0.00990874j -0.0174937+0.00537806j 0.0180163+0.014675j -0.00522923-0.0286399j 0.00781123+0.048529j -0.00766129-0.00127754j -0.00420196+0.0139321j 0.000442372-0.055389j 0.0172089+0.0317848j 0.0121551+0.0251738j -0.00811227+0.0461465j 
