0.00663493-0.00772734j 0.0131057-0.00163043j 0.0154584-0.00336573j 0.00152392-0.00666041j -0.00428981-0.00109749j 0.00258555-0.00412496j 2.09708e-05-0.00238395j 0.00823802+0.00103612j 0.00373988-0.000598837j -0.0020411+0.00113349j 0.00270965+0.00085493j 0.00757696-0.00140961j -0.00565987+0.00213023j -0.00338087+0.00207556j 0.00254501-0.00348586j 0.00331031+0.000562675j -0.00543019+0.00363211j 0.00301873+0.000327861j -0.00240602+0.00310309j 0.00194034+0.000713456j 0.00514749-0.00466185j 0.00386528+0.00405048j 0.000933026-0.00100666j 0.00350671+0.000763836j -0.00555031+0.00118362j -0.00330259-0.000387514j -0.00235998+0.00101415j 0.00626422-0.00245737j 0.0106963-0.00308145j 0.00808769-0.00566713j -0.00247507+0.00178157j -0.00681528+0.007679j 0.00381734+0.00336657j -0.00493451+0.000242783j -0.00234193+0.00107421j -0.00303113+0.00398246j -0.0049738+0.00255706j -0.00389661+0.00140174j 0.00170629-0.00269183j -0.00140183-0.000246413j 0.000882305-0.00207498j 0.00175298+0.00055987j -0.0111058+0.00231551j -0.000313632+0.00183165j 0.00685905+0.000385797j -0.00245371+0.00315764j 0.00170568-0.00121027j -0.00573354+0.00271891j 0.000816579+0.00021377j 0.00548489-0.00190273j -0.00536054+0.00467493j -0.00770277-0.00150654j -0.00544252-0.00444911j -0.00227695-0.00273593j -0.00457251-0.000100855j 0.00280419+0.00320432j 0.00990961+0.000560672j -0.000925679+0.00415753j -0.00696682-0.00584199j 0.00441741+0.00266445j -0.00220872-0.00416938j -0.00466796+0.000476536j 0.000114219-0.00122682j 4.65518e-05+0.00271228j 0.00986254+0.00188244j 0.00209166+0.00449612j -0.00190401+0.00524916j -0.00125099-0.00528075j 0.00500389+0.00555689j 0.00194387+0.000789408j -0.00157823+0.000909735j 0.00422851-0.00369347j -0.00274843-5.14211e-05j 0.0122771+0.00595363j 0.000114432+0.00982298j 0.00212185+0.010313j 0.0140341+0.00777769j 
-0.00783453-0.00116799j 0.00973875-0.00735707j -0.00220374-0.0011161j -0.00492959+0.000981642j 0.00743456+0.00146929j -0.00794003+0.00481535j -0.00670866+0.00195751j -0.007237+0.000410431j -0.000765845+0.00437164j -0.00767073+0.00441879j 0.00817409-0.000372363j 0.00416567+0.00296843j -0.00125397+0.00552979j -0.00518306+0.000869454j 0.0044888-0.0023998j -0.00217604+0.0003467j -0.00706411+0.00382395j -0.00576676+0.0011985j 0.000556652-0.00233933j 0.00364315+0.000526782j -0.00120763-0.000635791j 0.000936976+0.00377321j 0.00636303-0.00136476j -0.00476855+0.00476593j 0.000302749-0.00201416j 0.00586985-0.00156395j 0.00661103+0.00117278j -0.00439862-0.000843708j 0.000980985-0.00360224j 0.00253072+8.01395e-05j 0.00815234-0.00231453j 0.003198-0.00437019j 0.00329728-0.00217012j -0.0075691+0.00296398j 0.000677264+0.00178943j -0.00404005+0.00194628j 0.00972481+0.000270857j 0.00405309+0.00149493j 0.00789862-0.00268983j 0.00292157-0.0018252j -0.00404389-0.00111961j -0.0100672+0.00397591j -0.00340396-0.00273528j 0.00615689-0.0046649j 0.00283731-0.00176231j 0.00677953+0.00140329j -0.00386569+0.00454597j -0.00751097-0.000706118j -0.0114237-0.00108678j -0.00430963+0.000972152j 0.00234134+0.00107119j 0.00239489-0.00358571j -0.00497985-0.00100904j 0.000934085-0.00243772j -0.0117538-0.00122927j 0.00119343+0.00569856j 0.00192714+0.00294464j 0.00271097-0.00186993j 0.0090973+0.00218444j -0.00414671+0.000176479j 0.00140311-0.00112185j -0.00782442-0.00131623j 0.00146283-0.000321436j -0.00356168-0.00594156j 0.00490704+0.00312371j -0.00467827-0.00342338j 0.00934176+0.00354109j 0.00589165-0.0063314j -0.0017745-0.00222791j 0.000461799+0.00762271j -0.00319799+0.00171707j -0.00812786+0.000328811j -0.00858954-0.00966905j -0.00531871-0.00613987j -0.000427088-0.00161973j 0.0123391+0.0083811j 0.00271612-0.00673275j 
-0.00424265-0.00102522j 0.00921469-0.00513126j 0.00213823+0.00159983j 0.00547533-0.00331748j 0.00709961-0.00253309j 0.00163498+0.00105815j -0.0036788+0.0015534j 0.00413373+0.000281296j 0.00706225-0.00103929j 0.00352365+0.00121995j 0.000845016-0.000776267j 0.00293292-0.000350815j -0.00278572+0.00104135j -0.000471454+0.00181392j -0.00510448+0.00104669j -0.00252597-0.00125221j 0.0011894+0.00120715j 0.00480232-0.0029064j 0.00829685-0.00422j -0.013006+0.00218182j -0.00124398-0.00172763j -0.00490389+0.00101406j 0.00562493-0.00440392j -0.0109712+0.00363388j 0.00112794-0.000626104j 0.000331267+0.00375559j -0.00402943+0.000564899j 0.00643218-0.00403017j 0.000539709-0.00291741j -0.000831855+0.000718528j -0.00174073-0.000264998j 0.000969319+0.000834849j -0.00793321+0.000934367j 0.00501038+0.000825371j 0.00477808-0.00141817j -0.00710381-0.000362011j 0.00482975-0.00193829j 0.0117352-0.00112568j -0.00614026+0.00195125j 0.0131311-0.00152801j 0.00225307-0.00053432j -0.00206519-0.00155147j 0.00557998-0.000878304j -0.00925976-0.00106255j -0.00961735-0.000332443j -0.00695157+0.000933546j 0.0163947+0.00131662j -0.00420392-0.000523768j 0.00111171-0.00474844j 0.000818013+0.000159722j 0.0130744+0.00194927j 0.00130324-0.00113695j 0.00673664-0.00118762j -0.00737817-0.00490251j 0.00754991-0.00145942j -0.000321365+0.00319178j 0.00271077+0.000349607j -0.00271618-0.000265373j -0.00067427+0.000211549j -0.00436773-0.00401116j 0.000222419-0.00161616j -0.00578603-0.00249986j -0.000907751+0.000997904j 0.00944708+0.00324426j -0.00781573-0.00577227j -0.00182127-0.00360311j -0.00194421-0.00260625j 0.00168793+0.000245794j 0.000411958+0.00581819j -8.30389e-05-0.000166002j 0.00786856+0.00535715j 0.000962681+0.000413088j 0.000128352+0.000106255j 0.00445698+0.00471236j -0.00893681-0.000784812j 0.00807241+0.00500196j 0.00233611-0.00193649j 
-0.00143066-0.000506387j 0.00346054-0.00172797j -0.00107726-0.000356671j -0.00296198+0.00113903j -0.00514883+0.00297744j -0.00181675-0.00249969j 0.010758-0.00223313j -0.0085635+0.00451355j -0.00292163+0.00200632j 0.0077296-0.00340811j 0.000239153-0.00250548j 0.00661956-0.00203702j -0.00215994+0.00203293j -0.0115309+0.00280407j 0.00200494-0.00122436j -0.010044+0.00108521j 0.00287405-0.0026801j 0.00744858-0.0010917j -0.00519264-0.000630718j -0.00421768-0.00125179j 0.012965-0.00376184j 0.000844501+0.00335147j 0.00319447-0.00217024j -0.00255518+0.000511931j -0.00213454+0.00183729j 0.0051848-0.00178035j -0.00136215-0.00191574j 0.00372539-0.000930559j -0.00465557+0.00165168j -0.000648983+0.00181035j 0.00513895-0.00244575j 0.00321828-0.000587404j 0.00851903-0.00206918j 0.00527874-0.00238535j -0.00172129+0.00102072j -0.00369501-0.000335401j -0.011412+0.00207071j 0.0131353+0.000406323j -0.0116732+0.000601319j -0.0121813+0.00107836j -0.00208033+0.00180575j -0.0078866+0.000374798j 0.0041138+0.0029839j 0.00128441+0.000471303j -0.00248942+0.00136452j 0.00749858+0.000640872j -0.00304747+0.000201436j 0.00506991+0.000253426j 0.00148618-0.00117262j -0.00408044-0.00214659j -0.00346681-0.00330289j 0.00921417+0.00352995j 0.00172522+0.00122165j -0.00690759-0.00171054j -0.000145396-0.000492221j 0.00170342+0.00465678j 0.0042083+0.00224855j -0.0108869-0.00306677j 0.000922544-0.00303954j -0.00157223-0.000276215j -0.0046658+0.00157802j 0.00379146+0.00302672j -0.00139615-0.000832327j 0.0095658+0.00469908j 0.00696114+0.003937j -0.00843677-0.0019632j -0.00687954-0.0032926j -0.00247755+0.000423762j -0.00174314+0.000572569j 0.00490262+0.0049441j -0.0120705-0.00368172j 0.00373593-0.00271683j 0.00643739+0.00317878j -0.00196595-0.001555j 0.000536973+4.21334e-05j 0.0025137+0.00182112j 0.000847671-0.000408931j 
0.00539462-0.000863253j -0.00511367+0.0037673j -0.00101422-0.00166965j -0.00606628+0.00339955j -0.00568024+0.00141392j -0.0010205-0.00137077j 0.00840516-0.00396161j -0.00126213+0.00198541j 0.00573129-0.00260149j -0.00659111+0.00402984j 0.0077074-0.00115897j 0.00419371-0.000575613j -0.00397112+0.00212714j 0.000144869+0.000389799j -0.000954166-6.70123e-05j 0.0125515-0.00275444j -0.00342826-0.00127366j 0.000998285-3.2076e-05j -0.00261997+0.000915087j -0.00992891+0.00505636j -0.00983948+0.00214956j -0.00096104-0.000526238j -0.00081184+0.00130106j -0.00416843-0.00219668j -0.0049037+0.00267304j 0.00883-0.00213238j 0.00720137-0.00458094j 0.00262023-0.000368826j -0.00286311+0.00186276j -0.0131845+0.000873674j -0.011963+0.00154103j -0.00353089-0.0018384j 0.0058941+0.00255424j -0.00346261+0.000267684j -0.00375303+0.00179621j -0.00766936+0.000309221j 0.0108543+0.000842156j 0.00779764+0.000277741j -0.00400027-0.000679059j -0.00693004-0.000441821j 0.0116837+0.000513315j 0.0013111+0.000722072j 0.000930717-0.000313902j 0.00790224+0.00331578j 0.00498534+0.00231841j 0.00347285+0.0028528j 0.00875075+0.00255895j -0.000955298+0.00213607j 0.00601121+0.00395267j -0.00249475+0.000111099j 0.00381773-6.14423e-05j 0.000149559+0.00173866j -0.000485567+0.000884847j 0.00317768+0.00155791j -0.00049622+0.00168884j -0.00387488-0.000420574j 0.0097088+0.00289071j 0.00367343+0.00369441j 0.00499948+0.00193108j -0.00750194-0.00142402j 0.0079815+0.0046852j -0.0128342-0.00403182j -0.00217123+0.00133817j 0.00434449-0.000290054j -0.00367396-0.000954698j 0.00225775+0.000844127j 0.00568874+0.00060253j -0.00439137-0.00315464j 0.00644509+0.00110165j 0.00812365+0.0014081j -0.00362138-0.00156139j 0.00243394+0.000213311j 0.000995815+0.00220565j -0.00461579-0.00291364j 0.00622133+0.000194815j -0.00546885-0.0024278j 0.00072046+0.00237239j 
0.00781319-0.00297759j -0.00227182+0.00330341j 0.00453993-0.00383294j -0.00815437+0.00240924j 0.00157408-0.00205206j 0.00133568+0.00128764j -0.00609223+0.00068849j -0.00112399-8.64226e-07j 0.00172624-0.00061826j -0.00951071+0.00223093j -0.00275579+0.00116869j 0.00140479-0.00153523j 0.0128461-0.0031886j 0.0038213-0.00448623j -0.000208032+0.0011174j -0.00858915+0.00497998j 0.00583572-0.00221216j 0.0062286-0.0024027j -0.00836619+0.00491705j 0.00362091-0.000650895j -0.00608294+0.00102493j -0.00208192-0.000910064j -0.00487098+0.00126361j -0.00565161+0.000882335j -0.0066745+0.00349295j 0.00677527-0.000265315j -0.00796424-0.00133194j 0.0116102-0.000402881j 0.00106395-0.000543485j -0.00356451-0.000290373j 0.0102716-0.00204144j -0.00854327-0.000570536j -0.000237754+0.00221538j -0.00457879+0.000383158j -0.0103738-0.00315729j -0.00145086+0.00114046j 0.00168503+0.00019774j 0.0129573+0.00288925j -0.00100388-0.000993652j 0.0115693+0.000524536j -0.0133923-0.00297549j -0.00271881+0.0012208j -0.00275444-0.00132854j 0.00239401-0.0014789j 0.00396817+0.00366396j -0.00487415+0.000162301j -0.000299009-0.000537929j 0.00726497+0.00214409j 0.00728679+0.0027367j -0.00349179-0.00154807j -0.000445776+0.000852903j 0.0098478+0.000252311j -0.00331092-0.00148991j -0.00775223-0.0016265j 0.000702882+0.00130887j 0.00890743+0.000227764j -0.00859489-0.00294602j -0.0046213-0.00231493j -0.00213038-0.00189776j 0.000258093-0.00132236j 0.00268449+0.000711204j -0.00294071-0.00202753j 0.00296043+0.0030921j -0.00424756-0.0023017j -0.00381745-0.000306747j 0.00324731+0.00325261j -0.00276481+0.00176641j 0.0058088+0.0032168j -0.0031095-0.00159669j 0.00302932-0.0010953j 0.00520051-4.97378e-05j 0.00319761+0.00307956j -0.00692259-0.0012427j -0.00317236-0.00215924j 0.00741176+0.00194653j -0.0048171-0.000895541j 0.00324579+0.00324736j 
0.0031618-0.00246093j 0.00259487-0.000478877j -0.002098-0.00115446j -0.00910474+0.00457347j 0.00794394-0.00441167j 0.00510989-3.84102e-05j 0.0048353-0.00201422j -0.0022759+0.00295164j 0.00393593-0.00386238j -0.00279269-0.00189502j -0.00955676+0.00424035j 0.0013285+0.000996956j -0.00868511+0.00510632j 0.00995642-0.00502588j -0.003134-0.000454875j -0.0054192+0.000644979j 0.00123782+0.000425923j -0.000494673+0.000793534j -0.00658998+0.00233066j 0.00664466+0.000598783j -0.00134194-0.000253196j -0.000599975+0.000610632j 0.0141722-0.00121161j 0.00590048-0.00208276j 0.0103797+0.00078235j 0.00213328-0.0003744j 0.00658321+0.000635932j 0.0103909+0.000774407j 0.00406421-0.000259284j 0.00301539+0.000653097j -0.0127354-0.00288606j 0.010222+0.00120584j 0.00811506+0.000974495j 0.01162+0.00200351j 0.00394138-0.00131075j -0.00606135-0.000917266j 0.00398478-0.000143895j -0.00116086-0.000215877j 0.00824384+0.00187576j -0.00304192-0.000127146j -0.00951815-0.000714831j 0.00442412+0.000190667j 0.00263671+0.00161938j -0.0102354-0.00352631j 0.00290905+0.00375166j 0.0046408+0.00266657j 0.0067509+0.000904921j -0.00174189-0.00147492j 0.000360997+0.00109073j 0.000583412+0.00159696j -0.0102644-0.0011608j 0.00407006+0.00289394j 0.00133554-0.00143857j 0.0029264+0.000201488j 0.000726275+0.00325454j -0.00413966+0.00180253j -0.00218956-0.00116164j 0.00998041+0.000297725j 0.00472606+0.00165396j 0.00729972+0.00247622j -0.00438658-0.00116492j 0.000520609-0.00168223j -0.00199467+0.000627781j 0.00361367+0.000352523j -0.00145144+0.000496674j 0.000279496+0.00206119j -0.00652085+0.00049524j 0.00964788+0.00280565j 0.00368976+0.0018172j 0.00597018+0.000848562j 0.00351697+0.000112187j 0.00663435+0.00233254j -0.00126334+0.0007726j -0.00540132-0.00237127j 0.00318424+9.58873e-06j -6.24343e-05+0.00105375j 0.00275855+0.000947565j 
-0.00253363-0.00785338j 0.00475395+0.00675445j 0.00127565+0.000783141j -0.0033023-0.0118486j -0.00504953-0.00286323j -0.00513845-0.00700457j 0.00070156-0.00829271j 0.00449107+0.00112951j -0.000989159-0.00312456j -0.00170985+0.000803207j -0.00182293+0.00382205j -0.00636361+0.00219259j -0.00217633-0.00179957j -0.00156132+0.00317381j -0.00269237+0.00194162j -0.000395742+0.00506731j 0.00113112+0.00302956j -0.0010873+0.00309282j 0.00310084+0.00379023j 0.00247258-0.00229512j 0.000751689-0.00232785j 0.0015745+0.0013358j 0.000465739+0.000971012j -0.0011112-0.00108905j 0.002288-0.000524189j 0.00073975-0.00276437j 0.000949124+0.000572634j -0.0024301+0.000610635j -0.00104928+0.0043022j -0.00512908-0.00677338j 0.00218045-0.000137668j 0.0120694+0.00851873j -0.00149078+0.00345802j 0.0027333+0.00072793j 0.00297364+0.00099043j 0.00332635+0.0064162j 0.00108035-0.00186956j 0.00644822-0.00656051j 0.00419201-0.00285521j 0.00148708-0.000789964j -0.00189065+0.00023029j -0.00347254+0.000112123j 0.00820588+0.00406395j -0.000637571+0.00346403j -0.00280984+0.0024241j 0.00114004-0.00304893j -0.000667499-0.00299521j 0.00430055+0.00842879j -0.0129787-0.00252014j -0.00483805-0.00526047j 0.00540232+0.00492662j -0.000497974+0.00245035j 0.00334395+4.29237e-05j 0.00415959-0.00235374j 0.00284358+0.00502056j 0.000550402+0.00205597j 0.000154817-0.00103975j 0.000442899+0.00257295j 0.00424639-0.00329723j -0.00645188-0.00119383j 0.00530814+0.000305612j 0.00186218-0.000196657j 0.00231887-0.00746193j -0.0122862-0.00180785j 0.000446178-0.000935881j -0.00373427+0.0077484j -0.00611563+0.00422877j 0.0137206+0.0023255j 0.0021115+0.00108447j 0.00192142+0.0018253j -0.00600582-0.00304766j 0.00378349-0.00228493j 0.00175982+0.00498554j 0.00200682+0.00557192j -0.0141191+0.00706919j -0.0183024+0.00608025j -0.00346494+0.0112378j 
-0.00670778-0.00847578j -0.00367819-0.00695357j -0.000698634-0.00695803j -0.00537201-0.00210371j 0.00030052+0.00541364j -0.00116438+0.00640239j -0.00161987-0.00210114j 0.00121781-0.00266474j 0.00216889+0.0061901j 0.000333001+0.00593996j 0.00473348-0.00200869j 0.00307486+0.00586034j 0.00372388+0.0100107j 0.00134066-0.00377114j 1.24733e-05-0.00465287j 0.00505278+0.0015975j 0.00333925+0.000869087j 0.000865852+0.00251599j -0.000160215-0.000806459j 0.00267602+9.29945e-06j -0.00288368-0.00513906j 0.00895585+0.00524339j -0.00263146+0.00155119j 0.00520478+0.00202607j -0.00319515-0.0030396j -0.000888745-0.000462717j -0.00316466+0.00487811j -0.00517041+8.00662e-05j -0.00421776+5.42491e-05j -0.00290439-0.000193972j -0.00299019+0.00186893j -0.00041613-0.000477037j 0.000121432+0.00189296j 0.00243006-0.00356426j -4.7922e-05+0.00194079j 0.00488728+0.00372121j -0.00366182+0.00215167j -0.000740478+0.00156352j -0.00375085-0.00550812j -0.00154797-0.00357505j 0.0008675-0.00208441j 0.00406178+0.00754622j 0.00580604-0.00432837j -0.00129338-0.00231921j -0.0110477+0.000146171j -0.00401983+0.00264571j 0.000446865+0.00224686j 0.00195237+0.000384478j 0.00956907+0.00206584j -0.000690686-0.00228979j -0.00451467-0.00214572j -0.00161342-0.0119567j 0.00614034-0.00215252j 0.00778053-0.000227954j 0.00881787+0.0060781j -0.00447904+0.00640771j -0.00303836+0.00473081j 0.000290059-0.00292523j 0.00339782-0.00390014j 0.00185125+0.00192723j 0.0017069+0.00267087j 0.00630791-0.00172076j 0.00716258+0.0037216j 0.00125982-0.00932298j -0.00371628+0.00155628j 0.00559439-0.00241628j 0.00524095+0.00281253j 0.00538761-0.00763925j 0.00930359+0.00847833j -0.00656773+0.00738057j -0.00790734-0.0024397j -0.00816047-0.000647183j 0.00474076-0.011388j 0.00659268-0.00286577j 0.0061403+0.00192873j -0.00593928+0.012726j 0.0165497-0.00627639j 
0.00435105+0.00729557j 0.00140748+0.00618326j -0.00494686-0.00465871j 0.0021803+0.00686907j 0.00117225+0.00677628j -0.00235875-0.00640051j -0.00102615+0.00327042j -0.00486049-0.00746236j -0.00275857+0.00626365j -0.00287661-0.00772504j 0.000365474+0.00659829j -0.000824953+0.000634075j -0.000886832+0.0027074j -0.00157542-0.00663624j 0.00297759-0.00185266j 0.000786635-0.000544304j -0.00252548-5.16204e-05j 0.00123185-0.000806722j 0.00235211+0.00342391j 0.00146536+0.00268861j 0.00233118+0.0062419j -0.000926923+0.00186768j 0.00492881+0.00530738j -0.000591865+0.00176076j 0.000537741-0.00172799j -0.00414325-0.00791649j 0.00122033+0.00663863j 0.00546554+0.00363816j 0.00496492+0.0100773j 0.00252645-0.00121834j 0.000165987+0.00579862j 4.8347e-05+0.0037377j -0.00284752-0.00374938j 0.000207805-0.0017271j 0.00145904+0.00313868j -0.00287356-0.000887811j -5.17004e-05+0.00385208j 0.00401448-0.00338465j -0.00372317-0.0123559j 0.00395183+0.00508501j 0.00312224+0.00570484j 0.00375972+0.0111061j 0.00255246-0.00525633j -0.00378151-4.07453e-05j -0.00256599+0.00651582j -0.000351147-0.00450949j 0.00274118-0.000858868j -0.00289072+0.00363934j -0.00536827+0.00829992j -0.00284609-0.0147441j 0.00138839-0.000529232j -0.00505936-0.00568337j 0.00152667+0.0109908j -0.000226181-0.00706925j -0.00333189+0.0156566j 0.0040459-0.00754218j 0.00245453+0.00102216j -0.00056567+0.00245642j -0.00270509-1.78152e-05j -0.000403593+0.00861116j -0.00447552-0.0038093j -0.00351129+0.00270802j 0.00320748-0.00511551j 0.00313331-0.00217745j -0.00163476+0.00808997j -0.00505132+0.00182692j -0.00811663+0.00639282j 0.000906145-0.00132726j 0.0108533-0.00820839j -0.0102368-0.0018182j 0.00590672-0.00522897j 0.00102945-0.00599005j 0.00416626-0.0042643j 0.00870262-0.0146037j 0.00641377+0.00079258j 0.0027926-0.00566027j -0.00625745+0.00517779j 
0.00191572-0.00076243j 0.00332792+0.00686363j -0.00468675-0.0069183j 0.00203531+0.00545587j -0.000596128+0.00587855j -0.00477829-0.0097502j 0.00064774-0.0014654j 0.00194527+0.00411621j 0.000315159+0.00556797j -0.00104272-0.000947189j -0.00214072-0.00179305j -0.00308121-0.00350943j 0.00194291-0.00144587j -0.00197886-0.00220778j -0.00263412-0.00240576j 0.000458356-0.00123292j -4.87391e-05+0.00606597j 0.00245883+0.000906326j 0.0035025+0.0049408j -0.00113146-0.00782526j -0.000199192+0.000511403j 0.00126083-0.00236254j 0.00429032-0.000792441j -0.00260055-0.0094013j 0.00166097+0.00677209j -0.00324829-0.0020071j -0.000619801-0.00708515j -0.00315065-0.00337396j 0.00327992+0.00301376j 0.0032566+0.00267789j 0.00270887-0.00049853j -0.000816639-0.011003j 0.000534717+0.0110773j -0.00183715-0.00980264j 0.00271108-0.00462925j -0.0017882+0.00933665j 0.00185386+0.00486989j -0.00410713+0.0103153j 0.00271173+0.0153862j 0.00263536-0.00436696j 0.000517831+0.000441444j -0.000137416+0.0199956j 0.00198735+0.0124801j -0.00115481-0.00110855j -0.00621557+0.00281894j 0.000618703+0.00900821j -1.93056e-05-0.00888339j -0.00610797+0.00323708j 0.000138767+0.00577463j -0.00021919+0.022541j 0.00572109-0.00757393j -0.00284816-0.00500956j 9.55066e-05-0.00109051j -0.00193638+0.00962976j 0.00111575-0.00275191j -0.0035008+0.0216647j -0.00284281+0.0106339j 0.00394928-0.0106099j -0.00454474-0.000190732j 0.00227453-0.00124656j -0.00208179-0.000262043j -0.00169079-0.00263411j -0.00356295+0.00830533j -0.00384363-0.0015265j 0.0058608-0.00549092j 0.00087093+0.00111182j 0.00233239-0.00603853j -0.00286842+0.00143669j -0.00357905+0.00214594j -0.00403555+0.0062223j -0.0014373+0.00162308j 0.00466567-0.00363862j -0.00364769+0.009553j 0.00360425-0.0119381j 0.00630574-0.00473301j -0.00284619+0.00012087j -0.0030827+0.00515925j 
