-0.0264991+0.0219277j -0.0668658-0.146382j -0.00973222-0.0422311j 0.0994602+0.0406707j 0.0515181-0.00149739j 0.0407963-0.192905j -0.0344228-0.0515391j 0.0210173+0.0551939j -0.0671491+0.0352642j -0.0435349-0.0500667j 0.124944+0.129979j -0.00508736+0.00187695j 0.00400839-0.0411135j 0.0592082-0.0668372j -0.091537-0.105394j 0.0162667-0.0197977j 0.117496+0.104254j 0.0426404-0.0752142j 0.104752-0.101955j -0.0107622-0.310725j 0.0111795-0.0810532j 0.297321+0.157832j 
0.159215+0.104564j -0.070665-0.0867506j -0.0377031-0.024236j 0.0693445-0.0304447j -0.101469-0.136449j -0.0459384+0.000517931j 0.0110193+0.0423063j -0.0258618-0.0177139j 0.0454375+0.063073j 0.0238068-0.00230296j 0.00791709-0.0670647j -0.00776014+0.00885324j -0.0258469-0.0030677j -0.0180016-0.151411j -0.043346+0.0502351j 0.0233006-0.0996582j 0.0786502+0.0406904j -0.139612-0.0908066j -0.112747-0.160911j -0.228203-0.147847j 0.152369+0.331106j -0.137664-0.144489j 
-0.169275+0.0358939j -0.134659+0.0395065j 0.0280784-0.0237718j 0.052425+0.137265j 0.163139+0.0536482j -0.0142951+0.0259789j -0.0568519-0.03238j 0.0811847+0.0575661j -0.0845253+0.0229512j -0.0747955+0.0275928j 0.0740014+0.0920069j 0.0138629+0.0412779j 0.00485172-0.0402281j 0.0871965+0.118027j -0.0030184-0.13896j 0.056085+0.0784931j -0.0685865+0.139501j 0.0854975+0.110287j -0.0348657-0.0228675j -0.0411529-0.000333616j -0.167538+0.128729j -0.0824911+0.0541677j 
-0.0652669+0.0484428j -0.0324881-0.195894j 0.0960465+0.174708j -0.213176+0.0643049j -0.0343443+0.185133j 0.00295389-0.0510865j -0.00059071-0.0546524j -0.0539339+0.00562725j -0.0381762-0.0882943j 0.021373+0.0228377j -0.0518077-0.0344635j -0.0478879-0.0955208j -0.0677425-0.0507155j -0.0478008+0.0478365j 0.00267677-0.0472746j 0.0973547+0.022663j 0.00713895-0.0658017j -0.0232347+0.118058j -0.0319775+0.0072105j -0.0478403-0.0376127j 0.01899+0.113059j -0.189074-0.053049j 
-0.209562-0.153035j 0.0721142-0.0274573j -0.0729968+0.0271749j -0.370609-0.295655j -0.18823-0.0691204j 0.090025-0.051433j 0.0612949-0.0189505j -0.0841486-0.09616j 0.0200963+0.000755736j -0.0962372-0.0516646j 0.00503491-0.0517516j -0.0157013-0.050235j 0.045528-0.106136j -0.0550542-0.0597344j 0.00735264-0.0372346j -0.0639219+0.048073j 0.0418485+0.0927243j -0.0479553-0.118078j -0.11968-0.136486j 0.111043+0.0269993j 0.0096087-0.0214769j 0.0849465+0.0175132j 
0.228136+0.095217j 0.187112-0.330789j -0.234587+0.370559j 0.453027+0.0949089j -0.0764631+0.359748j -0.00733622-0.0520555j -0.0142719-0.0351477j 0.0867954-0.0766637j -0.0176734-0.079977j 0.0714952-0.00847087j 0.0817586-0.0590511j 0.0112202-0.123328j -0.0197696-0.0389786j 0.00364078+0.0180267j -0.0331124+0.0439939j -0.058526+0.0327834j 0.0621853+0.00647803j -0.00814843+0.0764802j 0.0459926-0.0118018j -0.0835802-0.0278109j 0.0609634-0.101063j 0.117672-0.00678969j 
-0.0188708+0.105758j -0.106348-0.119545j 0.223196+0.0729004j -0.165957+0.248371j 0.0978045+0.158398j 0.0111825-0.0623132j 0.0120985-0.0304589j -0.0993543+0.0556878j 0.0144321-0.00452149j 0.0979421+0.01203j -0.0993528-0.0661263j -0.0913505-0.11539j -0.0369897-0.0857322j -0.0182976-0.015757j 0.0132395-0.0372486j -0.0276787+0.0440507j -0.00320719-0.018806j -0.00836828+0.0306605j -0.0571897-0.0429619j 0.0103026-0.0226576j 0.0283334-0.0372782j -0.0268931-0.0204824j 
-0.0558881-0.0373208j 0.126581-0.126226j -0.128459+0.174981j 0.0269026-0.0415774j -0.0514136+0.150796j 0.00270175+0.105213j 0.0111165+0.0470267j 0.0523687-0.0499874j -0.0294748-0.0189732j -0.0402386-0.06141j 0.124032+0.0502806j -0.00407963-0.0985832j 0.0368131+0.0461976j 0.0106616+0.0590029j -0.0106454+0.0197531j -0.029504-0.0576133j -0.044687+0.0378536j -0.0396218-0.043485j 0.0533354+0.00894618j 0.043246+0.0722462j -0.0847663-0.0598243j 0.01278+0.0473417j 
-0.00935619-0.1231j 0.149354-0.00514271j -0.100201-0.0252125j 0.152385-0.00742398j 0.0275217+0.0314686j -0.204916+0.0699279j -0.134095-0.0130354j 0.248709+0.00688049j -0.119655-0.0939724j 0.004501-0.0845372j -0.146143+0.0572255j -0.0680155-0.0261236j 0.0328343-0.0464648j -0.0842887-0.0680097j 0.104005-0.0501941j 0.00676207+0.00865957j -0.135527-0.0220376j -0.00798614-0.00173095j 0.000212392-0.00263501j 0.0878471+0.119806j -0.123287+0.0830055j -0.301298-0.00518176j 
-0.0204223+0.0351815j -0.0436035-0.0367238j 0.0692009+0.0945106j -0.0813163+0.155889j 0.037363+0.146188j -0.0274766+0.175515j 0.0164415+0.0685044j 0.058046-0.0237634j -0.00252863+0.0826139j -0.053903-0.0390092j -0.0432291-0.00860483j -0.0524667+0.0276483j 0.0662351+0.00239489j -0.00286306-0.125556j 0.0825392+0.0335826j -0.103089-0.0861274j -0.0555126+0.00687984j -0.000691995-0.238897j -0.0177899-0.027693j 0.117942+0.119226j -0.0518627-0.0820197j 0.00499228+0.0130435j 
-0.00397442+0.0326475j 0.0257068+0.000126j 0.13273-0.147875j -0.067795-0.0278664j 0.0116295-0.152839j 0.144743-0.235822j -0.0180266-0.10225j 0.0560242-0.040619j -0.2053-0.403335j -0.00817318-0.0952868j 0.0936187+0.1181j -0.0187372-0.162542j -0.181703+0.18366j -0.0879777-0.0303995j -0.0154669+0.145744j -0.0422793-0.0944793j 0.0457316-0.168502j -0.038162-0.0114964j 0.174925+0.100404j 0.0101334+0.00149002j 0.060528-0.214969j 0.167342+0.0391081j 
