-0.101283-0.0806979j -0.0557986+0.113104j 0.512667+0.264722j 0.323529-0.496899j -0.0295747-0.13352j -0.0913518-0.154374j -0.0435051+0.0258213j -0.0186466-0.0571595j -0.0527707-0.078209j 0.000861538+0.0591579j 0.110579-0.0229045j 0.0583819-0.0184645j -0.0435208+0.0239989j -0.0496513-0.00699108j 0.0259073+0.00896644j 0.0122619+0.0168428j 0.0502693-0.0751621j 0.0222883+0.0361391j 0.022837+0.00363056j 0.0067981+0.050316j 0.0912233+0.0225333j 0.039511-0.0284j -0.0211103-0.0463679j -0.0280924+0.0358724j -0.0174916+0.00542655j -0.0406452+0.000255617j 0.02093+0.0443663j 0.00783359-0.0182296j -0.0943543+0.0753845j -0.13352+0.0422121j 0.0138394+0.00944246j -0.0903885-0.0702521j -0.0200222-0.0408309j -0.112179+0.0234527j 0.066284+0.0792459j 0.0761766+0.0333037j 
0.080594-0.149603j -0.136061+0.022544j 0.269732+0.172541j 0.153511-0.248283j -0.21954+0.0697465j -0.0454744+0.0212542j 0.065154+0.276369j 0.068508-0.0645988j 0.00854509-0.0109344j -0.0622856-0.0311178j -0.0427594-0.0108023j -0.0981573+0.0485455j 0.100811+0.0491374j 0.110184-0.0627994j -0.0476688+0.044981j -0.00750606-0.00187709j -0.0869758+0.0817968j 0.0618835-0.0161613j -0.0645694-0.0495814j -0.0161362+0.0128473j -0.0560537+0.0359925j -0.0759646-0.0014636j -0.000411022+0.0483961j -0.0018866+0.0157629j -0.0249374+0.00295343j 0.164201-0.0407855j -0.0208043-0.0322882j -0.0821017+0.0026503j 0.19852-0.111816j 0.225318-0.0749649j -0.0200552+0.0216954j 0.0933252+0.0602619j -0.0328678-0.00570828j 0.104689-0.0942621j -0.0646749-0.0547509j -0.183683-0.0222476j 
-0.0166291-0.0097197j 0.135045-0.0305887j 0.00265572-0.0471854j 0.0105971-0.0207361j -0.164543-0.163611j -0.139451-0.000598486j -0.206362+0.216634j 0.116236+0.17247j -0.0440519+0.106101j 0.0780439+0.00585963j 0.0360596-0.0408988j 0.141465+0.0567086j -0.0126308+0.181883j -0.136335-0.134887j 0.0233418+0.00860362j 0.0649178-0.0059799j 0.0416607+0.0606169j -0.0564835-0.030306j 0.119213-0.0655688j 0.125531+0.0714345j -0.0264256-0.0595762j -0.0191259-0.017731j 0.0344159+0.121162j 0.00429994-0.0263768j 0.00298822-0.0991841j -0.0362445-0.00837419j -0.0115424+0.125428j 0.009862+0.079772j 0.0168595-0.131991j 0.0199236-0.118663j -0.0863302-0.128143j -0.166192-0.0962088j 0.0838535-0.0183547j 0.109194+0.0532847j 0.0249839-0.156147j 0.203358+0.2308j 
0.0694839-0.0320682j 0.0584114-0.124059j 0.0259442+0.0836631j 0.0700208-0.0493227j -0.187153+0.116857j 0.130564+0.174763j 0.257981+0.143307j 0.119572-0.194308j 0.165061-0.0622954j -0.0138189-0.0112227j 0.0670907+0.125873j -0.0283713+0.0183235j 0.0126887-0.0974441j -0.0332849-0.039566j 0.0763266-0.0179585j -0.0255263+6.88708e-05j 0.108995+0.054034j -0.0888986-0.0429157j 0.0568026-0.00606752j 0.023985-0.0567048j 0.0221232+0.0582894j 0.0291899+0.0318813j 0.0467857+0.045472j -0.00299596-0.0256378j -0.0024691+0.0236848j -0.136327+0.0240149j -0.109314+0.0324815j -0.00704802+0.00745963j -0.169054-0.0100575j -0.104576-0.00790223j -0.0702286-0.123341j -0.0413045-0.0533865j 0.161093+0.0702405j 0.0417344+0.0318965j -0.0323037-0.0814763j 0.188087+0.0800462j 
0.0144226-0.127972j -0.0775176-0.0299671j -0.00594641-0.0311463j -0.0399656+0.057392j 0.0909162+0.10949j 0.176241-0.135524j 0.0652335-0.15088j -0.199162-0.0570352j -0.0736307-0.20036j -0.0896799+0.119913j 0.185388-0.010477j 0.0561981+0.172054j -0.153883+0.00695137j -0.0490401-0.173641j -0.0135098-0.0420153j 0.0361216+0.0362804j 0.040806-0.00738529j -0.103106-0.00816994j 0.0784418-0.114549j -0.0204361+0.0793389j 0.0141265-0.0850913j -0.0518194-0.121045j 0.0315273+0.0911839j -0.0195839-0.0553135j 0.0198383+0.0114741j 0.0612656-0.0123074j -0.0647101+0.0790681j -0.0166137+0.0454929j 0.0798805-0.173157j 0.0611654-0.160158j -0.0633696-0.0690146j -0.0464653-0.0834531j 0.0766235-0.0194134j 0.0435812-0.075671j 0.0349177-0.0524387j 0.0350988+0.227447j 
-0.0634153+0.0846443j 0.109628-0.00327037j -0.00549476+0.0534821j 0.0250974-0.0956537j -0.0541272-0.0505873j 0.00795394-0.0438355j -0.0239266-0.0352803j -0.0483374+0.0258939j -0.130944+0.00354545j -0.0893125+0.101735j 0.101369-0.161047j 0.131103-0.0260127j 0.0975418-0.101087j 0.288419+0.149458j 0.0777945-0.00193626j -0.119085-0.192664j -0.00853523-0.130659j -0.147758+0.0590511j -0.0549495+0.0736252j 0.0720932-0.0724754j -0.129044+0.127627j -0.0551162-0.015628j 0.0818856-0.0516923j -0.0513356+0.0215374j 0.0229121+0.0383012j -0.1849+0.0684384j -0.232877+0.0265168j -0.0593939-0.0303573j -0.00470628-0.0215694j 0.0566468+0.0144724j 0.0844414+0.0252691j 0.112698+0.116703j 0.0532938+0.00195681j 0.0570075+0.0341713j -0.0543497+0.0943664j -0.0561674-0.0626471j 
-0.0409004+0.156823j 0.0465946-0.0565608j -0.0106426+0.013276j -0.0287113+0.04503j 0.0162104+0.0109544j -0.0629166-0.0346092j 0.000675734+0.025266j 0.0436334-0.0811158j 0.126772-0.0923886j -0.0791948-0.0413284j -0.0168901-0.0198339j -0.229677-0.37618j 0.0460556-0.0421832j -0.183589-0.284968j 0.00960883+0.0494036j 0.206396-0.253951j 0.114306-0.0701464j 0.103004-0.0207074j -0.0383189-0.0676998j -0.0558303-0.0032967j -0.0502686+0.0377909j -0.022084-0.180447j -0.153706-0.206961j -0.0985618-0.18089j -0.0548543-0.0317192j -0.0177874+0.00268651j -0.0141995+0.178547j 0.0248584-0.0156441j 0.059945-0.0250811j -0.0619626-0.0898796j 0.0757092+0.0966176j -0.109616-0.0748395j -0.074604-0.21554j -0.143169-0.046215j 0.086432+0.182159j -0.0365997+0.0598287j 
-0.0184417+0.00847694j -0.0223124+0.0239177j 0.0272897-0.0148926j 0.0558352-0.0419739j 0.0912522-0.0274943j -0.046242+0.016709j 0.0620593-0.0602211j 0.0969225-0.0207741j 0.0328018+0.170768j 0.114893-0.0599136j -0.256544+0.178483j 0.0883303-0.0462443j -0.136051-0.102882j -0.202899+0.356075j 0.0267241-0.0647129j -0.0454377+0.304257j 0.170993-0.206632j 0.104267+0.0060552j 0.153505+0.0718128j -0.123094+0.0305609j 0.161641-0.0256271j 0.0264265-0.0944803j -0.00677045-0.0190295j 0.0106556+0.0708041j 0.0361624+0.00709598j 0.068613-0.00188168j -0.00545417-0.0474146j 0.0167333+0.00819861j -0.085278+0.00832529j -0.098662-0.0258183j -0.00786627+0.013497j 0.01372-0.0760014j 0.0508838+0.0572299j -0.0970766-0.0362136j 0.0774986+0.058941j 0.0150496+0.066576j 
-0.0567423+0.0110621j 0.0355829+0.0271162j -0.0271005-0.00820578j -0.0051197+0.0209106j 0.0374314-0.0298016j -0.0215017-0.0893261j -0.00638235+0.0147661j -0.00649528-0.00251703j -0.0749168-0.0135166j -0.168044+0.15533j 0.0380979-0.0355305j 0.0643743-0.163908j 0.0343678-0.17835j 0.134507+0.0490364j 0.145591-0.0805947j -0.0493379-0.17278j 0.154473-0.250633j -0.139313+0.0150478j 0.0914618-0.00698218j 0.120263-0.049818j -0.0109974+0.0870032j -0.021575-0.0212772j 0.0427088-0.106637j 0.00331334+0.0206017j 0.0340767+0.0376837j -0.144496-0.0595244j -0.0976762-0.0160875j -0.0558005-0.0166082j -0.047211-0.0324504j -0.00552464+0.0280599j 0.0799934-0.0141682j 0.00786326-0.0117429j 0.0555713+0.0860026j 0.0344783+0.0734207j 0.0220926-0.0256534j 0.063559+0.0693792j 
-0.0717491+0.0831463j 0.0776927-0.0169569j -0.0531582+0.0196306j 0.0406674-0.00143486j 0.0036555-0.0585995j -0.0608592+0.118323j 0.127564+0.0669384j 0.134677-0.0311924j 0.0295472+0.0667693j -0.280973+0.111427j 0.00202453+0.130509j 0.244251+0.127098j -0.0457162-0.0794001j -0.0774604-0.11207j 0.103096-0.113431j -0.0733248-0.0418496j 0.0779863-0.236004j -0.221676-0.0182703j 0.357842-0.00265044j 0.198308-0.01641j 0.108539+0.0216049j -0.0777846-0.00657402j 0.0319846+0.00638273j 0.0918778+0.0825479j -0.0198579-0.0582749j 0.167416+0.0575104j 0.104878+0.0675029j 0.0230306+0.022616j 0.11694+0.0512072j 0.072473+0.0156245j 0.046592+0.0256035j -0.0160801+0.0346273j -0.135156-0.0874032j 0.00516597+0.0518567j 0.0862953+0.0704054j -0.0873623-0.0335755j 
-0.0299906+0.00141313j 0.0187677+0.00789846j 0.0266057-0.0104966j 0.0373757-0.034836j -0.00265476-0.0291662j 0.00376672-0.0442856j 0.0212854-0.0392584j 0.0459866+2.62456e-05j 0.00564685+0.0580177j 0.147979-0.0413819j -0.140963+0.0589127j -0.00643789-0.181164j -0.0688323-0.0500574j -0.192625+0.0669474j 0.0380791+0.0204194j 0.11912+0.108887j 0.177344-0.102656j 0.109798-0.0156429j -0.00874678-0.00905196j -0.0878129+0.101582j 0.071596+0.0126835j -0.129556-0.0896669j -0.0305431-0.0963878j -0.119458-0.0105344j 0.0501559+0.0295516j -0.0543306+0.0584787j -0.291779-0.071955j -0.0728724-0.00664655j 0.082881-0.0809972j 0.177306+0.000854462j -0.00379368-0.0194384j 0.133685+0.111787j 0.129953+0.110719j 0.123324-0.00788325j -0.0676966+0.0267514j -0.116927-0.00609637j 
